PID	SYMBOL	TITLE	CYTOBAND	ENTREZ GENE ID	REFSEQ ACCESSION NUMBER	Location	Type(s)	t-test (t)	t-test (p)	FDR	Status
218870_at	ARHGAP15	Rho GTPase activating protein 15	2q22.2	55843	NM_018460	unknown	other	10.24	5.1338E-13	1.66213E-10	up High vs Low
210116_at	SH2D1A	SH2 domain protein 1A	Xq25-q26	4068	AF072930	Cytoplasm	other	10.17	2.60101E-12	6.67331E-10	up High vs Low
209879_at	SELPLG	selectin P ligand	12q24	6404	AI741056	Plasma Membrane	other	10.09	1.70062E-14	9.24999E-12	up High vs Low
204118_at	CD48	CD48 molecule	1q21.3-q22	962	NM_001778	Plasma Membrane	other	10.02	8.28177E-13	2.55944E-10	up High vs Low
218805_at	GIMAP5	GTPase, IMAP family member 5	7q36.1	55340	NM_018384	Cytoplasm	other	10	4.09379E-14	2.14105E-11	up High vs Low
204852_s_at	PTPN7	protein tyrosine phosphatase, non-receptor type 7	1q32.1	5778	NM_002832	Cytoplasm	phosphatase	9.99	1.17457E-13	5.32395E-11	up High vs Low
205456_at	CD3E	CD3e molecule, epsilon (CD3-TCR complex)	11q23	916	NM_000733	Plasma Membrane	transmembrane receptor	9.91	5.67972E-14	2.75832E-11	up High vs Low
213915_at	NKG7	natural killer cell group 7 sequence	19q13.33	4818	NM_005601	Plasma Membrane	other	9.85	2.92322E-13	1.0751E-10	up High vs Low
212873_at	HMHA1	histocompatibility (minor) HA-1	19p13.3	23526	BE349017	unknown	transporter	9.82	1.28397E-12	3.79553E-10	up High vs Low
204951_at	RHOH	ras homolog gene family, member H	4p13	399	NM_004310	Plasma Membrane	enzyme	9.82	2.32E-12	6.0668E-10	up High vs Low
207957_s_at	PRKCB	protein kinase C, beta	16p11.2	5579	NM_002738	Cytoplasm	kinase	9.8	1.35059E-11	2.32162E-09	up High vs Low
225701_at	AKNA	AT-hook transcription factor	9q32	80709	AK024431	Nucleus	other	9.78	4.31567E-13	1.46711E-10	up High vs Low
236295_s_at	NLRC3	NLR family, CARD domain containing 3	16p13.3	197358	AA694067	Cytoplasm	other	9.69	3.254E-13	1.13456E-10	up High vs Low
220560_at	C11orf21	chromosome 11 open reading frame 21	11p15.5	29125	NM_014144	Cytoplasm	other	9.58	5.81851E-12	1.25587E-09	up High vs Low
205291_at	IL2RB	interleukin 2 receptor, beta	22q13|22q13.1	3560	NM_000878	Plasma Membrane	transmembrane receptor	9.57	2.27213E-13	9.36254E-11	up High vs Low
204192_at	CD37	CD37 molecule	19q13.3	951	NM_001774	Plasma Membrane	other	9.54	1.94388E-12	5.28657E-10	up High vs Low
206666_at	GZMK	granzyme K (granzyme 3; tryptase II)	5q11-q12	3003	NM_002104	Cytoplasm	peptidase	9.53	1.07573E-11	2.03164E-09	up High vs Low
204563_at	SELL	selectin L	1q23-q25	6402	NM_000655	Plasma Membrane	other	9.5	5.37868E-14	2.70886E-11	up High vs Low
242268_at	CUGBP2	CUG triplet repeat, RNA binding protein 2	10p13	10659	BE157991	Nucleus	other	9.41	2.88586E-12	7.26703E-10	up High vs Low
213160_at	DOCK2	dedicator of cytokinesis 2	5q35.1	1794	D86964	Cytoplasm	other	9.4	4.06884E-12	9.37765E-10	up High vs Low
221601_s_at	FAIM3	Fas apoptotic inhibitory molecule 3	1q32.1	9214	AI084226	unknown	other	9.4	2.13995E-12	5.70569E-10	up High vs Low
228094_at	AMICA1	adhesion molecule, interacts with CXADR antigen 1	11q23.3	120425	AL048542	Plasma Membrane	other	9.39	1.16277E-11	2.13667E-09	up High vs Low
203879_at	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	1p36.2	5293	U86453	Cytoplasm	kinase	9.32	3.75031E-12	9.10655E-10	up High vs Low
207681_at	CXCR3	chemokine (C-X-C motif) receptor 3	Xq13	2833	NM_001504	Plasma Membrane	G-protein coupled receptor	9.31	9.97779E-12	1.93826E-09	up High vs Low
204923_at	SASH3	SAM and SH3 domain containing 3	Xq26	54440	AL023653	unknown	other	9.3	4.90862E-12	1.07657E-09	up High vs Low
213958_at	CD6	CD6 molecule	11q13	923	AW134823	Plasma Membrane	transmembrane receptor	9.27	4.49591E-13	1.49111E-10	up High vs Low
206761_at	CD96	CD96 molecule	3q13.13-q13.2	10225	NM_005816	Plasma Membrane	other	9.22	8.51448E-12	1.74435E-09	up High vs Low
216250_s_at	LPXN	leupaxin	11q12.1	9404	X77598	Cytoplasm	other	9.22	1.85751E-12	5.20166E-10	up High vs Low
235306_at	GIMAP8	GTPase, IMAP family member 8	7q36.1	155038	AI611648	unknown	other	9.21	6.76119E-13	2.13811E-10	up High vs Low
206978_at	CCR2	chemokine (C-C motif) receptor 2	3p21.31	1231	NM_000647	Plasma Membrane	G-protein coupled receptor	9.16	1.12682E-12	3.40499E-10	up High vs Low
227552_at	37135	septin 1	16p11.1	1731	AI003777	Cytoplasm	enzyme	9.1	3.79032E-11	5.48307E-09	up High vs Low
204153_s_at	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	22q12	4242	NM_002405	Cytoplasm	enzyme	9.09	8.64472E-12	1.74435E-09	up High vs Low
240070_at	TIGIT	T cell immunoreceptor with Ig and ITIM domains	3q13.31	201633	AW512550	unknown	other	9.06	1.38669E-12	4.01196E-10	up High vs Low
228055_at	NAPSB	napsin B aspartic peptidase pseudogene	19q13.33	256236	AI763426			9.02	8.72305E-12	1.74435E-09	up High vs Low
209827_s_at	IL16	interleukin 16 (lymphocyte chemoattractant factor)	15q26.3	3603	NM_004513	Extracellular Space	cytokine	8.98	8.71703E-11	1.17361E-08	up High vs Low
213539_at	CD3D	CD3d molecule, delta (CD3-TCR complex)	11q23	915	NM_000732	Plasma Membrane	transmembrane receptor	8.97	4.55706E-12	1.0255E-09	up High vs Low
223640_at	HCST	hematopoietic cell signal transducer	19q13.1	10870	AF285447	Plasma Membrane	other	8.96	1.34018E-11	2.32162E-09	up High vs Low
205488_at	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	5q11-q12	3001	NM_006144	Cytoplasm	peptidase	8.94	3.93721E-12	9.37765E-10	up High vs Low
207339_s_at	LTB	lymphotoxin beta (TNF superfamily, member 3)	6p21.3	4050	NM_002341	Extracellular Space	cytokine	8.94	1.15842E-11	2.13667E-09	up High vs Low
205798_at	IL7R	interleukin 7 receptor	5p13	3575	NM_002185	Plasma Membrane	transmembrane receptor	8.92	3.03613E-12	7.50642E-10	up High vs Low
232234_at	SLA2	Src-like-adaptor 2	20q11.23	84174	AA305476	Plasma Membrane	other	8.92	1.8744E-12	5.20166E-10	up High vs Low
206118_at	STAT4	signal transducer and activator of transcription 4	2q32.2-q32.3	6775	NM_003151	Nucleus	transcription regulator	8.89	9.00472E-12	1.77458E-09	up High vs Low
229686_at	P2RY8	purinergic receptor P2Y, G-protein coupled, 8	Xp22.33; Yp11.3	286530	AI436587	Plasma Membrane	G-protein coupled receptor	8.88	3.14169E-11	4.64356E-09	up High vs Low
206150_at	CD27	CD27 molecule	12p13	939	NM_001242	Plasma Membrane	transmembrane receptor	8.88	8.60995E-12	1.74435E-09	up High vs Low
204882_at	ARHGAP25	Rho GTPase activating protein 25	2p14	9938	NM_014882	unknown	other	8.86	9.83414E-11	1.28581E-08	up High vs Low
221658_s_at	IL21R	interleukin 21 receptor	16p11	50615	AF269133	Plasma Membrane	transmembrane receptor	8.85	1.49175E-11	2.47376E-09	up High vs Low
225282_at	SMAP2	small ArfGAP2	1p35.3-p34.1	64744	AL137764	unknown	other	8.84	4.60034E-12	1.0255E-09	up High vs Low
34210_at	CD52	CD52 molecule	1p36	1043	N90866	Plasma Membrane	other	8.79	1.64658E-11	2.68104E-09	up High vs Low
220418_at	UBASH3A	ubiquitin associated and SH3 domain containing, A	21q22.3	53347	NM_018961	Cytoplasm	enzyme	8.77	7.52267E-11	1.02293E-08	up High vs Low
204265_s_at	GPSM3	G-protein signaling modulator 3 (AGS3-like, C. elegans)	6p21.3	63940	NM_022107	Cytoplasm	other	8.77	2.29468E-11	3.54581E-09	up High vs Low
220005_at	P2RY13	purinergic receptor P2Y, G-protein coupled, 13	3q24	53829	NM_023914	Plasma Membrane	G-protein coupled receptor	8.75	6.18379E-12	1.31386E-09	up High vs Low
228167_at	KLHL6	kelch-like 6 (Drosophila)	-	89857	AW574798	unknown	other	8.71	3.06799E-11	4.58445E-09	up High vs Low
228592_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	11q12	931	AW474852	Plasma Membrane	other	8.71	1.65618E-11	2.68104E-09	up High vs Low
219282_s_at	TRPV2	transient receptor potential cation channel, subfamily V, member 2	17p11.2	51393	NM_015930	Plasma Membrane	ion channel	8.66	1.36586E-11	2.32162E-09	up High vs Low
209795_at	CD69	CD69 molecule	12p13-p12	969	L07555	Plasma Membrane	transmembrane receptor	8.63	2.59676E-11	3.96749E-09	up High vs Low
203508_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	1p36.3-p36.2	7133	NM_001066	Plasma Membrane	transmembrane receptor	8.58	1.01758E-11	1.94888E-09	up High vs Low
220684_at	TBX21	T-box 21	17q21.32	30009	NM_013351	Nucleus	transcription regulator	8.55	1.60125E-10	1.89337E-08	up High vs Low
228677_s_at	FLJ21438	hypothetical protein FLJ21438	19p13.12	64926	AI028474	unknown	other	8.54	1.48958E-11	2.47376E-09	up High vs Low
228410_at	GAB3	GRB2-associated binding protein 3	Xq28	139716	AA495984	unknown	other	8.52	2.82172E-11	4.26331E-09	up High vs Low
41577_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	20q11.23	26051	AB020630	Plasma Membrane	phosphatase	8.5	1.18081E-10	1.51477E-08	up High vs Low
227811_at	FGD3	FYVE, RhoGEF and PH domain containing 3	-	89846	AK000004	Cytoplasm	other	8.5	4.06324E-12	9.37765E-10	up High vs Low
214054_at	DOK2	docking protein 2, 56kDa	8p21.3	9046	AI828929	Plasma Membrane	other	8.46	1.20561E-11	2.16097E-09	up High vs Low
236341_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4	2q33	1493	AI733018	Plasma Membrane	other	8.44	1.20778E-11	2.16097E-09	up High vs Low
207419_s_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	22q13.1	5880	NM_002872	Cytoplasm	enzyme	8.33	7.43745E-11	1.02293E-08	up High vs Low
212886_at	CCDC69	coiled-coil domain containing 69	5q33.1	26112	AL080169	unknown	other	8.32	2.06325E-10	2.39795E-08	up High vs Low
204960_at	PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein	11q13.3	5790	NM_005608	Plasma Membrane	other	8.32	7.07585E-10	6.92211E-08	up High vs Low
205758_at	CD8A	CD8a molecule	2p12	925	AW006735	Plasma Membrane	other	8.29	2.40028E-10	2.74277E-08	up High vs Low
1552584_at	IL12RB1	interleukin 12 receptor, beta 1	19p13.1	3594	NM_153701	Plasma Membrane	transmembrane receptor	8.23	1.17541E-10	1.51477E-08	up High vs Low
219045_at	RHOF	ras homolog gene family, member F (in filopodia)	12q24.31	54509	NM_019034	Cytoplasm	enzyme	8.23	3.75791E-10	3.96125E-08	up High vs Low
226474_at	NLRC5	NLR family, CARD domain containing 5	16q13	84166	AA005023	unknown	other	8.2	1.22757E-11	2.16786E-09	up High vs Low
203110_at	PTK2B	PTK2B protein tyrosine kinase 2 beta	8p21.1	2185	U43522	Cytoplasm	kinase	8.18	1.69927E-11	2.71843E-09	up High vs Low
1552316_a_at	GIMAP1	GTPase, IMAP family member 1	7q36.1	170575	NM_130759	Cytoplasm	other	8.16	4.42909E-11	6.33966E-09	up High vs Low
229597_s_at	WDFY4	WDFY family member 4	10q11.22	57705	BF592952	unknown	other	8.14	3.6741E-09	2.88901E-07	up High vs Low
214470_at	KLRB1	killer cell lectin-like receptor subfamily B, member 1	12p13	3820	NM_002258	Plasma Membrane	transmembrane receptor	8.12	3.58916E-10	3.87344E-08	up High vs Low
203402_at	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	1p36.3	8514	AL520102	Plasma Membrane	ion channel	8.11	1.26741E-10	1.59576E-08	up High vs Low
225502_at	DOCK8	dedicator of cytokinesis 8	9p24.3	81704	AL161725	unknown	other	8.07	5.96303E-11	8.44638E-09	up High vs Low
210140_at	CST7	cystatin F (leukocystatin)	20p11.21	8530	AF031824	Extracellular Space	other	8.07	1.25828E-10	1.59576E-08	up High vs Low
228071_at	GIMAP7	GTPase, IMAP family member 7	7q36.1	168537	AA858297	unknown	other	8.06	1.47981E-10	1.82931E-08	up High vs Low
212187_x_at	PTGDS	prostaglandin D2 synthase 21kDa (brain)	9q34.2-q34.3	5730	NM_000954	Cytoplasm	enzyme	8.06	6.50629E-10	6.45785E-08	up High vs Low
207777_s_at	SP140	SP140 nuclear body protein	2q37.1	11262	NM_007237	Nucleus	transcription regulator	8.04	1.2275E-09	1.1278E-07	up High vs Low
215967_s_at	LY9	lymphocyte antigen 9	1q21.3-q22	4063	AL582804	Plasma Membrane	other	8.04	3.62077E-10	3.87679E-08	up High vs Low
230489_at	CD5	CD5 molecule	11q13	921	AI797836	Plasma Membrane	transmembrane receptor	8.02	8.29906E-10	8.00359E-08	up High vs Low
233510_s_at	PARVG	parvin, gamma	22q13.2-q13	64098	AL355092	Cytoplasm	other	8	1.91337E-10	2.24293E-08	up High vs Low
210038_at	PRKCQ	protein kinase C, theta	10p15	5588	AL137145	Cytoplasm	kinase	7.99	3.4859E-11	5.09691E-09	up High vs Low
206219_s_at	VAV1	vav 1 guanine nucleotide exchange factor	19p13.2	7409	NM_005428	Nucleus	transcription regulator	7.99	9.68929E-11	1.27917E-08	up High vs Low
210279_at	GPR18	G protein-coupled receptor 18	13q32	2841	AF261135	Plasma Membrane	G-protein coupled receptor	7.98	2.79113E-09	2.30023E-07	up High vs Low
216920_s_at	TRGC2	T cell receptor gamma constant 2	7p14	6967	M27331	Cytoplasm	other	7.98	1.95195E-11	3.08635E-09	up High vs Low
213416_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	2q31.3	3676	BG532690	Plasma Membrane	other	7.97	7.03401E-10	6.92211E-08	up High vs Low
211178_s_at	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	15q24-q25.1	9051	AF038602	Cytoplasm	other	7.97	1.04696E-09	9.8865E-08	up High vs Low
226659_at	DEF6	differentially expressed in FDCP 6 homolog (mouse)	6p21.33-p21.1	50619	Z97832	Extracellular Space	other	7.96	2.12736E-10	2.45151E-08	up High vs Low
219279_at	DOCK10	dedicator of cytokinesis 10	2q36.2	55619	NM_017718	unknown	other	7.96	4.08795E-10	4.24335E-08	up High vs Low
202524_s_at	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	10pter-q25.3	9806	NM_014767	Extracellular Space	other	7.95	2.05434E-11	3.2109E-09	up High vs Low
226818_at	MPEG1	macrophage expressed gene 1	11q12.1	219972	T64884	Cytoplasm	other	7.94	3.67484E-10	3.90394E-08	up High vs Low
203217_s_at	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	2p11.2	8869	NM_003896	Cytoplasm	enzyme	7.91	2.89052E-10	3.19555E-08	up High vs Low
209770_at	BTN3A1	butyrophilin, subfamily 3, member A1	6p22.1	11119	U90552	unknown	other	7.87	1.46112E-10	1.82278E-08	up High vs Low
203523_at	LSP1	lymphocyte-specific protein 1	11p15.5	4046	NM_002339	Cytoplasm	other	7.86	3.81004E-10	3.9853E-08	up High vs Low
204513_s_at	ELMO1	engulfment and cell motility 1	7p14.2	9844	NM_014800	Cytoplasm	other	7.84	6.6152E-11	9.27355E-09	up High vs Low
211742_s_at	EVI2B	ecotropic viral integration site 2B	17q11.2	2124	BC005926	Plasma Membrane	other	7.83	1.1052E-09	1.02935E-07	up High vs Low
202910_s_at	CD97	CD97 molecule	19p13	976	NM_001784	Plasma Membrane	G-protein coupled receptor	7.83	7.50735E-11	1.02293E-08	up High vs Low
227002_at	FAM78A	family with sequence similarity 78, member A	9q34	286336	BF515132	unknown	other	7.77	6.07327E-10	6.11735E-08	up High vs Low
200904_at	HLA-E	major histocompatibility complex, class I, E	6p21.3	3133	X56841	Plasma Membrane	transmembrane receptor	7.75	1.5151E-10	1.85607E-08	up High vs Low
222838_at	SLAMF7	SLAM family member 7	1q23.1-q24.1	57823	AL121985	Plasma Membrane	other	7.75	2.9695E-10	3.2564E-08	up High vs Low
211005_at	LAT	linker for activation of T cells	16p11.2	27040	AF036906	Cytoplasm	transporter	7.73	2.17825E-09	1.86288E-07	up High vs Low
204205_at	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	22q13.1-q13.2	60489	NM_021822	Nucleus	enzyme	7.71	1.56523E-10	1.8771E-08	up High vs Low
204961_s_at	NCF1	neutrophil cytosolic factor 1	7q11.23	653361	NM_000265	Cytoplasm	enzyme	7.71	3.29634E-09	2.65228E-07	up High vs Low
236782_at	SAMD3	sterile alpha motif domain containing 3	6q23.1	154075	AI129628	unknown	other	7.69	9.85626E-10	9.37241E-08	up High vs Low
223303_at	FERMT3	fermitin family homolog 3 (Drosophila)	11q13.1	83706	BC004347	Cytoplasm	enzyme	7.67	3.14775E-09	2.5478E-07	up High vs Low
219033_at	PARP8	poly (ADP-ribose) polymerase family, member 8	5q11.1	79668	NM_024615	unknown	other	7.64	9.46597E-11	1.26194E-08	up High vs Low
209606_at	CYTIP	cytohesin 1 interacting protein	2q11.2	9595	L06633	Cytoplasm	other	7.64	2.88857E-10	3.19555E-08	up High vs Low
226789_at	LOC647121	embigin homolog (mouse) pseudogene	1p11.2	647121	W84421	Plasma Membrane	other	7.58	1.56757E-10	1.8771E-08	up High vs Low
221756_at	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	22q12.2	113791	AL540260	unknown	other	7.55	2.87757E-09	2.35718E-07	up High vs Low
219452_at	DPEP2	dipeptidase 2	16q22.1	64174	NM_022355	unknown	peptidase	7.53	3.68223E-09	2.88901E-07	up High vs Low
214339_s_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	19q13.1-q13.4	11184	AA744529	Cytoplasm	kinase	7.52	1.43294E-09	1.28192E-07	up High vs Low
202295_s_at	CTSH	cathepsin H	15q24-q25	1512	NM_004390	Cytoplasm	peptidase	7.51	2.83217E-10	3.1828E-08	up High vs Low
232024_at	GIMAP2	GTPase, IMAP family member 2	7q36.1	26157	AI431931	unknown	other	7.51	3.21346E-10	3.49573E-08	up High vs Low
219243_at	GIMAP4	GTPase, IMAP family member 4	7q36.1	55303	NM_018326	unknown	other	7.51	1.35045E-09	1.22422E-07	up High vs Low
38241_at	BTN3A3	butyrophilin, subfamily 3, member A3	6p21.3	10384	U90548	unknown	other	7.49	1.57368E-10	1.8771E-08	up High vs Low
220577_at	GVIN1	GTPase, very large interferon inducible 1	11p15.4	387751	NM_025006	Cytoplasm	other	7.47	1.34713E-08	9.0238E-07	up High vs Low
227645_at	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5	17p13.1	23533	BG236366	Nucleus	kinase	7.45	1.18841E-09	1.09932E-07	up High vs Low
214567_s_at	XCL1	chemokine (C motif) ligand 1	1q23	6375	NM_003175	Extracellular Space	cytokine	7.45	4.77851E-09	3.57023E-07	up High vs Low
214551_s_at	CD7	CD7 molecule	17q25.2-q25.3	924	NM_006137	Plasma Membrane	other	7.44	9.16686E-10	8.77823E-08	up High vs Low
240413_at	PYHIN1	pyrin and HIN domain family, member 1	1q23.1	149628	AI827431	Nucleus	other	7.43	3.88383E-08	2.36826E-06	up High vs Low
219505_at	CECR1	cat eye syndrome chromosome region, candidate 1	22q11.2	51816	NM_017424	unknown	enzyme	7.43	5.57027E-10	5.69508E-08	up High vs Low
231093_at	FCRL3	Fc receptor-like 3	1q21-q22	115352	BF514552	Plasma Membrane	other	7.4	2.59144E-08	1.67007E-06	up High vs Low
206366_x_at	XCL2	chemokine (C motif) ligand 2	1q23-q25	6846	U23772	Extracellular Space	cytokine	7.39	4.03503E-09	3.09991E-07	up High vs Low
205599_at	TRAF1	TNF receptor-associated factor 1	9q33-q34	7185	NM_005658	Cytoplasm	other	7.39	2.68828E-10	3.04627E-08	up High vs Low
229937_x_at	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	19q13.4	10859	AI681260	Plasma Membrane	other	7.37	4.4052E-09	3.32788E-07	up High vs Low
1553856_s_at	P2RY10	purinergic receptor P2Y, G-protein coupled, 10	Xq21.1	27334	NM_014499	Plasma Membrane	G-protein coupled receptor	7.37	2.6629E-08	1.70001E-06	up High vs Low
206682_at	CLEC10A	C-type lectin domain family 10, member A	17p13.1	10462	NM_006344	Plasma Membrane	other	7.35	3.69657E-09	2.88901E-07	up High vs Low
201137_s_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	6p21.3	3115	NM_002121	Plasma Membrane	transmembrane receptor	7.35	5.676E-10	5.75987E-08	up High vs Low
203547_at	CD4	CD4 molecule	12pter-p12	920	U47924	Plasma Membrane	transmembrane receptor	7.34	1.99856E-09	1.75332E-07	up High vs Low
204562_at	IRF4	interferon regulatory factor 4	6p25-p23	3662	NM_002460	Nucleus	transcription regulator	7.32	3.60757E-09	2.88563E-07	up High vs Low
205639_at	AOAH	acyloxyacyl hydrolase (neutrophil)	7p14-p12	313	NM_001637	unknown	enzyme	7.31	1.05897E-08	7.34689E-07	up High vs Low
221087_s_at	APOL3	apolipoprotein L, 3	22q13.1	80833	NM_014349	Cytoplasm	transporter	7.31	4.64907E-10	4.78925E-08	up High vs Low
209846_s_at	BTN3A2	butyrophilin, subfamily 3, member A2	6p22.1	11118	BC002832	unknown	other	7.24	1.76985E-09	1.57297E-07	up High vs Low
219777_at	GIMAP6	GTPase, IMAP family member 6	-	474344	NM_024711	unknown	other	7.24	2.01451E-09	1.75598E-07	up High vs Low
1559263_s_at	PPIL4	peptidylprolyl isomerase (cyclophilin)-like 4	6q24-q25	85313	BG397809	Nucleus	enzyme	7.23	1.29465E-08	8.84652E-07	up High vs Low
235291_s_at	FLJ32255	hypothetical protein LOC643977	5p12	643977	BE875232	unknown	other	7.22	6.4168E-10	6.41585E-08	up High vs Low
226435_at	PAPLN	papilin, proteoglycan-like sulfated glycoprotein	14q24.2	89932	AU145309	unknown	other	7.22	5.61447E-09	4.06093E-07	up High vs Low
