Rank	Accession No.	Title	Symbol	Mean fold change	P Value	q-Value
164	NM_000574.2	CD55 antigen, decay accelerating factor for complement	CD55	5.8	0.0044161	0.0378339
165	XM_937586.1	PREDICTED:  hypothetical protein FLJ21438	FLJ21438	5.7	0.00000587	0.0012344
166	NM_153338.1	Gamma-glutamyltransferase 6 homolog	GGT6	5.7	0.000082	0.0044757
167	NM_002304.1	Lunatic fringe homolog	LFNG	5.7	0.0025782	0.0277607
168	NM_014033.2	Methyltransferase like 7A	METTL7A	5.7	0.006868	0.0484068
169	NM_024027.3	Collectin sub-family member 11 , transcript variant 1	COLEC11	5.7	0.0027301	0.0285555
170	BC038512	Cdna clone IMAGE:5262734	Hs.296031	5.6	0.000069	0.0040925
171	NM_002155.3	Heat shock 70kda protein 6	HSPA6	5.6	0.0000206	0.0024231
172	NM_145740.2	Glutathione S-transferase A1	GSTA1	5.6	0.0027975	0.0289007
173	NM_145202.3	Proline-rich acidic protein 1	PRAP1	5.6	0.0028748	0.0294001
174	NM_002983.1	Chemokine  ligand 3	CCL3	5.6	0.0036207	0.0336752
175	NM_173561.1	Unc-5 homolog C -like	UNC5CL	5.5	0.0000155	0.0021017
176	NM_003621.1	PTPRF interacting protein, binding protein 2	PPFIBP2	5.5	0.00000399	0.0010164
177	NM_153206.1	Adhesion molecule, interacts with CXADR antigen 1	AMICA1	5.5	0.000000237	0.0004287
178	CR627122	Mrna; cdna dkfzp779m2422	Hs.291319	5.5	0.0000055	0.0012228
179	NM_025047.1	ADP-ribosylation factor-like 14	ARL14	5.5	0.0012632	0.0190542
180	NM_002432.1	Myeloid cell nuclear differentiation antigen	MNDA	5.5	0.00000103	0.0005845
181	NM_199327.1	Sprouty homolog 1, antagonist of FGF signaling  , transcript variant 2	SPRY1	5.5	0.0004505	0.0109868
182	NM_194431.1	Ribonuclease, rnase A family, 4 , transcript variant 3	RNASE4	5.4	0.0000292	0.0028142
183	NM_025243.2	Solute carrier family 19, member 3	SLC19A3	5.4	0.0014101	0.0202264
184	NM_006113.3	Vav 3 oncogene	VAV3	5.4	0.00000242	0.0008005
185	NM_001001437.2	Chemokine  ligand 3-like 3	CCL3L3	5.4	0.003619	0.0336752
186	NM_000958.2	Prostaglandin E receptor 4	PTGER4	5.4	0.0000739	0.0042199
187	NM_006209.2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	ENPP2	5.4	0.0035476	0.0332695
188	NM_006748.1	Src-like-adaptor	SLA	5.3	0.000000453	0.0004727
189	NM_003105.3	Sortilin-related receptor, L A repeats-containing	SORL1	5.3	0.000254	0.0082508
190	NM_014694.2	ADAMTS-like 2	ADAMTSL2	5.3	0.0015527	0.0212722
191	NM_007028.3	Tripartite motif-containing 31 , transcript variant 1	TRIM31	5.3	0.0036128	0.03366
192	NM_003467.2	Chemokine  receptor 4 , transcript variant 2	CXCR4	5.3	0.0003915	0.0103284
193	NM_000300.2	Phospholipase A2, group IIA	PLA2G2A	5.2	0.0088454	0.0557739
194	NM_173452.1	Ficolin  3  , transcript variant 2	FCN3	5.2	0.0039183	0.0352933
195	NM_006096.2	N-myc downstream regulated gene 1	NDRG1	5.2	0.0013368	0.0196084
196	NM_024743.2	UDP glucuronosyltransferase 2 family, polypeptide A3	UGT2A3	5.2	0.0023482	0.0262887
197	NM_001073.1	UDP glucuronosyltransferase 2 family, polypeptide B11	UGT2B11	5.1	0.0007607	0.0144178
198	NM_004093.2	Ephrin-B2	EFNB2	5.1	0.0007387	0.0142293
199	XM_937295.1	PREDICTED:  arachidonate 5-lipoxygenase	ALOX5	5.1	0.0018139	0.023042
200	NM_001033047.1	Nephronectin	NPNT	5.1	0.0007078	0.0139504
201	NM_001010919.1	Hypothetical protein LOC441168	LOC441168	5.1	0.0000766	0.0043308
202	NM_024829.4	Hypothetical protein FLJ22662	FLJ22662	5	0.0028994	0.0295512
203	NM_001461.1	Flavin containing monooxygenase 5	FMO5	5	0.0000938	0.0047769
204	NM_023944.1	Cytochrome P450, family 4, subfamily F, polypeptide 12	CYP4F12	5	0.0005105	0.0115475
205	NM_138933.1	Apobec-1 complementation factor , transcript variant 3	ACF	5	0.00000287	0.0008457
206	NM_198998.1	Aquaporin 12A	AQP12A	5	0.0051261	0.0411079
207	NM_016323.1	Hect domain and RLD 5	HERC5	5	0.0002183	0.0076103
208	NM_006864.1	Leukocyte immunoglobulin-like receptor, subfamily B , member 3	LILRB3	5	0.00000118	0.0006013
209	NM_133367.2	Progestin and adipoq receptor family member VIII	PAQR8	5	0.0009779	0.0165966
210	NM_017817.1	RAB20, member RAS oncogene family	RAB20	4.9	0.0002266	0.0078091
211	NM_031311.2	Carboxypeptidase, vitellogenic-like , transcript variant 1	CPVL	4.9	0.0011213	0.0178875
212	NM_005461.3	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B	MAFB	4.9	0.0000332	0.0029455
213	NM_000531.3	Ornithine carbamoyltransferase	OTC	4.9	0.00577	0.0439543
214	NM_032501.2	Acyl-coa synthetase short-chain family member 1 , nuclear gene encoding mitochondrial protein	ACSS1	4.9	0.0000393	0.0031768
215	NM_144765.1	Epithelial V-like antigen 1 , transcript variant 2	EVA1	4.9	0.0014972	0.0208143
216	NM_001005915.1	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3  , transcript variant s	ERBB3	4.9	0.0001718	0.0067823
217	NM_004079.3	Cathepsin S	CTSS	4.9	0.0000106	0.0016716
218	NM_005335.3	Hematopoietic cell-specific Lyn substrate 1	HCLS1	4.9	0.0005725	0.0123845
219	NM_006332.3	Interferon, gamma-inducible protein 30	IFI30	4.8	0.0000155	0.0021017
220	NM_000716.3	Complement component 4 binding protein, beta , transcript variant 1	C4BPB	4.8	0.0002622	0.0084024
221	NM_014234.3	Hydroxysteroid  dehydrogenase 8	HSD17B8	4.8	0.0000719	0.004169
222	NM_001075.2	UDP glucuronosyltransferase 2 family, polypeptide B10	UGT2B10	4.8	0.0004745	0.0112321
223	NM_020247.3	Chaperone, ABC1 activity of bc1 complex like	CABC1	4.8	0.0002389	0.0080294
224	XM_941789.1	PREDICTED:  similar to Glutathione S-transferase A1	LOC652358	4.8	0.0041593	0.0364948
225	NM_003645.2	Solute carrier family 27 , member 2	SLC27A2	4.8	0.0001995	0.0073225
226	NM_001306.2	Claudin 3	CLDN3	4.8	0.0056283	0.0434022
227	XM_496697.2	PREDICTED:  similar to UDP-glucuronosyltransferase 2B7 precursor	LOC441018	4.8	0.0018949	0.0234235
228	BQ438671	AGENCOURT_7908292 NIH_MGC_82  cdna clone IMAGE:6102595 5, mrna sequence	Hs.583806	4.7	0.0002811	0.0086625
229	NM_000846.3	Glutathione S-transferase A2	GSTA2	4.7	0.0039643	0.0355304
230	NM_014266.3	Hematopoietic cell signal transducer , transcript variant 1	HCST	4.7	0.0007334	0.0141769
231	NM_003774.3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4	GALNT4	4.7	0.000315	0.0091874
232	NM_001003954.1	Annexin A13 , transcript variant 2	ANXA13	4.7	0.0007249	0.0141441
233	NM_138393.1	Receptor accessory protein 6	REEP6	4.7	0.0019697	0.0239493
234	NM_021220.2	Ovo-like 2	OVOL2	4.7	0.0066012	0.0473885
235	NM_001001435.2	Chemokine  ligand 4-like 1	CCL4L1	4.6	0.0005741	0.0123865
236	NM_000492.2	Cystic fibrosis transmembrane conductance regulator, ATP-binding cassette	CFTR	4.6	0.0034013	0.0323901
237	NM_006144.2	Granzyme A	GZMA	4.6	1.49E-08	0.0000767
238	NM_033086.1	FYVE, rhogef and PH domain containing 3	FGD3	4.6	0.0001019	0.0050215
239	NM_001024912.1	Carcinoembryonic antigen-related cell adhesion molecule 1  , transcript variant 2	CEACAM1	4.6	0.0080154	0.0529057
240	NM_025195.2	Tribbles homolog 1	TRIB1	4.6	0.0000504	0.0036166
241	NM_006059.2	Laminin, gamma 3	LAMC3	4.6	0.0017956	0.0229601
242	NM_002612.2	Pyruvate dehydrogenase kinase, isozyme 4	PDK4	4.6	0.0088803	0.0558108
243	NM_016339.1	Rap guanine nucleotide exchange factor -like 1	RAPGEFL1	4.5	0.0002782	0.0086178
244	NM_001015001.1	Creatine kinase, mitochondrial 1A , nuclear gene encoding mitochondrial protein	CKMT1A	4.5	0.0018886	0.0233751
245	NM_000397.2	Cytochrome b-245, beta polypeptide	CYBB	4.5	0.0000144	0.0020406
246	NM_014585.3	Solute carrier family 40 , member 1	SLC40A1	4.5	0.0002525	0.0082221
247	NM_001251.1	CD68 antigen	CD68	4.5	0.000102	0.0050215
248	NM_018490.1	Leucine-rich repeat-containing G protein-coupled receptor 4	LGR4	4.5	0.00000211	0.0007445
249	NM_052972.2	Leucine-rich alpha-2-glycoprotein 1	LRG1	4.5	0.0037409	0.0342878
250	NM_015888.3	Hook homolog 1	HOOK1	4.5	0.0005713	0.0123845
251	NM_020998.2	Macrophage stimulating 1	MST1	4.4	0.0001845	0.0070581
252	NM_004951.3	Epstein-Barr virus induced gene 2	EBI2	4.4	0.0000464	0.0035072
253	NM_001077.2	UDP glucuronosyltransferase 2 family, polypeptide B17	UGT2B17	4.4	0.0001738	0.0067929
254	NM_013314.2	B-cell linker	BLNK	4.4	0.0007956	0.0147091
255	NM_000096.1	Ceruloplasmin	CP	4.4	0.0044947	0.038154
256	NM_005693.1	Nuclear receptor subfamily 1, group H, member 3	NR1H3	4.4	0.0000128	0.0019228
257	XM_941665.1	PREDICTED:  hypothetical LOC387763	LOC387763	4.3	0.0050513	0.040797
258	NM_003120.1	Spleen focus forming virus  proviral integration oncogene spi1	SPI1	4.3	0.00000722	0.0013593
259	NM_018593.3	Solute carrier family 16 , member 10	SLC16A10	4.3	0.0012146	0.0186709
260	NM_203416.1	CD163 antigen , transcript variant 2	CD163	4.3	0.0002415	0.0080666
261	NM_006472.1	Thioredoxin interacting protein	TXNIP	4.3	0.0027032	0.0283983
262	NM_000130.2	Coagulation factor V	F5	4.3	0.0001921	0.007195
263	NM_005615.2	Ribonuclease, rnase A family, k6	RNASE6	4.3	0.0000232	0.0025823
264	NM_015393.2	DKFZP564O0823 protein	DKFZP564O0823	4.3	0.0045048	0.0381603
265	XM_938054.1	PREDICTED:  hypothetical gene supported by BC052596	LOC388564	4.2	0.0032414	0.0315434
266	AV735490	AV735490 CB  cdna clone CBFBDD05 5, mrna sequence	Hs.580229	4.2	0.000454	0.0110132
267	NM_031469.1	SH3 domain binding glutamic acid-rich protein like 2	SH3BGRL2	4.2	0.0031337	0.0309163
268	NM_152637.1	Methyltransferase like 7B	METTL7B	4.2	0.0000205	0.0024201
269	NM_007127.1	Villin 1	VIL1	4.2	0.0070617	0.0492594
270	NM_014430.1	Cell death-inducing DFFA-like effector b	CIDEB	4.2	0.0004625	0.0111166
271	NM_198053.1	CD3Z antigen, zeta polypeptide  , transcript variant 1	CD3Z	4.2	0.00000059	0.0005177
272	NM_033255.2	Epithelial stromal interaction 1  , transcript variant 2	EPSTI1	4.1	0.0002734	0.0085806
273	NM_007029.2	Stathmin-like 2	STMN2	4.1	0.0030337	0.0304391
274	NM_015419.1	Matrix-remodelling associated 5	MXRA5	4.1	0.0041026	0.0362321
275	NM_005258.2	GTP cyclohydrolase I feedback regulator	GCHFR	4.1	0.0086425	0.0550967
276	NM_015136.2	Stabilin 1	STAB1	4.1	0.0000873	0.0046429
277	NM_005949.1	Metallothionein 1F	MT1F	4.1	0.002287	0.0258872
278	NM_004288.3	Pleckstrin homology, Sec7 and coiled-coil domains, binding protein	PSCDBP	4.1	0.0000483	0.003528
