Gene symbol	Gene annotation	Fold change	Regulation	Domain
SPBC24C6.02	ATP-dependent RNA helicase Spb4 (predicted)	0.66	down	Ribosome biogenesis
SPBC1539.10	ribosome biogenesis protein Nop16 (predicted)	0.65	down	Ribosome biogenesis
SPAC17G6.13	sequence orphan	2.52	up	Meiosis/M phase of meiotic cell cycle
SPAC11D3.03c	meiotic chromosome segregation protein	4.91	up	Meiosis/M phase of meiotic cell cycle
SPCC330.04c	DUF1773 family protein 3	1.76	up	Meiosis/M phase of meiotic cell cycle
ste7	meiotic suppressor protein Ste7	2.57	up	Meiosis/M phase of meiotic cell cycle
SPAC22H12.01c	sequence orphan	2.55	up	Meiosis/M phase of meiotic cell cycle
meu22	amino acid permease, unknown 11	1.5	up	Meiosis/M phase of meiotic cell cycle
SPAC29A4.12c	sequence orphan	1.61	up	Meiosis/M phase of meiotic cell cycle
meu10	conserved fungal family	2.76	up	Meiosis/M phase of meiotic cell cycle
SPAC4G9.07	S. pombe specific UPF0300 family protein 2	1.54	up	Meiosis/M phase of meiotic cell cycle
meu31	sequence orphan	1.62	up	Meiosis/M phase of meiotic cell cycle
mug39	UBX domain protein Ubx3	1.9	up	Meiosis/M phase of meiotic cell cycle
ght6	hexose transporter Ght6 (PMID 10735857)	2.02	up	Meiosis/M phase of meiotic cell cycle
nep2	nedd8 protease Nep2	3.68	up	Meiosis/M phase of meiotic cell cycle
SPBC359.06	adducin	5.86	up	Meiosis/M phase of meiotic cell cycle
SPAC6C3.07	sequence orphan	1.57	up	Meiosis/M phase of meiotic cell cycle
otu1	ubiquitin-specific protease (predicted)	1.54	up	Meiosis/M phase of meiotic cell cycle
mei2	RNA-binding protein involved in meiosis Mei2	1.53	up	Meiosis/M phase of meiotic cell cycle
rem1	meiosis-specific cyclin Rem1	2.14	up	Meiosis/M phase of meiotic cell cycle
SPBC106.08c	DUF1773 family protein 1	0.49	down	Meiosis/M phase of meiotic cell cycle
SPACUNK4.19	sequence orphan	0.43	down	Meiosis/M phase of meiotic cell cycle
mug5	meiotically upregulated gene Mug5	0.63	down	Meiosis/M phase of meiotic cell cycle
#mts2	transcription factor Pcr1	0.63	down	Meiosis/M phase of meiotic cell cycle
SPAC630.15	sequence orphan	0.62	down	Meiosis/M phase of meiotic cell cycle
SPCC1322.07c	sequence orphan	0.57	down	Meiosis/M phase of meiotic cell cycle
bqt1	bouquet formation protein Bqt1	0.66	down	Meiosis/M phase of meiotic cell cycle
