Metagene	Affymetrix ProbeSet	GeneSymbol	DatasetBias KruskalFindCohort
MHC-1	200905_x_at	HLA-E	49.9
MHC-1	217456_x_at	HLA-E	66.5
MHC-1	210514_x_at	HLA-G	20.6
MHC-1	209140_x_at	HLA-B	87.1
MHC-1	208812_x_at	HLA-B	79.9
MHC-1	216526_x_at	HLA-C	67.2
MHC-1	214459_x_at	HLA-C	53.7
MHC-1	211529_x_at	HLA-G	19.4
MHC-1	211528_x_at	HLA-G	43
MHC-1	208729_x_at	HLA-B	40.9
MHC-1	211911_x_at	HLA-B	43.3
MHC-1	217436_x_at	HLA-J	42
MHC-1	204806_x_at	HLA-F	21.7
MHC-1	221875_x_at	HLA-F	26.9
MHC-1	211799_x_at	HLA-A	35.8
MHC-1	213932_x_at	HLA-A	60.9
MHC-1	215313_x_at	HLA-A	63.9
T-Cell	209083_at	CORO1A	65.3
T-Cell	204891_s_at	LCK	44.9
T-Cell	206666_at	GZMK	36.2
T-Cell	201720_s_at	LAPTM5	102
T-Cell	201721_s_at	LAPTM5	46
T-Cell	204912_at	IL10RA	24.1
T-Cell	206150_at	TNFRSF7	49.1
T-Cell	204563_at	SELL	63.7
T-Cell	209670_at	TRA@	41.6
T-Cell	204118_at	CD48	40.3
T-Cell	205831_at	CD2	36.8
T-Cell	210915_x_at	TRBC1	36.9
T-Cell	213193_x_at	TRBC1	39.6
T-Cell	213539_at	CD3D	50.5
T-Cell	211796_s_at	TRBC1	46.9
T-Cell	211339_s_at	ITK	27.4
T-Cell	203416_at	CD53	30.6
T-Cell	211742_s_at	EVI2B	29.4
T-Cell	212588_at	PTPRC	31.2
T-Cell	209671_x_at	TRA@	72
T-Cell	210972_x_at	TRA@	71.2
T-Cell	211902_x_at	TRA@	87.3
T-Cell	220330_s_at	SAMSN1	32.7
T-Cell	38149_at	KIAA0053	42.6
T-Cell	219014_at	PLAC8	27.7
T-Cell	204661_at	CD52	54.7
T-Cell	34210_at	CD52	37.8
MHC-2	201137_s_at	HLA-DPB1	22.2
MHC-2	203932_at	HLA-DMB	38.9
MHC-2	209619_at	CD74	50.4
MHC-2	204670_x_at	HLA-DRB1	27.2
MHC-2	208306_x_at	HLA-DRB1	31.8
MHC-2	209312_x_at	HLA-DRB1	27.1
MHC-2	215193_x_at	HLA-DRB1	29.8
MHC-2	208894_at	HLA-DRA	35.5
MHC-2	210982_s_at	HLA-DRA	48.6
MHC-2	211991_s_at	HLA-DPA1	50.7
MHC-2	212671_s_at	HLA-DQA1	42
MHC-2	217478_s_at	HLA-DMA	35
MHC-2	212998_x_at	HLA-DQB1	48.1
MHC-2	211654_x_at	HLA-DQB1	29.1
B-Cell	211639_x_at	IGHM	48.5
B-Cell	211633_x_at	IGHG1	65.6
B-Cell	211641_x_at	IGHG1	52.2
B-Cell	211634_x_at	IGHM	45.8
B-Cell	211635_x_at	IGHG3	44.1
B-Cell	211640_x_at	IGHG1	41.1
B-Cell	211798_x_at	IGLJ3	57.6
B-Cell	211881_x_at	IGLJ3	51.5
B-Cell	211637_x_at	LOC388078	51.2
B-Cell	216491_x_at	IGHM	54
B-Cell	211908_x_at	IGHG1	58.8
B-Cell	211650_x_at	IGHG1	46.4
B-Cell	216510_x_at	IGHG1	60.5
B-Cell	217281_x_at	IGHG1	60.3
B-Cell	211643_x_at	IGKC	32.5
B-Cell	213502_x_at	LOC91316	25.6
B-Cell	211430_s_at	IGH@	21.9
B-Cell	209138_x_at	IGLC2	18.1
B-Cell	214677_x_at	IGL@	18.1
B-Cell	215121_x_at	IGL@	21.3
B-Cell	215379_x_at	IGL@	15
B-Cell	221651_x_at	IGKC	28.2
B-Cell	221671_x_at	IGKC	27
B-Cell	211644_x_at	IGKC	36.9
B-Cell	214669_x_at	LOC440871	19.4
B-Cell	211645_x_at	IGKC	29.4
B-Cell	215176_x_at	IGKC	31.4
B-Cell	217378_x_at	LOC391427	35.1
B-Cell	217157_x_at	IGKC	35.3
B-Cell	214836_x_at	IGKC	20
B-Cell	216207_x_at	IGKV1D-13	27.8
B-Cell	217480_x_at	LOC339562	30.3
B-Cell	216576_x_at	- - -	32.6
B-Cell	216401_x_at	- - -	35.9
B-Cell	215946_x_at	IGLL1	30.5
B-Cell	214916_x_at	IGH@	46.3
B-Cell	216557_x_at	IGHG1	62.6
B-Cell	211868_x_at	IGHG1	46.5
B-Cell	216984_x_at	IGLJ3	46
B-Cell	217148_x_at	IGLC2	41
B-Cell	216542_x_at	MGC27165	68.6
B-Cell	214768_x_at	IGKC	27.7
B-Cell	214973_x_at	IGHD	54.8
B-Cell	217235_x_at	IGLJ3	44.3
B-Cell	215949_x_at	IGHM	69.1
B-Cell	214777_at	IGKC	39
B-Cell	217179_x_at	IGL@	26
Hemoglobin	204419_x_at	HBG2	133.7
Hemoglobin	204848_x_at	HBG1	115.9
Hemoglobin	209116_x_at	HBB	164.4
Hemoglobin	204018_x_at	HBA1	158.4
Hemoglobin	209458_x_at	HBA1	154.7
Hemoglobin	211745_x_at	HBA1	150.8
Hemoglobin	214414_x_at	HBA2	152
Hemoglobin	211696_x_at	HBB	155.4
Hemoglobin	217232_x_at	HBB	155.2
Hemoglobin	217414_x_at	HBA2	153.7
Hemoglobin	211699_x_at	HBA1	147.7
Hemoglobin	213515_x_at	HBG2	158.6
HOXA	206289_at	HOXA4	27.4
HOXA	206847_s_at	HOXA7	43.9
HOXA	209905_at	HOXA9	41.1
HOXA	214651_s_at	HOXA9	27.8
HOXA	213844_at	HOXA5	38.2
HOXA	213147_at	HOXA10	30.1
HOXA	213150_at	HOXA10	20.9
HOXA	213823_at	HOXA11	43
