# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_013292|NM_013292	hgnc_symbol|MYLPF|MYLPF
refseq_dna|NM_005159|NM_005159	hgnc_symbol|ACTC1|ACTC1
refseq_dna|NM_001614|NM_001614	hgnc_symbol|ACTG1|ACTG1
refseq_dna|NM_001102|NM_001102	hgnc_symbol|ACTN1|ACTN1
refseq_dna|NM_001103|NM_001103	hgnc_symbol|ACTN2|ACTN2
refseq_dna|NM_001104|NM_001104	hgnc_symbol|ACTN3|ACTN3
refseq_dna|NM_006687|NM_006687	hgnc_symbol|ACTL7A|ACTL7A
refseq_dna|NM_020445|NM_020445
refseq_dna|NM_001627|NM_001627	hgnc_symbol|ALCAM|ALCAM
refseq_dna|NM_013375|NM_013375	hgnc_symbol|ABT1|ABT1
refseq_dna|NM_001105|NM_001105	hgnc_symbol|ACVR1|ACVR1
refseq_dna|NM_001616|NM_001616	hgnc_symbol|ACVR2A|ACVR2A
refseq_dna|NM_014384|NM_014384	hgnc_symbol|ACAD8|ACAD8
refseq_dna|NM_000016|NM_000016	hgnc_symbol|ACADM|ACADM
refseq_dna|NM_001608|NM_001608	hgnc_symbol|ACADL|ACADL
refseq_dna|NM_000018|NM_000018	hgnc_symbol|ACADVL|ACADVL
refseq_dna|NM_012096|NM_012096	hgnc_symbol|APPL1|APPL1
refseq_dna|NM_001283|NM_001283	hgnc_symbol|AP1S1|AP1S1
refseq_dna|NM_004068|NM_004068	hgnc_symbol|AP2M1|AP2M1
refseq_dna|NM_007347|NM_007347	hgnc_symbol|AP4E1|AP4E1
refseq_dna|NM_000485|NM_000485	hgnc_symbol|APRT|APRT
refseq_dna|NM_000038|NM_000038	hgnc_symbol|APC|APC
refseq_dna|NM_000674|NM_000674	hgnc_symbol|ADORA1|ADORA1
refseq_dna|NM_000675|NM_000675	hgnc_symbol|ADORA2A|ADORA2A
refseq_dna|NM_000676|NM_000676	hgnc_symbol|ADORA2B|ADORA2B
refseq_dna|NM_000677|NM_000677	hgnc_symbol|ADORA3|ADORA3
refseq_dna|NM_012091|NM_012091	hgnc_symbol|ADAT1|ADAT1
refseq_dna|NM_000480|NM_000480	hgnc_symbol|AMPD3|AMPD3
refseq_dna|NM_000036|NM_000036	hgnc_symbol|AMPD1|AMPD1
refseq_dna|NM_006624|NM_006624	hgnc_symbol|ZMYND11|ZMYND11
refseq_dna|NM_004036|NM_004036	hgnc_symbol|ADCY3|ADCY3
refseq_dna|NM_015270|NM_015270	hgnc_symbol|ADCY6|ADCY6
refseq_dna|NM_001114|NM_001114	hgnc_symbol|ADCY7|ADCY7
refseq_dna|NM_001116|NM_001116	hgnc_symbol|ADCY9|ADCY9
refseq_dna|NM_001117|NM_001117	hgnc_symbol|ADCYAP1|ADCYAP1
refseq_dna|NM_000476|NM_000476	hgnc_symbol|AK1|AK1
refseq_dna|NM_000026|NM_000026	hgnc_symbol|ADSL|ADSL
refseq_dna|NM_006566|NM_006566	hgnc_symbol|CD226|CD226
refseq_dna|NM_007002|NM_007002	hgnc_symbol|ADRM1|ADRM1
refseq_dna|NM_001122|NM_001122	hgnc_symbol|PLIN2|PLIN2
refseq_dna|NM_004797|NM_004797
refseq_dna|NM_006829|NM_006829	hgnc_symbol|C10orf116|C10orf116
refseq_dna|NM_016638|NM_016638	hgnc_symbol|ARL6IP4|ARL6IP4
refseq_dna|NM_005485|NM_005485	hgnc_symbol|PARP3|PARP3
refseq_dna|NM_000679|NM_000679	hgnc_symbol|ADRA1B|ADRA1B
refseq_dna|NM_001619|NM_001619	hgnc_symbol|ADRBK1|ADRBK1
refseq_dna|NM_005160|NM_005160	hgnc_symbol|ADRBK2|ADRBK2
refseq_dna|NM_000684|NM_000684	hgnc_symbol|ADRB1|ADRB1
refseq_dna|NM_000024|NM_000024	hgnc_symbol|ADRB2|ADRB2
refseq_dna|NM_007264|NM_007264	hgnc_symbol|GPR182|GPR182
refseq_dna|NM_001136|NM_001136	hgnc_symbol|AGER|AGER
refseq_dna|NM_001129|NM_001129	hgnc_symbol|AEBP1|AEBP1
hgnc_symbol|AHNAK|AHNAK
refseq_dna|NM_004262|NM_004262
refseq_dna|NM_001150|NM_001150	hgnc_symbol|ANPEP|ANPEP
refseq_dna|NM_001605|NM_001605	hgnc_symbol|AARS|AARS
refseq_dna|NM_000477|NM_000477	hgnc_symbol|ALB|ALB
refseq_dna|NM_000668|NM_000668	hgnc_symbol|ADH1B|ADH1B
refseq_dna|NM_003888|NM_003888	hgnc_symbol|ALDH1A2|ALDH1A2
refseq_dna|NM_000690|NM_000690	hgnc_symbol|ALDH2|ALDH2
refseq_dna|NM_006066|NM_006066	hgnc_symbol|AKR1A1|AKR1A1
refseq_dna|NM_001628|NM_001628	hgnc_symbol|AKR1B1|AKR1B1
refseq_dna|NM_020299|NM_020299	hgnc_symbol|AKR1B10|AKR1B10
refseq_dna|NM_001354|NM_001354	hgnc_symbol|AKR1C2|AKR1C2
refseq_dna|NM_001818|NM_001818	hgnc_symbol|AKR1C4|AKR1C4
refseq_dna|NM_003689|NM_003689	hgnc_symbol|AKR7A2|AKR7A2
refseq_dna|NM_000034|NM_000034	hgnc_symbol|ALDOA|ALDOA
refseq_dna|NM_005165|NM_005165	hgnc_symbol|ALDOC|ALDOC
refseq_dna|NM_001623|NM_001623	hgnc_symbol|AIF1|AIF1
refseq_dna|NM_014610|NM_014610	hgnc_symbol|GANAB|GANAB
refseq_dna|NM_130786|NM_130786	hgnc_symbol|A1BG|A1BG
refseq_dna|NM_001185|NM_001185	hgnc_symbol|AZGP1|AZGP1
refseq_dna|NM_001622|NM_001622	hgnc_symbol|AHSG|AHSG
refseq_dna|NM_000014|NM_000014	hgnc_symbol|A2M|A2M
refseq_dna|NM_014476|NM_014476	hgnc_symbol|ASRGL1|ASRGL1
refseq_dna|NM_001134|NM_001134	hgnc_symbol|AFP|AFP
refseq_dna|NM_014324|NM_014324	hgnc_symbol|AMACR|AMACR
refseq_dna|NM_001094|NM_001094	hgnc_symbol|ASIC2|ASIC2
refseq_dna|NM_001095|NM_001095	hgnc_symbol|ASIC1|ASIC1
refseq_dna|NM_004769|NM_004769	hgnc_symbol|ASIC3|ASIC3
refseq_dna|NM_000666|NM_000666	hgnc_symbol|ACY1|ACY1
refseq_dna|NM_005763|NM_005763	hgnc_symbol|AASS|AASS
refseq_dna|NM_001130|NM_001130	hgnc_symbol|AES|AES
refseq_dna|NM_006812|NM_006812	hgnc_symbol|OS9|OS9
refseq_dna|NM_000484|NM_000484	hgnc_symbol|APP|APP
refseq_dna|NM_173075|NM_173075	hgnc_symbol|APBB2|APBB2
refseq_dna|NM_001642|NM_001642	hgnc_symbol|APLP2|APLP2
refseq_dna|NM_003905|NM_003905	hgnc_symbol|NAE1|NAE1
refseq_dna|NM_012103|NM_012103	hgnc_symbol|AUP1|AUP1
refseq_dna|NM_015032|NM_015032	hgnc_symbol|PDS5B|PDS5B
refseq_dna|NM_001087|NM_001087	hgnc_symbol|AAMP|AAMP
refseq_dna|NM_001147|NM_001147	hgnc_symbol|ANGPT2|ANGPT2
refseq_dna|NM_015985|NM_015985	hgnc_symbol|ANGPT4|ANGPT4
refseq_dna|NM_004673|NM_004673	hgnc_symbol|ANGPTL1|ANGPTL1
refseq_dna|NM_012098|NM_012098	hgnc_symbol|ANGPTL2|ANGPTL2
refseq_dna|NM_014495|NM_014495	hgnc_symbol|ANGPTL3|ANGPTL3
refseq_dna|NM_021146|NM_021146	hgnc_symbol|ANGPTL7|ANGPTL7
refseq_dna|NM_000789|NM_000789	hgnc_symbol|ACE|ACE
refseq_dna|NM_021804|NM_021804	hgnc_symbol|ACE2|ACE2
refseq_dna|NM_000685|NM_000685	hgnc_symbol|AGTR1|AGTR1
refseq_dna|NM_000686|NM_000686	hgnc_symbol|AGTR2|AGTR2
refseq_dna|NM_005161|NM_005161	hgnc_symbol|APLNR|APLNR
refseq_dna|NM_000029|NM_000029	hgnc_symbol|AGT|AGT
refseq_dna|NM_018685|NM_018685	hgnc_symbol|ANLN|ANLN
refseq_dna|NM_019847|NM_019847	hgnc_symbol|ANKH|ANKH
refseq_dna|NM_000037|NM_000037	hgnc_symbol|ANK1|ANK1
refseq_dna|NM_024701|NM_024701	hgnc_symbol|ASB13|ASB13
refseq_dna|NM_016150|NM_016150	hgnc_symbol|ASB2|ASB2
refseq_dna|NM_024708|NM_024708	hgnc_symbol|ASB7|ASB7
refseq_dna|NM_024087|NM_024087	hgnc_symbol|ASB9|ASB9
refseq_dna|NM_022096|NM_022096	hgnc_symbol|ANKRD5|ANKRD5
refseq_dna|NM_007332|NM_007332	hgnc_symbol|TRPA1|TRPA1
refseq_dna|NM_000700|NM_000700	hgnc_symbol|ANXA1|ANXA1
refseq_dna|NM_007193|NM_007193	hgnc_symbol|ANXA10|ANXA10
refseq_dna|NM_001157|NM_001157	hgnc_symbol|ANXA11|ANXA11
refseq_dna|NM_004306|NM_004306	hgnc_symbol|ANXA13|ANXA13
refseq_dna|NM_004039|NM_004039	hgnc_symbol|ANXA2|ANXA2
refseq_dna|NM_005139|NM_005139	hgnc_symbol|ANXA3|ANXA3
refseq_dna|NM_001153|NM_001153	hgnc_symbol|ANXA4|ANXA4
refseq_dna|NM_001154|NM_001154	hgnc_symbol|ANXA5|ANXA5
refseq_dna|NM_001155|NM_001155	hgnc_symbol|ANXA6|ANXA6
refseq_dna|NM_001156|NM_001156	hgnc_symbol|ANXA7|ANXA7
refseq_dna|NM_001630|NM_001630	hgnc_symbol|ANXA8|ANXA8
refseq_dna|NM_003568|NM_003568	hgnc_symbol|ANXA9|ANXA9

refseq_dna|NM_001641|NM_001641	hgnc_symbol|APEX1|APEX1
refseq_dna|NM_021203|NM_021203	hgnc_symbol|SRPRB|SRPRB
refseq_dna|NM_000039|NM_000039	hgnc_symbol|APOA1|APOA1
refseq_dna|NM_000482|NM_000482	hgnc_symbol|APOA4|APOA4
refseq_dna|NM_004900|NM_004900	hgnc_symbol|APOBEC3B|APOBEC3B
refseq_dna|NM_018690|NM_018690	hgnc_symbol|APOBR|APOBR
refseq_dna|NM_001647|NM_001647	hgnc_symbol|APOD|APOD
refseq_dna|NM_000041|NM_000041	hgnc_symbol|APOE|APOE
refseq_dna|NM_014349|NM_014349	hgnc_symbol|APOL3|APOL3
refseq_dna|NM_030641|NM_030641	hgnc_symbol|APOL6|APOL6
refseq_dna|NM_014977|NM_014977	hgnc_symbol|ACIN1|ACIN1
refseq_dna|NM_017692|NM_017692	hgnc_symbol|APTX|APTX
refseq_dna|NM_000385|NM_000385	hgnc_symbol|AQP1|AQP1
refseq_dna|NM_004925|NM_004925	hgnc_symbol|AQP3|AQP3
refseq_dna|NM_001651|NM_001651	hgnc_symbol|AQP5|AQP5
refseq_dna|NM_001169|NM_001169	hgnc_symbol|AQP8|AQP8
refseq_dna|NM_003491|NM_003491	hgnc_symbol|NAA10|NAA10
refseq_dna|NM_000490|NM_000490	hgnc_symbol|AVP|AVP
refseq_dna|NM_000054|NM_000054	hgnc_symbol|AVPR2|AVPR2
refseq_dna|NM_000048|NM_000048	hgnc_symbol|ASL|ASL
refseq_dna|NM_005744|NM_005744	hgnc_symbol|ARIH1|ARIH1
refseq_dna|NM_015908|NM_015908	hgnc_symbol|SRRT|SRRT
refseq_dna|NM_003977|NM_003977	hgnc_symbol|AIP|AIP
refseq_dna|NM_014336|NM_014336	hgnc_symbol|AIPL1|AIPL1
refseq_dna|NM_001668|NM_001668	hgnc_symbol|ARNT|ARNT
refseq_dna|NM_001673|NM_001673	hgnc_symbol|ASNS|ASNS
refseq_dna|NM_001349|NM_001349	hgnc_symbol|DARS|DARS
refseq_dna|NM_018723|NM_018723	hgnc_symbol|RBFOX1|RBFOX1
refseq_dna|NM_001096|NM_001096	hgnc_symbol|ACLY|ACLY
refseq_dna|NM_001688|NM_001688	hgnc_symbol|ATP5F1|ATP5F1
refseq_dna|NM_001689|NM_001689	hgnc_symbol|ATP5G3|ATP5G3
refseq_dna|NM_005175|NM_005175	hgnc_symbol|ATP5G1|ATP5G1
refseq_dna|NM_005176|NM_005176	hgnc_symbol|ATP5G2|ATP5G2
refseq_dna|NM_004889|NM_004889	hgnc_symbol|ATP5J2|ATP5J2
refseq_dna|NM_001685|NM_001685	hgnc_symbol|ATP5J|ATP5J
refseq_dna|NM_004046|NM_004046	hgnc_symbol|ATP5A1|ATP5A1
refseq_dna|NM_001686|NM_001686	hgnc_symbol|ATP5B|ATP5B
refseq_dna|NM_001687|NM_001687	hgnc_symbol|ATP5D|ATP5D
refseq_dna|NM_006886|NM_006886	hgnc_symbol|ATP5E|ATP5E
refseq_dna|NM_005174|NM_005174	hgnc_symbol|ATP5C1|ATP5C1
refseq_dna|NM_001697|NM_001697	hgnc_symbol|ATP5O|ATP5O
refseq_dna|NM_015239|NM_015239	hgnc_symbol|AGTPBP1|AGTPBP1
refseq_dna|NM_006831|NM_006831	hgnc_symbol|CLP1|CLP1
refseq_dna|NM_012069|NM_012069	hgnc_symbol|ATP1B4|ATP1B4
refseq_dna|NM_004320|NM_004320	hgnc_symbol|ATP2A1|ATP2A1
refseq_dna|NM_001681|NM_001681	hgnc_symbol|ATP2A2|ATP2A2
refseq_dna|NM_001682|NM_001682	hgnc_symbol|ATP2B1|ATP2B1
refseq_dna|NM_021949|NM_021949	hgnc_symbol|ATP2B3|ATP2B3
refseq_dna|NM_001684|NM_001684	hgnc_symbol|ATP2B4|ATP2B4
refseq_dna|NM_005173|NM_005173	hgnc_symbol|ATP2A3|ATP2A3
refseq_dna|NM_005603|NM_005603	hgnc_symbol|ATP8B1|ATP8B1
refseq_dna|NM_005603|NM_005603	hgnc_symbol|ATP8B1|ATP8B1
hgnc_symbol|ATP10B|ATP10B
refseq_dna|NM_004231|NM_004231	hgnc_symbol|ATP6V1F|ATP6V1F
refseq_dna|NM_015994|NM_015994	hgnc_symbol|ATP6V1D|ATP6V1D
refseq_dna|NM_003945|NM_003945	hgnc_symbol|ATP6V0E1|ATP6V0E1
refseq_dna|NM_001183|NM_001183	hgnc_symbol|ATP6AP1|ATP6AP1
refseq_dna|NM_005765|NM_005765	hgnc_symbol|ATP6AP2|ATP6AP2
refseq_dna|NM_001676|NM_001676	hgnc_symbol|ATP12A|ATP12A
refseq_dna|NM_000701|NM_000701	hgnc_symbol|ATP1A1|ATP1A1
refseq_dna|NM_000702|NM_000702	hgnc_symbol|ATP1A2|ATP1A2
refseq_dna|NM_001677|NM_001677	hgnc_symbol|ATP1B1|ATP1B1
refseq_dna|NM_001678|NM_001678	hgnc_symbol|ATP1B2|ATP1B2
refseq_dna|NM_001679|NM_001679	hgnc_symbol|ATP1B3|ATP1B3
refseq_dna|NM_019624|NM_019624	hgnc_symbol|ABCB9|ABCB9
refseq_dna|NM_004996|NM_004996	hgnc_symbol|ABCC1|ABCC1
refseq_dna|NM_005688|NM_005688	hgnc_symbol|ABCC5|ABCC5
refseq_dna|NM_001171|NM_001171	hgnc_symbol|ABCC6|ABCC6
refseq_dna|NM_000352|NM_000352	hgnc_symbol|ABCC8|ABCC8
refseq_dna|NM_005691|NM_005691
refseq_dna|NM_020298|NM_020298
refseq_dna|NM_020297|NM_020297
refseq_dna|NM_000033|NM_000033	hgnc_symbol|ABCD1|ABCD1
refseq_dna|NM_005050|NM_005050	hgnc_symbol|ABCD4|ABCD4
refseq_dna|NM_004915|NM_004915	hgnc_symbol|ABCG1|ABCG1
refseq_dna|NM_012070|NM_012070	hgnc_symbol|ATRN|ATRN
refseq_dna|NM_001144|NM_001144	hgnc_symbol|AMFR|AMFR
refseq_dna|NM_000383|NM_000383	hgnc_symbol|AIRE|AIRE
refseq_dna|NM_001699|NM_001699	hgnc_symbol|AXL|AXL
refseq_dna|NM_016524|NM_016524
refseq_dna|NM_025240|NM_025240	hgnc_symbol|CD276|CD276
refseq_dna|NM_006992|NM_006992	hgnc_symbol|LRRC23|LRRC23
refseq_dna|NM_003670|NM_003670	hgnc_symbol|BHLHE40|BHLHE40
refseq_dna|NM_014038|NM_014038	hgnc_symbol|BZW2|BZW2
refseq_dna|NM_017693|NM_017693	hgnc_symbol|BIVM|BIVM
refseq_dna|NM_001728|NM_001728	hgnc_symbol|BSG|BSG
refseq_dna|NM_025141|NM_025141	hgnc_symbol|TM2D3|TM2D3
refseq_dna|NM_000633|NM_000633	hgnc_symbol|BCL2|BCL2
refseq_dna|NM_020993|NM_020993	hgnc_symbol|BCL7A|BCL7A
refseq_dna|NM_004330|NM_004330	hgnc_symbol|BNIP2|BNIP2
refseq_dna|NM_001188|NM_001188	hgnc_symbol|BAK1|BAK1
refseq_dna|NM_004324|NM_004324	hgnc_symbol|BAX|BAX
refseq_dna|NM_001191|NM_001191	hgnc_symbol|BCL2L1|BCL2L1
refseq_dna|NM_020396|NM_020396	hgnc_symbol|BCL2L10|BCL2L10
refseq_dna|NM_015367|NM_015367	hgnc_symbol|BCL2L13|BCL2L13
refseq_dna|NM_012200|NM_012200	hgnc_symbol|B3GAT3|B3GAT3
refseq_dna|NM_004048|NM_004048	hgnc_symbol|B2M|B2M
refseq_dna|NM_012105|NM_012105	hgnc_symbol|BACE2|BACE2
refseq_dna|NG_000013|NG_000013	hgnc_symbol|CFB|CFB
refseq_dna|NM_016561|NM_016561	hgnc_symbol|BFAR|BFAR
refseq_dna|NM_001711|NM_001711	hgnc_symbol|BGN|BGN
refseq_dna|NM_000060|NM_000060	hgnc_symbol|BTD|BTD
refseq_dna|NM_001721|NM_001721	hgnc_symbol|BMX|BMX
refseq_dna|NM_004335|NM_004335	hgnc_symbol|BST2|BST2
refseq_dna|NM_014482|NM_014482	hgnc_symbol|BMP10|BMP10
refseq_dna|NM_001202|NM_001202	hgnc_symbol|BMP4|BMP4
refseq_dna|NM_001718|NM_001718	hgnc_symbol|BMP6|BMP6
refseq_dna|NM_004329|NM_004329	hgnc_symbol|BMPR1A|BMPR1A
refseq_dna|NM_001204|NM_001204	hgnc_symbol|BMPR2|BMPR2
refseq_dna|NM_000710|NM_000710	hgnc_symbol|BDKRB1|BDKRB1
refseq_dna|NM_000623|NM_000623	hgnc_symbol|BDKRB2|BDKRB2
refseq_dna|NM_015964|NM_015964	hgnc_symbol|TPPP3|TPPP3
refseq_dna|NM_001709|NM_001709	hgnc_symbol|BDNF|BDNF
refseq_dna|NM_001703|NM_001703	hgnc_symbol|BAI2|BAI2
refseq_dna|NM_001704|NM_001704	hgnc_symbol|BAI3|BAI3
refseq_dna|NM_006768|NM_006768	hgnc_symbol|BRAP|BRAP
refseq_dna|NM_004656|NM_004656	hgnc_symbol|BAP1|BAP1
refseq_dna|NM_000465|NM_000465	hgnc_symbol|BARD1|BARD1
refseq_dna|NM_007294….NM_007306|NM_007294	hgnc_symbol|BRCA1|BRCA1
refseq_dna|NM_000059|NM_000059	hgnc_symbol|BRCA2|BRCA2
refseq_dna|NM_003567|NM_003567	hgnc_symbol|BCAR3|BCAR3
refseq_dna|NM_005872|NM_005872	hgnc_symbol|BCAS2|BCAS2
refseq_dna|NM_001519|NM_001519	hgnc_symbol|BRF1|BRF1
refseq_dna|NM_020732|NM_020732	hgnc_symbol|ARID1B|ARID1B
refseq_dna|NM_016187|NM_016187	hgnc_symbol|BIN2|BIN2
refseq_dna|NM_018321|NM_018321	hgnc_symbol|BRIX1|BRIX1
refseq_dna|NM_004634|NM_004634	hgnc_symbol|BRPF1|BRPF1
refseq_dna|NM_007371|NM_007371	hgnc_symbol|BRD3|BRD3
refseq_dna|NM_021938|NM_021938	hgnc_symbol|CELF5|CELF5
refseq_dna|NM_000061|NM_000061	hgnc_symbol|BTK|BTK
refseq_dna|NM_006763|NM_006763	hgnc_symbol|BTG2|BTG2
refseq_dna|NM_001723|NM_001723	hgnc_symbol|DST|DST
refseq_dna|NM_015955|NM_015955	hgnc_symbol|MEMO1|MEMO1
refseq_dna|NM_024332|NM_024332	hgnc_symbol|BRCC3|BRCC3
refseq_dna|NM_003928|NM_003928	hgnc_symbol|FAM127A|FAM127A
refseq_dna|NM_004360|NM_004360	hgnc_symbol|CDH1|CDH1
refseq_dna|NM_006727|NM_006727	hgnc_symbol|CDH10|CDH10
refseq_dna|NM_001797|NM_001797	hgnc_symbol|CDH11|CDH11
refseq_dna|NM_004061|NM_004061	hgnc_symbol|CDH12|CDH12
refseq_dna|NM_001257|NM_001257	hgnc_symbol|CDH13|CDH13
refseq_dna|NM_004933|NM_004933	hgnc_symbol|CDH15|CDH15
refseq_dna|NM_004062|NM_004062	hgnc_symbol|CDH16|CDH16
refseq_dna|NM_004063|NM_004063	hgnc_symbol|CDH17|CDH17
refseq_dna|NM_004934|NM_004934	hgnc_symbol|CDH18|CDH18
refseq_dna|NM_021153|NM_021153	hgnc_symbol|CDH19|CDH19
refseq_dna|NM_001792|NM_001792	hgnc_symbol|CDH2|CDH2
refseq_dna|NM_001793|NM_001793	hgnc_symbol|CDH3|CDH3
refseq_dna|NM_001794|NM_001794	hgnc_symbol|CDH4|CDH4
refseq_dna|NM_001795|NM_001795	hgnc_symbol|CDH5|CDH5
refseq_dna|NM_004932|NM_004932	hgnc_symbol|CDH6|CDH6
refseq_dna|NM_004361|NM_004361	hgnc_symbol|CDH7|CDH7
refseq_dna|NM_001796|NM_001796	hgnc_symbol|CDH8|CDH8
refseq_dna|NM_016279|NM_016279	hgnc_symbol|CDH9|CDH9
refseq_dna|NM_022124|NM_022124	hgnc_symbol|CDH23|CDH23
refseq_dna|NM_001741|NM_001741	hgnc_symbol|CALCA|CALCA
refseq_dna|NM_000721|NM_000721	hgnc_symbol|CACNA1E|CACNA1E
refseq_dna|NM_005183|NM_005183	hgnc_symbol|CACNA1F|CACNA1F
refseq_dna|NM_018896|NM_018896	hgnc_symbol|CACNA1G|CACNA1G
refseq_dna|NM_021098|NM_021098	hgnc_symbol|CACNA1H|CACNA1H
refseq_dna|NM_021096|NM_021096	hgnc_symbol|CACNA1I|CACNA1I
refseq_dna|NM_018398|NM_018398	hgnc_symbol|CACNA2D3|CACNA2D3
refseq_dna|NM_000722|NM_000722	hgnc_symbol|CACNA2D1|CACNA2D1
refseq_dna|NM_006030|NM_006030	hgnc_symbol|CACNA2D2|CACNA2D2
refseq_dna|NM_000723|NM_000723	hgnc_symbol|CACNB1|CACNB1
refseq_dna|NM_000724|NM_000724	hgnc_symbol|CACNB2|CACNB2
refseq_dna|NM_000725|NM_000725	hgnc_symbol|CACNB3|CACNB3
refseq_dna|NM_000726|NM_000726	hgnc_symbol|CACNB4|CACNB4
refseq_dna|NM_000727|NM_000727	hgnc_symbol|CACNG1|CACNG1
