Gene Symbol	Gene Description
FAM155A	family with sequence similarity 155, me
FAM24B	family with sequence similarity 24, mem
FAM40B	family with sequence similarity 40, mem
FBXO32	F-box protein 32
FCGBP	Fc fragment of IgG binding protein
FHDC1	FH2 domain containing 1
FLJ20444	hypothetical protein FLJ20444
FLJ32255	hypothetical protein LOC643977
FZD4	frizzled homolog 4 (Drosophila)
FZD7	frizzled homolog 7 (Drosophila)
Fas	Fas (TNF receptor superfamily, member 6
Fbp1	fructose-1,6-bisphosphatase 1
Fkbp10	FK506 binding protein 10, 65 kDa
Fst	follistatin
Fut1	fucosyltransferase 1 (galactoside 2-alp
G0s2	G0/G1switch 2
GABARAPL1	GABA(A) receptor-associated protein lik
GBP2	guanylate binding protein 2, interferon
GGT5	gamma-glutamyltransferase 5
GGTLC1	gamma-glutamyltransferase light chain 1
GJA1	gap junction protein, alpha 1, 43kDa
GNG11	guanine nucleotide binding protein (G p
GNG2	guanine nucleotide binding protein (G p
GPNMB	glycoprotein (transmembrane) nmb
GPR1	G protein-coupled receptor 1
GPR56	G protein-coupled receptor 56
Galntl4	UDP-N-acetyl-alpha-D-galactosamine:poly
Gdf15	growth differentiation factor 15
Gramd2	GRAM domain containing 2
HDAC4	histone deacetylase 4
HIST1H2AL	histone cluster 1, H2ag
HIST1H2BD	histone cluster 1, H2bd
HIST1H2BG	histone cluster 1, H2be
HIST1H2BG	histone cluster 1, H2bf
HIST2H2BE	histone cluster 2, H2be
HLA-B	major histocompatibility complex, class
HLA-DRA	major histocompatibility complex, class
HNF1B	HNF1 homeobox B
HOXB6	homeobox B6
HPSE	heparanase
HSD11B1	hydroxysteroid (11-beta) dehydrogenase
HTRA1	HtrA serine peptidase 1
Hecw2	HECT, C2 and WW domain containing E3 ub
Hist1h1c	histone cluster 1, H1c
Hist1h2bh	histone cluster 1, H2bh
Hspa2	heat shock 70kDa protein 2
ICAM1	intercellular adhesion molecule 1
ID2	inhibitor of DNA binding 2, dominant ne
IFFO1	intermediate filament family orphan 1
IFI44	interferon-induced protein 44
IFIH1	interferon induced with helicase C doma
IFIT1	interferon-induced protein with tetratr
IGFBP6	insulin-like growth factor binding prot
IL12RB1	interleukin 12 receptor, beta 1
IL1B	interleukin 1, beta
IL23A	interleukin 23, alpha subunit p19
IL32	interleukin 32
IL6	interleukin 6 (interferon, beta 2)
IL8	interleukin 8
INHBA	inhibin, beta A
INSIG1	insulin induced gene 1
IQCD	IQ motif containing D
IRAK2	interleukin-1 receptor-associated kinas
IRF7	interferon regulatory factor 7
ISG20	interferon stimulated exonuclease gene
ITGA10	integrin, alpha 10
ITGBL1	integrin, beta-like 1 (with EGF-like re
Id3	inhibitor of DNA binding 3, dominant ne
Ier5l	immediate early response 5-like
Ifit2	interferon-induced protein with tetratr
Ifitm1	interferon induced transmembrane protei
Il1a	interleukin 1, alpha
Impa2	inositol(myo)-1(or 4)-monophosphatase 2
Inhbb	inhibin, beta B
Iqcg	IQ motif containing G
Irx5	iroquois homeobox 5
JUP	junction plakoglobin
KIAA1199	KIAA1199
KIAA1462	KIAA1462
KISS1	KiSS-1 metastasis-suppressor
KRT17	keratin 17
KRT86	keratin 86
Kynu	kynureninase (L-kynurenine hydrolase)
LAMC2	laminin, gamma 2
LAMP3	lysosomal-associated membrane protein 3
LAPTM5	lysosomal multispanning membrane protei
LIMD2	LIM domain containing 2
LOC100128288	hypothetical protein LOC100128288
LOC100133632	family with sequence similarity 101, me
LOC201651	similar to arylacetamide deacetylase (A
LOC440459	solute carrier family 16, member 6 (mon
LOC645638	similar to WDNM1-like protein
LOC654433	hypothetical LOC654433
LUM	lumican
LY6K	lymphocyte antigen 6 complex, locus K
LYPD3	LY6/PLAUR domain containing 3
Lamb3	laminin, beta 3
Lcn2	lipocalin 2
Lrrc61	leucine rich repeat containing 61
Ltbp1	latent transforming growth factor beta
MAL2	mal, T-cell differentiation protein 2
MAMDC2	MAM domain containing 2
MANSC1	MANSC domain containing 1
MED24	mediator complex subunit 24
MERTK	c-mer proto-oncogene tyrosine kinase
MFAP2	microfibrillar-associated protein 2
MFGE8	milk fat globule-EGF factor 8 protein
MLLT11	myeloid/lymphoid or mixed-lineage leuke
MMP3	matrix metallopeptidase 3 (stromelysin
MT1G	metallothionein 1G
MTMR11	myotubularin related protein 11
MUC1	mucin 1, cell surface associated
Matn2	matrilin 2
Mxra8	matrix-remodelling associated 8
NANOS1	nanos homolog 1 (Drosophila)
NFKBIA	nuclear factor of kappa light polypepti
NFKBIZ	nuclear factor of kappa light polypepti
NMB	neuromedin B
NRIP1	nuclear receptor interacting protein 1
NTNG2	netrin G2
NXT2	nuclear transport factor 2-like export
Nedd9	neural precursor cell expressed, develo
Ngf	nerve growth factor (beta polypeptide)
Nrk	Nik related kinase
OASL	2-5-oligoadenylate synthetase-like
Oas3	2-5-oligoadenylate synthetase 3, 100k
PAPPAS	pregnancy-associated plasma protein A,
PBX1	pre-B-cell leukemia homeobox 1
PCDH7	protocadherin 7
PDZK1IP1	PDZK1 interacting protein 1
PF4	platelet factor 4
PGM2L1	phosphoglucomutase 2-like 1
PI3	peptidase inhibitor 3, skin-derived
PION	pigeon homolog (Drosophila)
PLA2G4C	phospholipase A2, group IVC (cytosolic,
PLCG2	phospholipase C, gamma 2 (phosphatidyli
PLEKHO2	pleckstrin homology domain containing,
PLXDC2	plexin domain containing 2
PMEPA1	prostate transmembrane protein, androge
POLM	polymerase (DNA directed), mu
POPDC3	popeye domain containing 3
PSG4	pregnancy specific beta-1-glycoprotein
PSG5	pregnancy specific beta-1-glycoprotein
PSG9	pregnancy specific beta-1-glycoprotein
PTGES	prostaglandin E synthase
PTGS2	prostaglandin-endoperoxide synthase 2 (
PTN	pleiotrophin
Pabpc4l	poly(A) binding protein, cytoplasmic 4-
Pak6	p21 protein (Cdc42/Rac)-activated kinas
Pde2a	phosphodiesterase 2A, cGMP-stimulated
Pdzd2	PDZ domain containing 2
Pear1	platelet endothelial aggregation recept
Plac1	placenta-specific 1
Plcb4	phospholipase C, beta 4
Plxna2	plexin A2
Plxnd1	plexin D1
Pou2f2	POU class 2 homeobox 2
Prr16	proline rich 16
Prr5l	proline rich 5 like
Ptgs1	prostaglandin-endoperoxide synthase 1 (
RASSF2	Ras association (RalGDS/AF-6) domain fa
RBMS3	RNA binding motif, single stranded inte
RBP7	retinol binding protein 7, cellular
RCN3	reticulocalbin 3, EF-hand calcium bindi
RGS9	regulator of G-protein signaling 9
RHOJ	ras homolog gene family, member J
RSAD2	radical S-adenosyl methionine domain co
RTEL1	tumor necrosis factor receptor superfam
Rcsd1	RCSD domain containing 1
Ribc2	RIB43A domain with coiled-coils 2
Robo4	roundabout homolog 4, magic roundabout
S100P	S100 calcium binding protein P
S100Z	S100 calcium binding protein Z
S100a3	S100 calcium binding protein A3
SAA4	serum amyloid A4, constitutive
SAMD9	sterile alpha motif domain containing 9
SAMD9L	sterile alpha motif domain containing 9
SBSN	suprabasin
SCN3A	sodium channel, voltage-gated, type III
SCN9A	sodium channel, voltage-gated, type IX,
SDK1	sidekick homolog 1, cell adhesion molec
SELENBP1	selenium binding protein 1
SELM	selenoprotein M
SERPINA1	serpin peptidase inhibitor, clade A (al
SERPINB2	serpin peptidase inhibitor, clade B (ov
SGSH	N-sulfoglucosamine sulfohydrolase
SH3TC2	SH3 domain and tetratricopeptide repeat
SIGIRR	single immunoglobulin and toll-interleu
SLAMF7	SLAM family member 7
SLC12A8	solute carrier family 12 (potassium/chl
SLC16A2	solute carrier family 16, member 2 (mon
SLC1A3	solute carrier family 1 (glial high aff
SLC22A18AS	solute carrier family 22 (organic catio
SLC22A3	solute carrier family 22 (extraneuronal
SLC2A10	solute carrier family 2 (facilitated gl
SLC4A4	solute carrier family 4, sodium bicarbo
SLC6A8	solute carrier family 6 (neurotransmitt
SLC7A7	solute carrier family 7 (cationic amino
SLCO4A1	solute carrier organic anion transporte
SNN	stannin
SP140	SP140 nuclear body protein
SPHK1	sphingosine kinase 1
SPP1	secreted phosphoprotein 1
SPTLC3	serine palmitoyltransferase, long chain
SSX1	synovial sarcoma, X breakpoint 1
STAT4	signal transducer and activator of tran
STC2	stanniocalcin 2
STEAP1	six transmembrane epithelial antigen of
Sdc4	syndecan 4
Sel1l3	KIAA0746 protein
Sema3e	sema domain, immunoglobulin domain (Ig)
Serpini1	serpin peptidase inhibitor, clade I (ne
Six2	SIX homeobox 2
Slc14a1	solute carrier family 14 (urea transpor
Slc6a14	solute carrier family 6 (amino acid tra
Slfn5	schlafen family member 5
Slpi	secretory leukocyte peptidase inhibitor
Sod2	superoxide dismutase 2, mitochondrial
Sox15	SRY (sex determining region Y)-box 15
Sox4	SRY (sex determining region Y)-box 4
Spink4	serine peptidase inhibitor, Kazal type
Spint1	serine peptidase inhibitor, Kunitz type
St6galnac2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta
Sult1c2	sulfotransferase family, cytosolic, 1C,
Sun3	Sad1 and UNC84 domain containing 1
Syt11	synaptotagmin XI
TCEA3	transcription elongation factor A (SII)
TCN1	transcobalamin I (vitamin B12 binding p
TFPI2	tissue factor pathway inhibitor 2
THBD	thrombomodulin
TMEM139	transmembrane protein 139
TMEM154	transmembrane protein 154
TMEM27	transmembrane protein 27
TMEM88	transmembrane protein 88
TMPO	thymopoietin
TNC	tenascin C
TNFAIP3	tumor necrosis factor, alpha-induced pr
TNFRSF1B	tumor necrosis factor receptor superfam
TNFSF15	tumor necrosis factor (ligand) superfam
TNFSF9	tumor necrosis factor (ligand) superfam
TNNT1	troponin T type 1 (skeletal, slow)
TNS4	tensin 4
TPD52L1	tumor protein D52-like 1
TRIB2	tribbles homolog 2 (Drosophila)
TRIB3	tribbles homolog 3 (Drosophila)
TRIML2	tripartite motif family-like 2
TRPM4	transient receptor potential cation cha
TSPAN1	tetraspanin 1
TSPYL5	TSPY-like 5
Tmem171	transmembrane protein 171
Tnip1	TNFAIP3 interacting protein 1
Tspan2	tetraspanin 2
Tspan8	tetraspanin 8
ULBP2	UL16 binding protein 2
VCAN	versican
VEGFA	vascular endothelial growth factor A
VIPR1	vasoactive intestinal peptide receptor
VSTM1	V-set and transmembrane domain containi
Vnn1	vanin 1
ZBTB1	zinc finger and BTB domain containing 1
ZC3H12C	zinc finger CCCH-type containing 12C
ZG16B	zymogen granule protein 16 homolog B (r
ZNF114	zinc finger protein 114
ZNF404	zinc finger protein 404
ZNF670	zinc finger protein 670
aass	aminoadipate-semialdehyde synthase
adhfe1	alcohol dehydrogenase, iron containing,
afap1l1	actin filament associated protein 1-lik
aif1l	allograft inflammatory factor 1-like
ank2	ankyrin 2, neuronal
arrb2	arrestin, beta 2
as3mt	arsenic (+3 oxidation state) methyltran
bdh2	3-hydroxybutyrate dehydrogenase, type 2
bmp2	bone morphogenetic protein 2
ccbe1	collagen and calcium binding EGF domain
cebpd	CCAAT/enhancer binding protein (C/EBP),
cldn7	claudin 7
clic3	chloride intracellular channel 3
crip1	cysteine-rich protein 1 (intestinal)
cyb5r2	cytochrome b5 reductase 2
ddit4	DNA-damage-inducible transcript 4
ebi3	Epstein-Barr virus induced 3
fabp3	fatty acid binding protein 3, muscle an
fam65c	family with sequence similarity 65, mem
fermt3	fermitin family homolog 3 (Drosophila)
fggy	FGGY carbohydrate kinase domain contain
fhl1	four and a half LIM domains 1
gbp5	guanylate binding protein 5
gfpt2	glutamine-fructose-6-phosphate transami
gjb2	gap junction protein, beta 2, 26kDa
gmfg	glia maturation factor, gamma
hcp5	HLA complex P5
herc6	hect domain and RLD 6
hla-dpa1	major histocompatibility complex, class
hla-drb1	major histocompatibility complex, class
hoxb5	homeobox B5
id1	inhibitor of DNA binding 1, dominant ne
ifi30	interferon, gamma-inducible protein 30
igf2bp3	insulin-like growth factor 2 mRNA bindi
il2rg	interleukin 2 receptor, gamma (severe c
isyna1	inositol-3-phosphate synthase 1
klf2	Kruppel-like factor 2 (lung)
klhl21	kelch-like 21 (Drosophila)
lat	linker for activation of T cells
lbh	limb bud and heart development homolog
lpin1	lipin 1
mael	maelstrom homolog (Drosophila)
mettl7a	methyltransferase like 7A
mx1	myxovirus (influenza virus) resistance
nnmt	nicotinamide N-methyltransferase
nppb	natriuretic peptide precursor B
nupr1	nuclear protein, transcriptional regula
pan2	PAN2 poly(A) specific ribonuclease subu
pcsk9	proprotein convertase subtilisin/kexin
phyhd1	phytanoyl-CoA dioxygenase domain contai
plekha7	pleckstrin homology domain containing,
pstpip2	proline-serine-threonine phosphatase in
rab31	RAB31, member RAS oncogene family
scd	stearoyl-CoA desaturase (delta-9-desatu
socs2	suppressor of cytokine signaling 2
st3gal5	ST3 beta-galactoside alpha-2,3-sialyltr
stom	stomatin
sytl3	synaptotagmin-like 3
tgfbi	transforming growth factor, beta-induce
thbs2	thrombospondin 2
tmcc3	transmembrane and coiled-coil domain fa
tnnc1	troponin C type 1 (slow)
tpm2	tropomyosin 2 (beta)
AADAC	arylacetamide deacetylase (esterase)
Ablim3	actin binding LIM protein family, membe
C15orf48	chromosome 15 open reading frame 48
C3	complement component 3
C6orf105	chromosome 6 open reading frame 105
CCL20	chemokine (C-C motif) ligand 20
COL1A1	collagen, type I, alpha 1
COX7B2	cytochrome c oxidase subunit VIIb2
CTHRC1	collagen triple helix repeat containing
CXCL1	chemokine (C-X-C motif) ligand 1 (melan
Col6a3	collagen, type VI, alpha 3
Cyp24a1	cytochrome P450, family 24, subfamily A
DCAF4L1	WD repeat domain 21B
DMBT1	deleted in malignant brain tumors 1
EFEMP2	EGF-containing fibulin-like extracellul
HSD11B1	hydroxysteroid (11-beta) dehydrogenase
ICAM1	intercellular adhesion molecule 1
IL1B	interleukin 1, beta
ITGBL1	integrin, beta-like 1 (with EGF-like re
Il1a	interleukin 1, alpha
KRT86	keratin 86
LAPTM5	lysosomal multispanning membrane protei
LOC100133632	family with sequence similarity 101, me
LOC201651	similar to arylacetamide deacetylase (A
MMP3	matrix metallopeptidase 3 (stromelysin
NXT2	nuclear transport factor 2-like export
PLA2G4C	phospholipase A2, group IVC (cytosolic,
POLM	polymerase (DNA directed), mu
Plac1	placenta-specific 1
Plcb4	phospholipase C, beta 4
RTEL1	tumor necrosis factor receptor superfam
Robo4	roundabout homolog 4, magic roundabout
S100P	S100 calcium binding protein P
SAA4	serum amyloid A4, constitutive
SERPINB2	serpin peptidase inhibitor, clade B (ov
SLC7A7	solute carrier family 7 (cationic amino
SPHK1	sphingosine kinase 1
SSX1	synovial sarcoma, X breakpoint 1
STC2	stanniocalcin 2
Sema3e	sema domain, immunoglobulin domain (Ig)
Slc14a1	solute carrier family 14 (urea transpor
Sox15	SRY (sex determining region Y)-box 15
TCN1	transcobalamin I (vitamin B12 binding p
TFPI2	tissue factor pathway inhibitor 2
TSPYL5	TSPY-like 5
VCAN	versican
Vnn1	vanin 1
as3mt	arsenic (+3 oxidation state) methyltran
fermt3	fermitin family homolog 3 (Drosophila)
fhl1	four and a half LIM domains 1
gmfg	glia maturation factor, gamma
hoxb5	homeobox B5
lat	linker for activation of T cells
mael	maelstrom homolog (Drosophila)
mettl7a	methyltransferase like 7A
pcsk9	proprotein convertase subtilisin/kexin
scd	stearoyl-CoA desaturase (delta-9-desatu
socs2	suppressor of cytokine signaling 2
sytl3	synaptotagmin-like 3
thbs2	thrombospondin 2
tpm2	tropomyosin 2 (beta)
