Agilent Probe name	Gene Name	GB Accession	Unigene cluster (build 221)
A_23_P30776	HIST1H2BE	NM_003523	Hs.534369
A_32_P119704
A_23_P22143	PDE6B	NM_000283	Hs.654544
A_24_P214858	TREML2	NM_024807	Hs.164797
A_23_P58132	RHOH	NM_004310	Hs.654594
A_23_P83556	CRK	NM_016823	Hs.638121
A_32_P180435	WBSCR19	NM_175064	Hs.645483
A_23_P93988	ARHGEF5	NM_005435	Hs.334
A_23_P76969	SIPA1L1	NM_015556	Hs.654657
A_23_P39665	SLC11A1	NM_000578	Hs.591607
A_23_P52610	DDB2	NM_000107	Hs.655280
A_32_P154121
A_32_P2161	LOC100132815	AK023040	Hs.535549
A_23_P75028	REEP3	NM_001001330	Hs.499833
A_23_P422305	SFXN4	AK095295	Hs.655168
A_23_P102471	MSH2	NM_000251	Hs.597656
A_23_P77714	CLUAP1	NM_024793	Hs.155995
A_23_P33511		AX721087
A_23_P58132	RHOH	NM_004310	Hs.654594
A_24_P337058	CCNL1	NM_020307	Hs.4859
A_23_P132874	C3orf26	NM_032359	Hs.655111
A_23_P376591	CLYBL	NM_206808	Hs.655642
A_23_P370035	WDR21A	NM_181340	Hs.331491
A_32_P122136	LOC150759	AK057596	Hs.651675
A_23_P163143	ACYP1	NM_203488	Hs.18573
A_23_P30069	DDX60L	NM_001012967	Hs.535011
A_23_P101434	NLRP12	NM_033297	Hs.631573
A_23_P42746	NCF1	NM_000265	Hs.647047
A_32_P160615
A_23_P384056	CCDC14	NM_022757	Hs.656256
A_23_P60579	MPI	NM_002435	Hs.75694
A_24_P374634	STAU2	AK002152	Hs.561815
A_24_P267293	SARM1	NM_015077	Hs.532781
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P103405		AK023086	Hs.657628
A_23_P62652	SLAMF1	NM_003037	Hs.523660
A_23_P146058	ATP6V1C1	NM_001695	Hs.86905
A_32_P71876
A_23_P6293	UBASH3A	NM_018961	Hs.473912
A_24_P639629		AK056245	Hs.371609
A_23_P59069	HIST1H2BO	NM_003527	Hs.673856
A_32_P49334		BC036909	Hs.667194
A_24_P410363	EGLN1	NM_022051	Hs.444450
A_23_P78244		BC053363	Hs.693922
A_23_P68087	ATIC	NM_004044	Hs.90280
A_23_P131771	TPD52L2	NM_199360	Hs.473296
A_23_P133474	GPX3	NM_002084	Hs.386793
A_23_P305692	ELMOD2	NM_153702	Hs.450105
A_23_P123503	TRIB1	NM_025195	Hs.444947
A_23_P16469	PLAUR	NM_001005377	Hs.466871
A_24_P13682	TLE3	NM_005078	Hs.287362
A_24_P9090	HNRPDL	NM_031372	Hs.527105
A_23_P55606	ZNF516	NM_014643	Hs.436973
A_24_P64039	AP3M2	NM_006803	Hs.654529
A_23_P83192	PHPT1	NM_014172	Hs.409834
A_24_P211351
A_24_P546003		CR609843	Hs.526415
A_23_P43369	SIT1	NM_014450	Hs.88012
A_23_P92012	TSEN2	NM_025265	Hs.335550
A_23_P398294	HIP1R	NM_003959	Hs.654842
A_23_P90419	PBX4	NM_025245	Hs.466257
A_24_P89457	CDKN1A	NM_078467	Hs.370771
A_23_P12514	RHOC	NM_175744	Hs.502659
A_24_P203630	ANKRD36B	NM_025190	Hs.532921
A_23_P94494	TLE4	NM_007005	Hs.444213
A_23_P167983	HIST1H2AC	CR624886	Hs.622290
A_32_P112078
A_23_P352435	RGS12	NM_002926	Hs.527061
A_23_P252335	C21orf45	NM_018944	Hs.190518
A_23_P65870	FBXO22	NM_012170	Hs.591115
A_23_P76529	ITGB7	NM_000889	Hs.654470
A_24_P4212	PYCRL	NM_023078	Hs.165186
A_23_P16078	PAFAH1B3	NM_002573	Hs.466831
A_23_P78742	FLT3LG	NM_001459	Hs.428
A_24_P783122		AK123722	Hs.512211
A_32_P54616	KIAA1407	NM_020817	Hs.477159
A_23_P31681	C8orf38	AK074467	Hs.435500
A_23_P218555	FOSL2	NM_005253	Hs.220971
A_23_P126844	TNFRSF25	NM_148965	Hs.462529
A_24_P683861		AB067383	Hs.634941
A_32_P198295
A_24_P260346	ADH5	NM_000671	Hs.78989
A_24_P925664
A_23_P138693	NMT2	NM_004808	Hs.60339
A_24_P103886	IDI1	NM_004508	Hs.283652
A_24_P290751	DTX1	NM_004416	Hs.372152
A_23_P326987	LOC100190939	NR_024458	Hs.375766
A_23_P69188	DPH3	NM_206831	Hs.388087
A_23_P90172	PPP1R15A	NM_014330	Hs.631593
A_32_P224666	CAPZA2	NM_006136	Hs.446123
A_24_P337397	ANKRA2	NM_023039	Hs.239154
A_24_P152345			Hs.647961
A_23_P152807	RSAD1	NM_018346	Hs.8033
A_24_P89257	ERGIC1	NM_001031711	Hs.509163
A_23_P46673	LOC730167	XM_001134097
A_23_P13604	PEBP1	NM_002567	Hs.433863
A_32_P108748
A_24_P239578	SLA	NM_001045556	Hs.75367
A_23_P214330	SERPINB1	NM_030666	Hs.381167
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P357936	ASTN2	NM_014010	Hs.653266
A_23_P62901	BTG2	NM_006763	Hs.519162
A_23_P110345	CHIC2	NM_012110	Hs.335393
A_23_P152356	ZNF200	NM_003454	Hs.632222
A_23_P83277	IL11RA	NM_004512	Hs.591088
A_32_P172114		BG260069	Hs.592202
A_32_P135558	TMEM188	NM_153261	Hs.59134
A_23_P213153	HNRPDL	NM_031372	Hs.527105
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P5392	TP53I3	NM_004881	Hs.50649
A_23_P403195	MICAL3	BC064400	Hs.646433
A_32_P232559	LOC439949	XM_001129241	Hs.590987
A_24_P365753	CXorf42	BX537594	Hs.442518
A_23_P211899
A_24_P252043	PTP4A1	NM_003463	Hs.227777
A_23_P58132	RHOH	NM_004310	Hs.654594
A_23_P397671	CR1	NM_000651	Hs.334019
A_23_P145238	HIST1H2BK	NM_080593	Hs.437275
A_23_P35099	MRTO4	NM_016183	Hs.463797
A_23_P350467	MAPKAPK2	NM_004759	Hs.643566
A_24_P114124	LAPTM5	NM_006762	Hs.371021
A_23_P70290	TMEM30A	NM_018247	Hs.108530
A_24_P48069	DOK4	NM_018110	Hs.279832
A_23_P368028	TP53I11	AF010315	Hs.554791
A_23_P117582	JDP2	NM_130469	Hs.648504
A_23_P152002	BCL2A1	NM_004049	Hs.227817
A_23_P36888	FAM113B	NM_138371	Hs.560100
A_32_P94618
A_23_P145574	HINT3	NM_138571	Hs.72325
A_32_P190951		AY393117	Hs.644810
A_23_P81770	PTP4A1	NM_003463	Hs.227777
A_24_P926450
A_24_P241318	WDR21A	NM_181340	Hs.331491
A_23_P27947	PDCD2L	NM_032346	Hs.515344
A_23_P371076		AF113122	Hs.373857
A_32_P58668
A_23_P28886	PCNA	NM_002592	Hs.147433
A_24_P241815	JUNB	NM_002229	Hs.25292
A_23_P213069	TMEM33	NM_018126	Hs.31082
A_23_P156218	GZMK	NM_002104	Hs.277937
A_23_P156609
A_23_P111054	HIST1H2BB	NM_021062	Hs.553494
A_24_P355816	DRAM	NM_018370	Hs.525634
A_32_P193792		AF161353	Hs.669325
A_23_P1602	CDC42EP2	NM_006779	Hs.343380
A_23_P114057	SEMA4C	NM_017789	Hs.516220
A_23_P303763	ZNF79	NM_007135	Hs.522399
A_23_P200056	NADK	NM_023018	Hs.654792
A_23_P343935	EGLN1	NM_022051	Hs.444450
A_23_P147224		S73506	Hs.654565
A_32_P18357		AK128559	Hs.617139
A_24_P88690	SLC11A1	NM_000578	Hs.591607
A_23_P201731	TRAF5	NM_004619	Hs.523930
A_23_P256445	VCPIP1	NM_025054	Hs.632066
A_23_P361584	TMEM154	NM_152680	Hs.518900
A_24_P128312	ZNF79	NM_007135	Hs.522399
A_23_P42178	HIST1H2BF	NM_003522	Hs.182137
A_23_P169030	TNFRSF10B	NM_003842	Hs.521456
A_23_P345581	FOSL2	NM_005253	Hs.220971
A_24_P70002	LATS2	NM_014572	Hs.78960
A_32_P36835
A_23_P348121	FOSL2	NM_005253	Hs.220971
A_23_P29036	IFNGR2	NM_005534	Hs.634632
A_23_P110362	MAPKSP1	NM_021970	Hs.647988
A_24_P156911	HIST2H2BE	NM_003528	Hs.2178
A_23_P159012	ANKRA2	NM_023039	Hs.239154
A_23_P200203	ECHDC2	NM_018281	Hs.476319
A_23_P218463	SERTAD1	NM_013376	Hs.269898
A_23_P100196	USP10	NM_005153	Hs.136778
A_24_P322741	IL10RB	NM_000628	Hs.654593
A_23_P428992		CR606044	Hs.6815
A_23_P71790	MAMDC4	NM_206920	Hs.376780
A_32_P57877		BX433326	Hs.655628
A_23_P121702	OCIAD2	NM_001014446	Hs.95835
A_23_P212196	OGG1	NM_016828	Hs.380271
A_24_P845072	FAM91A1	NM_144963	Hs.459174
A_24_P252497	TRIB1	NM_025195	Hs.444947
A_23_P383986	GALNAC4S-6ST	NM_015892	Hs.287537
A_24_P248167	WDR21A	AL080157	Hs.331491
A_23_P140760	GPR97	NM_170776	Hs.383403
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_24_P180424	TMEM30A	NM_018247	Hs.108530
A_24_P238046	LOC399491	AK023376	Hs.648395
A_23_P108604	MAP4K4	NM_145686	Hs.431550
A_24_P166807	TPD52	NM_001025252	Hs.368433
A_23_P503010	SLC24A4	NM_153646	Hs.510281
A_24_P172481	TRIM22	NM_006074	Hs.501778
A_23_P209066
A_23_P208706	BAX	NM_138764	Hs.631546
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P59210	CDKN1A	NM_000389	Hs.370771
A_23_P251881	NCR3	NM_147130	Hs.509513
A_32_P69492	POLH	NM_006502	Hs.655467
A_32_P57810	RNF157	NM_052916	Hs.500643
A_24_P936171	AGMAT	NM_024758	Hs.567583
A_23_P208768	FCAR	NM_002000	Hs.659872
A_23_P58132	RHOH	NM_004310	Hs.654594
A_23_P62959	PHLDA3	NM_012396	Hs.268557
A_23_P113471	FAAH2	NM_174912	Hs.496205
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P120153	RNF149	NM_173647	Hs.142074
A_24_P76831	SLC11A1	NM_000578	Hs.591607
A_23_P110212	ACSL1	NM_001995	Hs.406678
A_23_P72503	KLHL2	NM_007246	Hs.388668
A_23_P9465	FPGS	NM_004957	Hs.335084
A_23_P119254	ASF1B	NM_018154	Hs.26516
A_23_P321703	BCL2A1	NM_004049	Hs.227817
A_23_P106602	CRISPLD2	NM_031476	Hs.513779
A_32_P170736		AK098422	Hs.633903
A_24_P261734	SLC38A1	NM_030674	Hs.654875
A_23_P144668	CMBL	NM_138809	Hs.192586
A_23_P8424	PVRIG	NM_024070	Hs.521075
A_24_P319635	MCL1	NM_021960	Hs.632486
A_23_P128486	C12orf5	NM_020375	Hs.504545
A_23_P126836	TNFSF4	NM_003326	Hs.181097
A_24_P916853
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_23_P34396	C1orf63	NM_020317	Hs.259412
A_23_P145786	MLXIPL	NM_032951	Hs.647055
A_23_P102192	MAP4K4	NM_145686	Hs.431550
A_24_P3783	HIST1H2BM	NM_003521	Hs.182432
A_24_P942786	DYRK2	AK024870	Hs.594717
A_23_P125117	KLHDC8B	NM_173546	Hs.13781
A_32_P122891	RUVBL1	AK092163	Hs.272822
A_24_P177844		AJ004954	Hs.458446
A_24_P265523	CR1	NM_000651	Hs.334019
A_32_P62342	GLT8D3	NM_173601	Hs.259347
A_23_P257988	SENP2	AF151697	Hs.401388
A_23_P136172	TMEM68	NM_152417	Hs.420076
A_23_P129466	ATF7IP2	NM_024997	Hs.513343
A_32_P222060
A_23_P71433	UBE2W	NM_001001481	Hs.597486
A_23_P98173	PTPRCAP	NM_005608	Hs.155975
A_32_P101844	LOC100130127	XR_038204	Hs.647673
A_23_P346311	BAX	NM_138765	Hs.631546
A_23_P21393
A_23_P58132	RHOH	NM_004310	Hs.654594
A_23_P103951
A_24_P85418		BC041996	Hs.687008
A_32_P85230		BE646426	Hs.436102
A_23_P19565	ASCC3	NM_006828	Hs.486031
A_23_P40470	HIST1H2BE	NM_003523	Hs.534369
A_32_P64016	RUNDC2C	NR_002939	Hs.443656
A_24_P930707		BX098637	Hs.594427
A_32_P159989	CXorf42	XR_017897	Hs.442518
A_23_P7932	TREML2	NM_024807	Hs.164797
A_24_P148321	HIST2H2BE	NM_003528	Hs.2178
A_23_P411188	CHRNA10	NM_020402	Hs.157714
A_23_P127948	ADM	NM_001124	Hs.441047
A_23_P100730	SKAP1	NM_003726	Hs.316931
A_32_P52153	hCG_1818231	XR_042007	Hs.646725
A_24_P942370	GALNT4	NM_003774	Hs.694167
A_23_P149545	HIST2H2BE	NM_003528	Hs.2178
A_23_P58132	RHOH	NM_004310	Hs.654594
A_32_P96692	POLH	NM_006502
A_32_P116203	NCF1	NM_000265	Hs.647047
A_23_P25019	PRIM1	NM_000946	Hs.534339
A_32_P170664		AK024898	Hs.99785
A_23_P41159	PPP4R2	NM_174907	Hs.431092
A_24_P54879	SCARB2	NM_005506	Hs.349656
A_23_P106194	FOS	NM_005252	Hs.25647
A_23_P128408	TRIAP1	NM_016399	Hs.69499
A_24_P157720		BQ188033	Hs.584954
A_23_P253434	FNDC3B	NM_022763	Hs.159430
A_24_P89891	TRAF1	NM_005658	Hs.531251
A_23_P20225	RRM2B	NM_015713	Hs.512592
A_23_P93180	HIST1H2BC	NM_003526	Hs.658713
A_23_P167997	HIST1H2BG	NM_003518	Hs.591809
A_24_P860662		AF209884	Hs.644810
A_23_P402081	HIST1H2BN	NM_003520	Hs.673851
A_23_P256821	CR1	NM_000651	Hs.334019
A_32_P17343
A_23_P51646	PLK3	NM_004073	Hs.632415
A_24_P323084	C17orf55	NM_178519	Hs.631762
