Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	GenBank	Gene	Localization	Description	Function
207641_at	U133A	2.5	3.3	4.1	NM_012452.1	TNFRSF13B	17p11.2	tumor necrosis factor receptor superfamily, member 13B	Intercellular communication signals
206729_at	U133A	1.6	1.8	2	NM_001243.1	TNFRSF8	1p36	tumor necrosis factor receptor superfamily, member 8	Intercellular communication signals
221323_at	U133A	1.6	2	2	NM_025218.1	ULBP1	6q25	UL16 binding protein 1	Intercellular communication signals
207991_x_at	U133A	1.7	2	2.1	AA809056	ACTB	7p15-p12	actin, beta	Cytosqueleton
200801_x_at	U133A	1.6	1.9	2	NM_001103.1	ACTN2	1q42-q43	actinin, alpha 2	Cytosqueleton
217348_x_at	U133A	1.7	2.3	2.9	AK023853.1	ARHGEF15	17p13.1	Rho guanine nucleotide exchange factor (GEF) 15	Cytosqueleton
208009_s_at	U133A	1.9	2.5	2.4	NM_014448.1	ARHGEF16	1p36.3	Rho guanine exchange factor (GEF) 16	Cytosqueleton
214721_x_at	U133A	2	2.7	2.9	AL162074.1	CDC42EP4	17q24-q25	CDC42 effector protein (Rho GTPase binding) 4	Cytosqueleton
212339_at	U133A	1.7	1.8	1.9	AB002336.1	EPB41L1	20q11.2-q12	erythrocyte membrane protein band 4.1-like 1	Cytosqueleton
204505_s_at	U133A	1.7	2.1	1.9	NM_001978.1	EPB49	8p21.1	erythrocyte membrane protein band 4.9 (dematin)	Cytosqueleton
217892_s_at	U133A	1.8	1.9	1.9	NM_016357.1	EPLIN	12q13	epithelial protein lost in neoplasm beta	Cytosqueleton
213873_at	U133A	1.7	1.8	1.6	D29810.1	ESDN	3q12.1	endothelial and smooth muscle cell-derived neuropilin-like protein	Cytosqueleton
215243_s_at	U133A	1.6	2.2	2.3	AF099730	GJB3	1p34	gap junction protein, beta 3, 31kDa (connexin 31)	Cytosqueleton
207323_s_at	U133A	1.7	1.9	1.8	NM_002385.1	MBP	18q23	myelin basic protein	Cytosqueleton
214087_s_at	U133A	1.6	1.9	2.1	BF593509	MYBPC1	12q23.3	myosin binding protein C, slow type	Cytosqueleton
214023_x_at	U133A	1.7	7.6	6.2	AL533838		6p21.31	beta 5-tubulin	Cytosqueleton
217997_at	U133A	3.7	4.2	3.3	AA576961	PHLDA1	12q15	pleckstrin homology-like domain, family A, member 1	Cytosqueleton
207717_s_at	U133A	1.7	1.9	3.3	NM_004572.1	PKP2	12p11	plakophilin 2	Cytosqueleton
206826_at	U133A	1.9	2.2	2	NM_002677.1	PMP2	8q21.3-q22.1	peripheral myelin protein 2	Cytosqueleton
228405_at	U133B	2.1	2.4	2.6	AI917311	RHPN1	8q24.3	rhophilin, Rho GTPase binding protein 1	Cytosqueleton
203516_at	U133A	1.8	2.2	2.3	NM_003098.1	SNTA1	20q11.2	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	Cytosqueleton
216594_x_at	U133A	1.6	2	2.1	NM_001626.2	AKT2	19q13.1-q13.2	v-akt murine thymoma viral oncogene homolog 2	Transduction signals
205428_s_at	U133A	1.6	2.1	2.4	NM_001740.2	CALB2	16q22.2	calbindin 2, 29kDa (calretinin)	Transduction signals
205166_at	U133A	1.9	2.2	2.4	NM_004055.2	CAPN5	11q14	calpain 5	Transduction signals
216835_s_at	U133A	1.5	1.8	2	AF035299.1	DOK1	2p13	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	Transduction signals
226578_s_at	U133B	1.5	1.7	1.9	AW024420	DUSP1	5q34	dual specificity phosphatase 1	Transduction signals
201536_at	U133A	1.6	1.9	2	AL048503	DUSP3	17q21	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	Transduction signals
206374_at	U133A	2.3	2.9	2.5	NM_004420.1	DUSP8	11p15.5	dual specificity phosphatase 8	Transduction signals
205777_at	U133A	1.7	2	1.8	NM_001395.1	DUSP9	Xq28	dual specificity phosphatase 9	Transduction signals
218030_at	U133A	1.5	1.9	2	NM_014030.1	GIT1	17p11.2	G protein-coupled receptor kinase-interactor 1	Transduction signals
209409_at	U133A	1.6	2	2.2	D86962.1	GRB10	7p12-p11.2	growth factor receptor-bound protein 10	Transduction signals
213076_at	U133A	1.7	1.9	1.9	D38169.1	ITPKC	19q13.1	inositol 1,4,5-trisphosphate 3-kinase C	Transduction signals
210713_at	U133A	2.1	2.5	2.9	U61166.1	ITSN1	21q22.1-q22.2	intersectin 1 (SH3 domain protein)	Transduction signals
204682_at	U133A	1.7	1.8	1.9	NM_000428.1	LTBP2	14q24	latent transforming growth factor beta binding protein 2	Transduction signals
210628_x_at	U133A	1.7	2.2	2.4	AF051344.1	LTBP4	19q13.1-q13.2	latent transforming growth factor beta binding protein 4	Transduction signals
215499_at	U133A	1.7	2.2	2.1	AA780381	MAP2K3	17q11.2	mitogen-activated protein kinase kinase 3	Transduction signals
208351_s_at	U133A	1.6	1.9	1.8	NM_002745.1	MAPK1	22q11.21	mitogen-activated protein kinase 1	Transduction signals
204813_at	U133A	1.6	1.9	2.3	NM_002753.1	MAPK10	4q22.1-q23	mitogen-activated protein kinase 10	Transduction signals
211561_x_at	U133A	1.6	1.7	1.8	L35253.1	MAPK14	6p21.3-p21.2	mitogen-activated protein kinase 14	Transduction signals
205050_s_at	U133A	2	2.6	3	NM_012324.1	MAPK8IP2	22q13.33	mitogen-activated protein kinase 8 interacting protein 2	Transduction signals
215916_at	U133A	1.6	2	2.1	AL157418.1	MINK	17p13.3	misshapen/NIK-related kinase	Transduction signals
213270_at	U133A	1.9	2.3	2.8	AL136554.1	MPP2	17q12-q21	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	Transduction signals
206186_at	U133A	1.6	2.1	2.4	NM_001932.1	MPP3	17q12-q21	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	Transduction signals
209928_s_at	U133A	2.1	2.3	2.7	AF060154.1	MSC	8q21	musculin (activated B-cell factor-1)	Transduction signals
211095_at	U133A	1.7	1.8	2.3	D12625.1	NF1	17q11.2	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	Transduction signals
220566_at	U133A	1.5	1.7	1.8	NM_014308.1	P101-PI3K	17p13.1	phosphoinositide-3-kinase, regulatory subunit, polypeptide p101	Transduction signals
214989_x_at	U133A	2.1	2.4	2.6	BC000969.2	PEPP2	12p12	phosphoinositol 3-phosphate-binding protein-2	Transduction signals
211230_s_at	U133A	1.7	1.9	1.9	U57843.1	PIK3CD	1p36.2	phosphoinositide-3-kinase, catalytic, delta polypeptide	Transduction signals
207105_s_at	U133A	1.8	2.2	2.4	NM_005027.1	PIK3R2	19q13.2-q13.4	phosphoinositide-3-kinase, regulatory subunit, polypeptide 2 (p85 beta)	Transduction signals
209019_s_at	U133A	1.7	1.9	2	AF316873.1	PINK1	1p36	PTEN induced putative kinase 1	Transduction signals
213368_x_at	U133A	1.6	2.1	2.3	BE501428	PPFIA3	19q13.33	protein tyrosine phosphatase, receptor type, f polypeptide, interacting protein, alpha 3	Transduction signals
204746_s_at	U133A	1.7	2	2.2	NM_012407.1	PRKCABP	22q13.1	protein kinase C, alpha binding protein	Transduction signals
217793_at	U133A	1.9	2.2	2.7	AL575337	RAB11B	19p13.2	RAB11B, member RAS oncogene family	Transduction signals
219681_s_at	U133A	2.2	2.7	2.6	NM_025151.1	RCP	8p11.22	Rab coupling protein	Transduction signals
206035_at	U133A	1.7	1.8	2	NM_002908.1	REL	2p13-p12	v-rel reticuloendotheliosis viral oncogene homolog (avian)	Transduction signals
210300_at	U133A	1.8	2.1	2.1	AF152863.1	REM	20q11.1	RAS (RAD and GEM)-like GTP-binding	Transduction signals
209637_s_at	U133A	1.8	1.9	2.5	AF030111.1	RGS12	4p16.3	regulator of G-protein signalling 12	Transduction signals
205211_s_at	U133A	1.7	2.2	2.1	NM_004292.1	RIN1	11q13.1	Ras and Rab interactor 1	Transduction signals
207569_at	U133A	1.8	1.9	2.1	NM_002944.1	ROS1	6q22	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	Transduction signals
206026_s_at	U133A	1.6	1.9	1.6	NM_007115.1	TNFAIP6	2q23.3	tumor necrosis factor, alpha-induced protein 6	Transduction signals
203586_s_at	U133A	1.6	2.1	2	NM_001661.1	ARF4L	17q12-q21	ADP-ribosylation factor 4-like	Protein synthesis and regulation
203174_s_at	U133A	1.8	2.1	2.3	NM_003224.1	ARFRP1	20q13.3	ADP-ribosylation factor related protein 1	Protein synthesis and regulation
212817_at	U133A	1.8	1.9	2	AK023253.1	DNAJB5	9p13.1	DnaJ (Hsp40) homolog, subfamily B, member 5	Protein synthesis and regulation
206781_at	U133A	1.5	1.9	2.1	NM_005528.1	DNAJC4	11q13	DnaJ (Hsp40) homolog, subfamily C, member 4	Protein synthesis and regulation
204540_at	U133A	1.9	2.2	2.4	NM_001958.1	EEF1A2	20q13.3	eukaryotic translation elongation factor 1 alpha 2	Protein synthesis and regulation
212991_at	U133A	1.8	2.1	2.3	AL137520.1	FBXO9	6p12.3-p11.2	F-box only protein 9	Protein synthesis and regulation
201945_at	U133A	1.9	2.3	2.5	NM_002569.1	FURIN	15q26.1	furin (paired basic amino acid cleaving enzyme)	Protein synthesis and regulation
117_at	U133A	1.6	2.6	2.2	X51757	HSPA6	1cen-qter	heat shock 70kDa protein 6 (HSP70B)	Protein synthesis and regulation
201429_s_at	U133A	1.5	1.9	2	NM_000998.1	RPL37A	2q35	ribosomal protein L37a	Protein synthesis and regulation
221943_x_at	U133A	2.4	3.7	4.5	AW303136	RPL38	17q23-q25	ribosomal protein L38	Protein synthesis and regulation
204632_at	U133A	1.5	1.8	2	NM_003942.1	RPS6KA4	11q11-q13	ribosomal protein S6 kinase, 90kDa, polypeptide 4	Protein synthesis and regulation
201205_at	U133A	1.8	2.2	2.8	AF006751.1	RRBP1	20p12	ribosome binding protein 1 homolog 180kDa (dog)	Protein synthesis and regulation
207319_s_at	U133A	1.6	1.7	1.8	NM_003718.1	CDC2L5	7p13	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	Cell cycle
209057_x_at	U133A	1.5	1.9	2.3	AB007892.1	CDC5L	6p21	CDC5 cell division cycle 5-like (S. pombe)	Cell cycle
204859_s_at	U133A	1.5	1.7	1.9	NM_013229.1	APAF1	12q23	apoptotic protease activating factor	Apoptosis
201686_x_at	U133A	1.7	2	2.1	AF229254.1	API5	11p12-q12	apoptosis inhibitor 5	Apoptosis
207004_at	U133A	1.5	1.8	2	NM_000657.1	BCL2	18q21.3	B-cell CLL/lymphoma 2	Apoptosis
205780_at	U133A	2.3	2.2	2.9	NM_001197.2	BIK	22q13.31	BCL2-interacting killer (apoptosis-inducing)	Apoptosis
220451_s_at	U133A	1.8	2.3	2.3	NM_022161.1	BIRC7	20q13.3	baculoviral IAP repeat-containing 7 (livin)	Apoptosis
219398_at	U133A	1.7	2	2.1	NM_022094.1	CIDE-3	3p25.3	cell death activator CIDE-3	Apoptosis
209802_at	U133A	1.8	2.4	2.5	BC005034.1	TSSC3	11p15.5	tumor suppressing subtransferable candidate 3	Apoptosis
215069_at	U133B	1.6	1.9	1.9	AI972498		9q33.3	alpha-1,3-galactosyltransferase pseudogene	Metabolism
44702_at	U133A	1.8	2.2	2.2	NM_014911.1	AAK1	2p24.3-p14	adaptor-associated kinase 1	Metabolism
216272_x_at	U133A	1.5	1.7	1.8	NM_022169.1	ABCG4	---	ATP-binding cassette, sub-family G (WHITE), member 4	Metabolism
228376_at	U133A	1.6	1.9	2.2	U15197.1	ABO	9q34.1-q34.2	ABO blood group	Metabolism
205435_s_at	U133A	3	3.7	3.5	AW072302	ACAA2	18q21.1	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	Metabolism
207999_s_at	U133A	1.8	2.1	2.5	NM_000667.2	ADH1A	4q21-q23	alcohol dehydrogenase 1A (class I), alpha polypeptide	Metabolism
219070_s_at	U133A	1.6	1.8	1.9	AF161075.1	AKAP7	6q23	A kinase (PRKA) anchor protein 7	Metabolism
211172_x_at	U133A	1.8	2.2	2.6	NM_001353.2	AKR1C1	10p15-p14	aldo-keto reductase family 1, member C1	Metabolism
203808_at	U133A	1.6	2.1	2.2	BC002553.1	ALDH3B1	11q13	aldehyde dehydrogenase 3 family, member B1	Metabolism
215783_s_at	U133A	1.5	1.7	1.9	X14174.1	ALPL	1p36.1-p34	alkaline phosphatase, liver/bone/kidney	Metabolism
208410_x_at	U133A	1.7	2	2.1	NM_001142.2	AMELX	Xp22.31-p22.1	amelogenin (X chromosome, amelogenesis imperfecta 1)	Metabolism
206177_s_at	U133A	1.7	2.2	2.4	NM_000045.2	ARG1	6q23	arginase, liver	Metabolism
220556_at	U133A	1.7	2.4	2.8	NM_012069.2	ATP1B4	Xq24	ATPase, (Na+)/K+ transporting, beta 4 polypeptide	Metabolism
221240_s_at	U133A	1.8	2.5	2.8	NM_030765.1	B3GNT4	12q24	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	Metabolism
201883_s_at	U133A	2	2.3	3.4	D29805.1	B4GALT1	9p13	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	Metabolism
208299_at	U133A	1.9	2	1.9	NM_021096.1	CACNA1I	22q13.1	calcium channel, voltage-dependent, alpha 1I subunit	Metabolism
214316_x_at	U133A	1.6	1.9	2.1	AI348935	CALR	19p13.3-p13.2	calreticulin	Metabolism
220446_s_at	U133A	1.5	1.9	2.1	NM_005769.1	CHST4	16q22.1	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	Metabolism
214411_x_at	U133A	1.6	1.9	1.9	AW584011	CTRB1	16q23-q24.1	chymotrypsinogen B1	Metabolism
206878_at	U133A	1.5	1.9	1.9	NM_001917.1	DAO	12q24	D-amino-acid oxidase	Metabolism
214909_s_at	U133A	1.8	2.2	3	AK026191.1	DDAH2	6p21.3	dimethylarginine dimethylaminohydrolase 2	Metabolism
207077_at	U133A	1.8	2.3	2.2	NM_015849.1	ELA2B	12	pancreatic elastase IIB	Metabolism
219429_at	U133A	2.2	2.9	3.3	NM_024306.1	FAAH	16q23	fatty acid hydroxylase	Metabolism
211207_s_at	U133A	1.8	2.1	2.2	AF129166.1	FACL6	5q31	fatty-acid-Coenzyme A ligase, long-chain 6	Metabolism
202218_s_at	U133A	1.6	2.1	2.4	NM_004265.1	FADS2	11q12-q13.1	fatty acid desaturase 2	Metabolism
211726_s_at	U133A	1.6	1.7	1.8	BC005894.1	FMO2	1q23-q25	flavin containing monooxygenase 2	Metabolism
205674_x_at	U133A	2.1	2.8	3	NM_001680.2	FXYD2	11q23	FXYD domain containing ion transport regulator 2	Metabolism
202488_s_at	U133A	1.6	1.7	1.7	NM_005971.2	FXYD3	19q13.11	FXYD domain containing ion transport regulator 3	Metabolism
204867_at	U133A	1.6	1.7	1.9	NM_005258.2	GCHFR	15q15	GTP cyclohydrolase I feedback regulatory protein	Metabolism
214233_at	U133A	1.6	1.9	1.8	AW086154	GGA2	16p12	golgi associated, gamma adaptin ear containing, ARF binding protein 2	Metabolism
212045_at	U133A	1.6	1.8	2.3	AK027032.1	GLG1	16q22-q23	golgi apparatus protein 1	Metabolism
202967_at	U133A	1.6	2	1.8	NM_001512.1	GSTA4	6p12.1	glutathione S-transferase A4	Metabolism
205752_s_at	U133A	1.6	1.9	2.1	NM_000851.1	GSTM5	1p13.3	glutathione S-transferase M5	Metabolism
209399_at	U133A	1.5	1.7	1.9	D87328.1	HLCS	21q22.13	holocarboxylase synthetase	Metabolism
219697_at	U133A	1.7	2.1	2.3	NM_006043.1	HS3ST2	16p12	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	Metabolism
204169_at	U133A	1.6	1.7	1.9	NM_000883.1	IMPDH1	7q31.3-q32	IMP (inosine monophosphate) dehydrogenase 1	Metabolism
211006_s_at	U133A	1.8	2.3	2.1	L02840.1	KCNB1	20q13.2	potassium voltage-gated channel, Shab-related subfamily, member 1	Metabolism
210036_s_at	U133A	2.1	2.3	2.6	AB044806.1	KCNH2	7q35-q36	potassium voltage-gated channel, subfamily H (eag-related), member 2	Metabolism
221307_at	U133A	1.6	1.8	1.7	NM_014592.1	KCNIP1	5q35.1	Kv channel interacting protein 1	Metabolism
220727_at	U133A	1.8	2.2	2.2	NM_021161.1	KCNK10	14q31	potassium channel, subfamily K, member 10	Metabolism
215538_at	U133A	1.7	2.1	2.1	AB011181.2	LARGE	22q12.3	like-glycosyltransferase	Metabolism
210712_at	U133A	1.7	2	2.2	AY009108.1	LDHL	15q21.2	lactate dehydrogenase A -like	Metabolism
204599_s_at	U133A	1.6	1.7	1.8	NM_006428.1	MRPL28	16p13.3	mitochondrial ribosomal protein L28	Metabolism
211364_at	U133A	1.5	1.9	2.1	AF109294.1	MTAP	9p21	methylthioadenosine phosphorylase	Metabolism
211407_at	U133A	2.4	3.1	3.4	M33374.1	NDUFB7	19p13.12-p13.11	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	Metabolism
207309_at	U133A	1.6	1.9	1.9	NM_000620.1	NOS1	12q24.2-q24.31	nitric oxide synthase 1 (neuronal)	Metabolism
232373_at	U133B	2.1	2.9	3.4	AI860821	NOXA1	---	NADPH oxidase activator 1	Metabolism
89476_r_at	U133A	2.1	2.5	2.7	AA398062	NPEPL1	20q13.32	aminopeptidase-like 1	Metabolism
201468_s_at	U133A	1.6	1.7	1.7	NM_000903.1	NQO1	16q22.1	NAD(P)H dehydrogenase, quinone 1	Metabolism
207408_at	U133A	1.9	2.5	2.9	NM_004803.2	ORCTL4	3p21.3	organic cationic transporter-like 4	Metabolism
208591_s_at	U133A	1.7	1.9	2	NM_000922.1	PDE3B	11p15.1	phosphodiesterase 3B, cGMP-inhibited	Metabolism
214225_at	U133A	1.7	1.8	1.9	BE674061	PIN4	Xq13	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)	Metabolism
206178_at	U133A	1.9	2.2	2.5	NM_000929.1	PLA2G5	1p36-p34	phospholipase A2, group V	Metabolism
210499_s_at	U133A	1.5	2.1	2	AB041834.1	PQBP1	Xp11.23	polyglutamine binding protein 1	Metabolism
210367_s_at	U133A	1.7	2.1	2.4	AF010316.1	PTGES	9q34.3	prostaglandin E synthase	Metabolism
202990_at	U133A	1.6	2.1	2	NM_002863.1	PYGL	14q21-q22	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	Metabolism
205863_at	U133A	3.5	4.9	3	NM_005621.1	S100A12	1q21	S100 calcium binding protein A12	Metabolism
208578_at	U133A	1.5	1.7	1.7	NM_006514.1	SCN10A	3p22-p21	(calgranulin C) sodium channel, voltage-gated, type X, alpha polypeptide	Metabolism
215274_at	U133A	1.6	1.8	1.9	AI627943	SLC12A3	16q13	solute carrier family 12 (sodium/chloride transporters), member 3	Metabolism
210923_at	U133A	1.6	1.8	1.9	BC000651.1	SLC1A7	1p32.3	solute carrier family 1 (glutamate transporter), member 7	Metabolism
