Probeset Id	Gene Name	Adjusted P-value	Fold Change
201721_s_at	lysosomal protein transmembrane 5	0.039	-4.723
207008_at	interleukin 8 receptor, beta	0.039	-4.06
205681_at	BCL2-related protein A1	0.04	-2.362
210951_x_at	RAB27A, member RAS oncogene family	0.04	-2.276
201360_at	cystatin C	0.04	-2.001
211699_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.04	-4.003
219014_at	placenta-specific 8	0.04	-4.794
205863_at	S100 calcium binding protein A12	0.04	-5.421
203416_at	CD53 molecule	0.04	-4.459
202682_s_at	ubiquitin specific peptidase 4 (proto-oncogene)	0.04	-2.143
205147_x_at	neutrophil cytosolic factor 4, 40kDa	0.04	-2.987
226459_at	phosphoinositide-3-kinase adaptor protein 1	0.04	-2.766
218660_at	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	0.04	-2.388
219191_s_at	bridging integrator 2	0.041	-2.018
201700_at	cyclin D3	0.041	-2.276
211745_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.041	-3.414
209949_at	neutrophil cytosolic factor 2	0.041	-4.203
209868_s_at	RNA binding motif, single stranded interacting protein 1	0.041	-2.003
202626_s_at	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	0.042	-2.454
217414_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.042	-3.528
202902_s_at	cathepsin S	0.042	-3.252
204265_s_at	G-protein signaling modulator 3 (AGS3-like, C. elegans)	0.042	-3.145
205568_at	aquaporin 9	0.042	-4.794
1553297_a_at	colony stimulating factor 3 receptor (granulocyte)	0.043	-3.019
210119_at	potassium inwardly-rectifying channel, subfamily J, member 15	0.043	-2.376
203761_at	Src-like-adaptor	0.043	-2.046
207275_s_at	acyl-CoA synthetase long-chain family member 1	0.043	-2.205
202910_s_at	CD97 molecule	0.044	-2.136
201224_s_at	serine/arginine repetitive matrix 1	0.044	-2.126
200042_at	chromosome 22 open reading frame 28	0.045	-2.052
1558695_at		0.045	2.133
1559584_a_at	chromosome 16 open reading frame 54	0.045	-2.442
225748_at	LTV1 homolog (S. cerevisiae)	0.045	-2.001
220088_at	complement component 5a receptor 1	0.045	-3.265
203392_s_at	C-terminal binding protein 1	0.045	-2.015
38964_r_at	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	0.045	-2.035
205119_s_at	formyl peptide receptor 1	0.045	-4.267
225899_x_at	hypothetical LOC399844 /// hypothetical LOC100287274 /// hypothetical LOC402483	0.045	-2.686
205159_at	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	0.045	-4.031
217232_x_at	hemoglobin, beta	0.045	-3.186
225604_s_at	GLI pathogenesis-related 2	0.045	-2.028
217977_at	selenoprotein X, 1	0.046	-3.469
223502_s_at	tumor necrosis factor (ligand) superfamily, member 13b	0.046	-3.631
202157_s_at	CUG triplet repeat, RNA binding protein 2	0.046	-2.454
207677_s_at	neutrophil cytosolic factor 4, 40kDa	0.046	-2.157
226525_at	serine/threonine kinase 17b	0.046	-2.478
205237_at	ficolin (collagen/fibrinogen domain containing) 1	0.046	-4.492
209116_x_at	hemoglobin, beta	0.047	-3.637
208438_s_at	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.048	-2.836
217989_at	hydroxysteroid (17-beta) dehydrogenase 11	0.048	-2.822
212588_at	protein tyrosine phosphatase, receptor type, C	0.048	-5.583
228094_at	adhesion molecule, interacts with CXADR antigen 1	0.048	-2.368
222250_s_at	integrator complex subunit 7	0.048	-2.005
211696_x_at	hemoglobin, beta	0.048	-3.185
227184_at		0.048	-2.037
218870_at	Rho GTPase activating protein 15	0.048	-2.143
204949_at	intercellular adhesion molecule 3	0.048	-2.647
201859_at	Serglycin	0.048	-4.227
221698_s_at	C-type lectin domain family 7, member A	0.048	-2.094
224927_at	KIAA1949	0.048	-2.055
211795_s_at	FYN binding protein (FYB-120/130)	0.048	-2.714
1552701_a_at	caspase recruitment domain family, member 16	0.049	-3.935
235529_x_at		0.049	-2.394
208749_x_at	flotillin 1	0.049	-2.132
