probe set	Gene	Gene	Accession	EntrezGene	CEF NY72-4P/CEF NY72-4NP	t statistic	P value
GgaAffx.11733.1.S1_s_at	RCJMB04_4l11	NOL1/NOP2/Sun domain family, member 2	AJ719630	420938	1.04	11.239	0.002008
GgaAffx.11584.1.S1_s_at	RCJMB04_2l21	RNA binding motif protein 24	AJ719481	420846	2.37	16.738	0.003393
Gga.7090.1.S1_s_at		Finished cDNA, clone ChEST49g17	BU286533	0	1.33	5.732	0.011276
Gga.1510.1.S1_s_at	PSAT1	phosphoserine aminotransferase 1	BX935484.2	427263	-1.13	-5.107	0.031198
GgaAffx.21715.1.S1_at	PNN	pinin, desmosome associated protein	CR522900.1	423338	1.05	10.612	0.007799
GgaAffx.21149.1.S1_at		Finished cDNA, clone ChEST752c1	CR523466.1	0	-1.23	-34.713	0.000014
GgaAffx.20659.1.S1_at	LOC769679	similar to synleurin	CR523956.1	769679	1.33	3.407	0.049646
GgaAffx.21279.1.S1_at	UPP1	uridine phosphorylase 1	CR523336.1	420942	2.06	16.152	0.002826
GgaAffx.20470.1.S1_at		Finished cDNA, clone ChEST646l7	CR524145.1	0	1.14	8.396	0.008997
GgaAffx.20379.1.S1_at		Finished cDNA, clone ChEST914o3	CR524236.1	0	1.49	6.157	0.00911
Gga.9578.1.S1_s_at		Finished cDNA, clone ChEST191c18	BX950431.1	0	1.11	5.582	0.030118
GgaAffx.20781.1.S1_at		Finished cDNA, clone ChEST229d1	CR523834.1	0	-1.26	-3.774	0.038892
GgaAffx.21456.1.S1_at	LOC422697	Hypothetical LOC422697	CR523159.1	422697	1.34	8.885	0.001997
GgaAffx.21456.1.S1_s_at	LOC422697	hypothetical LOC422697	CR523159.1	422697	1	10.226	0.002499
Gga.16099.1.S1_s_at	LOC426499	similar to importin beta subunit	AJ397681	426499	1.12	2.894	0.044983
GgaAffx.20596.1.S1_at		Finished cDNA, clone ChEST698h14	CR524019.1	0	-1.06	-3.241	0.047156
GgaAffx.20516.1.S1_s_at		Finished cDNA, clone ChEST262g11	CR524099.1	0	-1.46	-5.381	0.006945
GgaAffx.21354.1.S1_at	LOC416774	hypothetical LOC416774	CR523261.1	416774	-1.55	-3.486	0.039648
Gga.2039.1.S1_at	HMOX1	heme oxygenase (decycling) 1	NM_205344.1	396287	1.22	5.456	0.03051
Gga.8541.1.S1_at	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	NM_204340.1	374252	1.29	10.499	0.001816
Gga.3858.1.S1_at	PPARG	peroxisome proliferator-activated receptor gamma	AF163811.1	373928	-1.25	-4.921	0.011467
Gga.4941.1.S1_at	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	AF055342.1	415797	-1.28	-7.288	0.004699
Gga.150.2.S1_a_at	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	AB065373.1	374100	2.15	9.821	0.005164
Gga.150.2.S2_at	FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	AJ539547.1	374100	3.72	10.669	0.000683
Gga.4108.2.S1_a_at	TPM1	tropomyosin 1 (alpha)	M36337.1	396366	-1.02	-8.057	0.002654
Gga.10145.1.S1_a_at	GYPC	glycophorin C	AY234184.1	424230	1.01	6.665	0.011111
Gga.4401.1.S1_a_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	M64990.1	396451	1.2	4.773	0.019062
Gga.822.1.S1_a_at	LOC396441	TROP	M15889.1	396441	-1.19	-8.683	0.001347
Gga.4782.2.S1_at	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B	U14942.1	396268	1.01	8.46	0.004091
Gga.3607.1.S1_a_at	LOC396243	Collagen alpha 2(I) chain precursor	M33383.1	396243	-1.15	-5.007	0.027678
Gga.797.1.S1_at	THBS2	thrombospondin 2	M60853.1	414837	-2.13	-21.467	0.000064
Gga.3109.1.A1_s_at	RCJMB04_2f9	selenoprotein P, plasma, 1	BU469343	431587	-1.64	-7.917	0.014598
Gga.12444.1.S2_s_at	RCJMB04_24e7	calmodulin 1 (phosphorylase kinase, delta)	BU118678	396523	1.09	16.675	0.000409
Gga.2246.1.S1_s_at		Finished cDNA, clone ChEST966f2	BX264045	0	-1.04	-47.137	0.000011
Gga.8127.1.S1_at	PUS7	pseudouridylate synthase 7 homolog (S. cerevisiae)	CR388522.1	417709	1.15	13.103	0.004399
Gga.4942.1.S1_at	HSP70	heat shock protein 70	BU118554	423504	-1.33	-33.114	0.000006
Gga.7900.2.S1_a_at	LOC426933	similar to RIKEN cDNA 1110018M03	CR386995.1	426933	-2.25	-8.093	0.001389
Gga.5329.1.S1_s_at	RCJMB04_7i14	developmentally regulated GTP binding protein 2	CR388461.1	416513	1.04	7.49	0.003183
Gga.5640.1.S1_at	LOC419017	hypothetical LOC419017	CR354305.1	419017	-1.08	-7.231	0.002433
Gga.4003.1.S1_at	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	BU143709	423209	-1.52	-7.427	0.008549
Gga.7271.1.S1_s_at	MPP1	membrane protein, palmitoylated 1, 55kDa	BU404341	422197	1.07	5.544	0.008809
Gga.4813.1.S1_at		Finished cDNA, clone ChEST472d7	BU379221	0	-1.38	-9.963	0.000587
Gga.5656.1.S1_a_at	LOC768898	similar to Gu protein	CR387138.1	768898	1.18	5.869	0.020853
Gga.17661.1.S1_s_at		Finished cDNA, clone ChEST908h8	BU208365	0	-1.55	-12.403	0.003228
Gga.8202.2.S1_a_at	LOC425104	hypothetical LOC425104	BU311573	425104	1.21	10.787	0.004738
Gga.9819.1.S1_s_at	LOC419592	similar to NPD014 protein (NPD014)	BX932607.1	419592	-1.34	-7.684	0.008742
Gga.4078.1.S1_at	LUM	lumican	BX272380	417891	-1.75	-7.558	0.00752
Gga.6921.1.S1_a_at	LOC427391	similar to cysteine dioxygenase	BX936224.1	427391	-3.09	-20.646	0.000077
Gga.5467.1.S1_x_at	LOC416750	similar to hypothetical protein FLJ13909	BX930271.1	416750	1.12	5.96	0.016622
Gga.6265.1.S1_at	LOC769847	similar to Glutathione S-transferase theta 1	BX935098.2	769847	-1.18	-6.148	0.011661
Gga.5809.1.S1_at	TTC35	tetratricopeptide repeat domain 35	BX931995.2	420273	1.16	9.656	0.002944
Gga.5362.1.S1_a_at	LOC428948	similar to Pdlim1 protein	BX932965.1	428948	-1.17	-11.444	0.003763
GgaAffx.10841.1.S1_s_at	LMO7	LIM domain 7	ENSGALT00000027352.1	418815	-1.47	-6.216	0.019783
Gga.7431.1.S1_at	LOC424307	hypothetical LOC424307	BX950450.1	424307	1.03	6.565	0.007149
Gga.7109.1.S1_s_at	LOC771549	hypothetical protein LOC771549	BU424694	771549	1.17	8.758	0.003047
Gga.8483.1.S1_s_at	DENR	density-regulated protein	CR354249.1	771794	1.11	4.753	0.021813
Gga.4663.1.S1_at	PSPH	phosphoserine phosphatase	BU126038	417540	-1.32	-4.856	0.009157
Gga.4673.1.S1_at	LOC423192	hypothetical LOC423192	CR387021.1	423192	-1.11	-10.154	0.000607
Gga.9469.1.S1_at		Finished cDNA, clone ChEST234e18	CR386937.1	0	1.2	7.806	0.005885
Gga.9366.1.S1_x_at	LOC420870	similar to RIO kinase 1	BU460815	420870	1.12	17.307	0.001968
Gga.3104.1.S1_at	LOC418752	similar to Collagen alpha-2(IV) chain	CR385849.1	418752	-1.23	-6.409	0.017674
Gga.13294.1.S1_at		Finished cDNA, clone ChEST387p23	CR354135.1	0	-1.31	-9.142	0.005655
Gga.2680.1.S1_at	AQP1	aquaporin 1	AL586137	420384	2.13	13.184	0.003756
Gga.4588.1.S1_at	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	BU411780	374106	-1.06	-8.854	0.001925
Gga.6049.1.S1_at	LOC418477	similar to MGC68738 protein	BU117908	418477	-1.28	-3.137	0.04537
Gga.7551.1.S1_at	WISP1	WNT1 inducible signaling pathway protein 1	BU213681	420322	-1.07	-4.643	0.021589
Gga.1710.1.S1_at		Finished cDNA, clone ChEST252c10	BU244810	0	-1.16	-6.76	0.002698
Gga.6213.1.S1_at		Finished cDNA, clone ChEST296l24	CD733738	0	-1.18	-7.656	0.008662
Gga.19353.1.S1_at		Finished cDNA, clone ChEST737i17	BU208206	0	-1.14	-6.924	0.014923
Gga.7228.1.S1_at	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	BX930076.2	420928	-1.2	-6.33	0.02285
Gga.16580.1.S1_at		Finished cDNA, clone ChEST794d21	BU224048	0	-1.05	-13.447	0.00253
Gga.8114.1.S1_at		Finished cDNA, clone ChEST481h16	BU383914	0	2.94	9.186	0.004047
Gga.7757.1.S1_at	UNC50	Unc-50 homolog (C. elegans)	CR387872.1	418691	1.49	24.441	0.000593
Gga.4340.1.S1_at	ODC1	ornithine decarboxylase 1	CN226897	421937	1.32	7.156	0.013428
Gga.16392.1.S1_at	COL11A1	collagen, type XI, alpha 1	BU421013	374046	-1.6	-5.82	0.006367
Gga.4536.2.S1_a_at	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	BX934646.1	418107	-1.07	-6.808	0.002546
Gga.9692.1.S1_at	LOC768388 /// LOC768415 /// LOC770374 /// LOC770551 /// LOC770574 /// LOC770912 /// LOC771187 /// LOC771201 /// LOC771384 /// LOC771571	hypothetical protein LOC768388 /// similar to pol /// hypothetical protein LOC770574 /// hypothetical protein LOC770912 /// hypothetical protein LOC771187 /// hypothetical protein LOC771384	BX932846.1	768388 /// 768415 /// 770374 /// 770551 /// 770574 /// 770912 /// 771187 /// 771201 /// 771384 /// 771571	-1.51	-3.114	0.043483
GgaAffx.12193.1.S1_s_at	FGFR1OP2	FGFR1 oncogene partner 2	AJ720090	418214	1.18	8.066	0.009123
Gga.1111.1.S1_a_at	USP18	ubiquitin specific peptidase 18	CR389337.1	418167	1.12	8.845	0.010868
Gga.10606.1.S1_at	SOCS1	suppressor of cytokine signaling 1	BU313956	416630	1.77	16.964	0.00008
Gga.16374.1.S1_at		Finished cDNA, clone ChEST84l23	BU420508	0	-1.36	-14.468	0.001346
Gga.12396.1.S1_s_at	RCJMB04_33f6	similar to AW547186 protein	CK610672	422344	1.19	15.562	0.000115
Gga.12246.2.S1_a_at	LOC425587	hypothetical LOC425587	BX936074.1	425587	-1.27	-6.011	0.004774
Gga.1917.1.S1_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	BU356680	414745	1.74	11.934	0.003621
Gga.2343.1.S1_at	LOC422945	hypothetical gene supported by CR406243	BU414120	422945	-1.84	-11.33	0.006901
Gga.9631.1.S1_at	LOC427627	similar to RAB24, member RAS oncogene family	BU434816	427627	1.09	6.31	0.023907
Gga.3562.1.S1_at	COL11A1	collagen, type XI, alpha 1	BU467929	374046	-1.63	-6.534	0.004469
Gga.13504.1.S1_at	RRM2	ribonucleotide reductase M2 polypeptide	BU259849	421936	1.12	22.912	0.000036
Gga.14849.1.A1_at		Finished cDNA, clone ChEST298l12	CR386696.1	0	-1.09	-9.903	0.001395
Gga.4332.1.S1_at	HSPCB	heat shock 90kDa protein 1, beta	X70101.1	396188	1.8	12.035	0.003622
Gga.12967.1.S1_at	CCNG2	cyclin G2	BU375344	422512	-1.03	-6.947	0.019136
Gga.5891.1.S1_at	PDCD6	programmed cell death 6	BU462078	420988	1.14	9.762	0.005063
Gga.10151.1.S1_at	PDCD6	programmed cell death 6	BX935359.2	420988	1.06	11.359	0.000393
Gga.13284.1.S1_at		Finished cDNA, clone ChEST975n18	CR353976.1	0	1.21	18.243	0.000062
Gga.5548.1.S1_at	LOC770430	similar to nucleoplasmin-3	BU265170	770430	1.81	12.809	0.003223
Gga.1733.1.S1_at	LOC426247	Similar to MGC108363 protein	CD733275	426247	-1.25	-12.181	0.00437
Gga.11614.1.S1_at	LOC771608 /// SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2 /// similar to SDF3	BU240384	417561 /// 771608	-1.31	-12.695	0.000774
Gga.16844.2.S1_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	BU413584	396340	-1.39	-10.512	0.000535
Gga.16844.2.S1_s_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	BU413584	396340	-1.99	-12	0.001681
Gga.12310.1.S1_at	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	BX950437.1	426932	-1.19	-3.22	0.040221
Gga.5154.1.S1_at	POSTN	periostin, osteoblast specific factor	BU435666	395429	-1.44	-11.483	0.00033
Gga.1663.1.S1_s_at	LHFP	lipoma HMGIC fusion partner	BU356057	418889	-1.42	-3.061	0.03775
Gga.12235.1.S1_at	LOC424087	nucleolar protein NOP5/NOP58	BU393280	424087	1.03	5.29	0.008379
Gga.16591.1.S1_at	NARG1	NMDA receptor regulated 1	BU391772	422440	1.14	14.694	0.001277
Gga.9773.1.S1_s_at	RCJMB04_2l21	RNA binding motif protein 24	BU357779	420846	2.67	41.791	0.000162
Gga.9684.1.S1_at	C1QTNF3	C1q and tumor necrosis factor related protein 3	CR389929.1	427430	-2.42	-4.331	0.018026
Gga.12092.1.S1_at	FAM20C	family with sequence similarity 20, member C	BU369564	416445	-1.35	-12.447	0.00056
Gga.17138.1.S1_at		Finished cDNA, clone ChEST270f1	BU340875	0	-1.32	-15.623	0.000106
Gga.12501.1.S1_at	DSN1	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	BX933034.1	426088	1.06	6.383	0.012295
Gga.2300.1.S1_at	RCJMB04_14d15	similar to hypothetical protein FLJ34969	BU230853	416006	1.39	5.53	0.015165
Gga.15998.1.S1_at	COLEC12	collectin sub-family member 12	BU206620	421061	-1.25	-4.154	0.014354
Gga.16540.1.S1_s_at	HELLS	helicase, lymphoid-specific	BU427538	423750	1.01	6.567	0.016133
Gga.18983.1.S1_at	LOC416428	hypothetical LOC416428	BU253819	416428	1.26	7.022	0.017025
Gga.12209.2.S1_a_at	LOC422672	similar to VLLH2748	BX929915.1	422672	1.01	4.789	0.036034
Gga.2938.1.S1_at	LOC417480	similar to putative polypeptide N-acetylgalactosaminyltransferase	BU343627	417480	-1.67	-7.534	0.001669
Gga.13207.1.S1_at	NLN	neurolysin (metallopeptidase M3 family)	BU379156	427167	-1.17	-9.811	0.001217
Gga.15947.1.S1_at	DUS3L	dihydrouridine synthase 3-like (S. cerevisiae)	BU395056	428339	1.03	9.433	0.000761
GgaAffx.25553.1.S1_s_at	BMS1	BMS1 homolog, ribosome assembly protein (yeast)	ENSGALT00000004135.1	423633	1	9.318	0.005936
Gga.5011.1.S1_at		Finished cDNA, clone ChEST849l10	BU377271	0	1.04	15.713	0.001276
Gga.16263.1.S1_at		Finished cDNA, clone ChEST532h13	BU442145	0	-1.11	-3.466	0.036666
Gga.13534.1.S1_at		Finished cDNA, clone ChEST642h15	BU445618	0	1.63	4.872	0.015816
Gga.13235.1.S1_at		Finished cDNA, clone ChEST56g13	CR353597.1	0	-1.26	-8.323	0.001139
Gga.11969.1.S1_at	CYTL1	cytokine-like 1	BU111245	422849	-1.4	-6.801	0.003252
Gga.18811.1.S1_at		Finished cDNA, clone ChEST987f14	CR391541.1	0	-2.32	-16.705	0.000093
Gga.13515.2.S1_s_at	RCJMB04_11a8	lamin B receptor	CD761554	396285	1.02	3.62	0.022955
Gga.11932.1.S1_at	UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1	BU333130	420154	1.53	18.065	0.001452
Gga.3329.1.S1_at	RCJMB04_1f1	solute carrier family 20 (phosphate transporter), member 2	BU393238	422493	1.13	9.354	0.006684
Gga.17500.1.S1_at		Finished cDNA, clone ChEST731d1	BU438471	0	-1.28	-18.94	0.000067
Gga.11702.1.S1_at	SDAD1	SDA1 domain containing 1	BU268486	422642	1.16	7.955	0.005865
Gga.13292.1.S1_at		Finished cDNA, clone ChEST110e20	CR353609.1	0	-1.01	-4.91	0.018605
Gga.12108.1.S1_at	LOC418948	similar to chromosome 13 open reading frame 3	BU327720	418948	1.05	5.775	0.023044
Gga.15978.1.S1_at		Finished cDNA, clone ChEST599e2	BU295427	0	-1.12	-4.63	0.030415
Gga.4999.2.S1_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	AF074605.1	424121	1.41	5.917	0.007103
Gga.19077.1.S1_at		Finished cDNA, clone ChEST290n11	BU418916	0	1.33	5.534	0.012815
Gga.1615.1.S1_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1	AL587697	418143	-1.47	-4.23	0.037598
Gga.10904.1.S1_at	LOC431666	Hypothetical LOC431666	BU474846	431666	1.14	3.499	0.026788
Gga.9983.1.S1_at	LOC424161	similar to LOC129881 protein	CR387407.1	424161	2.45	27.654	0.000127
Gga.15793.1.S1_at	LOC418654	Similar to Steryl-sulfatase precursor (Steroid sulfatase) (Steryl-sulfate sulfohydrolase) (Arylsulfatase C) (ASC)	BU224644	418654	-1.11	-15.731	0.000528
Gga.17200.1.S1_at		Finished cDNA, clone ChEST936d10	BU352261	0	-1.44	-8.477	0.001375
Gga.17034.1.S1_s_at	YPEL2	yippee-like 2 (Drosophila)	BU475817	417632	-1.29	-10.985	0.006933
Gga.11595.1.S1_a_at	LOC417096	hypothetical LOC417096	BX933204.1	417096	1.05	6.421	0.009246
