Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Primary Sequence Name_new anno	Accession _new anno	Gene Name	GO Annotation	ADME or ADME-related	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Corresponding Mouse gene is sex-biased	Corresponding Rat gene is sex-biased
A_24_P289265	chr9:107618189-107618248	ABCA1	AK024328	ATP-binding cassette, sub-family A (ABC1), member 1	molecular function|ATP binding|IDA|GO:0005524|GOA|11700048//molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|anion transmembrane transporter activity|ISS|GO:0008509|GOA|na//molecular function|apolipoprotein A-I binding|IPI|GO:0034186|GOA|ARRAY(0xfafb28)//molecular function|apolipoprotein A-I receptor activity|IDA|GO:0034188|GOA|16443932//molecular function|apolipoprotein binding|IPI|GO:0034185|GOA|11162594//molecular function|cholesterol binding|IC|GO:0015485|GOA|12084722//molecular function|cholesterol transporter activity|IDA|GO:0017127|GOA|12084722//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phospholipid binding|IC|GO:0005543|GOA|16702602//molecular function|phospholipid transporter activity|IDA|GO:0005548|GOA|16702602//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb35ecc)//molecular function|small GTPase binding|IPI|GO:0031267|GOA|16443932//molecular function|syntaxin-13 binding|IPI|GO:0030349|GOA|15469992//biological process|Cdc42 protein signal transduction|IMP|GO:0032488|GOA|16443932//biological process|G-protein coupled receptor protein signaling pathway|IMP|GO:0007186|GOA|16443932//biological process|cholesterol efflux|IDA|GO:0033344|GOA|ARRAY(0xf4e834)//biological process|cholesterol efflux|IMP|GO:0033344|GOA|16443932//biological process|cholesterol homeostasis|IDA|GO:0042632|GOA|10431236//biological process|cholesterol metabolic process|IDA|GO:0008203|GOA|14747463//biological process|endosome transport|IDA|GO:0016197|GOA|14747463//biological process|high-density lipoprotein particle assembly|IMP|GO:0034380|GOA|ARRAY(0xb231cc)//biological process|interleukin-1 beta secretion|IMP|GO:0050702|GOA|11855831//biological process|intracellular cholesterol transport|IMP|GO:0032367|GOA|10431236//biological process|lysosome organization|IDA|GO:0007040|GOA|15163665//biological process|negative regulation of cholesterol storage|TAS|GO:0010887|GOA|18490524//biological process|negative regulation of macrophage derived foam cell differentiation|TAS|GO:0010745|GOA|18490524//biological process|peptide secretion|IEA|GO:0002790|GOA|na//biological process|phagocytosis, engulfment|IEA|GO:0006911|GOA|na//biological process|phospholipid efflux|IDA|GO:0033700|GOA|ARRAY(0xb6bddc)//biological process|phospholipid efflux|IMP|GO:0033700|GOA|16702602//biological process|phospholipid homeostasis|IMP|GO:0055091|GOA|16702602//biological process|phospholipid translocation|IEA|GO:0045332|GOA|na//biological process|platelet dense granule organization|IMP|GO:0060155|GOA|15163665//biological process|positive regulation of cAMP biosynthetic process|IMP|GO:0030819|GOA|14701824//biological process|protein amino acid lipidation|IEA|GO:0006497|GOA|na//biological process|reverse cholesterol transport|IMP|GO:0043691|GOA|10431236//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//biological process|transport|IEA|GO:0006810|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|endocytic vesicle|IDA|GO:0030139|GOA|14747463//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|10525055//cellular component|membrane fraction|IDA|GO:0005624|GOA|10525055//cellular component|membrane raft|IDA|GO:0045121|GOA|15469992//cellular component|phagocytic vesicle|IDA|GO:0045335|GOA|15469992//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x12c38e8)	ADME	F	14	0.801	-1.2484	0.000027009	74.9804	59.277	1	0
A_24_P17691	chr4:69403394-69403453	UGT2B17	NM_001077	UDP glucuronosyltransferase 2 family, polypeptide B17	molecular function|glucuronosyltransferase activity|IEA|GO:0015020|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|steroid metabolic process|TAS|GO:0008202|GOA|8798464//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|8798464//cellular component|microsome|IEA|GO:0005792|GOA|na	ADME	M	15	1.1845	1.1845	1.9349E-11	42041.9375	49863.6836	1	0
A_23_P58407	chr4:69512758-69512817	UGT2B15	NM_001076	UDP glucuronosyltransferase 2 family, polypeptide B15	molecular function|glucuronosyltransferase activity|IEA|GO:0015020|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|steroid metabolic process|TAS|GO:0008202|GOA|7835232//biological process|xenobiotic metabolic process|TAS|GO:0006805|GOA|7835232//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	ADME	M	14	1.282	1.282	5.9222E-09	58841.4102	75415.3281	1	0
A_23_P145824	chr7:94920086-94920145	PPP1R9A	NM_017650	Protein phosphatase 1, regulatory (inhibitor) subunit 9A	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na//cellular component|synaptosome|IEA|GO:0019717|GOA|na	ADME related	F	16	0.7179	-1.393	3.585E-09	78.2071	55.9289	1	0
A_24_P293530	chr1:47516002-47516061	CYP4X1	NM_178033	Cytochrome P450, family 4, subfamily X, polypeptide 1	molecular function|aromatase activity|IEA|GO:0070330|GOA|na//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	ADME related	F	15	0.7363	-1.3581	1.8592E-16	1793.9647	1321.9434	1	0
A_23_P211643	chr22:46615754-46615813	PPARA	NM_005036	Peroxisome proliferator-activated receptor alpha	molecular function|DNA binding|TAS|GO:0003677|GOA|10860941//molecular function|drug binding|IDA|GO:0008144|GOA|ARRAY(0x1b9842c)//molecular function|ligand-dependent nuclear receptor activity|IDA|GO:0004879|GOA|12955147//molecular function|ligand-regulated transcription factor activity|IEA|GO:0003706|GOA|na//molecular function|lipid binding|IDA|GO:0008289|GOA|12955147//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x46f38ac)//molecular function|protein binding|ISS|GO:0005515|GOA|na//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//molecular function|sequence-specific DNA binding|ISS|GO:0043565|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription activator activity|IDA|GO:0016563|GOA|12955147//molecular function|transcription factor activity|ISS|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|epidermis development|IEA|GO:0008544|GOA|na//biological process|fatty acid metabolic process|TAS|GO:0006631|GOA|10377439//biological process|fatty acid transport|TAS|GO:0015908|GOA|16271724//biological process|lipid metabolic process|TAS|GO:0006629|GOA|ARRAY(0x1ce28d0)//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|negative regulation of appetite|ISS|GO:0032099|GOA|na//biological process|negative regulation of blood pressure|IEA|GO:0045776|GOA|na//biological process|negative regulation of cholesterol storage|IDA|GO:0010887|GOA|19114110//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IC|GO:0010745|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IDA|GO:0010745|GOA|19114110//biological process|negative regulation of receptor biosynthetic process|IDA|GO:0010871|GOA|12700342//biological process|negative regulation of sequestering of triglyceride|IDA|GO:0010891|GOA|12700342//biological process|positive regulation of fatty acid beta-oxidation|TAS|GO:0032000|GOA|16271724//biological process|positive regulation of fatty acid oxidation|ISS|GO:0046321|GOA|na//biological process|positive regulation of transcription|IEA|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of fatty acid metabolic process|IEA|GO:0019217|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|response to hypoxia|IEA|GO:0001666|GOA|na//biological process|response to insulin stimulus|IEA|GO:0032868|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|7684926//biological process|wound healing|IEA|GO:0042060|GOA|na//cellular component|nucleus|TAS|GO:0005634|GOA|16271724	ADME	F	16	0.6993	-1.4299	1.3527E-25	262.3121	184.5482	0	1
A_23_P92562	chr4:100333763-100333822	ADH7	NM_001166504	Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	molecular function|alcohol dehydrogenase (NAD) activity|TAS|GO:0004022|GOA|8074657//molecular function|alcohol dehydrogenase activity, zinc-dependent|IDA|GO:0004024|GOA|7876099//molecular function|aldehyde oxidase activity|IDA|GO:0004031|GOA|9600267//molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|ethanol binding|IDA|GO:0035276|GOA|9228021//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|receptor antagonist activity|IDA|GO:0048019|GOA|9600267//molecular function|retinol binding|IDA|GO:0019841|GOA|9228021//molecular function|retinol dehydrogenase activity|IDA|GO:0004745|GOA|ARRAY(0x12c5070)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|ethanol oxidation|IDA|GO:0006069|GOA|7876099//biological process|fatty acid omega-oxidation|IDA|GO:0010430|GOA|9600267//biological process|oxidation reduction|IDA|GO:0055114|GOA|7876099//biological process|response to ethanol|IDA|GO:0045471|GOA|9600267//biological process|retinoid metabolic process|IDA|GO:0001523|GOA|9600267//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	ADME	F	15	0.5637	-1.7739	4.8408E-16	41.5156	23.3762	0	1
A_32_P120851	chr5:150408035-150408094	GPX3	NM_002084	Glutathione peroxidase 3 (plasma)	molecular function|glutathione binding|IEA|GO:0043295|GOA|na//molecular function|glutathione peroxidase activity|IDA|GO:0004602|GOA|ARRAY(0xb4c7bc)//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|selenium binding|IDA|GO:0008430|GOA|ARRAY(0xb2df74)//molecular function|transcription factor binding|TAS|GO:0008134|GOA|8056346//biological process|glutathione metabolic process|IEA|GO:0006749|GOA|na//biological process|hydrogen peroxide catabolic process|TAS|GO:0042744|GOA|2491950//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|protein homotetramerization|IDA|GO:0051289|GOA|3693360//biological process|response to lipid hydroperoxide|TAS|GO:0006982|GOA|2491950//biological process|response to oxidative stress|IEA|GO:0006979|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IDA|GO:0005615|GOA|1897960//cellular component|soluble fraction|IEA|GO:0005625|GOA|na	ADME	M	15	1.1947	1.1947	8.5601E-08	25.1782	30.1877	0	1
A_23_P3038	chr14:65406396-65406455	GPX2	NM_002083	Glutathione peroxidase 2 (gastrointestinal)	molecular function|electron carrier activity|TAS|GO:0009055|GOA|8428933//molecular function|glutathione peroxidase activity|IEA|GO:0004602|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|interaction with symbiont|IEA|GO:0051702|GOA|na//biological process|negative regulation of inflammatory response to antigenic stimulus|IEA|GO:0002862|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|response to oxidative stress|IEA|GO:0006979|GOA|na//biological process|response to symbiotic bacterium|IEA|GO:0009609|GOA|na//biological process|temperature homeostasis|IEA|GO:0001659|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	ADME	M	14	1.2603	1.2603	0.0001	4459.2798	5657.4014	0	1
A_24_P334378	chr4:69794649-69794708	UGT2A3	NR_024010	UDP glucuronosyltransferase 2 family, polypeptide A3	molecular function|glucuronosyltransferase activity|IEA|GO:0015020|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	ADME related	F	15	0.8018	-1.2472	9.6468E-08	2488.3813	1968.0406	0	1
A_24_P385280	chr1:165631976-165632035	ALDH9A1	NM_000696	Aldehyde dehydrogenase 9 family, member A1	molecular function|4-trimethylammoniobutyraldehyde dehydrogenase activity|IEA|GO:0047105|GOA|na//molecular function|aldehyde dehydrogenase (NAD) activity|IDA|GO:0004029|GOA|2925663//molecular function|aminobutyraldehyde dehydrogenase activity|IDA|GO:0019145|GOA|ARRAY(0xf64d40)//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|carnitine metabolic process|IEA|GO:0009437|GOA|na//biological process|cellular aldehyde metabolic process|IDA|GO:0006081|GOA|8645224//biological process|hormone metabolic process|TAS|GO:0042445|GOA|2925663//biological process|neurotransmitter biosynthetic process|IDA|GO:0042136|GOA|2925663//biological process|oxidation reduction|IDA|GO:0055114|GOA|2925663//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytoplasm|TAS|GO:0005737|GOA|2925663//cellular component|cytoskeleton|IDA|GO:0005856|GOA|18029348//cellular component|cytosol|IEA|GO:0005829|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	ADME	F	16	0.8391	-1.1917	1.7684E-15	25096.2227	21042.9746	0	0
A_23_P213038	chr4:106767032-106767091	GSTCD		Glutathione S-transferase, C-terminal domain containing	molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|rRNA methyltransferase activity|IEA|GO:0008649|GOA|na//biological process|rRNA processing|IEA|GO:0006364|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	ADME	F	15	0.7973	-1.2542	3.4045E-09	92.3314	72.7582	0	0
A_23_P28761	chr20:43042332-43042379	HNF4A	NM_178850	Hepatocyte nuclear factor 4, alpha	molecular function|DNA binding|IDA|GO:0003677|GOA|ARRAY(0x1a2ce0c)//molecular function|fatty acid binding|IDA|GO:0005504|GOA|12220494//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|promoter binding|IDA|GO:0010843|GOA|16488887//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xbb98ac)//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|12220494//molecular function|receptor binding|IDA|GO:0005102|GOA|12220494//molecular function|steroid binding|IEA|GO:0005496|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|ARRAY(0x157596c)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|blood coagulation|IDA|GO:0007596|GOA|12911579//biological process|lipid homeostasis|IMP|GO:0055088|GOA|17827783//biological process|negative regulation of cell growth|IMP|GO:0030308|GOA|18163890//biological process|negative regulation of cell proliferation|IMP|GO:0008285|GOA|18163890//biological process|ornithine metabolic process|IMP|GO:0006591|GOA|17827783//biological process|positive regulation of gene-specific transcription|IDA|GO:0043193|GOA|16488887//biological process|positive regulation of gene-specific transcription from RNA polymerase II promoter|IMP|GO:0010552|GOA|17827783//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|7615825//biological process|regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010551|GOA|ARRAY(0x19dea50)//biological process|regulation of gene-specific transcription from RNA polymerase II promoter|IMP|GO:0010551|GOA|18163890//biological process|regulation of lipid metabolic process|IDA|GO:0019216|GOA|10551874//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|xenobiotic metabolic process|IMP|GO:0006805|GOA|17827783//cellular component|cytoplasm|IDA|GO:0005737|GOA|14563941//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xbcfe24)	ADME	F	15	0.8374	-1.1942	0.000019227	40.1561	33.7126	0	0
A_23_P48816	chr15:45567686-45567745	SLC28A2	NM_004212	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	molecular function|nucleoside binding|IEA|GO:0001882|GOA|na//molecular function|nucleoside:sodium symporter activity|IEA|GO:0005415|GOA|na//molecular function|purine nucleoside transmembrane transporter activity|TAS|GO:0015211|GOA|9435697//biological process|nucleobase, nucleoside, nucleotide and nucleic acid metabolic process|TAS|GO:0006139|GOA|9435697//biological process|purine nucleoside transport|TAS|GO:0015860|GOA|9435697//biological process|transport|IEA|GO:0006810|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|9435697//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|9435697	ADME	F	13	0.7654	-1.3066	0.00003356	22.6793	17.3874	0	0
A_24_P915256	chr7:99264336-99264395	CYP3A5	X90579	Cytochrome P450, family 3, subfamily A, polypeptide 5	molecular function|aromatase activity|IEA|GO:0070330|GOA|na//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|ISS|GO:0004497|GOA|na//molecular function|oxidoreductase activity|IDA|GO:0016491|GOA|15039299//molecular function|oxygen binding|EXP|GO:0019825|GOA|15454734//biological process|alkaloid catabolic process|IDA|GO:0009822|GOA|15039299//biological process|drug catabolic process|IDA|GO:0042737|GOA|15039299//biological process|oxidative demethylation|IDA|GO:0070989|GOA|15039299//biological process|steroid metabolic process|TAS|GO:0008202|GOA|2732228//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|15454734//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	ADME	M	14	1.2592	1.2592	1.9446E-10	3249.3716	4093.9119	0	0
A_24_P914434	chr1:110280134-110280191	GSTM3	NR_024537	glutathione S-transferase mu 3 (brain)	molecular function|glutathione transferase activity|IEA|GO:0004364|GOA|na//molecular function|identical protein binding|IPI|GO:0042802|GOA|19060904//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|establishment of blood-nerve barrier|TAS|GO:0008065|GOA|2345169//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|response to estrogen stimulus|IEP|GO:0043627|GOA|10037815//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|soluble fraction|IEA|GO:0005625|GOA|na	ADME	M	13	1.2157	1.2157	2.8091E-09	1062.1348	1291.1288	0	0
A_23_P36397	chr12:58156576-58156635	CYP27B1	NM_000785	cytochrome P450, family 27, subfamily B, polypeptide 1	molecular function|calcidiol 1-monooxygenase activity|IDA|GO:0004498|GOA|ARRAY(0x13e59e4)//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//biological process|G1 to G0 transition|IMP|GO:0070314|GOA|12496369//biological process|bone mineralization|IEP|GO:0030282|GOA|17023519//biological process|calcium ion homeostasis|IMP|GO:0055074|GOA|9415400//biological process|calcium ion transport|ISS|GO:0006816|GOA|na//biological process|decidualization|IEP|GO:0046697|GOA|16720713//biological process|negative regulation of calcidiol 1-monooxygenase activity|IDA|GO:0010956|GOA|ARRAY(0xaeb3dc)//biological process|negative regulation of cell growth|IMP|GO:0030308|GOA|12496369//biological process|negative regulation of cell proliferation|IDA|GO:0008285|GOA|16549446//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|positive regulation of keratinocyte differentiation|IMP|GO:0045618|GOA|12496369//biological process|positive regulation of vitamin D 24-hydroxylase activity|IDA|GO:0010980|GOA|16549446//biological process|positive regulation of vitamin D receptor signaling pathway|IDA|GO:0070564|GOA|16549446//biological process|regulation of bone mineralization|IMP|GO:0030500|GOA|9415400//biological process|response to estrogen stimulus|IEP|GO:0043627|GOA|15795327//biological process|response to interferon-gamma|IDA|GO:0034341|GOA|9282826//biological process|response to lipopolysaccharide|IEP|GO:0032496|GOA|12855575//biological process|response to tumor necrosis factor|IEP|GO:0034612|GOA|1690216//biological process|response to vitamin D|IEP|GO:0033280|GOA|ARRAY(0x13ebc5c)//biological process|vitamin D biosynthetic process|IDA|GO:0042368|GOA|16549446//biological process|vitamin D catabolic process|IEA|GO:0042369|GOA|na//biological process|vitamin D metabolic process|IDA|GO:0042359|GOA|9415400//cellular component|cytoplasm|IDA|GO:0005737|GOA|ARRAY(0x13c76cc)//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrial membrane|IEA|GO:0031966|GOA|na//cellular component|mitochondrion|ISS|GO:0005739|GOA|na//cellular component|mitochondrion|TAS|GO:0005739|GOA|9333115	ADME	M	13	1.2488	1.2488	2.7614E-10	41.8326	52.8966	0	0
A_23_P256084	chrX:2853195-2853231	ARSE	NM_000047	Arylsulfatase E (chondrodysplasia punctata 1)	molecular function|arylsulfatase activity|TAS|GO:0004065|GOA|9192838//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|skeletal system development|TAS|GO:0001501|GOA|7720070//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|Golgi stack|IEA|GO:0005795|GOA|na	ADME related	F	16	0.6614	-1.5119	0	2590.5303	1710.7584	0	0
A_23_P217712	chrX:2833682-2833735	ARSD	NM_009589	Arylsulfatase D	molecular function|arylsulfatase activity|TAS|GO:0004065|GOA|7720070//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//cellular component|lysosome|IEA|GO:0005764|GOA|na	ADME related	F	16	0.696	-1.4367	5.8442E-29	164.4107	113.489	0	0
A_23_P121914	chr19:41445068-41445127	CYP2B7P1	AK307933	Cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1	0	ADME related	F	15	0.7333	-1.3637	0.00001824	126.5917	91.2383	0	0
A_32_P86623	chrY:2355862-2355921;chrX:2405862-2405921	ZBED1	NM_004729	Dehydrogenase/reductase (SDR family) X-linked	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na	ADME related	F	15	0.789	-1.2674	0.000032479	2210.6934	1737.1339	0	0
A_23_P167324	chr4:88979147-88979206	PKD2	NM_000297	Polycystic kidney disease 2 (autosomal dominant)	molecular function|ATPase binding|IEA|GO:0051117|GOA|na//molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|channel activity|IEA|GO:0015267|GOA|na//molecular function|cytoskeletal protein binding|TAS|GO:0008092|GOA|10760273//molecular function|ion channel activity|IEA|GO:0005216|GOA|na//molecular function|potassium channel activity|IEA|GO:0005267|GOA|na//molecular function|protein C-terminus binding|TAS|GO:0008022|GOA|9171830//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2d3b274)//molecular function|receptor binding|IEA|GO:0005102|GOA|na//molecular function|voltage-gated chloride channel activity|TAS|GO:0005247|GOA|8650545//molecular function|voltage-gated sodium channel activity|TAS|GO:0005248|GOA|8650545//biological process|JAK-STAT cascade|IEA|GO:0007259|GOA|na//biological process|calcium ion transport|IEA|GO:0006816|GOA|na//biological process|cation transport|TAS|GO:0006812|GOA|8650545//biological process|cell cycle arrest|IEA|GO:0007050|GOA|na//biological process|cell-matrix adhesion|TAS|GO:0007160|GOA|10760273//biological process|cellular calcium ion homeostasis|IEA|GO:0006874|GOA|na//biological process|detection of mechanical stimulus|IEA|GO:0050982|GOA|na//biological process|determination of left/right symmetry|IEA|GO:0007368|GOA|na//biological process|embryonic placenta development|IEA|GO:0001892|GOA|na//biological process|heart development|IEA|GO:0007507|GOA|na//biological process|kidney development|IEA|GO:0001822|GOA|na//biological process|negative regulation of ryanodine-sensitive calcium-release channel activity|IEA|GO:0060315|GOA|na//biological process|organ morphogenesis|TAS|GO:0009887|GOA|9171830//biological process|regulation of cAMP metabolic process|IEA|GO:0030814|GOA|na//biological process|release of sequestered calcium ion into cytosol|IEA|GO:0051209|GOA|na//cellular component|actin cytoskeleton|IPI|GO:0015629|GOA|10760273//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|microtubule basal body|IDA|GO:0005932|GOA|15337773//cellular component|motile primary cilium|IEA|GO:0031512|GOA|na//cellular component|nonmotile primary cilium|IEA|GO:0031513|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|polycystin complex|IEA|GO:0002133|GOA|na	ADME related	F	15	0.7934	-1.2603	0.000089832	81.4327	64.1889	0	0
A_23_P153084	chr18:9525728-9525787	RALBP1	NM_006788	RalA binding protein 1	molecular function|ATPase activity|IDA|GO:0016887|GOA|10924126//molecular function|ATPase activity, coupled to movement of substances|IDA|GO:0043492|GOA|11437348//molecular function|GTPase activator activity|IDA|GO:0005096|GOA|7673236//molecular function|Rac GTPase activator activity|IDA|GO:0030675|GOA|7673236//molecular function|Rac GTPase binding|IPI|GO:0048365|GOA|7673236//molecular function|Ral GTPase binding|IPI|GO:0017160|GOA|ARRAY(0x2ecb87c)//molecular function|protein binding|IPI|GO:0005515|GOA|9422736//biological process|chemotaxis|TAS|GO:0006935|GOA|10848592//biological process|positive regulation of Cdc42 GTPase activity|IDA|GO:0043089|GOA|7673236//biological process|regulation of GTPase activity|IDA|GO:0043087|GOA|7673236//biological process|signal transduction|IEA|GO:0007165|GOA|na//biological process|small GTPase mediated signal transduction|IPI|GO:0007264|GOA|7673236//biological process|transport|IDA|GO:0006810|GOA|ARRAY(0xaeeddc)//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|membrane|IDA|GO:0016020|GOA|ARRAY(0x2e94738)	ADME related	F	15	0.8118	-1.2319	6.599E-16	175.0983	141.828	0	0
