probe set	Gene Symbol	Entrez Gene ID	Cytoband	p-value
219173_at	MYO15B	80022	17q25.1	0.022306
201450_s_at	TIA1	7072	2p13	0.022352
239635_at	RBM14	10432	11q13.2	0.022496
223662_x_at	DDX59	83479	1q32.1	0.022559
236754_at	PPP1R2	5504	3q29	0.022648
200748_s_at	FTH1	2495	11q13	0.022775
208682_s_at	MAGED2	10916	Xp11.2	0.02281
203853_s_at	GAB2	9846	11q14.1	0.023005
205262_at	KCNH2	3757	7q35-q36	0.023088
230673_at	PKHD1L1	93035	8q23.1-q23.2	0.023103
1559436_x_at				0.023174
206169_x_at	ZC3H7B	23264	22q13.2	0.023235
201635_s_at	FXR1	8087	3q28	0.023261
210658_s_at	GGA2	23062	16p12	0.023332
221989_at	RPL10	6134	Xq28	0.023483
234762_x_at	NLN	57486	5q12.3	0.023494
1565034_s_at	AFF3 / MLL	3899 / 4297	11q23 / 2q11.2-q12	0.023597
237426_at	SP100	6672	2q37.1	0.023701
228828_at				0.023756
212259_s_at	PBXIP1	57326	1q21.3	0.0238
241865_at				0.023979
225412_at	TMEM87B	84910	2q13	0.024034
228173_at	GNAS	2778	20q13.3	0.024105
239453_at				0.024108
229334_at	RUFY3	22902	4q13.3	0.024111
233056_x_at	DLGAP4	22839	20q11.23	0.024148
215058_at	DENND5B	160518	12p11.21	0.024392
235401_s_at	FCRLA	84824	1q23.3	0.024474
208750_s_at	ARF1	375	1q42	0.024498
205462_s_at	HPCAL1	3241	2p25.1	0.024687
225267_at	KPNA4	3840	3q25.33	0.024786
1560443_at				0.024817
211272_s_at	DGKA	1606	12q13.3	0.024909
208322_s_at	ST3GAL1	6482	8q24.22	0.024961
236079_at	DKFZp667E0512	202025	4p16.1	0.025075
215671_at	PDE4B	5142	1p31	0.025103
1569181_x_at				0.025124
204156_at	QSK	23387	11q23.3	0.025279
210514_x_at	HLA-G	3135	6p21.3	0.025324
1552622_s_at	LOC441259 / POLR2J2	246721 / 441259	7q11.23 / 7q22.1	0.025656
211360_s_at	ITPR2	3709	12p11	0.02569
213605_s_at	LOC100272216 / LOC100292101	100272216 100292101		0.025697
202122_s_at	PLIN3	10226	19p13.3	0.025762
208621_s_at	EZR	7430	6q25.2-q26	0.025828
206036_s_at	REL	5966	2p13-p12	0.025963
214602_at	COL4A4	1286	2q35-q37	0.026186
215521_at	PHC3	80012	3q26.2	0.026233
222496_s_at	RBM47	54502	4p13-p12	0.02626
41660_at	CELSR1	9620	22q13.3	0.026361
202005_at	ST14	6768	11q24-q25	0.026569
1557751_at				0.026675
216080_s_at	FADS3	3995	11q12-q13.1	0.026722
212316_at	NUP210	23225	3p25.1	0.026834
219734_at	SIDT1	54847	3q13.2	0.026922
217677_at	PLEKHA2	59339	8p11.22	0.026984
203615_x_at	SULT1A1	6817	16p12.1	0.027138
209257_s_at	SMC3	9126	10q25	0.027232
1560271_at				0.027263
212032_s_at	PTOV1	53635	19q13.33	0.027416
243759_at	SFRS15	57466	21q22.1	0.027443
1560661_x_at				0.027575
242837_at	SFRS4	6429	1p35.3	0.027722
1569180_at				0.02809
205739_x_at	ZNF107	51427	7q11.2	0.028146
1566959_at				0.028167
210338_s_at	HSPA8	3312	11q24.1	0.028333
1566880_at				0.02835
213875_x_at	C6orf62	81688	6p22.3	0.028711
1555436_a_at	AFF4	27125	5q31	0.028723
201368_at	ZFP36L2	678	2p22.3-p21	0.028778
204805_s_at	H1FX	8971	3q21.3	0.02909
206133_at	XAF1	54739	17p13.1	0.029159
241154_x_at				0.02933
236552_at				0.029368
213746_s_at	FLNA	2316	Xq28	0.029737
214723_x_at	ANKRD36	375248	2q11.2	0.029773
216229_x_at	HCG2P7	80867	6p21.3	0.029825
226735_at	TAPT1	202018	4p15.32	0.029935
225134_at	SPRYD3	84926	12q13.13	0.030225
215767_at	ZNF804A	91752	2q32.1	0.03023
208137_x_at	ZNF611	81856	19q13.41	0.030677
238919_at				0.030848
1562063_x_at	KIAA1245 / NBPF1 / NBPF10 / NBPF11 / NBPF12 / NBPF20 / NBPF3 / NBPF8 / RP11-94I2.2	100132406 / 149013 / 200030 / 400818 / 440675 / 55672 / 728841 / 728912 / 84224	1p36.12 / 1p36.13 / 1q21.1 / 1q21.2	0.030869
1558075_at	LOC339047	339047	16p13.11	0.030947
215600_x_at	FBXW12	285231	3p21.31	0.031038
233154_at				0.031191
235170_at	ZNF92	168374	7q11.21	0.031482
203240_at	FCGBP	8857	19q13.1	0.031628
214238_at				0.031684
240019_at				0.031785
200959_at	FUS	2521	16p11.2	0.031889
213060_s_at	CHI3L2	1117	1p13.3	0.032019
237376_at				0.032077
206500_s_at	C14orf106	55320	14q21.2	0.032135
215392_at				0.032183
214677_x_at	IGL@	3535	22q11.1-q11.2	0.032275
212235_at	PLXND1	23129	3q22.1	0.032591
228097_at	MYLIP	29116	6p23-p22.3	0.032732
214752_x_at	FLNA	2316	Xq28	0.032911
223578_x_at	MALAT1	378938	11q13.1	0.033233
242191_at	NBPF10	100132406	1q21.1	0.033328
227020_at	YPEL2	388403	17q22	0.033419
224595_at	SLC44A1	23446	9q31.2	0.033446
213872_at	C6orf62	81688	6p22.2	0.033551
239545_at				0.033612
208190_s_at	LSR	51599	19q13.12	0.033702
210281_s_at	ZMYM2	7750	13q11-q12	0.033841
207001_x_at	TSC22D3	1831	Xq22.3	0.034028
230424_at	C5orf13	9315	5q22.1	0.034054
216187_x_at				0.034089
240165_at				0.034224
211316_x_at	CFLAR	8837	2q33-q34	0.03427
215952_s_at	OAZ1	4946	19p13.3	0.034345
209138_x_at	IGL@	3535	22q11.1-q11.2	0.034358
225636_at	STAT2	6773	12q13.3	0.034632
201499_s_at	USP7	7874	16p13.3	0.034696
219233_s_at	GSDMB	55876	17q12	0.034713
215379_x_at	IGL@ / IGLV1-44	28823 / 3535	22q11.1-q11.2 / 22q11.2	0.0349
242369_x_at				0.034994
1555355_a_at	ETS1	2113	11q23.3	0.035058
233473_x_at				0.035097
208915_s_at	GGA2	23062	16p12	0.035106
242362_at				0.035146
225224_at	C20orf112	140688	20q11.1-q11.23	0.035174
230077_at	LOC220729 / SDHA / SDHALP1 / SDHALP2	220729 / 255812 / 638 / 727956	3q29 / 5p15	0.035458
240314_at				0.035509
209953_s_at	CDC37	11140	19p13.2	0.035588
205055_at	ITGAE	3682	17p13	0.035694
1556732_at	EML4	27436	2p22-p21	0.035887
200859_x_at	FLNA	2316	Xq28	0.035986
232889_at				0.036356
223344_s_at	MS4A7	58475	11q12	0.036392
215121_x_at	IGL@ / IGLV1-44	28823 / 3535	22q11.1-q11.2 / 22q11.2	0.036423
213502_x_at	LOC91316	91316	22q11.23	0.036462
244674_at				0.036578
204286_s_at	PMAIP1	5366	18q21.32	0.036591
215299_x_at	SULT1A1	6817	16p12.1	0.036649
229552_at	LOC283454	283454	12q24.23	0.036736
214850_at	LOC100170939	100170939	5q13	0.037146
220338_at	RALGPS2	55103	1q25.2	0.037195
1552621_at	POLR2J2	246721	7q22.1	0.037213
202369_s_at	TRAM2	9697	6p21.1-p12	0.037465
213146_at	KDM6B	23135	17p13.1	0.037481
221270_s_at	QTRT1	81890	19p13.3	0.037674
213548_s_at	CDV3	55573	3q22.1	0.037816
242052_at				0.037889
1553145_at	FLJ39653	202020	4p15.32	0.038118
225738_at	RAPGEF1	2889	9q34.3	0.038676
221986_s_at	KLHL24	54800	3q27.1	0.038799
238987_at	B4GALT1	2683	9p13	0.03885
244172_at				0.038989
235693_at				0.039015
223343_at	MS4A7	58475	11q12	0.039123
218845_at	DUSP22	56940	6p25.3	0.039232
230884_s_at	SPG7	6687	16q24.3	0.039326
227824_at	PRKCB	5579	16p11.2	0.039381
201862_s_at	LRRFIP1	9208	2q37.3	0.039424
231108_at	FUS	2521	16p11.2	0.03959
201598_s_at	INPPL1	3636	11q23	0.039645
201267_s_at	PSMC3	5702	11p12-p13	0.039791
237333_at	RBBP4	5928	1p35.1	0.039822
203826_s_at	PITPNM1	9600	11q13	0.039837
59375_at	MYO15B	80022	17q25.1	0.039918
208206_s_at	RASGRP2	10235	11q13	0.039931
243046_at				0.040497
215714_s_at	SMARCA4	6597	19p13.2	0.040508
208149_x_at	DDX11	1663	12p11	0.040517
234731_at				0.040614
244286_at				0.040739
233431_x_at				0.040744
213553_x_at	APOC1	341	19q13.2	0.040747
201152_s_at	MBNL1	4154	3q25	0.040768
1558426_x_at	ORAI2	80228	7q22.1	0.040851
209113_s_at	HMG20B	10362	19p13.3	0.041236
222154_s_at	SPATS2L	26010	2q33.1	0.041258
227407_at	TAPT1	202018	4p15.32	0.041409
216748_at	PYHIN1	149628	1q23.1	0.041506
1557360_at	LRPPRC	10128	2p21	0.042152
235448_at	ZXDC	79364	3q21.3	0.042225
219737_s_at	PCDH9	5101	13q14.3-q21.1	0.042226
215470_at	GTF2H2B	653238	5q13.2	0.042249
201949_x_at	CAPZB	832	1p36.1	0.042258
244654_at	MYO1G	64005	7p13-p11.2	0.042513
215946_x_at	IGLL3	91353	22q11.2|22q11.23	0.042777
214359_s_at	HSP90AB1	3326	6p12	0.042904
210978_s_at	TAGLN2	8407	1q21-q25	0.04315
242712_x_at	RANBP2 / RGPD1 / RGPD2 / RGPD3 / RGPD4 / RGPD5 / RGPD6 / RGPD7 / RGPD8	285190 / 400966 / 5903 / 652919 / 653489 / 727851 / 729540 / 729857 / 84220	2p11.2 / 2q12.3 / 2q13	0.043164
239655_at				0.043338
233303_at				0.043339
207730_x_at				0.043383
209732_at	CLEC2B	9976	12p13-p12	0.043593
217504_at	ABCA6	23460	17q24.3	0.044115
235084_x_at				0.044351
237626_at				0.044385
235743_at				0.044497
212098_at	LOC151162 / MGAT5	151162 / 4249	2q21 / 2q21.3	0.044535
213649_at	SFRS7	6432	2p22.1	0.044722
236259_at	STK4	6789	20q11.2-q13.2	0.044731
225742_at	MDM4	4194	1q32	0.044792
204914_s_at	SOX11	6664	2p25	0.044833
228284_at	TLE1	7088	9q21.32	0.044886
243134_at				0.044956
215239_x_at	ZNF273	10793	7q11.21	0.045129
217995_at	SQRDL	58472	15q15	0.045183
216614_at				0.045333
212514_x_at	DDX3X	1654	Xp11.3-p11.23	0.045478
204861_s_at	NAIP	4671	5q13.1	0.045604
1569091_at				0.045636
81811_at				0.045872
208159_x_at	DDX11	1663	12p11	0.046019
232485_at	RUNDC2A	84127	16p13.13	0.046123
1555827_at	CCNL1	57018	3q25.32	0.046246
223697_x_at	C9orf64	84267	9q21.32	0.046615
204915_s_at	SOX11	6664	2p25	0.046781
1558686_at				0.046977
210754_s_at	LYN	4067	8q13	0.04705
206059_at	ZNF91	7644	19p13.1-p12	0.047323
242024_at				0.047467
208691_at	TFRC	7037	3q29	0.047599
224642_at	FYTTD1	84248	3q29	0.047814
201065_s_at	GTF2I / GTF2IP1 / LOC100093631	100093631 / 2969 / 2970	7q11.23	0.047875
219221_at	ZBTB38	253461	3q23	0.048003
201037_at	PFKP	5214	10p15.3-p15.2	0.048012
38671_at	PLXND1	23129	3q22.1	0.048636
201151_s_at	MBNL1	4154	3q25	0.048714
224703_at	DCAF5	8816	14q23-q24.1	0.048852
228818_at				0.049108
242440_at				0.049378
224566_at	NEAT1	283131	11q13.1	0.049475
1559362_at				0.049711
242829_x_at	FBXL3	26224	13q22	0.049938
212276_at	LPIN1	23175	2p25.1	0.049938
