Rank	Parametric p-value	FDR	Geom mean of intensities in class 1 (3.75 Gy)	Geom mean of intensities in class 2 (Control)	Fold-change	Unique id	Description	Gene symbol
40	< 1e-07	< 1e-07	1062.361447	503.9625592	2.1080166	A_24_P156911	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
41	< 1e-07	< 1e-07	5365.545735	2170.905522	2.4715704	A_24_P66027	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B (APOBEC3B), mRNA [NM_004900]	APOBEC3B
42	< 1e-07	< 1e-07	117.3262256	302.8129413	0.3874545	A_23_P6293	Homo sapiens ubiquitin associated and SH3 domain containing, A (UBASH3A), transcript variant 1, mRNA [NM_018961]	UBASH3A
43	< 1e-07	< 1e-07	624.8477029	276.7433163	2.2578601	A_23_P218555	Homo sapiens FOS-like antigen 2 (FOSL2), mRNA [NM_005253]	FOSL2
44	< 1e-07	< 1e-07	1955.236576	4222.12793	0.4630927	A_23_P39682	Homo sapiens zeta-chain (TCR) associated protein kinase 70kDa (ZAP70), transcript variant 1, mRNA [NM_001079]	ZAP70
45	< 1e-07	< 1e-07	104.584166	327.3965841	0.3194418	A_32_P17343	Unknown	THC2667726
46	< 1e-07	< 1e-07	5655.22515	2547.953606	2.2195165	A_23_P8013	Homo sapiens histone cluster 1, H2bl (HIST1H2BL), mRNA [NM_003519]	HIST1H2BL
47	< 1e-07	< 1e-07	75.3548889	27.1778823	2.7726549	A_23_P46618	Homo sapiens plexin A2 (PLXNA2), mRNA [NM_025179]	PLXNA2
48	< 1e-07	< 1e-07	2699.769542	985.0709282	2.7406854	A_23_P309381	Homo sapiens histone cluster 2, H2aa4 (HIST2H2AA4), mRNA [NM_001040874]	HIST2H2AA4
49	< 1e-07	< 1e-07	691.5029255	302.4187011	2.2865746	A_23_P167997	Homo sapiens histone cluster 1, H2bg (HIST1H2BG), mRNA [NM_003518]	HIST1H2BG
50	< 1e-07	< 1e-07	1413.172027	2812.890314	0.5023914	A_24_P9090	Homo sapiens heterogeneous nuclear ribonucleoprotein D-like (HNRPDL), transcript variant 2, mRNA [NM_031372]	HNRPDL
51	< 1e-07	< 1e-07	737.9831492	350.5846008	2.1050073	A_23_P40470	Homo sapiens histone cluster 1, H2be (HIST1H2BE), mRNA [NM_003523]	HIST1H2BE
52	< 1e-07	< 1e-07	1042.181434	2377.676101	0.4383193	A_23_P8424	Homo sapiens poliovirus receptor related immunoglobulin domain containing (PVRIG), mRNA [NM_024070]	PVRIG
53	< 1e-07	< 1e-07	63.1814092	15.7017398	4.0238477	A_23_P133842	Homo sapiens histone cluster 1, H1t (HIST1H1T), mRNA [NM_005323]	HIST1H1T
54	< 1e-07	< 1e-07	4393.881759	1973.529102	2.2264084	A_23_P42178	Homo sapiens histone cluster 1, H2bf (HIST1H2BF), mRNA [NM_003522]	HIST1H2BF
55	< 1e-07	< 1e-07	715.5280426	311.9615379	2.2936419	A_23_P346311	Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA [NM_138765]	BAX
56	< 1e-07	< 1e-07	2096.460055	4319.470916	0.4853511	A_23_P100730	Homo sapiens src kinase associated phosphoprotein 1 (SKAP1), transcript variant 1, mRNA [NM_003726]	SKAP1
57	< 1e-07	< 1e-07	1821.537928	924.9563983	1.969323	A_24_P3783	Homo sapiens histone cluster 1, H2bm (HIST1H2BM), mRNA [NM_003521]	HIST1H2BM
58	< 1e-07	< 1e-07	1908.918168	986.3714449	1.9352934	A_23_P34396	Homo sapiens chromosome 1 open reading frame 63 (C1orf63), mRNA [NM_020317]	C1orf63
59	< 1e-07	< 1e-07	163.7866307	345.9233863	0.4734766	A_23_P88439	Homo sapiens membrane targeting (tandem) C2 domain containing 1 (MTAC2D1), mRNA [NM_152332]	MTAC2D1
60	< 1e-07	< 1e-07	153.6893259	364.6952263	0.4214185	A_23_P404481	Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 1 (EDG1), mRNA [NM_001400]	EDG1
61	< 1e-07	< 1e-07	186.9377516	528.6489699	0.3536141	A_23_P91095	Homo sapiens CD28 molecule (CD28), mRNA [NM_006139]	CD28
62	< 1e-07	< 1e-07	8304.292943	3401.709982	2.4412113	A_23_P208706	Homo sapiens BCL2-associated X protein (BAX), transcript variant epsilon, mRNA [NM_138764]	BAX
63	< 1e-07	< 1e-07	1578.613829	834.8091536	1.8909877	A_23_P205997	Homo sapiens anterior pharynx defective 1 homolog B (C. elegans) (APH1B), mRNA [NM_031301]	APH1B
64	< 1e-07	< 1e-07	666.2786595	220.0172681	3.0283017	A_24_P925664	Unknown	THC2545454
65	< 1e-07	< 1e-07	128.8184836	284.7049846	0.452463	A_23_P82478	Homo sapiens pseudouridylate synthase 7 homolog (S. cerevisiae) (PUS7), mRNA [NM_019042]	PUS7
66	< 1e-07	< 1e-07	922.6656592	392.040882	2.3534935	A_24_P146211	Homo sapiens histone cluster 1, H2bd (HIST1H2BD), transcript variant 1, mRNA [NM_021063]	HIST1H2BD
67	< 1e-07	< 1e-07	23347.9103	8716.070965	2.6787196	A_23_P428184	Homo sapiens histone cluster 1, H2ad (HIST1H2AD), mRNA [NM_021065]	HIST1H2AD
68	< 1e-07	< 1e-07	3298.500737	1532.403524	2.1525014	A_23_P30776	Homo sapiens histone cluster 1, H2be (HIST1H2BE), mRNA [NM_003523]	HIST1H2BE
69	< 1e-07	< 1e-07	293.5477367	104.6876312	2.8040346	A_23_P156609	Unknown	A_23_P156609
70	< 1e-07	< 1e-07	47.0128089	106.7392709	0.4404453	A_23_P110802	Homo sapiens centromere protein H (CENPH), mRNA [NM_022909]	CENPH
71	< 1e-07	< 1e-07	531.6362464	129.3779274	4.1091727	A_24_P592871	UI-CF-FN0-age-k-21-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-age-k-21-0-UI 3, mRNA sequence [CB250445]	CB250445
72	< 1e-07	< 1e-07	4692.775609	1809.359098	2.5936121	A_23_P1602	Homo sapiens CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA [NM_006779]	CDC42EP2
73	< 1e-07	< 1e-07	1046.232863	3071.795864	0.3405932	A_23_P200866	Homo sapiens stathmin 1/oncoprotein 18 (STMN1), transcript variant 1, mRNA [NM_203401]	STMN1
74	< 1e-07	< 1e-07	414.146328	1065.917631	0.388535	A_32_P206479	Uncharacterized protein C20orf174. [Source:Uniprot/SWISSPROT;Acc:Q5JPB2] [ENST00000371030]	C20orf174
75	< 1e-07	< 1e-07	70.6898316	36.1072268	1.9577752	A_24_P374634	Homo sapiens cDNA FLJ11290 fis, clone PLACE1009622, weakly similar to MATERNAL EFFECT PROTEIN STAUFEN. [AK002152]	STAU2
76	< 1e-07	< 1e-07	1960.030608	835.8554218	2.3449398	A_24_P394510	Homo sapiens histone cluster 1, H2aj (HIST1H2AJ), mRNA [NM_021066]	HIST1H2AJ
77	< 1e-07	< 1e-07	1287.709224	2770.005307	0.4648761	A_32_P185229	Homo sapiens ATPase, Class I, type 8B, member 2 (ATP8B2), transcript variant 1, mRNA [NM_020452]	ATP8B2
78	< 1e-07	< 1e-07	8644.708203	4663.684171	1.8536221	A_23_P165136	Homo sapiens leucine rich repeat containing 25 (LRRC25), mRNA [NM_145256]	LRRC25
79	< 1e-07	< 1e-07	8880.890903	3790.606957	2.3428678	A_23_P149301	Homo sapiens histone cluster 3, H2a (HIST3H2A), mRNA [NM_033445]	HIST3H2A
80	< 1e-07	< 1e-07	722.0795027	402.4518703	1.7942009	A_32_P150030	Homo sapiens protein phosphatase 1D magnesium-dependent, delta isoform (PPM1D), mRNA [NM_003620]	PPM1D
81	< 1e-07	< 1e-07	12399.3033	4925.24117	2.5175018	A_24_P68631	Homo sapiens histone cluster 2, H2ab (HIST2H2AB), mRNA [NM_175065]	HIST2H2AB
82	< 1e-07	< 1e-07	140.0916838	49.3770591	2.8371816	A_23_P149545	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
83	< 1e-07	< 1e-07	1014.598239	385.0908432	2.6346984	A_24_P148321	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
84	< 1e-07	< 1e-07	85.8072934	20.078251	4.2736438	A_24_P917549	Unknown	A_24_P917549
85	< 1e-07	< 1e-07	237.1131597	476.3873078	0.4977319	A_23_P410613	Homo sapiens chromosome 12 open reading frame 23 (C12orf23), mRNA [NM_152261]	C12orf23
86	< 1e-07	< 1e-07	124.333249	38.6895738	3.2136112	A_32_P12994	full-length cDNA clone CS0DI015YJ05 of Placenta Cot 25-normalized of Homo sapiens (human). [CR601322]	CR601322
87	< 1e-07	< 1e-07	2579.040074	1477.507065	1.7455349	A_23_P81770	Homo sapiens protein tyrosine phosphatase type IVA, member 1 (PTP4A1), mRNA [NM_003463]	PTP4A1
88	< 1e-07	< 1e-07	904.0895435	469.2572785	1.9266394	A_24_P544661	Homo sapiens cDNA clone IMAGE:6380649, containing frame-shift errors. [BC068044]	BC068044
89	< 1e-07	< 1e-07	3837.633466	7451.654318	0.5150042	A_23_P44105	Homo sapiens linker for activation of T cells (LAT), transcript variant 1, mRNA [NM_014387]	LAT
90	< 1e-07	< 1e-07	35.0762599	72.3979783	0.4844923	A_23_P134014	Homo sapiens deaminase domain containing 1 (DEADC1), mRNA [NM_182503]	DEADC1
91	< 1e-07	< 1e-07	818.0068893	386.751935	2.1150686	A_23_P38505	Homo sapiens chemokine (C-X-C motif) ligand 16 (CXCL16), mRNA [NM_022059]	CXCL16
92	< 1e-07	< 1e-07	300.0792407	102.9050945	2.9160776	A_23_P126836	Homo sapiens tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa) (TNFSF4), mRNA [NM_003326]	TNFSF4
93	< 1e-07	< 1e-07	57890.48902	21922.51306	2.6406867	A_23_P103981	Homo sapiens histone cluster 2, H2aa4 (HIST2H2AA4), mRNA [NM_001040874]	HIST2H2AA4
94	< 1e-07	< 1e-07	1377.378323	3154.022312	0.4367053	A_23_P121702	Homo sapiens OCIA domain containing 2 (OCIAD2), transcript variant 1, mRNA [NM_001014446]	OCIAD2
95	< 1e-07	< 1e-07	312.0659769	564.241713	0.5530714	A_23_P90419	Homo sapiens pre-B-cell leukemia transcription factor 4 (PBX4), mRNA [NM_025245]	PBX4
96	< 1e-07	< 1e-07	333.5165345	725.0283642	0.4600048	A_23_P41280	Homo sapiens phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS), transcript variant 1, mRNA [NM_001079525]	PAICS
97	< 1e-07	< 1e-07	3502.237492	7011.993855	0.4994639	A_23_P13604	Homo sapiens phosphatidylethanolamine binding protein 1 (PEBP1), mRNA [NM_002567]	PEBP1
98	< 1e-07	< 1e-07	24.626906	78.4000447	0.3141185	A_32_P119704	Unknown	THC2677229
99	< 1e-07	< 1e-07	110.9373435	241.6124667	0.4591541	A_32_P7502	Homo sapiens CD96 molecule (CD96), transcript variant 1, mRNA [NM_198196]	CD96
100	0.0000001	0.0000163	307.331776	112.7171898	2.7265742	A_23_P430800	Homo sapiens coiled-coil domain containing 17 (CCDC17), mRNA [NM_152500]	CCDC17
101	0.0000001	0.0000163	60681.74443	32582.15398	1.8624227	A_23_P411296	Homo sapiens CCAAT/enhancer binding protein (C/EBP), beta (CEBPB), mRNA [NM_005194]	CEBPB
102	0.0000001	0.0000163	61.2709557	13.0191812	4.7062066	A_24_P53778	Homo sapiens intelectin 2 (ITLN2), mRNA [NM_080878]	ITLN2
103	0.0000001	0.0000163	164.8061079	79.2881184	2.0785726	A_23_P51136	Homo sapiens ras homolog gene family, member B (RHOB), mRNA [NM_004040]	RHOB
104	0.0000001	0.0000163	1422.688026	721.3199676	1.9723397	A_23_P111041	Homo sapiens histone cluster 1, H2bi (HIST1H2BI), mRNA [NM_003525]	HIST1H2BI
105	0.0000001	0.0000163	1303.762028	760.234471	1.7149473	A_23_P37535	Homo sapiens RAB8B, member RAS oncogene family (RAB8B), mRNA [NM_016530]	RAB8B
106	0.0000001	0.0000163	1549.37627	3427.4679	0.4520469	A_23_P114299	Homo sapiens chemokine (C-X-C motif) receptor 3 (CXCR3), mRNA [NM_001504]	CXCR3
107	0.0000001	0.0000163	4556.868652	2636.120769	1.7286267	A_23_P39074	Homo sapiens related RAS viral (r-ras) oncogene homolog (RRAS), mRNA [NM_006270]	RRAS
108	0.0000001	0.0000163	643.8059347	284.7315483	2.261098	A_32_P170736	Homo sapiens cDNA FLJ25556 fis, clone JTH02629. [AK098422]	AK098422
109	0.0000001	0.0000163	61.4017043	123.190214	0.49843	A_23_P47790	Homo sapiens methyltransferase like 1 (METTL1), transcript variant 1, mRNA [NM_005371]	METTL1
110	0.0000001	0.0000163	180.1288481	437.6188482	0.4116113	A_32_P114284	Homo sapiens IKAROS family zinc finger 2 (Helios) (IKZF2), transcript variant 2, mRNA [NM_001079526]	IKZF2
111	0.0000001	0.0000163	2510.042907	1411.774056	1.7779353	A_23_P113825	Homo sapiens BTB (POZ) domain containing 14A (BTBD14A), mRNA [NM_144653]	BTBD14A
112	0.0000001	0.0000163	1135.129961	583.3240275	1.9459681	A_23_P111054	Homo sapiens histone cluster 1, H2bb (HIST1H2BB), mRNA [NM_021062]	HIST1H2BB
113	0.0000001	0.0000163	44.3951382	9.6702649	4.5908916	A_23_P328259	Homo sapiens KIAA1727 protein (KIAA1727), mRNA [NM_033393]	KIAA1727
114	0.0000001	0.0000163	1193.519871	702.1968479	1.6996941	A_23_P128486	Homo sapiens chromosome 12 open reading frame 5 (C12orf5), mRNA [NM_020375]	C12orf5
115	0.0000001	0.0000163	9713.662013	20418.18624	0.4757358	A_23_P352861	Homo sapiens T cell receptor beta variable 5-4, mRNA (cDNA clone MGC:40031 IMAGE:5217067), complete cds. [BC028083]	TRBV5-4
116	0.0000001	0.0000163	158.9600197	50.6358376	3.139279	A_23_P103433	Homo sapiens chromosome 1 open reading frame 102 (C1orf102), transcript variant 1, mRNA [NM_145047]	C1orf102
117	0.0000001	0.0000163	340.4537664	177.6998862	1.9158919	A_24_P88921	Homo sapiens xeroderma pigmentosum, complementation group C (XPC), mRNA [NM_004628]	XPC
118	0.0000001	0.0000163	240.7867976	102.675494	2.3451243	A_32_P170664	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. [AK024898]	AK024898
119	0.0000001	0.0000163	1143.23817	3122.86897	0.3660859	A_23_P156218	Homo sapiens granzyme K (granzyme 3; tryptase II) (GZMK), mRNA [NM_002104]	GZMK
120	0.0000001	0.0000163	95.3177858	202.9815538	0.4695884	A_24_P525917	Homo sapiens cDNA: FLJ22105 fis, clone HEP17660. [AK025758]	AK025758
121	0.0000001	0.0000163	580.4260514	1340.61921	0.4329537	A_23_P251881	Homo sapiens natural cytotoxicity triggering receptor 3 (NCR3), mRNA [NM_147130]	NCR3
122	0.0000002	0.0000279	1135.660872	292.2933425	3.8853464	A_23_P119202	Homo sapiens CD70 molecule (CD70), mRNA [NM_001252]	CD70
123	0.0000002	0.0000279	592.1881304	1550.307016	0.3819812	A_23_P215956	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]	MYC
124	0.0000002	0.0000279	5401.151977	2086.366579	2.5887838	A_23_P59045	Homo sapiens histone cluster 1, H2ae (HIST1H2AE), mRNA [NM_021052]	HIST1H2AE
125	0.0000002	0.0000279	36.4595824	106.3675078	0.3427699	A_24_P240166	Homo sapiens pleckstrin homology-like domain, family B, member 2 (PHLDB2), mRNA [NM_145753]	PHLDB2
126	0.0000002	0.0000279	752.0637882	1749.810171	0.4297974	A_23_P340019	Homo sapiens NLR family, CARD domain containing 3 (NLRC3), mRNA [NM_178844]	NLRC3
127	0.0000002	0.0000279	693.838573	1555.585211	0.4460306	A_23_P124642	Homo sapiens RAS guanyl releasing protein 1 (calcium and DAG-regulated) (RASGRP1), mRNA [NM_005739]	RASGRP1
128	0.0000002	0.0000279	318.2504593	814.5828535	0.3906913	A_24_P931443	Homo sapiens G protein-coupled receptor 68 (GPR68), mRNA [NM_003485]	GPR68
129	0.0000002	0.0000279	48.6190347	127.377928	0.3816912	A_24_P936171	Homo sapiens agmatine ureohydrolase (agmatinase) (AGMAT), mRNA [NM_024758]	AGMAT
130	0.0000002	0.0000279	132.2851399	274.2261601	0.4823943	A_24_P350576	Homo sapiens mRNA for KIAA0551 protein, partial cds. [AB011123]	TNIK
131	0.0000002	0.0000279	14542.37971	6976.144328	2.084587	A_24_P8721	Homo sapiens histone cluster 2, H2ac (HIST2H2AC), mRNA [NM_003517]	HIST2H2AC
132	0.0000002	0.0000279	46.4397339	106.1954627	0.4373043	A_23_P348146	Homo sapiens SLAIN motif family, member 1 (SLAIN1), transcript variant 1, mRNA [NM_001040153]	SLAIN1
133	0.0000002	0.0000279	1286.6181	656.7396739	1.9590991	A_23_P332992	Homo sapiens histone cluster 3, H2bb (HIST3H2BB), mRNA [NM_175055]	HIST3H2BB
134	0.0000002	0.0000279	313.1653042	163.7700604	1.9122256	A_24_P241815	Homo sapiens jun B proto-oncogene (JUNB), mRNA [NM_002229]	JUNB
135	0.0000002	0.0000279	449.716607	863.7065967	0.5206821	A_23_P80129	Homo sapiens DNA segment on chromosome 21 (unique) 2056 expressed sequence (D21S2056E), mRNA [NM_003683]	D21S2056E
136	0.0000002	0.0000279	1598.890744	961.2049762	1.6634233	A_23_P213069	Homo sapiens transmembrane protein 33 (TMEM33), mRNA [NM_018126]	TMEM33
137	0.0000002	0.0000279	117.2850889	53.052291	2.210745	A_23_P32454	Homo sapiens thyroglobulin (TG), mRNA [NM_003235]	TG
138	0.0000002	0.0000279	1524.038926	718.2076696	2.1220031	A_23_P402081	Homo sapiens histone cluster 1, H2bn (HIST1H2BN), mRNA [NM_003520]	HIST1H2BN
139	0.0000002	0.0000279	128.9016312	306.1995231	0.4209727	A_32_P127978	Homo sapiens IKAROS family zinc finger 2 (Helios) (IKZF2), transcript variant 2, mRNA [NM_001079526]	IKZF2
140	0.0000002	0.0000279	327.268288	739.9516492	0.4422833	A_23_P354146	Homo sapiens IL2-inducible T-cell kinase (ITK), mRNA [NM_005546]	ITK
141	0.0000002	0.0000279	80.6553819	198.9539505	0.4053972	A_23_P216257	Homo sapiens tumor protein D52 (TPD52), transcript variant 1, mRNA [NM_001025252]	TPD52
142	0.0000003	0.0000391	105.7013471	32.2250504	3.2800987	A_23_P40611	Homo sapiens transcobalamin II; macrocytic anemia (TCN2), mRNA [NM_000355]	TCN2
143	0.0000003	0.0000391	1510.917031	3326.910343	0.4541502	A_23_P98410	Homo sapiens CD3g molecule, gamma (CD3-TCR complex) (CD3G), mRNA [NM_000073]	CD3G
144	0.0000003	0.0000391	28.2813536	13.0572722	2.1659465	A_23_P46673	PREDICTED: Homo sapiens similar to protein tyrosine phosphatase 4a1 (LOC731989), mRNA [XM_001134097]	LOC731989
145	0.0000003	0.0000391	4315.795122	1168.813785	3.6924574	A_23_P14734	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA [NM_015920]	RPS27L
146	0.0000003	0.0000391	888.2590671	377.1734347	2.3550414	A_24_P55148	Homo sapiens histone cluster 1, H2bj (HIST1H2BJ), mRNA [NM_021058]	HIST1H2BJ
147	0.0000003	0.0000391	177.3240756	354.7164313	0.4999038	A_23_P102471	Homo sapiens mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli) (MSH2), mRNA [NM_000251]	MSH2
148	0.0000003	0.0000391	185.2548209	440.8573445	0.4202149	A_23_P401238	DDHD domain containing 2 [Source:RefSeq_peptide;Acc:NP_056029] [ENST00000319246]	DDHD2
149	0.0000003	0.0000391	3604.272096	1719.963858	2.0955511	A_24_P383450	Homo sapiens immediate early response 5-like (IER5L), mRNA [NM_203434]	IER5L
150	0.0000003	0.0000391	403.8201723	974.3980635	0.4144304	A_23_P44155	Homo sapiens CD96 molecule (CD96), transcript variant 1, mRNA [NM_198196]	CD96
151	0.0000003	0.0000391	152.3053408	73.9804389	2.0587245	A_24_P940166	Homo sapiens 3-phosphoadenosine 5-phosphosulfate synthase 2 (PAPSS2), transcript variant 2, mRNA [NM_001015880]	PAPSS2
