Gene	Gene symbol	GenBank accession no.	Fold (mean) MOI of 0.1 12 h	24 h	Fold (mean) MOI of 1.0 12 h	24 h	Function
Opioid growth factor receptor	OGFR	AF109134			2.6	4.6	Cell cycle, growth, adherence
Basement membrane-induced gene	ICB-1	AF044896		3.7	4.6	5.3	Cell cycle, growth, adherence
Integrin, alpha 2	ITGA2	X17033		2	3.5	2.3	Cell cycle, growth, adherence
Tripartite motif-containing 14	TRIM14	D50919		3.5	4.3	6	Cell cycle, growth, adherence
Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	PSMB9	AA808961		3	3.5	4.9	Protein modification
Transglutaminase 2	TGM2	M55153		2.8	2.1	3.7	Protein modification
Ubiquitin-conjugating enzyme E2L 6	UBE2L6	AA883502		2.1	2	2.8	Protein modification
Nuclear autoantigenic sperm protein (histone-binding)	NASP	M97856				2.2	Protein modification
Hyaluronan synthase 2	HAS2	U54804				3.5	Protein modification
FK506 binding protein 1B, 12.6 kDa	FKBP1B	D38037				3.2	Protein modification
Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	TGM2	M55153				2	Protein modification
Proteasome subunit, beta type, 8						2.6	Protein modification
Phorbolin-like protein MDS019	APOBEC3G	AA442560		2.3	4.3	3.7	Protein modification
Slit homolog 2 (Drosophila)	SLIT2	AB017168			3	2.6	Protein modification
Maternal embryonic leucine zipper kinase	MELK	D79997				2	Protein modification
Zinc finger protein	ZNF313	AL031685			2.1	2.5	Protein modification
DnaJ (Hsp40) homolog, subfamily A, member 1	DNAJA1	L08069				2	Protein modification
Solute carrier family 16 (monocarboxylic acid transporters), member 4	SLC16A4	U59185			2.5	2.8	Transporters/channels
N-ethylmaleimide-sensitive factor attachment protein, alpha	NAPA	U39412				2.1	Transporters/channels
Solute carrier family 16 (monocarboxylic acid transporters), member 6	SLC16A6	U79745				2.1	Transporters/channels
BCG-induced gene in monocytes, clone 103	BIGM103	AL049963				2	Transporters/channels
KIAA0342 gene product	KIAA0342	AB002340				2.5	Transporters/channels
Cyclooxygenase-2	COX-2	U04636		2	4	5.3	Other genes
Phospholipid scramblase 1	PLSCR1	AB006746				2.1	Other genes
Keratin, hair, acidic, 4	KRTHA4	Y16790				3	Other genes
Three prime repair exonuclease 1	TREX1	AJ243797				2.6	Other genes
Chromosome 1 open reading frame 29	C1orf29	AB000115				2.8	Other genes
Fragile X mental retardation 1	FMR1	X69962				2	Other genes
Highly expressed in cancer, rich in leucine heptad repeats	HEC	AF017790				2	Other genes
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 10 (RNA helicase)	DDX10	U28042				2.8	Other genes
