Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
204777_s_at	mal, T-cell differentiation protein	MAL	2cen-q13	4118
204825_at	maternal embryonic leucine zipper kinase	MELK	9p13.2	9833
205143_at	chondroitin sulfate proteoglycan 3 (neurocan)	CSPG3	19p12	1463
205348_s_at	dynein, cytoplasmic, intermediate polypeptide 1	DNCI1	7q21.3-q22.1	1780
205449_at	SAC3 domain containing 1	SAC3D1	11q13.1	29901
205630_at	corticotropin releasing hormone	CRH	8q13	1392
205637_s_at	SH3-domain GRB2-like 3	SH3GL3	15q24	6457
205721_at	GDNF family receptor alpha 2	GFRA2	8p21	2675
205722_s_at	GDNF family receptor alpha 2	GFRA2	8p21	2675
205766_at	titin-cap (telethonin)	TCAP	17q12	8557
205774_at	coagulation factor XII (Hageman factor)	F12	5q33-qter	2161
206001_at	neuropeptide Y	NPY	7p15.1	4852
206278_at	platelet-activating factor receptor	PTAFR	1p35-p34.3	5724
206328_at	cadherin 15, M-cadherin (myotubule)	CDH15	16q24.3	1013
206338_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	ELAVL3	19p13.2	1995
207005_s_at	B-cell CLL/lymphoma 2	BCL2	18q21.33|18q21.3	596
207306_at	transcription factor 15 (basic helix-loop-helix)	TCF15	20p13	6939
207730_x_at	KIAA1881	KIAA1881	19p13.3	114782
207828_s_at	centromere protein F, 350/400ka (mitosin)	CENPF	1q32-q41	1063
208212_s_at	anaplastic lymphoma kinase (Ki-1)	ALK	2p23	238
208808_s_at	high-mobility group box 2	HMGB2	4q31	3148
209138_x_at	Immunoglobulin lambda constant 1 (Mcg marker) /// Dehydrogenase/reductase (SDR family) member 4 like 2 /// Immunoglobulin lambda joining 3	IGLV3-25 /// DHRS4 /// IGLC2	22q11.2 /// 14q11.2	10901 /// 28793 /// 3538
209295_at	tumor necrosis factor receptor superfamily, member 10b	TNFRSF10B	8p22-p21	8795
209374_s_at	immunoglobulin heavy constant mu	IGHM	14q32.33	3507
209619_at	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	CD74	5q32	972
209714_s_at	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	CDKN3	14q22	1033
209757_s_at	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN	2p24.1	4613
209769_s_at	glycoprotein Ib (platelet), beta polypeptide	GP1BB	22q11.21-q11.23|22q11.21	2812
209773_s_at	ribonucleotide reductase M2 polypeptide	RRM2	2p25-p24	6241
209875_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	SPP1	4q21-q25	6696
209988_s_at	achaete-scute complex-like 1 (Drosophila)	ASCL1	12q22-q23	429
210069_at	choline kinase beta /// carnitine palmitoyltransferase 1B (muscle)	CHKB /// CPT1B	22q13.33	1120 /// 1375
210220_at	frizzled homolog 2 (Drosophila)	FZD2	17q21.1	2535
210230_at	Chromodomain helicase DNA binding protein 3	LOC388388	17p13.3	388388
210295_at	melanoma antigen family A, 10	MAGEA10	Xq28	4109
210364_at	sodium channel, voltage-gated, type II, beta	SCN2B	11q23	6327
210387_at	histone 1, H2bg	HIST1H2BG	6p21.3	8339
210445_at	fatty acid binding protein 6, ileal (gastrotropin)	FABP6	5q33.3-q34	2172
210448_s_at	purinergic receptor P2X, ligand-gated ion channel, 5	P2RX5	17p13.3	5026
211430_s_at	immunoglobulin heavy locus /// immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy constant gamma 2 (G2m marker) /// immunoglobulin heavy constant gamma 3 (G3m marker) /// immunoglobulin heavy constant mu	IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM	14q32.33	3492 /// 3500 /// 3501 /// 3502 /// 3507
211600_at
211996_s_at	KIAA0220-like protein /// hypothetical gene LOC283846 /// hypothetical protein 348162 /// PI-3-kinase-related kinase SMG-1 pseudogene /// similar to the PI-3-kinase-related kinase SMG-1 family pseudogene 2	LOC23117 /// DKFZp547E087 /// LOC348162 /// LOC440354 /// LOC613037	16p12.2 /// 16p12.3 /// 16p11.2	23117 /// 283846 /// 348162 /// 440354 /// 613037
212680_x_at	protein phosphatase 1, regulatory (inhibitor) subunit 14B	PPP1R14B	11q13	26472
213089_at	hypothetical protein LOC153561	LOC153561	5q13.2	153561
213319_s_at	Cold shock domain protein A /// Cold shock domain protein A	CSDA	12p13.1	8531
213418_at	heat shock 70kDa protein 6 (HSP70B)	HSPA6	1q23	3310
213690_s_at
213718_at	RNA binding motif protein 4	RBM4	11q13	5936
213943_at	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	TWIST1	7p21.2	7291
214213_x_at	Lamin A/C	LMNA	1q21.2-q21.3	4000
214316_x_at	Calreticulin	CALR	19p13.3-p13.2	811
214636_at	calcitonin-related polypeptide, beta	CALCB	11p15.2-p15.1	797
214677_x_at	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 3-25 /// immunoglobulin lambda variable 2-14 /// immunoglobulin lambda joining 3	IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3	22q11.1-q11.2 /// 22q11.2	28793 /// 28815 /// 28831 /// 3535 /// 3537 /// 3538
214710_s_at	cyclin B1	CCNB1	5q12	891
215121_x_at	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 3-25 /// immunoglobulin lambda variable 2-14	IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14	22q11.1-q11.2 /// 22q11.2	28793 /// 28815 /// 3535 /// 3537 /// 3538
215296_at	CDC42 binding protein kinase alpha (DMPK-like)	CDC42BPA	1q42.11	8476
215379_x_at	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 3-25 /// immunoglobulin lambda variable 2-14 /// immunoglobulin lambda joining 3	IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3	22q11.1-q11.2 /// 22q11.2	28793 /// 28815 /// 28831 /// 3535 /// 3537 /// 3538
215454_x_at	surfactant, pulmonary-associated protein C	SFTPC	8p21	6440
215778_x_at	B1 for mucin /// similar to MUC-B1	HAB1 /// LOC442496		442496 /// 55547
216206_x_at	mitogen-activated protein kinase kinase 7	MAP2K7	19p13.3-p13.2	5609
216768_x_at	Hypothetical protein FLJ20699	FLJ20699	22q13	55020
216858_x_at
217022_s_at	immunoglobulin heavy constant alpha 1 /// immunoglobulin heavy constant alpha 2 (A2m marker) /// hypothetical protein MGC27165	IGHA1 /// IGHA2 /// MGC27165	14q32.33	283650 /// 3493 /// 3494
217040_x_at	SRY (sex determining region Y)-box 15	SOX15	17p13	6665
217101_at	chromosome 1 open reading frame 34	C1orf34	1p32.3	22996
217561_at	calcitonin/calcitonin-related polypeptide, alpha	CALCA	11p15.2-p15.1	796
217679_x_at	Transcribed locus, weakly similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]
217767_at	complement component 3	C3	19p13.3-p13.2	718
218585_s_at	denticleless homolog (Drosophila)	DTL		51514
218741_at	chromosome 22 open reading frame 18	C22orf18	22q13.2	79019
218883_s_at	MLF1 interacting protein	MLF1IP	4q35.1	79682
219117_s_at	FK506 binding protein 11, 19 kDa	FKBP11	12q13.12	51303
219150_s_at	centaurin, alpha 1	CENTA1	7p22.3	11033
219277_s_at	oxoglutarate dehydrogenase-like	OGDHL	10q11.23	55753
220057_at	X antigen family, member 1	XAGE1	Xp11.22-p11.21	9503
220489_s_at
220940_at	KIAA1641	KIAA1641	2q11.2	57730
221651_x_at	immunoglobulin kappa constant /// immunoglobulin kappa variable 1-5	IGKC /// IGKV1-5	2p12	28299 /// 3514
221671_x_at	immunoglobulin kappa constant /// immunoglobulin kappa variable 1-5	IGKC /// IGKV1-5	2p12	28299 /// 3514
221805_at	neurofilament, light polypeptide 68kDa	NEFL	8p21	4747
221916_at	Neurofilament, light polypeptide 68kDa	NEFL	8p21	4747
222380_s_at	Programmed cell death 6	PDCD6	5pter-p15.2	10016
33767_at	neurofilament, heavy polypeptide 200kDa	NEFH	22q12.2	4744
AFFX-HUMRGE/M10098_5_at
