# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_021130|NM_021130	hgnc_symbol|PPIA|PPIA
refseq_dna|NM_005105|NM_005105	hgnc_symbol|RBM8A|RBM8A
refseq_dna|NM_002574|NM_002574	hgnc_symbol|PRDX1|PRDX1
refseq_dna|NM_005917|NM_005917	hgnc_symbol|MDH1|MDH1
refseq_dna|NM_002046|NM_002046	hgnc_symbol|GAPDH|GAPDH
refseq_dna|NM_000035|NM_000035	hgnc_symbol|ALDOB|ALDOB
refseq_dna|NM_005566|NM_005566	hgnc_symbol|LDHA|LDHA
refseq_dna|NM_002654|NM_002654	hgnc_symbol|PKM|PKM
refseq_dna|NM_018947|NM_018947	hgnc_symbol|CYCS|CYCS
refseq_dna|NM_001093|NM_001093	hgnc_symbol|ACACB|ACACB
refseq_dna|NM_002032|NM_002032	hgnc_symbol|FTH1|FTH1
refseq_dna|NM_000786;|NM_000786	hgnc_symbol|CYP51A1|CYP51A1
refseq_dna|NM_004255|NM_004255	hgnc_symbol|COX5A|COX5A
refseq_dna|NM_000365|NM_000365	hgnc_symbol|TPI1|TPI1
refseq_dna|NM_000129|NM_000129	hgnc_symbol|F13A1|F13A1
refseq_dna|NM_002970|NM_002970	hgnc_symbol|SAT1|SAT1
refseq_dna|NM_000169|NM_000169	hgnc_symbol|GLA|GLA
refseq_dna|NM_000291|NM_000291	hgnc_symbol|PGK1|PGK1
refseq_dna|NM_003549|NM_003549	hgnc_symbol|HYAL3|HYAL3
refseq_dna|NM_005443|NM_005443	hgnc_symbol|PAPSS1|PAPSS1
refseq_dna|NM_000903|NM_000903	hgnc_symbol|NQO1|NQO1
refseq_dna|NM_001689|NM_001689	hgnc_symbol|ATP5G3|ATP5G3
refseq_dna|NM_004462|NM_004462	hgnc_symbol|FDFT1|FDFT1
refseq_dna|NM_002492|NM_002492	hgnc_symbol|NDUFB5|NDUFB5
refseq_dna|NM_014754|NM_014754	hgnc_symbol|PTDSS1|PTDSS1
refseq_dna|NM_000175|NM_000175	hgnc_symbol|GPI|GPI
refseq_dna|NM_001697|NM_001697	hgnc_symbol|ATP5O|ATP5O
refseq_dna|NM_004328|NM_004328	hgnc_symbol|BCS1L|BCS1L
refseq_dna|NM_006903|NM_006903
refseq_dna|NM_000034|NM_000034	hgnc_symbol|ALDOA|ALDOA
refseq_dna|NM_003355|NM_003355	hgnc_symbol|UCP2|UCP2
refseq_dna|NM_000126|NM_000126	hgnc_symbol|ETFA|ETFA
refseq_dna|NM_000102|NM_000102	hgnc_symbol|CYP17A1|CYP17A1
refseq_dna|NM_006793|NM_006793	hgnc_symbol|PRDX3|PRDX3
refseq_dna|NM_012094|NM_012094	hgnc_symbol|PRDX5|PRDX5
refseq_dna|NM_000552|NM_000552	hgnc_symbol|VWF|VWF
refseq_dna|NM_000671|NM_000671	hgnc_symbol|ADH5|ADH5
refseq_dna|NM_000784|NM_000784	hgnc_symbol|CYP27A1|CYP27A1
refseq_dna|NM_018196|NM_018196	hgnc_symbol|TMLHE|TMLHE
refseq_dna|NM_014384|NM_014384	hgnc_symbol|ACAD8|ACAD8
refseq_dna|NM_145740|NM_145740	hgnc_symbol|GSTA2|GSTA2
refseq_dna|NM_022755|NM_022755	hgnc_symbol|IPPK|IPPK
refseq_dna|NM_033214|NM_033214	hgnc_symbol|GK2|GK2
refseq_dna|NM_000101|NM_000101	hgnc_symbol|CYBA|CYBA
refseq_dna|NM_001554|NM_001554	hgnc_symbol|CYR61|CYR61
refseq_dna|NM_002003|NM_002003	hgnc_symbol|FCN1|FCN1
refseq_dna|NM_000598|NM_000598	hgnc_symbol|IGFBP3|IGFBP3
refseq_dna|NM_012431|NM_012431	hgnc_symbol|SEMA3E|SEMA3E
refseq_dna|NM_004636|NM_004636	hgnc_symbol|SEMA3B|SEMA3B
refseq_dna|NM_002298|NM_002298	hgnc_symbol|LCP1|LCP1
refseq_dna|NM_002961|NM_002961	hgnc_symbol|S100A4|S100A4
refseq_dna|NM_002475|NM_002475	hgnc_symbol|MYL6B|MYL6B
refseq_dna|NM_005022|NM_005022	hgnc_symbol|PFN1|PFN1
refseq_dna|NM_014287|NM_014287	hgnc_symbol|NOMO1|NOMO1
refseq_dna|NM_000260|NM_000260	hgnc_symbol|MYO7A|MYO7A
refseq_dna|NM_002857|NM_002857	hgnc_symbol|PEX19|PEX19
refseq_dna|NM_006729|NM_006729	hgnc_symbol|DIAPH2|DIAPH2
refseq_dna|NM_033546|NM_033546
refseq_dna|NM_022818|NM_022818	hgnc_symbol|MAP1LC3B|MAP1LC3B
refseq_dna|NM_003480|NM_003480	hgnc_symbol|MFAP5|MFAP5
refseq_dna|NM_002444|NM_002444	hgnc_symbol|MSN|MSN
refseq_dna|NM_004360|NM_004360	hgnc_symbol|CDH1|CDH1
refseq_dna|NM_004924|NM_004924	hgnc_symbol|ACTN4|ACTN4
refseq_dna|NM_000701|NM_000701	hgnc_symbol|ATP1A1|ATP1A1
refseq_dna|NM_004436|NM_004436	hgnc_symbol|ENSA|ENSA
refseq_dna|NM_033223|NM_033223	hgnc_symbol|GABRG3|GABRG3
entrezgene|AA536005|16
embl|AL389877|AL389877
refseq_dna|NM_024046|NM_024046	hgnc_symbol|CAMKV|CAMKV
entrezgene|AA258551|11259
refseq_dna|NM_024695|NM_024695
refseq_dna|NM_016494|NM_016494
entrezgene|AA922011|27314
refseq_dna|NM_014155|NM_014155	hgnc_symbol|ZBTB44|ZBTB44
entrezgene|BE745102|51024
refseq_dna|NM_015932|NM_015932	hgnc_symbol|POMP|POMP
refseq_dna|NM_006342|NM_006342	hgnc_symbol|TACC3|TACC3
entrezgene|BF204740|3184
refseq_dna|NM_153336|NM_153336	hgnc_symbol|PSTK|PSTK
refseq_dna|NM_018075|NM_018075	hgnc_symbol|ANO10|ANO10
refseq_dna|NM_017867|NM_017867	hgnc_symbol|C4orf27|C4orf27
refseq_dna|AC_002401|AC_002401
refseq_dna|NM_017865|NM_017865	hgnc_symbol|ZNF692|ZNF692
refseq_dna|NM_031453|NM_031453	hgnc_symbol|FAM107B|FAM107B
refseq_dna|NM_173548|NM_173548
entrezgene|AA425727|5936
refseq_dna|NM_145309|NM_145309
refseq_dna|NM_030939|NM_030939	hgnc_symbol|C6orf62|C6orf62
refseq_dna|NM_024855|NM_024855	hgnc_symbol|ACTR5|ACTR5
entrezgene|AI003493|10961
refseq_dna|NM_018335|NM_018335
entrezgene|AA034411|5118
refseq_dna|NM_152385|NM_152385	hgnc_symbol|CLHC1|CLHC1
refseq_dna|NM_015383|NM_015383
refseq_dna|NM_025228|NM_025228
refseq_dna|NM_014680|NM_014680
refseq_dna|NM_014760|NM_014760	hgnc_symbol|TATDN2|TATDN2
refseq_dna|NM_022753|NM_022753	hgnc_symbol|S100PBP|S100PBP
refseq_dna|NM_014756|NM_014756	hgnc_symbol|CKAP5|CKAP5
entrezgene|AI572532|222234
entrezgene|AK056974|55161
refseq_dna|NM_016471|NM_016471
entrezgene|AL833202|83744
entrezgene|AI128129|23613
refseq_dna|NM_013318|NM_013318	hgnc_symbol|PRRC2B|PRRC2B
refseq_dna|NM_080664|NM_080664	hgnc_symbol|DTD2|DTD2
refseq_dna|NM_030954|NM_030954
refseq_dna|NM_025023|NM_025023
refseq_dna|NM_015062|NM_015062	hgnc_symbol|PPRC1|PPRC1
refseq_dna|NM_018279|NM_018279	hgnc_symbol|TMEM19|TMEM19
refseq_dna|NM_018678|NM_018678	hgnc_symbol|ELMSAN1|ELMSAN1
entrezgene|N31947|399665
entrezgene|L19268|1760	hgnc_symbol|DMWD|DMWD
embl|AF131777|AF131777
entrezgene|AA203533|63875
entrezgene|AI052517|217
entrezgene|AA399406|891
embl|H98986|H98986
embl|AI004189|AI004189
embl|AA992929|AA992929
embl|AF087985|AF087985
embl|AL120736|AL120736
entrezgene|D79462|90488
refseq_dna|NM_174937|NM_174937
entrezgene|AW195782|27252
embl|AA282068|AA282068
embl|AA742707|AA742707
embl|H16397|H16397
entrezgene|AA056020|9231
entrezgene|BF028515|3190
entrezgene|BF197415|25852
entrezgene|AK091867|55739
