No.	Probe.set.ID	Gene.symbol	UniGene.ID	zScore	P value	Direction
81	218009_s_at	PRC1	Hs.567385	?3.89	0.0148	Up
82	204026_s_at	ZWINT	Hs.591363	?3.88	0.0153	Up
83	218355_at	KIF4A	Hs.648326	?3.88	0.0151	Up
84	202153_s_at	NUP62	Hs.574492	?3.88	0.0153	Up
85	213011_s_at	TPI1	Hs.524219	?3.88	0.0151	Up
86	217966_s_at	FAM129A	Hs.518662	3.88	0.0149	Down
87	214782_at	CTTN	Hs.596164	?3.87	0.0151	Up
88	217967_s_at	FAM129A	Hs.518662	3.87	0.015	Down
89	204649_at	TROAP	Hs.524399	?3.86	0.015	Up
90	35671_at	GTF3C1	Hs.371718	?3.86	0.015	Up
91	213502_x_at	LOC91316	Hs.148656	3.86	0.0149	Down
92	221285_at	ST8SIA2	Hs.302341	3.85	0.0154	Down
93	221519_at	FBXW4	Hs.500822	3.84	0.0158	Down
94	202551_s_at	CRIM1	Hs.699247	3.84	0.0158	Down
95	217138_x_at	IGL@	Hs.449585	3.83	0.0168	Down
