UGCluster	Gene Symbol	CloneID	probeset	p-value(Platform  Prognosis)
Hs.436787	RP11-308D16.4	209518	242012_at_B	0.00417992
Hs.593315	---	73960	242203_at_B	0.00421896
Hs.577753	LARP4	1856516	212714_at_A	0.00422908
Hs.99405	---	813474	241138_at_B	0.00427032
Hs.633139	---	681891	235732_at_B	0.00431831
Hs.73800	SELP	2249736	206049_at_A	0.00436171
Hs.634038	---	815046	232739_at_B	0.00442129
Hs.530463	MGC3196	1543840	220934_s_at_A	0.00450403
Hs.596513	LOC153546	1688853	236124_at_B	0.00450645
Hs.30011	TMEM93	796117	221255_s_at_A	0.00451027
Hs.562457	KLRD1	1901363	207796_x_at_A	0.00454251
Hs.513145	NGRN	303105	224281_s_at_B	0.00455161
Hs.355952	LOC150223	809974	227042_at_B	0.00457655
Hs.274579	CNNM1	25159	220166_at_A	0.0046416
Hs.1755	FGF4	2908538	206783_at_A	0.0046629
Hs.490991	PINX1	824460	223907_s_at_B	0.00473955
Hs.149020	KIAA1772	431748	220340_at_A	0.00474388
Hs.74870	HLX1	1560977	214438_at_A	0.00481196
Hs.195710	ZNF503	810457	227195_at_B	0.00482116
Hs.381912	SPRY3	450396	232157_at_B	0.00487339
Hs.468490	LHCGR	1844334	207240_s_at_A	0.00492432
Hs.50868	SLC22A18	742862	204981_at_A	0.00493792
Hs.249125	TLX3	1860115	208495_at_A	0.00495848
Hs.119598	RPL3	365945	201217_x_at_A	0.00497632
Hs.343334	SPRYD3	49481	225134_at_B	0.00514948
Hs.209614	MARVELD1	1873653	234917_at_B	0.0052757
Hs.594817	POU6F1	289447	216330_s_at_A	0.00530667
Hs.450763	LEFTY2	1843843	206012_at_A	0.0053165
Hs.525015	---	841220	235211_at_B	0.00534531
Hs.63489	PTPN6	2307001	206687_s_at_A	0.00544254
Hs.520339	COL10A1	2421971	217428_s_at_A	0.00545792
Hs.591258	CD74	155916	209619_at_A	0.00551593
Hs.431109	STX8	1710829	204690_at_A	0.00553331
Hs.335049	GNAT3	1908423	216590_at_A	0.0055605
Hs.274363	NGB	25409	236677_at_B	0.00556257
Hs.632219	SOLH	2385051	204275_at_A	0.0057056
Hs.93670	NHN1	1558392	240535_at_B	0.00573606
Hs.437599	HPS5	194297	204544_at_A	0.00586425
Hs.88778	CBR1	711552	209213_at_A	0.00586962
Hs.6551	ATP6AP1	841689	207809_s_at_A	0.00589581
Hs.523468	SCUBE2	242778	219197_s_at_A	0.00590295
Hs.274361	ACCN2	1635320	205156_s_at_A	0.0059286
Hs.127111	TEKT2	1562854	210323_at_A	0.0059338
Hs.592928	---	714151	242705_x_at_B	0.00597367
Hs.8035	RASL11B	773142	219142_at_A	0.00604051
Hs.513230	MRPL28	1592276	204599_s_at_A	0.00606523
Hs.478741	C3orf21	1858159	226891_at_B	0.00606549
Hs.516802	KIF1A	221828	203850_s_at_A	0.00629812
Hs.252543	IKIP	430970	235202_x_at_B	0.00633293
Hs.203	CCKBR	844601	210381_s_at_A	0.00643852
Hs.143102	AOC2	878161	207064_s_at_A	0.00648094
Hs.435761	PIAS3	2563108	203035_s_at_A	0.00651153
Hs.368996	RLN1	2015997	211753_s_at_A	0.00654347
Hs.388364	RNF175	37823	236465_at_B	0.00657396
Hs.50319	---	431792	239291_at_B	0.00662065
Hs.376071	CCND2	366412	200953_s_at_A	0.0066312
Hs.414099	TNRC5	809682	228369_at_B	0.00663825
Hs.13845	SLC25A20	247831	203658_at_A	0.00680868
Hs.102866	TKTL1	1543346	216370_s_at_A	0.00683912
Hs.43818	---	726767	237365_at_B	0.006941
Hs.516855	CENPB	809720	212437_at_A	0.00700593
Hs.544106	RNF180	321807	242033_at_B	0.00703337
Hs.1041	ROS1	840514	244363_at_B	0.00726074
Hs.132576	PAX9	1683351	207059_at_A	0.00739892
Hs.485572	SOCS2	491121	203373_at_A	0.00741224
Hs.479386	LOC389203	251806	225014_at_B	0.00758897
Hs.24956	C14orf173	811907	218144_s_at_A	0.00762288
Hs.173311	RPUSD2	131988	221940_at_A	0.0077078
Hs.132682	PSMB9	1456118	204279_at_A	0.00772003
Hs.477370	DAB1	42115	226020_s_at_B	0.00774243
Hs.132994	CCDC69	549867	212886_at_A	0.00780983
Hs.16695	UBE1L	250883	1294_at_A	0.00783086
Hs.591675	IQCG	454327	221185_s_at_A	0.00792782
Hs.97726	SPATC1	742702	241512_at_B	0.00799547
Hs.471067	LOC339483	772429	228593_at_B	0.00815189
Hs.69328	LY96	2306953	206584_at_A	0.00839214
Hs.286261	WDR55	279496	219809_at_A	0.00853272
Hs.633147	---	365990	228700_at_B	0.008575
Hs.593061	---	121459	236261_at_B	0.0085954
Hs.407587	GNRHR	50593	216341_s_at_A	0.00862543
Hs.105606	FLJ20512	1476251	219219_at_A	0.00866914
Hs.526494	MGRN1	782147	212576_at_A	0.00874612
Hs.632547	COQ10B	626619	219397_at_A	0.00879677
Hs.418367	NMU	1703053	206023_at_A	0.00879699
Hs.66163	---	2273418	215421_at_A	0.00883517
Hs.546636	LOC402665	758360	244694_at_B	0.00889536
Hs.505004	TCEA2	730149	203919_at_A	0.00907566
Hs.164453	HECW1	42811	237295_at_B	0.00914099
Hs.439713	ZNF154	825464	242170_at_B	0.00915617
Hs.515104	STXBP2	196650	209367_at_A	0.00920113
Hs.146250	---	1880932	236821_at_B	0.00920682
Hs.72964	MKRN3	2169114	206585_at_A	0.00935199
Hs.75615	APOC2	809523	231561_s_at_B	0.00939594
Hs.89771	GCKR	66534	206867_at_A	0.00952321
Hs.3232	CYLC2	1292142	207780_at_A	0.00956707
Hs.262886	INPP5D	825604	203332_s_at_A	0.00970641
Hs.278036	LOC442512	1598759	244079_at_B	0.00972121
Hs.590970	AXL	49318	202686_s_at_A	0.00973432
Hs.91910	UNQ5831	23323	236701_at_B	0.00981169
