Gene name	Description	Entrez Gene ID	ANOVA p-value	Mma20  fold change	Mma20 p-value	E11     fold change	E11       p-value
Dr.123699	Transcribed locus		6.96E-09	1.34	0.03139	3.43	0
Dr.123771	Transcribed locus		1.48E-11	-1	1	10.42	4.04E-42
Dr.123782	Transcribed locus		0.00192	1.28	0.00027	1.87	2.96E-13
Dr.123846	Transcribed locus, weakly similar to XP_001235387.1  hypothetical protein [Gallus gallus]		0.00009	-1	1	4.33	4.27E-11
Dr.123906	Transcribed locus		0.0071	1.15	0.16058	1.57	1.24E-14
Dr.123993	Transcribed locus		6.69E-12	-1.04	0.72035	3.71	2.23E-34
Dr.124177	Transcribed locus		0.00467	1.39	0.01256	2.22	3.44E-20
Dr.124926	Transcribed locus		0.00735	-1.07	0.77786	2.33	0.00001
Dr.125013	Transcribed locus		8.69E-12	-1.98	0.01314	2.95	0
Dr.125056	Transcribed locus		0.00456	-1.95	0.26426	2.92	0.00007
Dr.125547	Transcribed locus		0.00029	-2.33	0.05293	1.79	7.20E-06
Dr.125837	Transcribed locus		0.00198	-1	1	2.71	1.44E-08
Dr.125950	Transcribed locus		0.00176	-1	1	2.3	3.03E-11
Dr.126068	Transcribed locus		0.00003	-3	2.63E-06	3.33	0.0258
Dr.126183	Transcribed locus		0.00044	-1.26	0.34984	1.88	7.06E-10
Dr.126624	Transcribed locus		0.0008	-1.17	0.38485	2.41	0.00004
Dr.127126	Transcribed locus		0.00012	-1.06	0.82968	2.61	1.12E-22
Dr.127474	Transcribed locus		4.00E-11	-1.52	0.21371	9.39	7.58E-37
Dr.12769	Transcribed locus		4.00E-06	-1.82	3.14E-06	1.54	0.00381
Dr.12770	Transcribed locus		5.78E-06	-1.58	0.00881	1.96	1.24E-06
Dr.12781	Transcribed locus		4.33E-08	1	0.99278	2.13	7.03E-30
Dr.130910	Transcribed locus		0.00051	1.17	0.37904	2.39	3.41E-17
Dr.131058	Transcribed locus		2.63E-07	-2.13	0.00224	3.31	3.71E-08
Dr.131194	Transcribed locus, weakly similar to XP_001114493.1  similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) [Macaca mulatta]		0.00059	-1	1	2.16	5.61E-23
Dr.131955	Transcribed locus		0.0001	1.29	0.23099	3.08	2.64E-29
Dr.132009	Transcribed locus		0.00285	-1.17	0.68995	3.16	4.12E-08
Dr.132877	Transcribed locus		0.00007	-2.34	0.06888	2.53	4.08E-08
Dr.133001	Transcribed locus, weakly similar to XP_520327.2  hypothetical protein [Pan troglodytes]		0.00069	1.09	0.33786	1.9	1.65E-06
Dr.133002	CDNA clone IMAGE:7256893		0.00005	-1	1	2.53	2.36E-38
Dr.133125	Transcribed locus		3.65E-12	-1.62	1.04E-13	2.46	4.99E-06
Dr.133311	Transcribed locus, weakly similar to XP_001333842.1  similar to pol polyprotein [Danio rerio]		5.71E-06	-1.13	0.20019	1.64	4.31E-11
Dr.133367	Transcribed locus		0.00004	-1.69	1.12E-06	1.81	0.03247
Dr.133435	Transcribed locus		5.62E-12	-1.28	0.00038	2.12	1.20E-12
Dr.133748	Transcribed locus		0.00465	1.19	0.19019	1.81	1.67E-17
Dr.134448	Transcribed locus		6.19E-07	-1.95	2.77E-09	1.56	0.01205
Dr.134462	Transcribed locus		0.00011	-1	1	4.27	7.11E-11
Dr.134958	Transcribed locus, strongly similar to NP_066390.1  histone family, member A [Homo sapiens]		0.00086	1.08	0.82017	3.25	2.56E-21
Dr.135012	Transcribed locus, strongly similar to XP_001336184.1  hypothetical protein, partial [Danio rerio]		0.00065	1.15	0.54157	2.28	0
Dr.13547	Transcribed locus		0.00001	-1.03	0.84429	3.57	1.57E-08
Dr.140672	Transcribed locus		5.07E-15	-3.93	0.00001	4.6	0
Dr.140932	Transcribed locus, weakly similar to XP_001087010.1  similar to p47 protein isoform a [Macaca mulatta]		5.77E-06	-1.3	0.27494	2.1	5.09E-24
Dr.14560	Transcribed locus		1.26E-07	-1.18	0.34632	3.02	2.94E-18
Dr.14578	Transcribed locus		2.91E-12	-1.25	5.63E-06	1.94	9.60E-09
Dr.14694	Transcribed locus		0.00399	1.37	0.37308	3.89	5.02E-18
Dr.15245	Transcribed locus		2.08E-06	-1.23	0.10444	1.52	3.16E-14
Dr.18119	Transcribed locus, strongly similar to XP_001333666.1  hypothetical protein [Danio rerio]		0.00032	-1.18	0.12944	1.51	9.45E-06
Dr.19085	Transcribed locus		0.00688	1.25	0.2801	2.24	3.14E-16
Dr.19717	Transcribed locus		0.00057	-1.36	0.42991	2.61	3.14E-12
Dr.19769	Transcribed locus		0.00417	-1.18	0.54497	1.67	3.15E-12
Dr.22311	Transcribed locus		1.45E-09	-1.3	0.00044	1.83	1.78E-09
Dr.23653	Transcribed locus		0.00162	-1.18	0.67266	2.48	1.83E-22
Dr.25633	Transcribed locus		1.13E-13	-2.83	0.00182	3.82	0
Dr.28496	Transcribed locus		1.63E-06	-1.79	0.00136	2.38	4.77E-06
Dr.28868	Transcribed locus		1.39E-08	-1.17	0.45309	2.64	0
Dr.40900	Transcribed locus, weakly similar to NP_001036068.1  binding protein 2 isoform 1 [Homo sapiens]		0.00061	1.02	0.83088	1.54	3.44E-09
Dr.4318	Transcribed locus		0.00166	-1.08	0.70527	2.05	4.74E-08
Dr.52199	Transcribed locus		0.00004	-1.57	0.0314	1.63	3.23E-06
Dr.57729	Transcribed locus		6.65E-14	-2.27	0.00003	2.98	4.26E-22
Dr.58581	Transcribed locus		0.00061	-1.13	0.77706	3.35	7.40E-24
Dr.5878	Transcribed locus		0.003	1.18	0.01062	1.59	5.42E-14
Dr.74832	Transcribed locus		2.14E-06	-1.5	0.19516	3.43	3.23E-15
Dr.75444	Transcribed locus		0.00015	-1.06	0.61368	1.62	1.11E-10
Dr.77026	Transcribed locus		0.0069	1.33	0.00001	1.97	1.59E-06
Dr.77546	Transcribed locus		0.00219	1.22	0.09338	1.82	1.28E-22
Dr.77904	Transcribed locus, strongly similar to XP_001111763.1  similar to Protein MICAL-3 [Macaca mulatta]		6.40E-06	1.05	0.68487	2.28	9.98E-19
Dr.78008	Transcribed locus		1.15E-10	-1.95	7.37E-23	1.66	0.00378
Dr.78553	Transcribed locus		1.10E-07	1.49	7.22E-10	2.69	0
Dr.78843	Transcribed locus		0.00151	1.15	0.1002	1.92	4.99E-07
Dr.79960	Transcribed locus, weakly similar to XP_001372594.1  similar to pol protein [Monodelphis domestica]		9.80E-06	-1.66	0.07408	3.13	6.66E-09
Dr.80783	Transcribed locus, moderately similar to XP_001087439.1  hypothetical protein isoform 4 [Macaca mulatta]		0.00004	-1.23	0.23874	1.77	4.75E-11
Dr.81500	Transcribed locus		5.52E-11	-1.28	0.00027	1.64	1.47E-14
Dr.82153	Transcribed locus		2.05E-07	-1.13	0.03572	1.61	7.60E-08
Dr.82490	Transcribed locus, weakly similar to NP_073560.2  peptide, CUB domain, EGF-like 1 [Mus musculus]		0.00002	1.43	6.71E-06	2.36	1.37E-35
Dr.82575	Transcribed locus, weakly similar to XP_001339220.1  similar to angiogenin [Danio rerio]		2.19E-08	-80.09	4.24E-12	33.3	0.00455
Dr.82684	Transcribed locus		0.00151	1.31	0.01325	2.07	8.41E-21
Dr.82727	Transcribed locus		0.00572	1.32	0.00011	1.7	2.38E-28
Dr.82910	Transcribed locus		0.00846	-1.09	0.73391	2.08	8.29E-06
Dr.83285	Transcribed locus		0.00005	-1.62	0.08872	1.63	1.95E-19
Dr.83438	Transcribed locus		1.68E-06	-1.07	0.36592	1.68	1.53E-12
Dr.83569	Transcribed locus		2.42E-07	1.11	0.49491	2.53	1.50E-43
Dr.83653	Transcribed locus		0.00036	-1.44	0.16604	1.58	2.93E-11
Dr.83691	Transcribed locus		0.00009	1.34	0.19074	3.2	1.44E-37
Dr.83808	Transcribed locus		1.28E-11	1.43	0.00003	4.53	2.12E-38
Dr.83865	Transcribed locus		4.49E-08	-1.04	0.84061	2.68	2.41E-43
Dr.84084	Transcribed locus, moderately similar to XP_001332424.1  hypothetical protein [Danio rerio]		3.78E-08	-3.3	0.00174	2.75	6.39E-10
Dr.84613	Transcribed locus		6.55E-11	-1.64	9.60E-07	1.71	3.05E-10
Dr.84772	Transcribed locus, weakly similar to XP_001097666.1  similar to zinc finger protein 218 [Macaca mulatta]		0.00003	1.1	0.23568	2.08	9.35E-10
Dr.85067	Transcribed locus		0.0074	-1.46	0.43098	2.11	6.60E-09
Dr.85146	Transcribed locus		5.27E-09	1.16	0.03362	2.5	3.23E-22
Dr.85152	Transcribed locus		1.21E-09	-1.65	0.00218	2.32	2.80E-14
Dr.85368	Transcribed locus, moderately similar to XP_001066633.1  similar to ATP-binding cassette, sub-family G (WHITE), member 4 [Rattus norvegicus]		0.00053	-1.14	0.53695	3.04	2.19E-06
Dr.85589	Transcribed locus		0.00609	-1.12	0.75766	2.23	5.25E-12
Dr.85631	Transcribed locus		2.46E-07	-1.05	0.40336	1.84	7.80E-08
Dr.86505	Transcribed locus		5.50E-11	-1	1	7	0
Dr.86514	Transcribed locus		0.00044	-1.05	0.8703	2.63	1.31E-16
Dr.87526	Transcribed locus		0.00042	-1	1	2.72	2.14E-13
Dr.87805	Transcribed locus		8.32E-13	-1.03	0.86274	5.03	0
Dr.89211	Transcribed locus		0.00192	-1.24	0.29375	1.69	0.00001
Dr.89339	Transcribed locus		0.00409	-1.15	0.65016	1.92	6.21E-15
Dr.89987	Transcribed locus		1.11E-08	-1.31	0.04278	1.71	1.55E-20
Dr.90773	Transcribed locus		1.14E-06	-1.25	0.11646	1.73	4.08E-14
Dr.90807	Transcribed locus		0.00012	-1	1	2.95	1.82E-15
Dr.90818	Transcribed locus		0.00101	-10.48	9.98E-08	2.05	0.39852
Dr.91403	Transcribed locus		0.00066	-1	1	2.7	9.68E-12
Dr.91728	Transcribed locus		5.07E-15	-1.74	0.00317	4.76	2.80E-44
Dr.92027	Transcribed locus		1.28E-10	-1.42	0.00104	2.4	8.19E-14
Dr.92370	Transcribed locus		0.0007	-1.01	0.91726	2.04	8.10E-07
Dr.92630	Transcribed locus		0.00478	-1	1	2.74	1.70E-06
Dr.92784	Transcribed locus		1.19E-07	-2.27	1.26E-09	1.62	0.00417
Dr.99862	Transcribed locus		1.37E-08	-1	1	4.66	1.32E-39
drl	Draculin	30167	1.57E-11	-1.68	2.52E-23	1.52	0.00135
edc3	Enhancer of mRNA decapping 3 homolog (S. cerevisiae)	504054	5.07E-15	-1.23	0.00527	1.5	0
ednra	Endothelin receptor type A	114550	0.00133	1.49	0.00062	2.12	0
efemp2	EGF-containing fibulin-like extracellular matrix protein 2	324957	0.00522	1.5	0.00002	2.92	0.00002
efna5b	Ephrin A5b	30223	2.23E-09	-1.28	0.00262	1.88	1.75E-11
efnb1	Ephrin B1	114377	6.50E-08	-1.26	0.00726	1.58	7.24E-11
eif2b5	Eukaryotic translation initiation factor 2B, subunit 5 epsilon	327153	0.00016	1.03	0.65465	1.57	3.64E-10
ell	Elongation factor RNA polymerase II	325221	0.00265	1.18	7.79E-06	1.5	1.77E-08
fa2h	Fatty acid 2-hydroxylase	394195	1.03E-13	-2.57	6.68E-09	1.56	1.39E-09
fam45a	Family with sequence similarity 45, member A	324827	0.00271	1.28	0.00028	1.69	3.72E-22
fam49a	Family with sequence similarity 49, member A	445212	2.00E-07	1.28	0.00072	2.27	2.98E-39
fbln1	Fibulin 1	30240	1.18E-06	-1.06	0.33884	1.54	1.76E-10
fbln1	Fibulin 1	30240	0.00001	1.31	0.06997	2.8	3.01E-34
fkbp9	FK506 binding protein 9	445126	1.18E-09	-1.27	0.0008	1.51	8.54E-13
flt4	Fms-related tyrosine kinase 4	30121	0.00247	-1.01	0.95682	1.67	3.37E-07
foxd5	Forkhead box D5	30524	8.91E-08	-1.3	0.11166	2.19	1.52E-17
foxk1	Forkhead box K1	334470	5.07E-15	1.06	0.30174	4.43	1.23E-23
gata4	GATA-binding protein 4	30483	0.00583	1.01	0.93665	1.53	7.61E-09
gbx1	Gastrulation brain homeobox 1	142985	8.35E-13	-1.27	0.00203	2.34	2.54E-17
gfra1b	Gdnf family receptor alpha 1b	79377	5.05E-08	-1.48	0.04268	2.17	1.60E-16
gipc1	GIPC PDZ domain containing family, member 1	445568	0.00007	-1.81	0.07426	2.25	2.91E-07
glceb	Glucuronyl C5-epimerase b	405775	0.00019	-1.34	0.17301	1.54	1.96E-11
gli2b	GLI-Kruppel family member GLI2b	548610	0.00003	-1.56	0.00619	1.66	0.00008
gpr137ba	G protein-coupled receptor 137ba	492792	0.00147	1.34	0.00031	2.4	5.57E-07
grid2	Glutamate receptor, ionotropic, delta 2	448841	1.41E-13	-1.29	0.0066	2.25	8.11E-29
grk7b	G protein-coupled receptor kinase 7b	373871	8.27E-09	-1.89	8.87E-10	1.64	0.0003
hao1	Hydroxyacid oxidase (glycolate oxidase) 1	402827	7.04E-11	1.02	0.67738	1.82	4.79E-31
has1	Hyaluronan synthase 1	403130	0.00172	1.44	0.00554	2.14	0
hic1	Hypermethylated in cancer 1	436585	0.00015	1.38	0.00023	2.7	6.98E-11
hic2	Hypermethylated in cancer 2	359828	1.09E-11	-1.28	0.01329	1.9	2.62E-25
id:ibd2050	Id:ibd2050	100003079	7.33E-13	-1.77	0.04115	3.95	0
id:ibd5062	Id:ibd5062	338239	1.36E-06	-1.6	2.61E-08	2.02	0.00627
igiv1s1	Immunoglobulin light iota variable 1, s1	100009615	0.00074	-1.14	0.70683	2.69	1.79E-16
igiv1s2	Immunoglobulin light iota variable 1, s2	619521	1.03E-13	1.03	0.82967	7.28	1.86E-31
igiv1s6	Immunoglobulin light iota variable 1, s6	619526	9.95E-07	1.07	0.84122	5.57	5.69E-38
igiv2s2	Immunoglobulin light iota variable 2, s2	619528	0.00015	1.31	0.37995	8.53	9.23E-12
im:6895697	Im:6895697	503888	0.00141	-1.25	0.51169	2.07	1.39E-17
im:6910498	Im:6910498	448891	0.00302	1.42	8.40E-14	1.88	8.38E-16
im:7138629	Im:7138629	497376	0.00211	-1.24	0.28884	1.51	2.05E-06
im:7139745	Im:7139745	780843	0.00039	1.06	0.54269	2.19	0.00001
im:7140096	Im:7140096	492530	0.00891	-1	1	1.96	1.19E-08
im:7140827	Im:7140827	550158	0.00879	1.4	6.40E-06	1.8	1.69E-28
im:7141239	Im:7141239	797864	0.00155	1.25	0.09206	1.95	6.59E-25
im:7141769	Im:7141769	449965	0.00056	1.19	0.00649	1.82	9.82E-09
im:7145752	Im:7145752	497495	0.00076	1.01	0.97713	4.09	7.41E-11
im:7145859	Im:7145859	553051	8.05E-07	-1.52	6.53E-06	1.65	0.00088
im:7147407	Im:7147407	553347	0.00478	-1.05	0.697	1.69	0.00004
im:7147820	Im:7147820	497586	1.26E-08	-1.65	0.00001	1.69	2.84E-07
im:7152043	Im:7152043	492728	0.00007	-1.19	0.08737	1.78	0.00006
im:7153054	Im:7153054	606585	7.58E-09	-1.08	0.46286	2.1	3.89E-24
IMDN	Intermedin precursor	403114	1.99E-06	1.28	0.00761	2.44	2.43E-31
irx4b	Iroquois homeobox protein 4b	474318	1.73E-06	-1.24	0.00777	1.52	3.41E-07
irx5b	Iroquois homeobox protein 5b	405792	0.00038	-1	1	3.45	5.63E-10
jag1a	Jagged 1a	140421	7.95E-07	1.12	0.17715	2.58	1.48E-12
jmjd2al	Jumonji domain containing 2A, like	334347	0.00011	1.35	0.0007	2.02	1.04E-43
jmjd6	Jumonji domain containing 6	266962	0.00014	-1.04	0.73299	1.59	1.59E-12
kbtbd10	Kelch repeat and BTB (POZ) domain containing 10	321064	5.07E-15	-1.52	2.35E-13	1.67	2.96E-23
ldb1	LIM-domain binding factor 1	30576	0.00001	-1.52	0.00003	1.55	0.00404
lhcgr	Luteinizing hormone/choriogonadotropin receptor	402920	0.00179	1.06	0.8477	2.72	6.70E-18
lipc	Lipase, hepatic	393997	3.73E-06	-1.1	0.24461	2.09	5.60E-06
lmo4l	LIM domain only 4, like	324849	0.00008	1.12	0.0897	1.58	7.64E-25
LOC100000127	Hypothetical protein LOC100000127	100000127	0.00172	-1.03	0.78468	1.67	2.01E-06
LOC100000528	Hypothetical protein LOC100000528	100000528	3.41E-10	-1.69	0.00719	1.99	7.49E-26
LOC100001121	Hypothetical protein LOC100001121	100001121	0.00021	-2.71	2.83E-15	1.7	0.25438
LOC100001241	Similar to synaptopodin 2-like	100001241	7.50E-07	1.01	0.90102	1.91	2.36E-15
LOC100002196	Hypothetical protein LOC100002196	100002196	0.00426	1.17	0.06324	1.87	0.00001
LOC100002316	Hypothetical protein LOC100002316	100002316	0.00001	-1.01	0.9005	1.53	6.34E-39
LOC100002362	Hypothetical protein LOC100002362	100002362	0.00789	1.34	0.00264	1.73	0
LOC100002392	Similar to CC chemokine-1	100002392	0.00033	-1.28	0.68271	7.07	2.08E-13
LOC100002456	Similar to Alkylglycerone phosphate synthase	100002456	1.79E-14	-1.16	0.05426	1.77	0
LOC100002879	Similar to zinc finger protein 326	100002879	5.39E-06	1.06	0.57611	2.18	9.55E-17
LOC100003558	Similar to actin-binding LIM protein 1	100003558	0.00112	-1.05	0.71845	1.92	1.08E-06
LOC100003696	Hypothetical protein LOC100003696	100003696	5.07E-15	-1.18	0.14394	2.6	0
LOC100004064	Similar to mitogen-activated protein kinase kinase kinase kinase 4	100004064	0.00591	1.26	0.00105	1.97	0.00002
LOC100004206	Hypothetical protein LOC100004206	100004206	0.00428	1.05	0.55112	1.55	0.00004
LOC100005060	Hypothetical protein LOC100005060	100005060	7.42E-09	-1.56	0.01284	2.31	3.00E-15
LOC100005357	Hypothetical protein LOC100005357	100005357	3.50E-09	1.05	0.59735	2.36	7.86E-31
LOC100005372	Hypothetical protein LOC100005372	100005372	1.08E-08	-1.12	0.44043	2.28	1.80E-32
LOC100005591	Hypothetical protein LOC100005591	100005591	0.00045	1.04	0.72354	1.8	2.70E-12
LOC100005742	Hypothetical protein LOC100005742	100005742	0.00118	-1	1	2.26	2.11E-13
LOC100007012	Hypothetical protein LOC100007012	100007012	0.00507	1.03	0.7688	1.55	0.00001
LOC100007015	Hypothetical protein LOC100007015	100007015	0.00001	1.2	0.18933	3.51	2.17E-14
LOC100007596	Similar to arginine-glutamic acid dipeptide (RE) repeats	100007596	8.47E-07	1.11	0.55719	2.8	1.45E-37
LOC553253	Hypothetical protein LOC553253	553253	6.07E-09	1.17	0.0301	2.15	4.20E-44
LOC553274	Hypothetical protein LOC553274	553274	2.02E-09	-1.81	0.00071	1.87	5.09E-12
LOC553431	Hypothetical protein LOC553431	553431	1.96E-08	1.24	0.0148	2.94	2.89E-28
LOC554528	Similar to B-cell CLL/lymphoma 6 (zinc finger protein 51)	554528	0.00002	-1.09	0.61801	2.36	3.92E-13
LOC555344	Hypothetical LOC555344	555344	5.07E-15	-1.63	0.00494	7.53	0
LOC555828	Similar to MGC80334 protein	555828	5.78E-06	-1.01	0.79246	1.55	6.44E-06
LOC556288	Hypothetical LOC556288	556288	4.79E-06	-2.43	0.02194	1.93	4.20E-14
LOC556709	Hypothetical LOC556709	556709	3.21E-09	-1.7	0.00211	2.78	1.01E-12
LOC556736	Hypothetical LOC556736	556736	1.41E-08	-2.26	2.12E-17	1.8	0.01464
LOC556737	Similar to protein tyrosine phosphatase, receptor-type, Z polypeptide 1	556737	0.00719	-1.16	0.49528	1.73	0.00004
LOC556791	Hypothetical LOC556791	556791	0.00078	-1	1	3.94	2.38E-07
LOC556983	Hypothetical LOC556983	556983	0.00943	-1.48	0.41432	1.98	5.20E-09
LOC557059	Similar to prolyl 4-hydroxylase, alpha I subunit isoform 1 precursor	767717	1.58E-07	-1.09	0.18274	2.07	3.96E-07
LOC557064	Hypothetical LOC557064	557064	0.00001	-1.16	0.0851	1.57	6.77E-08
LOC557798	Hypothetical LOC557798	557798	0.00425	1.1	0.35117	1.66	6.79E-10
LOC557906	Similar to MGC85027 protein	557906	0.0022	1.23	0.00011	1.75	2.18E-07
LOC558539	Similar to armadillo repeat containing 9	558539	3.73E-06	-1.23	0.04342	2.09	7.16E-06
LOC558857	Similar to CGI-108 protein	558857	0.0001	-1.23	0.44012	1.99	2.98E-28
LOC559634	Hypothetical LOC559634	559634	1.16E-07	-1.17	0.10641	1.58	7.31E-17
LOC560278	Hypothetical LOC560278	560278	0.00091	1.09	0.24166	1.86	0.00002
LOC560599	Hypothetical LOC560599	560599	0.00211	-1.17	0.54449	2.17	3.90E-07
LOC561451	Hypothetical LOC561451	561451	0.00001	1.04	0.61191	1.72	2.98E-12
LOC561596	Similar to cysteine-rich protein 2	561596	0.00894	1.28	0.01307	2.12	1.45E-06
LOC561906	Similar to nicotinic acetylcholine receptor beta 2 subunit	561906	2.64E-09	-1.39	2.18E-07	1.54	7.96E-06
LOC561913	Hypothetical LOC561913	561913	9.45E-09	1.04	0.48708	1.94	9.14E-23
LOC562002	Similar to testican 3	562002	5.08E-06	1.18	0.01464	1.65	0
LOC562163	Hypothetical LOC562163	562163	0.00005	-1.53	0.19603	2.14	5.39E-18
LOC562351	Hypothetical LOC562351	562351	0.00018	-1.02	0.88781	1.65	1.03E-17
