Probe	Accession No.	Description	Gene ID	si-control(1)	si-GATA2(1)	Folf Change(log2)	si-control(2)	si-GATA2(2)	Fold Change (log2)
223333_s_at	AF169312	angiopoietin-like 4	ANGPTL4	3.8	73.5	4	60.3	554.5	3.1
219868_s_at	NM_016376	ankyrin repeat and FYVE domain containing 1	ANKFY1	80.9	208.3	1.5	64.3	294.9	2
230972_at	AW194999	ankyrin repeat domain 9	ANKRD9	113.1	215.9	0.7	65.5	238.4	1.8
227660_at	AL569575	anthrax toxin receptor 1	ANTXR1	82.6	127.7	0.6	139.7	492.9	1.9
205083_at	NM_001159	aldehyde oxidase 1	AOX1	21.6	42.7	1.2	23.7	143.2	2.3
204859_s_at	NM_013229	apoptotic protease activating factor	APAF1	115.5	157.1	0.5	85.4	224	1.2
215148_s_at	AI141541	amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)	APBA3	88	175	0.8	118	218.3	0.9
205543_at	NM_014278	heat shock protein (hsp110 family)	APG-1	106.3	343.1	1.9	111.5	382.9	2
209584_x_at	AF165520	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C	APOBEC3C	85.2	219.8	1.3	109.5	395.3	1.5
209546_s_at	AF323540	apolipoprotein L, 1	APOL1	33.6	81.6	1	37.6	106.7	1.3
222518_at	BF525399	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	ARFGEF2	180.8	316.2	0.8	152.2	272.5	0.9
203946_s_at	U75667	arginase, type II	ARG2	148	244.1	0.8	81	170.8	1.2
206298_at	NM_021226	Rho GTPase activating protein 22	ARHGAP22	4.1	53.8	3.1	38.5	115.9	1.4
203756_at	NM_014786	Rho guanine nucleotide exchange factor (GEF) 17	ARHGEF17	79.9	115.4	0.4	31.3	110.7	1.6
228201_at	BE858032	ADP-ribosylation factor-like 2-like 1	ARL2L1	74	179.9	1.2	48.4	135.8	1.3
214012_at	BE551138	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	ARTS-1	10.8	129.1	2.6	16.1	38.7	1.5
205673_s_at	NM_024087	ankyrin repeat and SOCS box-containing 9	ASB9	30.2	80.9	1.1	29.6	129.5	1.7
205047_s_at	NM_001673	asparagine synthetase	ASNS	56.9	135.4	1.5	46.7	128.1	1.4
202672_s_at	NM_001674	activating transcription factor 3	ATF3	57	215.2	2	126.7	209.1	0.6
201242_s_at	BC000006	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1	430	1154.2	1.4	1102.4	3376.9	1.4
203452_at	NM_012200	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	B3GAT3	57.5	68.7	0.9	17.3	95	2
1554835_a_at	BC028058	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	B3GNT5	181.3	352.4	0.9	324.1	606.5	0.8
203188_at	NM_006876	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	B3GNT6	118	243.8	0.8	83.3	288.1	1.6
215728_s_at	AL031848	brain acyl-CoA hydrolase	BACH	99	176.4	1	108.2	191.5	1
209406_at	AF095192	BCL2-associated athanogene 2	BAG2	54.4	76.3	0.8	77.4	174.5	0.9
203728_at	NM_001188	BCL2-antagonist/killer 1	BAK1	71.6	175.3	1	92.7	313.5	1.6
212736_at	BE299456	hypothetical gene BC008967	BC008967	70	149.2	1	63.4	125	1
215037_s_at	U72398	BCL2-like 1	BCL2L1	182.7	381.2	1.1	293.9	435.1	0.6
225536_at	AL545105	beta-casein-like protein	BCLP	43.2	87.4	1.1	70.9	287.9	1.8
201170_s_at	NM_003670	basic helix-loop-helix domain containing, class B, 2	BHLHB2	190.9	707.7	1.9	364.3	972.4	1.4
210538_s_at	U37546	baculoviral IAP repeat-containing 3	BIRC3	39.3	164.8	1.9	109.7	158	0.7
207595_s_at	NM_006132	bone morphogenetic protein 1	BMP1	94.3	185.7	0.9	132.1	267.1	0.9
226853_at	AU145366	BMP2 inducible kinase	BMP2K	253.6	309.2	0.4	166.2	297.5	1.4
220272_at	NM_017637	basonuclin 2	BNC2	37.3	104.5	1.4	83.5	158.7	1
226580_at	AA779684	breast cancer metastasis-suppressor 1-like	BRMS1L	186.4	253.3	0.7	147.5	316.5	1.1
205548_s_at	NM_006806	BTG family, member 3	BTG3	227.3	601	1.4	292	932.8	1.7
209770_at	U90552	butyrophilin, subfamily 3, member A1	BTN3A1	98.3	135.3	1	164.6	162.9	0.7
38241_at	U90548	butyrophilin, subfamily 3, member A3	BTN3A3	59	119.7	1.1	99.9	161.6	1
218597_s_at	NM_018464	chromosome 10 open reading frame 70	C10orf70	401.9	785.1	0.9	461.2	768.8	0.8
228354_at	AA908763	chromosome 10 open reading frame 83	C10orf83	63.1	88.8	0.6	61.8	125.4	1.1
219099_at	NM_020375	chromosome 12 open reading frame 5	C12orf5	565.3	1315.9	1.2	883.5	2042.4	1.1
213246_at	AI346504	Chromosome 14 open reading frame 109	C14orf109	203.9	503.7	1.3	170.7	538.9	1.6
223273_at	AF277185	chromosome 14 open reading frame 142	C14orf142	142.4	280.4	0.9	140.8	312.8	1
222809_x_at	AA728758	chromosome 14 open reading frame 65	C14orf65	50.7	85.5	0.6	38.8	87	1.1
232269_x_at	BE965311	chromosome 16 open reading frame 23	C16orf23	64.2	146.8	0.8	124	281.6	1.2
219315_s_at	NM_024600	chromosome 16 open reading frame 30	C16orf30	390.8	645.6	0.7	243.2	462.4	1
223960_s_at	AF195661	chromosome 16 open reading frame 5	C16orf5	75.5	170.1	1.1	53.8	252.6	1.8
219837_s_at	NM_018659	cytokine-like protein C17	C17	170.9	401.5	1.2	1806.2	2653.1	0.5
225929_s_at	AA233374	chromosome 17 open reading frame 27	C17orf27	180.1	329.8	1	256.3	557	1
212132_at	AL117499	chromosome 19 open reading frame 13	C19orf13	223.2	440.8	1	150.5	283.2	1
213986_s_at	AI805266	chromosome 19 open reading frame 6	C19orf6	128.3	214.9	0.7	163.7	333.2	1
226107_at	AU156755	Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase	C1GALT1	34.2	66.6	0.8	63.3	104.9	1
223125_s_at	AL563236	chromosome 1 open reading frame 21	C1orf21	57.8	111.6	1.1	45.3	109.8	1.2
223243_s_at	BF439488	chromosome 1 open reading frame 22	C1orf22	267.8	334.9	0.6	248.2	677.6	1.4
204439_at	NM_006820	chromosome 1 open reading frame 29	C1orf29	11.9	71.1	2.6	47.3	287.8	2.8
242444_at	BG387308	C1q and tumor necrosis factor related protein 6	C1QTNF6	46.8	74.2	0.5	44.3	111.8	1.6
224693_at	AI133137	chromosome 20 open reading frame 108	C20orf108	251.2	468.9	0.9	237.2	600.8	0.9
228123_s_at	AW303865	chromosome 20 open reading frame 22	C20orf22	181.9	316.6	0.6	167.4	371.3	1.2
212996_s_at	AI803485	chromosome 21 open reading frame 108	C21orf108	52.9	138.5	1.2	65.2	107.7	0.9
228909_at	AW131553	Chromosome 21 open reading frame 86	C21orf86	43.1	78.1	0.9	43.8	108.9	0.8
226109_at	AK023825	chromosome 21 open reading frame 91	C21orf91	93	210.6	1.2	67.7	176.4	1.4
212421_at	AB023147	chromosome 22 open reading frame 9	C22orf9	210	326.2	0.8	217.3	484.9	1.1
225269_s_at	BE384529	chromosome 2 open reading frame 12	C2orf12	513.6	822.3	0.8	384.8	971.1	1.3
219496_at	NM_023016	chromosome 2 open reading frame 26	C2orf26	86.4	155.8	0.7	84.5	181.1	1.2
225271_at	AI732727	Chromosome 6 open reading frame 110	C6orf110	99.7	119	0.6	111.2	199.5	1.1
237016_at	AI125204	chromosome 6 open reading frame 128	C6orf128	61.2	236.5	2.1	182.7	215.1	0.6
218195_at	NM_024573	chromosome 6 open reading frame 211	C6orf211	199	391.3	0.8	113.3	430	1.9
204215_at	NM_024315	chromosome 7 open reading frame 23	C7orf23	147.6	276	0.9	228.1	462.5	1
213587_s_at	AI884867	chromosome 7 open reading frame 32	C7orf32	122.3	186.7	0.8	51.7	147.6	1.1
223433_at	AF226046	chromosome 7 open reading frame 36	C7orf36	87.1	157.2	0.8	118.1	265	1.1
226027_at	BG541668	chromosome 9 open reading frame 119	C9orf119	130.9	171.7	0.7	139.2	256	1
222781_s_at	BF590861	chromosome 9 open reading frame 40	C9orf40	80.7	137.3	0.5	66.7	137.5	1.3
228324_at	BF031819	chromosome 9 open reading frame 41	C9orf41	86.6	129.6	0.9	30.1	80.7	1.5
225915_at	AL138875	calcium binding protein 39-like	CAB39L	84.3	98	0.6	66.9	142.7	1.1
218168_s_at	NM_020247	chaperone, ABC1 activity of bc1 complex like (S. pombe)	CABC1	62.9	149.8	1.2	62.2	171.9	1.1
224279_s_at	AF295039	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)	CABYR	23.2	77.2	1.1	47	155.3	1
228641_at	BF338389	Caspase recruitment domain family, member 8	CARD8	178.3	339.8	1	205.6	349.1	0.7
211368_s_at	U13700	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	CASP1	156.7	391.2	1.5	172.1	527.6	1.4
209213_at	BC002511	carbonyl reductase 1	CBR1	76.5	156.2	1	87.3	352.4	1.5
205379_at	NM_001236	carbonyl reductase 3	CBR3	46.5	147.5	1.7	60.3	137.2	1.2
1553972_a_at	BC007257	cystathionine-beta-synthase	CBS	35.8	95.1	1.3	69.2	116.5	0.5
205476_at	NM_004591	chemokine (C-C motif) ligand 20	CCL20	57.8	289.6	2.8	318.1	212.9	-0.9
1405_i_at	M21121	chemokine (C-C motif) ligand 5	CCL5	3.2	49.9	4	36	288.5	2.9
211434_s_at	AF015524	chemokine (C-C motif) receptor-like 2	CCRL2	24.9	53.7	0.4	24.6	121.2	2.1
212063_at	BE903880	CD44 antigen (homing function and Indian blood group system)	CD44	251.5	437.7	0.8	598	1609.6	1.3
204693_at	NM_007061	CDC42 effector protein (Rho GTPase binding) 1	CDC42EP1	106	221	1	115.9	238.2	0.7
209286_at	AI754416	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3	118.2	281.3	1.2	157.7	507.2	1.7
202284_s_at	NM_000389	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1A	1157.4	3207.7	1.4	2109.7	3919	0.9
34206_at	AB018325	centaurin, delta 2	CENTD2	100.1	172	0.8	94.4	197.2	1.2
213509_x_at	AW157619	carboxylesterase 2 (intestine, liver)	CES2	130.4	236	0.8	150.8	403.1	1.2
214658_at	BG286537	CGI-109 protein	CGI-109	303.9	419.6	0.5	88.7	194.4	1.5
218642_s_at	NM_024300	coiled-coil-helix-coiled-coil-helix domain containing 7	CHCHD7	84.5	154.6	0.7	113.4	337.8	1.2
226350_at	AU155565	choroideremia-like (Rab escort protein 2)	CHML	190.3	486.6	1.1	175.5	555.8	1.6
204065_at	NM_004854	carbohydrate sulfotransferase 10	CHST10	60.2	106	0.7	54.5	120	1
226372_at	AI123348	Carbohydrate (chondroitin 4) sulfotransferase 11	CHST11	83.1	98.1	0.4	93.7	266.7	1.6
203921_at	NM_004267	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	CHST2	133.1	291.5	1.4	312.3	1074.2	1.9
206756_at	NM_019886	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	CHST7	131.8	245.8	0.9	113.1	285.4	1.3
228625_at	AI858001	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	CITED4	36.6	141.6	1.4	125.8	226.7	0.5
206165_s_at	NM_006536	chloride channel, calcium activated, family member 2	CLCA2	0.9	35.9	4.9	1.1	133.2	6.1
222549_at	AF101051	claudin 1	CLDN1	31.6	265	3.1	269.5	593.8	1.3
210689_at	AF314090	claudin 14	CLDN14	36.4	173.5	2.2	33.6	331.5	3.3
221881_s_at	AI638420	chloride intracellular channel 4	CLIC4	436.5	795.6	0.9	546.4	1297	1.2
1567080_s_at	D17218	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	CLN6	80.1	122.3	0.7	45.5	119.1	1
212977_at	AI817041	chemokine orphan receptor 1	CMKOR1	71.3	870.4	3.2	142.2	201.1	0.5
1556499_s_at	BE221212	collagen, type I, alpha 1	COL1A1	200.3	235.8	0.1	0.8	8.3	4.3
225288_at	AI949136	collagen, type XXVII, alpha 1	COL27A1	37.9	68.2	0.9	76	214.8	1.5
221227_x_at	NM_017421	coenzyme Q3 homolog, methyltransferase (yeast) /// coenzyme Q3 homolog, methyltransferase (yeast)	COQ3	48.2	78.8	0.6	27.5	81.4	1.8
218328_at	NM_016035	coenzyme Q4 homolog (yeast)	COQ4	79.8	239	1.2	99	276.1	1.1
230511_at	AI800640	cAMP responsive element modulator	CREM	92.5	122.1	1	56.7	140.6	1.3
205159_at	AV756141	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) /// colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	CSF2RB	84.4	282.9	1.9	78.3	368.8	2.1
221731_x_at	BF218922	Chondroitin sulfate proteoglycan 2 (versican)	CSPG2	10.1	56.3	2.5	41.5	342.5	3.3
211126_s_at	U46006	cysteine and glycine-rich protein 2	CSRP2	97	220.4	1.4	89.3	155.4	1
225681_at	AA584310	collagen triple helix repeat containing 1	CTHRC1	1466	4135.6	1.5	2288.8	5867.6	1.3
36566_at	AJ222967	cystinosis, nephropathic	CTNS	134.4	238.9	0.9	127.6	266.6	1
213274_s_at	AA020826	cathepsin B	CTSB	956.2	1781	0.9	1840.3	3716	1
202295_s_at	NM_004390	cathepsin H	CTSH	153.1	555	1.7	222.6	582.7	1.1
203758_at	AV729484	cathepsin O	CTSO	81.1	196.3	1.2	130.3	256.8	0.9
202158_s_at	NM_006561	CUG triplet repeat, RNA binding protein 2	CUGBP2	267.1	468.6	0.7	187.3	360.4	1
823_at	U84487	chemokine (C-X3-C motif) ligand 1	CX3CL1	59	509.1	3.3	430.9	187.7	-1
204533_at	NM_001565	chemokine (C-X-C motif) ligand 10	CXCL10	13.7	81.6	2	103.7	162.4	0.8
210163_at	AF030514	chemokine (C-X-C motif) ligand 11	CXCL11	4.3	24.6	1.9	157.2	136.7	-0.1
209201_x_at	L01639	chemokine (C-X-C motif) receptor 4	CXCR4	745.9	937.2	0.3	397.7	2027.8	2.3
228752_at	N57931	chromosome X open reading frame 10	CXorf10	73.8	140.9	1	38.2	126.4	1.6
224516_s_at	BC006428	CXXC finger 5 /// CXXC finger 5	CXXC5	111.1	228	1.2	91.7	304.7	2
217889_s_at	NM_024843	cytochrome b reductase 1	CYBRD1	91.7	219.1	1.3	79	188.1	1
215785_s_at	AL161999	cytoplasmic FMR1 interacting protein 2	CYFIP2	84.5	305	1.5	77.9	280	1.7
213295_at	AA555096	Cylindromatosis (turban tumor syndrome)	CYLD	54.4	103.9	1	74	107.1	0.7
209570_s_at	BC001745	DNA segment on chromosome 4 (unique) 234 expressed sequence	D4S234E	49.4	93.7	0.9	11.3	101.5	3
226314_at	AA039350	dermatan 4 sulfotransferase 1	D4ST1	158.2	327.9	0.9	126.4	370.4	1.4
209383_at	BC003637	DNA-damage-inducible transcript 3	DDIT3	40.9	112	1.6	85.6	146.6	0.6
208779_x_at	L20817	discoidin domain receptor family, member 1	DDR1	59.7	183	1.8	59.4	186.2	1.7
205000_at	NM_004660	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	DDX3Y	353.2	873.9	1.4	314.5	783.4	1.5
203695_s_at	NM_004403	deafness, autosomal dominant 5	DFNA5	287.4	665.8	1.3	401.8	974.7	1.1
211272_s_at	AF064771	diacylglycerol kinase, alpha 80kDa	DGKA	46.2	88.2	1	54	157.1	1.5
224494_x_at	BC006283	dehydrogenase/reductase (SDR family) member 10 /// dehydrogenase/reductase (SDR family) member 10	DHRS10	28.8	88.4	0.9	63.9	165.1	1.1
1555905_a_at	AI147556	hypothetical protein DKFZp313N0621	DKFZp313N0621	55.5	110.8	0.9	69.4	120.7	0.8
204494_s_at	AW516789	DKFZP434H132 protein	DKFZP434H132	45.8	99	0.9	63.2	134.6	1.2
227375_at	AA152232	Hypothetical protein DKFZp566D1346	DKFZP566D1346	80.7	94.8	0.7	41.4	80.2	1
224776_at	BF513102	putative lysophosphatidic acid acyltransferase	DKFZp586M1819	163.7	316.5	0.8	232.2	459.9	1
234106_s_at	BC001973	hypothetical protein DKFZp761A132	DKFZp761A132	44.7	92.6	0.8	45.3	120.7	1.4
221924_at	AW444969	hypothetical protein DKFZp761I2123	DKFZp761I2123	35	74.4	1	32.3	95	1
225974_at	BF732480	hypothetical protein DKFZp762C1112	DKFZp762C1112	70.2	510.5	2.7	39.2	800	3.9
204602_at	NM_012242	dickkopf homolog 1 (Xenopus laevis)	DKK1	237.4	590.7	1.3	507.4	592.8	0.4
202196_s_at	NM_013253	dickkopf homolog 3 (Xenopus laevis)	DKK3	633.4	1078.3	0.8	657.8	1402.8	1.1
220512_at	NM_024767	deleted in liver cancer 1	DLC1	60.4	88.8	0.4	128.6	380.9	1.3
223525_at	AB036931	delta-like 4 (Drosophila)	DLL4	130.9	266.9	0.9	43.7	144.1	1.5
212730_at	AK026420	desmuslin	DMN	216.2	336.8	0.7	109.6	310.3	1.5
225061_at	N45231	DnaJ (Hsp40) homolog, subfamily A, member 4	DNAJA4	52.8	104.6	1.2	61	183.7	1.5
214992_s_at	AD000092	deoxyribonuclease II, lysosomal	DNASE2	168.4	253.3	0.9	175.4	383.5	1
224814_at	NM_013379	dipeptidylpeptidase 7	DPP7	126.8	247	0.9	91.9	198.9	1
205493_s_at	NM_006426	dihydropyrimidinase-like 4	DPYSL4	52.7	124.9	1.2	201.9	546.8	1.5
209187_at	AW516932	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	DR1	222.6	426.7	0.9	119.7	654.4	2.4
227084_at	AW339310	dystrobrevin, alpha	DTNA	27.1	104	1.2	77.9	164.3	1.2
204014_at	NM_001394	dual specificity phosphatase 4	DUSP4	24.4	102.3	1.7	12.7	235.1	3.4
209457_at	U16996	dual specificity phosphatase 5	DUSP5	299.4	566.2	0.8	347.6	1074.6	1.6
213848_at	AI655015	Dual specificity phosphatase 7	DUSP7	104.9	136.4	0.3	96	248.9	1.4
210151_s_at	AF186773	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	DYRK3	31.7	94.6	1.7	65.9	163.2	1.2
228033_at	AI341146	E2F transcription factor 7	E2F7	178.3	328.8	0.9	486.2	1154	1.3
228176_at	AA534817	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	EDG3	42.8	178.7	1.9	140.5	434.4	1.4
225275_at	AA053711	EGF-like repeats and discoidin I-like domains 3	EDIL3	215.3	518.3	1.2	166.4	359.8	1.1
201694_s_at	NM_001964	early growth response 1	EGR1	40.2	140.4	1.5	80.6	103.2	0.2
218935_at	NM_014600	EH-domain containing 3	EHD3	57.1	63.9	0.2	35.3	105.9	1.7
235766_x_at	AA743462	Eukaryotic translation initiation factor 2C, 2	EIF2C2	47.2	135.8	1.3	28.9	135.2	2.2
221539_at	AB044548	eukaryotic translation initiation factor 4E binding protein 1	EIF4EBP1	257.8	459.1	0.8	258	662.7	1.4
204797_s_at	NM_004434	echinoderm microtubule associated protein like 1	EML1	61.7	151.6	0.9	72.8	240.2	1.4
213895_at	BF445047	epithelial membrane protein 1	EMP1	129	127.2	0.1	31.4	132.4	1.9
225078_at	AV686514	epithelial membrane protein 2	EMP2	51.2	106.6	0.9	27.6	57.5	1.4
201313_at	NM_001975	enolase 2 (gamma, neuronal)	ENO2	22.5	106.1	2.1	22.2	135.4	2.7
228948_at	T15545	EPH receptor A4	EPHA4	39.3	79.9	1	45.9	144.5	1.3
202609_at	NM_004447	epidermal growth factor receptor pathway substrate 8	EPS8	176.4	228.1	0.5	109.4	229.7	1.4
227609_at	AA633203	epithelial stromal interaction 1 (breast)	EPSTI1	43.7	217.3	2.4	104.6	283.9	1.7
225750_at	BE966748	ERO1-like (S. cerevisiae)	ERO1L	439.3	1148.5	1.5	477.7	1321	1.5
203349_s_at	NM_004454	ets variant gene 5 (ets-related molecule)	ETV5	28.2	181.3	2.4	33.7	353.8	3
214958_s_at	AK021738	epidermodysplasia verruciformis 1	EVER1	32.9	95.9	1.1	49.4	98.8	0.8
203989_x_at	NM_001992	coagulation factor II (thrombin) receptor	F2R	630	1700.1	1.4	587	1326.5	1.1
206429_at	NM_005242	coagulation factor II (thrombin) receptor-like 1	F2RL1	161	847.6	2.2	720.8	1081.7	0.5
208962_s_at	BE540552	fatty acid desaturase 1	FADS1	196.4	401.7	1.2	72.5	235.1	1.8
202862_at	NM_000137	fumarylacetoacetate hydrolase (fumarylacetoacetase)	FAH	80.3	110	0.9	52.6	213.5	1.8
218446_s_at	NM_016078	family with sequence similarity 18, member B	FAM18B	169.3	289.1	0.5	134.5	361.1	1.2
38043_at	X55448	family with sequence similarity 3, member A	FAM3A	52.3	96.2	0.8	41.6	77.4	0.9
209955_s_at	U76833	fibroblast activation protein, alpha	FAP	2.4	33.6	4	119.9	399.3	2
201579_at	NM_005245	FAT tumor suppressor homolog 1 (Drosophila)	FAT	48.8	90.2	0.9	89.6	186.5	1.6
225734_at	AW294765	F-box protein 22	FBXO22	309.2	609.5	1.1	344.8	793	1.2
225328_at	N21643	F-box protein 32	FBXO32	17	106.2	2.4	20.2	91.6	2
227961_at	AA130998	Farnesyl-diphosphate farnesyltransferase 1	FDFT1	738.7	1751.9	1	1322.1	3565.8	1.4
207813_s_at	NM_004110	ferredoxin reductase	FDXR	121	354.6	1.7	129	308.2	1.3
219118_at	NM_016594	FK506 binding protein 11, 19 kDa	FKBP11	122.3	607	2	175.7	505.5	1.6
237737_at	AI359676	FLJ00310 protein	FLJ00310	19.2	30.3	1	73	190	1.5
218169_at	NM_018052	hypothetical protein FLJ10305	FLJ10305	172.6	309.2	0.7	107.1	253.4	1
218627_at	NM_018370	hypothetical protein FLJ11259	FLJ11259	176.9	724.7	1.7	368.6	380.6	0.1
218051_s_at	NM_022908	hypothetical protein FLJ12442	FLJ12442	168.6	554.8	1.8	411.7	622.7	0.9
201818_at	NM_024830	hypothetical protein FLJ12443	FLJ12443	177.3	252.4	0.9	125.8	453.8	1.9
219637_at	NM_025139	hypothetical protein FLJ12584	FLJ12584	32.6	104.6	1.1	58.5	144.5	1.1
222458_s_at	AI205764	hypothetical protein FLJ12666	FLJ12666	144.3	240.8	0.7	139	460.3	1.7
220577_at	NM_025006	very large inducible GTPase 1	FLJ13373	22.4	64	1	59.4	133.9	0.8
227828_s_at	AV700753	hypothetical protein FLJ13391	FLJ13391	101.2	194.3	1	94.5	192.4	1.1
1555486_a_at	BC008922	hypothetical protein FLJ14213	FLJ14213	48.1	66.7	0.4	28	95.7	1.3
225411_at	AI769794	hypothetical protein FLJ14681	FLJ14681	61	358.5	2.4	42.1	416.4	3.2
227058_at	AW084730	hypothetical protein FLJ14834	FLJ14834	17.7	251.2	3.6	55.2	179.5	1.5
225637_at	BE676248	hypothetical protein FLJ20186	FLJ20186	250.6	410.6	0.7	284.7	577.1	1
218577_at	NM_017768	hypothetical protein FLJ20331	FLJ20331	403.1	603.2	0.5	226.6	586.3	1.6
218745_x_at	NM_017814	hypothetical protein FLJ20422	FLJ20422	26.7	107.6	1.3	79.4	119.5	0.7
219258_at	NM_017858	timeless-interacting protein	FLJ20516	48.8	91	0.6	52.5	103.9	1.1
222902_s_at	AU144258	hypothetical protein FLJ21144	FLJ21144	49.9	113.1	0.8	76.9	137.8	1
218480_at	NM_021831	hypothetical protein FLJ21839	FLJ21839	66.3	157.6	0.8	91.4	156.8	1.3
219474_at	NM_024616	hypothetical protein FLJ23186	FLJ23186	40.1	110.3	1	65	183.5	1.6
242957_at	AI862096	hypothetical protein FLJ32009	FLJ32009	67.7	294.4	1.4	98.8	211.8	1.2
227936_at	AI671172	Hypothetical protein FLJ32370	FLJ32370	67.3	105.5	0.7	38.7	90.1	1
219731_at	NM_024343	weakly similar to zinc finger protein 195	FLJ34077	55	103.8	0.6	50.5	150.2	1.4
