Gene	Gene Annotation	Alternative Exon Usage (P value)
WARS	tryptophanyl-tRNA synthetase	2.33E-13
PLCB1	phospholipase C beta 1 (phosphoinositide-specific)	3.76E-13
KIAA0692	KIAA0692	7.74E-13
LAMA5	laminin alpha 5	2.61E-12
IARS	isoleucyl-tRNA synthetase	3.21E-12
OSBPL10	oxysterol binding protein-like 10	9.3E-12
TXNRD1	thioredoxin reductase 1	1.13E-11
FAM24B	family with sequence similarity 24 member B	1.79E-11
CCDC91	coiled-coil domain containing 91	2.09E-11
VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	2.42E-11
NDEL1	nudE nuclear distribution gene E homolog (A. nidulans)-like 1	4.2E-11
TTC17	tetratricopeptide repeat domain 17	6.17E-11
CTGLF10P	centaurin gamma-like family member 10 pseudogene	6.71E-11
EXT1	exostoses (multiple) 1	6.78E-11
C10orf30	chromosome 10 open reading frame 30	7.47E-11
BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)	7.66E-11
RBM10	RNA binding motif protein 10	1.09E-10
CLCN6	chloride channel 6	1.28E-10
CSNK2A1	casein kinase 2 alpha 1 polypeptide	1.32E-10
MAP1LC3B	microtubule-associated protein 1 light chain 3 beta	1.33E-10
PRMT1	protein arginine methyltransferase 1	1.83E-10
ME3	malic enzyme 3 NADP(+)-dependent mitochondrial	1.87E-10
MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	2.01E-10
FAM54A	family with sequence similarity 54 member A	2.04E-10
ANTXR1	anthrax toxin receptor 1	2.23E-10
DAZAP1	DAZ associated protein 1	2.6E-10
PICALM	phosphatidylinositol binding clathrin assembly protein	2.87E-10
ST6GALNAC3	ST6 (alpha-N-acetyl-neuraminyl-2 3-beta-galactosyl-1 3)-N-acetylgalactosaminide alpha-2 6-sialyltransferase 3	3.32E-10
FLNB	filamin B beta (actin binding protein 278)	3.72E-10
RPL4	ribosomal protein L4	4.24E-10
ECH1	enoyl Coenzyme A hydratase 1 peroxisomal	4.49E-10
DLC1	deleted in liver cancer 1	5.29E-10
USP12	ubiquitin specific peptidase 12	5.74E-10
SFRS8	splicing factor arginine/serine-rich 8 (suppressor-of-white-apricot homolog Drosophila)	5.82E-10
RCBTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	5.83E-10
PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	6.22E-10
SLC12A7	solute carrier family 12 (potassium/chloride transporters) member 7	6.36E-10
SAMD4A	sterile alpha motif domain containing 4A	6.46E-10
RPS6KA2	ribosomal protein S6 kinase 90kDa polypeptide 2	6.87E-10
SMG6	Smg-6 homolog nonsense mediated mRNA decay factor (C. elegans)	7.08E-10
CDC16	cell division cycle 16 homolog (S. cerevisiae)	7.09E-10
PFAAP5	phosphonoformate immuno-associated protein 5	8.36E-10
HDAC5	histone deacetylase 5	1.07E-09
SP100	SP100 nuclear antigen	1.11E-09
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	1.71E-09
FNDC3B	fibronectin type III domain containing 3B	2.11E-09
ILF3	interleukin enhancer binding factor 3 90kDa	2.89E-09
WDR59	WD repeat domain 59	4.74E-09
ABR	active BCR-related gene	4.83E-09
KLC1	kinesin light chain 1	0.000000005
SMAD3	SMAD family member 3	5.3E-09
SLC7A5P1	solute carrier family 7 (cationic amino acid transporter y+ system) member 5 pseudogene 1	6.4E-09
PARD3	par-3 partitioning defective 3 homolog (C. elegans)	6.48E-09
FNIP1	folliculin interacting protein 1	6.54E-09
LOC729096	similar to BMS1-like ribosome assembly protein	7.96E-09
GDI2	GDP dissociation inhibitor 2	0.000000008
C9orf102	chromosome 9 open reading frame 102	8.14E-09
SYT1	synaptotagmin I	8.23E-09
CBWD1	COBW domain containing 1	8.36E-09
ZNF438	zinc finger protein 438	8.56E-09
FYN	FYN oncogene related to SRC FGR YES	9.05E-09
PWP1	PWP1 homolog (S. cerevisiae)	9.07E-09
C13orf34	chromosome 13 open reading frame 34	9.31E-09
NFATC1	nuclear factor of activated T-cells cytoplasmic calcineurin-dependent 1	9.56E-09
ADK	adenosine kinase	9.63E-09
PTPRK	protein tyrosine phosphatase receptor type K	1.11E-08
ARF1	ADP-ribosylation factor 1	1.13E-08
ZFAND3	zinc finger AN1-type domain 3	1.21E-08
LRRC59	leucine rich repeat containing 59	1.26E-08
APP	amyloid beta (A4) precursor protein (peptidase nexin-II Alzheimer disease)	1.47E-08
KIAA1033	KIAA1033	1.56E-08
ORAOV1	oral cancer overexpressed 1	1.69E-08
RGNEF	Rho-guanine nucleotide exchange factor	1.69E-08
SSBP2	single-stranded DNA binding protein 2	1.88E-08
HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	1.96E-08
NLGN1	neuroligin 1	2.32E-08
PTPRM	protein tyrosine phosphatase receptor type M	2.36E-08
GBE1	glucan (1 4-alpha-) branching enzyme 1	2.59E-08
PVT1	Pvt1 oncogene homolog MYC activator (mouse)	3.18E-08
NPIP	nuclear pore complex interacting protein	3.39E-08
TRIM16	tripartite motif-containing 16	3.41E-08
INPP4A	inositol polyphosphate-4-phosphatase type I 107kDa	3.48E-08
EXOC4	exocyst complex component 4	3.55E-08
NPIP	nuclear pore complex interacting protein	3.92E-08
AIG1	androgen-induced 1	0.000000043
APOL6	apolipoprotein L 6	5.17E-08
ASCC3	activating signal cointegrator 1 complex subunit 3	5.23E-08
BCL7A	B-cell CLL/lymphoma 7A	6.33E-08
RBMS3	RNA binding motif single stranded interacting protein	7.23E-08
BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	7.81E-08
CTNNAL1	catenin (cadherin-associated protein) alpha-like 1	0.000000083
FBXW4	F-box and WD repeat domain containing 4	0.000000086
PTPN12	protein tyrosine phosphatase non-receptor type 12	9.28E-08
SQSTM1	sequestosome 1	9.67E-08
PLSCR1	phospholipid scramblase 1	0.000000098
PPP4R1L	protein phosphatase 4 regulatory subunit 1-like	0.000000108
PXDNL	peroxidasin homolog (Drosophila)-like	0.000000112
ZFPM2	zinc finger protein multitype 2	0.000000114
SETX	senataxin	0.000000125
RGPD5	RANBP2-like and GRIP domain containing 5	0.000000137
MYH9	myosin heavy chain 9 non-muscle	0.000000142
PSMB9	proteasome (prosome macropain) subunit beta type 9 (large multifunctional peptidase 2)	0.000000155
ITPR3	inositol 1 4 5-triphosphate receptor type 3	0.000000183
FGF18	fibroblast growth factor 18	0.000000194
CTGLF10P	centaurin gamma-like family member 10 pseudogene	0.000000202
FBXL2	F-box and leucine-rich repeat protein 2	0.000000222
DKFZP586P0123	hypothetical protein	0.000000226
ZNF587	zinc finger protein 587	0.000000252
XRN1	5-3 exoribonuclease 1	0.000000269
YARS	tyrosyl-tRNA synthetase	0.000000276
RPS23	ribosomal protein S23	0.000000284
PNLDC1	poly(A)-specific ribonuclease (PARN)-like domain containing 1	0.000000311
GTF2IRD1	GTF2I repeat domain containing 1	0.000000341
41524	septin 7	0.000000346
UNC50	unc-50 homolog (C. elegans)	0.000000366
MYLK	myosin light chain kinase	0.000000397
CTGLF4	centaurin gamma-like family member 4	0.000000398
UBE2W	ubiquitin-conjugating enzyme E2W (putative)	0.000000418
ITSN2	intersectin 2	0.00000042
THAP4	THAP domain containing 4	0.000000423
MINA	MYC induced nuclear antigen	0.000000456
RTN4	reticulon 4	0.000000475
PHLDA1	pleckstrin homology-like domain family A member 1	0.000000561
UTY	ubiquitously transcribed tetratricopeptide repeat gene Y-linked	0.000000612
ZFYVE16	zinc finger FYVE domain containing 16	0.000000615
LY75	lymphocyte antigen 75	0.000000668
CHKB	choline kinase beta	0.000000674
IVNS1ABP	influenza virus NS1A binding protein	0.000000692
ARHGAP24	Rho GTPase activating protein 24	0.000000696
SFRS1	splicing factor arginine/serine-rich 1 (splicing factor 2 alternate splicing factor)	0.000000744
PCID1	PCI domain containing 1 (herpesvirus entry mediator)	0.000000745
KIAA1975	KIAA1975 protein similar to MRIP2	0.000000766
FLJ44968	FLJ44968 protein	0.000000785
RPL37	ribosomal protein L37	0.000000843
CTGLF10P	centaurin gamma-like family member 10 pseudogene	0.000000852
MATR3	matrin 3	0.000000901
DENND1A	DENN/MADD domain containing 1A	0.000000936
SHANK3	SH3 and multiple ankyrin repeat domains 3	0.00000094
KIAA0974	KIAA0974	0.000000946
ADNP	activity-dependent neuroprotector	0.000000949
BLCAP	bladder cancer associated protein	0.00000101
RSU1	Ras suppressor protein 1	0.00000101
FOXP1	forkhead box P1	0.00000111
GSPT1	G1 to S phase transition 1	0.00000117
MTMR2	myotubularin related protein 2	0.00000126
FBXL11	F-box and leucine-rich repeat protein 11	0.00000128
PDXDC2	pyridoxal-dependent decarboxylase domain containing 2	0.00000133
ERRFI1	ERBB receptor feedback inhibitor 1	0.0000014
UBE2E2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog yeast)	0.00000145
NOMO1	NODAL modulator 1	0.00000148
ATXN2	ataxin 2	0.00000153
ALS2CR13	amyotrophic lateral sclerosis 2 (juvenile) chromosome region candidate 13	0.0000016
SLC38A1	solute carrier family 38 member 1	0.00000162
SOHLH2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	0.0000017
RNF180	ring finger protein 180	0.00000187
SLC6A9	solute carrier family 6 (neurotransmitter transporter glycine) member 9	0.00000191
VEPH1	ventricular zone expressed PH domain homolog 1 (zebrafish)	0.00000222
TNFRSF10D	tumor necrosis factor receptor superfamily member 10d decoy with truncated death domain	0.00000228
NPIP	nuclear pore complex interacting protein	0.00000229
LCOR	ligand dependent nuclear receptor corepressor	0.00000229
MAGI2	membrane associated guanylate kinase WW and PDZ domain containing 2	0.00000242
PHF14	PHD finger protein 14	0.00000247
ANXA2	annexin A2	0.00000266
STEAP2	six transmembrane epithelial antigen of the prostate 2	0.00000283
UBE2Q1	ubiquitin-conjugating enzyme E2Q (putative) 1	0.00000287
NPIP	nuclear pore complex interacting protein	0.00000289
BCR	breakpoint cluster region	0.00000291
DKFZp547E087	hypothetical gene LOC283846	0.00000309
FLJ20323	hypothetical protein FLJ20323	0.00000314
TRIM16L	tripartite motif-containing 16-like	0.00000315
PRIC285	peroxisomal proliferator-activated receptor A interacting complex 285	0.0000032
SEMA3F	sema domain immunoglobulin domain (Ig) short basic domain secreted (semaphorin) 3F	0.00000325
RRAS2	related RAS viral (r-ras) oncogene homolog 2	0.00000341
TIMM23	translocase of inner mitochondrial membrane 23 homolog (yeast)	0.00000344
PCTK2	PCTAIRE protein kinase 2	0.00000357
KIF13B	kinesin family member 13B	0.00000363
RHOF	ras homolog gene family member F (in filopodia)	0.0000037
LIG1	ligase I DNA ATP-dependent	0.0000038
LOC643244	similar to radixin	0.00000387
NMT2	N-myristoyltransferase 2	0.00000406
TMEM185A	transmembrane protein 185A	0.00000441
INPP5A	inositol polyphosphate-5-phosphatase 40kDa	0.00000446
CLIP4	CAP-GLY domain containing linker protein family member 4	0.00000463
SMG1	PI-3-kinase-related kinase SMG-1	0.00000476
RAB4B	RAB4B member RAS oncogene family	0.00000482
DOCK9	dedicator of cytokinesis 9	0.00000488
ICA1	islet cell autoantigen 1 69kDa	0.0000049
NCK1	NCK adaptor protein 1	0.00000561
FCGRT	Fc fragment of IgG receptor transporter alpha	0.00000562
PSMD8	proteasome (prosome macropain) 26S subunit non-ATPase 8	0.00000564
IBRDC1	IBR domain containing 1	0.00000566
LOC286297	hypothetical protein LOC286297	0.00000575
ITPR2	inositol 1 4 5-triphosphate receptor type 2	0.00000575
ZNF787	zinc finger protein 787	0.00000585
NQO1	NAD(P)H dehydrogenase quinone 1	0.00000589
DGKQ	diacylglycerol kinase theta 110kDa	0.00000603
BBX	bobby sox homolog (Drosophila)	0.00000613
RBM3	RNA binding motif (RNP1 RRM) protein 3	0.00000621
SLC44A5	solute carrier family 44 member 5	0.00000633
PPIA	peptidylprolyl isomerase A (cyclophilin A)	0.00000647
MC5R	melanocortin 5 receptor	0.00000656
KCNIP2	Kv channel interacting protein 2	0.00000667
RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	0.00000674
MLSTD1	male sterility domain containing 1	0.00000717
TIAM2	T-cell lymphoma invasion and metastasis 2	0.00000737
RGPD5	RANBP2-like and GRIP domain containing 5	0.00000742
RABEP2	rabaptin RAB GTPase binding effector protein 2	0.00000795
GATAD2B	GATA zinc finger domain containing 2B	0.00000802
HSPH1	heat shock 105kDa/110kDa protein 1	0.00000813
C7orf10	chromosome 7 open reading frame 10	0.00000847
NFATC3	nuclear factor of activated T-cells cytoplasmic calcineurin-dependent 3	0.00000872
FAM18B	family with sequence similarity 18 member B	0.00000884
TMEM175	transmembrane protein 175	0.00000912
PTPRB	protein tyrosine phosphatase receptor type B	0.00000916
HPS1	Hermansky-Pudlak syndrome 1	0.00000917
UNC119	unc-119 homolog (C. elegans)	0.00000936
PGCP	plasma glutamate carboxypeptidase	0.00000947
UHRF2	ubiquitin-like containing PHD and RING finger domains 2	0.00001
AP2A2	adaptor-related protein complex 2 alpha 2 subunit	0.00001
TANC1	tetratricopeptide repeat ankyrin repeat and coiled-coil containing 1	0.0000101
41530	septin 13	0.0000103
UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog yeast)	0.0000104
MEF2A	myocyte enhancer factor 2A	0.0000104
TRPC1	transient receptor potential cation channel subfamily C member 1	0.0000109
ADARB1	adenosine deaminase RNA-specific B1 (RED1 homolog rat)	0.0000109
WDR27	WD repeat domain 27	0.0000109
EIF2C2	eukaryotic translation initiation factor 2C 2	0.0000111
TDRD7	tudor domain containing 7	0.0000113
DNAJC5	DnaJ (Hsp40) homolog subfamily C member 5	0.0000116
ATP2A2	ATPase Ca++ transporting cardiac muscle slow twitch 2	0.0000119
NELF	nasal embryonic LHRH factor	0.0000119
ZDHHC14	zinc finger DHHC-type containing 14	0.0000124
ANKFY1	ankyrin repeat and FYVE domain containing 1	0.0000126
PPAP2C	phosphatidic acid phosphatase type 2C	0.0000133
WIPI2	WD repeat domain phosphoinositide interacting 2	0.0000134
SLC38A6	solute carrier family 38 member 6	0.0000135
ARNTL	aryl hydrocarbon receptor nuclear translocator-like	0.0000136
RB1	retinoblastoma 1 (including osteosarcoma)	0.0000138
GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	0.000014
PLAC8L1	PLAC8-like 1	0.0000147
CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	0.0000159
WHDC1	WAS protein homology region 2 domain containing 1	0.000016
COPB1	coatomer protein complex subunit beta 1	0.0000161
KIAA1370	KIAA1370	0.0000166
RMND5A	required for meiotic nuclear division 5 homolog A (S. cerevisiae)	0.0000174
SNORD89	small nucleolar RNA C/D box 89	0.0000182
HNRPLL	heterogeneous nuclear ribonucleoprotein L-like	0.0000188
ATXN10	ataxin 10	0.00002
DGKI	diacylglycerol kinase iota	0.0000203
RPS19	ribosomal protein S19	0.0000207
NAV3	neuron navigator 3	0.0000208
PRKCA	protein kinase C alpha	0.0000213
PARVA	parvin alpha	0.0000217
FAS	Fas (TNF receptor superfamily member 6)	0.0000219
FER1L3	fer-1-like 3 myoferlin (C. elegans)	0.0000221
PARP14	poly (ADP-ribose) polymerase family member 14	0.0000225
PDE2A	phosphodiesterase 2A cGMP-stimulated	0.0000229
EPB41L5	erythrocyte membrane protein band 4.1 like 5	0.0000236
NLRC5	NLR family CARD domain containing 5	0.0000242
MOV10	Mov10 Moloney leukemia virus 10 homolog (mouse)	0.0000242
PTPRA	protein tyrosine phosphatase receptor type A	0.0000242
SCRN1	secernin 1	0.0000247
ARHGAP15	Rho GTPase activating protein 15	0.0000256
CD68	CD68 molecule	0.0000266
MICAL3	microtubule associated monoxygenase calponin and LIM domain containing 3	0.0000267
SPTLC1	serine palmitoyltransferase long chain base subunit 1	0.0000272
ZMIZ2	zinc finger MIZ-type containing 2	0.0000289
TM9SF3	transmembrane 9 superfamily member 3	0.0000294
C15orf51	chromosome 15 open reading frame 51	0.0000298
SCMH1	sex comb on midleg homolog 1 (Drosophila)	0.00003
GCAT	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	0.0000306
SIPA1L3	signal-induced proliferation-associated 1 like 3	0.0000308
OPTN	optineurin	0.0000316
TJAP1	tight junction associated protein 1 (peripheral)	0.0000318
AMY2A	amylase alpha 2A (pancreatic)	0.000032
SIPA1	signal-induced proliferation-associated gene 1	0.0000321
RNPS1	RNA binding protein S1 serine-rich domain	0.0000327
LOC595101	PI-3-kinase-related kinase SMG-1 pseudogene	0.0000332
LOC641765	similar to General transcription factor II-I repeat domain-containing protein 1	0.0000362
FLJ35220	hypothetical protein FLJ35220	0.0000364
MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	0.0000367
CARS	cysteinyl-tRNA synthetase	0.0000378
NBPF9	neuroblastoma breakpoint family member 9	0.0000384
SNHG3-RCC1	regulator of chromosome condensation 1	0.0000394
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	0.0000398
ST3GAL3	ST3 beta-galactoside alpha-2 3-sialyltransferase 3	0.0000404
EXOSC6	exosome component 6	0.0000405
WWC2	WW and C2 domain containing 2	0.0000409
LTBP1	latent transforming growth factor beta binding protein 1	0.0000414
EIF3S3	eukaryotic translation initiation factor 3 subunit 3 gamma 40kDa	0.0000433
JAG1	jagged 1 (Alagille syndrome)	0.0000437
SLC44A1	solute carrier family 44 member 1	0.0000447
BMPR1B	bone morphogenetic protein receptor type IB	0.0000474
ITFG2	integrin alpha FG-GAP repeat containing 2	0.0000476
IL20RB	interleukin 20 receptor beta	0.0000482
SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	0.0000488
VWF	von Willebrand factor	0.0000488
WDR37	WD repeat domain 37	0.0000491
NSUN4	NOL1/NOP2/Sun domain family member 4	0.0000511
YPEL5	yippee-like 5 (Drosophila)	0.0000515
NAG8	nasopharyngeal carcinoma associated gene protein-8	0.0000521
RAB33B	RAB33B member RAS oncogene family	0.0000535
PEA15	phosphoprotein enriched in astrocytes 15	0.0000541
TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	0.0000548
PLXNA2	plexin A2	0.000056
RFX3	regulatory factor X 3 (influences HLA class II expression)	0.000057
PPFIBP1	PTPRF interacting protein binding protein 1 (liprin beta 1)	0.000057
MYO1D	myosin ID	0.0000572
OR7E156P	olfactory receptor family 7 subfamily E member 156 pseudogene	0.0000602
STX3	syntaxin 3	0.0000607
TRAFD1	TRAF-type zinc finger domain containing 1	0.0000609
C19orf54	chromosome 19 open reading frame 54	0.0000634
MRPL46	mitochondrial ribosomal protein L46	0.0000635
PLOD2	procollagen-lysine 2-oxoglutarate 5-dioxygenase 2	0.000064
IL4R	interleukin 4 receptor	0.0000642
RSAD2	radical S-adenosyl methionine domain containing 2	0.0000646
SLC7A2	solute carrier family 7 (cationic amino acid transporter y+ system) member 2	0.0000652
CLN3	ceroid-lipofuscinosis neuronal 3 juvenile (Batten Spielmeyer-Vogt disease)	0.0000653
RFWD2	ring finger and WD repeat domain 2	0.0000657
SORBS2	sorbin and SH3 domain containing 2	0.0000661
NR1H2	nuclear receptor subfamily 1 group H member 2	0.0000673
FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	0.0000685
NFYA	nuclear transcription factor Y alpha	0.0000701
APBB2	amyloid beta (A4) precursor protein-binding family B member 2 (Fe65-like)	0.0000706
USP25	ubiquitin specific peptidase 25	0.0000716
RNF213	ring finger protein 213	0.0000718
C10orf61	chromosome 10 open reading frame 61	0.0000718
PARP6	poly (ADP-ribose) polymerase family member 6	0.0000721
CTGLF10P	centaurin gamma-like family member 10 pseudogene	0.0000755
PFKP	phosphofructokinase platelet	0.0000755
CTGLF10P	centaurin gamma-like family member 10 pseudogene	0.0000763
DPYD	dihydropyrimidine dehydrogenase	0.0000775
FGFR3	fibroblast growth factor receptor 3 (achondroplasia thanatophoric dwarfism)	0.000079
IRAK1BP1	interleukin-1 receptor-associated kinase 1 binding protein 1	0.0000805
C13orf16	chromosome 13 open reading frame 16	0.0000828
MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	0.0000831
SAT1	spermidine/spermine N1-acetyltransferase 1	0.0000844
UTRN	utrophin	0.0000859
THOC1	THO complex 1	0.0000878
PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)	0.0000884
CDKL1	cyclin-dependent kinase-like 1 (CDC2-related kinase)	0.0000885
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	0.0000889
GPRASP2	G protein-coupled receptor associated sorting protein 2	0.000089
C19orf25	chromosome 19 open reading frame 25	0.0000919
JARID1A	jumonji AT rich interactive domain 1A	0.0000921
DCBLD2	discoidin CUB and LCCL domain containing 2	0.0000926
TCEB2	transcription elongation factor B (SIII) polypeptide 2 (18kDa elongin B)	0.0000931
CTGLF10P	centaurin gamma-like family member 10 pseudogene	0.0000933
CALML6	calmodulin-like 6	0.0000941
TFB2M	transcription factor B2 mitochondrial	0.0000951
LOC148189	hypothetical protein LOC148189	0.0000977
RAB7L1	RAB7 member RAS oncogene family-like 1	0.0000988
IFT140	intraflagellar transport 140 homolog (Chlamydomonas)	0.000101
TUBA1B	tubulin alpha 1b	0.000103
LOC595101	PI-3-kinase-related kinase SMG-1 pseudogene	0.000105
GSTM2	glutathione S-transferase M2 (muscle)	0.000108
LIMS1	LIM and senescent cell antigen-like domains 1	0.000109
BCL6B	B-cell CLL/lymphoma 6 member B (zinc finger protein)	0.000109
QRICH2	glutamine rich 2	0.00011
DDEF1	development and differentiation enhancing factor 1	0.00011
KTN1	kinectin 1 (kinesin receptor)	0.000111
RPL24	ribosomal protein L24	0.000111
TBC1D1	TBC1 (tre-2/USP6 BUB2 cdc16) domain family member 1	0.000112
ARRDC1	arrestin domain containing 1	0.000112
GABBR1	gamma-aminobutyric acid (GABA) B receptor 1	0.000113
AFG3L2	AFG3 ATPase family gene 3-like 2 (yeast)	0.000114
HEATR5B	HEAT repeat containing 5B	0.000116
TSPAN9	tetraspanin 9	0.000117
ARMCX6	armadillo repeat containing X-linked 6	0.000117
C20orf152	chromosome 20 open reading frame 152	0.000118
QKI	quaking homolog KH domain RNA binding (mouse)	0.000118
FLJ40142	FLJ40142 protein	0.00012
CRAT	carnitine acetyltransferase	0.000121
LOC51136	PTD016 protein	0.000121
PPIE	peptidylprolyl isomerase E (cyclophilin E)	0.000122
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	0.000122
SKAP2	src kinase associated phosphoprotein 2	0.000124
RBM4B	RNA binding motif protein 4B	0.000129
MAEA	macrophage erythroblast attacher	0.000129
LOC400214	hypothetical gene supported by BX248296	0.000131
SCAP	SREBF chaperone	0.000131
EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1 RH-linked)	0.000131
SLC35D2	solute carrier family 35 member D2	0.000134
THRAP2	thyroid hormone receptor associated protein 2	0.000134
ACTBL1	actin beta-like 1	0.000135
DAPK2	death-associated protein kinase 2	0.000142
STK24	serine/threonine kinase 24 (STE20 homolog yeast)	0.000143
FNTA	farnesyltransferase CAAX box alpha	0.000143
DNM2	dynamin 2	0.000145
PCBP2	poly(rC) binding protein 2	0.000145
NPAS2	neuronal PAS domain protein 2	0.000148
LASS6	LAG1 homolog ceramide synthase 6 (S. cerevisiae)	0.000149
MAML2	mastermind-like 2 (Drosophila)	0.00015
RPS29	ribosomal protein S29	0.000153
STAT1	signal transducer and activator of transcription 1 91kDa	0.000154
UBE2I	ubiquitin-conjugating enzyme E2I (UBC9 homolog yeast)	0.000155
WDFY1	WD repeat and FYVE domain containing 1	0.000158
C14orf159	chromosome 14 open reading frame 159	0.000158
DHTKD1	dehydrogenase E1 and transketolase domain containing 1	0.00016
ZNF432	zinc finger protein 432	0.000162
SP2	Sp2 transcription factor	0.000162
GNB2L1	guanine nucleotide binding protein (G protein) beta polypeptide 2-like 1	0.000165
INTS6	integrator complex subunit 6	0.000166
FAM129A	family with sequence similarity 129 member A	0.000166
SREBF1	sterol regulatory element binding transcription factor 1	0.00017
RBM17	RNA binding motif protein 17	0.00017
FAM92A1	family with sequence similarity 92 member A1	0.00017
CSTF2	cleavage stimulation factor 3 pre-RNA subunit 2 64kDa	0.00017
RGPD5	RANBP2-like and GRIP domain containing 5	0.000172
WDR78	WD repeat domain 78	0.000174
GPBAR1	G protein-coupled bile acid receptor 1	0.000175
TTLL5	tubulin tyrosine ligase-like family member 5	0.000176
C3orf23	chromosome 3 open reading frame 23	0.000178
SNRPN	small nuclear ribonucleoprotein polypeptide N	0.00018
LOC128977	hypothetical protein LOC128977	0.00018
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	0.000181
CSDA	cold shock domain protein A	0.000184
SFRS2IP	splicing factor arginine/serine-rich 2 interacting protein	0.000186
CUL3	cullin 3	0.000186
C10orf76	chromosome 10 open reading frame 76	0.00019
FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.000192
UBL3	ubiquitin-like 3	0.000192
DSCAM	Down syndrome cell adhesion molecule	0.000194
ERBB2IP	erbb2 interacting protein	0.000195
TRIM36	tripartite motif-containing 36	0.000195
FZD3	frizzled homolog 3 (Drosophila)	0.000197
TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	0.000198
CLINT1	clathrin interactor 1	0.000199
