Probe ID	Unigene	Gene symbol	Gene description
1416120_at	Hs.226390	RRM2	Ribonucleotide reductase M2 polypeptide
1422864_at	Hs.149261	RUNX1	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)
1420824_at	Hs.655281	SEMA4D	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
1434972_x_at	Hs.68714	SFRS1	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)
1417623_at	Hs.162585	SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2
1418326_at	Hs.513797	SLC7A5	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
1422771_at	Hs.153863	SMAD6	SMAD family member 6
1424206_at	Hs.589489	SMARCA5	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 5
1452422_a_at	Hs.280378	SNRPB2	Small nuclear ribonucleoprotein polypeptide B
1419156_at	Hs.643910	SOX4	SRY (sex determining region Y)-box 4
1433502_s_at	Hs.388170	SRR	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
1415849_s_at	Hs.693592	STMN1	Stathmin 1/oncoprotein 18
1450743_s_at	Hs.571177	SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein
1423601_s_at	Hs.519672	TCOF1	Treacher Collins-Franceschetti syndrome 1
1416358_at	Hs.632581	TETRAN	Tetracycline transporter-like protein (TETRAN)
1434317_s_at	Hs.494648	TEX10	Testis expressed sequence 10
1426397_at	Hs.82028	TGFBR2	Transforming growth factor, beta receptor II
1424641_a_at	Hs.654460	THOC1	THO complex 1
1427318_s_at	Hs.500572	FER1L3	Fer-1-like 3, myoferlin (C. elegans)
1449041_a_at	Hs.534360	TRIP6	Thyroid hormone receptor interactor 6
1437906_x_at	Hs.114412	TXNL1	Thioredoxin-like 1
1422842_at	Hs.255932	XRN2	5?-3? exoribonuclease 2
1448363_at	Hs.503692	YAP1	Yes-associated protein 1
1427208_at	Hs.485628	ZNF451	Zinc finger protein 451
1416757_at	Hs.21331	ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)
