Probe set	Gene symbol	Gene description	P-value	FDR	CHEK2 / non-CHEK2GM (ratio)
214163_at			0.00028	0.075	1.5 / 0.8 (1.8)
214605_x_at	GPR1	G protein-coupled receptor 1	0.00030	0.075	1.5 / 0.9 (1.6)
221768_at	SFPQ	Splicing factor proline / glutamine-rich	0.00030	0.075	1.3 / 0.9 (1.4)
210425_x_at	GOLGA8B	Golgi autoantigen, golgin subfamily a, 8B	0.00030	0.075	1.5 / 0.8 (1.8)
227154_at	IGSF21	Immunoglobin superfamily, member 21	0.00031	0.075	0.5 / 1.2 (0.4)
222018_at	NACA	Nascent-polypeptide-associated complex  alpha polypeptide	0.00031	0.075	1.4 / 0.8 (1.7)
240594_at	CDYL	Chromodomain protein, Y-like	0.00032	0.075	1.3 / 0.9 (1.4)
241402_at	TSEN54	tRNA splicing endonuclease 54 homolog  (S. cerevisiae)	0.00034	0.078	1.6 / 0.9 (1.7)
235315_at	TSC22D1	TSC22 domain family, member 1	0.00034	0.078	1.5 / 0.9 (1.6)
222040_at	HNRPA1	Heterogeneous nuclear ribonucleoprotein  A1	0.00036	0.078	1.3 / 0.8 (1.6)
209403_at	TBC1D3	LOC 653380 / 653498	0.00036	0.078	1.7 / 0.8 (2.1)
236314_at		Transcribed locus, weakly similar to  NP_055301.1 AD7c-NTP	0.00038	0.081	1.3 / 0.8 (1.6)
226316_at		cDNA clone IMAGE:5295896	0.00042	0.084	1.4 / 0.8 (1.7)
205933_at	SETBP1	SET binding protein 1	0.00043	0.084	0.8 / 1.2 (0.6)
211497_x_at	NKX3-1	NK3 transcription factor related, locus 1  (Drosophila)	0.00043	0.084	0.7 / 1.1 (0.6)
211599_x_at	MET	MET proto-oncogene (HGFR)	0.00043	0.084	0.7 / 1.2 (0.5)
227350_at	HELLS	Helicase, lymphoid-specific	0.00044	0.084	1.4 / 0.8 (1.7)
218750_at	JOSD3	Josephin domain containing 3	0.00044	0.084	1.4 / 0.8 (1.7)
1555920_at	CBX3	Chromobox homolog 3  (HP1 gamma homolog, Drosophila)	0.00045	0.084	1.4 / 0.8 (1.7)
231697_s_at	TMEM49	Transmembrane protein 49	0.00047	0.088	1.4 / 0.8 (1.7)
214683_s_at	CLK1	CDC-like kinase 1	0.00049	0.090	1.4 / 0.8 (1.7)
218990_s_at	SPRR3	Small proline-rich protein 3	0.00053	0.094	1.4 / 0.9 (1.5)
227168_at	FLJ25967	Hypothetical gene supported by AK098833	0.00053	0.094	1.6 / 0.8 (2.0)
229437_at	BIC	BIC transcript	0.00055	0.095	1.5 / 0.8 (1.8)
218922_s_at	LASS4	LAG1 longevity assurance homolog 4  (S. cerevisiae)	0.00065	0.111	0.7 / 1.1 (0.6)
216407_at	VAC14	Vac14 homolog (S. cerevisiae)	0.00066	0.111	0.7 / 1.1 (0.6)
228387_at		cDNA DKFZp686B0610	0.00075	0.123	1.4 / 0.9 (1.5)
228111_s_at	DNAH1	Dynein, axonemal, heavy polypeptide 1	0.00075	0.123	1.4 / 0.9 (1.5)
227971_at	NRK	Nik related kinase	0.00076	0.123	1.8 / 0.8 (2.2)
201295_s_at	WSB1	WD repeat and SOCS box-containing 1	0.00088	0.138	1.4 / 0.9  (1.5)
232090_at	DNM3	Dynamin 3	0.00088	0.138	1.5 / 0.8 (1.8)
217593_at	ZNF447	Zinc finger protein 447	0.00091	0.141	1.5 / 0.9 (1.6)
