Gene description	Common abbreviation	Accession no.	Ratio, —/— to +/+	Intensity EKLF—/—	EKLF+/+	Function	Expression
SMC2 structural maintenance of chromosomes 2-like 1	Smc2l1; CAP	AK017747	0.27	411	1 500	Transcription factors and other nuclear proteins	Downregulated genes
Homeo box B3		X66177	0.278	586	2 156	Transcription factors and other nuclear proteins	Downregulated genes
Zinc finger protein 297; Bing 1	Zfp297, Bing1	NM_020625	0.284	1 000	3 516	Transcription factors and other nuclear proteins	Downregulated genes
CBFA2T1, ETO, MTG8	Cbfa2t1h, Eto	NM_009822	0.319	126	381	Transcription factors and other nuclear proteins	Downregulated genes
Zinc finger protein 1, Y-linked	Zfy1	NM_009570	0.329	180	451	Transcription factors and other nuclear proteins	Downregulated genes
Retinoic acid receptor, alpha	Rara, RARalpha	X56570	0.33	434	1 059	Transcription factors and other nuclear proteins	Downregulated genes
Zinc finger protein 162	Zfp162	NM_011750	0.335	159	446	Transcription factors and other nuclear proteins	Downregulated genes
Zinc finger and BTB domain containing 7	Zbtb7; Pokemon	AK018596	0.349	1 662	4 817	Transcription factors and other nuclear proteins	Downregulated genes
Kruppel-like factor 3	Klf3	NM_008453	0.38	389	910	Transcription factors and other nuclear proteins	Downregulated genes
Btebp1; Kruppel-like factor 9	Bteb1; Klf9	NM_010638	0.474	250	540	Transcription factors and other nuclear proteins	Downregulated genes
LIM domain only 2	Lmo2	NM_008505	0.483	4 807	9 776	Transcription factors and other nuclear proteins	Downregulated genes
GLI-Kruppel family member GLI3	Gli3	NM_008130	0.51	362	690	Transcription factors and other nuclear proteins	Downregulated genes
Hemogen	Hemgn	AF269248	0.539	7 947	15 065	Transcription factors and other nuclear proteins	Downregulated genes
TBP-associated factor 140	TAF140	AJ292189	0.539	818.5	1 359	Transcription factors and other nuclear proteins	Downregulated genes
RIKEN cDNA 1190001M18 - EST	1190001M18Ri	AK004435	0.0594	128	1 522	Others	Downregulated genes
RIKEN cDNA 4930518C09 gene	4930518C09Rik	AK015822	0.0762	119	836	Others	Downregulated genes
Keratin complex 1, acidic, gene 15	Krt1-15	NM_008469	0.0457	149	1 858	Others	Downregulated genes
Reelin	Reln	U72343	0.0458	100	3 690	Others	Downregulated genes
Sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1	Spock1	NM_009262	0.0503	56	632	Others	Downregulated genes
Chaperonin subunit 6b (zeta)	Cct6b	NM_009839	0.0578	66	505	Others	Downregulated genes
IL-3; interleukin-3	IL3	S59969	0.081	268	3 479	Others	Downregulated genes
RIKEN cDNA 1700011M02 gene	1700011M02Ri	AK005877	0.0831	300	2 917	Others	Downregulated genes
Male wolffian duct clone: 6720484C15	6720484C15Rik	AK020173	0.0845	419	4 694	Others	Downregulated genes
RIKEN cDNA 4933401L05 gene	4933401L05Rik	AK016606	0.0918	125	1 587	Others	Downregulated genes
RIKEN cDNA 4933421O10 gene	4933421O10Ri	AK016866	0.0934	224	2 456	Others	Downregulated genes
RIKEN cDNA 3110006O06 gene	3110006O06Ri	AK014014	0.0969	207	759	Others	Downregulated genes
Tripartite motif-containing 59	Trim59	NM_025863	0.358	289	795	Others	Downregulated genes
Synuclein, alpha	Snca	NM_009221	0.395	9 863	24 559	Others	Downregulated genes
Fructosamine 3 kinase	FN3K	AJ404616	0.0746	346	4 573	Nonheme enzymes	Downregulated genes
ATPase, AAA domain containing 3A	Atad3a	AF343079	0.085	347	4 253	Nonheme enzymes	Downregulated genes
Mitochondrial gst 3	Mgst3	NM_025569	0.12	1 279	10 724	Nonheme enzymes	Downregulated genes
Pyruvate kinase	Pklr	NM_013631	0.267	308.9	1 128	Nonheme enzymes	Downregulated genes
Protein tyrosine phosphatase 4a3	Ptp4a3, Acp5	NM_008975	0.268	3 153	11 465	Nonheme enzymes	Downregulated genes
Diacylglycerol O-acyltransferase 1	Dgat1	NM_010046	0.388	1 339	3 414	Nonheme enzymes	Downregulated genes
Pyruvate carboxylase	Pcx	NM_008797	0.436	1 086	2 471	Nonheme enzymes	Downregulated genes
Ubiquitin-conjugating enzyme E2C	Ube2c	AK003722	0.461	12 446	26 672	Nonheme enzymes	Downregulated genes
Cathepsin B	Ctsb	NM_007798	0.536	752.1	1 419	Nonheme enzymes	Downregulated genes
Alpha hemoglobin-stabilizing protein	AHSP, EDRF	AF060220	0.0426	3 666	78 235	Globin and heme synthesis	Downregulated genes
beta-Globin	beta-major	AF071431	0.199	13 941	72 270	Globin and heme synthesis	Downregulated genes
Benzodiazepine receptor, peripheral	Bzrp	NM_009775	0.487	3 691	7 488	Globin and heme synthesis	Downregulated genes
Interferon-stimulated protein	Isg20	NM_020583	0.501	1 432	2 890	Globin and heme synthesis	Downregulated genes
Biliverdin reductase B	Blvrb	BC006617	0.524	15 936	29 989	Globin and heme synthesis	Downregulated genes
Protoporphyrinogen oxidase	Ppox	NM_008911	0.555	1 644	2 999	Globin and heme synthesis	Downregulated genes
Hydroxymethylbilane synthase	Hmbs, PBGD	BC003861	0.693	30 672	42 426	Globin and heme synthesis	Downregulated genes
Aminolevulinic acid synthase 2, erythroid	ALAS-E	M63244	0.711	38 138	53 271	Globin and heme synthesis	Downregulated genes
Similar to Cpo protein	Cpox	NM_007757	0.752	684		Globin and heme synthesis	Downregulated genes
Uroporphyrinogen decarboxylase	Urod	NM_009478	0.768	22 428	28 536	Globin and heme synthesis	Downregulated genes
Ferrochelatase	Fech	NM_007998	1.195	20 752	17 629	Globin and heme synthesis	Downregulated genes
Aminolevulinic acid synthase 1	ALAS-H	M63245	1.394	846.2	625	Globin and heme synthesis	Downregulated genes
Uroporphyrinogen III synthase	Uros	NM_009479	1.392	17 625	12 695	Globin and heme synthesis	Downregulated genes
Carbonic anhydrase 1	Car1	NM_009799	12.39	24 734	2 155	Globin and heme synthesis	Upregulated genes
BCL2/adenovirus E1B 19-kDa interacting protein 1, NIP3	Bnip3	NM_009760	5.834	9 525	1 678	Globin and heme synthesis	Upregulated genes
Neoplastic progression 3	Npn3; Srx; TX01	Z31362	4.732	3 036	686	Globin and heme synthesis	Upregulated genes
RIKEN cDNA 9630039A02 gene	Cntnap2	NM_025771	4.651	1 571	388	Globin and heme synthesis	Upregulated genes
Tnf receptor-associated factor 5	Traf5	NM_011633	4.464	778	367	Globin and heme synthesis	Upregulated genes
Trafficking protein particle complex 2	Trappc2	NM_025432	4.039	880	344	Globin and heme synthesis	Upregulated genes
RIKEN cDNA 3110040M04 gene	3110040M04Ri	AK014162	3.973	2 038	577	Globin and heme synthesis	Upregulated genes
Glutathione transferase zeta 1	Tmed8; Gm1184	AK018286	3.909	2 717	690	Globin and heme synthesis	Upregulated genes
Ubiquitin-conjugating enzyme E2E 1, UBC4/5 homolog	Ube2e1	NM_009455	3.842	4 706	2 774	Globin and heme synthesis	Upregulated genes
Formin homology 2 domain containing 3	Fhod3	AK020839	3.558	1 508	498	Globin and heme synthesis	Upregulated genes
RIKEN cDNA 1500010M24 gene	1500010M24Ri	AK005193	3.532	1 505	468.2	Globin and heme synthesis	Upregulated genes
Interferon, alpha-inducible protein	G1p2	NM_015783	3.444	2 849	968.3	Globin and heme synthesis	Upregulated genes
SH3 domain and nuclear localization signals, 1	Samsn1; Hacs1	AF222928	3.44	2 597	757	Globin and heme synthesis	Upregulated genes
Phosphoglycerate kinase 1	Pgk1	NM_008828	3.367	14 878	5 269	Globin and heme synthesis	Upregulated genes
ST3 beta-galactoside alpha-2,3-sialyltransferase 6	St3gal6	NM_018784	3.365	4 880	1 578	Globin and heme synthesis	Upregulated genes
G kinase anchoring protein 1	Gkap1	NM_019832	3.29	803	460	Globin and heme synthesis	Upregulated genes
Tuftelin 1	Tuft1	NM_011656	3.145	3 052	966	Globin and heme synthesis	Upregulated genes
Kruppel-like factor 6	Klf6	AF072403	2.843	736	302	Globin and heme synthesis	Upregulated genes
Retinoblastoma-like 2	Rbl2	NM_011250	2.793	812	346	Globin and heme synthesis	Upregulated genes
Musashi homolog 2 (Drosophila)	msi2	AB056103	2.775	1 205	449	Globin and heme synthesis	Upregulated genes
Annexin A6	Anxa6	NM_013472	2.622	575.2	317.8	Globin and heme synthesis	Upregulated genes
Annexin A5	Anxa5	NM_009673	2.62	6 065	2 436	Globin and heme synthesis	Upregulated genes
Phosphoglycerate mutase 1	Pgam1	AF283667	2.46	23 283	9 548	Globin and heme synthesis	Upregulated genes
