Curated Gene Symbol	Function	Symbol	Description	GeneBank	t-test
ANTXR2	Metabolism	ANTXR2	Anthrax toxin receptor 2 precursor	NM_058172.3	1.92E-05
CDA	Metabolism	CDA	Cytidine deaminase	NM_001785.2	0.005579
CTSD	Metabolism	CTSD	Cathepsin D precursor	NM_001909.3	0.028633
GOT2	Metabolism	GOT2	Aspartate aminotransferase, mitochondrial precursor	XR_016602.1	0.000258
NAA50	Metabolism	NAT13	Mak3 homolog	XR_018106.1	5.03E-06
TIGD5	Metabolism	TIGD5	Tigger transposable element-derived protein 5	NM_032862.2	0.057722
NPAS3	nervous system	NPAS3	Neuronal PAS domain-containing protein 3	NM_022123.1	0.000115
GPR98	nervous system	GPR98	G-protein coupled receptor 98 precursor	NM_032119.3	0.000239
NEUROD2	nervous system	NEUROD2	Neurogenic differentiation factor 2	NM_006160.3	2.17E-05
LAMB2	nervous system	LAMB2	Laminin subunit beta-2 precursor	NM_002292.3	0.007081
CSDE1	protein Metabolism	CSDE1	GTPase NRas precursor	NM_002524.2	0.017096
ENPP7	protein Metabolism	ENPP7	Ectonucleotide pyrophosphatase	NM_178543.3	0.000321
KIAA1147	protein Metabolism	KIAA1147	KIAA1147 (KIAA1147), mRNA	NM_001080392.1	0.000106
KIAA2013	protein Metabolism	KIAA2013	KIAA2013 (KIAA2013), mRNA	NM_138346.1	2.86E-05
KNG1	protein Metabolism	KNG1	Kininogen-1 precursor	NM_000893.2	0.002086
APOOL	protein Metabolism	APOOL	Protein FAM121A precursor	NM_198450.3	0.019311
HAT1	Protein modulation	HAT1	Histone acetyltransferase type B catalytic subunit	NM_001033085.1	0.000447
RIMS2	Protein modulation	RIMS2	Regulating synaptic membrane exocytosis protein 2	NM_014677.2	0.000572
UBL4B	Protein modulation	UBL4B	Ubiquitin-like protein 4B	NM_203412.1	2.33E-05
UBA7	Protein modulation	UBE1L	Ubiquitin-activating enzyme E1 homolog	NM_003335.2	0.021531
USP54	Protein modulation	USP54	ubiquitin specific protease 54	NM_152586.2	0.005541
RNPEP	Protein synthesis	RNPEP	Aminopeptidase B	NM_020216.3	0.0218
SIK2	PTMs	SNF1LK2	Serine/threonine-protein kinase SNF1-like kinase 2	NM_015191.1	0.00037
IMP3	RNA modelling and synthesis	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	NM_018285.2	7.13E-05
SF3A2	RNA modelling and synthesis	SF3A2	Splicing factor 3A subunit 2	NM_007165.4	0.123287
CACNB3	Signal Transduction	CACNB3	Voltage-dependent L-type calcium channel subunit beta-3	NM_000725.2	0.00248
PCSK5	Signal Transduction	PCSK5	Proprotein convertase subtilisin/kexin type 5 precursor	NM_006200.2	6.62E-06
VDAC3	Signal Transduction	VDAC3	Voltage-dependent anion-selective channel protein 3	XR_019103.1	0.000231
ITGB6	Signal Transduction	ITGB6	Integrin beta-6 precursor	NM_000888.3	0.008005
METTL21B	sulphur metabolism	FAM119B	family with sequence similarity 119	NM_015433.2	0.018357
LYSMD3	Transcriptional regulation	LYSMD3	LysM and putative peptidoglycan-binding domain-containing protein 3	NM_198273.1	0.004237
FOXI1	transcriptional regulation	FOXI1	Forkhead box protein I1	NM_012188.3	1.84E-05
MYCL1	transcriptional regulation	MYCL1	L-myc-1 proto-oncogene protein	NM_001033081.1	4.97E-05
MYOD1	transcriptional regulation	MYOD1	Myoblast determination protein 1	NM_002478.4	7.25E-06
PRDM5	transcriptional regulation	PRDM5	PR domain zinc finger protein 5	NM_018699.2	1.03E-07
YBX1	Transcriptional regulation	YBX1	Nuclease sensitive element-binding protein 1	XM_001129294.1	6.12E-05
ANKHD1	Transcriptional regulation	ANKHD1	Eukaryotic translation initiation factor 4E-binding protein 3	NM_020690.4	0.041134
RUNX2	transcriptional regulation	RUNX2	Runt-related transcription factor 2	NM_001024630.2	0.064668
SUSD4	Transcriptional regulation	SUSD4	Sushi domain-containing protein 4 precursor	NM_017982.2	0.004775
CLPB	Transport	CLPB	Caseinolytic peptidase B protein homolog	NM_030813.3	0.027308
KIAA1024	Transport	K1024	UPF0258 protein KIAA1024	NM_015206.1	0.001564
NOS2	transport	NOS2A	nitric oxide synthase 2, inducible1	NM_000625	0.017057
SCGN	transport	SCGN	Secretagogin	NM_006998.3	2.00E-06
FBXO32	Transport	FBXO32	F-box only protein 32	NM_148177.1	0.043284
KANSL2	Uncharacterized	C12orf41	CDNA FLJ12670	NM_017822.2	0.001604
ENTHD2	Uncharacterized	C17orf56	CDNA FLJ31528	NM_144679.1	1.11E-06
C21orf59	Uncharacterized	C21orf59	Uncharacterized protein	NM_021254.1	0.001335
UFSP2	Uncharacterized	C4orf20	CDNA FLJ11200	NM_018359.1	0.000365
CACFD1	Uncharacterized	C9orf7	Uncharacterized protein	NM_017586.1	0.002015
C9orf91	Uncharacterized	C9orf91	C9orf91 protein	NM_153045.2	2.21E-06
CEP104	Uncharacterized	KIAA0562	glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein	NM_014704.2	5.09E-05
KLHL30	Uncharacterized	KLHL30	kelch-like 30	NM_198582.1	5.06E-06
LOC728660	Uncharacterized	LOC728660		XM_001128340.1	0.000153
PP13004	Uncharacterized	Q71MF4			7.89E-05
	Uncharacterized	Q8TCQ8	CDNA FLJ90801 fis, clone Y79AA1000207	XM_001134000.1	0.028312
LOC645261	Uncharacterized	Q8WY63	PP565		0.017959
ST8SIA6	Uncharacterized	ST8SIA6	Alpha-2,8-sialyltransferase 8F	NM_001004470.1	0.008458
FAM178A	Uncharacterized	C10orf6	Uncharacterized protein C10orf6	NM_018121.2	0.000673
C19orf77	Uncharacterized	O75264		XM_209196.5	0.01282
	Uncharacterized	Q9NW32	CDNA FLJ10346		0.038301
	Uncharacterized	S11Y	Putative S100 calcium-binding protein	XM_001126350.1	0.002549
ST13	Vision	ST13	Hsc70-interacting protein	XR_018201.1	0.012047
DUPD1	Vision	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1	NM_001003892.1	4.50E-06
OR6P1	Vision	OR6P1	Olfactory receptor 6P1		1.78E-05
ARSH	Vision	ARSH	arylsulfatase H	NM_001011719.1	0.002229
OR51F2	Vision	OR51F2	Olfactory receptor 51F2	NM_001004753.1	0.018938
OR7G3	Vision	OR7G3	Olfactory receptor 7G3	NM_001001958.1	0.077667
