Gene	Genbank account no.	Assay no.	Gene Function
GJA1	NM_000165.2	Hs00748445_s1	Cell adhesion
CDH1	NM_004360.2	Hs00170423_m1	Cell adhesion
FN1	NM_212474.1	Hs00365058_m1	Cell adhesion
ITGB1	NM_033666.1	Hs00559595_m1	Cell adhesion
MAP2K1	NM_002755.2	Hs00605615_mH	Signal transduction
MAPK1	NM_138957.2	Hs00177066_m1	Signal transduction
MAPK3	NM_002746.2	Hs00385075_m1	Signal transduction
MAPK8	NM_139046.1	Hs00177083_m1	Signal transduction
WNT1	NM_005430.2	Hs00180529_m1	Signal transduction
BCR	NM_004327.3	Hs00244716_m1	Signal transduction
CTNNA1	NM_001903.2	Hs00426996_m1	Signal transduction
CTNNB1	NM_001904.2	Hs00170025_m1	Signal transduction
F3	NM_001993.2	Hs00175225_m1	Signal transduction
FZD1	NM_003505.1	Hs00268943_s1	Signal transduction
CHUK	NM_001278.3	Hs00989502_m1	Signal transduction
GPR177	NM_024911.4	Hs00227727_m1	Signal transduction
MTMR11	U78557.1	Hs00198609_m1	Signal transduction
OVCA2	NM_080822.2	Hs00365563_g1	Signal transduction
PDGFRB	NM_002609.3	Hs00182163_m1	Signal transduction
PIK3CA	NM_006218.2	Hs00180679_m1	Signal transduction
PTEN	NM_000314.4	Hs00829813_s1	Signal transduction
RHOD	NM_014578.2	Hs00205854_m1	Signal transduction
SFN	NM_006142.3	Hs00602835_s1	Signal transduction
TXNIP	NM_006472.1	Hs00197750_m1	Signal transduction
FKBP1A	NM_054014.1	Hs00356621_g1	Signal transduction
GBP1	NM_002053.1	Hs00266717_m1	Signal transduction
IGF1R	NM_000875.2	Hs00181385_m1	Signal transduction
INSR	NM_000208.1	Hs00169631_m1	Signal transduction
ITGAE	NM_002208.3	Hs00559580_m1	Signal transduction
NTRK2	NM_006180.3	Hs00178811_m1	Signal transduction
S100A10	NM_002966.2	Hs00237010_m1	Signal transduction
CLU	NM_203339.1	Hs00156548_m1	Immune response
CCL2	NM_002982.3	Hs00234140_m1	Immune response
IL6	NM_000600.1	Hs00174131_m1	Immune response
CYP1A2	NM_000761.3	Hs00167927_m1	Metabolism - Phase I reaction
CYP2A13;CYP2A6;CYP2A7	NM_000762.4	Hs00711162_s1	Metabolism - Phase I reaction
CYP2B6	NM_000767.4	Hs00167937_g1	Metabolism - Phase I reaction
CYP2C19;CYP2C8	NM_000770.3	Hs00426387_m1	Metabolism - Phase I reaction
CYP2C8	M17398.1	Hs00258314_m1	Metabolism - Phase I reaction
CYP2C9	NM_000771.2	Hs00426397_m1	Metabolism - Phase I reaction
CYP2D6	NM_000106.4	Hs00164385_m1	Metabolism - Phase I reaction
CYP2E1	NM_000773.3	Hs00559368_m1	Metabolism - Phase I reaction
CYP3A4	NM_017460.3	Hs00604506_m1	Metabolism - Phase I reaction
CYP3A5	NM_000777.2	Hs00241417_m1	Metabolism - Phase I reaction
AHR	NM_001621.3	Hs00907314_m1	Metabolism - Phase I reaction
AKR1C1;AKR1C2	NM_001353.5	Hs00413886_m1	Metabolism - Phase I reaction
GPX1	NM_201397.1	Hs00829989_gH	Metabolism - Phase II reaction
GPX2	NM_002083.2	Hs00702173_s1	Metabolism - Phase II reaction
GPX3	NM_002084.3	Hs00173566_m1	Metabolism - Phase II reaction
GPX4	NM_002085.3	Hs00157812_m1	Metabolism - Phase II reaction
GSK3B	NM_002093.2	Hs00275656_m1	Metabolism - Phase II reaction
GSR	NM_000637.2	Hs00167317_m1	Metabolism - Phase II reaction
GSS	NM_000178.2	Hs00609286_m1	Metabolism - Phase II reaction
GSTA1	NM_145740.2	Hs00275575_m1	Metabolism - Phase II reaction
GSTA2	NM_000846.3	Hs00747232_mH	Metabolism - Phase II reaction
GSTA3	NM_000847.3	Hs00374175_m1	Metabolism - Phase II reaction
GSTA4	NM_001512.2	Hs00155308_m1	Metabolism - Phase II reaction
GSTA5	NM_153699.1	Hs00604085_m1	Metabolism - Phase II reaction
GSTK1	NM_015917.1	Hs00210861_m1	Metabolism - Phase II reaction
GSTM2	NM_000848.2	Hs00265266_g1	Metabolism - Phase II reaction
GSTM3	NM_000849.3	Hs00168307_m1	Metabolism - Phase II reaction
GSTM4	NM_000850.3	Hs00426432_m1	Metabolism - Phase II reaction
GSTM5	NM_000851.2	Hs00757076_m1	Metabolism - Phase II reaction
GSTO1	NM_004832.1	Hs00818731_m1	Metabolism - Phase II reaction
GSTP1	NM_000852.2	Hs00168310_m1	Metabolism - Phase II reaction
GSTT1	NM_000853.1	Hs00184475_m1	Metabolism - Phase II reaction
GSTT2	NM_000854.2	Hs00168315_m1	Metabolism - Phase II reaction
GSTZ1	NM_145870.1	Hs00155313_m1	Metabolism - Phase II reaction
GGT1	NM_005265.2	Hs00359124_g1	Metabolism - Phase II reaction
GLO1	NM_006708.1	Hs00198702_m1	Metabolism - Phase II reaction
HAGH	NM_005326.4	Hs00193422_m1	Metabolism - Phase II reaction
ASAH1	NM_177924.1	Hs00602774_m1	Metabolism - Phase II reaction
ASAH2	NM_019893.1	Hs00184096_m1	Metabolism - Phase II reaction
ASAH3	NM_133492.1	Hs00370322_m1	Metabolism - Phase II reaction
SGPP1	NM_030791.2	Hs00229266_m1	Metabolism - Phase II reaction
ATOX1	NM_004045.3	Hs00602773_m1	Metabolism - Phase II reaction
CCT8	NM_006585.2	Hs00607229_mH	Metabolism - Phase II reaction
COX7A2	NM_001865.2	Hs01652418_m1	Metabolism - Phase II reaction
DHFR	NM_000791.3	Hs00758822_s1	Metabolism - Phase II reaction
GART	NM_175085.1	Hs00531926_m1	Metabolism - Phase II reaction
PDK1	NM_002610.3	Hs00176853_m1	Metabolism - Phase II reaction
PSMA3	NM_152132.1	Hs00541061_m1	Metabolism - Phase II reaction
STARD4	NM_139164.1	Hs00287823_m1	Metabolism - Phase II reaction
TXN	X77584.1	Hs00828652_m1	Metabolism - Phase II reaction
UGCG	NM_003358.1	Hs00234293_m1	Metabolism - Phase II reaction
UBL5	NM_024292.3	Hs00430663_g1	Metabolism - Phase II reaction
UGT1A8; UBT1A7;	NM_019075.2	Hs00166592_m1	Metabolism - Phase II reaction
UGT1A6; UGT1A5;			Metabolism - Phase II reaction
UGT1A9; UGT1A4;			Metabolism - Phase II reaction
UGT1A1; UGT1A3			Metabolism - Phase II reaction
STAT1	NM_007315.2	Hs00234829_m1	Transcription factors
STAT3	NM_213662.1	Hs00374280_m1	Transcription factors
STAT5A	NM_003152.2	Hs00559643_m1	Transcription factors
STAT5B	NM_012448.3	Hs00560035_m1	Transcription factors
SP1	NM_138473.2	Hs00412720_m1	Transcription factors
TCEAL4	BC012296.1	Hs00227513_m1	Transcription factors
E2F1	NM_005225.1	Hs00153451_m1	Transcription factors
NFKB1	NM_003998.2	Hs00765730_m1	Transcription factors
NFKBIA	NM_020529.1	Hs00153283_m1	Transcription factors
NR1H2	NM_007121.3	Hs00173195_m1	Transcription factors
NR1H3	NM_005693.1	Hs00172885_m1	Transcription factors
NR1H4	NM_005123.1	Hs00231968_m1	Transcription factors
NR1I2	NM_033013.1	Hs00243666_m1	Transcription factors
NR1I3	NM_005122.2	Hs00231959_m1	Transcription factors
RXRB	NM_021976.3	Hs00232774_m1	Transcription factors
HIF1A	NM_181054.1	Hs00936368_m1	Transcription factors
KLF1	NM_006563.2	Hs00610592_m1	Transcription factors
RPL13A	NM_012423.2	Hs01926559_g1	Translation
RPL36	NM_015414.3	Hs00762481_s1	Translation
RPL41	NM_021104.1	Hs00606029_g1	Translation
NOLA2	NM_017838.3	Hs00750357_s1	Translation
VEGF	NM_003376.4	Hs00900054_m1	Growth Factor
TGFA	NM_003236.1	Hs00177401_m1	Growth Factor
TGFB1	NM_000660.3	Hs99999918_m1	Growth Factor
EGFR	NM_005228.3	Hs00193306_m1	Growth Factor
HSF1	NM_005526.1	Hs00232134_m1	Heat shock proteins
HSP90AA1	NM_005348.2	Hs00743767_sH	Heat shock proteins
HSPA5	NM_005347.2	Hs99999174_m1	Heat shock proteins
HSPB1	NM_001540.2	Hs00356629_g1	Heat shock proteins
HSPD1	NM_199440.1	Hs01941522_u1	Heat shock proteins
HSPE1	NM_002157.1	Hs01654720_g1	Heat shock proteins
HSPH1	NM_006644.2	Hs00971475_m1	Heat shock proteins
MMP2	NM_004530.2	Hs00234422_m1	Extracellular matrix
MMP9	NM_004994.2	Hs00234579_m1	Extracellular matrix
TIMP1	NM_003254.2	Hs00171558_m1	Extracellular matrix
ABL1	NM_005157.3	Hs00245445_m1	Oncogenes
AKT1	NM_005163.2	Hs00178289_m1	Oncogenes
JUN	NM_002228.3	Hs00277190_s1	Oncogenes
KIT	NM_000222.1	Hs00174029_m1	Oncogenes
NRAS	NM_002524.2	Hs00180035_m1	Oncogenes
RAF1	NM_002880.2	Hs00234119_m1	Oncogenes
MYC	NM_002467.3	Hs00153408_m1	Oncogenes
MDM2	NM_002392.2	Hs00234753_m1	Oncogenes
RELA	NM_021975.2	Hs00153294_m1	Oncogenes
FOS	NM_005252.2	Hs00170630_m1	Oncogenes
ERBB2	NM_004448.2	Hs00170433_m1	Oncogenes
ETS1	NM_005238.2	Hs00428287_m1	Oncogenes
SRC	NM_198291.1	Hs00178494_m1	Oncogenes
APC	NM_000038.3	Hs00181051_m1	Tumor suppressors
TP53	NM_000546.2	Hs00153349_m1	Tumor suppressors
TP53BP2	NM_005426.2	Hs00610488_m1	Tumor suppressors
TP73	NM_005427.1	Hs00232088_m1	Tumor suppressors
RB1	NM_000321.2	Hs00153108_m1	Tumor suppressors
BRCA1	NM_007294.2	Hs00173237_m1	Tumor suppressors
BRCA2	NM_000059.2	Hs00609060_m1	Tumor suppressors
DAPK1	NM_004938.2	Hs00234489_m1	Tumor suppressors
ATR	NM_001184.2	Hs00169878_m1	Cell cycle checkpoints
ATM	NM_138292.3	Hs00175892_m1	Cell cycle checkpoints
CHEK1	NM_001274.2	Hs00176236_m1	Cell cycle checkpoints
CHEK2	NM_145862.2	Hs00200485_m1	Cell cycle checkpoints
HUS1	NM_004507.2	Hs00189595_m1	Cell cycle checkpoints
RAD1	NM_133377.2	Hs00421891_g1	Cell cycle checkpoints
RAD17	NM_133338.1	Hs00607830_m1	Cell cycle checkpoints
CCND1	NM_053056.2	Hs00277039_m1	Cell Cycle
CDK4	NM_000075.2	Hs00364847_m1	Cell Cycle
CDKN1A	NM_078467.1	Hs00355782_m1	Cell Cycle
CDKN1B	NM_004064.2	Hs00153277_m1	Cell Cycle
CDKN2A	NM_058195.2	Hs00233365_m1	Cell Cycle
AURKA	NM_003600.2	Hs00269212_m1	Cell Cycle
CCNE1	NM_001238.1	Hs00233356_m1	Cell Cycle
CCNH	NM_001239.2	Hs00236923_m1	Cell Cycle
CDC40	NM_015891.2	Hs00210705_m1	Cell Cycle
CDC42	NM_001791.3	Hs00854939_g1	Cell Cycle
CDK2	NM_052827.1	Hs00608082_m1	Cell Cycle
CDK7	NM_001799.2	Hs00387062_m1	Cell Cycle
MKI67	NM_002417.3	Hs00606991_m1	Cell Cycle
MNAT1	NM_002431.2	Hs00159207_m1	Cell Cycle
CIAPIN1	NM_020313.2	Hs00220419_m1	Apoptosis
FADD	NM_003824.2	Hs00538709_m1	Apoptosis
FAS	NM_152871.1	Hs00236330_m1	Apoptosis
FASLG	NM_000639.1	Hs00181225_m1	Apoptosis
APAF1	NM_181861.1	Hs00559441_m1	Apoptosis
BAD	NM_032989.1	Hs00188930_m1	Apoptosis
BAX	NM_138761.2	Hs00180269_m1	Apoptosis
BCL2	NM_000633.2	Hs00608023_m1	Apoptosis
CASP3	NM_032991.2	Hs00234387_m1	Apoptosis
CASP8	NM_033355.2	Hs01018151_m1	Apoptosis
CASP9	NM_032996.1	Hs00609640_m1	Apoptosis
TRADD	NM_003789.3	Hs00182558_m1	Apoptosis
TNF	NM_000594.2	Hs00174128_m1	Apoptosis
TNFRSF10A	NM_003844.2	Hs00269492_m1	Apoptosis
TNFSF10	NM_003810.2	Hs00234356_m1	Apoptosis
TRAF1	NM_005658.3	Hs00194639_m1	Apoptosis
BAG1	NM_004323.3	Hs00185390_m1	Apoptosis
BAG3	NM_004281.3	Hs00188713_m1	Apoptosis
BAG4	NM_004874.2	Hs00362193_m1	Apoptosis
BID	NM_197966.1	Hs00609632_m1	Apoptosis
BCL2A1	NM_004049.2	Hs00187845_m1	Apoptosis
BCL2L1	NM_138578.1	Hs00236329_m1	Apoptosis
BIRC2	NM_001166.3	Hs00357350_m1	Apoptosis
BIRC3	NM_182962.1	Hs00154109_m1	Apoptosis
BIRC4	NM_001167.2	Hs00236913_m1	Apoptosis
BIRC5	NM_001168.2	Hs00153353_m1	Apoptosis
BIRC6	NM_016252.2	Hs00212288_m1	Apoptosis
BNIP3	NM_004052.2	Hs00969291_m1	Apoptosis
BNIP3L	NM_004331.2	Hs00188949_m1	Apoptosis
DIABLO	NM_138930.2	Hs00219876_m1	Apoptosis
MCL1	NM_021960.3	Hs00172036_m1	Apoptosis
BAK1	NM_001188.3	Hs00832876_g1	Apoptosis
CFLAR	NM_003879.3	Hs00153439_m1	Apoptosis
PDCD8	NM_145812.1	Hs00377585_m1	Apoptosis
MT1A	NM_005946.2	Hs00831826_s1	Metallothioneins
MT1B	NM_005947.1	Hs00538861_m1	Metallothioneins
MT1F	NM_005949.1	Hs00744661_sH	Metallothioneins
MT1H	NM_005951.1	Hs00823168_g1	Metallothioneins
MT1X	NM_005952.2	Hs00745167_sH	Metallothioneins
MT2A	NM_005953.2	Hs02379661_g1	Metallothioneins
MT3	NM_005954.2	Hs00359394_g1	Metallothioneins
MT4	NM_032935.2	Hs00262914_m1	Metallothioneins
CLPTM1L	NM_030782.2	Hs00363947_m1	Cisplatin resistance
CROP	NM_006107.2	Hs00212659_m1	Cisplatin resistance
MVP	NM_017458.2	Hs00245438_m1	Cisplatin resistance
ERCC1	NM_001983.2	Hs00157415_m1	Multidrug resistance protein
ERCC2	NM_000400.2	Hs00361161_m1	Multidrug resistance protein
ERCC3	NM_000122.1	Hs00164475_m1	Nucleotide excision repair
ERCC4	NM_005236.1	Hs00193342_m1	Nucleotide excision repair
ERCC5	NM_000123.2	Hs00164482_m1	Nucleotide excision repair
ERCC6	NM_000124.1	Hs00164491_m1	Nucleotide excision repair
ERCC8	NM_000082.2	Hs00163958_m1	Nucleotide excision repair
RAD23A	NM_005053.2	Hs00192541_m1	Nucleotide excision repair
RAD23B	NM_002874.3	Hs00234102_m1	Nucleotide excision repair
XPA	NM_000380.2	Hs00166045_m1	Nucleotide excision repair
XPC	NM_004628.3	Hs00190295_m1	Nucleotide excision repair
MBD4	NM_003925.1	Hs00187498_m1	Base-excision repair
APEX1	NM_080648.1	Hs00172396_m1	Base-excision repair
APEX2	NM_014481.2	Hs00205565_m1	Base-excision repair
PARP2	NM_005484.3	Hs00193931_m1	Base-excision repair
POLB	NM_002690.1	Hs00160263_m1	Base-excision repair
MUTYH	NM_012222.2	Hs00276113_m1	Base-excision repair
OGG1	NM_016819.2	Hs00213454_m1	Base-excision repair
MLH1	NM_000249.2	Hs00179866_m1	Mismatch excision repair
MLH3	NM_014381.2	Hs00271778_m1	Mismatch excision repair
MSH2	NM_000251.1	Hs00179887_m1	Mismatch excision repair
MSH3	NM_002439.2	Hs00267239_m1	Mismatch excision repair
MSH6	NM_000179.1	Hs00264721_m1	Mismatch excision repair
MRE11A	NM_005590.3	Hs00271551_m1	Double-strand break repair
RAD50	NM_133482.1	Hs00194871_m1	Double-strand break repair
XRCC1	NM_006297.1	Hs00959834_m1	Double-strand break repair
XRCC2	NM_005431.1	Hs00538799_m1	Double-strand break repair
XRCC3	NM_005432.2	Hs00193725_m1	Double-strand break repair
XRCC4	NM_022406.1	Hs00243327_m1	Double-strand break repair
XRCC5	NM_021141.2	Hs00221707_m1	Double-strand break repair
XRCC6	NM_001469.3	Hs01922652_g1	Double-strand break repair
SEPX1	NM_016332.2	Hs00249482_m1	Protein repair
PARP1	NM_001618.2	Hs00242302_m1	Miscellaneous DNA repair
TOP1	NM_003286.2	Hs00243257_m1	Miscellaneous DNA repair
TOP2A	NM_001067.2	Hs00172214_m1	Miscellaneous DNA repair
TOP2B	NM_001068.2	Hs00172259_m1	Miscellaneous DNA repair
RAD18	NM_020165.2	Hs00220119_m1	Miscellaneous DNA repair
RAD51	NM_133487.1	Hs00153418_m1	Miscellaneous DNA repair
LIG4	NM_206937.1	Hs00172455_m1	Miscellaneous DNA repair
MGMT	NM_002412.2	Hs00172470_m1	Miscellaneous DNA repair
POLH	NM_006502.1	Hs00197814_m1	Miscellaneous DNA repair
POLI	NM_007195.1	Hs00200488_m1	Miscellaneous DNA repair
POLK	NM_016218.1	Hs00211963_m1	Miscellaneous DNA repair
18S	NR_003286	Hs99999901_s1	Housekeeping genes
ACTB	NM_001101.2	Hs99999903_m1	Housekeeping genes
C8orf33	NM_023080.1	Hs00535769_m1	Function unknown
EHBP1	NM_015252.2	Hs00324154_m1	Function unknown
LAMP1	NM_005561.3	Hs00174766_m1	Function unknown
LAMP2	NM_013995.1	Hs00174474_m1	Function unknown
TMEM109; MGC5508	NM_024092.1	Hs00225418_m1	Function unknown
TPRKB	NM_016058.1	Hs00274981_m1	Function unknown
UNQ501;MGC3205	NM_198536.1	Hs00414441_m1	Function unknown
UQCRQ	NM_014402.4	Hs00429571_g1	Function unknown
SIRT1	NM_012238.3	Hs00202021_m1	Function unknown
SIRT2	NM_030593.1	Hs00247263_m1	Function unknown
SIRT3	NM_012239.4	Hs00202030_m1	Function unknown
SIRT4	NM_012240.1	Hs00202033_m1	Function unknown
SIRT5	NM_012241.2	Hs00202043_m1	Function unknown
SIRT6	NM_016539.1	Hs00213036_m1	Function unknown
SIRT7	NM_016538.1	Hs00213029_m1	Function unknown
LBR	NM_194442.1	Hs00172444_m1	Function unknown
