Gene	Log2 of fold-change	Description	Gene bank accession number	Function
Fhl1	-1	Four and a half LIM domains 1	U41739	Transcription
Tcf4	-1	Transcription factor 4	U16322	Transcription
Sox-3	3	SRY-box containing gene 3	X94125	Transcription
Set	2.3	SET translocation	AI854006	Transcription
Mef2c	1.4	Myocite-specific enhancer factor 2Ct	AI595996	Transcription
Idb3	1.2	Inhibitor of DNA binding 3	M60523	Transcription
Cbx3	1.2	Chromobox homolog 3	AI849356	Transcription
Mad4	1.1	Max dimerization protein 4	U32395	Transcription
Brn-1	1.1	Brain-1 class III POU-domain protein	M88299	Transcription
Ebf3	1.1	Olf-1 . EBF-like-2(9 L) transcription factor	U92702	Transcription
Cebpb	1	CCAAT . enhancer binding protein (C . EBP), beta	M61007	Transcription
Nfia	1	NFI-B protein nuclear factor I . A	D90174	Transcription
Hnrpa1	1	Alternative splicing modulators hnRNP A1	U65316	Transcription
Sox3	1	SRY-box containing gene 3	AA866668	Transcription
Thrap3	1	Thyroid hormone receptor-associated protein	AI172920	Transcription
En2	-1.8	Engrailed 2	Y00203	Development
Sox11	-1.7	SRY-box containing gene 11	AW107922	Development
Zic1	-1.4	Zinc finger protein of the cerebellum 1	D32167	Development
Sox11	-1.4	SRY-box containing gene 11	AF009414	Development
Notch1	-1.3	Notch gene homolog 1	AV374287	Development
Pten	-1.1	Phosphatase and tensin homolog	U92437	Development
Fhl1	-1	Four and a half LIM domains 1	U41739	Development
Sox-3	3	SRY-box containing gene 3	X94125	Development
Idb3 , Id3	1.2	Inhibitor of DNA binding 3	M60523	Development
Brn-1	1.1	Brain-1 class III POU-domain protein	M88299	Development
Ebf3	1.1	Olf-1 . EBF-like-2(9 L) transcription factor	U92702	Development
Sox3	1	SRY-box containing gene 3	AA866668	Development
Cebpb	1	CCAAT . enhancer binding protein (C . EBP), beta	M61007	Development
Gn6st-1	-2	Carbohydrate sulfotransferase 2	AW121776	Cell motility
Anxa3	-1.6	Annexin A3	AJ001633	Cell motility
Dmd	-1.1	Dystrophin, muscular dystrophy	U56724	Cell motility
Acta2	2	Actin-alpha 2	X13297	Cell motility
RhoA	1.6	Ras homolog gene family, member A	AI846668	Cell motility
Myh9	1.5	Myosin heavy chain IX	AI505453	Cell motility
Actr2 , Arp2	1.5	ARP2 actin-related protein 2 homolog	AA791742	Cell motility
Lasp1	1.4	LIM and SH3 protein 1	U58882	Cell motility
Actr2 , Arp2	1.3	ARP2 actin-related protein 2 homolog	AW214159	Cell motility
Pfn1	1.2	Profilin 1	X14425	Cell motility
Pfdn2	1.1	Prefoldin 2	Y17393	Cell motility
Sema4b	-1.8	Semaphorin 4B	AA266467	Neural
Narg1-pending	-1.2	NMDA receptor-regulated gene 1	AW260482	Neural
Cadps	-1	Ca2 + dependent activator protein for secretion	D86214	Neural
Bbp	-1	Beta-amyloid binding protein precursor	AI854293	Neural
Ntn1	2.5	Netrin-1	U65418	Neural
Dlgh4	1.1	Discs large homolog 4	D50621	Neural
Mtap2 , Map2	1	Mouse microtubule-associated protein 2	M21041	Neural
Pqbp1	1	Poly glutamine tract-binding protein 1	AJ250406	Neural
Ddx6	-1.7	DEAD box polypeptide 6	AF038995	Proliferation
Dhx36	-1.5	DEAH box polypeptide 36	AV299153	Proliferation
Ddx6	-1.5	DEAD box polypeptide 6	AF038995	Proliferation
SASH1	-1	SAM and SH3 domain containing 1	AI837786	Proliferation
Lats2	-1	Large tumour suppressor 2	AI849416	Proliferation
Brd4	-1	bromodomain containing 4	AI854614	Proliferation
Ndr2	1.4	N-myc downstream regulated 2	AB033921	Proliferation
JunB	1.1	Jun . B oncogene	U20735	Proliferation
Mgst1	-1.1	Microsomal glutathione S-transferase 1	AW124337	Stress
Mgst3	1	Microsomal glutathione S-transferase 3	AI843448	Stress
Sod1	1	Cu-Zn superoxide dismutase	M35725	Stress
Peg3	-1.2	Paternally expressed 3	AF038939	Apoptosis
Phlda1 , TDAG51	-1.2	Pleckstrin homology-like domain, family A, member 1	U44088	Apoptosis
Ddx3y , Dby	-5.8	DEAD box polypeptide 3	AJ007376	Enzymes
Xrn1	-2.3	5Åë-3Åë exoribonuclease 1	X91617	Enzymes
Sc5d	-1.5	Sterol-C5-desaturase	AB016248	Enzymes
Rnf149	-1.2	Goliath-related E3 ubiquitin ligase 4	AI849082	Enzymes
Ndfip2	-1.2	Nedd4 family interacting protein 2	AI840981	Enzymes
Prkdc	-1	DNA-dependent protein kinase	AI551087	Enzymes
Adprhl2	1.6	ADP-ribosylhydrolase like 2	AI842849	Enzymes
AYP1	1.1	RNase H1 small subunit	AI852184	Enzymes
Uqcr	1.1	Ubiquinol-cytochrome c reductase subunit	AI853523	Enzymes
Uchl1	1.1	Ubiquitin carboxy-terminal hydrolase L1	AB025313	Enzymes
G6pdx	1.1	Glucose-6-phosphate dehydrogenase X-linked	Z84471	Enzymes
Pcsk1n	1	Proprotein convertase subtilisin . kexin type 1 inhibitor	AI841733	Enzymes
Pcm1	-1.4	Pericentriolar material 1	AF039021	Not classified
ZRANB1	-1.3	Zinc finger, RAN-binding domain containing 1	AA981257	Not classified
Smarcc1	-1.3	SWI . SNF related matrix associated actin dependent regulator of chromatin c1	U85614	Not classified
Ap1gbp1	-1.2	AP1 gamma subunit binding protein 1	AW122059	Not classified
Epb4,1l4a	-1.2	Erythrocyte protein band 4.1-like 4a	AV308245	Not classified
Sh3bp3	-1.2	SH3-domain binding protein 3	AW048037	Not classified
Zfp125	-1.2	Zinc finger protein 125	AJ005350	Not classified
KNTC2	-1.1	kinetochore associated 2	AI595322	Not classified
Tnpo3	-1.1	transportin 3	AW123553	Not classified
A2m	-1.1	Alpha-2-macroglobulin	AI850558	Not classified
Dnr12	-1.1	Diabetic nephropathy-related gene 1	AA816121	Not classified
Nfkbia	-1.1	Nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	AI642048	Not classified
Golph4	-1	Golgi phosphoprotein 4	AI931876	Not classified
Psmd12	-1	Proteasome 26S subunit, non-ATPase, 12	AI838669	Not classified
Rbx1	-1	Ring-box 1	AW122337	Not classified
Ssb	-1	Sjogren syndrome antigen B	L00993	Not classified
IAP	-1	Type IIB intracisternal A-particle element encoding integrase and gag	X16672	Not classified
Mtf2	-1	Metal response element binding transcription factor 2	S78454	Not classified
Xist	3.3	Inactive X specific transcripts	L04961	Not classified
Snrpd3	1.9	Small nuclear ribonucleoproteinSM D3	AA796831	Not classified
Nr2f2	1.5	Nuclear receptor subfamily 2, group F, member 2	X76653	Not classified
Rn18s	1.4	18S rRNA	X00686	Not classified
Bat2	1.4	HLA-B associated transcript 2	AW050268	Not classified
Pmf1	1.3	Polyamine-modulated factor 1	AW060657	Not classified
NVL	1.3	Nuclear VCP-like protein	AI325802	Not classified
Slc39a1	1.2	Solute carrier family 39	AA606878	Not classified
Hnrpl	1.1	Heterogeneous nuclear ribonucleoprotein L	AB009392	Not classified
Snd1-pending	1.1	Staphylococcal nuclease domain containing 1	AB021491	Not classified
Rps25	1.1	Ribosomal protein S25	AI835709	Not classified
Gga1	1.1	Golgi associated, gamma adaptin ear containing, ARF binding protein 1	AW125311	Not classified
EDR	1.1	Erythroid differentiation regulator	AI153421	Not classified
Pcp4l1	1	Purkinje cell protein 4-like	AI841858	Not classified
Ap2a2	1	Adaptor-related protein complex 2 alpha 2	AW122807	Not classified
MUSMLVPB	1	Endogenous murine leukaemia virus modified polytropic provirus DNA	M17327	Not classified
Ftl1	1	Ferritin l-subunit	L39879	Not classified
Rab8b	1	Member RAS oncogene family	AA864065	Not classified
Rangap1	1	RAN GTPase activating protein 1	U20857	Not classified
