# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001080437|NM_001080437	hgnc_symbol|SNED1|SNED1
refseq_dna|NM_144715|NM_144715	hgnc_symbol|EFHB|EFHB
refseq_dna|NM_001003954|NM_001003954	hgnc_symbol|ANXA13|ANXA13
refseq_dna|NM_004867|NM_004867	hgnc_symbol|ITM2A|ITM2A
refseq_dna|NM_153360|NM_153360	hgnc_symbol|APCDD1L|APCDD1L
refseq_dna|NM_080860|NM_080860	hgnc_symbol|RSPH1|RSPH1
refseq_dna|NM_004543|NM_004543	hgnc_symbol|NEB|NEB
entrezgene|AL831839|163486	hgnc_symbol|DENND1B|DENND1B
refseq_dna|NM_001076680|NM_001076680	hgnc_symbol|C17orf108|C17orf108
refseq_dna|NM_001136105|NM_001136105	hgnc_symbol|C11orf93|C11orf93
entrezgene|AY358202|100131943	hgnc_symbol|UNQ1944|UNQ1944
entrezgene|CR749576|163259	hgnc_symbol|DENND2C|DENND2C
refseq_dna|NM_053279|NM_053279	hgnc_symbol|FAM167A|FAM167A
refseq_dna|NM_001002758|NM_001002758	hgnc_symbol|PRY2|PRY2
refseq_dna|NM_207429|NM_207429	hgnc_symbol|C11orf92|C11orf92
embl|AL833005|AL833005	hgnc_symbol|N/A|N/A
refseq_dna|NM_016606|NM_016606	hgnc_symbol|REEP2|REEP2
entrezgene|BC042947|201229	hgnc_symbol|C17orf108|C17orf108
entrezgene|AK023574|30061	hgnc_symbol|N/A|N/A
refseq_dna|NM_152764|NM_152764	hgnc_symbol|C16orf73|C16orf73
embl|AJ412029|AJ412029	hgnc_symbol|N/A|N/A
embl|AL834280|AL834280	hgnc_symbol|N/A|N/A
embl|AK055981|AK055981	hgnc_symbol|N/A|N/A
refseq_dna|NM_000990|NM_000990	hgnc_symbol|RPL27A|RPL27A
embl|AX748211|AX748211	hgnc_symbol|N/A|N/A
