AffyID	Gene Title	Gene Symbol	Alignments	Length
201051_at	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	ANP32A	chr15:66857927-66900297 (-)	42370
200965_s_at	actin binding LIM protein 1	ABLIM1	chr10:116180861-116276575 (-)	95714
210461_s_at	actin binding LIM protein 1	ABLIM1	chr10:116185209-116276584 (-)	91375
207988_s_at	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	chr2:218790364-218827076 (+)	36712
208679_s_at	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	chr2:218798887-218822829 (+)	23942
208736_at	actin related protein 2/3 complex, subunit 3, 21kDa	ARPC3	chr1:209682238-209682973 (+)	735
211963_s_at	actin related protein 2/3 complex, subunit 5, 16kDa	ARPC5	chr1:181861960-181871643 (-)	9683
201550_x_at	actin, gamma 1	ACTG1	chr17:77091593-77094422 (-)	2829
211970_x_at	actin, gamma 1	ACTG1	chr17:77091591-77092077 (-)	486
211983_x_at	actin, gamma 1	ACTG1	chr17:77091591-77092724 (-)	1133
211995_x_at	actin, gamma 1	ACTG1	chr1:27524413-27525621 (+)	1208
212363_x_at	actin, gamma 1	ACTG1	chr17:77091591-77092879 (-)	1288
212988_x_at	actin, gamma 1	ACTG1	chr17:77091591-77092673 (-)	1082
221607_x_at	actin, gamma 1	ACTG1	chr17:77091593-77094376 (-)	2783
222230_s_at	actin-related protein 10 homolog (S. cerevisiae)	ACTR10	chr14:57744420-57771272 (+)	26852
201952_at	activated leukocyte cell adhesion molecule	ALCAM	chr3:106568811-106778436 (+)	209625
212815_at	activating signal cointegrator 1 complex subunit 3	ASCC3	chr6:101062793-101360450 (-)	297657
200058_s_at	activating signal cointegrator 1 complex subunit 3-like 1	ASCC3L1	chr17:60176983-60178172 (+)	1189
212984_at	activating transcription factor 2	ATF2	chr2:175645232-175647141 (-)	1909
202672_s_at	activating transcription factor 3	ATF3	chr1:210848735-210860722 (+)	11987
200779_at	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	chr22:38246514-38248631 (+)	2117
205327_s_at	activin A receptor, type IIA	ACVR2A	chr2:148319033-148401980 (+)	82947
201963_at	acyl-CoA synthetase long-chain family member 1	ACSL1	chr4:185913748-185961675 (-)	47927
207275_s_at	acyl-CoA synthetase long-chain family member 1	ACSL1	chr4:185914256-185961696 (-)	47440
201662_s_at	acyl-CoA synthetase long-chain family member 3	ACSL3	chr2:223473640-223515198 (+)	41558
221641_s_at	acyl-CoA thioesterase 9	ACOT9	chrX:23631714-23635045 (-)	3331
202324_s_at	acyl-Coenzyme A binding domain containing 3	ACBD3	chr1:224399004-224441054 (-)	42050
209600_s_at	acyl-Coenzyme A oxidase 1, palmitoyl	ACOX1	chr17:71453495-71486796 (-)	33301
213501_at	acyl-Coenzyme A oxidase 1, palmitoyl	ACOX1	chr17:71452942-71486809 (-)	33867
201818_at	acyltransferase like 2	AYTL2	chr5:1514543-1534092 (-)	19549
202381_at	ADAM metallopeptidase domain 9 (meltrin gamma)	ADAM9	chr8:38973661-39081677 (+)	108016
222162_s_at	ADAM metallopeptidase with thrombospondin type 1 motif, 1	ADAMTS1	chr21:27130603-27135901 (-)	5298
213974_at	ADAMTS-like 3	ADAMTSL3	chr15:82383674-82499594 (+)	115920
212234_at	additional sex combs like 1 (Drosophila)	ASXL1	chr20:30481397-30490782 (+)	9385
212237_at	additional sex combs like 1 (Drosophila)	ASXL1	chr20:30481397-30490782 (+)	9385
214736_s_at	adducin 1 (alpha)	ADD1	chr4:2815498-2901256 (+)	85758
201034_at	adducin 3 (gamma)	ADD3	chr10:111884294-111885442 (+)	1148
201752_s_at	adducin 3 (gamma)	ADD3	chr10:111755795-111884752 (+)	128957
201753_s_at	adducin 3 (gamma)	ADD3	chr10:111850370-111884078 (+)	33708
205882_x_at	adducin 3 (gamma)	ADD3	chr10:111826752-111884078 (+)	57326
203865_s_at	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	ADARB1	chr21:45318942-45470902 (+)	151960
204119_s_at	adenosine kinase	ADK	chr10:75606543-76138247 (+)	531704
212814_at	adenosylhomocysteinase 3	KIAA0828	chr7:128652119-128857287 (+)	205168
215672_s_at	adenosylhomocysteinase 3	KIAA0828	chr7:128795249-128854288 (+)	59039
201196_s_at	adenosylmethionine decarboxylase 1	AMD1	chr6:111302752-111322064 (+)	19312
201197_at	adenosylmethionine decarboxylase 1	AMD1	chr6:111302680-111323599 (+)	20919
208967_s_at	adenylate kinase 2	AK2	chr1:33251232-33275049 (-)	23817
212174_at	adenylate kinase 2	AK2	chr1:33244877-33249661 (-)	4784
202144_s_at	adenylosuccinate lyase	ADSL	chr22:39072508-39092697 (+)	20189
203322_at	ADNP homeobox 2	ADNP2	chr18:75968145-75999220 (+)	31075
220980_s_at	ADP-dependent glucokinase	ADPGK	chr15:70830762-70835661 (-)	4899
208750_s_at	ADP-ribosylation factor 1	ARF1	chr1:226336983-226353533 (+)	16550
211622_s_at	ADP-ribosylation factor 3	ARF3	chr12:47618908-47637508 (-)	18600
201096_s_at	ADP-ribosylation factor 4	ARF4	chr3:57532129-57558118 (-)	25989
202956_at	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	ARFGEF1	chr8:68272465-68418217 (-)	145752
218098_at	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	ARFGEF2	chr20:46971833-47086636 (+)	114803
214483_s_at	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	ARFIP1	chr4:153920564-154050810 (+)	130246
218230_at	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	ARFIP1	chr4:153920561-154052511 (+)	131950
201659_s_at	ADP-ribosylation factor-like 1	ARL1	chr12:100313230-100325656 (-)	12426
202641_at	ADP-ribosylation factor-like 3	ARL3	chr10:104426304-104455237 (-)	28933
205020_s_at	ADP-ribosylation factor-like 4A	ARL4A	chr4:40482796-40483810 (+)	1014
217852_s_at	ADP-ribosylation factor-like 8B	ARL8B	chr3:5138976-5197599 (+)	58623
200760_s_at	ADP-ribosylation-like factor 6 interacting protein 5	ARL6IP5	chr3:69216783-69237907 (+)	21124
204184_s_at	adrenergic, beta, receptor kinase 2	ADRBK2	chr22:24290945-24449916 (+)	158971
211034_s_at	AF-1 specific protein phosphatase	FLJ30092	chr12:111082383-111089604 (-)	7221
211826_s_at	AF4/FMR2 family, member 1	AFF1	chr11:117812434-117860239 (+)	47805
217939_s_at	aftiphilin	AFTPH	chr2:64604970-64672753 (+)	67783
211986_at	AHNAK nucleoprotein	AHNAK	chr11:62039949-62050658 (-)	10709
218373_at	AKT interacting protein	AKTIP	chr5:24206073-24207829 (+)	1756
208847_s_at	alcohol dehydrogenase 5 (class III), chi polypeptide	ADH5	chr4:100212154-100228925 (-)	16771
209612_s_at	alcohol dehydrogenase IB (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1B /// ADH1C	chr4:100447559-100461541 (-)	13982
209613_s_at	alcohol dehydrogenase IB (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1B /// ADH1C	chr4:100446763-100461543 (-)	14780
212224_at	aldehyde dehydrogenase 1 family, member A1	ALDH1A1	chr9:74705406-74757791 (-)	52385
201425_at	aldehyde dehydrogenase 2 family (mitochondrial)	ALDH2	chr12:110689133-110732164 (+)	43031
202053_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	chr17:19492718-19519647 (+)	26929
202054_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	chr17:19492682-19521495 (+)	28813
210544_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	chr17:19492835-19520396 (+)	27561
204290_s_at	aldehyde dehydrogenase 6 family, member A1	ALDH6A1	chr14:73596975-73620892 (-)	23917
208951_at	aldehyde dehydrogenase 7 family, member A1	ALDH7A1	chr5:76621562-76623491 (+)	1929
201612_at	aldehyde dehydrogenase 9 family, member A1	ALDH9A1	chr1:163898076-163934724 (-)	36648
204151_x_at	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	AKR1C1	chr10:4995631-5010157 (+)	14526
216594_x_at	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	AKR1C1	chr10:4995645-5010038 (+)	14393
209699_x_at	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	AKR1C2	chr10:4995619-5010158 (+)	14539
211653_x_at	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	AKR1C2	chr10:4998103-5250786 (+)	252683
209901_x_at	allograft inflammatory factor 1	AIF1	chr6:31691061-31692679 (+)	1618
213095_x_at	allograft inflammatory factor 1	AIF1	chr6:31690963-31692773 (+)	1810
208859_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae) /// similar to transcriptional regulator ATRX isoform 1	ATRX /// LOC728849	chrX:76647009-76928358 (-)	281349
208860_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae) /// similar to transcriptional regulator ATRX isoform 1	ATRX /// LOC728849	chrX:76649332-76824879 (-)	175547
217757_at	alpha-2-macroglobulin	A2M	chr12:9111576-9159756 (-)	48180
204976_s_at	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1	AMMECR1	chrX:109326270-109448123 (-)	121853
202170_s_at	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	chr11:105453501-105472925 (+)	19424
201454_s_at	aminopeptidase puromycin sensitive	NPEPPS	chr17:42963600-43055637 (+)	92037
208701_at	Amyloid beta (A4) precursor-like protein 2	APLP2	chr11:129444995-129682190 (-)	237195
208702_x_at	amyloid beta (A4) precursor-like protein 2	APLP2	chr11:129444995-129519910 (+)	74915
208703_s_at	amyloid beta (A4) precursor-like protein 2	APLP2	chr11:129444995-129519910 (+)	74915
214875_x_at	amyloid beta (A4) precursor-like protein 2	APLP2	chr11:129484540-129519493 (+)	34953
202631_s_at	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	APPBP2	chr17:55879381-55958359 (-)	78978
202268_s_at	amyloid beta precursor protein binding protein 1	APPBP1	chr16:65394281-65422370 (-)	28089
209001_s_at	anaphase promoting complex subunit 13	ANAPC13	chr3:135679239-135687519 (-)	8280
208722_s_at	anaphase promoting complex subunit 5	ANAPC5	chr12:120230543-120274581 (-)	44038
205357_s_at	angiotensin II receptor, type 1	AGTR1	chr3:149898323-149943478 (+)	45155
208016_s_at	angiotensin II receptor, type 1	AGTR1	chr3:149941474-149942837 (+)	1363
202920_at	ankyrin 2, neuronal	ANK2	chr4:114190318-114524341 (+)	334023
202921_s_at	ankyrin 2, neuronal	ANK2	chr4:114190318-114522716 (+)	332398
206385_s_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	chr10:61458165-61819494 (-)	361329
207950_s_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	chr10:61510237-61637839 (-)	127602
209442_x_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	chr10:61459463-61570439 (-)	110976
219868_s_at	ankyrin repeat and FYVE domain containing 1	ANKFY1	chr17:4015356-4092494 (-)	77138
219081_at	ankyrin repeat and KH domain containing 1	ANKHD1	chr5:139761637-139832245 (+)	70608
208772_at	ankyrin repeat and KH domain containing 1 /// MASK-4E-BP3 alternate reading frame gene	ANKHD1 /// MASK-BP3	chr5:139844910-139899625 (+)	54715
218093_s_at	ankyrin repeat domain 10	ANKRD10	chr13:110328888-110365417 (-)	36529
212286_at	ankyrin repeat domain 12	ANKRD12	chr18:9126804-9273757 (+)	146953
212289_at	ankyrin repeat domain 12	ANKRD12	chr18:9126804-9273757 (+)	146953
218418_s_at	ankyrin repeat domain 25	ANKRD25	chr19:11135946-11137906 (-)	1960
201012_at	annexin A1	ANXA1	chr9:74956600-74975127 (+)	18527
201590_x_at	annexin A2	ANXA2	chr10:66255285-66256640 (+)	1355
210427_x_at	annexin A2	ANXA2	chr15:58426827-58477466 (-)	50639
213503_x_at	annexin A2	ANXA2	chr9:33614634-33615352 (+)	718
208816_x_at	annexin A2 pseudogene 2	ANXA2P2	chr9:33614222-33615520 (+)	1298
209369_at	annexin A3	ANXA3	chr4:79694615-79750553 (+)	55938
201301_s_at	annexin A4	ANXA4	chr2:69822727-69906278 (+)	83551
200782_at	annexin A5	ANXA5	chr4:122808597-122837626 (-)	29029
201366_at	annexin A7	ANXA7	chr10:74805209-74843814 (-)	38605
209860_s_at	annexin A7	ANXA7	chr10:74805546-74843814 (-)	38268
209173_at	anterior gradient homolog 2 (Xenopus laevis)	AGR2	chr7:16798790-16811222 (-)	12432
220092_s_at	anthrax toxin receptor 1	ANTXR1	chr2:69093992-69184068 (+)	90076
212461_at	antizyme inhibitor 1	AZIN1	chr8:103907711-103909075 (-)	1364
221087_s_at	apolipoprotein L, 3	APOL3	chr22:34866324-34886757 (-)	20433
222269_at	apolipoprotein O-like	APOOL	chr5:145356791-145358024 (+)	1233
205512_s_at	apoptosis-inducing factor, mitochondrion-associated, 1	AIFM1	chrX:129091190-129127353 (-)	36163
211554_s_at	apoptotic peptidase activating factor 1	APAF1	chr12:97566268-97650475 (+)	84207
39248_at	aquaporin 3 (Gill blood group)	AQP3	chr9:33431153-33431590 (-)	437
204174_at	arachidonate 5-lipoxygenase-activating protein	ALOX5AP	chr13:30207741-30236267 (+)	28526
201176_s_at	archain 1	ARCN1	chr11:117948357-117978823 (+)	30466
203946_s_at	arginase, type II	ARG2	chr14:67156408-67187541 (+)	31133
218631_at	arginine vasopressin-induced 1	AVPI1	chr10:99427172-99436960 (-)	9788
202301_s_at	arginine/serine-rich coiled-coil 2	RSRC2	chr12:121555225-121577479 (-)	22254
202302_s_at	arginine/serine-rich coiled-coil 2	RSRC2	chr12:121555558-121569486 (-)	13928
200940_s_at	arginine-glutamic acid dipeptide (RE) repeats	RERE	chr1:8335043-8800111 (-)	465068
201230_s_at	ariadne homolog 2 (Drosophila)	ARIH2	chr3:48935201-48997973 (+)	62772
201879_at	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	ARIH1	chr15:70553720-70665950 (+)	112230
201881_s_at	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	ARIH1	chr15:70553720-70662877 (+)	109157
218694_at	armadillo repeat containing, X-linked 1	ARMCX1	chrX:100692169-100696329 (+)	4160
200720_s_at	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	ACTR1A	chr10:104228975-104252461 (-)	23486
200721_s_at	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	ACTR1A	chr10:104228976-104252452 (-)	23476
200728_at	ARP2 actin-related protein 2 homolog (yeast)	ACTR2	chr19:20229455-20234718 (+)	5263
200729_s_at	ARP2 actin-related protein 2 homolog (yeast)	ACTR2	chr19:20229462-20233184 (+)	3722
200996_at	ARP3 actin-related protein 3 homolog (yeast)	ACTR3	chr2:114363999-114432192 (+)	68193
213101_s_at	ARP3 actin-related protein 3 homolog (yeast)	ACTR3	chr2:114364091-114432699 (+)	68608
213016_at	ARTC1 mRNA, complete sequence	---	chr3:109008545-109011917 (+)	3372
210828_s_at	aryl hydrocarbon receptor nuclear translocator	ARNT	chr1:149051088-149115722 (-)	64634
218221_at	aryl hydrocarbon receptor nuclear translocator	ARNT	chr1:149049193-149115799 (-)	66606
203427_at	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	ASF1A	chr6:119263627-119272029 (+)	8402
203428_s_at	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	ASF1A	chr6:119263627-119270662 (+)	7035
213561_at	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	ASF1A	chr6:119263627-119270685 (-)	7058
218554_s_at	ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L	chr1:153573367-153798777 (-)	225410
209517_s_at	ash2 (absent, small, or homeotic)-like (Drosophila)	ASH2L	chr8:38082214-38116216 (+)	34002
218857_s_at	asparaginase like 1	ASRGL1	chr11:61880371-61916616 (+)	36245
205047_s_at	asparagine synthetase	ASNS	chr7:97319378-97339719 (-)	20341
217987_at	asparagine synthetase domain containing 1	ASNSD1	chr2:190234390-190243800 (+)	9410
218203_at	asparagine-linked glycosylation 5 homolog (S. cerevisiae, dolichyl-phosphate beta-glucosyltransferase)	ALG5	chr13:36421976-36471584 (-)	49608
210896_s_at	aspartate beta-hydroxylase	ASPH	chr8:62700012-62764881 (-)	64869
206030_at	aspartoacylase (Canavan disease)	ASPA	chr17:3326045-3349449 (+)	23404
221135_s_at	asteroid homolog 1 (Drosophila)	ASTE1	chr3:132215410-132225989 (-)	10579
221230_s_at	AT rich interactive domain 4B (RBP1-like)	ARID4B	chr1:233396834-233557876 (-)	161042
212614_at	AT rich interactive domain 5B (MRF1-like)	ARID5B	chr10:63523437-63526706 (+)	3269
212672_at	ataxia telangiectasia mutated	ATM	chr11:107598957-107745173 (+)	146216
208442_s_at	ataxia telangiectasia mutated /// similar to Serine-protein kinase ATM (Ataxia telangiectasia mutated) (A-T, mutated)	ATM /// LOC651610	chr11:107599052-107741470 (+)	142418
203231_s_at	ataxin 1	ATXN1	chr6:16407321-16869660 (-)	462339
203232_s_at	ataxin 1	ATXN1	chr6:16407322-16869666 (-)	462344
208833_s_at	ataxin 10	ATXN10	chr22:44446415-44618530 (+)	172115
221492_s_at	ATG3 autophagy related 3 homolog (S. cerevisiae)	ATG3	chr3:113734127-113763080 (-)	28953
202511_s_at	ATG5 autophagy related 5 homolog (S. cerevisiae)	ATG5	chr6:106738977-106880361 (-)	141384
201127_s_at	ATP citrate lyase	ACLY	chr17:37276696-37328815 (-)	52119
210337_s_at	ATP citrate lyase	ACLY	chr17:37277508-37323677 (-)	46169
211755_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	ATP5F1	chr1:111793628-111805463 (+)	11835
207508_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	ATP5G3	chr2:175751118-175754608 (-)	3490
210149_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	ATP5H	chr12:67322492-67323086 (-)	594
202325_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	ATP5J	chr21:26018682-26023977 (-)	5295
207573_x_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	ATP5L	chr11:117777540-117785120 (+)	7580
208745_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	ATP5L	chr11:117777313-117785772 (+)	8459
208746_x_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	ATP5L	chr11:117777530-117785118 (+)	7588
210453_x_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	ATP5L	chr11:117777531-117785124 (+)	7593
213995_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	ATP5S	chr14:49857786-49862459 (+)	4673
213738_s_at	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	ATP5A1	chr18:41918110-41921187 (-)	3077
201322_at	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	ATP5B	chr12:55318240-55325996 (-)	7756
205711_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1	chr10:7870145-7889784 (+)	19639
208870_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1	chr10:7870111-7889761 (+)	19650
213366_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1	chr10:7884237-7889770 (+)	5533
214132_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1	chr10:7889155-7889770 (+)	615
200818_at	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)	ATP5O	chr21:34197627-34209958 (-)	12331
210192_at	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	ATP8A1	chr4:42109391-42353657 (-)	244266
212361_s_at	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	ATP2A2	chr12:109269842-109273281 (+)	3439
212135_s_at	ATPase, Ca++ transporting, plasma membrane 4	ATP2B4	chr1:201976268-201979832 (+)	3564
212136_at	ATPase, Ca++ transporting, plasma membrane 4	ATP2B4	chr1:201976268-201979832 (+)	3564
211137_s_at	ATPase, Ca++ transporting, type 2C, member 1	ATP2C1	chr3:132095711-132204682 (+)	108971
208737_at	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	ATP6V1G1	chr9:116389865-116400156 (+)	10291
208898_at	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	ATP6V1D	chr14:66874540-66896336 (-)	21796
214923_at	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	ATP6V1D	chr14:66872399-66896403 (-)	24004
201089_at	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	ATP6V1B2	chr8:20099180-20123226 (+)	24046
201171_at	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	ATP6V0E1	chr5:172343368-172394501 (-)	51133
214244_s_at	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	ATP6V0E1	chr5:172343389-172394503 (-)	51114
201442_s_at	ATPase, H+ transporting, lysosomal accessory protein 2	ATP6AP2	chrX:40325126-40350833 (-)	25707
201443_s_at	ATPase, H+ transporting, lysosomal accessory protein 2	ATP6AP2	chrX:40325159-40350830 (+)	25671
201444_s_at	ATPase, H+ transporting, lysosomal accessory protein 2	ATP6AP2	chrX:40342901-40350079 (+)	7178
220948_s_at	ATPase, Na+/K+ transporting, alpha 1 polypeptide	ATP1A1	chr1:116728157-116748917 (+)	20760
201243_s_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1	chr1:167342627-167368578 (+)	25951
208836_at	ATPase, Na+/K+ transporting, beta 3 polypeptide	ATP1B3	chr3:143078305-143127732 (+)	49427
217504_at	ATP-binding cassette, sub-family A (ABC1), member 6	ABCA6	chr17:64586437-64594473 (-)	8036
209993_at	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ABCB1	chr7:86971261-87068119 (-)	96858
202804_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	ABCC1	chr16:15950934-16144415 (+)	193481
203196_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	ABCC4	chr13:94470090-94751684 (-)	281594
208561_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	ABCC9	chr12:21845244-21980875 (-)	135631
201872_s_at	ATP-binding cassette, sub-family E (OABP), member 1 /// similar to ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	ABCE1 /// LOC647150	chr4:146222263-146270036 (+)	47773
200045_at	ATP-binding cassette, sub-family F (GCN20), member 1	ABCF1	chr6:30647155-30667067 (+)	19912
207622_s_at	ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2	chr7:150535855-150554519 (-)	18664
203454_s_at	ATX1 antioxidant protein 1 homolog (yeast)	ATOX1	chr5:151102576-151111534 (-)	8958
212599_at	autism susceptibility candidate 2	AUTS2	chr7:68702835-69895990 (+)	1193155
202686_s_at	AXL receptor tyrosine kinase	AXL	chr19:46416662-46459510 (+)	42848
212744_at	Bardet-Biedl syndrome 4	BBS4	chr15:70765602-70817870 (+)	52268
212745_s_at	Bardet-Biedl syndrome 4	BBS4	chr15:70765602-70817870 (+)	52268
201170_s_at	basic helix-loop-helix domain containing, class B, 2	BHLHB2	chr3:4996207-5001861 (+)	5654
200777_s_at	basic leucine zipper and W2 domains 1 /// similar to basic leucine zipper and W2 domains 1	BZW1 /// LOC151579	chr2:201384889-201396804 (+)	11915
208517_x_at	basic transcription factor 3	BTF3	chr5:72830248-72835985 (+)	5737
211939_x_at	basic transcription factor 3	BTF3	chr5:72830023-72837216 (+)	7193
211947_s_at	BAT2 domain containing 1	BAT2D1	chr1:169721330-169829273 (+)	107943
211948_x_at	BAT2 domain containing 1	BAT2D1	chr1:169721330-169829273 (+)	107943
203685_at	B-cell CLL/lymphoma 2	BCL2	chr18:58941558-59136910 (-)	195352
