# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000148|NM_000148	hgnc_symbol|FUT1|FUT1
refseq_dna|NM_203371|NM_203371	hgnc_symbol|LOC387758|LOC387758
refseq_dna|NM_004165|NM_004165	hgnc_symbol|RRAD|RRAD
refseq_dna|NM_013244|NM_013244	hgnc_symbol|HGNT-IV-H|HGNT-IV-H
refseq_dna|NM_024759|NM_024759	hgnc_symbol|FLJ13955|FLJ13955
refseq_dna|NM_020979|NM_020979	hgnc_symbol|APS|APS
refseq_dna|NM_016639|NM_016639	hgnc_symbol|TNFRSF12A|TNFRSF12A
refseq_dna|NM_001306|NM_001306	hgnc_symbol|CLDN3|CLDN3
refseq_dna|XM_114166|XM_114166	hgnc_symbol|LOC200230|LOC200230
refseq_dna|NM_031459|NM_031459	hgnc_symbol|SESN2|SESN2
refseq_dna|NM_001673|NM_001673	hgnc_symbol|ASNS|ASNS
refseq_dna|NM_002467|NM_002467	hgnc_symbol|MYC|MYC
refseq_dna|NM_004696|NM_004696	hgnc_symbol|SLC16A4|SLC16A4
refseq_dna|NM_153020|NM_153020	hgnc_symbol|RBM24|RBM24
refseq_dna|NM_002034|NM_002034	hgnc_symbol|FUT5|FUT5
refseq_dna|NM_213606|NM_213606	hgnc_symbol|LOC387700|LOC387700
refseq_dna|NM_001670|NM_001670	hgnc_symbol|ARVCF|ARVCF
refseq_dna|NM_030767|NM_030767	hgnc_symbol|AKNA|AKNA
refseq_dna|NM_030630|NM_030630	hgnc_symbol|C17orf28|C17orf28
refseq_dna|NM_004420|NM_004420	hgnc_symbol|DUSP8|DUSP8
embl|AK058144|AK058144	hgnc_symbol|FLJ25415|FLJ25415
refseq_dna|NM_004024|NM_004024	hgnc_symbol|ATF3|ATF3
refseq_dna|NM_002006|NM_002006	hgnc_symbol|FGF2|FGF2
refseq_dna|NM_014417|NM_014417	hgnc_symbol|BBC3|BBC3
refseq_dna|NM_145653|NM_145653	hgnc_symbol|TCEB3C|TCEB3C
refseq_dna|NM_006568|NM_006568	hgnc_symbol|CGRRF1|CGRRF1
refseq_dna|NM_005269|NM_005269	hgnc_symbol|GLI1|GLI1
refseq_dna|NM_006636|NM_006636	hgnc_symbol|MTHFD2|MTHFD2
refseq_dna|NM_003508|NM_003508	hgnc_symbol|FZD9|FZD9
refseq_dna|NM_025147|NM_025147	hgnc_symbol|FLJ13448|FLJ13448
refseq_dna|NM_003706|NM_003706	hgnc_symbol|PLA2G4C|PLA2G4C
refseq_dna|NM_018252|NM_018252	hgnc_symbol|FLJ10874|FLJ10874
refseq_dna|NM_016084|NM_016084	hgnc_symbol|RASD1|RASD1
refseq_dna|NM_014365|NM_014365	hgnc_symbol|HSPB8|HSPB8
refseq_dna|NM_021813|NM_021813	hgnc_symbol|BACH2|BACH2
entrezgene|AK075015|10568	hgnc_symbol|SLC34A2|SLC34A2
refseq_dna|NM_006424|NM_006424	hgnc_symbol|SLC34A2|SLC34A2
refseq_dna|NM_018420|NM_018420	hgnc_symbol|SLC22A15|SLC22A15
refseq_dna|NM_002394|NM_002394	hgnc_symbol|SLC3A2|SLC3A2
embl|AB007937|AB007937	hgnc_symbol|SDC3|SDC3
refseq_dna|NM_005261|NM_005261	hgnc_symbol|GEM|GEM
refseq_dna|NM_015392|NM_015392	hgnc_symbol|NPDC1|NPDC1
refseq_dna|NM_152351|NM_152351	hgnc_symbol|SLC5A10|SLC5A10
refseq_dna|NM_006934|NM_006934	hgnc_symbol|SLC6A9|SLC6A9
refseq_dna|NM_018357|NM_018357	hgnc_symbol|FLJ11196|FLJ11196
refseq_dna|NM_172212|NM_172212	hgnc_symbol|CSF1|CSF1
refseq_dna|NM_172210|NM_172210	hgnc_symbol|CSF1|CSF1
refseq_dna|NM_004417|NM_004417	hgnc_symbol|DUSP1|DUSP1
refseq_dna|NM_015589|NM_015589	hgnc_symbol|SAMD4|SAMD4
refseq_dna|NM_003246|NM_003246	hgnc_symbol|THBS1|THBS1
refseq_dna|NM_032895|NM_032895	hgnc_symbol|MGC14376|MGC14376
refseq_dna|NM_198582|NM_198582	hgnc_symbol|FLJ43374|FLJ43374
refseq_dna|NM_006182|NM_006182	hgnc_symbol|DDR2|DDR2
refseq_dna|NM_005980|NM_005980	hgnc_symbol|S100P|S100P
refseq_dna|NM_003486|NM_003486	hgnc_symbol|SLC7A5|SLC7A5
refseq_dna|NM_005101|NM_005101	hgnc_symbol|G1P2|G1P2
refseq_dna|NM_001553|NM_001553	hgnc_symbol|IGFBP7|IGFBP7
refseq_dna|NM_003714|NM_003714	hgnc_symbol|STC2|STC2
refseq_dna|NM_021158|NM_021158	hgnc_symbol|TRIB3|TRIB3
refseq_dna|NM_003038|NM_003038	hgnc_symbol|SLC1A4|SLC1A4
refseq_dna|NM_152219|NM_152219	hgnc_symbol|GJC1|GJC1
refseq_dna|NM_000447|NM_000447	hgnc_symbol|PSEN2|PSEN2
refseq_dna|NM_000916|NM_000916	hgnc_symbol|OXTR|OXTR
refseq_dna|NM_000328|NM_000328	hgnc_symbol|RPGR|RPGR
refseq_dna|NM_032621|NM_032621	hgnc_symbol|BEX2|BEX2
refseq_dna|NM_006509|NM_006509	hgnc_symbol|RELB|RELB
refseq_dna|NM_003045|NM_003045	hgnc_symbol|SLC7A1|SLC7A1
entrezgene|AL832783|89782	hgnc_symbol|LMLN|LMLN
refseq_dna|NM_033029|NM_033029	hgnc_symbol|LMLN|LMLN
refseq_dna|NM_003612|NM_003612	hgnc_symbol|SEMA7A|SEMA7A
refseq_dna|NM_004809|NM_004809	hgnc_symbol|STOML1|STOML1
refseq_dna|NM_012328|NM_012328	hgnc_symbol|DNAJB9|DNAJB9
refseq_dna|NM_004251|NM_004251	hgnc_symbol|RAB9A|RAB9A
refseq_dna|NM_002201|NM_002201	hgnc_symbol|ISG20|ISG20
refseq_dna|NM_003597|NM_003597	hgnc_symbol|KLF11|KLF11
refseq_dna|NM_024866|NM_024866	hgnc_symbol|ADM2|ADM2
refseq_dna|NM_005772|NM_005772	hgnc_symbol|RCL1|RCL1
refseq_dna|NM_133460|NM_133460	hgnc_symbol|ZNF418|ZNF418
refseq_dna|NM_005909|NM_005909	hgnc_symbol|MAP1B|MAP1B
refseq_dna|NM_002901|NM_002901	hgnc_symbol|RCN1|RCN1
refseq_dna|NM_003900|NM_003900	hgnc_symbol|SQSTM1|SQSTM1
refseq_dna|NM_152345|NM_152345	hgnc_symbol|FLJ25555|FLJ25555
refseq_dna|NM_145253|NM_145253	hgnc_symbol|LOC124402|LOC124402
refseq_dna|NM_005376|NM_005376	hgnc_symbol|MYCL1|MYCL1
refseq_dna|NM_002089|NM_002089	hgnc_symbol|CXCL2|CXCL2
refseq_dna|NM_207309|NM_207309	hgnc_symbol|UAP1L1|UAP1L1
refseq_dna|NM_004904|NM_004904	hgnc_symbol|CREB5|CREB5
refseq_dna|NM_001004431|NM_001004431	hgnc_symbol|METRNL|METRNL
entrezgene|AK125431|27245	hgnc_symbol|DJ159A19.3|DJ159A19.3
refseq_dna|NM_001001661|NM_001001661	hgnc_symbol|ZNF425|ZNF425
refseq_dna|NM_021969|NM_021969	hgnc_symbol|NR0B2|NR0B2
refseq_dna|NM_152461|NM_152461	hgnc_symbol|ERN1|ERN1
refseq_dna|NM_001433|NM_001433	hgnc_symbol|ERN1|ERN1
refseq_dna|NM_024847|NM_024847	hgnc_symbol|TMC7|TMC7
refseq_dna|NM_052946|NM_052946	hgnc_symbol|NOSTRIN|NOSTRIN
refseq_dna|NM_005835|NM_005835	hgnc_symbol|SLC17A2|SLC17A2
refseq_dna|NM_000227|NM_000227	hgnc_symbol|LAMA3|LAMA3
refseq_dna|NM_014330|NM_014330	hgnc_symbol|PPP1R15A|PPP1R15A
refseq_dna|NM_030907|NM_030907	hgnc_symbol|MGC10731|MGC10731
refseq_dna|NM_006133|NM_006133	hgnc_symbol|C11orf11|C11orf11
refseq_dna|NM_053004|NM_053004	hgnc_symbol|GNB1L|GNB1L
entrezgene|AL117478|26086	hgnc_symbol|GPSM1|GPSM1
entrezgene|BC009979|26086	hgnc_symbol|GPSM1|GPSM1
refseq_dna|NM_003023|NM_003023	hgnc_symbol|SH3BP2|SH3BP2
refseq_dna|NM_201266|NM_201266	hgnc_symbol|NRP2|NRP2
refseq_dna|NM_018534|NM_018534	hgnc_symbol|NRP2|NRP2
refseq_dna|NM_003872|NM_003872	hgnc_symbol|NRP2|NRP2
refseq_dna|NM_006042|NM_006042	hgnc_symbol|HS3ST3A1|HS3ST3A1
refseq_dna|NM_000584|NM_000584	hgnc_symbol|IL8|IL8
refseq_dna|NM_001001852|NM_001001852	hgnc_symbol|PIM3|PIM3
refseq_dna|NM_130469|NM_130469	hgnc_symbol|JDP2|JDP2
refseq_dna|NM_012385|NM_012385	hgnc_symbol|P8|P8
refseq_dna|NM_003749|NM_003749	hgnc_symbol|IRS2|IRS2
refseq_dna|NM_001200|NM_001200	hgnc_symbol|BMP2|BMP2
refseq_dna|NM_007350|NM_007350	hgnc_symbol|PHLDA1|PHLDA1
refseq_dna|NM_004811|NM_004811	hgnc_symbol|LPXN|LPXN
refseq_dna|NM_022143|NM_022143	hgnc_symbol|LRRC4|LRRC4
refseq_dna|NM_020982|NM_020982	hgnc_symbol|CLDN9|CLDN9
refseq_dna|NM_003113|NM_003113	hgnc_symbol|SP100|SP100
entrezgene|CR749288|6672	hgnc_symbol|SP100|SP100
refseq_dna|NM_152284|NM_152284	hgnc_symbol|Shax3|Shax3
refseq_dna|NM_021216|NM_021216	hgnc_symbol|ZNF71|ZNF71
refseq_dna|NM_024531|NM_024531	hgnc_symbol|GPR172A|GPR172A
refseq_dna|NM_032721|NM_032721	hgnc_symbol|TA-NFKBH|TA-NFKBH
refseq_dna|NM_005628|NM_005628	hgnc_symbol|SLC1A5|SLC1A5
refseq_dna|NM_152280|NM_152280	hgnc_symbol|SYT11|SYT11
refseq_dna|NM_003047|NM_003047	hgnc_symbol|SLC9A1|SLC9A1
refseq_dna|NM_203403|NM_203403	hgnc_symbol|C9orf150|C9orf150
refseq_dna|NM_001748|NM_001748	hgnc_symbol|CAPN2|CAPN2
refseq_dna|NM_005194|NM_005194	hgnc_symbol|CEBPB|CEBPB
refseq_dna|NM_016132|NM_016132	hgnc_symbol|MYEF2|MYEF2
refseq_dna|NM_173547|NM_173547	hgnc_symbol|TRIM65|TRIM65
refseq_dna|NM_004723|NM_004723	hgnc_symbol|ARHGEF2|ARHGEF2
refseq_dna|NM_006216|NM_006216	hgnc_symbol|SERPINE2|SERPINE2
refseq_dna|NM_006500|NM_006500	hgnc_symbol|MCAM|MCAM
refseq_dna|NM_001307|NM_001307	hgnc_symbol|CLDN7|CLDN7
refseq_dna|NM_019034|NM_019034	hgnc_symbol|RHOF|RHOF
refseq_dna|NM_175061|NM_175061	hgnc_symbol|JAZF1|JAZF1
refseq_dna|NM_015678|NM_015678	hgnc_symbol|NBEA|NBEA
refseq_dna|NM_152751|NM_152751	hgnc_symbol|C10orf30|C10orf30
refseq_dna|NM_015358|NM_015358	hgnc_symbol|ZCWCC3|ZCWCC3
refseq_dna|NM_013401|NM_013401	hgnc_symbol|RAB3IL1|RAB3IL1
refseq_dna|NM_014331|NM_014331	hgnc_symbol|SLC7A11|SLC7A11
refseq_dna|NM_004936|NM_004936	hgnc_symbol|CDKN2B|CDKN2B
refseq_dna|NM_024747|NM_024747	hgnc_symbol|HPS6|HPS6
entrezgene|CR749561|160428	hgnc_symbol|ALDH1L2|ALDH1L2
refseq_dna|NM_017665|NM_017665	hgnc_symbol|ZCCHC10|ZCCHC10
entrezgene|AK131385|54899	hgnc_symbol|PXK|PXK
refseq_dna|NM_133329|NM_133329	hgnc_symbol|KCNG3|KCNG3
refseq_dna|NM_012463|NM_012463	hgnc_symbol|ATP6V0A2|ATP6V0A2
refseq_dna|NM_015900|NM_015900	hgnc_symbol|PLA1A|PLA1A
refseq_dna|NM_138397|NM_138397	hgnc_symbol|LOC93082|LOC93082
refseq_dna|NM_013370|NM_013370	hgnc_symbol|OKL38|OKL38
refseq_dna|NM_005919|NM_005919	hgnc_symbol|MEF2B|MEF2B
refseq_dna|NM_171828|NM_171828	hgnc_symbol|KCNMB3|KCNMB3
refseq_dna|NM_005139|NM_005139	hgnc_symbol|ANXA3|ANXA3
refseq_dna|NM_005475|NM_005475	hgnc_symbol|LNK|LNK
refseq_dna|NM_052943|NM_052943	hgnc_symbol|FAM46B|FAM46B
refseq_dna|NM_002228|NM_002228	hgnc_symbol|JUN|JUN
refseq_dna|NM_004385|NM_004385	hgnc_symbol|CSPG2|CSPG2
refseq_dna|NM_002359|NM_002359	hgnc_symbol|MAFG|MAFG
refseq_dna|NM_032711|NM_032711	hgnc_symbol|MAFG|MAFG
refseq_dna|NM_002229|NM_002229	hgnc_symbol|JUNB|JUNB
refseq_dna|NM_003885|NM_003885	hgnc_symbol|CDK5R1|CDK5R1
refseq_dna|NM_007162|NM_007162	hgnc_symbol|TFEB|TFEB
refseq_dna|NM_031304|NM_031304	hgnc_symbol|MGC4293|MGC4293
refseq_dna|NM_194278|NM_194278	hgnc_symbol|C14orf43|C14orf43
refseq_dna|NM_022818|NM_022818	hgnc_symbol|MAP1LC3B|MAP1LC3B
refseq_dna|NM_175839|NM_175839	hgnc_symbol|SMOX|SMOX
refseq_dna|NM_001394|NM_001394	hgnc_symbol|DUSP4|DUSP4
refseq_dna|NM_016201|NM_016201	hgnc_symbol|AMOTL2|AMOTL2
refseq_dna|NM_016262|NM_016262	hgnc_symbol|TUBE1|TUBE1
refseq_dna|NM_014344|NM_014344	hgnc_symbol|FJX1|FJX1
entrezgene|AK001865|56605	hgnc_symbol|AK001865|AK001865
refseq_dna|NM_019891|NM_019891	hgnc_symbol|ERO1LB|ERO1LB
refseq_dna|NM_015604|NM_015604	hgnc_symbol|WDR21|WDR21
entrezgene|BC017032|9245	hgnc_symbol|GCNT3|GCNT3
refseq_dna|NM_004751|NM_004751	hgnc_symbol|GCNT3|GCNT3
refseq_dna|NM_033550|NM_033550	hgnc_symbol|TP53RK|TP53RK
refseq_dna|NM_018172|NM_018172	hgnc_symbol|FLJ10661|FLJ10661
refseq_dna|NM_002518|NM_002518	hgnc_symbol|NPAS2|NPAS2
refseq_dna|NM_013448|NM_013448	hgnc_symbol|BAZ1A|BAZ1A
refseq_dna|NM_018298|NM_018298	hgnc_symbol|MCOLN3|MCOLN3
refseq_dna|NM_001004346|NM_001004346	hgnc_symbol|MTHFD2L|MTHFD2L
embl|AB067516|AB067516	hgnc_symbol|RHPN1|RHPN1
refseq_dna|NM_052924|NM_052924	hgnc_symbol|RHPN1|RHPN1
refseq_dna|NM_001408|NM_001408	hgnc_symbol|CELSR2|CELSR2
refseq_dna|NM_024813|NM_024813	hgnc_symbol|FLJ13150|FLJ13150
refseq_dna|NM_004040|NM_004040	hgnc_symbol|RHOB|RHOB
refseq_dna|NM_001924|NM_001924	hgnc_symbol|GADD45A|GADD45A
entrezgene|AK130171|54896	hgnc_symbol|PQLC2|PQLC2
refseq_dna|NM_017765|NM_017765	hgnc_symbol|PQLC2|PQLC2
refseq_dna|NM_173607|NM_173607	hgnc_symbol|C14orf24|C14orf24
refseq_dna|NM_007269|NM_007269	hgnc_symbol|STXBP3|STXBP3
refseq_dna|NM_012324|NM_012324	hgnc_symbol|MAPK8IP2|MAPK8IP2
refseq_dna|NM_152772|NM_152772	hgnc_symbol|MGC40368|MGC40368
refseq_dna|NM_024816|NM_024816	hgnc_symbol|RABEP2|RABEP2
refseq_dna|NM_002135|NM_002135	hgnc_symbol|NR4A1|NR4A1
refseq_dna|NM_001511|NM_001511	hgnc_symbol|CXCL1|CXCL1
refseq_dna|NM_178549|NM_178549	hgnc_symbol|MGC42493|MGC42493
refseq_dna|NM_005822|NM_005822	hgnc_symbol|DSCR1L1|DSCR1L1
hgnc_symbol|C20orf53|C20orf53
refseq_dna|NM_000538|NM_000538	hgnc_symbol|RFXAP|RFXAP
refseq_dna|NM_080749|NM_080749	hgnc_symbol|NEURL2|NEURL2
refseq_dna|NM_000296|NM_000296	hgnc_symbol|PKD1|PKD1
refseq_dna|NM_020779|NM_020779	hgnc_symbol|WDR35|WDR35
refseq_dna|NM_005989|NM_005989	hgnc_symbol|AKR1D1|AKR1D1
refseq_dna|NM_182973|NM_182973	hgnc_symbol|TMPRSS9|TMPRSS9
refseq_dna|NM_001667|NM_001667	hgnc_symbol|ARL2|ARL2
refseq_dna|NM_022450|NM_022450	hgnc_symbol|RHBDF1|RHBDF1
refseq_dna|NM_014246|NM_014246	hgnc_symbol|CELSR1|CELSR1
refseq_dna|NM_005788|NM_005788	hgnc_symbol|HRMT1L3|HRMT1L3
refseq_dna|NM_024301|NM_024301	hgnc_symbol|FKRP|FKRP
refseq_dna|NM_152288|NM_152288	hgnc_symbol|MGC13024|MGC13024
refseq_dna|NM_004636|NM_004636	hgnc_symbol|SEMA3B|SEMA3B
refseq_dna|NM_004865|NM_004865	hgnc_symbol|TBPL1|TBPL1
refseq_dna|NM_016642|NM_016642	hgnc_symbol|SPTBN5|SPTBN5
refseq_dna|NM_014242|NM_014242	hgnc_symbol|ZNF237|ZNF237
refseq_dna|NM_024031|NM_024031	hgnc_symbol|MGC3121|MGC3121
refseq_dna|NM_005316|NM_005316	hgnc_symbol|GTF2H1|GTF2H1
refseq_dna|NM_138368|NM_138368	hgnc_symbol|DKFZp761E198|DKFZp761E198
refseq_dna|NM_006301|NM_006301	hgnc_symbol|MAP3K12|MAP3K12
refseq_dna|NM_032936|NM_032936	hgnc_symbol|C7orf35|C7orf35
refseq_dna|NM_032034|NM_032034	hgnc_symbol|SLC4A11|SLC4A11
refseq_dna|NM_020310|NM_020310	hgnc_symbol|MNT|MNT
refseq_dna|NM_014567|NM_014567	hgnc_symbol|BCAR1|BCAR1
refseq_dna|NM_019058|NM_019058	hgnc_symbol|DDIT4|DDIT4
refseq_dna|NM_152686|NM_152686	hgnc_symbol|MGC29463|MGC29463
entrezgene|BC065759|359948	hgnc_symbol|IRF2BP2|IRF2BP2
refseq_dna|NM_020807|NM_020807	hgnc_symbol|ZNF319|ZNF319
refseq_dna|NM_004183|NM_004183	hgnc_symbol|VMD2|VMD2
refseq_dna|NM_152440|NM_152440	hgnc_symbol|FLJ32549|FLJ32549
refseq_dna|NM_001621|NM_001621	hgnc_symbol|AHR|AHR
refseq_dna|NM_006588|NM_006588	hgnc_symbol|SULT1C2|SULT1C2
refseq_dna|NM_133263|NM_133263	hgnc_symbol|PPARGC1B|PPARGC1B
refseq_dna|NM_020782|NM_020782	hgnc_symbol|KIAA1340|KIAA1340
refseq_dna|NM_024599|NM_024599	hgnc_symbol|RHBDL6|RHBDL6
refseq_dna|NM_006948|NM_006948	hgnc_symbol|STCH|STCH
refseq_dna|NM_012323|NM_012323	hgnc_symbol|MAFF|MAFF
refseq_dna|NM_004431|NM_004431	hgnc_symbol|EPHA2|EPHA2
refseq_dna|NM_003107|NM_003107	hgnc_symbol|SOX4|SOX4
refseq_dna|NM_003655|NM_003655	hgnc_symbol|CBX4|CBX4
refseq_dna|NM_032048|NM_032048	hgnc_symbol|EMILIN2|EMILIN2
refseq_dna|NM_001407|NM_001407	hgnc_symbol|CELSR3|CELSR3
refseq_dna|NM_022911|NM_022911	hgnc_symbol|SLC26A6|SLC26A6
refseq_dna|NM_014851|NM_014851	hgnc_symbol|KLHL21|KLHL21
refseq_dna|NM_001392|NM_001392	hgnc_symbol|DTNA|DTNA
refseq_dna|NM_025135|NM_025135	hgnc_symbol|FHOD3|FHOD3
refseq_dna|NM_019556|NM_019556	hgnc_symbol|MOSPD1|MOSPD1
refseq_dna|NM_004177|NM_004177	hgnc_symbol|STX3A|STX3A
refseq_dna|NM_001751|NM_001751	hgnc_symbol|CARS|CARS
refseq_dna|NM_006648|NM_006648	hgnc_symbol|WNK2|WNK2
refseq_dna|NM_018463|NM_018463	hgnc_symbol|MDS028|MDS028
refseq_dna|NM_005485|NM_005485	hgnc_symbol|PARP3|PARP3
refseq_dna|NM_015447|NM_015447	hgnc_symbol|CAMSAP1|CAMSAP1
refseq_dna|NM_152268|NM_152268	hgnc_symbol|DKFZp727A071|DKFZp727A071
refseq_dna|NM_144641|NM_144641	hgnc_symbol|FLJ32332|FLJ32332
refseq_dna|NM_001550|NM_001550	hgnc_symbol|IFRD1|IFRD1
refseq_dna|NM_001420|NM_001420	hgnc_symbol|ELAVL3|ELAVL3
refseq_dna|NM_032281|NM_032281	hgnc_symbol|ELAVL3|ELAVL3
refseq_dna|NM_013246|NM_013246	hgnc_symbol|CLC|CLC
refseq_dna|NM_005102|NM_005102	hgnc_symbol|FEZ2|FEZ2
refseq_dna|NM_017694|NM_017694	hgnc_symbol|FLJ20160|FLJ20160
entrezgene|AB006622|283638	hgnc_symbol|KIAA0284|KIAA0284
refseq_dna|NM_001300|NM_001300	hgnc_symbol|KLF6|KLF6
refseq_dna|NM_138386|NM_138386	hgnc_symbol|LOC92345|LOC92345
refseq_dna|NM_032246|NM_032246	hgnc_symbol|RKHD3|RKHD3
refseq_dna|NM_152441|NM_152441	hgnc_symbol|FBXL14|FBXL14
refseq_dna|NM_004209|NM_004209	hgnc_symbol|SYNGR3|SYNGR3
refseq_dna|NM_005706|NM_005706	hgnc_symbol|TSSC4|TSSC4
refseq_dna|NM_024692|NM_024692	hgnc_symbol|RSNL2|RSNL2
refseq_dna|NM_021127|NM_021127	hgnc_symbol|PMAIP1|PMAIP1
refseq_dna|NM_024941|NM_024941	hgnc_symbol|FLJ13611|FLJ13611
refseq_dna|NM_005456|NM_005456	hgnc_symbol|MAPK8IP1|MAPK8IP1
refseq_dna|NM_004083|NM_004083	hgnc_symbol|DDIT3|DDIT3
refseq_dna|NM_015944|NM_015944	hgnc_symbol|CGI-14|CGI-14
refseq_dna|NM_002653|NM_002653	hgnc_symbol|PITX1|PITX1
refseq_dna|NM_152339|NM_152339	hgnc_symbol|MGC26885|MGC26885
refseq_dna|NM_017721|NM_017721	hgnc_symbol|FLJ20241|FLJ20241
refseq_dna|NM_033405|NM_033405	hgnc_symbol|PRIC285|PRIC285
refseq_dna|NM_024076|NM_024076	hgnc_symbol|KCTD15|KCTD15
refseq_dna|NM_018476|NM_018476	hgnc_symbol|BEX1|BEX1
refseq_dna|NM_053000|NM_053000	hgnc_symbol|TIGA1|TIGA1
refseq_dna|NM_012249|NM_012249	hgnc_symbol|RHOQ|RHOQ
refseq_dna|NM_017905|NM_017905	hgnc_symbol|C13orf11|C13orf11
refseq_dna|NM_023924|NM_023924	hgnc_symbol|BRD9|BRD9
refseq_dna|NM_015440|NM_015440	hgnc_symbol|MTHFD1L|MTHFD1L
refseq_dna|NM_002226|NM_002226	hgnc_symbol|JAG2|JAG2
refseq_dna|NM_033427|NM_033427	hgnc_symbol|CTTNBP2|CTTNBP2
refseq_dna|NM_145805|NM_145805	hgnc_symbol|ISL2|ISL2
entrezgene|AK056767|7975	hgnc_symbol|MAFK|MAFK
refseq_dna|NM_002360|NM_002360	hgnc_symbol|MAFK|MAFK
refseq_dna|NM_005655|NM_005655	hgnc_symbol|KLF10|KLF10
refseq_dna|NM_001806|NM_001806	hgnc_symbol|CEBPG|CEBPG
refseq_dna|NM_014292|NM_014292	hgnc_symbol|CBX6|CBX6
refseq_dna|NM_020140|NM_020140	hgnc_symbol|EB-1|EB-1
refseq_dna|NM_181670|NM_181670	hgnc_symbol|EB-1|EB-1
refseq_dna|NM_024864|NM_024864	hgnc_symbol|FLJ22578|FLJ22578
refseq_dna|NM_012162|NM_012162	hgnc_symbol|FBXL6|FBXL6
refseq_dna|NM_032320|NM_032320	hgnc_symbol|GMRP-1|GMRP-1
refseq_dna|NM_003456|NM_003456	hgnc_symbol|ZNF205|ZNF205
refseq_dna|NM_017585|NM_017585	hgnc_symbol|SLC2A6|SLC2A6
refseq_dna|NM_006005|NM_006005	hgnc_symbol|WFS1|WFS1
refseq_dna|NM_005681|NM_005681	hgnc_symbol|TAF1A|TAF1A
refseq_dna|NM_144778|NM_144778	hgnc_symbol|MBNL2|MBNL2
entrezgene|AB007918|23046	hgnc_symbol|KIF21B|KIF21B
entrezgene|AB015331|55589	hgnc_symbol|BMP2K|BMP2K
refseq_dna|NM_176895|NM_176895	hgnc_symbol|PPAP2A|PPAP2A
refseq_dna|NM_001347|NM_001347	hgnc_symbol|DGKQ|DGKQ
refseq_dna|NM_033285|NM_033285	hgnc_symbol|TP53INP1|TP53INP1
refseq_dna|NM_014604|NM_014604	hgnc_symbol|TAX1BP3|TAX1BP3
refseq_dna|NM_003426|NM_003426	hgnc_symbol|ZNF74|ZNF74
refseq_dna|NM_024855|NM_024855	hgnc_symbol|ACTR5|ACTR5
refseq_dna|NM_018066|NM_018066	hgnc_symbol|FLJ10349|FLJ10349
