Gene_Symbol	Gene_Name	ProbeID	Fold-change	p value
DEPDC6	DEP domain containing 6	105011	0.327285466	0.012219096
DUSP5	dual specificity phosphatase 5	121612	0.721392248	0.045801905
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	165302	1.602104345	0.040727335
ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	216339	0.500671153	0.004264273
EPB41L1	erythrocyte membrane protein band 4.1-like 1	122347	0.479452665	0.041079169
GPR19	G protein-coupled receptor 19	178385	0.535301641	0.021984812
HADH2	hydroxyacyl-Coenzyme A dehydrogenase, type II	142475	1.420967356	0.03058344
HECTD1	HECT domain containing 1	230466	0.657554167	0.011439536
HIST1H2BD	histone 1, H2bd	148940	2.656289413	0.020035167
HMGA2	high mobility group AT-hook 2	105728	0.572003409	0.035290268
HMGB1	high-mobility group box 1	151074	0.585609435	0.010521943
HNMT	histamine N-methyltransferase	227509	1.4230222	0.038555915
HRSP12	heat-responsive protein 12	139126	0.521350125	0.04908446
IER3	immediate early response 3	196695	2.1360877	0.031524367
LAMA4	laminin, alpha 4	101059	2.659710427	0.033160378
LTB4DH	leukotriene B4 12-hydroxydehydrogenase	210882	1.961255137	0.0007348
MAK3	Mak3 homolog (S. cerevisiae)	179608	0.623412945	0.002265798
MLF1IP	MLF1 interacting protein	147135	0.616613753	0.008572652
MRPL13	mitochondrial ribosomal protein L13	108144	0.691578481	0.017438421
NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	187656	0.470744645	0.003994296
NR5A2	nuclear receptor subfamily 5, group A, member 2	177880	0.372623037	4.77692E-05
NUSAP1	nucleolar and spindle associated protein 1	128435	0.745679428	0.000266778
NXT1	NTF2-like export factor 1	172142	1.493194397	0.001271444
PABPC1	poly(A) binding protein, cytoplasmic 1	200201	0.613264553	0.046940078
PARK7	Parkinson disease (autosomal recessive, early onset) 7	136848	1.52871637	0.002716668
PI3	peptidase inhibitor 3, skin-derived (SKALP)	128827	2.557606	0.018117949
PMPCB	peptidase (mitochondrial processing) beta	210046	0.684070581	0.014790968
PTPN23	protein tyrosine phosphatase, non-receptor type 23	194463	1.39134062	0.045869938
RAB1A	RAB1A, member RAS oncogene family	122650	0.703610369	0.04514404
RARS	arginyl-tRNA synthetase	155157	0.660946475	0.001845418
RELN	reelin	207609	0.188697082	0.000432834
REPS1	RALBP1 associated Eps domain containing 1	147893	1.351583721	0.002068259
RIOK3	RIO kinase 3 (yeast)	142169	3.225503725	0.018262104
RND3	Rho family GTPase 3	129829	2.16099762	0.040648437
RRAGA	Ras-related GTP binding A	105497	1.242653363	0.022699821
SAA4	serum amyloid A4, constitutive	214434	1.880467735	0.028804058
SERPINC1	serpin peptidase inhibitor, clade C (antithrombin), member 1	107675	0.27293528	0.002580201
SET	SET translocation (myeloid leukemia-associated)	179226	0.801189842	0.031273216
SLC30A1	solute carrier family 30 (zinc transporter), member 1	115022	0.587023847	0.024017229
SLC35A2	solute carrier family 35 (UDP-galactose transporter), member A2	152727	0.600293798	0.022627372
SNX3	sorting nexin 3	216112	1.589691228	0.013453337
STRAP	serine/threonine kinase receptor associated protein	191292	0.664579363	0.017907687
TFEB	transcription factor EB	151510	0.750571401	0.023018239
TFG	TRK-fused gene	210281	0.685511295	0.025666729
THBS4	thrombospondin 4	174392	0.290623563	0.001109435
TMCC1	transmembrane and coiled-coil domain family 1	112169	1.368915064	0.031231901
TRAPPC4	trafficking protein particle complex 4	205369	1.502483027	0.012353014
TRIM33	tripartite motif-containing 33	134526	0.71379458	0.004207466
UBE2E3	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	201108	1.504503569	0.030495254
USH1C	Usher syndrome 1C (autosomal recessive, severe)	195953	0.367144336	0.0161579
VAMP8	vesicle-associated membrane protein 8 (endobrevin)	226943	2.585503768	0.011372045
XPO1	exportin 1 (CRM1 homolog, yeast)	105030	0.748025428	0.001913235
ZCCHC14	zinc finger, CCHC domain containing 14	200292	0.759098044	0.035489823
ZMYND11	zinc finger, MYND domain containing 11	161540	1.665357012	0.036066945
ZNF226	zinc finger protein 226	178824	0.682404089	0.043117721
ZNF281	zinc finger protein 281	167621	0.617943171	0.040081845
