# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_002345|NM_002345	hgnc_symbol|LUM|LUM
entrezgene|AA131324|219654	hgnc_symbol|C10orf56|C10orf56
entrezgene|AF065389|10098	hgnc_symbol|TSPAN5|TSPAN5
refseq_dna|NM_005328|NM_005328	hgnc_symbol|HAS2|HAS2
entrezgene|AB032977|89796	hgnc_symbol|NAV1|NAV1
entrezgene|AI951185|7025	hgnc_symbol|NR2F1|NR2F1
entrezgene|U73778|1303	hgnc_symbol|COL12A1|COL12A1
refseq_dna|NM_002937|NM_002937	hgnc_symbol|RNASE4|RNASE4
embl|AA195408|AA195408
refseq_dna|NM_002260|NM_002260	hgnc_symbol|KLRC1 /// KLRC2|KLRC1 /// KLRC2
embl|AW273796|AW273796
embl|AW204033|AW204033
embl|AU157224|AU157224	hgnc_symbol|LOC91526|LOC91526
entrezgene|AI659533|8470	hgnc_symbol|IPO9|IPO9
refseq_dna|NM_002048|NM_002048	hgnc_symbol|GAS1|GAS1
entrezgene|AL541302|5270	hgnc_symbol|SERPINE2|SERPINE2
entrezgene|AW235061|6505	hgnc_symbol|SLC1A1|SLC1A1
refseq_dna|NM_000691|NM_000691	hgnc_symbol|ALDH3A1|ALDH3A1
entrezgene|AF519621|64092	hgnc_symbol|SAMSN1|SAMSN1
entrezgene|AI732637|343450	hgnc_symbol|KCNT2|KCNT2
refseq_dna|NM_004454|NM_004454	hgnc_symbol|ETV5|ETV5
refseq_dna|NM_004530|NM_004530	hgnc_symbol|MMP2|MMP2
refseq_dna|NM_016245|NM_016245	hgnc_symbol|DHRS8|DHRS8
entrezgene|AI148659|57493	hgnc_symbol|HEG|HEG
refseq_dna|NM_000313|NM_000313	hgnc_symbol|PROS1|PROS1
entrezgene|AJ252246|2898	hgnc_symbol|GRIK2|GRIK2
refseq_dna|NM_022873|NM_022873	hgnc_symbol|G1P3|G1P3
refseq_dna|NM_002526|NM_002526	hgnc_symbol|NT5E|NT5E
entrezgene|BF973568|140606	hgnc_symbol|SELM|SELM
embl|AL833114|AL833114
refseq_dna|NM_002290|NM_002290	hgnc_symbol|LAMA4|LAMA4
entrezgene|AI125696|55301	hgnc_symbol|THEDC1|THEDC1
refseq_dna|NM_024841|NM_024841	hgnc_symbol|FLJ14213|FLJ14213
refseq_dna|NM_002261|NM_002261	hgnc_symbol|KLRC3|KLRC3
entrezgene|AL566989|344558	hgnc_symbol|SH3MD4|SH3MD4
refseq_dna|NM_001553|NM_001553	hgnc_symbol|IGFBP7|IGFBP7
refseq_dna|NM_021069|NM_021069	hgnc_symbol|SORBS2|SORBS2
refseq_dna|NM_006855|NM_006855	hgnc_symbol|KDELR3|KDELR3
refseq_dna|NM_005525|NM_005525	hgnc_symbol|HSD11B1|HSD11B1
embl|AU157881|AU157881
refseq_dna|NM_004369|NM_004369	hgnc_symbol|COL6A3|COL6A3
entrezgene|AI992251|6196	hgnc_symbol|RPS6KA2|RPS6KA2
refseq_dna|NM_000428|NM_000428	hgnc_symbol|LTBP2|LTBP2
refseq_dna|NM_021643|NM_021643	hgnc_symbol|TRIB2|TRIB2
embl|BF107618|BF107618	hgnc_symbol|PAPPA|PAPPA
entrezgene|N32051|23243	hgnc_symbol|ANKRD28|ANKRD28
embl|U93091|U93091	hgnc_symbol|TLR4|TLR4
entrezgene|BC004307|92922	hgnc_symbol|MGC10992|MGC10992
embl|AL048423|AL048423	hgnc_symbol|ITGB5|ITGB5
refseq_dna|NM_015678|NM_015678	hgnc_symbol|NBEA|NBEA
refseq_dna|NM_006455|NM_006455	hgnc_symbol|SC65|SC65
embl|BE620457|BE620457	hgnc_symbol|NRP1|NRP1
refseq_dna|NM_004615|NM_004615	hgnc_symbol|TSPAN7|TSPAN7
refseq_dna|NM_018004|NM_018004	hgnc_symbol|TMEM45A|TMEM45A
refseq_dna|NM_025214|NM_025214	hgnc_symbol|SE57-1|SE57-1
refseq_dna|NM_020403|NM_020403	hgnc_symbol|PCDH9|PCDH9
refseq_dna|NM_173490|NM_173490	hgnc_symbol|PRP2|PRP2
refseq_dna|NM_003186|NM_003186	hgnc_symbol|TAGLN|TAGLN
entrezgene|N26005|5507	hgnc_symbol|PPP1R3C|PPP1R3C
entrezgene|U17473|10203	hgnc_symbol|CALCRL|CALCRL
refseq_dna|NM_003069|NM_003069	hgnc_symbol|SMARCA1|SMARCA1
embl|AI632692|AI632692
entrezgene|BC006259|7461	hgnc_symbol|CYLN2|CYLN2
entrezgene|AK026720|283537	hgnc_symbol|LOC283537|LOC283537
entrezgene|AI333326|55752	hgnc_symbol|Septin-11|Septin-11
entrezgene|AF231124|6695	hgnc_symbol|SPOCK|SPOCK
entrezgene|N49935|83937	hgnc_symbol|RASSF4|RASSF4
entrezgene|S74774|2534	hgnc_symbol|FYN|FYN
embl|BG484552|BG484552	hgnc_symbol|RASSF8|RASSF8
refseq_dna|NM_003272|NM_003272	hgnc_symbol|TM7SF1|TM7SF1
entrezgene|BC004291|23208	hgnc_symbol|SYT11|SYT11
refseq_dna|NM_001873|NM_001873	hgnc_symbol|CPE|CPE
refseq_dna|NM_006417|NM_006417	hgnc_symbol|IFI44|IFI44
entrezgene|BE326710|80763	hgnc_symbol|MGC10946|MGC10946
entrezgene|AA716107|79987	hgnc_symbol|SVEP1|SVEP1
refseq_dna|NM_005410|NM_005410	hgnc_symbol|SEPP1|SEPP1
entrezgene|AW182575|121457	hgnc_symbol|IKIP|IKIP
entrezgene|AF026219|10395	hgnc_symbol|DLC1|DLC1
embl|AA594609|AA594609
refseq_dna|NM_001257|NM_001257	hgnc_symbol|CDH13|CDH13
entrezgene|AL568422|22873	hgnc_symbol|DZIP1|DZIP1
entrezgene|AB000888|8611	hgnc_symbol|PPAP2A|PPAP2A
refseq_dna|NM_001554|NM_001554	hgnc_symbol|CYR61|CYR61
entrezgene|AF313413|85027	hgnc_symbol|NID67|NID67
entrezgene|AA526844|4638	hgnc_symbol|MYLK|MYLK
refseq_dna|NM_002205|NM_002205	hgnc_symbol|ITGA5|ITGA5
entrezgene|AI129626|9201	hgnc_symbol|DCAMKL1|DCAMKL1
entrezgene|AI638611|57559	hgnc_symbol|AMSH-LP|AMSH-LP
refseq_dna|NM_001615|NM_001615	hgnc_symbol|ACTG2|ACTG2
entrezgene|AF060922|665	hgnc_symbol|BNIP3L|BNIP3L
embl|AI824013|AI824013	hgnc_symbol|LOC201895|LOC201895
entrezgene|AA775681|79971	hgnc_symbol|C1orf139|C1orf139
refseq_dna|NM_001845|NM_001845	hgnc_symbol|COL4A1|COL4A1
entrezgene|AI986461|9697	hgnc_symbol|TRAM2|TRAM2
entrezgene|BC006471|10962	hgnc_symbol|MLLT11|MLLT11
entrezgene|AW206234|441094	hgnc_symbol|FLJ42709|FLJ42709
entrezgene|R42449|55701	hgnc_symbol|FLJ10357|FLJ10357
entrezgene|S36219|5742	hgnc_symbol|PTGS1|PTGS1
refseq_dna|NM_014795|NM_014795	hgnc_symbol|ZFHX1B|ZFHX1B
entrezgene|BC003551|7052	hgnc_symbol|TGM2|TGM2
refseq_dna|NM_003254|NM_003254	hgnc_symbol|TIMP1|TIMP1
entrezgene|BC003143|1848	hgnc_symbol|DUSP6|DUSP6
refseq_dna|NM_016429|NM_016429	hgnc_symbol|COPZ2|COPZ2
refseq_dna|NM_000147|NM_000147	hgnc_symbol|FUCA1|FUCA1
entrezgene|AL132665|665	hgnc_symbol|BNIP3L|BNIP3L
entrezgene|AA721025|91775
refseq_dna|NM_014465|NM_014465	hgnc_symbol|SULT1B1|SULT1B1
entrezgene|BF107565|7077	hgnc_symbol|TIMP2|TIMP2
refseq_dna|NM_021992|NM_021992	hgnc_symbol|TMSL8|TMSL8
entrezgene|U30894|6448	hgnc_symbol|SGSH|SGSH
entrezgene|BF340228|3486	hgnc_symbol|IGFBP3|IGFBP3
entrezgene|AA129716|25945	hgnc_symbol|PVRL3|PVRL3
embl|AW173504|AW173504
entrezgene|BF508662|10252	hgnc_symbol|SPRY1|SPRY1
refseq_dna|NM_020190|NM_020190	hgnc_symbol|OLFML3|OLFML3
entrezgene|BE677308|158586	hgnc_symbol|ZXDB|ZXDB
refseq_dna|NM_001425|NM_001425	hgnc_symbol|EMP3|EMP3
entrezgene|AA099357|23460	hgnc_symbol|ABCA6|ABCA6
refseq_dna|NM_001124|NM_001124	hgnc_symbol|ADM|ADM
embl|BE963437|BE963437	hgnc_symbol|TTC7B|TTC7B
refseq_dna|NM_003057|NM_003057	hgnc_symbol|SLC22A1|SLC22A1
entrezgene|BE501385|440087	hgnc_symbol|LOC440087|LOC440087
entrezgene|AV731490|6857	hgnc_symbol|SYT1|SYT1
refseq_dna|NM_021913|NM_021913	hgnc_symbol|AXL|AXL
entrezgene|BC001830|7041	hgnc_symbol|TGFB1I1|TGFB1I1
entrezgene|AU152178|118429	hgnc_symbol|ANTXR2|ANTXR2
entrezgene|AA847654|85012	hgnc_symbol|TCEAL3|TCEAL3
embl|Z95331|Z95331	hgnc_symbol|FBLN1|FBLN1
refseq_dna|NM_002961|NM_002961	hgnc_symbol|S100A4|S100A4
embl|BF446723|BF446723
refseq_dna|NM_012419|NM_012419	hgnc_symbol|RGS17|RGS17
entrezgene|AL136919|84230	hgnc_symbol|LRRC8C|LRRC8C
entrezgene|AI968085|7474	hgnc_symbol|WNT5A|WNT5A
entrezgene|AI948503|10257	hgnc_symbol|ABCC4|ABCC4
refseq_dna|NM_000094|NM_000094	hgnc_symbol|COL7A1|COL7A1
entrezgene|AF183421|11031	hgnc_symbol|RAB31|RAB31
refseq_dna|NM_005822|NM_005822	hgnc_symbol|DSCR1L1|DSCR1L1
entrezgene|AF186779|23179	hgnc_symbol|RGL1|RGL1
entrezgene|AU151222|50937	hgnc_symbol|CDON|CDON
entrezgene|AI471375|5578	hgnc_symbol|PRKCA|PRKCA
entrezgene|AL577024|730101	hgnc_symbol|LOC221362|LOC221362
entrezgene|BF593252|122622	hgnc_symbol|ADSSL1|ADSSL1
refseq_dna|NM_016938|NM_016938	hgnc_symbol|EFEMP2|EFEMP2
refseq_dna|NM_003359|NM_003359	hgnc_symbol|UGDH|UGDH
entrezgene|AB014609|9902	hgnc_symbol|MRC2|MRC2
entrezgene|BG110811|340061	hgnc_symbol|LOC340061|LOC340061
refseq_dna|AC_004010|AC_004010	hgnc_symbol|AMIGO2|AMIGO2
refseq_dna|NM_018317|NM_018317	hgnc_symbol|TBC1D19|TBC1D19
refseq_dna|NM_004734|NM_004734	hgnc_symbol|DCAMKL1|DCAMKL1
refseq_dna|NM_020169|NM_020169	hgnc_symbol|LXN|LXN
refseq_dna|NM_001236|NM_001236	hgnc_symbol|CBR3|CBR3
refseq_dna|NM_004696|NM_004696	hgnc_symbol|SLC16A4|SLC16A4
embl|BF061389|BF061389
refseq_dna|NM_003020|NM_003020	hgnc_symbol|SGNE1|SGNE1
refseq_dna|NM_024633|NM_024633	hgnc_symbol|C14orf139|C14orf139
refseq_dna|NM_172193|NM_172193	hgnc_symbol|KLHDC1|KLHDC1
entrezgene|AW665758|26191	hgnc_symbol|PTPN22|PTPN22
entrezgene|D86962|2887	hgnc_symbol|GRB10|GRB10
refseq_dna|NM_001512|NM_001512	hgnc_symbol|GSTA4|GSTA4
entrezgene|AB046768|57669	hgnc_symbol|EPB41L5|EPB41L5
refseq_dna|NM_022356|NM_022356	hgnc_symbol|LEPRE1|LEPRE1
refseq_dna|NM_004403|NM_004403	hgnc_symbol|DFNA5|DFNA5
entrezgene|BG163478|79875	hgnc_symbol|FLJ13710|FLJ13710
entrezgene|R77097|85360	hgnc_symbol|SYDE1|SYDE1
entrezgene|AL565362|114134	hgnc_symbol|SLC2A13 /// FLJ40126|SLC2A13 /// FLJ40126
entrezgene|AI770098|25859	hgnc_symbol|PART1|PART1
refseq_dna|NM_000232|NM_000232	hgnc_symbol|SGCB|SGCB
entrezgene|U11058|3778	hgnc_symbol|KCNMA1|KCNMA1
entrezgene|J05594|3248	hgnc_symbol|HPGD|HPGD
embl|AA489100|AA489100
refseq_dna|NM_024628|NM_024628	hgnc_symbol|SLC12A8|SLC12A8
entrezgene|AK026424|54331	hgnc_symbol|GNG2|GNG2
entrezgene|BF057717|147991	hgnc_symbol|DPY19L3|DPY19L3
refseq_dna|NM_002775|NM_002775	hgnc_symbol|HTRA1|HTRA1
refseq_dna|NM_025246|NM_025246	hgnc_symbol|TMEM22|TMEM22
entrezgene|AU144243|9236	hgnc_symbol|CCPG1|CCPG1
refseq_dna|NM_018589|NM_018589	hgnc_symbol|CHES1|CHES1
entrezgene|AB056106|25890	hgnc_symbol|ABI3BP|ABI3BP
refseq_dna|NM_002178|NM_002178	hgnc_symbol|IGFBP6|IGFBP6
refseq_dna|NM_003243|NM_003243	hgnc_symbol|TGFBR3|TGFBR3
refseq_dna|NM_016303|NM_016303	hgnc_symbol|WBP5|WBP5
embl|AA126789|AA126789	hgnc_symbol|KIAA0470|KIAA0470
refseq_dna|NM_018249|NM_018249	hgnc_symbol|CDK5RAP2|CDK5RAP2
entrezgene|BF433071|5802	hgnc_symbol|PTPRS|PTPRS
refseq_dna|NM_002845|NM_002845	hgnc_symbol|PTPRM|PTPRM
entrezgene|AV699379|57678	hgnc_symbol|GPAM|GPAM
refseq_dna|NM_014392|NM_014392	hgnc_symbol|D4S234E|D4S234E
refseq_dna|NM_013363|NM_013363	hgnc_symbol|PCOLCE2|PCOLCE2
entrezgene|AF112345|8515	hgnc_symbol|ITGA10|ITGA10
embl|AA173223|AA173223	hgnc_symbol|FLJ37927|FLJ37927
entrezgene|D87291|3772	hgnc_symbol|KCNJ15|KCNJ15
entrezgene|AL574210|5054	hgnc_symbol|SERPINE1|SERPINE1
entrezgene|N71063|11174	hgnc_symbol|ADAMTS6|ADAMTS6
entrezgene|M73554|595	hgnc_symbol|CCND1|CCND1
refseq_dna|NM_004114|NM_004114	hgnc_symbol|FGF13|FGF13
refseq_dna|NM_002029|NM_002029	hgnc_symbol|FPR1|FPR1
entrezgene|AI422986|7903	hgnc_symbol|ST8SIA4|ST8SIA4
entrezgene|U83508|284	hgnc_symbol|ANGPT1|ANGPT1
entrezgene|BE856546|3572	hgnc_symbol|IL6ST|IL6ST
entrezgene|BF342524|161742	hgnc_symbol|SPRED1|SPRED1
entrezgene|AW058622|7456	hgnc_symbol|WASPIP|WASPIP
refseq_dna|NM_014780|NM_014780	hgnc_symbol|CUL7|CUL7
entrezgene|AW970089|340719	hgnc_symbol|NANOS1|NANOS1
refseq_dna|NM_000900|NM_000900	hgnc_symbol|MGP|MGP
refseq_dna|NM_002153|NM_002153	hgnc_symbol|HSD17B2|HSD17B2
entrezgene|AA530892|1843	hgnc_symbol|DUSP1|DUSP1
refseq_dna|NM_144573|NM_144573	hgnc_symbol|NEXN|NEXN
refseq_dna|NM_021647|NM_021647	hgnc_symbol|MFAP3L|MFAP3L
entrezgene|AB000889|8613	hgnc_symbol|PPAP2B|PPAP2B
entrezgene|N36759|619208	hgnc_symbol|LOC619208|LOC619208
entrezgene|AW163148|4082	hgnc_symbol|MARCKS|MARCKS
entrezgene|AA081084|25937	hgnc_symbol|WWTR1|WWTR1
refseq_dna|NM_003195|NM_003195	hgnc_symbol|TCEA2|TCEA2
entrezgene|AF132000|26022	hgnc_symbol|DKFZP564K1964|DKFZP564K1964
refseq_dna|NM_006762|NM_006762	hgnc_symbol|LAPTM5|LAPTM5
entrezgene|AF141347|7846	hgnc_symbol|TUBA3|TUBA3
entrezgene|W81648|55454	hgnc_symbol|GALNACT-2|GALNACT-2
entrezgene|AW664964|387914	hgnc_symbol|TMEM46|TMEM46
entrezgene|AF126181|10916	hgnc_symbol|MAGED2|MAGED2
embl|N54506|N54506	hgnc_symbol|CBX6|CBX6
entrezgene|BE669858|219285	hgnc_symbol|SAMD9L|SAMD9L
entrezgene|M59916|6609	hgnc_symbol|SMPD1|SMPD1
entrezgene|AF092137|51661	hgnc_symbol|FKBP7|FKBP7
entrezgene|AB033038|55704	hgnc_symbol|KIAA1212|KIAA1212
entrezgene|BF434995|84913	hgnc_symbol|ATOH8|ATOH8
entrezgene|AL136580|83692	hgnc_symbol|CD99L2|CD99L2
entrezgene|AI537540|145389	hgnc_symbol|SLC38A6|SLC38A6
entrezgene|AI246590|3656	hgnc_symbol|IRAK2|IRAK2
refseq_dna|NM_001629|NM_001629	hgnc_symbol|ALOX5AP|ALOX5AP
refseq_dna|NM_007034|NM_007034	hgnc_symbol|DNAJB4|DNAJB4
refseq_dna|NM_031302|NM_031302	hgnc_symbol|GLT8D2|GLT8D2
embl|AI049973|AI049973	hgnc_symbol|KIRREL|KIRREL
entrezgene|CA447177|90203	hgnc_symbol|C20orf161|C20orf161
entrezgene|AW090182|112770	hgnc_symbol|MGC13102|MGC13102
entrezgene|AI825937|2009	hgnc_symbol|EML1|EML1
refseq_dna|NM_018242|NM_018242	hgnc_symbol|FLJ10847|FLJ10847
entrezgene|BE877357|84230
entrezgene|AI924630|10916	hgnc_symbol|MAGED2|MAGED2
refseq_dna|NM_006307|NM_006307	hgnc_symbol|SRPX|SRPX
refseq_dna|NM_014840|NM_014840	hgnc_symbol|NUAK1|NUAK1
embl|BG477064|BG477064
entrezgene|BC033168|117581	hgnc_symbol|TWIST2|TWIST2
embl|AL109696|AL109696
entrezgene|AI478747|284611	hgnc_symbol|LOC284611|LOC284611
embl|BI668074|BI668074	hgnc_symbol|RHOB|RHOB
refseq_dna|NM_004445|NM_004445	hgnc_symbol|EPHB6|EPHB6
refseq_dna|NM_000584|NM_000584	hgnc_symbol|IL8|IL8
refseq_dna|NM_004223|NM_004223	hgnc_symbol|UBE2L6|UBE2L6
refseq_dna|NM_002064|NM_002064	hgnc_symbol|GLRX|GLRX
refseq_dna|NM_016593|NM_016593	hgnc_symbol|CYP39A1|CYP39A1
refseq_dna|NM_015493|NM_015493	hgnc_symbol|ANKRD25|ANKRD25
entrezgene|AF000416|2135	hgnc_symbol|EXTL2|EXTL2
entrezgene|AA909035|1284	hgnc_symbol|COL4A2|COL4A2
refseq_dna|NM_007350|NM_007350	hgnc_symbol|PHLDA1|PHLDA1
entrezgene|N50864|283788	hgnc_symbol|LOC283788|LOC283788
entrezgene|BC006439|5098	hgnc_symbol|PCDHGC3 /// PCDHGB4 /// PCDHGA8 /// PCDHGA12 /// PCDHGC5 /// PCDHGC4 /// PCDHGB7 /// PCDHGB6 /// PCDHGB5 /// PCDHGB3 /// PCDHGB2 /// PCDHGB1 /// PCDHGA11 /// PCDHGA10 /// PCDHGA9 /// PCDHGA7 /// PCDHGA6 /// PCDHGA5 /// PCDHGA4 /// PCDHGA3 /// PCDHGA2 /// PCDHGA1|PCDHGC3 /// PCDHGB4 /// PCDHGA8 /// PCDHGA12 /// PCDHGC5 /// PCDHGC4 /// PCDHGB7 /// PCDHGB6 /// PCDHGB5 /// PCDHGB3 /// PCDHGB2 /// PCDHGB1 /// PCDHGA11 /// PCDHGA10 /// PCDHGA9 /// PCDHGA7 /// PCDHGA6 /// PCDHGA5 /// PCDHGA4 /// PCDHGA3 /// PCDHGA2 /// PCDHGA1
entrezgene|AW205664|80228	hgnc_symbol|LOC401394 /// LOC402578|LOC401394 /// LOC402578
entrezgene|BC000125|7040	hgnc_symbol|TGFB1|TGFB1
refseq_dna|NM_007219|NM_007219	hgnc_symbol|RNF24|RNF24
refseq_dna|NM_007213|NM_007213	hgnc_symbol|PRAF2|PRAF2
refseq_dna|NM_000052|NM_000052	hgnc_symbol|ATP7A|ATP7A
entrezgene|L37882|2535	hgnc_symbol|FZD2|FZD2
embl|AI200555|AI200555
refseq_dna|NM_018104|NM_018104	hgnc_symbol|ODZ3|ODZ3
entrezgene|AU145049|3092	hgnc_symbol|HIP1|HIP1
refseq_dna|NM_018357|NM_018357	hgnc_symbol|LARP6|LARP6
