# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_005511.1|NM_005511	hgnc_symbol|MLANA|MLANA
refseq_dna|AC_009088.9|AC_009088	hgnc_symbol|RP11-388M20|RP11-388M20
refseq_dna|NM_004385.2|NM_004385	hgnc_symbol|VCAN|VCAN
refseq_dna|NM_004772.1|NM_004772	hgnc_symbol|C5orf13|C5orf13
refseq_dna|AC_080079.5|AC_080079	hgnc_symbol|RP11-511B7|RP11-511B7
refseq_dna|CR611518.1|18.1	hgnc_symbol|PLAUR|PLAUR
refseq_dna|AC_090051.8|AC_090051	hgnc_symbol|RP11-467E3|RP11-467E3
refseq_dna|NM_021822.1|NM_021822	hgnc_symbol|APOBEC3G|APOBEC3G
refseq_dna|NM_000270.1|NM_000270	hgnc_symbol|NP|NP
refseq_dna|Z84488.1|88.1	hgnc_symbol|RP1-93H18|RP1-93H18
refseq_dna|NM_003500.2|NM_003500	hgnc_symbol|ACOX2|ACOX2
refseq_dna|NM_002053.1|NM_002053	hgnc_symbol|GBP1|GBP1
refseq_dna|NM_000358.1|NM_000358	hgnc_symbol|TGFBI|TGFBI
refseq_dna|NM_002228.3|NM_002228	hgnc_symbol|JUN|JUN
refseq_dna|NM_003798.1|NM_003798	hgnc_symbol|CTNNAL1|CTNNAL1
refseq_dna|NM_004726.1|NM_004726	hgnc_symbol|REPS2|REPS2
refseq_dna|NM_005723.2|NM_005723	hgnc_symbol|TSPAN5|TSPAN5
refseq_dna|NM_003798.1|NM_003798	hgnc_symbol|CTNNAL1|CTNNAL1
refseq_dna|BC000551.2|51.2	hgnc_symbol|MGLL|MGLL
refseq_dna|NM_004760.1|NM_004760	hgnc_symbol|STK17A|STK17A
refseq_dna|NM_000602.1|NM_000602	hgnc_symbol|SERPINE1|SERPINE1
refseq_dna|NM_002192.2|NM_002192	hgnc_symbol|INHBA|INHBA
refseq_dna|NM_000270.1|NM_000270	hgnc_symbol|NP|NP
refseq_dna|NM_002178.2|NM_002178	hgnc_symbol|IGFBP6|IGFBP6
refseq_dna|NM_004289.5|NM_004289	hgnc_symbol|NFE2L3|NFE2L3
refseq_dna|NM_001554.3|NM_001554	hgnc_symbol|CYR61|CYR61
refseq_dna|S68330.1|30.1	hgnc_symbol|AKR1C2|AKR1C2
refseq_dna|AL121748.7|48.7	hgnc_symbol|NRP1|NRP1
refseq_dna|NM_080388.1|NM_080388	hgnc_symbol|S100A16|S100A16
refseq_dna|BC040210.1|10.1	hgnc_symbol|AKR1C1|AKR1C1
refseq_dna|NM_003937.2|NM_003937	hgnc_symbol|KYNU|KYNU
refseq_dna|NM_006851.1|NM_006851	hgnc_symbol|GLIPR1|GLIPR1
refseq_dna|NM_006042.1|NM_006042	hgnc_symbol|HS3ST3A1|HS3ST3A1
refseq_dna|BC000879.1|79.1	hgnc_symbol|KYNU|KYNU
refseq_dna|BC024974.1|74.1	hgnc_symbol|S100A4|S100A4
