GB acc#	Unigene ID	Ratio db/db vs. db/m	Name
AA139627	Mm.27589	0.307809	DNA segment, Chr 8, Brigham & Womens Genetics 1320 expressed
AA139826	Mm.88478	0.393204	RIKEN cDNA 0610012D14 gene
AA139948	Mm.195575	0.614789	RIKEN cDNA 5730533B08 gene
AA140079	Mm.15985	0.713264	G protein gamma 3 linked gene
AA140530	Mm.7114	0.495891	RIKEN cDNA 2210008A03 gene
AA140542	Mm.5057	0.375631	macrophage activation 2
AA145784	Mm.4871	0.533211	Tissue inhibitor of metalloproteinase 3
AA146478	Mm.6160	0.280397	IG ALPHA CHAIN C REGION
AA146534	Mm.5772	0.602887	RIKEN cDNA 4921531D01 gene
AA153004	Mm.99942	0.576649	tyrosine-phosphorylated protein CAT-2
AA153416	Mm.50780	0.394813	ESTs
AA162920	Mm.170023	0.725334	ESTs, Moderately similar to AF222895 1 transferrin receptor 2 [M.musculus]
AA170590	Mm.40282	0.428518	ESTs, Moderately  similar to GEPHYRIN [Rattus norvegicus]
AA170607	Mm.10706	0.446956	adenylate cyclase 6
AA174447	Mm.18530	0.432617	interferon activated gene 203
AA174776	Mm.29063	0.574492	RIKEN cDNA 2410022L05 gene
AA174910	Mm.4918	1.633419	nuclear receptor subfamily 3, group C, member 1
AA175692	Mm.28719	1.852153	WSB-1
AA175984	Mm.28589	0.714358	RIKEN cDNA 4631427C17 gene
AA177218	Mm.6160	0.260984	IG ALPHA CHAIN C REGION
AA177326	Mm.171292	0.675789	RIKEN cDNA 2010200I23 gene
AA177586	Mm.41002	1.458224	ATP-binding cassette, sub-family C (CFTR/MRP), member 6
AA178118	Mm.28444	0.640143	ESTs
AA178388	Mm.30918	0.360718	ESTs
AA178493	Mm.22199	0.580271	isovaleryl dehydrogenase precursor
AA178673	Mm.105278	2.193562	RIKEN cDNA 4432411A05 gene
AA184259	Mm.26304	0.665635	ESTs, Moderately similar to A32115 stearoyl-CoA desaturase [M.musculus]
AA184322	Mm.1777	0.644426	heat shock protein, 60 kDa
AA184380	Mm.27897	0.536768	heat shock protein, DNAJ-like 2
AA185218	Mm.30133	0.601144	ethanol induced 6
AA185249		0.53069
AA185346	Mm.45975	1.667088	ESTs
AA186075	Mm.24053	0.199476	ESTs, Weakly similar to T16565 hypothetical protein K05F1.6 - Caenorhabditis elegans [C.elegans]
AA189273	Mm.45298	0.631743	ESTs, Moderately similar to S12207 hypothetical protein [M.musculus]
AA189705	Mm.43671	0.656262	RIKEN cDNA 5730518J08 gene
AA189900	Mm.30115	0.597847	RIKEN cDNA 2310061P20 gene
AA189999	Mm.1585	0.621413	transmembrane 7 superfamily member 1
AA197571	Mm.3909	0.679848	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3
AA198345	Mm.34498	1.937426	ESTs
AA198560	Mm.29254	0.57147	insulin-like growth factor binding protein 3
AA200336	Mm.2777	0.653317	tumor protein D52
AA204360	Mm.25248	1.572852	ESTs
AA208883	Mm.4053	0.672949	talin
AA209640	Mm.653	0.599268	Histocompatibility 2, complement component factor B
AA210357	Mm.89848	0.394248	ESTs
AA212170	Mm.86844	0.629039	met proto-oncogene
AA212241	Mm.28864	1.584342	RIKEN cDNA 4933424M23 gene
AA212320	Mm.4086	0.541641	Mus musculus adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900084A04, full insert sequence
AA212435	Mm.12838	0.510209	cytochrome P450, 2j5
AA212551	Mm.31227	0.343536	ESTs
AA213167	Mm.635	3.078272	Heme oxygenase (decycling) 1
AA216986	Mm.37210	0.72802	adaptor protein complex AP-1, gamma 1 subunit
AA217366	Mm.12775	0.546288	ESTs, Highly  similar to HYPOTHETICAL 45.3 KD PROTEIN ZK370.5 IN CHROMOSOME III [Caenorhabditis elegans]
AA217489	Mm.29099	0.665492	RIKEN cDNA 2400002D02 gene
AA218279	Mm.3093	1.527913	Serine protease-inhibitor 4
AA221141	Mm.2409	0.327307	Alcohol dehydrogenase 1, complex
AA223028	Mm.28131	0.664911	Mus musculus, clone MGC:11613, mRNA, complete cds
AA237136	Mm.29744	1.64763	solute carrier family 29 (nucleoside transporters), member 1
AA237173	Mm.28191	0.542784	ESTs, Highly  similar to LIVER 60 KD CARBOXYLESTERASE 2 [Oryctolagus cuniculus]
AA237178	Mm.1668	0.314938	flavin containing monooxygenase 5
AA237191	Mm.27329	0.254041	ESTs, Moderately similar to UDB5 MOUSE UDP-GLUCURONOSYLTRANSFERASE 2B5 PRECURSOR, MICROSOMAL [M.musculus]
AA237469	Mm.29847	0.350637	Mus musculus, Similar to isopentenyl-diphosphate delta isomerase, clone MGC:8139, mRNA, complete cds
AA237628	Mm.39974	0.684625	ESTs, Weakly similar to HP33 [R.norvegicus]
AA237922	Mm.38143	1.781152	RIKEN cDNA 0610040J01 gene
AA238193	Mm.10737	0.709575	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B
AA238240	Mm.30728	0.700272	cyclic AMP phosphoprotein, 19kD
AA238260	Mm.3539	0.444237	mannan-binding lectin serine protease 2
AA238492	Mm.12838	0.493495	cytochrome P450, 2j5
AA238875	Mm.4210	0.504895	Aldehyde dehydrogenase 3, stomach cytosolic (class 3)
AA239254	Mm.20697	1.731416	ESTs
AA239277	Mm.28197	0.553911	RIKEN cDNA 1200003H03 gene
AA239480	Mm.24225	0.537459	ESTs, Highly  similar to CYSTATHIONINE BETA-SYNTHASE [Rattus norvegicus]
AA239810	Mm.26834	0.713096	ESTs, Weakly similar to T17225 hypothetical protein DKFZp564C246.1 [H.sapiens]
AA241859	Mm.21983	3.280388	betaine-homocysteine methyltransferase
AA241896	Mm.29988	0.33527	Mus musculus peroxisomal trans 2-enoyl CoA reductase mRNA, complete cds
AA241899	Mm.30026	2.545157	ESTs, Highly similar to AOFB RAT AMINE OXIDASE [R.norvegicus]
AA242445	Mm.46109	0.576102	RIKEN cDNA 1110017B05 gene
AA242625	Mm.22690	0.710312	nuclear receptor subfamily 1, group H, member 3
AA243954	Mm.24032	0.69347	ESTs, Highly similar to KE04p [H.sapiens]
AA244536	Mm.27646	0.471455	3-phosphoadenosine 5-phosphosulfate synthase 2
AA244724	Mm.4971	0.61579	ESTs, Weakly similar to (defline not available 7503932) [C.elegans]
AA245505	Mm.4132	0.565127	cytokine inducible SH2-containing protein 2
AA245657	Mm.29147	0.504175	ESTs, Weakly similar to UDP-galactose:ceramide galactosyltransferase [M.musculus]
AA245727	Mm.934	0.317247	plasmin inhibitor alpha 2
AA249900	Mm.63490	0.70602	ESTs, Highly similar to ES22 MOUSE LIVER CARBOXYLESTERASE 22 PRECURSOR [M.musculus]
AA250079	Mm.56167	0.521585	RIKEN cDNA 5730497N19 gene
AA250213	Mm.2786	0.408321	protein C
AA250720	Mm.175282	0.611955	RIKEN cDNA 4933424L15 gene
AA253890	Mm.4560	0.664925	Low density lipoprotein receptor related protein, associated protein 1
AA254115	Mm.39291	1.631278	ESTs
AA254859	Mm.148779	0.676419	RIKEN cDNA 3110073H01 gene
AA255028	Mm.21965	0.381271	DNA segment, Chr 5, ERATO Doi 593, expressed
AA255141	Mm.35062	0.580802	ESTs, Highly similar to JC1193 angiotensin II receptor 1A - mouse [M.musculus]
AA259342	Mm.35820	0.524087	coproporphyrinogen oxidase
AA259797	Mm.46719	0.531516	RIKEN cDNA 4933432H23 gene
AA259979	Mm.8854	2.129285	angiotensinogen
AA261327	Mm.34789	0.722527	RIKEN cDNA 1200014P03 gene
AA261582	Mm.5087	0.37523	Fibroblast growth factor 1
AA261682	Mm.131548	0.706948	ESTs
AA261715	Mm.6635	0.460349	RIKEN cDNA 1300016K07 gene
AA265282	Mm.32656	0.588936	RIKEN cDNA 2510006C20 gene
AA266387	Mm.1187	0.488921	ESTs
AA266660	Mm.24251	0.455089	Mus musculus putative N-acetyltransferase Camello 2 (cml2) mRNA, complete cds
AA267310	Mm.28686	2.099572	ESTs
AA268104	Mm.74636	0.604273	ESTs
AA268165	Mm.35508	0.551213	RIKEN cDNA 1200003E21 gene
AA268225	Mm.28525	0.674953	RIKEN cDNA 3110052N05 gene
AA268444	Mm.26795	0.364122	ESTs
AA268451	Mm.86376	1.647744	ESTs
AA268817	Mm.78312	0.668248	ESTs, Moderately similar to ubiquitin protein ligase [M.musculus]
AA269798	Mm.70462	0.730716	RIKEN cDNA 2310040G17 gene
AA270019	Mm.21428	1.589236	RIKEN cDNA 2410091N08 gene
AA270185	Mm.46727	0.643074	ESTs
AA271223	Mm.34537	1.665062	CCAAT/enhancer binding protein (C/EBP), alpha
AA271288	Mm.28647	0.667505	RIKEN cDNA 1500010J02 gene
AA271551	Mm.18789	2.382466	SRY-box containing gene 4
AA271705	Mm.21884	1.783845	ESTs, Weakly similar to GTPASE-ACTIVATING PROTEIN SPA-1 [Mus musculus]
AA272067	Mm.1776	0.470801	ferritin heavy chain
AA272198	Mm.3160	0.628432	Uroporphyrinogen III synthase
AA272260	Mm.2020	0.688806	cysteine-rich protein 2
AA272458		0.517746
AA272501	Mm.30130	1.97596	RIKEN cDNA 2310022B03 gene
AA272807	Mm.1254	0.443632	Histocompatibility 2, class II antigen A alpha
AA273211	Mm.38011	2.371929	I3 protein
AA273425	Mm.56437	0.575155	ESTs, Weakly similar to AF155103 1 NY-REN-25 antigen [H.sapiens]
AA274533	Mm.29902	1.903476	ribosomal protein, mitochondrial, S7
AA274541	Mm.41853	0.54182	deoxyribonuclease II
AA274663	Mm.33731	0.478992	ESTs, Weakly similar to SA protein [M.musculus]
AA274685	Mm.7513	0.237347	Hydroxysteroid dehydrogenase-4, delta<5>-3-beta
AA275564	Mm.3242	0.567698	Glycerol kinase
AA275673	Mm.29735	0.283622	RIKEN cDNA 0610006H10 gene
AA275737	Mm.14063	0.663726	retinal short-chain dehydrogenase/reductase 1
AA275781	Mm.27746	0.725171	Down syndrome critical region homolog 2 (human)
AA275926		2.476752
AA275957	Mm.26248	0.650729	RIKEN cDNA 1810019J16 gene
AA276085	Mm.31239	0.567925	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
AA276173	Mm.27038	0.403864	ESTs, Weakly similar to NPT1 MOUSE RENAL SODIUM-DEPENDENT PHOSPHATE TRANSPORT PROTEIN 1 [M.musculus]
AA276254	Mm.7513	0.20644	Hydroxysteroid dehydrogenase-4, delta<5>-3-beta
AA276364	Mm.132943	0.198037	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 12
AA276424		0.46127
AA276440	Mm.22699	0.278583	selenoprotein P, plasma, 1
AA276579	Mm.89572	0.512272	Mus musculus, Similar to CGI-83 protein, clone MGC:7674, mRNA, complete cds
AA276746	Mm.40617	0.416571	RIKEN cDNA 5630400D21 gene
AA276839	Mm.30100	0.641513	RIKEN cDNA 0610012J07 gene
AA277571	Mm.4317	0.566748	Polymeric immunoglobulin receptor
AA288998	Mm.105278	3.413657	RIKEN cDNA 4432411A05 gene
AA289542	Mm.22753	1.540425	cathepsin B
AA289657	Mm.75489	2.752808	ESTs, Weakly similar to S45359 polyubiquitin 10 - rat [R.norvegicus]
AA290107	Mm.29429	1.760304	RIKEN cDNA 3110038L01 gene
AA290390	Mm.10737	0.689014	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B
AA386802	Mm.24795	0.644231	RIKEN cDNA 3110049J23 gene
AA387369	Mm.18939	1.947752	phosphomannomutase 1
AA387625	Mm.46727	0.609858	ESTs
AA388607	Mm.29053	0.533941	cytochrome b-245, beta polypeptide
AA388644	Mm.28766	0.639632	RIKEN cDNA 0610009B10 gene
AA388939	Mm.6160	0.290155	IG ALPHA CHAIN C REGION
AA389278	Mm.103610	0.599422	DnaJ homolog 10
AA395963	Mm.147529	0.678454	RIKEN cDNA 3732409C05 gene
AA396408	Mm.30678	0.313564	ESTs, Weakly similar to TRIACYLGLYCEROL LIPASE PRECURSOR [R.norvegicus]
AA396437	Mm.27502	0.665139	DNA segment, Chr 16, human D22S680E, expressed
AA413194	Mm.24513	0.679856	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 13
AA413296	Mm.25013	0.575901	RIKEN cDNA 1110002C08 gene
AA414632	Mm.18133	2.206052	cyclin-dependent kinase-like 2 (CDC2-related kinase)
AA419788	Mm.6925	0.617482	SEC8 (S. cerevisiae)
AA423144	Mm.3506	2.292606	arginase type II
AA423252	Mm.1912	0.581301	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
AA423392		0.44231
AA423395	Mm.25	0.613464	Growth arrest specific 2
AA433039	Mm.41641	1.656072	RIKEN cDNA 1110070A02 gene
AA433080	Mm.4211	1.622238	solute carrier family 8 (sodium/calcium exchanger), member 1
AA434881	Mm.25808	0.649021	RIKEN cDNA 2310004P21 gene
AA435436		0.64739
AA444721	Mm.34345	0.694778	Mus musculus brain cDNA, clone MNCb-0629, similar to Homo sapiens delta-6 fatty acid desaturase (CYB5RP) mRNA
AA444938	Mm.44763	0.686065	RIKEN cDNA 1300018J18 gene
AA458178	Mm.498	0.108483	CD36 antigen
AA461917	Mm.7156	0.530344	glutathione peroxidase 3
AA463077	Mm.4002	0.551713	RIKEN cDNA 1810015P09 gene
AA467199	Mm.28220	0.66699	ESTs, Weakly similar to G01447 GP36b glycoprotein [H.sapiens]
AA467476	Mm.28830	1.527482	Mus musculus pre-B-cell colony-enhancing factor mRNA, complete cds
AA471960	Mm.2735	0.679134	cubilin (intrinsic factor-cobalamin receptor)
AA472299	Mm.19788	0.65252	Kruppel-like factor 9
AA472410	Mm.2329	0.542427	hemoglobin, beta adult minor chain
AA472437	Mm.7401	0.749569	HS1 binding protein
AA472979	Mm.87221	0.564105	ESTs
AA472994	Mm.38909	0.679009	ESTs, Weakly similar to LY6A MOUSE LYMPHOCYTE ANTIGEN LY-6A.2/LY-6E.1 PRECURSOR [M.musculus]
AA473153	Mm.20413	0.607091	hydroxyacid oxidase (glycolate oxidase) 3
AA473165	Mm.9495	0.635558	kidney-derived aspartic protease-like protein
AA473629	Mm.12838	0.477587	cytochrome P450, 2j5
AA473904	Mm.29884	0.743011	RIKEN cDNA 2310032J20 gene
AA474934	Mm.22242	0.629652	ESTs, Highly similar to GUANINE NUCLEOTIDE-BINDING PROTEIN BETA SUBUNIT-LIKE PROTEIN 12.3 [M.musculus]
AA475121	Mm.8359	1.967559	pyruvate kinase liver and red blood cell
AA475902	Mm.28108	0.464925	RIKEN cDNA 2310016A09 gene
AA475930	Mm.14894	0.616527	plasma glutamate carboxypeptidase
AA498518	Mm.27288	0.714934	DNA segment, Chr 3, Wayne State University 133, expressed
AA499263	Mm.33484	2.188422	RIKEN cDNA 2610021G09 gene
AA499756		2.410749
AA510877	Mm.16790	0.714545	aldo-keto reductase
AA511105		0.628837	Tat-interacting protein TIP30
AA511931		1.67004	Cholecystokinin A receptor
AA519027	Mm.39040	1.575244	myelin and lymphocyte protein; T-cell differentiation protein
AA537342	Mm.38877	0.490332	ESTs
AA537637	Mm.22719	0.49555	acetyl-Coenzyme A synthetase 1 (ADP forming)
AA538456	Mm.196379	0.708435	DNA segment, Chr 8, Wayne State University 49, expressed
AA543106	Mm.88704	0.604434	RIKEN cDNA 2310014J01 gene
AA544354	Mm.9909	0.470707	ESTs, Moderately similar to KIAA1017 protein [H.sapiens]
AA544904	Mm.41265	1.730404	Mus musculus Ras association domain family 3 protein (Rassf3) mRNA, complete cds
W08071	Mm.20324	0.689446	hypothetical protein MNCb-5687
W08348	Mm.27183	0.584222	phenylalkylamine Ca2+ antagonist (emopamil) binding protein
W08694	Mm.1641	0.591331	carbonic anhydrase 4
W09023	Mm.2433	1.603941	mannosidase 2, alpha 1
W09867	Mm.28694	0.582895	RIKEN cDNA 2410088K19 gene
W10134	Mm.29571	1.604566	RIKEN cDNA 1200017E04 gene
W10632	Mm.2240	0.529859	RIKEN cDNA 1110013B16 gene
W12478	Mm.1528	0.633057	glypican 4
W12834	Mm.2259	0.587446	Fumarylacetoacetate hydrolase
W13114	Mm.20942	0.625379	mitsugumin 29
W13698	Mm.20943	0.738558	FK506 binding protein 9
W14581	Mm.29223	0.437242	RIKEN cDNA 9130020G10 gene
W14805	Mm.88078	0.452453	esterase 1
W15813	Mm.19143	0.579675	aminolevulinate synthase H
W16187	Mm.26928	0.595495	RIKEN cDNA 2410027J01 gene
W16221	Mm.2509	0.646699	Procollagen, type VI, alpha 1
W16259	Mm.21917	1.497171	ESTs
W17420	Mm.21439	0.735566	RIKEN cDNA 1110033E03 gene
W17813	Mm.4053	0.721926	talin
W18121	Mm.653	0.700965	Histocompatibility 2, complement component factor B
W18278	Mm.35562	0.264397	ATPase, class VI, type 11A
W18519	Mm.27646	0.458803	3-phosphoadenosine 5-phosphosulfate synthase 2
W29499	Mm.41937	0.522912	RIKEN cDNA 9030409O18 gene
W29589	Mm.183	0.716831	RIKEN cDNA 0610025P10 gene
W34179	Mm.34838	0.626392	RIKEN cDNA 2310042I22 gene
W34507	Mm.139570	2.23703	developmentally regulated repeat element-containing transcript 3
W34670	Mm.46686	0.562973	ESTs
W34921	Mm.20560	2.053689	tumor-associated calcium signal transducer 2
W36940	Mm.4592	0.450751	Cytokine inducible SH2-containing protein
W40904	Mm.34431	0.65959	RIKEN cDNA 2610528J11 gene
W41358	Mm.449	0.200408	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A
W46016	Mm.181833	1.685938	RIKEN cDNA 8430404F20 gene
W48017	Mm.28131	0.677916	Mus musculus, clone MGC:11613, mRNA, complete cds
W53544	Mm.36541	1.829624	RIKEN cDNA 2810017I02 gene
W53762		1.434534	EST
W53946	Mm.40621	0.68851	ESTs
W53951	Mm.35820	0.570221	coproporphyrinogen oxidase
W54099	Mm.6805	1.655462	MYB binding protein (P160) 1a
W54349	Mm.2662	2.507029	Glutathione-S-transferase, alpha 1 (Ya)
W54436	Mm.22111	0.583069	ESTs
W54611	Mm.24210	0.680226	branched chain aminotransferase 2, mitochondrial
W54742		0.700663	BAC284H12 Chromosome 6
W61383	Mm.16898	1.643327	3-phosphoglycerate dehydrogenase
W62360	Mm.35774	0.445884	RIKEN cDNA 5930436K22 gene
W62513	Mm.62356	0.690003	ESTs
W62819	Mm.4919	0.486576	DNA segment, human D4S114
W63981	Mm.41573	0.280679	fibromodulin
W64242	Mm.29210	1.616979	aplysia ras-related homolog N (RhoN)
W65005	Mm.3295	0.667708	Bcl-2-related ovarian killer protein-like-pending
W65557	Mm.1560	0.518961	ESTs
W65619	Mm.4282	0.31829	Adenylate cyclase 7
W65734	Mm.24642	1.497469	ESTs
W70708	Mm.29571	1.543583	RIKEN cDNA 1200017E04 gene
W71660	Mm.31525	0.69396	RIKEN cDNA 1110007C02 gene
W81895	Mm.38492	1.565899	ESTs, Weakly similar to FOR4 MOUSE FORMIN 4 [M.musculus]
W82406		0.64361	Laminin B2 Chain
W82574	Mm.1776	0.500334	ferritin heavy chain
W82923	Mm.30022	4.26874	RIKEN cDNA 1300013F15 gene
W83856	Mm.21473	0.750342	Mus musculus Nit protein 2 (Nit2) mRNA, complete cds
W83904	Mm.4587	0.618588	peptidylprolyl isomerase C
W83974	Mm.4221	0.303004	Carboxypeptidase E
W83988	Mm.1327	0.404193	Decay accelerating factor 1
W84169	Mm.23078	0.304099	ESTs
W84226		1.686941	Brain creatine kinase
W85052	Mm.19390	0.505857	RIKEN cDNA E130116L18 gene
W85238	Mm.21119	1.651079	TBX1 protein
W85376	Mm.2733	0.754243	AU RNA-binding protein/enoyl-coenzyme A hydratase
W85461	Mm.40172	1.597585	ESTs
W88005	Mm.34446	4.054686	cyclin-dependent kinase inhibitor 1A (P21)
W88135	Mm.29625	2.035007	ESTs, Moderately  similar to CYTOCHROME C OXIDASE POLYPEPTIDE VIB [Homo sapiens]
W89964	Mm.5238	2.290858	guanine nucleotide binding protein, alpha 13
W91526	Mm.255	1.618813	homeo box B9
W97158	Mm.22482	1.820718	recombining binding protein suppressor of hairless (Drosophila)
W97296	Mm.21983	3.64219	betaine-homocysteine methyltransferase
W97980	Mm.20046	0.606883	erythrocyte protein band 4.9
W98251	Mm.1075	1.52366	RIKEN cDNA 2010004M01 gene
W98949	Mm.132711	2.102676	ESTs
