ProbeName	p-value	FCAbsolute	regulation	[Control](raw)	[DMH](raw)	[Control](normalized)	[DMH](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_51_P209327	0.01417003	2.8359337	up	63.07811	363.88907	0.73031443	2.2341383	NM_013912	chrX:45378652-45378593	Apln	Mus musculus apelin (Apln), mRNA [NM_013912]	Mm.29262	30878	ENSMUST00000039026
A_51_P128248	0.045749445	6.073282	up	290.0657	2594.045	2.4721568	5.074633	XM_917762	chr12:115946922-115946863	LOC100048770	immunoglobulin heavy chain (J558 family) Complex/Cluster/Region [Source:MGI Symbol;Acc:MGI:96486] [ENSMUST00000103512]	Mm.430747	100048770	ENSMUST00000103505	NP_1216021
A_51_P150876	1.20E-05	5.7771144	up	11.799111	139.18263	-1.669865	0.86048394	NM_133743	chr7:25425989-25426048	Lypd3	Mus musculus Ly6/Plaur domain containing 3 (Lypd3), mRNA [NM_133743]	Mm.281093	72434	ENSMUST00000080718	TC1583029
A_51_P419175	0.005873507	5.1164217	down	101.765236	43.291946	1.4229926	-0.93214256	NM_033615	chr2:130879133-130878985	Adam33	Mus musculus a disintegrin and metallopeptidase domain 33 (Adam33), transcript variant 1, mRNA [NM_033615]	Mm.108550	110751	ENSMUST00000110232	TC1779186
A_51_P265016	0.014926429	2.365461	up	24.284723	111.957344	-0.69979566	0.5423258	NM_023249	chr16:17086205-17086264	Ypel1	Mus musculus yippee-like 1 (Drosophila) (Ypel1), mRNA [NM_023249]	Mm.237941	106369	ENSMUST00000035682	TC1589226
A_51_P488739	0.016982751	3.0346231	up	22.39289	126.912224	-0.87391895	0.72759837	NM_030701	chr5:124313790-124313731	Niacr1	Mus musculus niacin receptor 1 (Niacr1), mRNA [NM_030701]	Mm.440567	80885		TC1583637
A_51_P166339	1.16E-05	13.816827	up	11.600335	328.38464	-1.6943537	2.0940008	NM_009635	chr10:126453541-126454065	Avil	Mus musculus advillin (Avil), mRNA [NM_009635]	Mm.10739	11567	ENSMUST00000129173	TC1718310
A_52_P232580	0.000271068	4.20976	up	82.89329	731.48663	1.1593686	3.2331066	NM_145508	chr1:133025194-133025135	Dyrk3	Mus musculus dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3 (Dyrk3), mRNA [NM_145508]	Mm.39299	226419	ENSMUST00000016670	TC1580794
A_51_P322640	0.002135108	3.924104	up	44.77389	343.51123	0.19122267	2.163586	NM_019577	chr5:136046726-136046667	Ccl24	Mus musculus chemokine (C-C motif) ligand 24 (Ccl24), mRNA [NM_019577]	Mm.31505	56221	ENSMUST00000004936	NP_921295
A_52_P485573	0.000611013	4.3660727	down	2886.5906	1338.9211	6.242005	4.115669	NM_153484	chr15:81656928-81656987	Tef	Mus musculus thyrotroph embryonic factor (Tef), transcript variant 2, mRNA [NM_153484]	Mm.270278	21685	ENSMUST00000023024	NP_1303265
A_52_P18116	0.004719037	3.1676836	up	85.36771	527.77264	1.1174086	2.7808368	NM_019577	chr5:136046544-136046485	Ccl24	Mus musculus chemokine (C-C motif) ligand 24 (Ccl24), mRNA [NM_019577]	Mm.31505	56221	ENSMUST00000004936	NP_921295
A_51_P517672	0.001057746	6.9009905	down	349.88693	105.3281	3.218998	0.43219456	NM_178779	chr1:107176822-107176763	Rnf152	Mus musculus ring finger protein 152 (Rnf152), transcript variant 1, mRNA [NM_178779]	Mm.389162	320311	ENSMUST00000058688	TC1604598
A_52_P638100	0.0305098	12.504801	up	126.39724	2094.429	1.1076998	4.75211	AB070552	chr12:117040896-117040837		Mus musculus V102-D-J-IgG1 mRNA, partial cds, sequence:lec-8. [AB070552]	Mm.335723			NP_592060
A_52_P559566	0.003437828	3.895253	up	48.590397	373.09973	0.30581442	2.2675314		chr12:116481256-116481197					ENSMUST00000103527	TC1725107
A_51_P273626	0.008505757	1.7802491	up	181.05579	653.88165	2.2573001	3.0893793	NM_012061	chr14:13205486-13205427	Cadps	Mus musculus Ca2+-dependent secretion activator (Cadps), transcript variant 1, mRNA [NM_012061]	Mm.260881	27062	ENSMUST00000112658	TC1580076
A_51_P413088	0.009144581	4.106005	down	76.121506	36.61556	0.96561956	-1.072116	NM_009693	chr12:8014710-8014769	Apob	Mus musculus apolipoprotein B (Apob), mRNA [NM_009693]	Mm.221239	238055	ENSMUST00000037520	TC1779961
A_51_P279437	0.001665945	6.533602	up	182.41393	2355.371	2.2305975	4.938476	NM_029662	chr4:122624241-122624182	Mfsd2a	Mus musculus major facilitator superfamily domain containing 2A (Mfsd2a), mRNA [NM_029662]	Mm.331842	76574	ENSMUST00000030408	TC1577655
A_51_P212782	0.000123669	3.8321812	up	90.16544	721.72217	1.2863666	3.2245324	NM_008361	chr2:129190406-129190347	Il1b	Mus musculus interleukin 1 beta (Il1b), mRNA [NM_008361]	Mm.222830	16176	ENSMUST00000028881	TC1585020
A_51_P211436	0.06981986	1.59815	down	84.70713	104.58319	1.1238486	0.44744572	NM_010287	chr9:14673600-14673659	Gpr83	Mus musculus G protein-coupled receptor 83 (Gpr83), mRNA [NM_010287]	Mm.4672	14608	ENSMUST00000115626	TC1592598
A_52_P74106	0.028047876	4.7560635	up	293.0681	2525.616	2.7195423	4.9693103	BC092269	chr12:114544724-114544665		Immunoglobulin heavy chain (gamma polypeptide) Gene [Source:MGI Symbol;Acc:MGI:2144967] [ENSMUST00000103418]	Mm.342177		ENSMUST00000103418	NP_1487447
A_52_P480019	0.042707134	2.3854198	up	90.04565	400.1434	1.1269029	2.3811462	L48666	chr12:116610456-116610395		Mus musculus (cell line C3H/F2-15) chromosome 12 anti-DNA antibody heavy chain mRNA. [L48666]	Mm.474964			NP_921759
A_51_P183197	0.00016623	3.8030698	up	16.97613	132.98195	-1.132049	0.7951155	NM_026415	chr2:25094469-25094410	2310002J15Rik	Mus musculus RIKEN cDNA 2310002J15 gene (2310002J15Rik), mRNA [NM_026415]	Mm.46431	67859	ENSMUST00000043379	TC1584189
A_52_P552036	0.04266027	2.3367856	down	50.99152	41.874508	0.33463368	-0.8898916	NM_001039545	chr11:67010952-67011011	Myh2	Mus musculus myosin, heavy polypeptide 2, skeletal muscle, adult (Myh2), mRNA [NM_001039545]	Mm.422801	17882	ENSMUST00000018641	TC1595008
A_51_P220055	6.84E-05	5.0675406	down	4344.679	1753.1041	6.8532963	4.5120106	NM_172404	chr2:30040860-30040801	Ccbl1	Mus musculus cysteine conjugate-beta lyase 1 (Ccbl1), mRNA [NM_172404]	Mm.216089	70266	ENSMUST00000113660	TC1587692
A_51_P437050	0.000305076	1.7624213	up	24.000212	87.642456	-0.62593764	0.19162114	AK043598	chr16:33768387-33768446		HEG homolog 1 (zebrafish) Gene [Source:MGI Symbol;Acc:MGI:1924696] [ENSMUST00000126532]	Mm.245741		ENSMUST00000126532	TC1587452
A_51_P390354	0.035033114	1.8062716	up	35.960148	132.83398	-0.07307068	0.7799441	NM_027116	chr7:20110217-20110276	Nkpd1	Mus musculus NTPase, KAP family P-loop domain containing 1 (Nkpd1), mRNA [NM_027116]	Mm.77325	69547		TC1589000
A_51_P365378	0.000303795	3.7159917	down	6789.408	3781.7659	7.5148635	5.621116	NM_145388	chr8:87531219-87531160	Best2	Mus musculus bestrophin 2 (Best2), transcript variant 1, mRNA [NM_145388]	Mm.215154	212989	ENSMUST00000059072	TC1587505
A_51_P267783	0.000151318	4.438063	up	33.91367	313.5341	-0.1273578	2.0225725	NM_008350	chr7:4724906-4724847	Il11	Mus musculus interleukin 11 (Il11), mRNA [NM_008350]	Mm.35814	16156	ENSMUST00000094892	TC1592701
A_51_P432288	2.38E-05	5.2296453	up	33.907955	368.71146	-0.12687285	2.2598403	NM_153504	chr4:62088706-62088647	Rnf183	Mus musculus ring finger protein 183 (Rnf183), mRNA [NM_153504]	Mm.169565	76072	ENSMUST00000107454	TC1589184
A_51_P174314	0.000150535	3.4853904	up	50.331665	363.8125	0.44340038	2.2447207	NM_019413	chr16:73045731-73045790	Robo1	Mus musculus roundabout homolog 1 (Drosophila) (Robo1), mRNA [NM_019413]	Mm.310772	19876	ENSMUST00000023600	TC1596964
A_51_P230716	0.08709944	4.9022713	up	192.91026	1296.546	1.7856379	4.079088	XM_917510	chr12:116358226-116358167		Ig heavy chain V region B1-8/186-2 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P01751] [ENSMUST00000103541]	Mm.361298		ENSMUST00000103521	NP_045447
A_52_P257625	0.008403987	1.8905001	up	166.05019	643.15894	2.1488779	3.0676458	NM_023612	chr13:114008204-114008263	Esm1	Mus musculus endothelial cell-specific molecule 1 (Esm1), mRNA [NM_023612]	Mm.38929	71690	ENSMUST00000038144	NP_424788
A_52_P565636	0.055499963	7.040415	up	121.22531	1173.6078	1.0996218	3.9152822	AY172876	chr12:116134485-116134426		Mus musculus clone BApecB1a-P3 immunoglobulin heavy chain variable region mRNA, partial cds. [AY172876]	Mm.436338			NP_595913
A_52_P544435	0.025976302	2.9338152	up	329.26346	1788.1909	2.985575	4.538353	X63808	chr6:68630763-68630822		M.musculus mRNA for IgM V(k)MRB6. [X63808]	Mm.423262		ENSMUST00000103329	NP_046809
A_52_P534749	7.43E-05	7.034105	up	28.465406	404.3142	-0.4172988	2.397068	NM_008719	chr1:39418941-39419000	Npas2	Mus musculus neuronal PAS domain protein 2 (Npas2), mRNA [NM_008719]	Mm.2380	18143	ENSMUST00000056815	TC1589507
A_51_P180492	0.0002743	10.52876	down	24274.154	4604.8716	9.291791	5.8955274	NM_016974	chr7:52965265-52965324	Dbp	Mus musculus D site albumin promoter binding protein (Dbp), mRNA [NM_016974]	Mm.378235	13170	ENSMUST00000107740	TC1606762
A_52_P75027	0.00017057	3.6139314	down	270.85983	154.54332	2.8566952	1.003126	BC025186	chr8:129958980-129958921	Gm9909	Mus musculus predicted gene, ENSMUSG00000053531, mRNA (cDNA clone MGC:32466 IMAGE:5044645), complete cds. [BC025186]	Mm.429095	628856		TC1595748
A_51_P103364	0.0721926	5.904523	up	398.24063	3163.4246	2.802971	5.3647914	XM_917510	chr12:117238298-117238239	LOC435333	PREDICTED: Mus musculus similar to monoclonal antibody heavy chain (LOC435333), mRNA [XM_917510]	Mm.357651	435333	ENSMUST00000103552	NP_614310
A_52_P161454	0.003661338	2.5863655	up	61.792603	318.75592	0.6812523	2.0521784	NM_027570	chr8:114150556-114150497	Ldhd	Mus musculus lactate dehydrogenase D (Ldhd), nuclear gene encoding mitochondrial protein, mRNA [NM_027570]	Mm.27589	52815	ENSMUST00000070004	TC1577050
A_52_P139027	0.048430312	10.473684	up	411.96982	5293.935	2.7168255	6.1055226	U39781	chr12:116446347-116446288	Igh-VJ558	Mus musculus J558+ IgM heavy chain mRNA, hybridoma clone ME2B7, partial cds. [U39781]	Mm.335723	16061		TC1710853
A_52_P490470	0.057981547	9.754204	up	295.43454	3454.8948	2.2017226	5.4877467		chr12:116597390-116597331		GB				NP_614311
A_52_P326502	0.002903321	2.2545855	up	252.1534	1169.1823	2.74668	3.9195423	NM_177753	chr14:118633286-118633227	Sox21	Mus musculus SRY-box containing gene 21 (Sox21), mRNA [NM_177753]	Mm.478420	223227	ENSMUST00000082178	TC1623939
A_51_P263568	0.004256655	2.6961992	up	21.559065	115.40513	-0.8407592	0.5901678	NM_175440	chr17:24182617-24182676	Prss27	Mus musculus protease, serine 27 (Prss27), mRNA [NM_175440]	Mm.133083	213171	ENSMUST00000059482	TC1590360
A_51_P427052	0.06559471	1.9817542	down	258.32727	248.63335	2.6734364	1.6866584	NM_008868	chr4:138300427-138300486	Pla2g2c	Mus musculus phospholipase A2, group IIC (Pla2g2c), mRNA [NM_008868]	Mm.5189	18781	ENSMUST00000030530	TC1589447
A_51_P289796	0.006957038	2.6694539	up	312.5237	1700.5939	3.0553467	4.4718914	NM_177305	chr1:90596861-90596802	Arl4c	Mus musculus ADP-ribosylation factor-like 4C (Arl4c), mRNA [NM_177305]	Mm.27968	320982		TC1642265
A_51_P365516	3.02E-05	3.2828627	down	69576.586	43692.402	10.868381	9.153426	NM_009258	chr18:43887858-43887802	Spink3	Mus musculus serine peptidase inhibitor, Kazal type 3 (Spink3), mRNA [NM_009258]	Mm.272	20730	ENSMUST00000025381	TC1728579
A_52_P127358	0.000751274	3.1612153	up	125.25965	796.2707	1.7153492	3.3758285	NM_007961	chr6:134219333-134219392	Etv6	Mus musculus ets variant gene 6 (TEL oncogene) (Etv6), mRNA [NM_007961]	Mm.269995	14011	ENSMUST00000111963	TC1634200
A_52_P771481	0.000471622	2.4864652	up	21.532274	108.90861	-0.80880713	0.5052891	AK078079	chr14:13496743-13496684		Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330437K14 product:unclassifiable, full insert sequence. [AK078079]
A_51_P134228	0.048428692	2.2208881	down	80.50042	69.80245	0.99509114	-0.1560456	NM_172563	chr11:90200037-90199978	Hlf	Mus musculus hepatic leukemia factor (Hlf), mRNA [NM_172563]	Mm.158903	217082	ENSMUST00000004051	TC1577248
A_51_P399305	9.79E-05	1.9192849	up	159.78238	630.918	2.0990436	3.0396125	NM_013869	chr14:61583007-61582948	Tnfrsf19	Mus musculus tumor necrosis factor receptor superfamily, member 19 (Tnfrsf19), transcript variant 1, mRNA [NM_013869]	Mm.281356	29820	ENSMUST00000111234	TC1577033
A_52_P523368	1.51E-06	4.2142506	up	49.69203	431.54407	0.41811275	2.493389	NM_175249	chr5:36548795-36548854	Psapl1	Mus musculus prosaposin-like 1 (Psapl1), mRNA [NM_175249]	Mm.44242	76943	ENSMUST00000052224	TC1580718
A_52_P267651	0.001854552	1.7200832	up	267.08182	952.7261	2.8523648	3.634843	NM_007489	chr7:120456978-120457037	Arntl	Mus musculus aryl hydrocarbon receptor nuclear translocator-like (Arntl), mRNA [NM_007489]	Mm.440371	11865	ENSMUST00000084703	TC1577063
A_52_P550734	0.03670666	2.0745456	up	179.74782	751.75214	2.238331	3.2911265	NM_053173	chr17:27062844-27063223	Kifc1	Mus musculus kinesin family member C1 (Kifc1), mRNA [NM_053173]	Mm.258953	16580	ENSMUST00000088099	NP_378915
A_51_P463087	0.00054206	4.1639066	up	30.28486	253.00288	-0.33943605	1.7185014	NM_178269	chr15:82071790-82070363	Cenpm	Mus musculus centromere protein M (Cenpm), transcript variant 2, mRNA [NM_178269]	Mm.23596	66570	ENSMUST00000089155	TC1663359
