Probeset	Gene Description	KEGG_PATHWAY or GOTERMBP5
1419300at, 1440926at, 1454037aat,	FMS-like tyrosine kinase 1	ANGIOGENESIS
1423571_at	endothelial differentiation sphingolipid G-protein-coupled receptor 1	ANGIOGENESIS
1435823xat, 1451427aat,	EGF-like domain 7	ANGIOGENESIS
1416238at	tyrosine kinase receptor 1	ANGIOGENESIS
1449379at	kinase insert domain protein receptor	ANGIOGENESIS
1421335aat	Vascular endothelial zinc finger 1	ANGIOGENESIS
1449110at	ras homolog gene family, member B	ANGIOGENESIS
1426206at	roundabout homolog 4 (Drosophila)	ANGIOGENESIS
1449146at	Notch gene homolog 4 (Drosophila)	ANGIOGENESIS
1442340xat, 1457823at	cysteine rich protein 61	ANGIOGENESIS
1417271aat, 1432176aat	endoglin	ANGIOGENESIS
1448529at	thrombomodulin	BLOOD COAGULATION
1425284aat	RAB27A, member RAS oncogene family	BLOOD COAGULATION
1429123at	RAB27A, member RAS oncogene family	BLOOD COAGULATION
1449305at	coagulation factor X	BLOOD COAGULATION
1421288_at	coagulation factor II (thrombin) receptor-like 3	BLOOD COAGULATION
1449269at	coagulation factor V	BLOOD COAGULATION
1420664sat	protein C receptor, endothelial	BLOOD COAGULATION
1449558at	coagulation factor VIII	BLOOD COAGULATION
1449135at	sry-box containing gene 18	VASCULOGENESIS
1449145aat	caveolin, caveolae protein 1	VASCULOGENESIS
1435823xat, 1451427aat,	EGF-like domain 7	VASCULOGENESIS
1449379at	kinase insert domain protein receptor	VASCULOGENESIS
1415999_at	hairy/enhancer-of-split related with YRPW motif 1	VASCULOGENESIS
1433956_at	cadherin 5	Blood Vessel Development
1449146_at	notch gene homolog 4 (drosophila)	Blood Vessel Development
1451475_at	plexin d1	Blood Vessel Development
1449110_at	ras homolog gene family, member b	Blood Vessel Development
1426206_at	roundabout homolog 4 (drosophila)	Blood Vessel Development
1416238_at	tyrosine kinase receptor 1	Blood Vessel Development
1442340_x_at, 1457823_at	cysteine rich protein 61	Blood Vessel Development
1424051_at	procollagen, type iv, alpha 2	Blood Vessel Development
1422865_at, 1440878_at	runt related transcription factor 1	Blood Vessel Development
1449135_at	sry-box containing gene 18	Blood Vessel Development
1419300_at, 1440926_at, 1451756_at, 1454037_a_at	fms-like tyrosine kinase 1	Blood Vessel Development
1425582_a_at	endomucin	Blood Vessel Development
1449145_a_at	caveolin, caveolae protein 1	Blood Vessel Development
1417271_a_at, 1432176_a_at	endoglin	Blood Vessel Development
1415999_at	hairy/enhancer-of-split related with yrpw motif 1	Blood Vessel Development
1421335_a_at	vascular endothelial zinc finger 1	Blood Vessel Development
1450199_a_at	stabilin 1	Blood Vessel Development
1449379_at	kinase insert domain protein receptor	Blood Vessel Development
1419485_at, 1419486_at	forkhead box c1	Blood Vessel Development
1424807_at	laminin, alpha 4	Blood Vessel Development
1417662_at, 1448797_at, 1435143_at	elk3, member of ets oncogene family	Blood Vessel Development
1435823_x_at, 1451428_x_at, 1451427_a_at	egf-like domain 7	Blood Vessel Development
1423571_at	endothelial differentiation sphingolipid g-protein-coupled receptor 1	Blood Vessel Development
1449146_at	notch gene homolog 4 (drosophila)	Blood Vessel Morphogenesis
1451475_at	plexin d1	Blood Vessel Morphogenesis
1449110_at	ras homolog gene family, member b	Blood Vessel Morphogenesis
1426206_at	roundabout homolog 4 (drosophila)	Blood Vessel Morphogenesis
1416238_at	tyrosine kinase receptor 1	Blood Vessel Morphogenesis
1442340_x_at, 1457823_at	cysteine rich protein 61	Blood Vessel Morphogenesis
1424051_at	procollagen, type iv, alpha 2	Blood Vessel Morphogenesis
1422865_at, 1440878_at	runt related transcription factor 1	Blood Vessel Morphogenesis
1449135_at	sry-box containing gene 18	Blood Vessel Morphogenesis
1419300_at, 1440926_at, 1451756_at, 1454037_a_at	fms-like tyrosine kinase 1	Blood Vessel Morphogenesis
1425582_a_at	endomucin	Blood Vessel Morphogenesis
1449145_a_at	caveolin, caveolae protein 1	Blood Vessel Morphogenesis
1417271_a_at, 1432176_a_at	endoglin	Blood Vessel Morphogenesis
1415999_at	hairy/enhancer-of-split related with yrpw motif 1	Blood Vessel Morphogenesis
1421335_a_at	vascular endothelial zinc finger 1	Blood Vessel Morphogenesis
1450199_a_at	stabilin 1	Blood Vessel Morphogenesis
1449379_at	kinase insert domain protein receptor	Blood Vessel Morphogenesis
1419485_at, 1419486_at	forkhead box c1	Blood Vessel Morphogenesis
1417662_at, 1448797_at, 1435143_at	elk3, member of ets oncogene family	Blood Vessel Morphogenesis
1435823_x_at, 1451428_x_at, 1451427_a_at	egf-like domain 7	Blood Vessel Morphogenesis
1423571_at	endothelial differentiation sphingolipid g-protein-coupled receptor 1	Blood Vessel Morphogenesis
