GB_ACC	Gene	SYMBOL	CHR	X	Expression
NM_008618	"Malate dehydrogenase 1, NAD (soluble)"	Mdh1	11	-3.99	Down-regulated genes
NM_008605	Matrix metalloproteinase 12	Mmp12	9	-6.73	Down-regulated genes
NM_011985	Matrix metalloproteinase 23	Mmp23	4	-4.2	Down-regulated genes
XM_133510	Methylmalonyl CoA epimerase	Mcee	7	-3.38	Down-regulated genes
NM_029568	Microfibrillar-associated protein 4	Mfap4	11	-8.82	Down-regulated genes
NM_008622	"Mpv17 transgene, kidney disease mutant"	Mpv17	5	-4.21	Down-regulated genes
NM_175260	"Myosin heavy chain 10, non-muscle"	Myh10	11	-3.92	Down-regulated genes
NM_013607	"Myosin, heavy polypeptide 11, smooth muscle"	Myh11	16	-1.86	Down-regulated genes
NM_010861	"Myosin, light polypeptide 2, regulatory, cardiac, slow"	Myl2	5	-3.87	Down-regulated genes
NM_144870	NADH dehydrogenase (ubiquinone) Fe–S protein 8	Ndufs8	19	-5.04	Down-regulated genes
NM_008695	Nidogen 2	Nid2	14	-4.6	Down-regulated genes
NM_011615	Nitrilase 1	Nit1	1	-5.94	Down-regulated genes
NM_008699	"NK2 transcription factor related, locus 3 (Drosophila)"	Nkx2-3	19	-2.46	Down-regulated genes
NM_026532	Nuclear transport factor 2	Nutf2	8	-3.96	Down-regulated genes
NM_020288	Olfactory receptor 749	Olfr749	14	-3.88	Down-regulated genes
NM_013590	P lysozyme structural	Lzp-s	10	17.78	Down-regulated genes
NM_008885	Peripheral myelin protein	Pmp22	11	-5.42	Down-regulated genes
NM_016764	Peroxiredoxin 4	Prdx4	X	-5.11	Down-regulated genes
XM_242396	"Polymerase (DNA directed), alpha 1"	Pola1	X	-6.59	Down-regulated genes
NM_027196	"Polymerase (DNA-directed), delta 4"	Pold4	19	-5.19	Down-regulated genes
NM_021342	"Potassium voltage-gated channel, Isk-related subfamily, gene 4"	Kcne4	1	-3.81	Down-regulated genes
NM_029620	Procollagen C-endopeptidase enhancer 2	Pcolce2	9	-3.17	Down-regulated genes
NM_009932	"Procollagen, type IV, alpha 2"	Col4a2	8	-6.27	Down-regulated genes
NM_009933	"Procollagen, type VI, alpha 1"	Col6a1	10	-8.8	Down-regulated genes
NM_011179	Prosaposin	Psap	10	-4.57	Down-regulated genes
NM_019564	"Protease, serine, 11 (Igf binding)"	Prss11	7	-4.19	Down-regulated genes
NM_146081	"Protein phosphatase 4, regulatory subunit 1"	Ppp4r1	17	-3.69	Down-regulated genes
NM_016802	"Ras homolog gene family, member A"	Rhoa	9	-2.41	Down-regulated genes
NM_009200	"Solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"	Slc1a6	10	-3.35	Down-regulated genes
NM_026255	"Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 26"	Slc25a26	6	-4.52	Down-regulated genes
Z47775	Sorbin and SH3 domain containing 2	Sorbs2	8	-3.69	Down-regulated genes
NM_025303	Staufen (RNA binding protein) homolog 2 (Drosophila)	Stau2	1	-3.95	Down-regulated genes
NM_023374	"Succinate dehydrogenase complex, subunit B, iron–sulfur (Ip)"	Sdhb	4	-4.1	Down-regulated genes
NM_029811	Suppression of tumorigenicity 5	St5	7	-3.65	Down-regulated genes
AY548113	Thioredoxin domain containing 12 (endoplasmic reticulum)	Txndc12	4	-3.65	Down-regulated genes
NM_172597	Thioredoxin domain containing 16	Txndc16	14	-3.45	Down-regulated genes
NM_011595	Tissue inhibitor of metalloproteinase 3	Timp3	10	-4.61	Down-regulated genes
NM_011626	TPA regulated locus	Tparl	5	-3.71	Down-regulated genes
NM_009367	"Transforming growth factor, beta 2"	Tgfb2	1	-6.33	Down-regulated genes
NM_016873	WNT1 inducible signaling pathway protein 2	Wisp2	2	-12.76	Down-regulated genes
AF017806	Zinc finger protein 292	Zfp292	4	-4.17	Down-regulated genes
