Affymetrix Probe ID	Gene symbol	Gene name	p-value	PPDE (<p)	Fold Difference
218638_s_at	SPON2	spondin 2, extracellular matrix protein	0.000282	0.9953571	6.706882646
221610_s_at	STAP2	signal transducing adaptor family member 2	0.0000736	0.9980188	6.467590302
37117_at	ARHGAP8	Rho GTPase activating protein 8 /// PRR5-ARHGAP8 fusion /// proline rich 5 (renal)	0.000343	0.9947444	6.447058824
218180_s_at	EPS8L2	EPS8-like 2	0.000409	0.9941256	6.379204139
219762_s_at	RPL36	ribosomal protein L36	0.000388	0.9943182	6.346424598
212686_at	PPM1H	protein phosphatase 1H (PP2C domain containing)	0.000381	0.9943832	6.306169297
201952_at	ALCAM	activated leukocyte cell adhesion molecule	0.0000657	0.9981566	6.251836306
218189_s_at	NANS	N-acetylneuraminic acid synthase	0.000677	0.9919232	6.209539874
201197_at	AMD1	adenosylmethionine decarboxylase 1	0.000158	0.9967834	6.208270406
219266_at	ZNF350	zinc finger protein 350	0.00047	0.9935859	6.140982763
214798_at	ATP2C2	ATPase, Ca++ transporting, type 2C, member 2	0.000378	0.9944112	6.140468227
210293_s_at	SEC23B	Sec23 homolog B (S. cerevisiae)	0.000911	0.9902603	6.137959421
203468_at	CDK10	cyclin-dependent kinase 10	0.00064	0.9922047	6.136971643
212115_at	HN1L	hematological and neurological expressed 1-like	0.000151	0.9968745	6.054827443
201829_at	NET1	neuroepithelial cell transforming 1	0.000135	0.9970888	6.005787815
203216_s_at	MYO6	myosin VI	0.000365	0.9945336	6.002820415
214651_s_at	HOXA9	homeobox A9	0.000116	0.9973558	5.992595985
217867_x_at	BACE2	beta-site APP-cleaving enzyme 2	0.000938	0.9900794	5.982477064
222258_s_at	SH3BP4	SH3-domain binding protein 4	0.000152	0.9968614	5.962858675
201734_at	CLCN3	Chloride channel 3	0.000249	0.9957089	5.931487277
212789_at	NCAPD3	non-SMC condensin II complex, subunit D3	0.000406	0.9941528	5.915033575
214733_s_at	YIPF1	Yip1 domain family, member 1	0.0000945	0.9976783	5.863670654
217825_s_at	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	0.00043	0.9939366	5.755128482
202722_s_at	GFPT1	glutamine-fructose-6-phosphate transaminase 1	0.000613	0.9924139	5.720239435
212812_at	N/A	---	0.0000787	0.9979328	5.685334873
202768_at	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	0.000406	0.9941528	5.667142517
208650_s_at	CD24	CD24 molecule	0.000311	0.9950603	5.653256115
213587_s_at	ATP6V0E2	ATPase, H+ transporting V0 subunit e2	0.000743	0.9914349	5.562286137
210108_at	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	0.000244	0.9957637	5.51727088
214106_s_at	GMDS	GDP-mannose 4,6-dehydratase	0.000653	0.9921051	5.37444242
218145_at	TRIB3	tribbles homolog 3 (Drosophila)	0.000337	0.9948028	5.330316742
209934_s_at	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	0.000169	0.9966432	5.323181344
213106_at	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	0.000894	0.9903752	5.284983761
212412_at	PDLIM5	PDZ and LIM domain 5	0.000391	0.9942904	5.209556845
208837_at	TMED3	transmembrane emp24 protein transport domain containing 3	0.000576	0.9927064	5.1691058
218546_at	C1orf115	chromosome 1 open reading frame 115	0.000936	0.9900927	5.124216877
202313_at	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform	0.000643	0.9921816	4.791627864
202088_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6	0.000318	0.9949902	4.773188986
212295_s_at	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	0.000424	0.9939902	4.746157066
209478_at	STRA13	stimulated by retinoic acid 13 homolog (mouse)	0.000387	0.9943274	4.696256272
201693_s_at	EGR1	early growth response 1	0.000675	0.9919383	4.693809461
213029_at	NFIB	nuclear factor I/B	0.000821	0.9908784	4.663085733
205812_s_at	TMED9	transmembrane emp24 protein transport domain containing 9	0.000328	0.9948911	4.597959292
202363_at	SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	0.000779	0.9911755	4.587246468
221984_s_at	FAM134A	family with sequence similarity 134, member A	0.000583	0.9926505	4.474318271
217752_s_at	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)	0.000447	0.9937861	4.457933355
203219_s_at	APRT	adenine phosphoribosyltransferase	0.000519	0.993171	4.428762766
201662_s_at	ACSL3	acyl-CoA synthetase long-chain family member 3	0.000485	0.9934572	4.256077353
218248_at	FAM111A	family with sequence similarity 111, member A	0.000307	0.9951006	4.242876267
212433_x_at	RPS2	ribosomal protein S2	0.000465	0.9936291	4.197697484
204142_at	ENOSF1	enolase superfamily member 1	0.000188	0.9964087	4.180787373
200636_s_at	PTPRF	protein tyrosine phosphatase, receptor type, F	0.000477	0.9935257	4.049839116
211070_x_at	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	0.000679	0.9919081	4.017987667
221802_s_at	KIAA1598	KIAA1598	0.000501	0.9933217	3.905538716
202786_at	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	0.00092	0.9901997	3.887153866
211137_s_at	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	0.000834	0.9907876	3.838366433
201416_at	SOX4	SRY (sex determining region Y)-box 4	0.000671	0.9919684	3.830886308
213892_s_at	APRT	adenine phosphoribosyltransferase	0.000583	0.9926505	3.665443003
219117_s_at	FKBP11	FK506 binding protein 11, 19 kDa	0.000593	0.9925712	3.605491044
200681_at	GLO1	glyoxalase I	0.000589	0.9926029	3.497421744
212181_s_at	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4 /// nudix (nucleoside diphosphate linked moiety X)-type motif 4 pseudogene 1	0.000735	0.9914932	3.408151472
206656_s_at	C20orf3	chromosome 20 open reading frame 3	0.000761	0.9913046	3.259859839
216379_x_at	CD24	CD24 molecule	0.000709	0.9916843	3.198847712
209771_x_at	CD24	CD24 molecule	0.000571	0.9927464	3.126018012
