Curated Gene Symbol	Gene ID	Symbol	Zs score Advac	Z score AdE2
ASS1	NM_054012	ASS	-0.161125195	1.885255318
	NM_014825		-0.619450916	1.86461032
KIF11	NM_004523	KIF11	-0.189599562	1.85503013
LSM2	NM_021177	LSM2	-0.787648731	1.85045157
RERGL	NM_024730	RERGL	-1.474259327	1.848355939
QSER1	NM_024774	FLJ21924	-0.641872055	1.847839732
PEX11A	NM_003847	PEX11A	-0.714599009	1.844707135
CYP11B1	NM_000497	CYP11B1	-0.610893996	1.837110776
FRY	NM_023037	13CDNA73	-0.277541146	1.835689757
B3GAT3	NM_012200	B3GAT3	-1.250317663	1.833086095
C11orf54	NM_014039	PTD012	-0.342595971	1.828850805
PATZ1	NM_014323	ZNF278	-0.493721228	1.827975371
NRCAM	NM_005010	NRCAM	-0.67451736	1.808217263
	XM_058235		-1.072145675	1.808115357
DHRS11	NM_024308	MGC4172	-0.704484179	1.798796447
	1522_HK1		-0.368878812	1.7854617
TWF1	NM_002822	PTK9	-1.01141888	1.778342707
TAS2R10	NM_023921	TAS2R10	-0.428912445	1.777615892
	XM_016290		-0.864232623	1.770607292
CXCL1	NM_001511	CXCL1	-0.466461822	1.769165158
C8orf17	NM_020237	C8orf17	-0.37373179	1.768727063
FKBP14	NM_017946	FKBP14	-1.367815257	1.759406453
GOLGA5	NM_005113	GOLGA5	-0.444470158	1.756588204
KIAA0141	NM_014773	KIAA0141	-0.338382222	1.755048249
	NM_016041	F-LANa	-0.413295666	1.750945802
NFATC1	NM_006162	NFATC1	-1.313372291	1.749956716
GLRB	NM_000824	GLRB	-0.301297461	1.734485533
RPP25	NM_017793	RPP25	-0.642513535	1.732927373
TRIP11	NM_004239	TRIP11	-0.998145408	1.726509396
AKR1B1	NM_001628	AKR1B1	-0.379513124	1.71851825
	XM_002479		-0.525843752	1.70903235
	NM_018507		-0.493286969	1.708400043
TPM4	NM_003290	TPM4	-0.503104512	1.707324858
	NM_024500		-0.563254332	1.70047574
NR3C1	NM_000176	NR3C1	-0.493154454	1.696312502
PRTN3	NM_015484	P29	-0.529295029	1.690687106
PDPR	NM_017990	PDPR	-0.797525195	1.689383079
ABLIM3	NM_014945	ABLIM3	-1.403392604	1.687935004
PAK1IP1	NM_017906	PAK1IP1	-0.813294118	1.681574553
STRBP	NM_018387	STRBP	-0.394578215	1.680762468
CLASRP	NM_007056	SFRS16	-0.80503397	1.67952241
KRT2	NM_000423	KRT2A	-0.843918224	1.673377676
SIGLEC6	NM_001245	SIGLEC6	-1.088070159	1.673216018
CXCL13	NM_006419	CXCL13	-1.188392013	1.662190531
	NM_005878		-0.422171482	1.656083475
	XM_013075		-0.949619221	1.654826399
NF2	NM_016418	NF2	-1.425557832	1.651895809
GALNT11	NM_022087	GALNT11	-1.506908225	1.651449593
	XM_057352		-0.5408811	1.650505917
MTERFD1	NM_015942	CGI-12	-0.453701463	1.650283162
ZNF446	NM_017908	FLJ20626	-0.789872095	1.649991434
TNFSF8	NM_001244	TNFSF8	-1.770037465	1.649548482
VCAN	NM_004385	CSPG2	-0.584210358	1.647549898
	XM_016617		-0.411481339	1.646266254
TLR3	NM_003265	TLR3	-0.519020483	1.64455175
LGSN	NM_016571	GLULD1	-0.834451172	1.643606155
TNIP2	NM_024309	TNIP2	-0.5322423	1.641028616
RXRG	NM_006917	RXRG	-0.497528369	1.636775335
TMEM127	NM_017849	TMEM127	-1.955890032	1.63435177
CWH43	NM_025087	CWH43	-2.195327449	1.627718367
UBE2J1	NM_016021	UBE2J1	-1.465142586	1.626890053
PTTG1	NM_004219	PTTG1	-1.758935238	1.624614174
MSC	AF087036	MSC	-0.40566708	1.621554944
IL1R1	NM_000877	IL1R1	-0.585059938	1.620910583
LCMT2	NM_014793	LCMT2	-0.940921135	1.61796768
MGAT4A	NM_012214	MGAT4A	-1.49792647	1.61562835
CCDC90B	NM_021825	MDS025	-0.513148572	1.606509639
SLC6A6	NM_003043	SLC6A6	-0.404658742	1.606274273
PCSK1	NM_000439	PCSK1	-0.851221056	1.602034375
	NM_025192		-0.733159395	1.589316037
GPATCH3	NM_022078	FLJ12455	-0.521386929	1.588789773
ZFAND6	AF261138	AWP1	-0.980444318	1.587080252
ZNF668	NM_024706	FLJ13479	-0.695252736	1.585234186
	NM_019042		-0.576762171	1.579208053
IL36A	NM_014440	IL1F6	-0.724031916	1.579177703
EIF4A1	NM_001416	EIF4A1	-0.908923827	1.578266792
LRAT	NM_004744	LRAT	-1.05492754	1.577202014
TOR1AIP2	NM_022347	IFRG15	-0.512855081	1.575719405
TCP11L1	NM_018393	FLJ11336	-0.798335706	1.574441262
SERPINB7	NM_003784	SERPINB7	-1.052111711	1.574423031
GOSR2	NM_054022	GOSR2	-0.763146763	1.567913773
RNMTL1	NM_018146	FLJ10581	-0.471757497	1.552809384
LIMK1	NM_016735	LIMK1	-1.185770341	1.545192748
	NM_003671		-1.329378804	1.544160978
SLC13A2	NM_003984	SLC13A2	-1.530485646	1.536055066
PSMD10	NM_002814	PSMD10	-0.687202046	1.533273222
CDH7	NM_033646	CDH7	-0.8101649	1.530139112
HDDC2	NM_016063	C6orf74	-1.479141408	1.528261906
	NM_025055		-0.779213042	1.527835761
LRRC49	NM_017691	FLJ20156	-0.570574802	1.526152685
ACTR2	NM_005722	ACTR2	-1.448993044	1.523512927
MAPK11	NM_002751	MAPK11	-0.723736769	1.522649032
BAG3	NM_004281	BAG3	-0.591680657	1.518690021
	XM_004473		-1.068070214	1.515135845
P4HA2	NM_004199	P4HA2	-0.93581844	1.51327353
BNC2	NM_017637	BNC2	-0.796418649	1.511406044
	NM_025068		-1.08401776	1.511372706
CRNKL1	NM_016652	CRNKL1	-1.278627312	1.508846475
TBC1D2	NM_018421	TBC1D2	-0.552786015	1.506265474
	NM_016206	FLJ38507	-0.971724285	1.502434786
CRKL	NM_005207	CRKL	-1.468173409	1.501420226
RPA4	NM_013347	HSU24186	-0.71992707	1.501022571
IMPAD1	NM_017813	FLJ20421	-0.80236322	1.500453696
GNA15	NM_002068	GNA15	-0.596822609	1.497884993
MGST3	NM_004528	MGST3	-1.810082765	1.497706311
TRAPPC3	NM_014408	TRAPPC3	-1.020308706	1.493459352
PVR	NM_006505	PVR	-0.528126288	1.491713417
UGGT2	NM_020121	UGCGL2	-0.784884854	1.484510381
CENPN	NM_018455	BM039	-0.945920351	1.482166616
TCERG1	NM_006706	TCERG1	-1.31879109	1.480678819
	NM_014777		-1.14587963	1.471429829
RAG1	NM_000448	RAG1	-1.425658397	1.46904025
C12orf5	NM_020375	C12orf5	-1.929449787	1.467121759
SAP30BP	NM_013260	HCNGP	-1.513980763	1.4577086
GZMA	NM_006144	GZMA	-1.602649166	1.45626137
CYP11A1	NM_000781	CYP11A1	-0.812672839	1.455799531
OTUB2	NM_023112	OTUB2	-0.651547685	1.454314218
VAV2	NM_003371	VAV2	-1.323044571	1.44158513
CALCR	NM_001742	CALCR	-1.014824786	1.440413113
AVIL	NM_006576	AVIL	-0.882411869	1.437851588
PPP2R5A	NM_006243	PPP2R5A	-1.711828087	1.429911668
ANGPT2	NM_001147	ANGPT2	-0.606928625	1.427592887
PCSK1N	NM_013271	PCSK1N	-0.856151476	1.418623731
	NM_023070	LOC65243	-0.975022631	1.414426755
FAM160B2	NM_022749	RAI16	-0.829829884	1.413236611
PNRC2	NM_017761	PNRC2	-0.783468908	1.413098128
	BC000073		-0.840682046	1.412216393
PAH	NM_000277	PAH	-0.769868337	1.409384219
HOXA4	NM_002141	HOXA4	-0.973729131	1.407493651
ZFAND1	NM_024699	FLJ14007	-0.630260302	1.404090423
TUBD1	NM_016261	TUBD1	-0.65491552	1.400548415
NUP98	NM_005387	NUP98	-0.950258879	1.398721889
	NM_014400		-0.671529583	1.390263348
DYNLRB1	NM_014183	DNCL2A	-1.553274734	1.387785025
CIDEC	NM_022094	CIDE-3	-1.521740021	1.384644086
GREM1	NM_013372	GREM1	-0.680191471	1.376487023
GTF3C5	NM_012087	GTF3C5	-1.737450042	1.376054054
FGL1	NM_004467	FGL1	-0.900579462	1.373829638
COPS2	NM_004236	TRIP15	-1.354751768	1.372632805
ACTR10	NM_018477	ACTR10	-0.816999689	1.37225292
SLC2A3	NM_006931	SLC2A3	-1.436140839	1.372094224
PLK1S1	NM_018474	C20orf19	-0.909684169	1.37121205
	NM_018167		-0.771377497	1.369598438
TARBP1	NM_005646	TARBP1	-0.707688581	1.367786803
MXD4	NM_006454	MXD4	-0.889032527	1.36775057
EDNRB	NM_003991	EDNRB	-0.761271092	1.367001477
TOP3A	NM_004618	TOP3A	-1.129395296	1.352052379
NIF3L1	NM_021824	NIF3L1	-0.841705347	1.35042464
CASP3	NM_032991	CASP3	-1.241202922	1.344864965
ATP2C1	NM_014382	ATP2C1	-0.887644926	1.341924926
WBP11	NM_016312	WBP11	-1.239753117	1.341689298
PI4KB	NM_002651	PIK4CB	-0.835022331	1.331001401
CSTF1	NM_001324	CSTF1	-1.13120486	1.326799544
HLA-DQA2	NM_020056	HLA-DQA2	-1.46615234	1.325321914
MATN2	U69263	MATN2	-1.186954259	1.324968251
IKZF5	NM_022466	ZNFN1A5	-1.327741589	1.324814931
KCNJ5	NM_000890	KCNJ5	-1.29853924	1.316263981
SFXN1	NM_022754	SFXN1	-1.001413281	1.314923526
CR2	NM_001877	CR2	-1.379455623	1.310805716
	NM_014896		-1.629479307	1.309320419
HAMP	NM_021175	HAMP	-1.278887394	1.307949709
FABP5	NM_001444	FABP5	-0.985130094	1.307909105
KCND1	NM_004979	KCND1	-0.83828063	1.307788106
GTF3C2	NM_001521	GTF3C2	-1.104199483	1.300270708
CTIF	NM_014772	KIAA0427	-0.709399556	1.299191786
AGA	NM_000027	AGA	-1.012063374	1.2960816
CSNK2A1	NM_001895	CSNK2A1	-1.31544711	1.292244354
ELF4	NM_001421	ELF4	-2.6365719	1.289950424
BAMBI	NM_012342	BAMBI	-1.136871973	1.289543273
MAP2K3	NM_002756	MAP2K3	-1.685548888	1.288366555
RPRD1A	NM_018170	P15RS	-0.733168133	1.287165267
STX3	NM_004177	STX3A	-1.533576715	1.279821593
PORCN	NM_022825	PORCN	-0.901847451	1.277206724
RHOT1	NM_018307	RHOT1	-0.873790243	1.276941768
PHC3	NM_024947	PHC3	-1.092403638	1.276464668
GNL3L	NM_019067	FLJ10613	-1.634957081	1.270550789
RPL15	NM_002948	RPL15	-0.90680963	1.267439528
PROX1	NM_002763	PROX1	-1.399219703	1.267095706
RBFOX1	NM_018723	A2BP1	-0.766219279	1.265921524
PRSS2	NM_002769	PRSS2	-1.359486255	1.265579073
IKZF3	NM_012481	ZNFN1A3	-0.974763178	1.264467359
ALDH3A1	NM_000691	ALDH3A1	-1.254241994	1.26425626
PTPRE	NM_006504	PTPRE	-0.800336421	1.262359513
ASB3	NM_016115	ASB3	-1.088773854	1.26140261
PHC1	NM_004426	PHC1	-1.896426001	1.260014121
SELE	NM_000450	SELE	-1.00812749	1.259750943
TMEM38A	NM_024074	MGC3169	-1.008724565	1.255225272
MC5R	NM_005913	MC5R	-0.843698266	1.255173532
	NM_014755		-1.724721247	1.250762849
GRSF1	NM_002092	GRSF1	-1.401861749	1.250540419
UBAP2	NM_018449	UBAP2	-0.877805762	1.250007984
CEP57	NM_014679	KIAA0092	-0.927649842	1.248272018
VEGFB	NM_003377	VEGFB	-1.059562452	1.24201529
NADK	NM_023018	FLJ13052	-0.977259175	1.235834822
SRP72	NM_006947	SRP72	-0.999434045	1.234595823
MC4R	NM_005912	MC4R	-1.268109574	1.229775583
SMPD1	NM_000543	SMPD1	-1.183692607	1.229109489
ST13	NM_003932	ST13	-1.069586949	1.225479313
ZNF295	NM_020727	ZNF295	-1.71405997	1.222059362
TK1	NM_003258	TK1	-1.082029644	1.220780916
MMP13	NM_002427	MMP13	-2.413515715	1.216490958
KDM5D	NM_004653	JARID1D	-1.078110412	1.21471049
EIF3FP2	NM_031943	IFP38	-0.992486609	1.212393753
PCDHGC3	NM_032101	PCDHGC3	-1.427387094	1.206604906
EIF4G2	NM_001418	EIF4G2	-1.120310435	1.206461202
	06603_HK1		-0.984308885	1.201878028
SFTPB	NM_000542	SFTPB	-1.011106873	1.200893382
KCNE1	NM_000219	KCNE1	-0.945246511	1.197617994
FARSA	NM_004461	FARSLA	-1.264175714	1.196542742
CHRNB1	NM_000747	CHRNB1	-1.065430107	1.191398308
	NM_017661		-1.132287688	1.190643795
CCR1	NM_001295	CCR1	-1.716149076	1.189793702
NPHS2	NM_014625	NPHS2	-1.142207445	1.188070708
PKNOX2	NM_022062	PKNOX2	-0.924296074	1.184613893
HIF1AN	NM_017902	HIF1AN	-3.022391725	1.175225118
UNKL	NM_023076	FLJ23360	-0.850922476	1.173721347
PCDHA9	NM_031857	PCDHA9	-1.986919823	1.16744759
PPP3CB	NM_021132	PPP3CB	-1.734220988	1.165672381
EPM2AIP1	NM_014805	EPM2AIP1	-1.751212888	1.165669942
ARNTL	NM_001178	ARNTL	-0.861828874	1.162457183
MYO1E	NM_004998	MYO1E	-1.083508766	1.15655572
CTH	NM_001902	CTH	-1.192867231	1.15408791
KLRD1	NM_002262	KLRD1	-0.931230464	1.152749809
	X74874		-1.682952167	1.152207462
RPS3A	NM_001006	RPS3A	-1.938228659	1.150865465
SIK3	NM_025164	KIAA0999	-1.394726422	1.149146886
SCYL1	NM_020680	SCYL1	-1.289192599	1.148133146
PHF1	NM_002636	PHF1	-1.559704555	1.144810237
SULT1B1	NM_014465	SULT1B1	-1.162364244	1.144456105
GIP	NM_004123	GIP	-1.102759852	1.142937827
QRSL1	NM_018292	QRSL1	-1.206591666	1.141681842
	XM_017040		-1.354488939	1.136742694
ASAH2	NM_019893	ASAH2	-0.914698571	1.133676335
AOC2	AF081363	AOC2	-1.290995262	1.132964101
SLC25A3	NM_005888	SLC25A3	-1.337313532	1.129048607
C7orf49	NM_024033	MGC5242	-1.766339216	1.127016982
PDCD10	NM_007217	PDCD10	-1.857106436	1.125085482
NAB2	NM_005967	NAB2	-1.979328982	1.123752538
TRIT1	NM_017646	TRIT1	-1.506976048	1.122553665
RP2	NM_006915	RP2	-1.047263556	1.117869678
TIMM17B	NM_005834	TIMM17B	-1.157059337	1.112159875
RPS27L	NM_015920	RPS27L	-1.352194049	1.11193849
RORA	NM_002943	RORA	-1.331143852	1.108543571
TNFSF10	NM_003810	TNFSF10	-1.073677092	1.107616064
THYN1	NM_014174	THY28	-1.237359318	1.107197685
FYN	NM_002037	FYN	-1.252728283	1.105649984
C17orf53	NM_024032	MGC3130	-1.263636746	1.105400146
PWP1	NM_007062	PWP1	-1.497846798	1.103697854
CLTB	NM_007097	CLTB	-1.365689174	1.103666116
PTCD3	NM_017952	PTCD3	-2.006797518	1.102296393
VAPB	NM_004738	VAPB	-1.183844198	1.099386087
FPR3	NM_002030	FPRL2	-0.942015529	1.098717456
PRKAB2	NM_005399	PRKAB2	-0.941426381	1.096543091
CYP4F8	NM_007253	CYP4F8	-1.581645575	1.08994367
ARMCX2	NM_014782	ARMCX2	-1.055467146	1.087695465
CGB7	NM_033142	CGB7	-1.021935696	1.08742241
GNRHR	NM_000406	GNRHR	-1.133915457	1.084742683
CYP4A11	NM_000778	CYP4A11	-1.046888993	1.082450227
GSPT1	NM_002094	GSPT1	-0.947977056	1.079208676
SIGMAR1	NM_005866	OPRS1	-1.064386292	1.073943402
SH3TC2	NM_024577	KIAA1985	-1.596404908	1.072659036
MSANTD2	NM_024631	FLJ23342	-1.087495689	1.068539208
MAPK14	NM_001315	MAPK14	-1.172511046	1.065325707
AKR1B10	NM_020299	AKR1B10	-1.16300435	1.060237427
MAGEB2	NM_002364	MAGEB2	-0.959717908	1.059670191
CSN3	NM_005212	CSN3	-1.116537572	1.058994028
SEC22B	NM_004892	SEC22L1	-1.275807388	1.053654744
	VPL2V18		-1.715663512	1.051005707
KLRC1	NM_007328	KLRC1	-1.142093366	1.045369782
CCDC6	NM_005436	CCDC6	-1.137340116	1.042454688
COQ4	NM_016035	COQ4	-0.989786478	1.040969114
ZC3H11A	NM_014827	KIAA0663	-0.98728283	1.03549019
NRG1	NM_013964	NRG1	-1.361410106	1.033469866
HEMGN	NM_018437	HEMGN	-1.136753171	1.032277488
GPR50	NM_004224	GPR50	-2.46003081	1.032222347
RPS21	X79563	RPS21	-1.575892845	1.03217262
	NM_012260	HPCL2	-1.787758294	1.027045895
SOX15	NM_006942	SOX15	-1.343158326	1.026842352
XPOT	NM_007235	XPOT	-1.225306665	1.020859628
HOXD4	NM_014621	HOXD4	-1.721004926	1.020185305
UBE2C	NM_007019	UBE2C	-1.479017832	1.019682699
CCNA1	NM_003914	CCNA1	-1.884088653	1.015373962
FGFR2	NM_022970	FGFR2	-1.888023939	1.007071889
TAF9B	NM_015975	TAF9L	-1.103741114	1.005473136
ASIP	NM_001672	ASIP	-1.749298729	1.001175168
DCAF16	NM_017741	FLJ20280	-1.7125592	1.000904323
	XM_071938		-1.230003141	0.999456567
PTPN4	NM_002830	PTPN4	-1.110647262	0.999058801
ALS2CR8	AB053309	ALS2CR8	-1.223835575	0.996457591
BMPR1B	NM_001203	BMPR1B	-1.28298339	0.989745832
MYO9A	NM_006901	MYO9A	-1.549275753	0.987356486
	XM_011184		-1.454720518	0.981146752
OAS1	NM_016816	OAS1	-1.507962264	0.979620349
	NM_000904	DKFZp686I15217	-1.069084415	0.978723659
CSTB	NM_000100	CSTB	-1.147087047	0.972457942
PDE6C	NM_006204	PDE6C	-1.364568226	0.971890612
TNFAIP8	NM_014350	TNFAIP8	-1.160945087	0.971481493
NR1I2	NM_003889	NR1I2	-1.996863006	0.970839823
	NM_004238		-1.063150174	0.969597504
PITPNC1	NM_012417	PITPNC1	-1.468691203	0.96942648
GTSE1	NM_016426	GTSE1	-1.529563337	0.961242216
STUB1	NM_005861	STUB1	-1.130671463	0.955031211
HSPA2	NM_021979	HSPA2	-1.204692845	0.954314064
DHX9	Y10658	DHX9	-1.073591942	0.948190095
SLC27A6	NM_014031	SLC27A6	-1.303220925	0.945153859
AATF	NM_012138	AATF	-1.294523653	0.94460227
CDC16	NM_003903	CDC16	-1.554396227	0.937537194
	XM_015949		-1.668947211	0.935806392
RPAP2	NM_024813	FLJ13150	-1.561478381	0.93495297
ZNF302	NM_018443	ZNF302	-1.796367004	0.933960788
SCD	NM_005063	SCD	-1.128722009	0.929872868
NUMB	NM_003744	NUMB	-1.38514714	0.92657639
POLI	NM_007195	POLI	-1.577473228	0.924649676
MVP	NM_017458	MVP	-1.097949689	0.923203201
THPO	NM_000460	THPO	-1.244583812	0.922675014
UBQLN2	NM_013444	UBQLN2	-1.178970005	0.914792057
TVP23B	NM_016078	FAM18B	-1.35435074	0.912916688
EGF	NM_001963	EGF	-1.742439734	0.910758166
CLMP	AK026068	ASAM	-2.068112056	0.908364956
HABP2	NM_004132	HABP2	-1.420125481	0.906199168
ZWINT	NM_032997	ZWINT	-1.143773256	0.9060307
CYP4F3	NM_000896	CYP4F3	-1.8336907	0.903363536
	NM_014726		-1.270735405	0.890487275
F2RL3	NM_003950	F2RL3	-1.283975501	0.887334886
UTF1	NM_003577	UTF1	-1.918543005	0.886894607
APEX1	NM_001641	APEX1	-1.672404776	0.884591208
AK2	NM_001625	AK2	-1.283598348	0.8776216
MEP1B	NM_005925	MEP1B	-2.499748766	0.864567924
PTPRG	NM_002841	PTPRG	-1.292911171	0.860460728
IRAK2	NM_001570	IRAK2	-1.339742946	0.859080421
MON1B	NM_014940	HSRG1	-2.122262072	0.857763317
EXD2	NM_018199	C14orf114	-1.383805392	0.855907514
PPY2	NM_021092	PPY2	-1.448115609	0.852762971
DLGAP4	NM_014902	DLGAP4	-1.970263692	0.851254401
NHP2L1	NM_005008	NHP2L1	-1.413195932	0.850881333
ZC3H14	NM_024824	FLJ11806	-1.242332383	0.847958912
TRIM24	NM_003852	TIF1	-1.569360383	0.847853506
EEF1E1	NM_004280	EEF1E1	-1.327845211	0.845281424
MC2R	NM_000529	MC2R	-1.330036878	0.843493692
	NM_015980	HMP19	-1.877672238	0.843465327
AMD1	NM_001634	AMD1	-1.986309684	0.842092119
ZIC3	NM_003413	ZIC3	-1.2445311	0.840668114
SLC6A16	NM_014037	SLC6A16	-2.021601172	0.833136375
PRDM4	NM_012406	PRDM4	-1.574204366	0.829480826
APOC4	NM_001646	APOC4	-1.790426211	0.821895947
PDGFRL	NM_006207	PDGFRL	-1.409779054	0.817171652
CYB5A	NM_001914	CYB5	-1.744158494	0.815982136
GPR15	NM_005290	GPR15	-1.293342961	0.815535185
FGF23	NM_020638	FGF23	-1.564517413	0.814539653
STAT1	NM_007315	STAT1	-1.334162597	0.799246551
DAO	NM_001917	DAO	-1.776932383	0.79857337
MYO5A	NM_000259	MYO5A	-1.970972799	0.797327309
HOXD11	NM_021192	HOXD11	-1.345346204	0.796965563
ZNF644	NM_016620	KIAA1221	-1.230897243	0.793142282
ACOX1	NM_004035	ACOX1	-1.218838101	0.785583316
SLC25A4	NM_001151	SLC25A4	-2.184583065	0.784129229
MECP2	NM_004992	MECP2	-1.61600313	0.775235293
FDFT1	NM_004462	FDFT1	-1.33856216	0.773835837
NFE2L3	NM_004289	NFE2L3	-3.08750421	0.766096644
DKK2	NM_014421	DKK2	-2.244435023	0.765157891
LRFN4	NM_024036	LRFN4	-1.635479039	0.760991588
FTSJ1	NM_012280	FTSJ1	-2.508249889	0.759112016
HRG	NM_000412	HRG	-1.610074425	0.755859169
RTN3	NM_006054	RTN3	-1.658236287	0.753712354
ANKRD6	NM_014942	ANKRD6	-2.557579875	0.753488269
ACADSB	NM_001609	ACADSB	-1.815684374	0.752677823
THAP9	NM_024672	THAP9	-2.236960404	0.750095687
SLC45A2	NM_016180	MATP	-1.810310023	0.744229331
PDC	NM_022576	PDC	-1.374958409	0.741960403
SEMA4F	NM_004263	SEMA4F	-1.524489753	0.737659776
GLRX3	NM_006541	TXNL2	-2.185615514	0.736135445
	NM_018002		-1.709987992	0.719452622
LIF	NM_002309	LIF	-1.798626604	0.717160033
TMEM106B	NM_018374	FLJ11273	-2.007265729	0.716702867
PPP3R1	NM_000945	PPP3R1	-1.377354326	0.702187964
PNMA3	NM_013364	PNMA3	-1.711858261	0.701017099
PRDX1	NM_002574	PRDX1	-1.441736739	0.696758236
SNPH	NM_014723	SNPH	-1.347013492	0.693093039
NEFH	NM_021076	NEFH	-1.475643214	0.692901042
RPL34	NM_000995	RPL34	-2.276524422	0.692072702
DCLRE1B	NM_022836	DCLRE1B	-1.798147288	0.691796999
	NM_018515		-1.766446062	0.687404528
COG5	NM_006348	COG5	-1.473844792	0.677964936
ALPL	NM_000478	ALPL	-1.92453307	0.676503379
POU3F2	NM_005604	POU3F2	-1.708885546	0.676104038
HCN4	NM_005477	HCN4	-1.386494932	0.666663301
ZFY	NM_003411	ZFY	-2.155829891	0.661408613
ASB7	NM_024708	ASB7	-1.723622285	0.660661803
ITGB3BP	NM_014288	ITGB3BP	-1.957041165	0.656813176
AFF2	NM_002025	FMR2	-1.383428714	0.654296027
BRWD1	NM_033656	C21orf107	-1.57668945	0.653241509
	03539_HK1		-1.980953126	0.648148222
