# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_145209|NM_145209	mgi_symbol|Oasl1|Oasl1
refseq_dna|NM_146169|NM_146169	mgi_symbol|Paip2b|Paip2b
refseq_dna|NM_025901|NM_025901	mgi_symbol|Polr3 k|Polr3 k
refseq_dna|NM_027869|NM_027869	mgi_symbol|Pnpt1|Pnpt1
refseq_dna|NM_031169|NM_031169	mgi_symbol|Kcnmb1|Kcnmb1
refseq_dna|XM_131437|XM_131437	mgi_symbol|Pappa|Pappa
refseq_dna|NM_009439|NM_009439	mgi_symbol|Psmd3|Psmd3
refseq_dna|NM_011171|NM_011171	mgi_symbol|Procr|Procr
refseq_dna|NM_010724|NM_010724	mgi_symbol|Psmb8|Psmb8
refseq_dna|XM_205287|XM_205287	mgi_symbol|Pcdh19|Pcdh19
refseq_dna|NM_021384|NM_021384	mgi_symbol|Rsad2|Rsad2
refseq_dna|NM_145495|NM_145495	mgi_symbol|Rin1|Rin1
refseq_dna|NM_138952|NM_138952	mgi_symbol|Ripk2|Ripk2
refseq_dna|XM_132528|XM_132528	mgi_symbol|Rfc3|Rfc3
refseq_dna|NM_008487|NM_008487	mgi_symbol|Arhgef2|Arhgef2
refseq_dna|NM_178164|NM_178164	mgi_symbol|Rod1|Rod1
refseq_dna|NM_203507|NM_203507	mgi_symbol|Rwdd4a|Rwdd4a
refseq_dna|NM_017380|NM_017380	mgi_symbol|9-Sep|9-Sep
refseq_dna|NM_009244|NM_009244	mgi_symbol|Serpina1a|Serpina1a
refseq_dna|NM_011315|NM_011315	mgi_symbol|Saa3|Saa3
refseq_dna|NM_011388|NM_011388	mgi_symbol|Slc10a2|Slc10a2
refseq_dna|NM_011774|NM_011774	mgi_symbol|Slc30a4|Slc30a4
entrezgene|BC058669|68166	mgi_symbol|Spire1|Spire1
refseq_dna|NM_011506|NM_011506	mgi_symbol|Sucla2|Sucla2
embl|AF110520|AF110520	mgi_symbol|Tapbp|Tapbp
refseq_dna|NM_011637|NM_011637	mgi_symbol|Trex1|Trex1
refseq_dna|NM_011593|NM_011593	mgi_symbol|Timp1|Timp1
entrezgene|BC071216|30935	mgi_symbol|Tor3a|Tor3a
refseq_dna|NM_009099|NM_009099	mgi_symbol|Trim30|Trim30
refseq_dna|XM_148271|XM_148271	mgi_symbol|Ubn1|Ubn1
refseq_dna|NM_011551|NM_011551	mgi_symbol|Ubtf|Ubtf
refseq_dna|NM_010757|NM_010757	mgi_symbol|Mafk|Mafk
refseq_dna|NM_011683|NM_011683	mgi_symbol|V1ra1|V1ra1
refseq_dna|NM_172893|NM_172893	mgi_symbol|Zc3hdc1|Zc3hdc1
refseq_dna|NM_011782|NM_011782	mgi_symbol|(Adamts5)|Adamts5)
refseq_dna|NM_007475|NM_007475	mgi_symbol|Arbp|Arbp
refseq_dna|NM_033268|NM_033268	mgi_symbol|Actn2|Actn2
refseq_dna|NM_007479|NM_007479	mgi_symbol|Arf4|Arf4
refseq_dna|NM_028390|NM_028390	mgi_symbol|Anln|Anln
refseq_dna|NM_007472|NM_007472	mgi_symbol|Aqp1|Aqp1
refseq_dna|NM_009700|NM_009700	mgi_symbol|Aqp4|Aqp4
refseq_dna|NM_010872|NM_010872	mgi_symbol|Birc1b|Birc1b
refseq_dna|NM_009689|NM_009689	mgi_symbol|Birc5|Birc5
refseq_dna|NM_018819|NM_018819	mgi_symbol|Brp44l|Brp44l
refseq_dna|NM_009866|NM_009866	mgi_symbol|Cdh11|Cdh11
refseq_dna|NM_007589|NM_007589	mgi_symbol|Calm1|Calm1
refseq_dna|NM_009922|NM_009922	mgi_symbol|Cnn1|Cnn1
refseq_dna|NM_013494|NM_013494	mgi_symbol|Cpe|Cpe
refseq_dna|NM_021281|NM_021281	mgi_symbol|Ctss|Ctss
refseq_dna|NM_153098|NM_153098	mgi_symbol|Cd109|Cd109
refseq_dna|NM_021704|NM_021704	mgi_symbol|Cxcl12|Cxcl12
entrezgene|AB075019|67896	mgi_symbol|Ccdc80|Ccdc80
refseq_dna|NM_007572|NM_007572	mgi_symbol|C1qa|C1qa
refseq_dna|NM_026082|NM_026082	mgi_symbol|Dock7|Dock7
refseq_dna|NM_019771|NM_019771	mgi_symbol|Dstn|Dstn
refseq_dna|NM_030598|NM_030598	mgi_symbol|Dscr1l1|Dscr1l1
refseq_dna|NM_019466|NM_019466	mgi_symbol|Dscr1|Dscr1
refseq_dna|NM_010078|NM_010078	mgi_symbol|Drp2|Drp2
refseq_dna|NM_007925|NM_007925	mgi_symbol|Eln|Eln
refseq_dna|NM_025794|NM_025794	mgi_symbol|Etfdh|Etfdh
refseq_dna|NM_007993|NM_007993	mgi_symbol|Fbn1|Fbn1
refseq_dna|NM_011812|NM_011812	mgi_symbol|Fbln5|Fbln5
refseq_dna|NM_010222|NM_010222	mgi_symbol|Fkbp7|Fkbp7
refseq_dna|NM_008046|NM_008046	mgi_symbol|Fst|Fst
refseq_dna|NM_010288|NM_010288	mgi_symbol|Gja1|Gja1
refseq_dna|NM_008122|NM_008122	mgi_symbol|Gjc1|Gjc1
refseq_dna|NM_008409|NM_008409	mgi_symbol|Itm2a|Itm2a
refseq_dna|NM_00100130|NM_00100130	mgi_symbol|Itga8|Itga8
refseq_dna|NM_028007|NM_028007	mgi_symbol|Itfg1|Itfg1
refseq_dna|NM_021566|NM_021566	mgi_symbol|Jph2|Jph2
refseq_dna|NM_010683|NM_010683	mgi_symbol|Lamc1|Lamc1
refseq_dna|NM_017372|NM_017372	mgi_symbol|Lyzs|Lyzs
refseq_dna|NM_019499|NM_019499	mgi_symbol|Mad2l1|Mad2l1
refseq_dna|NM_008618|NM_008618	mgi_symbol|Mdh1|Mdh1
refseq_dna|NM_008605|NM_008605	mgi_symbol|Mmp12|Mmp12
refseq_dna|NM_011985|NM_011985	mgi_symbol|Mmp23|Mmp23
refseq_dna|XM_133510|XM_133510	mgi_symbol|Mcee|Mcee
refseq_dna|NM_029568|NM_029568	mgi_symbol|Mfap4|Mfap4
refseq_dna|NM_008622|NM_008622	mgi_symbol|Mpv17|Mpv17
refseq_dna|NM_175260|NM_175260	mgi_symbol|Myh10|Myh10
refseq_dna|NM_013607|NM_013607	mgi_symbol|Myh11|Myh11
refseq_dna|NM_010861|NM_010861	mgi_symbol|Myl2|Myl2
refseq_dna|NM_144870|NM_144870	mgi_symbol|Ndufs8|Ndufs8
refseq_dna|NM_008695|NM_008695	mgi_symbol|Nid2|Nid2
refseq_dna|NM_011615|NM_011615	mgi_symbol|Nit1|Nit1
refseq_dna|NM_008699|NM_008699	mgi_symbol|Nkx2-3|Nkx2-3
refseq_dna|NM_026532|NM_026532	mgi_symbol|Nutf2|Nutf2
refseq_dna|NM_020288|NM_020288	mgi_symbol|Olfr749|Olfr749
refseq_dna|NM_013590|NM_013590	mgi_symbol|Lzp-s|Lzp-s
refseq_dna|NM_008885|NM_008885	mgi_symbol|Pmp22|Pmp22
refseq_dna|NM_016764|NM_016764	mgi_symbol|Prdx4|Prdx4
refseq_dna|XM_242396|XM_242396	mgi_symbol|Pola1|Pola1
refseq_dna|NM_027196|NM_027196	mgi_symbol|Pold4|Pold4
refseq_dna|NM_021342|NM_021342	mgi_symbol|Kcne4|Kcne4
refseq_dna|NM_029620|NM_029620	mgi_symbol|Pcolce2|Pcolce2
refseq_dna|NM_009932|NM_009932	mgi_symbol|Col4a2|Col4a2
refseq_dna|NM_009933|NM_009933	mgi_symbol|Col6a1|Col6a1
refseq_dna|NM_011179|NM_011179	mgi_symbol|Psap|Psap
refseq_dna|NM_019564|NM_019564	mgi_symbol|Prss11|Prss11
refseq_dna|NM_146081|NM_146081	mgi_symbol|Ppp4r1|Ppp4r1
refseq_dna|NM_016802|NM_016802	mgi_symbol|Rhoa|Rhoa
refseq_dna|NM_009200|NM_009200	mgi_symbol|Slc1a6|Slc1a6
refseq_dna|NM_026255|NM_026255	mgi_symbol|Slc25a26|Slc25a26
entrezgene|Z47775|234214	mgi_symbol|Sorbs2|Sorbs2
refseq_dna|NM_025303|NM_025303	mgi_symbol|Stau2|Stau2
refseq_dna|NM_023374|NM_023374	mgi_symbol|Sdhb|Sdhb
refseq_dna|NM_029811|NM_029811	mgi_symbol|St5|St5
entrezgene|AY548113|66073	mgi_symbol|Txndc12|Txndc12
refseq_dna|NM_172597|NM_172597	mgi_symbol|Txndc16|Txndc16
refseq_dna|NM_011595|NM_011595	mgi_symbol|Timp3|Timp3
refseq_dna|NM_011626|NM_011626	mgi_symbol|Tparl|Tparl
refseq_dna|NM_009367|NM_009367	mgi_symbol|Tgfb2|Tgfb2
refseq_dna|NM_016873|NM_016873	mgi_symbol|Wisp2|Wisp2
entrezgene|AF017806|30046	mgi_symbol|Zfp292|Zfp292
