Probe Set ID	In final signature?	Gene Symbol	Orientation	Description
ADXCRAD_AK021812_s_at	Yes	RASA1	Sense	RAS p21 protein activator (GTPase activating protein) 1 [Source:HGNC Symbol;Acc:9871]
ADXCRAD_AK021981_at	Yes	AL157877.1 (Clone_based_ensembl_gene)	Sense	Known long non-coding RNA.
ADXCRAD_AK024315_x_at	Yes	WDR45	Sense	WD repeat domain 45 [Source:HGNC Symbol;Acc:28912]
ADXCRAD_AK024864_at	Yes	RP11-294O2.2 (Clone_based_vega_gene)	Sense	Novel processed transcript.
ADXCRAD_AK092750_s_at	Yes	EHBP1L1	Sense	EH domain binding protein 1-like 1 [Source:HGNC Symbol;Acc:30682]
ADXCRAD_AK092750_x_at	Yes	EHBP1L1	Sense	EH domain binding protein 1-like 1 [Source:HGNC Symbol;Acc:30682]
ADXCRAD_AL039447_x_at	Yes	KIF24	Sense	kinesin family member 24 [Source:HGNC Symbol;Acc:19916]
ADXCRAD_AL044078_at	Yes	HNRNPL	AntiSense	heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:5045]
ADXCRAD_AL157511_at	Yes	SNAPC3	Sense	small nuclear RNA activating complex_ polypeptide 3_ 50kDa [Source:HGNC Symbol;Acc:11136]
ADXCRAD_AL547157_x_at	Yes	ANP32A	Sense	acidic (leucine-rich) nuclear phosphoprotein 32 family_ member A [Source:HGNC Symbol;Acc:13233]
ADXCRAD_AL556240_s_at	Yes	NMD3	Sense	NMD3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24250]
ADXCRAD_AL583362_s_at	Yes	BUB3	Sense	budding uninhibited by benzimidazoles 3 homolog (yeast) [Source:HGNC Symbol;Acc:1151]
ADXCRAD_AL598628_at	Yes	SCD	Sense	stearoyl-CoA desaturase (delta-9-desaturase) [Source:HGNC Symbol;Acc:10571]
ADXCRAD_AL832068_at	Yes	SIK3	Sense	SIK family kinase 3 [Source:HGNC Symbol;Acc:29165]
ADXCRAD_AL832068_x_at	Yes	SIK3	Sense	SIK family kinase 3 [Source:HGNC Symbol;Acc:29165]
ADXCRAD_AL832250_s_at	Yes	SNRPN /// SNURF	Sense	small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:11164] /// SNRPN upstream reading frame [Source:HGNC Symbol;Acc:11171]
ADXCRAD_AL833017_x_at	Yes	MACROD1	Sense	MACRO domain containing 1 [Source:HGNC Symbol;Acc:29598]
ADXCRAD_AL833174_x_at	Yes	C1orf21	Sense	Uncharacterized protein C1orf21 (Cell proliferation-inducing gene 13 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9H246]
ADXCRAD_AL833513_at	Yes	EEA1	Sense	early endosome antigen 1 [Source:HGNC Symbol;Acc:3185]
ADXCRAD_AU133980_at	Yes	SLC20A2	Sense	solute carrier family 20 (phosphate transporter)_ member 2 [Source:HGNC Symbol;Acc:10947]
ADXCRAD_AU146490_at	Yes	TAF15	Sense	TAF15 RNA polymerase II_ TATA box binding protein (TBP)-associated factor_ 68kDa [Source:HGNC Symbol;Acc:11547]
ADXCRAD_AU147861_at	Yes	EGFR	AntiSense	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog_ avian) [Source:HGNC Symbol;Acc:3236]
ADXCRAD_AV696977_at	Yes	LCN12	Sense	lipocalin 12 [Source:HGNC Symbol;Acc:28733]
ADXCRAD_AV706878_s_at	Yes	DDX17	Sense	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 [Source:HGNC Symbol;Acc:2740]
ADXCRAD_AW020871_at	Yes	SVIL	Sense	supervillin [Source:HGNC Symbol;Acc:11480]
ADXCRAD_AW134504_at	Yes	AL604028.2 (Clone_based_ensembl_gene)	Sense	Known protein coding.
ADXCRAD_AW265514_at	Yes	TRPS1	AntiSense	trichorhinophalangeal syndrome I [Source:HGNC Symbol;Acc:12340]
ADXCRAD_AW291023_at	Yes	PML	AntiSense	promyelocytic leukemia [Source:HGNC Symbol;Acc:9113]
ADXCRAD_AW297731_at	Yes	PARP14	AntiSense	poly (ADP-ribose) polymerase family_ member 14 [Source:HGNC Symbol;Acc:29232]
ADXCRAD_AW449577_s_at	Yes	MIR612	AntiSense	hsa-mir-612 [Source:miRBase;Acc:MI0003625]
ADXCRAD_AW604939_x_at	Yes	CD177	Sense	CD177 molecule [Source:HGNC Symbol;Acc:30072]
ADXCRAD_AW661890_at	Yes	TFAM	AntiSense	transcription factor A_ mitochondrial [Source:HGNC Symbol;Acc:11741]
ADXCRAD_AW771618_at	Yes	PRPF40A	AntiSense	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:16463]
ADXCRAD_AW957273_s_at	Yes	APOL1	Sense	apolipoprotein L_ 1 [Source:HGNC Symbol;Acc:618]
ADXCRAD_AW963267_s_at	Yes	NFIX	Sense	nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:7788]
ADXCRAD_AW979272_s_at	Yes	BICD1	Sense	bicaudal D homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:1049]
ADXCRAD_BC017896_x_at	Yes	ARL17A /// ARL17B	AntiSense	ADP-ribosylation factor-like 17A [Source:HGNC Symbol;Acc:24096] /// ADP-ribosylation factor-like 17B [Source:HGNC Symbol;Acc:32387]
ADXCRAD_BC017975_x_at	Yes	OSBP	Sense	oxysterol binding protein [Source:HGNC Symbol;Acc:8503]
ADXCRAD_BC025770_s_at	Yes	RHOJ	Sense	ras homolog gene family_ member J [Source:HGNC Symbol;Acc:688]
ADXCRAD_BC033251_at	Yes	RHOQ	Sense	ras homolog gene family_ member Q [Source:HGNC Symbol;Acc:17736]
ADXCRAD_BC033251_x_at	Yes	RHOQ	Sense	ras homolog gene family_ member Q [Source:HGNC Symbol;Acc:17736]
ADXCRAD_BC035661_at	Yes	SMC5	Sense	structural maintenance of chromosomes 5 [Source:HGNC Symbol;Acc:20465]
ADXCRAD_BC040527_at	Yes	CEP120	Sense	centrosomal protein 120kDa [Source:HGNC Symbol;Acc:26690]
ADXCRAD_BC040647_x_at	Yes	OAF	Sense	OAF homolog (Drosophila) [Source:HGNC Symbol;Acc:28752]
ADXCRAD_BE043858_x_at	Yes	QPRT	AntiSense	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:9755]
ADXCRAD_BE138516_at	Yes	ATL2	AntiSense	atlastin GTPase 2 [Source:HGNC Symbol;Acc:24047]
ADXCRAD_BE138516_x_at	Yes	ATL2	AntiSense	atlastin GTPase 2 [Source:HGNC Symbol;Acc:24047]
ADXCRAD_BE251606_s_at	Yes	ERF	Sense	Ets2 repressor factor [Source:HGNC Symbol;Acc:3444]
ADXCRAD_BE295938_at	Yes	RBBP4	Sense	retinoblastoma binding protein 4 [Source:HGNC Symbol;Acc:9887]
ADXCRAD_BE295938_x_at	Yes	RBBP4	Sense	retinoblastoma binding protein 4 [Source:HGNC Symbol;Acc:9887]
ADXCRAD_BE386516_s_at	Yes	PRKAR2A	Sense	protein kinase_ cAMP-dependent_ regulatory_ type II_ alpha [Source:HGNC Symbol;Acc:9391]
ADXCRAD_BE467688_s_at	Yes	CCND2	Sense	cyclin D2 [Source:HGNC Symbol;Acc:1583]
ADXCRAD_BE644666_at	Yes	BMPR1A	AntiSense	bone morphogenetic protein receptor_ type IA [Source:HGNC Symbol;Acc:1076]
ADXCRAD_BE644666_x_at	Yes	BMPR1A	AntiSense	bone morphogenetic protein receptor_ type IA [Source:HGNC Symbol;Acc:1076]
ADXCRAD_BE792795_s_at	Yes	SCRN2	Sense	secernin 2 [Source:HGNC Symbol;Acc:30381]
ADXCRAD_BE832279_s_at	Yes	PARP6	Sense	poly (ADP-ribose) polymerase family_ member 6 [Source:HGNC Symbol;Acc:26921]
ADXCRAD_BF197118_at	Yes	N/A	No Transcript match	N/A
ADXCRAD_BF515592_x_at	Yes	YPEL5	AntiSense	yippee-like 5 (Drosophila) [Source:HGNC Symbol;Acc:18329]
ADXCRAD_BF726849_at	Yes	TLCD2	Antisense	TLC domain containing 2 [Source: HGNC Symbol; Acc:33522]
ADXCRAD_BF726849_x_at	Yes	TLCD2	Antisense	TLC domain containing 2 [Source: HGNC Symbol; Acc:33522]
ADXCRAD_BF880725_at	Yes	AC079781.1 (Clone_based_ensembl_gene)	Sense	Known long non-coding RNA
ADXCRAD_BF961733_s_at	Yes	ST7L	AntiSense	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]
ADXCRAD_BG179551_x_at	Yes	IL17RC	Sense	cysteine-rich with EGF-like domains 1 [Source:HGNC Symbol;Acc:14630] /// interleukin 17 receptor C [Source:HGNC Symbol;Acc:18358]
ADXCRAD_BG258265_at	Yes	DOK3	Sense	docking protein 3 [Source:HGNC Symbol;Acc:24583]
ADXCRAD_BG481316_s_at	Yes	SIGMAR1	Sense	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:8157]
ADXCRAD_BG619847_at	Yes	EWSR1	Sense	Ewing sarcoma breakpoint region 1 [Source:HGNC Symbol;Acc:3508]
ADXCRAD_BG696656_s_at	Yes	FCGBP	Sense	Fc fragment of IgG binding protein [Source:HGNC Symbol;Acc:13572]
ADXCRAD_BG709217_s_at	Yes	FRYL	Sense	FRY-like [Source:HGNC Symbol;Acc:29127]
ADXCRAD_BG772667_s_at	Yes	C11orf35	AntiSense	Uncharacterized protein C11orf35  [Source:UniProtKB/Swiss-Prot;Acc:Q8IXW0]
ADXCRAD_BI223441_s_at	Yes	PRPF8	Sense	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17340]
ADXCRAD_BI494681_at	Yes	C11orf35	Sense	collagen_ type XXVII_ alpha 1 [Source:HGNC Symbol;Acc:22986]
ADXCRAD_BI753534_at	Yes	KIAA0467	Sense	KIAA0467 [Source:HGNC Symbol;Acc:29040]
ADXCRAD_BI856032_s_at	Yes	SMARCD1	Sense	SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily d_ member 1 [Source:HGNC Symbol;Acc:11106]
ADXCRAD_BM128089_at	Yes	APOL2	Sense	apolipoprotein L_ 2 [Source:HGNC Symbol;Acc:619]
ADXCRAD_BM128089_x_at	Yes	APOL2	Sense	apolipoprotein L_ 2 [Source:HGNC Symbol;Acc:619]
ADXCRAD_BM142126_s_at	Yes	SAMD4B	Sense	sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:25492]
ADXCRAD_BM264147_s_at	Yes	CDK12	Sense	cyclin-dependent kinase 12 [Source:HGNC Symbol;Acc:24224]
ADXCRAD_BM675236_at	Yes	PLEKHG3	Sense	pleckstrin homology domain containing_ family G (with RhoGef domain) member 3 [Source:HGNC Symbol;Acc:20364]
ADXCRAD_BM691081_s_at	Yes	ARRB2	Sense	arrestin_ beta 2 [Source:HGNC Symbol;Acc:712]
ADXCRAD_BM702062_at	Yes	TSKU	Sense	tsukushi small leucine rich proteoglycan homolog (Xenopus laevis) [Source:HGNC Symbol;Acc:28850]
ADXCRAD_BM711746_s_at	Yes	DNAH2	Sense	dynein_ axonemal_ heavy chain 2 [Source:HGNC Symbol;Acc:2948]
ADXCRAD_BM726905_s_at	Yes	FAM118B	Sense	family with sequence similarity 118_ member B [Source:HGNC Symbol;Acc:26110]
ADXCRAD_BM796805_s_at	Yes	SLC39A7	Sense	solute carrier family 39 (zinc transporter)_ member 7 [Source:HGNC Symbol;Acc:4927]
ADXCRAD_BM931578_s_at	Yes	BCL9L	Sense	B-cell CLL/lymphoma 9-like [Source:HGNC Symbol;Acc:23688]
ADXCRAD_BP209840_s_at	Yes	GOLGA2	Sense	golgin A2 [Source:HGNC Symbol;Acc:4425]
ADXCRAD_BP285069_at	Yes	IFIT3	Sense	interferon-induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:5411]
ADXCRAD_BP285069_x_at	Yes	IFIT3	Sense	interferon-induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:5411]
ADXCRAD_BP295913_s_at	Yes	CTSD	Sense	cathepsin D [Source:HGNC Symbol;Acc:2529]
ADXCRAD_BP332315_x_at	Yes	SSR3	Sense	signal sequence receptor_ gamma (translocon-associated protein gamma) [Source:HGNC Symbol;Acc:11325]
ADXCRAD_BP376605_s_at	Yes	GLUL	Sense	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:4341]
ADXCRAD_BP393443_at	Yes	SLC2A3	Sense	solute carrier family 2 (facilitated glucose transporter)_ member 3 [Source:HGNC Symbol;Acc:11007]
ADXCRAD_BP395790_at	Yes	CMIP (Entrez)	Sense	C-Maf-inducing protein (c-Mip)(Truncated c-Maf-inducing protein)(Tc-Mip) [Source:UniProtKB/Swiss-Prot;Acc:Q8IY22]
ADXCRAD_BP397177_s_at	Yes	KLF6	Sense	Kruppel-like factor 6 [Source:HGNC Symbol;Acc:2235]
ADXCRAD_BQ016677_at	Yes	POLR3A	Sense	polymerase (RNA) III (DNA directed) polypeptide A_ 155kDa [Source:HGNC Symbol;Acc:30074]
ADXCRAD_BQ016677_x_at	Yes	POLR3A	Sense	polymerase (RNA) III (DNA directed) polypeptide A_ 155kDa [Source:HGNC Symbol;Acc:30074]
ADXCRAD_BQ187449_s_at	Yes	SLC37A1	Sense	solute carrier family 37 (glycerol-3-phosphate transporter)_ member 1 [Source:HGNC Symbol;Acc:11024]
ADXCRAD_BQ325790_s_at	Yes	MICA /// HCP5	Sense	MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:7090] /// HLA complex P5 (HCP5)_ mRNA [Source:RefSeq DNA;Acc:NM_006674]
ADXCRAD_BQ440009_s_at	Yes	FBXO45	Sense	F-box protein 45 [Source:HGNC Symbol;Acc:29148]
ADXCRAD_BQ670114_s_at	Yes	IGF2R	Sense	insulin-like growth factor 2 receptor [Source:HGNC Symbol;Acc:5467]
ADXCRAD_BQ673982_s_at	Yes	C9orf3	Sense	Aminopeptidase O (AP-O)(EC 3.4.11.-) [Source:UniProtKB/Swiss-Prot;Acc:Q8N6M6]
ADXCRAD_BQ898896_s_at	Yes	ARHGAP4	Sense	Rho GTPase activating protein 4 [Source:HGNC Symbol;Acc:674]
ADXCRAD_BU073065_s_at	Yes	PNMA2	Sense	paraneoplastic antigen MA2 [Source:HGNC Symbol;Acc:9159]
ADXCRAD_BU180946_s_at	Yes	DOT1L	Sense	DOT1-like_ histone H3 methyltransferase (S. cerevisiae) [Source:HGNC Symbol;Acc:24948]
ADXCRAD_BU192598_s_at	Yes	ICAM1	Sense	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:5344]
ADXCRAD_BU521845_x_at	Yes	SMARCA4	Sense	SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily a_ member 4 [Source:HGNC Symbol;Acc:11100]
ADXCRAD_BU540935_s_at	Yes	FZR1	Sense	fizzy/cell division cycle 20 related 1 (Drosophila) [Source:HGNC Symbol;Acc:24824]
ADXCRAD_BU585182_s_at	Yes	IGLV2-14	AntiSense	immunoglobulin lambda variable 2-14 [Source:HGNC Symbol;Acc:5888]
ADXCRAD_BX091164_s_at	Yes	RNF39	AntiSense	RING finger protein 39 isoform 2  [Source:RefSeq peptide;Acc:NP_739575]
ADXCRAD_BX092882_at	Yes	MSX1	Sense	msh homeobox 1 [Source:HGNC Symbol;Acc:7391]
ADXCRAD_BX094282_at	Yes	GGCX	Sense	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:4247]
ADXCRAD_BX096675_s_at	Yes	HKR1	Sense	HKR1_ GLI-Kruppel zinc finger family member [Source:HGNC Symbol;Acc:4928]
ADXCRAD_BX098387_at	Yes	EFR3A	Sense	EFR3 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:28970]
ADXCRAD_BX101833_s_at	Yes	RP11-125K10.4 (Clone_based_vega_gene) /// RCL1	Sense	Putative processed transcript /// RNA terminal phosphate cyclase-like 1 [Source:HGNC Symbol;Acc:17687]
ADXCRAD_BX104039_s_at	Yes	CYP1B1	Sense	cytochrome P450_ family 1_ subfamily B_ polypeptide 1 [Source:HGNC Symbol;Acc:2597]
ADXCRAD_BX106190_at	Yes	ZFAND3	Sense	zinc finger_ AN1-type domain 3 [Source:HGNC Symbol;Acc:18019]
ADXCRAD_BX107109_s_at	Yes	IGKJ3 /// IGKJ4	Sense	immunoglobulin kappa joining 3 [Source:HGNC Symbol;Acc:5721] /// immunoglobulin kappa joining 4 [Source:HGNC Symbol;Acc:5722]
ADXCRAD_BX111719_at	Yes	TAF15	Sense	TAF15 RNA polymerase II_ TATA box binding protein (TBP)-associated factor_ 68kDa [Source:HGNC Symbol;Acc:11547]
ADXCRAD_BX111719_x_at	Yes	TAF15	Sense	TAF15 RNA polymerase II_ TATA box binding protein (TBP)-associated factor_ 68kDa [Source:HGNC Symbol;Acc:11547]
ADXCRAD_BX112907_s_at	Yes	TICAM2 /// TMED7 /// TMED7-TICAM2	Sense	toll-like receptor adaptor molecule 2 [Source:HGNC Symbol;Acc:21354] /// transmembrane emp24 protein transport domain containing 7 [Source:HGNC Symbol;Acc:24253] /// TMED7-TICAM2 readthrough [Source:HGNC Symbol;Acc:33945]
ADXCRAD_BX116894_x_at	Yes	EIF2C2	Sense	eukaryotic translation initiation factor 2C_ 2 [Source:HGNC Symbol;Acc:3263]
ADXCRAD_BX117613_at	Yes	HIF1A	Sense	hypoxia inducible factor 1_ alpha subunit (basic helix-loop-helix transcription factor) [Source:HGNC Symbol;Acc:4910]
ADXCRAD_BX386535_s_at	Yes	FKBP8	Sense	FK506 binding protein 8_ 38kDa [Source:HGNC Symbol;Acc:3724]
ADXCRAD_BX396033_s_at	Yes	DNAJC16	Sense	DnaJ (Hsp40) homolog_ subfamily C_ member 16 [Source:HGNC Symbol;Acc:29157]
ADXCRAD_BX406209_s_at	Yes	RABIF	Sense	RAB interacting factor [Source:HGNC Symbol;Acc:9797]
ADXCRAD_BX421336_s_at	Yes	PPIF	Sense	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:9259]
ADXCRAD_BX442668_x_at	Yes	PPDPF	Sense	pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish) [Source:HGNC Symbol;Acc:16142]
ADXCRAD_BX509455_s_at	Yes	DECR1	Sense	2_4-dienoyl CoA reductase 1_ mitochondrial [Source:HGNC Symbol;Acc:2753]
ADXCRAD_BX641259_at	Yes	NHLRC3	Sense	NHL repeat containing 3 [Source:HGNC Symbol;Acc:33751]
ADXCRAD_CA313435_s_at	Yes	HIST2H2AA4	AntiSense	histone cluster 2_ H2aa4 [Source:HGNC Symbol;Acc:29668]
ADXCRAD_CA440361_at	Yes	ROBO1	Sense	roundabout_ axon guidance receptor_ homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:10249]
ADXCRAD_CA440361_x_at	Yes	ROBO1	Sense	roundabout_ axon guidance receptor_ homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:10249]
ADXCRAD_CB055215_at	Yes	BMP2	Sense	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:1069]
ADXCRAD_CB162448_s_at	Yes	CREBL2	Sense	cAMP responsive element binding protein-like 2 [Source:HGNC Symbol;Acc:2350]
ADXCRAD_CB852916_at	Yes	IREB2	Sense	iron-responsive element binding protein 2 [Source:HGNC Symbol;Acc:6115]
ADXCRAD_CB997364_s_at	Yes	FLT1	Sense	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor) [Source:HGNC Symbol;Acc:3763]
ADXCRAD_CD672976_at	Yes	ARHGEF2	Sense	Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:682]
ADXCRAD_CD721975_s_at	Yes	ETNK1	Sense	ethanolamine kinase 1 [Source:HGNC Symbol;Acc:24649]
ADXCRAD_CF126772_s_at	Yes	TTYH3	Sense	tweety homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:22222]
ADXCRAD_CF127403_at	Yes	TMEM53	Sense	transmembrane protein 53 [Source:HGNC Symbol;Acc:26186]
ADXCRAD_CF146855_x_at	Yes	VPS53	Sense	vacuolar protein sorting 53 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25608]
ADXCRAD_CF272104_at	Yes	HIST1H2AJ	Sense	histone cluster 1_ H2aj [Source:HGNC Symbol;Acc:4727]
ADXCRAD_CF272104_x_at	Yes	HIST1H2AJ	Sense	histone cluster 1_ H2aj [Source:HGNC Symbol;Acc:4727]
ADXCRAD_CK300213_at	Yes	TIMM22	Sense	translocase of inner mitochondrial membrane 22 homolog (yeast) [Source:HGNC Symbol;Acc:17317]
ADXCRAD_CN256682_s_at	Yes	TRAPPC6A	Sense	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]
ADXCRAD_CN264940_at	Yes	ID2	Sense	inhibitor of DNA binding 2_ dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5361]
ADXCRAD_CN272025_at	Yes	PABPN1	Sense	poly(A) binding protein_ nuclear 1 [Source:HGNC Symbol;Acc:8565]
ADXCRAD_CN291160_at	Yes	SRGAP1	Sense	SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:17382]
ADXCRAD_CN297218_at	Yes	CUL9	Sense	cullin 9 [Source:HGNC Symbol;Acc:15982]
ADXCRAD_CN298065_x_at	Yes	CHP	Sense	Calcium-binding protein p22 (Calcium-binding protein CHP)(Calcineurin homologous protein)(Calcineurin B homolog) [Source:UniProtKB/Swiss-Prot;Acc:Q99653]
ADXCRAD_CN309527_s_at	Yes	HIST1H4J /// HIST1H4K	Sense	histone cluster 1_ H4j [Source:HGNC Symbol;Acc:4785] /// histone cluster 1_ H4k [Source:HGNC Symbol;Acc:4784]
ADXCRAD_CN311761_s_at	Yes	ZNF655	Sense	zinc finger protein 655 [Source:HGNC Symbol;Acc:30899]
ADXCRAD_CN312224_s_at	Yes	RPL32P3	Sense	ribosomal protein L32 pseudogene 3 [Source:HGNC Symbol;Acc:27024]
ADXCRAD_CN337685_s_at	Yes	ZNF609	Sense	zinc finger protein 609 [Source:HGNC Symbol;Acc:29003]
ADXCRAD_CN341871_at	Yes	IRF6	Sense	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:6121]
ADXCRAD_CN341871_x_at	Yes	IRF6	Sense	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:6121]
ADXCRAD_CN390037_s_at	Yes	C15orf42	Sense	Treslin (TopBP1-interacting_ replication-stimulating protein)(TopBP1-interacting checkpoint and replication regulator) [Source:UniProtKB/Swiss-Prot;Acc:Q7Z2Z1]
ADXCRAD_CN408490_x_at	Yes	CHAF1A	Sense	chromatin assembly factor 1_ subunit A (p150) [Source:HGNC Symbol;Acc:1910]
ADXCRAD_CN423589_s_at	Yes	VPS26B	Sense	vacuolar protein sorting 26 homolog B (S. pombe) [Source:HGNC Symbol;Acc:28119]
ADXCRAD_CN427849_at	Yes	PLXNA3	Sense	plexin A3 [Source:HGNC Symbol;Acc:9101]
ADXCRAD_CN479989_at	Yes	SLC39A14	Sense	solute carrier family 39 (zinc transporter)_ member 14 [Source:HGNC Symbol;Acc:20858]
ADXCRAD_CN481679_s_at	Yes	MARS	Sense	methionyl-tRNA synthetase [Source:HGNC Symbol;Acc:6898]
ADXCRAD_CR740197_s_at	Yes	BBS4	Sense	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:969]
ADXCRAD_CR747486_s_at	Yes	PPPDE2	Sense	PPPDE peptidase domain containing 2 [Source:HGNC Symbol;Acc:24577]
ADXCRAD_CR749083_at	Yes	SSR1	Sense	signal sequence receptor_ alpha [Source:HGNC Symbol;Acc:11323]
ADXCRAD_CV573177_s_at	Yes	AC138866.2 (Clone_based_ensembl_gene) /// AC146949.1 (Clone_based_ensembl_gene) /// AC146944.2 (Clone_based_ensembl_gene)	Sense	Novel long non-coding RNA /// Known non-coding long RNA /// Novel long non-coding RNA
ADXCRAD_CX164907_s_at	Yes	RALBP1	Sense	ralA binding protein 1 [Source:HGNC Symbol;Acc:9841]
ADXCRAD_CX165854_s_at	Yes	Z83843.1 (Clone_based_ensembl_gene)	Sense	Novel long non coding RNA.
ADXCRAD_CX752189_s_at	Yes	GTF2F1	Sense	general transcription factor IIF_ polypeptide 1_ 74kDa [Source:HGNC Symbol;Acc:4652]
ADXCRAD_CX755899_s_at	Yes	GTSE1	Sense	G-2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:13698]
ADXCRAD_CX784758_s_at	Yes	PTK2	Sense	PTK2 protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:9611]
ADXCRAD_CX785794_s_at	Yes	GUF1	Sense	GUF1 GTPase homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25799]
ADXCRAD_CX867137_s_at	Yes	TMEM97	Sense	transmembrane protein 97 [Source:HGNC Symbol;Acc:28106]
