Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
206292_s_at	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	SULT2A1	19q13.3	6822
206293_at	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	SULT2A1	19q13.3	6822
206404_at	fibroblast growth factor 9 (glia-activating factor)	FGF9	13q11-q12	2254
206450_at	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	DBH	9q34	1621
206645_s_at	nuclear receptor subfamily 0, group B, member 1	NR0B1	Xp21.3-p21.2	190
206793_at	phenylethanolamine N-methyltransferase	PNMT	17q21-q22	5409
207074_s_at	solute carrier family 18 (vesicular monoamine), member 1	SLC18A1	8p21.3	6570
207813_s_at	ferredoxin reductase	FDXR	17q24-q25	2232
208291_s_at	tyrosine hydroxylase	TH	11p15.5	7054
208451_s_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	6p21.3	432395 /// 720 /// 721
208610_s_at	serine/arginine repetitive matrix 2	SRRM2	16p13.3	23524
208881_x_at	isopentenyl-diphosphate delta isomerase 1	IDI1	10p15.3	3422
208928_at	P450 (cytochrome) oxidoreductase	POR	7q11.2	5447
209032_s_at	immunoglobulin superfamily, member 4	IGSF4	11q23.2	23705
209146_at	sterol-C4-methyl oxidase-like	SC4MOL	4q32-q34	6307
209318_x_at	pleiomorphic adenoma gene-like 1	PLAGL1	6q24-q25	5325
209560_s_at	delta-like 1 homolog (Drosophila)	DLK1	14q32	8788
210123_s_at	cholinergic receptor, nicotinic, alpha polypeptide 7 /// CHRNA7 (cholinergic receptor, nicotinic, alpha polypeptide 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion	CHRNA7 /// CHRFAM7A	15q14 /// 15q13.1	1139 /// 89832
210180_s_at	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	SFRS10	3q26.2-q27	6434
210302_s_at	mab-21-like 2 (C. elegans)	MAB21L2	4q31	10586
210479_s_at	RAR-related orphan receptor A	RORA	15q21-q22	6095
210762_s_at	deleted in liver cancer 1	DLC1	8p22	10395
210794_s_at	maternally expressed 3	MEG3	14q32	55384
211745_x_at	hemoglobin, alpha 1 /// hemoglobin, alpha 1	HBA1	16p13.3	3039
211959_at	insulin-like growth factor binding protein 5	IGFBP5	2q33-q36	3488
212254_s_at	dystonin	DST	6p12-p11	667
212382_at	Transcription factor 4	TCF4	18q21.1	6925
212397_at	radixin	RDX	11q23	5962
212701_at	Clone 23962 mRNA sequence
213515_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
213577_at	squalene epoxidase	SQLE	8q24.1	6713
213791_at	proenkephalin	PENK	8q23-q24	5179
213894_at	KIAA0960 protein	KIAA0960	7p21.3	23249
213998_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	DDX17	22q13.1	10521
214043_at	Protein tyrosine phosphatase, receptor type, D	PTPRD	9p23-p24.3	5789
214414_x_at	hemoglobin, alpha 2 /// hemoglobin, alpha 2	HBA2	16p13.3	3040
214428_x_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	6p21.3	432395 /// 720 /// 721
214451_at	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	6p21-p12	7021
214608_s_at	eyes absent homolog 1 (Drosophila)	EYA1	8q13.3	2138
214610_at	cytochrome P450, family 11, subfamily B, polypeptide 1	CYP11B1	8q21	1584
214622_at	cytochrome P450, family 21, subfamily A, polypeptide 2	CYP21A2	6p21.3	1589
217073_x_at	apolipoprotein A-I /// similar to Apolipoprotein A-I precursor (Apo-AI)	APOA1 /// LOC440837	11q23-q24 /// 22p13	335 /// 440837
218469_at	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	GREM1	15q13-q15	26585
219054_at	hypothetical protein FLJ14054	FLJ14054	5p13.3	79614
219112_at	Rap guanine nucleotide exchange factor (GEF) 6	RAPGEF6	5q23.3	51735
219714_s_at	calcium channel, voltage-dependent, alpha 2/delta 3 subunit	CACNA2D3	3p21.1	55799
220161_s_at	erythrocyte membrane protein band 4.1 like 4B	EPB41L4B	9q31-q32	54566
221217_s_at	ataxin 2-binding protein 1	A2BP1	16p13.3	54715
49452_at	acetyl-Coenzyme A carboxylase beta	ACACB	12q24.11	32
AFFX-r2-Hs18SrRNA-5_at
AFFX-r2-Hs18SrRNA-M_x_at
