# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000477.3|NM_000477	hgnc_symbol|ALB|ALB
refseq_dna|NM_000295.3|NM_000295	hgnc_symbol|SERPINA1|SERPINA1
refseq_dna|NM_000518.4|NM_000518	hgnc_symbol|HBB|HBB
refseq_dna|NM_000041.2|NM_000041	hgnc_symbol|APOE|APOE
refseq_dna|NM_001735.2|NM_001735	hgnc_symbol|C5|C5
refseq_dna|NM_000040.1|NM_000040	hgnc_symbol|APOC3|APOC3
refseq_dna|NM_003332.2|NM_003332	hgnc_symbol|TYROBP|TYROBP
refseq_dna|NM_000035.2|NM_000035	hgnc_symbol|ALDOB|ALDOB
refseq_dna|XM_941953.1|XM_941953	hgnc_symbol|LOC652493|LOC652493
refseq_dna|NM_004139.2|NM_004139	hgnc_symbol|LBP|LBP
refseq_dna|NM_006744.3|NM_006744	hgnc_symbol|RBP4|RBP4
refseq_dna|NM_000483.3|NM_000483	hgnc_symbol|APOC2|APOC2
refseq_dna|NM_172369.2|NM_172369	hgnc_symbol|C1QC|C1QC
refseq_dna|NM_031310.1|NM_031310	hgnc_symbol|PLVAP|PLVAP
refseq_dna|NM_002216.2|NM_002216	hgnc_symbol|ITIH2|ITIH2
refseq_dna|NM_005211.2|NM_005211	hgnc_symbol|CSF1R|CSF1R
refseq_dna|NM_001671.2|NM_001671	hgnc_symbol|ASGR1|ASGR1
refseq_dna|NR_002196.1|NR_002196	hgnc_symbol|H19|H19
refseq_dna|NM_000029.2|NM_000029	hgnc_symbol|AGT|AGT
refseq_dna|NM_000613.1|NM_000613	hgnc_symbol|HPX|HPX
refseq_dna|NM_000893.2|NM_000893	hgnc_symbol|KNG1|KNG1
refseq_dna|NM_004364.2|NM_004364	hgnc_symbol|CEBPA|CEBPA
refseq_dna|XM_942302.1|XM_942302	hgnc_symbol|LOC652694|LOC652694
embl|AK129542|AK129542	hgnc_symbol|Hs.223856|Hs.223856
refseq_dna|NM_000624.3|NM_000624	hgnc_symbol|SERPINA5|SERPINA5
refseq_dna|NM_001872.2|NM_001872	hgnc_symbol|CPB2|CPB2
refseq_dna|NM_021175.2|NM_021175	hgnc_symbol|HAMP|HAMP
refseq_dna|NM_000030.1|NM_000030	hgnc_symbol|AGXT|AGXT
refseq_dna|NM_000064.1|NM_000064	hgnc_symbol|C3|C3
refseq_dna|NM_000591.1|NM_000591	hgnc_symbol|CD14|CD14
refseq_dna|NM_000354.3|NM_000354	hgnc_symbol|SERPINA7|SERPINA7
refseq_dna|NM_001756.3|NM_001756	hgnc_symbol|SERPINA6|SERPINA6
refseq_dna|NM_000582.2|NM_000582	hgnc_symbol|SPP1|SPP1
refseq_dna|NM_001073.1|NM_001073	hgnc_symbol|UGT2B11|UGT2B11
refseq_dna|NM_000211.1|NM_000211	hgnc_symbol|ITGB2|ITGB2
refseq_dna|NM_001443.1|NM_001443	hgnc_symbol|FABP1|FABP1
refseq_dna|XM_936120.1|XM_936120	hgnc_symbol|HLA-DQA1|HLA-DQA1
refseq_dna|NM_000596.2|NM_000596	hgnc_symbol|IGFBP1|IGFBP1
refseq_dna|NM_000773.3|NM_000773	hgnc_symbol|CYP2E1|CYP2E1
refseq_dna|NM_002922.3|NM_002922	hgnc_symbol|RGS1|RGS1
refseq_dna|NM_152889.1|NM_152889	hgnc_symbol|CHST13|CHST13
refseq_dna|XM_939003.1|XM_939003	hgnc_symbol|LOC649923|LOC649923
refseq_dna|NM_000667.2|NM_000667	hgnc_symbol|ADH1A|ADH1A
refseq_dna|NM_002298.2|NM_002298	hgnc_symbol|LCP1|LCP1
refseq_dna|NM_000558.3|NM_000558	hgnc_symbol|HBA1|HBA1
refseq_dna|NM_006762.1|NM_006762	hgnc_symbol|LAPTM5|LAPTM5
refseq_dna|XM_936253.1|XM_936253	hgnc_symbol|LOC642113|LOC642113
refseq_dna|NM_001482.1|NM_001482	hgnc_symbol|GATM|GATM
refseq_dna|NM_001074.1|NM_001074	hgnc_symbol|UGT2B7|UGT2B7
refseq_dna|NM_001737.2|NM_001737	hgnc_symbol|C9|C9
refseq_dna|NM_002118.3|NM_002118	hgnc_symbol|HLA-DMB|HLA-DMB
refseq_dna|NM_022349.2|NM_022349	hgnc_symbol|MS4A6A|MS4A6A
refseq_dna|NM_000063.3|NM_000063	hgnc_symbol|C2|C2
refseq_dna|NM_002215.1|NM_002215	hgnc_symbol|ITIH1|ITIH1
refseq_dna|NM_000045.2|NM_000045	hgnc_symbol|ARG1|ARG1
refseq_dna|NM_000130.2|NM_000130	hgnc_symbol|F5|F5
refseq_dna|NM_000606.1|NM_000606	hgnc_symbol|C8G|C8G
refseq_dna|NM_001075.2|NM_001075	hgnc_symbol|UGT2B10|UGT2B10
refseq_dna|NM_021139.1|NM_021139	hgnc_symbol|UGT2B4|UGT2B4
refseq_dna|NM_002964.3|NM_002964	hgnc_symbol|S100A8|S100A8
refseq_dna|XM_936518.1|XM_936518	hgnc_symbol|LOC647450|LOC647450
refseq_dna|NM_000778.2|NM_000778	hgnc_symbol|CYP4A11|CYP4A11
refseq_dna|NM_002153.1|NM_002153	hgnc_symbol|HSD17B2|HSD17B2
refseq_dna|NM_145740.2|NM_145740	hgnc_symbol|GSTA1|GSTA1
refseq_dna|NM_033554.2|NM_033554	hgnc_symbol|HLA-DPA1|HLA-DPA1
refseq_dna|NM_000301.1|NM_000301	hgnc_symbol|PLG|PLG
refseq_dna|NM_001025158.1|NM_001025158	hgnc_symbol|CD74|CD74
refseq_dna|NM_014495.2|NM_014495	hgnc_symbol|ANGPTL3|ANGPTL3
refseq_dna|NM_012072.2|NM_012072	hgnc_symbol|C1QR1|C1QR1
refseq_dna|NM_000562.1|NM_000562	hgnc_symbol|C8A|C8A
refseq_dna|NM_021983.4|NM_021983	hgnc_symbol|HLA-DRB4|HLA-DRB4
refseq_dna|NM_032782.3|NM_032782	hgnc_symbol|HAVCR2|HAVCR2
refseq_dna|NM_001085.4|NM_001085	hgnc_symbol|SERPINA3|SERPINA3
refseq_dna|XM_496697.2|XM_496697	hgnc_symbol|LOC441018|LOC441018
refseq_dna|NM_000846.3|NM_000846	hgnc_symbol|GSTA2|GSTA2
refseq_dna|NM_001145.2|NM_001145	hgnc_symbol|ANG|ANG
refseq_dna|NM_004484.2|NM_004484	hgnc_symbol|GPC3|GPC3
refseq_dna|NM_018419.2|NM_018419	hgnc_symbol|SOX18|SOX18
refseq_dna|NM_000340.1|NM_000340	hgnc_symbol|SLC2A2|SLC2A2
refseq_dna|NM_004132.2|NM_004132	hgnc_symbol|HABP2|HABP2
refseq_dna|XM_942072.1|XM_942072	hgnc_symbol|CPN2|CPN2
refseq_dna|NM_018326.2|NM_018326	hgnc_symbol|GIMAP4|GIMAP4
refseq_dna|NM_005849.1|NM_005849	hgnc_symbol|IGSF6|IGSF6
refseq_dna|XM_941789.1|XM_941789	hgnc_symbol|LOC652358|LOC652358
embl|CR627122|CR627122	hgnc_symbol|Hs.291319|Hs.291319
refseq_dna|NM_000185.3|NM_000185	hgnc_symbol|SERPIND1|SERPIND1
refseq_dna|NM_031311.2|NM_031311	hgnc_symbol|CPVL|CPVL
refseq_dna|XM_936226.1|XM_936226	hgnc_symbol|LOC653879|LOC653879
refseq_dna|NM_000412.2|NM_000412	hgnc_symbol|HRG|HRG
refseq_dna|XM_937886.1|XM_937886	hgnc_symbol|FGL1|FGL1
refseq_dna|NM_052972.2|NM_052972	hgnc_symbol|LRG1|LRG1
refseq_dna|NM_016347.1|NM_016347	hgnc_symbol|CML2|CML2
refseq_dna|NM_000552.2|NM_000552	hgnc_symbol|VWF|VWF
refseq_dna|XM_940969.1|XM_940969	hgnc_symbol|LOC651751|LOC651751
refseq_dna|NM_002113.1|NM_002113	hgnc_symbol|CFHR1|CFHR1
refseq_dna|NM_206939.1|NM_206939	hgnc_symbol|MS4A7|MS4A7
refseq_dna|NM_000065.1|NM_000065	hgnc_symbol|C6|C6
refseq_dna|NM_001818.2|NM_001818	hgnc_symbol|AKR1C4|AKR1C4
refseq_dna|NM_001077.2|NM_001077	hgnc_symbol|UGT2B17|UGT2B17
refseq_dna|XM_940101.1|XM_940101	hgnc_symbol|SERPINA11|SERPINA11
refseq_dna|NM_177550.2|NM_177550	hgnc_symbol|SLC13A5|SLC13A5
refseq_dna|NM_000934.1|NM_000934	hgnc_symbol|SERPINF2|SERPINF2
refseq_dna|NM_014033.2|NM_014033	hgnc_symbol|METTL7A|METTL7A
refseq_dna|NM_018487.2|NM_018487	hgnc_symbol|HCA112|HCA112
refseq_dna|NM_003167.2|NM_003167	hgnc_symbol|SULT2A1|SULT2A1
refseq_dna|NM_001175.4|NM_001175	hgnc_symbol|ARHGDIB|ARHGDIB
refseq_dna|NM_138933.1|NM_138933	hgnc_symbol|ACF|ACF
refseq_dna|NM_000067.1|NM_000067	hgnc_symbol|CA2|CA2
refseq_dna|NM_194431.1|NM_194431	hgnc_symbol|RNASE4|RNASE4
refseq_dna|NM_022555.3|NM_022555	hgnc_symbol|HLA-DRB3|HLA-DRB3
refseq_dna|NM_000716.3|NM_000716	hgnc_symbol|C4BPB|C4BPB
refseq_dna|NM_000133.2|NM_000133	hgnc_symbol|F9|F9
refseq_dna|NM_000253.1|NM_000253	hgnc_symbol|MTTP|MTTP
refseq_dna|NM_000669.3|NM_000669	hgnc_symbol|ADH1C|ADH1C
refseq_dna|NM_006894.4|NM_006894	hgnc_symbol|FMO3|FMO3
refseq_dna|NM_000777.2|NM_000777	hgnc_symbol|CYP3A5|CYP3A5
refseq_dna|NM_004106.1|NM_004106	hgnc_symbol|FCER1G|FCER1G
refseq_dna|NM_000277.1|NM_000277	hgnc_symbol|PAH|PAH
refseq_dna|NM_005651.1|NM_005651	hgnc_symbol|TDO2|TDO2
refseq_dna|NM_019101.2|NM_019101	hgnc_symbol|APOM|APOM
refseq_dna|NM_000066.2|NM_000066	hgnc_symbol|C8B|C8B
refseq_dna|NM_002664.1|NM_002664	hgnc_symbol|PLEK|PLEK
refseq_dna|NM_006183.3|NM_006183	hgnc_symbol|NTS|NTS
refseq_dna|NM_024027.3|NM_024027	hgnc_symbol|COLEC11|COLEC11
refseq_dna|NM_007256.2|NM_007256	hgnc_symbol|SLCO2B1|SLCO2B1
refseq_dna|NM_015234.3|NM_015234	hgnc_symbol|GPR116|GPR116
refseq_dna|NM_000770.2|NM_000770	hgnc_symbol|CYP2C8|CYP2C8
refseq_dna|NM_001701.2|NM_001701	hgnc_symbol|BAAT|BAAT
refseq_dna|NM_006120.2|NM_006120	hgnc_symbol|HLA-DMA|HLA-DMA
refseq_dna|NM_002889.2|NM_002889	hgnc_symbol|RARRES2|RARRES2
refseq_dna|NM_053039.1|NM_053039	hgnc_symbol|UGT2B28|UGT2B28
refseq_dna|NM_174896.2|NM_174896	hgnc_symbol|C1ORF162|C1ORF162
refseq_dna|NM_003122.2|NM_003122	hgnc_symbol|SPINK1|SPINK1
refseq_dna|NM_004877.1|NM_004877	hgnc_symbol|GMFG|GMFG
refseq_dna|NM_005565.3|NM_005565	hgnc_symbol|LCP2|LCP2
refseq_dna|NM_000940.1|NM_000940	hgnc_symbol|PON3|PON3
refseq_dna|NM_020980.2|NM_020980	hgnc_symbol|AQP9|AQP9
refseq_dna|NM_013322.2|NM_013322	hgnc_symbol|SNX10|SNX10
refseq_dna|NM_080912.1|NM_080912	hgnc_symbol|ASGR2|ASGR2
refseq_dna|NM_021232.1|NM_021232	hgnc_symbol|PRODH2|PRODH2
refseq_dna|NM_000784.2|NM_000784	hgnc_symbol|CYP27A1|CYP27A1
refseq_dna|NM_000186.2|NM_000186	hgnc_symbol|CFH|CFH
refseq_dna|NM_001565.1|NM_001565	hgnc_symbol|CXCL10|CXCL10
refseq_dna|NM_198998.1|NM_198998	hgnc_symbol|AQP12A|AQP12A
refseq_dna|NM_000612.2|NM_000612	hgnc_symbol|IGF2|IGF2
refseq_dna|NM_002150.2|NM_002150	hgnc_symbol|HPD|HPD
refseq_dna|NM_003725.2|NM_003725	hgnc_symbol|HSD17B6|HSD17B6
refseq_dna|NM_153699.1|NM_153699	hgnc_symbol|GSTA5|GSTA5
embl|AK130022|AK130022	hgnc_symbol|Hs.282795|Hs.282795
refseq_dna|NM_004847.2|NM_004847	hgnc_symbol|AIF1|AIF1
refseq_dna|NM_000587.2|NM_000587	hgnc_symbol|C7|C7
refseq_dna|NM_000597.2|NM_000597	hgnc_symbol|IGFBP2|IGFBP2
refseq_dna|NM_001629.2|NM_001629	hgnc_symbol|ALOX5AP|ALOX5AP
refseq_dna|NM_020998.2|NM_020998	hgnc_symbol|MST1|MST1
refseq_dna|NM_005807.2|NM_005807	hgnc_symbol|PRG4|PRG4
refseq_dna|NM_003645.2|NM_003645	hgnc_symbol|SLC27A2|SLC27A2
refseq_dna|NM_203416.1|NM_203416	hgnc_symbol|CD163|CD163
refseq_dna|NM_000062.2|NM_000062	hgnc_symbol|SERPING1|SERPING1
refseq_dna|NM_002155.3|NM_002155	hgnc_symbol|HSPA6|HSPA6
refseq_dna|NM_032049.1|NM_032049	hgnc_symbol|AGTR1|AGTR1
refseq_dna|NM_005461.3|NM_005461	hgnc_symbol|MAFB|MAFB
refseq_dna|NM_002416.1|NM_002416	hgnc_symbol|CXCL9|CXCL9
refseq_dna|NM_005666.2|NM_005666	hgnc_symbol|CFHR2|CFHR2
refseq_dna|XM_944822.1|XM_944822	hgnc_symbol|LOC649143|LOC649143
refseq_dna|NM_001134.1|NM_001134	hgnc_symbol|AFP|AFP
refseq_dna|NM_001875.2|NM_001875	hgnc_symbol|CPS1|CPS1
refseq_dna|NM_182758.1|NM_182758	hgnc_symbol|WDR72|WDR72
refseq_dna|NM_153206.1|NM_153206	hgnc_symbol|AMICA1|AMICA1
refseq_dna|NM_000898.3|NM_000898	hgnc_symbol|MAOB|MAOB
refseq_dna|NM_004497.2|NM_004497	hgnc_symbol|FOXA3|FOXA3
refseq_dna|NM_013261.2|NM_013261	hgnc_symbol|PPARGC1A|PPARGC1A
refseq_dna|NM_000204.1|NM_000204	hgnc_symbol|CFI|CFI
refseq_dna|NM_002763.3|NM_002763	hgnc_symbol|PROX1|PROX1
refseq_dna|NM_006657.2|NM_006657	hgnc_symbol|FTCD|FTCD
entrezgene|X00437|51561	hgnc_symbol|Hs.534427|Hs.534427
refseq_dna|NM_005835.1|NM_005835	hgnc_symbol|SLC17A2|SLC17A2
refseq_dna|NM_021969.1|NM_021969	hgnc_symbol|NR0B2|NR0B2
refseq_dna|NM_003226.2|NM_003226	hgnc_symbol|TFF3|TFF3
refseq_dna|NM_032866.3|NM_032866	hgnc_symbol|CGNL1|CGNL1
refseq_dna|NM_182983.1|NM_182983	hgnc_symbol|HPN|HPN
refseq_dna|NM_004120.3|NM_004120	hgnc_symbol|GBP2|GBP2
refseq_dna|NM_014430.1|NM_014430	hgnc_symbol|CIDEB|CIDEB
refseq_dna|NM_018242.2|NM_018242	hgnc_symbol|FLJ10847|FLJ10847
refseq_dna|NM_000377.1|NM_000377	hgnc_symbol|WAS|WAS
refseq_dna|NM_001385.1|NM_001385	hgnc_symbol|DPYS|DPYS
refseq_dna|NM_000954.5|NM_000954	hgnc_symbol|PTGDS|PTGDS
refseq_dna|NM_001713.1|NM_001713	hgnc_symbol|BHMT|BHMT
refseq_dna|NM_001010919.1|NM_001010919	hgnc_symbol|LOC441168|LOC441168
refseq_dna|NM_004684.2|NM_004684	hgnc_symbol|SPARCL1|SPARCL1
refseq_dna|NM_001461.1|NM_001461	hgnc_symbol|FMO5|FMO5
refseq_dna|NM_002928.2|NM_002928	hgnc_symbol|RGS16|RGS16
refseq_dna|NM_138326.1|NM_138326	hgnc_symbol|ACMSD|ACMSD
refseq_dna|NM_006209.2|NM_006209	hgnc_symbol|ENPP2|ENPP2
refseq_dna|NM_013364.2|NM_013364	hgnc_symbol|PNMA3|PNMA3
refseq_dna|NM_000771.2|NM_000771	hgnc_symbol|CYP2C9|CYP2C9
refseq_dna|NM_178562.2|NM_178562	hgnc_symbol|TSPAN33|TSPAN33
refseq_dna|NM_002163.2|NM_002163	hgnc_symbol|IRF8|IRF8
refseq_dna|NM_015136.2|NM_015136	hgnc_symbol|STAB1|STAB1
refseq_dna|NM_000397.2|NM_000397	hgnc_symbol|CYBB|CYBB
refseq_dna|NM_012190.2|NM_012190	hgnc_symbol|ALDH1L1|ALDH1L1
refseq_dna|XM_937586.1|XM_937586	hgnc_symbol|FLJ21438|FLJ21438
refseq_dna|NM_014333.2|NM_014333	hgnc_symbol|IGSF4|IGSF4
refseq_dna|NM_016518.2|NM_016518	hgnc_symbol|PIPOX|PIPOX
refseq_dna|NM_173596.1|NM_173596	hgnc_symbol|SLC39A5|SLC39A5
refseq_dna|NM_152672.3|NM_152672	hgnc_symbol|OSTALPHA|OSTALPHA
refseq_dna|NM_000142.2|NM_000142	hgnc_symbol|FGFR3|FGFR3
refseq_dna|NM_000504.2|NM_000504	hgnc_symbol|F10|F10
refseq_dna|NM_001066.2|NM_001066	hgnc_symbol|TNFRSF1B|TNFRSF1B
refseq_dna|NM_005335.3|NM_005335	hgnc_symbol|HCLS1|HCLS1
refseq_dna|NM_005460.2|NM_005460	hgnc_symbol|SNCAIP|SNCAIP
refseq_dna|NM_032607.1|NM_032607	hgnc_symbol|CREB3L3|CREB3L3
refseq_dna|NM_014266.3|NM_014266	hgnc_symbol|HCST|HCST
refseq_dna|NM_000151.1|NM_000151	hgnc_symbol|G6PC|G6PC
refseq_dna|NM_175571.2|NM_175571	hgnc_symbol|GIMAP8|GIMAP8
refseq_dna|NM_006843.2|NM_006843	hgnc_symbol|SDS|SDS
refseq_dna|NM_006705.2|NM_006705	hgnc_symbol|GADD45G|GADD45G
refseq_dna|NM_002965.2|NM_002965	hgnc_symbol|S100A9|S100A9
refseq_dna|NM_021021.2|NM_021021	hgnc_symbol|SNTB1|SNTB1
refseq_dna|NM_173452.1|NM_173452	hgnc_symbol|FCN3|FCN3
refseq_dna|NM_152309.2|NM_152309	hgnc_symbol|PIK3AP1|PIK3AP1
refseq_dna|NM_030769.1|NM_030769	hgnc_symbol|NPL|NPL
refseq_dna|NM_031481.1|NM_031481	hgnc_symbol|SLC25A18|SLC25A18
refseq_dna|NM_000353.1|NM_000353	hgnc_symbol|TAT|TAT
refseq_dna|NM_003196.1|NM_003196	hgnc_symbol|TCEA3|TCEA3
refseq_dna|NM_024758.3|NM_024758	hgnc_symbol|AGMAT|AGMAT
refseq_dna|NM_001666.2|NM_001666	hgnc_symbol|ARHGAP4|ARHGAP4
refseq_dna|NM_000531.3|NM_000531	hgnc_symbol|OTC|OTC
refseq_dna|NM_002124.1|NM_002124	hgnc_symbol|HLA-DRB1|HLA-DRB1
refseq_dna|NM_152435.1|NM_152435	hgnc_symbol|AMDHD1|AMDHD1
refseq_dna|NM_032562.2|NM_032562	hgnc_symbol|PLA2G12B|PLA2G12B
refseq_dna|NM_001979.4|NM_001979	hgnc_symbol|EPHX2|EPHX2
refseq_dna|NM_000790.2|NM_000790	hgnc_symbol|DDC|DDC
refseq_dna|NM_003810.2|NM_003810	hgnc_symbol|TNFSF10|TNFSF10
refseq_dna|NM_173217.1|NM_173217	hgnc_symbol|ST6GAL1|ST6GAL1
refseq_dna|NM_000313.1|NM_000313	hgnc_symbol|PROS1|PROS1
refseq_dna|NM_002474.1|NM_002474	hgnc_symbol|MYH11|MYH11
refseq_dna|NM_006332.3|NM_006332	hgnc_symbol|IFI30|IFI30
refseq_dna|NM_000163.2|NM_000163	hgnc_symbol|GHR|GHR
refseq_dna|NM_152637.1|NM_152637	hgnc_symbol|METTL7B|METTL7B
refseq_dna|NM_001710.4|NM_001710	hgnc_symbol|CFB|CFB
refseq_dna|NM_006748.1|NM_006748	hgnc_symbol|SLA|SLA
refseq_dna|NM_000242.1|NM_000242	hgnc_symbol|MBL2|MBL2
refseq_dna|NM_006944.2|NM_006944	hgnc_symbol|SPP2|SPP2
refseq_dna|NM_006144.2|NM_006144	hgnc_symbol|GZMA|GZMA
refseq_dna|NM_002084.2|NM_002084	hgnc_symbol|GPX3|GPX3
refseq_dna|NM_005615.2|NM_005615	hgnc_symbol|RNASE6|RNASE6
refseq_dna|NM_000312.1|NM_000312	hgnc_symbol|PROC|PROC
refseq_dna|NM_018404.1|NM_018404	hgnc_symbol|CENTA2|CENTA2
refseq_dna|NM_000896.1|NM_000896	hgnc_symbol|CYP4F3|CYP4F3
refseq_dna|NM_153236.3|NM_153236	hgnc_symbol|GIMAP7|GIMAP7
refseq_dna|NM_005258.2|NM_005258	hgnc_symbol|GCHFR|GCHFR
refseq_dna|NM_014571.2|NM_014571	hgnc_symbol|HEYL|HEYL
refseq_dna|NM_033086.1|NM_033086	hgnc_symbol|FGD3|FGD3
refseq_dna|NM_006210.1|NM_006210	hgnc_symbol|PEG3|PEG3
refseq_dna|NM_001767.2|NM_001767	hgnc_symbol|CD2|CD2
refseq_dna|NM_000478.2|NM_000478	hgnc_symbol|ALPL|ALPL
refseq_dna|NM_005084.2|NM_005084	hgnc_symbol|PLA2G7|PLA2G7
refseq_dna|NM_001638.2|NM_001638	hgnc_symbol|APOF|APOF
refseq_dna|NM_000300.2|NM_000300	hgnc_symbol|PLA2G2A|PLA2G2A
refseq_dna|NM_002432.1|NM_002432	hgnc_symbol|MNDA|MNDA
refseq_dna|NM_001308.1|NM_001308	hgnc_symbol|CPN1|CPN1
refseq_dna|NM_024660.1|NM_024660	hgnc_symbol|U2AF1L4|U2AF1L4
refseq_dna|NM_003120.1|NM_003120	hgnc_symbol|SPI1|SPI1
refseq_dna|NM_001778.2|NM_001778	hgnc_symbol|CD48|CD48
refseq_dna|NM_002405.2|NM_002405	hgnc_symbol|MFNG|MFNG
refseq_dna|NM_004946.1|NM_004946	hgnc_symbol|DOCK2|DOCK2
refseq_dna|NM_005623.2|NM_005623	hgnc_symbol|CCL8|CCL8
refseq_dna|NM_001185.2|NM_001185	hgnc_symbol|AZGP1|AZGP1
refseq_dna|NM_020796.2|NM_020796	hgnc_symbol|SEMA6A|SEMA6A
refseq_dna|NM_018687.3|NM_018687	hgnc_symbol|LOC55908|LOC55908
refseq_dna|NM_005601.3|NM_005601	hgnc_symbol|NKG7|NKG7
refseq_dna|NM_000765.2|NM_000765	hgnc_symbol|CYP3A7|CYP3A7
refseq_dna|NM_003708.2|NM_003708	hgnc_symbol|RDH16|RDH16
refseq_dna|NM_003621.1|NM_003621	hgnc_symbol|PPFIBP2|PPFIBP2
refseq_dna|NM_005123.1|NM_005123	hgnc_symbol|NR1H4|NR1H4
refseq_dna|NM_001093.2|NM_001093	hgnc_symbol|ACACB|ACACB
refseq_dna|NM_000429.2|NM_000429	hgnc_symbol|MAT1A|MAT1A
refseq_dna|NM_006633.1|NM_006633	hgnc_symbol|IQGAP2|IQGAP2
refseq_dna|NM_006864.1|NM_006864	hgnc_symbol|LILRB3|LILRB3
refseq_dna|XM_940876.1|XM_940876	hgnc_symbol|LOC650946|LOC650946
refseq_dna|NM_000507.2|NM_000507	hgnc_symbol|FBP1|FBP1
refseq_dna|NM_016327.2|NM_016327	hgnc_symbol|UPB1|UPB1
refseq_dna|NM_025243.2|NM_025243	hgnc_symbol|SLC19A3|SLC19A3
refseq_dna|NM_001159.3|NM_001159	hgnc_symbol|AOX1|AOX1
refseq_dna|NM_017614.3|NM_017614	hgnc_symbol|BHMT2|BHMT2
refseq_dna|NM_005360.3|NM_005360	hgnc_symbol|MAF|MAF
refseq_dna|NM_002885.1|NM_002885	hgnc_symbol|RAP1GA1|RAP1GA1
refseq_dna|NM_002302.2|NM_002302	hgnc_symbol|LECT2|LECT2
refseq_dna|NM_020995.3|NM_020995	hgnc_symbol|HPR|HPR
refseq_dna|NM_003500.2|NM_003500	hgnc_symbol|ACOX2|ACOX2
refseq_dna|XM_945034.1|XM_945034	hgnc_symbol|CES1|CES1
refseq_dna|NM_001774.1|NM_001774	hgnc_symbol|CD37|CD37
refseq_dna|NM_004271.3|NM_004271	hgnc_symbol|LY86|LY86
refseq_dna|NM_002729.2|NM_002729	hgnc_symbol|HHEX|HHEX
refseq_dna|NM_016323.1|NM_016323	hgnc_symbol|HERC5|HERC5
refseq_dna|NM_000772.1|NM_000772	hgnc_symbol|CYP2C18|CYP2C18
refseq_dna|NM_000187.1|NM_000187	hgnc_symbol|HGD|HGD
refseq_dna|NM_001251.1|NM_001251	hgnc_symbol|CD68|CD68
refseq_dna|NM_000160.1|NM_000160	hgnc_symbol|GCGR|GCGR
