# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_rae230_2|1449009_at|1449009_at	entrezgene|21822|21822	refseq_dna|NM_011579|NM_011579	mgi_symbol|Tgtp|Tgtp
affy_rae230_2|1423467_at|1423467_at	entrezgene|60361|60361	refseq_dna|NM_021718|NM_021718	mgi_symbol|Ms4a4b|Ms4a4b
affy_rae230_2|1424638_at|1424638_at	entrezgene|12575|12575	refseq_dna|NM_001111099|NM_001111099	mgi_symbol|Cdkn1a|Cdkn1a
affy_rae230_2|1452349_x_at|1452349_x_at	entrezgene|226695|226695	refseq_dna|NM_172648|NM_172648	mgi_symbol|Ifi205|Ifi205
affy_rae230_2|1422903_at|1422903_at	entrezgene|17084|17084	refseq_dna|NM_010745|NM_010745	mgi_symbol|Ly86|Ly86
affy_rae230_2|1421855_at|1421855_at	entrezgene|14190|14190	refseq_dna|NM_008013|NM_008013	mgi_symbol|Fgl2|Fgl2
affy_rae230_2|1448162_at|1448162_at	entrezgene|22329|22329	refseq_dna|NM_011693|NM_011693	mgi_symbol|Vcam1|Vcam1
affy_rae230_2|1447830_s_at|1447830_s_at	entrezgene|19735|19735	refseq_dna|NM_009061|NM_009061	mgi_symbol|Rgs2|Rgs2
affy_rae230_2|1427455_x_at|1427455_x_at	entrezgene|16081|16081	refseq_dna|XM_001476664|XM_001476664	mgi_symbol|Igk-V1|Igk-V1
affy_rae230_2|1452417_x_a|1452417_x_a	entrezgene|16071|16071	refseq_dna|XM_001476664|XM_001476664	mgi_symbol|Igk-C|Igk-C
affy_rae230_2|1449846_at|1449846_at	entrezgene|13587|13587	refseq_dna|NM_007895|NM_007895	mgi_symbol|Ear2|Ear2
affy_rae230_2|1431056_a_at|1431056_a_at	entrezgene|16956|16956	refseq_dna|NM_008509|NM_008509	mgi_symbol|Lpl|Lpl
affy_rae230_2|1442798_x_at|1442798_x_at	entrezgene|212032|212032	refseq_dna|NM_001033245|NM_001033245	mgi_symbol|Hk3|Hk3
affy_rae230_2|1451069_at|1451069_at	entrezgene|223775|223775	refseq_dna|NM_145478|NM_145478	mgi_symbol|Pim3|Pim3
affy_rae230_2|1451588_at|1451588_at	entrezgene|69123|69123	refseq_dna|NM_026947|NM_026947	mgi_symbol|1810022C23Rik|1810022C23Rik
