Agilent Probe ID	Accession Number	Gene Symbol	Correlation to Stationary Signature Proband ( R )	# of Down Regulated Cell lines	% of Down regulated Cell lines	CellLine Log2(Rim/Core) G112MS	CellLine Log2(Rim/Core) G120	CellLine Log2(Rim/Core) GH3	CellLine Log2(Rim/Core) GH4	CellLine Log2(Rim/Core) GH6	CellLine Log2(Rim/Core) SF763	CellLine Log2(Rim/Core) SF767	CellLine Log2(Rim/Core) T98G	CellLine Log2(Rim/Core) U87EGFR	CellLine Log2(Rim/Core) U87
A_32_P228618	AK097311	AK097311	0.809	5	50%	-0.137	1.055	-1.202	-0.16	-0.002	0.081	-0.583	0.385	1.165	0.672
A_24_P273726	BC040053	BC040053	0.809	9	90%	0.398	0.269	0.114	0.373	0.149	-0.088	0.065	0.17	0.135	0.3
A_32_P58201	AK021570	AK021570	0.808	5	50%	0.725	0.111	-0.278	0.279	-0.512	0.387	-0.217	-0.212	-0.259	0.113
A_23_P502678	NM_078473	NM_078473	0.807	6	60%	0.093	-0.242	-0.135	0.225	0.205	-0.079	0.149	0.172	0.263	-0.004
A_23_P433855	NM_005613	RGS4	0.807	7	70%	0.204	0.378	-0.377	0.721	0.832	-0.116	0.071	0.151	0.12	-0.014
A_23_P347100	A_23_BS347100	A_23_BS347100	0.806	8	80%	0.162	0.522	0.56	0.766	0.624	-0.393	-0.093	0.966	0.522	0.486
A_24_P681218	THC1481329	THC1481329	0.806	6	60%	0.372	0.18	0.584	-0.258	-0.365	0.051	0.05	0.024	-0.064	-0.115
A_23_P160582	BC019041	BC019041	0.805	5	50%	0.498	0.39	-0.1	-0.099	-0.102	-0.557	0.508	0.533	-0.364	0.392
A_23_P52885	NM_024631	NM_024631	0.804	8	80%	0.578	0.335	0.062	0.113	0.114	-0.034	-0.032	0.003	0.29	0.003
A_24_P174550	AF498970	ARHA	0.803	7	70%	0.636	0.701	-0.297	0.558	0.146	-0.649	0.113	0.356	0.875	-0.309
A_23_P168788	NM_001084	PLOD3	0.803	9	90%	0.097	0.013	0.765	0.314	0.097	0.233	0.595	0.347	-0.377	0.146
A_24_P210888	AK002019	AK002019	0.802	9	90%	0.459	0.414	0.194	0.267	0.272	0.195	-0.024	0.349	0.154	0.139
A_23_P204998	I_1002224	I_1002224	0.801	6	60%	0.258	0.012	0.02	0.063	-0.198	-0.002	-0.103	0.035	-0.091	0.196
A_24_P58607	ENST00000321959	ENST00000321959	0.8	7	70%	0.151	0.143	-0.438	0.216	0.241	-0.283	-0.083	0.01	0.295	0.095
