ID	Gene Symbol	Gene Title	logFC	t	P.Value	adj.P.Val	B	Pathway	go biological process term	go molecular function term	go cellular component term
205402_x_at	PRSS2	protease, serine, 2 (trypsin 2)	-4.176135304	-7.679134176	0.000653024	0.013554376	-0.018726419	---	proteolysis /// proteolysis /// digestion /// positive regulation of cell growth /// collagen catabolic process /// collagen catabolic process /// positive regulation of cell adhesion	catalytic activity /// serine-type endopeptidase activity /// serine-type endopeptidase activity /// calcium ion binding /// calcium ion binding /// protein binding /// peptidase activity /// hydrolase activity /// metal ion binding	extracellular region /// extracellular region /// extracellular space /// extracellular matrix
1562102_at	AKR1C1	Aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	-4.166421127	-10.90846052	0.000127014	0.006386885	1.830486621	---	lipid metabolic process /// prostaglandin metabolic process /// xenobiotic metabolic process /// digestion /// steroid metabolic process /// steroid metabolic process /// bile acid metabolic process /// bile acid and bile salt transport /// cholesterol ab	aldo-keto reductase activity /// oxidoreductase activity /// carboxylic acid binding /// bile acid binding /// 20-alpha-hydroxysteroid dehydrogenase activity /// 3-alpha-hydroxysteroid dehydrogenase (A-specific) activity /// 3-alpha-hydroxysteroid dehydro	cytoplasm /// cytosol
220622_at	LRRC31	leucine rich repeat containing 31	-4.109357195	-9.555930999	0.000236982	0.008535368	1.132778202	---	---	protein binding	---
219799_s_at	DHRS9	dehydrogenase/reductase (SDR family) member 9	-4.080931012	-14.29665534	0.0000349	0.003800092	3.233349965	---	metabolic process /// androgen metabolic process /// androgen metabolic process /// epithelial cell differentiation /// progesterone metabolic process /// retinol metabolic process /// 9-cis-retinoic acid biosynthetic process /// 9-cis-retinoic acid biosy	catalytic activity /// alcohol dehydrogenase activity /// alcohol dehydrogenase activity /// retinol dehydrogenase activity /// retinol dehydrogenase activity /// binding /// oxidoreductase activity /// racemase and epimerase activity /// 3-alpha(17-beta)	endoplasmic reticulum /// endoplasmic reticulum membrane /// microsome /// microsome /// microsome /// membrane /// integral to endoplasmic reticulum membrane /// integral to endoplasmic reticulum membrane
203757_s_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	-4.075902557	-22.04386758	0.00000431	0.001538289	5.317764038	---	signal transduction /// cell-cell signaling	---	plasma membrane /// plasma membrane /// integral to plasma membrane /// membrane /// anchored to membrane
241418_at	LOC344887	similar to hCG2041270	-3.993963827	-11.9516217	0.0000823	0.005264346	2.308904517	---	---	---	---
202242_at	TSPAN7	tetraspanin 7	-3.982477713	-21.0411649	0.0000054	0.00164247	5.108027419	---	protein amino acid N-linked glycosylation	---	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
211657_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	-3.974655649	-28.55946603	0.00000122	0.001177277	6.398677464	---	signal transduction /// cell-cell signaling	---	plasma membrane /// plasma membrane /// integral to plasma membrane /// membrane /// anchored to membrane
211848_s_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	-3.857756488	-8.454086049	0.000419414	0.010991056	0.486389689	---	---	---	plasma membrane /// plasma membrane /// membrane /// integral to membrane /// anchored to membrane
209699_x_at	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	-3.804027753	-22.37874097	0.000004	0.001496637	5.384772908	---	lipid metabolic process /// prostaglandin metabolic process /// digestion /// steroid metabolic process /// steroid metabolic process /// oxidation reduction	oxidoreductase activity /// carboxylic acid binding /// bile acid binding /// 3-alpha-hydroxysteroid dehydrogenase (A-specific) activity /// trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity /// trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activ	cytoplasm
225540_at	MAP2	microtubule-associated protein 2	-3.703933528	-9.625754597	0.00022903	0.008455643	1.171210954	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:MAPK_Cascade>MAPK_Cascade</a>	negative regulation of microtubule depolymerization	structural molecule activity /// calmodulin binding	cytoplasm /// cytoskeleton /// microtubule /// microtubule associated complex /// microtubule associated complex
206085_s_at	CTH	cystathionase (cystathionine gamma-lyase)	-3.691696866	-11.15815149	0.000114099	0.006117392	1.94935079	---	amino acid metabolic process /// cysteine metabolic process /// amino acid biosynthetic process /// cysteine biosynthetic process	catalytic activity /// cystathionine gamma-lyase activity /// lyase activity /// pyridoxal phosphate binding	cytoplasm
204151_x_at	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	-3.632482163	-31.53593466	0.000000753	0.000981709	6.76878805	---	lipid metabolic process /// prostaglandin metabolic process /// xenobiotic metabolic process /// digestion /// steroid metabolic process /// steroid metabolic process /// bile acid metabolic process /// bile acid and bile salt transport /// cholesterol ab	aldo-keto reductase activity /// oxidoreductase activity /// carboxylic acid binding /// bile acid binding /// 20-alpha-hydroxysteroid dehydrogenase activity /// 3-alpha-hydroxysteroid dehydrogenase (A-specific) activity /// 3-alpha-hydroxysteroid dehydro	cytoplasm /// cytosol
235334_at	ST6GALNAC3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	-3.6071526	-31.88600182	0.000000714	0.00096743	6.808363839	---	protein amino acid glycosylation	sialyltransferase activity /// transferase activity /// transferase activity, transferring glycosyl groups	Golgi membrane /// Golgi apparatus /// membrane /// integral to membrane /// integral to Golgi membrane
232081_at	---	---	-3.554732256	-13.83162399	0.000041	0.004042385	3.064552906	---	---	---	---
216594_x_at	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	-3.548313481	-17.74999165	0.0000123	0.002433043	4.308925269	---	lipid metabolic process /// prostaglandin metabolic process /// xenobiotic metabolic process /// digestion /// steroid metabolic process /// steroid metabolic process /// bile acid metabolic process /// bile acid and bile salt transport /// cholesterol ab	aldo-keto reductase activity /// oxidoreductase activity /// carboxylic acid binding /// bile acid binding /// 20-alpha-hydroxysteroid dehydrogenase activity /// 3-alpha-hydroxysteroid dehydrogenase (A-specific) activity /// 3-alpha-hydroxysteroid dehydro	cytoplasm /// cytosol
226425_at	CLIP4	CAP-GLY domain containing linker protein family, member 4	-3.516303911	-8.773906137	0.000353033	0.010165666	0.682129382	---	---	---	---
211653_x_at	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	-3.472700702	-36.91915806	0.000000349	0.000786578	7.301407614	---	lipid metabolic process /// prostaglandin metabolic process /// digestion /// steroid metabolic process /// steroid metabolic process /// oxidation reduction	oxidoreductase activity /// carboxylic acid binding /// bile acid binding /// 3-alpha-hydroxysteroid dehydrogenase (A-specific) activity /// trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity /// trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activ	cytoplasm
211113_s_at	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	-3.434724249	-10.52127302	0.000150684	0.006976738	1.6403515	---	transport /// lipid transport /// cholesterol metabolic process /// detection of hormone stimulus /// response to organic substance /// protein transport /// intracellular cholesterol transport /// cholesterol efflux /// phospholipid efflux /// cholestero	nucleotide binding /// ATP binding /// ATP binding /// ATP binding /// phospholipid binding /// phospholipid transporter activity /// protein transporter activity /// cholesterol binding /// ATPase activity /// nucleoside-triphosphatase activity /// chole	Golgi membrane /// endosome /// endoplasmic reticulum /// endoplasmic reticulum membrane /// Golgi apparatus /// Golgi apparatus /// plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
206354_at	LST-3TM12 /// SLCO1B1 /// SLCO1B3	organic anion transporter LST-3b /// solute carrier organic anion transporter family, member 1B1 /// solute carrier organic anion transporter family, member 1B3	-3.389990878	-5.340446713	0.0032807	0.031714053	-1.87442982	---	transport /// ion transport /// organic anion transport	transporter activity /// organic anion transmembrane transporter activity /// bile acid transmembrane transporter activity /// sodium-independent organic anion transmembrane transporter activity	membrane fraction /// plasma membrane /// integral to plasma membrane /// basal plasma membrane /// membrane /// integral to membrane /// basolateral plasma membrane /// lateral plasma membrane
207043_s_at	SLC6A9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	-3.381028131	-55.01226112	4.96E-08	0.000560595	8.330374897	---	transport /// transport /// neurotransmitter transport /// amino acid transport	sodium:amino acid symporter activity /// neurotransmitter:sodium symporter activity /// symporter activity /// glycine:sodium symporter activity	membrane fraction /// integral to plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
217127_at	CTH	cystathionase (cystathionine gamma-lyase)	-3.358842047	-9.91668891	0.000199146	0.007888475	1.328366555	---	amino acid metabolic process /// cysteine metabolic process /// amino acid biosynthetic process /// cysteine biosynthetic process	catalytic activity /// cystathionine gamma-lyase activity /// lyase activity /// pyridoxal phosphate binding	cytoplasm
220786_s_at	SLC38A4	solute carrier family 38, member 4	-3.29779425	-5.489455985	0.002914797	0.029383793	-1.738251845	---	transport /// ion transport /// sodium ion transport /// amino acid transport	symporter activity /// sodium ion binding	plasma membrane /// membrane /// integral to membrane
206243_at	TIMP4	TIMP metallopeptidase inhibitor 4	-3.233559533	-25.94056816	0.00000195	0.001202654	6.015438729	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Matrix_Metalloproteinases>Matrix_Metalloproteinases</a>	---	enzyme inhibitor activity /// protein binding /// metalloendopeptidase inhibitor activity /// metalloendopeptidase inhibitor activity	extracellular region /// extracellular region /// proteinaceous extracellular matrix
209324_s_at	RGS16	regulator of G-protein signaling 16	-3.212050328	-10.76255478	0.000135371	0.006639654	1.759684391	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Calcium_regulation_in_cardiac_cells>Calcium_regulation_in_cardiac_cells</a> /// <a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Sm	visual perception /// regulation of G-protein coupled receptor protein signaling pathway /// negative regulation of signal transduction	signal transducer activity /// GTPase activator activity /// calmodulin binding	---
204411_at	KIF21B	kinesin family member 21B	-3.173106824	-16.69317905	0.0000166	0.002702168	4.009574699	---	microtubule-based movement	nucleotide binding /// motor activity /// microtubule motor activity /// ATP binding	cytoplasm /// microtubule /// microtubule associated complex
226181_at	TUBE1	tubulin, epsilon 1	-3.141798793	-10.16577655	0.000177204	0.007475293	1.459221611	---	microtubule-based process /// microtubule-based movement /// centrosome cycle /// protein polymerization	nucleotide binding /// GTPase activity /// structural molecule activity /// structural constituent of cytoskeleton /// GTP binding	pericentriolar material /// centrosome /// microtubule /// protein complex
236313_at	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	-3.100932557	-7.298019495	0.000823741	0.014996483	-0.284681085	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:G1_to_S_cell_cycle_Reactome>G1_to_S_cell_cycle_Reactome</a>	regulation of cyclin-dependent protein kinase activity /// G2/M transition of mitotic cell cycle /// cell cycle /// cell cycle arrest /// negative regulation of cell proliferation /// positive regulation of transforming growth factor beta receptor signali	cyclin-dependent protein kinase inhibitor activity /// cyclin-dependent protein kinase inhibitor activity /// protein binding /// kinase activity /// protein kinase binding	nucleus /// cytoplasm
219270_at	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	-3.074943781	-16.18178921	0.0000193	0.002857401	3.85594137	---	---	protein binding	---
235965_at	---	---	-3.007831118	-15.92974089	0.0000208	0.002947444	3.777971507	---	---	---	---
227443_at	C9orf150	chromosome 9 open reading frame 150	-2.991964067	-5.90797161	0.002117802	0.024368786	-1.370350534	---	---	---	---
201744_s_at	LUM	lumican	-2.973749609	-17.44065746	0.0000134	0.00252081	4.223723192	---	visual perception /// collagen fibril organization	extracellular matrix structural constituent /// protein binding /// collagen binding	extracellular region /// extracellular region /// proteinaceous extracellular matrix /// proteinaceous extracellular matrix /// fibrillar collagen
220351_at	CCRL1	chemokine (C-C motif) receptor-like 1	-2.945073101	-34.36898741	0.000000495	0.00080168	7.068229819	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:GPCRDB_Class_A_Rhodopsin-like>GPCRDB_Class_A_Rhodopsin-like</a>	chemotaxis /// immune response /// signal transduction /// G-protein coupled receptor protein signaling pathway /// G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// chemokine receptor activity /// C-C chemokine receptor activity	plasma membrane /// plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
231120_x_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	-2.870418813	-14.69382051	0.0000306	0.003507598	3.372461374	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Calcium_regulation_in_cardiac_cells>Calcium_regulation_in_cardiac_cells</a> /// <a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Sm	negative regulation of protein kinase activity	protein kinase inhibitor activity /// cAMP-dependent protein kinase inhibitor activity /// kinase activity	---
235191_at	LOC148189	Hypothetical protein LOC148189	-2.862590725	-13.46485404	0.0000466	0.004338637	2.926686023	---	---	---	---
1555788_a_at	TRIB3	tribbles homolog 3 (Drosophila)	-2.840122972	-12.60779977	0.0000638	0.004721433	2.587007153	---	transcription /// regulation of transcription, DNA-dependent /// protein amino acid phosphorylation /// negative regulation of protein kinase activity /// apoptosis /// response to stress /// regulation of MAP kinase activity	transcription corepressor activity /// transcription corepressor activity /// protein kinase activity /// protein kinase inhibitor activity /// protein binding /// protein binding /// protein binding /// ATP binding /// kinase activity /// protein kinase	nucleus /// nucleus
207076_s_at	ASS1	argininosuccinate synthetase 1	-2.826653516	-19.1036434	0.00000863	0.002103913	4.660081678	---	urea cycle /// urea cycle /// arginine biosynthetic process /// amino acid biosynthetic process	nucleotide binding /// argininosuccinate synthase activity /// protein binding /// ATP binding /// ligase activity	cytoplasm
205476_at	CCL20	chemokine (C-C motif) ligand 20	-2.822772881	-3.028355815	0.029895886	0.123912362	-4.390940816	---	chemotaxis /// chemotaxis /// inflammatory response /// inflammatory response /// immune response /// immune response /// signal transduction /// cell-cell signaling /// defense response to bacterium	cytokine activity /// chemokine activity /// chemokine activity	extracellular region /// extracellular space /// extracellular space
228802_at	RBPMS2	RNA binding protein with multiple splicing 2	-2.807214825	-7.566564943	0.000698653	0.013936881	-0.096009207	---	---	nucleotide binding /// nucleic acid binding	---
237127_at	---	---	-2.788824459	-15.56811463	0.0000232	0.003055714	3.663400061	---	---	---	---
218651_s_at	LARP6	La ribonucleoprotein domain family, member 6	-2.745927758	-14.05018199	0.000038	0.003940363	3.144701006	---	RNA processing	nucleic acid binding /// RNA binding	nucleus /// cytoplasm /// ribonucleoprotein complex
215248_at	GRB10	growth factor receptor-bound protein 10	-2.738951378	-6.530601541	0.001359257	0.019044203	-0.859895105	---	signal transduction /// cell-cell signaling /// insulin receptor signaling pathway	receptor activity /// SH3/SH2 adaptor activity /// protein binding /// protein binding	cytoplasm /// plasma membrane
218145_at	TRIB3	tribbles homolog 3 (Drosophila)	-2.713272974	-20.95741265	0.00000551	0.00164247	5.089865476	---	transcription /// regulation of transcription, DNA-dependent /// protein amino acid phosphorylation /// negative regulation of protein kinase activity /// apoptosis /// response to stress /// regulation of MAP kinase activity	transcription corepressor activity /// transcription corepressor activity /// protein kinase activity /// protein kinase inhibitor activity /// protein binding /// protein binding /// protein binding /// ATP binding /// kinase activity /// protein kinase	nucleus /// nucleus
213112_s_at	SQSTM1	sequestosome 1	-2.697868349	-11.58416489	0.0000955	0.005735511	2.145718265	---	ubiquitin-dependent protein catabolic process /// apoptosis /// response to stress /// immune response /// intracellular signaling cascade /// protein localization /// endosome transport /// cell differentiation /// regulation of I-kappaB kinase/NF-kappaB	protein binding /// protein binding /// zinc ion binding /// protein kinase binding /// protein kinase binding /// receptor tyrosine kinase binding /// SH2 domain binding /// SH2 domain binding /// ubiquitin binding /// ubiquitin binding /// metal ion bin	nucleus /// cytoplasm /// endosome /// late endosome /// cytosol /// cytosol
205945_at	IL6R	interleukin 6 receptor	-2.697266036	-16.40274309	0.000018	0.002777997	3.923057956	---	immune response /// cell surface receptor linked signal transduction /// multicellular organismal development /// cell proliferation	receptor activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor activity /// interleukin-6 receptor activity /// protein binding /// enzyme binding	extracellular region /// extracellular region /// integral to plasma membrane /// interleukin-6 receptor complex /// membrane /// integral to membrane /// basolateral plasma membrane
1560498_at	---	---	-2.682449459	-6.136208126	0.001792532	0.022302673	-1.17832698	---	---	---	---
202834_at	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	-2.66342338	-36.5759725	0.000000365	0.000786578	7.271818204	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:ACE-Inhibitor_pathway_PharmGKB>ACE-Inhibitor_pathway_PharmGKB</a>	ovarian follicle rupture /// regulation of cell growth /// blood vessel development /// ureteric bud branching /// positive regulation of cytokine production /// kidney development /// kidney development /// blood vessel remodeling /// angiotensin mediate	serine-type endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// receptor binding /// hormone activity /// growth factor activity /// type 1 angiotensin receptor binding /// type 1 angiotensin receptor binding /// type 2 a	extracellular region /// extracellular region /// extracellular space /// extracellular space /// soluble fraction
239272_at	MMP28	matrix metallopeptidase 28	-2.654578881	-6.635067055	0.001266112	0.018322409	-0.778257982	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Matrix_Metalloproteinases>Matrix_Metalloproteinases</a>	proteolysis /// proteolysis /// metabolic process	catalytic activity /// metalloendopeptidase activity /// metalloendopeptidase activity /// calcium ion binding /// peptidase activity /// metallopeptidase activity /// zinc ion binding /// hydrolase activity /// metal ion binding	extracellular region /// proteinaceous extracellular matrix /// proteinaceous extracellular matrix
206198_s_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	-2.650682955	-3.49959819	0.017872064	0.0908717	-3.813311666	---	---	---	plasma membrane /// plasma membrane /// membrane /// integral to membrane /// anchored to membrane
228409_at	KIAA1881	KIAA1881	-2.630962225	-11.04093315	0.000119956	0.006221704	1.893906176	---	---	---	cytoplasm /// lipid particle /// plasma membrane /// monolayer-surrounded lipid storage body /// membrane
1558212_at	FLJ35024	hypothetical LOC401491	-2.624312693	-4.833820279	0.004999833	0.040931004	-2.359197957	---	---	---	---
209098_s_at	JAG1	jagged 1 (Alagille syndrome)	-2.602332882	-16.23953193	0.0000189	0.002856383	3.873591238	---	angiogenesis /// cell fate determination /// morphogenesis of an epithelial sheet /// cell communication /// Notch signaling pathway /// Notch signaling pathway /// multicellular organismal development /// multicellular organismal development /// nervous	Notch binding /// Notch binding /// structural molecule activity /// calcium ion binding /// calcium ion binding /// protein binding /// growth factor activity	extracellular region /// plasma membrane /// integral to plasma membrane /// membrane /// membrane /// integral to membrane
214385_s_at	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	-2.595553039	-9.434789031	0.000251575	0.008790085	1.065423217	---	cell adhesion /// digestion /// fibril organization and biogenesis	extracellular matrix structural constituent /// extracellular matrix constituent, lubricant activity	extracellular region /// fibril
1555345_at	SLC38A4	solute carrier family 38, member 4	-2.567238549	-3.946860672	0.011328202	0.068279461	-3.295787721	---	transport /// ion transport /// sodium ion transport /// amino acid transport	symporter activity /// sodium ion binding	plasma membrane /// membrane /// integral to membrane
238320_at	TncRNA	trophoblast-derived noncoding RNA	-2.556971822	-3.587935192	0.01629285	0.085911591	-3.708668093	---	---	---	---
205874_at	ITPKA	inositol 1,4,5-trisphosphate 3-kinase A	-2.550746289	-6.310985518	0.001582926	0.020761819	-1.035175014	---	inositol metabolic process /// signal transduction	nucleotide binding /// calmodulin binding /// ATP binding /// inositol trisphosphate 3-kinase activity /// inositol trisphosphate 3-kinase activity /// kinase activity /// transferase activity	---
205166_at	CAPN5	calpain 5	-2.518272018	-5.662121186	0.002549251	0.027233017	-1.583916046	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Integrin-mediated_cell_adhesion_KEGG>Integrin-mediated_cell_adhesion_KEGG</a>	proteolysis /// signal transduction	cysteine-type endopeptidase activity /// calcium-dependent cysteine-type endopeptidase activity /// calcium-dependent cysteine-type endopeptidase activity /// peptidase activity /// cysteine-type peptidase activity /// hydrolase activity	intracellular
212531_at	LCN2	lipocalin 2	-2.511549425	-5.470459035	0.00295867	0.029711187	-1.755457207	---	transport	transporter activity /// binding	extracellular region
