Sequence ID	Gene	Reference sequence ID	7 days p.i.	14 days p.i.	28 days p.i.	42 days p.i.
S00033044	CPA5	NM_001077905	1.22	0.43a	0.53	0.87
S00006020	CSF3R	NM_000760	0.97	0.37b	0.56	0.47b
S00035576	CYP2C18	NM_001076051	0.46a	0.74	0.65	0.64
S00017467	CYP4A11	NM_001077908	0.74	0.47	0.33a	0.51
S00006231	DDO	NM_173908	1.12	0.41a	0.66	0.58
S00006190	DGAT2	NM_205793	1.23	0.5	0.37a	0.39a
S00021489	DHX58	NM_001015545	0.8	0.73	0.39a	0.42
S00039731	DIMT1L	NM_001046036	1.3	3.03a	1.85a	1.59
S00034383	DIO2	NM_001010992	1.29	6.01a	4.19a	2.26a
S00044565	DR1	NM_001938	0.15a	1.42	0.41	0.54
S00008071	DUOX2	NM_014080	0.33	2.39	13.26a	4.56
S00019172	DUOXA2	XM_871774	0.65	2.37	8.34a	4.87
S00045542	ECSIT	NM_001034286	0.50a	1.5	1.08	0.77
S00044965	EDEM1	NM_014674	0.27a	1.11	0.45	0.7
S00014186	EFHB	XM_609023	1.27	1.29	2.10b	2.12a
S00012938	ENPP7	NM_178543	0.79	0.14a	0.48	0.33
S00025925	EOMES	XM_001251929	0.78	0.47a	0.35b	0.83
S00045013	FER1L6	XM_605757	1.22	1.41	2.01a	1.7
S00028191	FLVCR2	NM_017791	0.96	0.62	0.72	0.45a
S00045721	FOXD2	NM_004474	0.31b	0.55	0.73	0.38
S00030041	GCNT3	NM_205809	8.39	9.17b	5.67	10.52a
S00025058	GPD2	NM_001100296	0.93	2.05	2.26a	1.32
S00035688	GPR120	XM_865266	1.03	2.16a	1.61	0.92
S00022223	GPR155	NM_152529	0.7	0.44a	0.77	0.74
S00024408	HDC	NM_001024551	1.16	1.43	2.03a	1.58
S00021333	HIF3A	NM_001105342	1.02	0.26a	0.43	0.54
S00020518	HIST2H2AC	XM_583411	1.29	1.67	1.85	2.09a
S00041151	HLA-B	NM_005514	0.18a	0.54	1.21	0.23
S00002022	HLA-C	NM_001040498	0.94	2.18a	1.25	1.64
S00016178	HS6ST3	NM_153456	3.62a	0.75	6.17c	3.68
S00023477	HTATIP2	NM_001040563	1.16	2.12a	1.36	1.04
S00040774	HTR5B	NR_003947	0.79	0.47a	0.76	0.87
S00013263	IDH3A	NM_174644	0.76	2.46a	1.45	1.09
S00040506	IFI44	XM_872122	0.96	0.56	0.23a	0.33
S00036562	IGFBPL1	XM_001249651	2.07a	1.18	1.19	0.99
S00002156	IGLL1	NM_020070	1.98	1.64	2.09a	3.35b
S00021029	IL17RB	NM_018725	1.38	1.7	2.52b	2.07
S00042942	IL22RA1	NM_001034311	0.78	0.79	0.83	0.42a
S00019918	IL8RA	NM_174360	0.49a	0.94	0.92	0.95
S00006308	ISG15	NM_174366	0.98	0.55	0.22a	0.3
S00026647	ITGA4	NM_000885	0.96	1.26	1.37	2.49b
S00029472	KRT18	NM_199187	0.75	2.17a	1.2	0.84
S00000215	KRT7	NM_001046411	1.91	2.89a	1.71	1.47
S00008522	LGALS13	XM_593263	1.05	42.84a	65.52b	19.42
S00016590	LGALS3	NM_002306	1.76	1.51	2.09a	1.31
S00043675	LOC129607	XM_001252650	0.92	0.72	0.46a	0.40a
S00031966	LOC388335	NM_001004313	1.12	0.45a	0.57	0.61
S00035519	LOC651536	XM_940712	0.96	1.09	1.24	2.12a
S00014308	LRP8	NM_001097565	1.01	2.21a	1.24	1.05
S00033476	LRRC17	NM_001078150	1.21	0.48b	0.75	0.82
S00046170	MAMDC4	XM_593390	0.73	0.58	0.28a	0.49
S00029982	MCPH1	NM_001046004	1.43	1.77	3.43b	2.91b
S00006879	MIAT	NR_003491	0.76	1.13	2.17a	1.52
S00029985	MLZE	NM_001046004	1.18	1.67	3.30b	2.41a
S00036911	MS4A10	XM_582634	1.21	0.61	0.69	0.39a
S00026804	MX2	NM_173941	0.83	0.47	0.16a	0.32
S00038813	MYADM	NM_138373	0.89	6.09a	7.78	8.02
S00034117	NAP5	NM_207363	0.98	0.37a	0.81	0.8
S00043160	NARG1L	NM_024561	0.25c	1.27	1.12	1.28
S00009514	NEB	XM_613028	0.75	2.79b	4.63c	4.49a
S00032999	NIPA1	NM_144599	0.86	0.46a	0.71	0.58
S00022414	NXPH2	NM_174406	0.84	0.31b	0.36a	0.62
S00021414	NXPH3	XM_614523	0.85	1.17	2.37a	1.33
S00014865	OAS1	NM_001029846	1.05	0.78	0.42a	0.45a
S00025243	P2RX1	NM_002558	0.95	2.99b	3.02a	1.98
S00031595	PGF	NM_002632	1.14	0.45	0.54	0.44a
S00023224	PLK4	NM_001083427	0.89	2.01a	1.51	0.98
S00041447	PNPLA3	XM_583061	1.45	3.2	2.18a	1.32
S00013150	POLQ	NM_199420	1.04	2.09a	1.28	1.17
S00027634	PPFIBP2	NM_003621	3.58a	1.49	3.45a	2.33
S00009921	PPP1R14C	NM_001078068	0.68	1.91a	1.19	0.96
S00045633	PPTC7	XM_001107564	0.55	3.35a	5.56b	1.2
S00001986	PRSS2	NM_174690	8.48	36.55b	0.29	21.56a
S00034132	PTPN5	NM_001102293	0.67	0.39	0.47	0.27
S00000831	PTPRN2	NM_130842	1.04	2.15a	1.51	1.37
S00030297	PYGM	NM_175786	1.19	1.28	2.35a	1.48
S00029595	RARRES2	NM_001046020	0.88	0.51a	0.74	0.7
S00042017	RGS4	NM_001046600	0.67	0.50a	0.79	1.21
S00034109	RND2	XM_587874	0.71	0.41	0.58	0.44a
S00037417	RP11	NM_207299	1.22	1.62	2.79a	1.22
S00000760	RPL38	NM_001035258	0.51a	0.92	1.73	1.06
S00028083	SAA1	NM_001075260	0.30a	0.22b	0.64	0.67
S00030236	SAA2	NM_181016	0.25	0.15a	0.43	0.57
S00020002	SCD	NM_173959	1.09	2.18a	1.91	1.46
S00003006	SERPINA5	NM_176646	1.04	0.6	1.05	0.51a
S00028312	SERPINB5	NM_002639	1.89	4.95a	2.03	1.9
S00007318	SFTPD	NM_001001856	1.15	9.03	41.75a	18.51
S00009139	SH2D6	NM_198482	0.95	1.76	3.24a	1.73
S00038017	SI	NM_001114189	0.42a	0.87	0.64	0.9
S00033464	SLC14A1	NM_001008666	0.82	0.5	0.47b	0.87
S00041150	SLC27A6	NM_001101169	1.33	0.41b	0.85	0.98
S00019646	SLC35A2	NM_176640	1.09	1.98a	1.12	0.84
S00007213	SLC35C1	NM_001101210	1.22	2.04a	1.61	1.04
S00008646	SLC38A1	XR_027995	0.94	2.97a	1.49	1.83
S00032437	SLCO2A1	NM_005630	0.87	0.66	0.81	0.47c
S00044767	SQLE	NM_001098061	0.16a	2.17	1.25	0.56
S00023096	ST3GAL1	NM_003033	1	1.44	2.66a	2.21
S00020322	TCEA3	NM_001046360	0.97	0.52a	0.84	0.77
S00010616	TCN1	XM_868213	0.67	2.21	4.47a	2.89
S00040967	TEP1	XM_582150	0.75	0.83	0.71	0.46a
S00006291	TIPIN	NM_001105336	0.59	0.86	0.46a	0.63
S00027948	TLR10	NM_001076918	0.93	0.49b	0.75	1.09
S00023092	TMEM151A	NM_001083782	0.79	0.46	0.38	0.33a
S00014980	TMEM59L	NM_001075301	0.74	1.1	0.49a	0.86
S00003903	TMEM66	NM_001076856	0.6	2.55a	0.73	1.04
S00017494	TMEM86A	NM_001035388	0.67	0.77	0.62	0.42b
S00021360	TNFSF9	NM_003811	1.09	3.05a	1.29	1.27
S00026694	TNS4	NM_001038155	1.04	3.62a	2.20a	1.39
S00046461	TRIM40	NM_138700	17.66a	1.2	2.49	1.15
S00011455	TRPM6	XM_605991	0.72	0.78	0.34a	0.47
S00016533	UBD	NM_006398	0.67	0.67	1.04	0.48a
S00003157	USP18	NM_001017940	0.8	0.58	0.28a	0.36
S00019176	VNN3	NM_001024556	1.05	0.43a	0.73	0.72
S00021046	YPEL2	XM_001251606	0.87	0.50a	0.74	0.88
S00023796	ZNF71	NM_021216	2.83	3.39a	3.53	2.94a
