Rank	Statistic	Statistic	Statistic	Probe ID	Symbol	Description
39	0.0001146	0.161	1.548	225246_at	STIM2	stromal interaction molecule 2
40	0.0001243	0.17	1.504	204964_s_at	SSPN	sarcospan (Kras oncogene-associated gene)
41	0.0001274	0.17	1.341	236796_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
42	0.0001375	0.177	1.364	206240_s_at	ZNF136	zinc finger protein 136
43	0.0001402	0.177	2.443	202468_s_at	CTNNAL1	catenin (cadherin-associated protein), alpha-like 1
44	0.0001424	0.177	1.724	229307_at	ANKRD28	ankyrin repeat domain 28
46	0.000166	0.196	1.665	214741_at	ZNF131	zinc finger protein 131
47	0.0001719	0.196	1.554	202909_at	EPM2AIP1	EPM2A (laforin) interacting protein 1
50	0.0001827	0.198	2.587	238852_at	PRRX1	paired related homeobox 1
51	0.0001846	0.198	1.892	224911_s_at	DCBLD2	discoidin, CUB and LCCL domain containing 2
52	0.0001909	0.199	1.93	214247_s_at	DKK3	dickkopf homologue 3 (Xenopus laevis)
53	0.0001927	0.199	2.111	202149_at	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
54	0.0001996	0.2	1.236	242470_at	EID2B	EP300 interacting inhibitor of differentiation 2B
55	0.0002015	0.2	2.131	212190_at	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
58	0.0002382	0.211	1.233	225417_at	EPC1	enhancer of polycomb homologue 1 (Drosophila)
60	0.0002396	0.211	1.574	223519_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK
62	0.0002422	0.211	1.739	220145_at	MAP9	microtubule-associated protein 9
63	0.0002433	0.211	1.402	220917_s_at	WDR19	WD repeat domain 19
64	0.000252	0.215	1.3	214078_at	PAK3	p21 (CDKN1A)-activated kinase 3
65	0.00027	0.222	1.807	213954_at	KIAA0888	KIAA0888 protein
66	0.0002796	0.222	1.479	208993_s_at	PPIG	peptidylprolyl isomerase G (cyclophilin G)
67	0.0002799	0.222	1.433	209537_at	EXTL2	exostoses (multiple)-like 2
68	0.0002815	0.222	1.226	230212_at	SPRY1	sprouty homologue 1, antagonist of FGF signaling (Drosophila)
69	0.000286	0.222	1.982	204359_at	FLRT2	fibronectin leucine rich transmembrane protein 2
70	0.0002868	0.222	1.37	221829_s_at	TNPO1	transportin 1
71	0.0002932	0.222	1.731	229228_at	CREB5	cAMP responsive element binding protein 5
72	0.0002936	0.222	1.606	215716_s_at	ATP2B1	ATPase, Caþþ transporting, plasma membrane 1
74	0.0003077	0.225	1.567	204422_s_at	FGF2	fibroblast growth factor 2 (basic)
76	0.0003123	0.225	1.55	202207_at	ARL4C	ADP-ribosylation factor-like 4C
77	0.0003203	0.225	1.385	225324_at	CRLS1	cardiolipin synthase 1
82	0.000369	0.245	1.296	232064_at		Not available
84	0.0003894	0.249	1.742	219765_at	ZNF329	zinc finger protein 329
85	0.0003953	0.249	1.896	235102_x_at	GRAP	GRB2-related adaptor protein
86	0.0003955	0.249	1.451	218263_s_at	ZBED5	zinc finger, BED-type containing 5
87	0.0003998	0.249	1.661	233223_at	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
88	0.0004024	0.249	1.736	212385_at	TCF4	transcription factor 4
94	0.0004467	0.249	1.372	202379_s_at	NKTR	natural killer-tumor recognition sequence
95	0.0004474	0.249	1.987	221958_s_at	GPR177	G protein-coupled receptor 177
96	0.0004563	0.249	2.021	212233_at	MAP1B	microtubule-associated protein 1B
98	0.0004632	0.249	1.47	229504_at	RAB23	RAB23, member RAS oncogene family
100	0.0004788	0.249	1.377	214212_x_at	PLEKHC1	pleckstrin homology domain containing, family C (with FERM domain) member 1
101	0.0004809	0.249	1.529	212985_at		Not available
102	0.0004847	0.249	1.319	218724_s_at	TGIF2	TGFB-induced factor homeobox 2
103	0.0004848	0.249	1.681	221898_at	PDPN	podoplanin
105	0.0004878	0.249	1.358	207719_x_at	CEP170	centrosomal protein 170kDa
106	0.0004879	0.249	1.434	201363_s_at	IVNS1ABP	influenza virus NS1A binding protein
108	0.0004977	0.249	1.639	209763_at	CHRDL1	chordin-like 1
110	0.0005001	0.249	1.976	205498_at	GHR	growth hormone receptor
111	0.0005223	0.251	1.871	232113_at		Not available
115	0.000531	0.251	1.337	215164_at	TCF4	transcription factor 4
116	0.000532	0.251	1.783	222313_at	CNOT2	CCR4-NOT transcription complex, subunit 2
118	0.0005771	0.261	1.467	224763_at	RPL37	ribosomal protein L37
119	0.0005776	0.261	1.61	209204_at	LMO4	LIM domain only 4
120	0.0005823	0.261	1.408	227847_at	EPM2AIP1	EPM2A (laforin) interacting protein 1
121	0.0005829	0.261	1.539	208663_s_at	TTC3	tetratricopeptide repeat domain 3
122	0.0005896	0.261	1.2	230578_at	ZNF471	zinc finger protein 471
124	0.0006142	0.261	1.892	202196_s_at	DKK3	dickkopf homologue 3 (Xenopus laevis)
125	0.0006208	0.261	1.483	239768_x_at		Not available
127	0.0006305	0.261	2.216	204105_s_at	NRCAM	neuronal cell adhesion molecule
128	0.0006319	0.261	1.308	212970_at	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2
132	0.0006388	0.261	1.556	232063_x_at	FARSB	phenylalanyl-tRNA synthetase, beta subunit
133	0.0006487	0.261	2.005	220253_s_at	LRP12	low density lipoprotein-related protein 12
134	0.0006488	0.261	1.265	226843_s_at	PAPD5	PAP associated domain containing 5
135	0.0006501	0.261	1.563	211698_at	EID1	EP300 interacting inhibitor of differentiation 1
136	0.0006511	0.261	1.715	213425_at	WNT5A	wingless-type MMTV integration site family, member 5A
139	0.0006907	0.266	1.468	208661_s_at	TTC3	tetratricopeptide repeat domain 3
140	0.0006972	0.266	1.686	229530_at	GUCY1A3	guanylate cyclase 1, soluble, alpha 3
142	0.0006992	0.266	1.645	219174_at	IFT74	intraflagellar transport 74 homologue (Chlamydomonas)
143	0.000702	0.266	2.073	209289_at	NFIB	nuclear factor I/B
144	0.0007035	0.266	1.166	210742_at	CDC14A	CDC14 cell division cycle 14 homologue A (S. cerevisiae)
145	0.0007101	0.266	1.438	209737_at	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
146	0.0007116	0.266	1.931	204463_s_at	EDNRA	endothelin receptor type A
150	0.0007383	0.266	1.262	200702_s_at	DDX24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
151	0.0007394	0.266	1.523	223463_at	RAB23	RAB23, member RAS oncogene family
152	0.0007406	0.266	1.3	225565_at	FAM119A	family with sequence similarity 119, member A
154	0.0007903	0.28	1.611	218788_s_at	SMYD3	SET and MYND domain containing 3
155	0.0007943	0.28	1.161	241002_at		Not available
156	0.0008043	0.282	1.567	235368_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)
157	0.000809	0.282	4.22	211756_at	PTHLH	parathyroid hormone-like hormone
158	0.0008157	0.282	1.288	212746_s_at	CEP170	centrosomal protein 170kDa
159	0.0008251	0.282	3.27	226847_at	FST	follistatin
161	0.0008325	0.282	1.61	205609_at	ANGPT1	angiopoietin 1
163	0.0008462	0.282	1.559	201810_s_at	SH3BP5	SH3-domain binding protein 5 (BTK-associated)
164	0.0008593	0.282	1.412	1556543_at	ZCCHC7	zinc finger, CCHC domain containing 7
167	0.0008649	0.282	1.501	230424_at	C5orf13	chromosome 5 open reading frame 13
168	0.0008661	0.282	1.278	210438_x_at	TROVE2	TROVE domain family, member 2
169	0.0008764	0.284	1.68	205381_at	LRRC17	leucine rich repeat containing 17
170	0.0009009	0.284	2.125	209290_s_at	NFIB	nuclear factor I/B
171	0.0009055	0.284	1.745	234996_at	CALCRL	calcitonin receptor-like
173	0.0009087	0.284	2.649	230493_at	TMEM46	transmembrane protein 46
174	0.000911	0.284	3.152	231867_at	ODZ2	odz, odd Oz/ten-m homologue 2 (Drosophila)
175	0.0009192	0.284	1.377	225735_at	ANKRD50	ankyrin repeat domain 50
176	0.0009212	0.284	1.305	219078_at	GPATCH2	G patch domain containing 2
178	0.0009236	0.284	1.507	224989_at		Not available
179	0.0009406	0.287	1.466	202150_s_at	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
180	0.0009579	0.288	1.668	202133_at	WWTR1	WW domain containing transcription regulator 1
181	0.0009606	0.288	1.435	208670_s_at	EID1	EP300 interacting inhibitor of differentiation 1
182	0.0009666	0.288	1.911	204686_at	IRS1	insulin receptor substrate 1
183	0.000967	0.288	1.434	202132_at	WWTR1	WW domain containing transcription regulator 1
184	0.0009679	0.288	1.416	225961_at	KLHDC5	kelch domain containing 5
186	0.0009892	0.289	1.329	243305_at		Not available
188	0.0009983	0.289	1.447	242300_at	UBB	ubiquitin B
