# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_133862|NM_133862	mgi_symbol|Fgg|Fgg
entrezgene|AV032053|108902	mgi_symbol|B3gnt1|B3gnt1
entrezgene|BC011290|237052	mgi_symbol|Tceal1|Tceal1
embl|AA544511|AA544511	mgi_symbol|Rshl2a|Rshl2a
entrezgene|BC024684|50772	mgi_symbol|Mapk6|Mapk6
entrezgene|AV028402|21838	mgi_symbol|Thy1|Thy1
entrezgene|AV231424|230824	mgi_symbol|Grhl3|Grhl3
embl|BB125842|BB125842	mgi_symbol|Trpm3|Trpm3
entrezgene|BF225985|12305	mgi_symbol|Ddr1|Ddr1
entrezgene|AW543416|217864	mgi_symbol|Rcor1|Rcor1
embl|BM199323|BM199323	mgi_symbol|LOC100045988|LOC100045988
entrezgene|AB000710|12703	mgi_symbol|Socs1|Socs1
entrezgene|AF204156|27756	mgi_symbol|Lsm2|Lsm2
entrezgene|AF083876|13731	mgi_symbol|Emp2|Emp2
entrezgene|BB479096|381112	mgi_symbol|Gm941|Gm941
refseq_dna|NM_010063|NM_010063	mgi_symbol|Dync1i1|Dync1i1
entrezgene|AU067636|14348	mgi_symbol|Fut9|Fut9
refseq_dna|NM_130892|NM_130892	mgi_symbol|Rtn4ip1|Rtn4ip1
refseq_dna|NM_008485|NM_008485	mgi_symbol|Lamc2|Lamc2
entrezgene|AV255458|71137	mgi_symbol|Rfx4|Rfx4
refseq_dna|NM_013603|NM_013603	mgi_symbol|Mt3|Mt3
entrezgene|AW558010|11990	mgi_symbol|Atrn|Atrn
embl|AK005410|AK005410	mgi_symbol|Grhl2|Grhl2
entrezgene|BI156989|52898	mgi_symbol|Rnasek|Rnasek
refseq_dna|NM_030263|NM_030263	mgi_symbol|Psd3|Psd3
entrezgene|AK004820|74142	mgi_symbol|Lonp1|Lonp1
entrezgene|BB392192|53970	mgi_symbol|Rfx5|Rfx5
embl|BB246530|BB246530	mgi_symbol|A330068G13Rik|A330068G13Rik
entrezgene|AK014175|73205	mgi_symbol|3110043O21Rik|3110043O21Rik
entrezgene|BB762333|208158	mgi_symbol|Map6d1|Map6d1
entrezgene|AI987804|21410	mgi_symbol|Hnf1b|Hnf1b
entrezgene|AW537496|15260	mgi_symbol|Hira|Hira
embl|BB355326|BB355326	mgi_symbol|C030005G22Rik|C030005G22Rik
entrezgene|BE534815|14585	mgi_symbol|Gfra1|Gfra1
refseq_dna|NM_134084|NM_134084	mgi_symbol|Ppif|Ppif
entrezgene|AV225959|68146	mgi_symbol|Arl13b|Arl13b
refseq_dna|NM_028218|NM_028218	mgi_symbol|2210409E12Rik|2210409E12Rik
refseq_dna|NM_016660|NM_016660	mgi_symbol|Hmga1|Hmga1
embl|AA866997|AA866997	mgi_symbol|Rrn3|Rrn3
refseq_dna|NM_008322|NM_008322	mgi_symbol|Idh2|Idh2
entrezgene|BB051001|240665	mgi_symbol|Ccnj|Ccnj
refseq_dna|NM_020048|NM_020048	mgi_symbol|Med20|Med20
entrezgene|AK009264|69577	mgi_symbol|Fastkd3|Fastkd3
entrezgene|BB323696|652925	mgi_symbol|4930420K17Rik|4930420K17Rik
refseq_dna|NM_025558|NM_025558	mgi_symbol|Cyb5b|Cyb5b
entrezgene|BM938208|269087	mgi_symbol|BC037704|BC037704
embl|AF109918|AF109918	mgi_symbol|Tomm40|Tomm40
entrezgene|BB284358|112407	mgi_symbol|Egln3|Egln3
embl|BQ173985|BQ173985	mgi_symbol|Flrt1|Flrt1
refseq_dna|NM_008350|NM_008350	mgi_symbol|Il11|Il11
entrezgene|BM206593|235441	mgi_symbol|Usp3|Usp3
refseq_dna|NM_011020|NM_011020	mgi_symbol|Hspa4l|Hspa4l
entrezgene|AK013512|72946	mgi_symbol|Lrrc47|Lrrc47
entrezgene|AK011199|67728	mgi_symbol|Dph2|Dph2
entrezgene|BM948896|107338	mgi_symbol|Gbf1|Gbf1
