Rank	GeneName	Genebank Accession	Description	Expression in precursor	Expression in iPS-MP	Fold change
30	Cd180	AK089613	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830005B01 product:lymphocyte antigen 78, full insert sequence. [AK089613]	1.659	40.11	24.17721519
31	Abca1	NM_013454	Mus musculus ATP-binding cassette, sub-family A (ABC1), member 1 (Abca1), mRNA [NM_013454]	53.89	1302	24.16032659
32	Rgs2	NM_009061	Mus musculus regulator of G-protein signaling 2 (Rgs2), mRNA [NM_009061]	1.125	27.07	24.06222222
33	Asb10	NM_080444	Mus musculus ankyrin repeat and SOCS box-containing protein 10 (Asb10), mRNA [NM_080444]	1.574	37.46	23.79923761
34	Trpc4	NM_016984	Mus musculus transient receptor potential cation channel, subfamily C, member 4 (Trpc4), mRNA [NM_016984]	1.615	38	23.52941176
35	Ccnd1	S78355	Cyl-1=cyclin D1 [mice, BALB/c, brain, mRNA, 3737 nt]. [S78355]	22.98	527.1	22.93733681
36	Mef2c	NM_025282	Mus musculus myocyte enhancer factor 2C (Mef2c), mRNA [NM_025282]	13.81	309.9	22.44026068
37	Edg1	NM_007901	Mus musculus endothelial differentiation sphingolipid G-protein-coupled receptor 1 (Edg1), mRNA [NM_007901]	2.412	53.83	22.31757877
38	Srpk3	NM_019684	Mus musculus serine/arginine-rich protein specific kinase 3 (Srpk3), mRNA [NM_019684]	0.765	16.92	22.11764706
39	Cfh	NM_009888	Mus musculus complement component factor h (Cfh), mRNA [NM_009888]	2.145	46.66	21.75291375
40	Oasl2	NM_011854	Mus musculus 2-5 oligoadenylate synthetase-like 2 (Oasl2), mRNA [NM_011854]	17.41	371.9	21.36128662
41	AK040413	AK040413	Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430092J05 product:syntrophin, basic 2, full insert sequence. [AK040413]	1.031	21.59	20.94083414
42	Pcdh7	NM_018764	Mus musculus protocadherin 7 (Pcdh7), mRNA [NM_018764]	2.034	41.36	20.33431662
43	Sncaip	NM_026408	Mus musculus synuclein, alpha interacting protein (synphilin) (Sncaip), mRNA [NM_026408]	1.443	27.85	19.3000693
44	Cadm1	NM_207676	Mus musculus cell adhesion molecule 1 (Cadm1), transcript variant 2, mRNA [NM_207676]	62.26	1197	19.22582718
45	Cd83	NM_009856	Mus musculus CD83 antigen (Cd83), mRNA [NM_009856]	72	1380	19.16666667
46	Parp14	NM_001039530	Mus musculus poly (ADP-ribose) polymerase family, member 14 (Parp14), mRNA [NM_001039530]	1.899	36.12	19.02053712
47	Rims2	NM_053271	Mus musculus regulating synaptic membrane exocytosis 2 (Rims2), mRNA [NM_053271]	0.946	17.98	19.00634249
48	Pdgfb	NM_011057	Mus musculus platelet derived growth factor, B polypeptide (Pdgfb), mRNA [NM_011057]	1.359	25.72	18.92568065
49	Fat3	NM_001080814	Mus musculus FAT tumor suppressor homolog 3 (Drosophila) (Fat3), mRNA [NM_001080814]	1.656	31.33	18.91908213
50	H28	NM_031367	Mus musculus histocompatibility 28 (H28), mRNA [NM_031367]	4.549	84.88	18.65904594
51	AK149231	AK149231	Mus musculus 2 days neonate sympathetic ganglion cDNA, RIKEN full-length enriched library, clone:7120496J02 product:unclassifiable, full insert sequence. [AK149231]	0.883	16.26	18.41449604
52	BE371292	BE371292	BE371292 601219469F1 NCI_CGAP_Lu29 Mus musculus cDNA clone IMAGE:3588568 5, mRNA sequence [BE371292]	0.877	16.02	18.2668187
53	Ifi203	AK172505	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830211F21 product:interferon activated gene 203, full insert sequence. [AK172505]	0.783	14.14	18.0587484
54	BU531328	BU531328	AGENCOURT_10198935 NIH_MGC_143 Mus musculus cDNA clone IMAGE:6545324 5, mRNA sequence [BU531328]	4.96	89.17	17.97782258
55	Kitl	NM_013598	Mus musculus kit ligand (Kitl), mRNA [NM_013598]	5.966	106.6	17.8679182
56	B4galt6	NM_019737	Mus musculus UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6 (B4galt6), mRNA [NM_019737]	14.97	264.9	17.69539078
57	BE307515	BE307515	601098206F1 NCI_CGAP_Mam5 Mus musculus cDNA clone IMAGE:3496848 5. [BE307515]	1.388	24.45	17.61527378
58	Mx1	NM_010846	Mus musculus myxovirus (influenza virus) resistance 1 (Mx1), mRNA [NM_010846]	1.439	25.28	17.56775539
59	Nrcam	NM_176930	Mus musculus neuron-glia-CAM-related cell adhesion molecule (Nrcam), mRNA [NM_176930]	69.69	1219	17.49174917
60	5033414K04Rik	NM_001003948	Mus musculus RIKEN cDNA 5033414K04 gene (5033414K04Rik), mRNA [NM_001003948]	31.37	547.6	17.45616831
61	Rab39	NM_175562	Mus musculus RAB39, member RAS oncogene family (Rab39), mRNA [NM_175562]	1.224	21.2	17.32026144
62	Sncaip	NM_026408	Mus musculus synuclein, alpha interacting protein (synphilin) (Sncaip), mRNA [NM_026408]	8.15	140.7	17.26380368
63	Abcc3	NM_029600	Mus musculus ATP-binding cassette, sub-family C (CFTR/MRP), member 3 (Abcc3), mRNA [NM_029600]	16.63	286.2	17.2098617
64	Adamts1	NM_009621	Mus musculus a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 (Adamts1), mRNA [NM_009621]	54.3	927.1	17.07366483
65	BC026782	NM_001025575	Mus musculus cDNA sequence BC026782 (BC026782), mRNA [NM_001025575]	18.55	316.4	17.05660377
66	H28	NM_031367	Mus musculus histocompatibility 28 (H28), mRNA [NM_031367]	3.894	65.14	16.72829995
67	Cacna1a	NM_007578	Mus musculus calcium channel, voltage-dependent, P/Q type, alpha 1A subunit (Cacna1a), mRNA [NM_007578]	1.656	27.63	16.68478261
68	AW125753	NM_029007	Mus musculus expressed sequence AW125753 (AW125753), mRNA [NM_029007]	0.943	15.69	16.63838812
69	Pax3	NM_008781	Mus musculus paired box gene 3 (Pax3), mRNA [NM_008781]	0.839	13.83	16.48390942
70	App	AK030583	Mus musculus adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330435A13 product:unclassifiable, full insert sequence [AK030583]	1.302	21.22	16.29800307
71	Cfh	NM_009888	Mus musculus complement component factor h (Cfh), mRNA [NM_009888]	30.41	490.8	16.13942782
72	TC1624163	TC1624163	RGS2_MOUSE (O08849) Regulator of G-protein signaling 2 (RGS2), partial (43%) [TC1624163]	1.143	18.3	16.01049869
73	Cadm1	NM_207675	Mus musculus cell adhesion molecule 1 (Cadm1), transcript variant 1, mRNA [NM_207675]	62.7	990.7	15.80063796
74	Gpr34	NM_011823	Mus musculus G protein-coupled receptor 34 (Gpr34), mRNA [NM_011823]	3.882	61.19	15.76249356
75	BC033932	XM_486124	PREDICTED: Mus musculus cDNA sequence BC033932 (BC033932), mRNA [XM_486124]	0.757	11.93	15.75957728
76	2810055G20Rik	AK033222	Mus musculus 15 days embryo male testis cDNA, RIKEN full-length enriched library, clone:8030467K01 product:hypothetical protein, full insert sequence. [AK033222]	0.861	13.41	15.57491289
77	A_52_P932392	A_52_P932392	Unknown	0.856	13.17	15.38551402
78	Bcl6	NM_009744	Mus musculus B-cell leukemia/lymphoma 6 (Bcl6), mRNA [NM_009744]	44.4	681.3	15.34459459
79	Xylt2	NM_145828	Mus musculus xylosyltransferase II (Xylt2), mRNA [NM_145828]	18.07	275.9	15.26840066
80	C030014K22Rik	NM_175461	Mus musculus RIKEN cDNA C030014K22 gene (C030014K22Rik), mRNA [NM_175461]	2.035	30.97	15.21867322
81	Cacna1a	NM_007578	Mus musculus calcium channel, voltage-dependent, P/Q type, alpha 1A subunit (Cacna1a), mRNA [NM_007578]	2.065	31.36	15.18644068
82	Hdac9	NM_024124	Mus musculus histone deacetylase 9 (Hdac9), mRNA [NM_024124]	1.346	20.2	15.00742942
83	Apbb2	AK033397	Mus musculus 16 days embryo lung cDNA, RIKEN full-length enriched library, clone:8430429I17 product:unclassifiable, full insert sequence [AK033397]	7.389	110.1	14.90052781
84	Epas1	AK087208	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030034H04 product:endothelial PAS domain protein 1, full insert sequence. [AK087208]	0.829	12.24	14.76477684
85	Kcnj10	NM_001039484	Mus musculus potassium inwardly-rectifying channel, subfamily J, member 10 (Kcnj10), mRNA [NM_001039484]	2.538	37.42	14.74389283
86	Ifit3	NM_010501	Mus musculus interferon-induced protein with tetratricopeptide repeats 3 (Ifit3), mRNA [NM_010501]	8.495	124.7	14.67922307
87	Cfh	NM_009888	Mus musculus complement component factor h (Cfh), mRNA [NM_009888]	153.5	2246	14.63192182
88	F730002C09Rik	AK089292	Mus musculus B6-derived CD11 +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F730002C09 product:unclassifiable, full insert sequence. [AK089292]	0.751	10.95	14.58055925
89	Adamts1	NM_009621	Mus musculus a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 (Adamts1), mRNA [NM_009621]	6.213	89.97	14.48092709
90	Slco2b1	NM_175316	Mus musculus solute carrier organic anion transporter family, member 2b1 (Slco2b1), mRNA [NM_175316]	132.7	1890	14.2426526
91	Xylt2	NM_145828	Mus musculus xylosyltransferase II (Xylt2), mRNA [NM_145828]	94.97	1339	14.09918922
92	Cfh	M12660	Mouse CFh locus, complement protein H gene, complete cds, clones MH(4,8). [M12660]	17.18	242.2	14.09778813
93	Pdgfb	NM_011057	Mus musculus platelet derived growth factor, B polypeptide (Pdgfb), mRNA [NM_011057]	2.161	30.18	13.96575659
94	Cadm1	NM_207675	Mus musculus cell adhesion molecule 1 (Cadm1), transcript variant 1, mRNA [NM_207675]	14.21	198.4	13.96199859
95	Mx2	NM_013606	Mus musculus myxovirus (influenza virus) resistance 2 (Mx2), mRNA [NM_013606]	4.024	55.77	13.85934394
96	Oas1b	NM_001083925	Mus musculus 2-5 oligoadenylate synthetase 1B (Oas1b), mRNA [NM_001083925]	0.906	12.26	13.53200883
97	Blnk	NM_008528	Mus musculus B-cell linker (Blnk), mRNA [NM_008528]	144.4	1880	13.01939058
98	Tbxas1	NM_011539	Mus musculus thromboxane A synthase 1, platelet (Tbxas1), mRNA [NM_011539]	49.92	649.5	13.01081731
99	Npr2	NM_173788	Mus musculus natriuretic peptide receptor 2 (Npr2), mRNA [NM_173788]	13.95	179.5	12.86738351
100	Ccr3	NM_009914	Mus musculus chemokine (C-C motif) receptor 3 (Ccr3), mRNA [NM_009914]	1.511	19.44	12.86565189
101	Olfr521	NM_146356	Mus musculus olfactory receptor 521 (Olfr521), mRNA [NM_146356]	1.465	18.71	12.77133106
102	DV053137	DV053137	DLP01_05_H18.x1 FH DLP01 Mus musculus cDNA clone DLP01_05_H18 similar to Expressed sequence AI790442, mRNA sequence [DV053137]	4.013	51.11	12.73610765
103	Fcgr1	BC025535	Mus musculus Fc receptor, IgG, high affinity I, mRNA (cDNA clone IMAGE:5249690), partial cds. [BC025535]	29.58	376.5	12.72819473
104	Lpl	NM_008509	Mus musculus lipoprotein lipase (Lpl), mRNA [NM_008509]	894.2	11251	12.58219638
105	Fgf9	NM_013518	Mus musculus fibroblast growth factor 9 (Fgf9), mRNA [NM_013518]	0.952	11.91	12.5105042
106	6330407A03Rik	AK018133	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330407A03 product:hypothetical Microbodies C-terminal targeting signal containing protein, full insert sequence [AK018133]	0.861	10.73	12.46225319
107	C030014M07Rik	NM_001082483	Mus musculus RIKEN cDNA C030014M07 gene (C030014M07Rik), mRNA [NM_001082483]	2.178	26.89	12.34618916
108	Tm4sf5	NM_029360	Mus musculus transmembrane 4 superfamily member 5 (Tm4sf5), mRNA [NM_029360]	1.154	14.18	12.28769497
109	Tbxas1	NM_011539	Mus musculus thromboxane A synthase 1, platelet (Tbxas1), mRNA [NM_011539]	55.59	669.7	12.04713078
110	B3galnt1	NM_020026	Mus musculus UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1 (B3galnt1), mRNA [NM_020026]	35.53	426.4	12.00112581
111	Phf11	NM_172603	Mus musculus PHD finger protein 11 (Phf11), mRNA [NM_172603]	8.888	106.3	11.95994599
112	2510009E07Rik	NM_001001881	Mus musculus RIKEN cDNA 2510009E07 gene (2510009E07Rik), mRNA [NM_001001881]	2.083	24.8	11.90590494
113	Stab1	NM_138672	Mus musculus stabilin 1 (Stab1), mRNA [NM_138672]	23.27	276.8	11.89514396
114	Mtss1	AK046628	Mus musculus 4 days neonate male adipose cDNA, RIKEN full-length enriched library, clone:B430212B02 product:METASTASIS SUPPRESSOR PROTEIN homolog [Homo sapiens], full insert sequence. [AK046628]	12.79	151.9	11.87646599
115	AK050573	AK050573	Mus musculus 2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:C920001P18 product:unclassifiable, full insert sequence [AK050573]	1.493	17.66	11.82853315
116	NAP007796-001	NAP007796-001	Unknown	8.14	96.22	11.82063882
117	Serpinb6b	NM_011454	Mus musculus serine (or cysteine) peptidase inhibitor, clade B, member 6b (Serpinb6b), mRNA [NM_011454]	26.4	311.7	11.80681818
118	BC004044	NM_030565	Mus musculus cDNA sequence BC004044 (BC004044), mRNA [NM_030565]	66.47	776.1	11.67594403
119	Fgd4	AK042588	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730008H17 product:unclassifiable, full insert sequence. [AK042588]	0.819	9.465	11.55677656
120	Mtmr11	NM_181409	Mus musculus myotubularin related protein 11 (Mtmr11), mRNA [NM_181409]	1.013	11.7	11.54985192
121	V2r15	NM_009490	Mus musculus vomeronasal 2, receptor, 15 (V2r15), mRNA [NM_009490]	1.228	14.15	11.5228013
122	Hmga2	NM_010441	Mus musculus high mobility group AT-hook 2 (Hmga2), mRNA [NM_010441]	4.451	51.24	11.51201977
123	Nrp1	NM_008737	Mus musculus neuropilin 1 (Nrp1), mRNA [NM_008737]	15.8	180	11.39240506
124	Ifi204	NM_008329	Mus musculus interferon activated gene 204 (Ifi204), mRNA [NM_008329]	35.57	404.4	11.36913129
125	Stab1	NM_138672	Mus musculus stabilin 1 (Stab1), mRNA [NM_138672]	325.5	3698	11.3609831
126	Olfr549	NM_147101	Mus musculus olfactory receptor 549 (Olfr549), mRNA [NM_147101]	7.183	81.31	11.31978282
127	Tnfrsf11a	NM_009399	Mus musculus tumor necrosis factor receptor superfamily, member 11a (Tnfrsf11a), mRNA [NM_009399]	33.51	372.5	11.11608475
128	Thsd1	NM_019576	Mus musculus thrombospondin, type I, domain 1 (Thsd1), mRNA [NM_019576]	5.465	60.68	11.10338518
129	Tm7sf4	NM_029422	Mus musculus transmembrane 7 superfamily member 4 (Tm7sf4), mRNA [NM_029422]	1.453	16.13	11.10116999
130	Lair1	NM_178611	Mus musculus leukocyte-associated Ig-like receptor 1 (Lair1), mRNA [NM_178611]	7.179	79.57	11.0837164
131	AW125753	NM_029007	Mus musculus expressed sequence AW125753 (AW125753), mRNA [NM_029007]	1.678	18.57	11.06674613
132	Hmga2	NM_010441	Mus musculus high mobility group AT-hook 2 (Hmga2), mRNA [NM_010441]	37.22	411.9	11.06663084
133	Mafb	NM_010658	Mus musculus v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian) (Mafb), mRNA [NM_010658]	41.32	457.1	11.0624395
134	Ppp1r12b	XM_136178	PREDICTED: Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 12B, transcript variant 1 (Ppp1r12b), mRNA [XM_136178]	6.456	71.2	11.02850062
135	AI451617	AK136456	Mus musculus adult male colon cDNA, RIKEN full-length enriched library, clone:9030414N23 product:similar to Tripartite motif protein 30 (Down regulatory protein of interleukin 2 receptor) [Mus musculus], full insert sequence. [AK136456]	3.039	33.47	11.01349128
136	BQ944386	BQ944386	AGENCOURT_8860919 NCI_CGAP_Mam2 Mus musculus cDNA clone IMAGE:6440736 5, mRNA sequence [BQ944386]	0.872	9.539	10.93922018
137	Arhgap19	BC086680	Mus musculus cDNA clone MGC:113725 IMAGE:30670200, complete cds [BC086680]	1.889	20.63	10.92112229
138	Myo1e	NM_181072	Mus musculus myosin IE (Myo1e), mRNA [NM_181072]	1.427	15.5	10.86194814
139	Apbb2	NM_009686	Mus musculus amyloid beta (A4) precursor protein-binding, family B, member 2 (Apbb2), mRNA [NM_009686]	45.66	495.4	10.84975909
140	B3galnt1	NM_020026	Mus musculus UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1 (B3galnt1), mRNA [NM_020026]	4.882	52.95	10.84596477
141	Phka2	AK045618	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230216B06 product:PHOSPHORYLASE B KINASE ALPHA REGULATORY CHAIN, LIVER ISOFORM (PHOSPHORYLASE KINASE ALPHA L SUBUNIT)homolog [Homo sapiens], full insert...	1.7	18.39	10.81764706
142	Lrp1	AK078273	Mus musculus adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430558M03 product:low density lipoprotein receptor-related protein 1, full insert sequence. [AK078273]	2.832	30.37	10.72387006
143	2410017I17Rik	AK010524	Mus musculus ES cells cDNA, RIKEN full-length enriched library, clone:2410017I17 product:hypothetical protein, full insert sequence. [AK010524]	3.387	35.96	10.61706525
144	Rims2	AK032619	Mus musculus adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430709C16 product:Rab3 interacting protein 1, full insert sequence. [AK032619]	0.843	8.909	10.56820878
145	ENSMUST00000042610	ENSMUST00000042610	expressed sequence AI607873 [Source:MarkerSymbol;Acc:MGI:2138302] [ENSMUST00000042610]	1.628	17.17	10.54668305
146	Oaz3	BU559983	AGENCOURT_10321741 NIH_MGC_144 Mus musculus cDNA clone IMAGE:6588935 5, mRNA sequence [BU559983]	0.796	8.393	10.54396985
147	Eef1a2	NM_007906	Mus musculus eukaryotic translation elongation factor 1 alpha 2 (Eef1a2), mRNA [NM_007906]	0.683	7.169	10.49633968
148	Oas2	NM_145227	Mus musculus 2-5 oligoadenylate synthetase 2 (Oas2), mRNA [NM_145227]	17.38	180.6	10.39125432
149	AI607873	XM_980696	PREDICTED: Mus musculus expressed sequence AI607873 (AI607873), mRNA [XM_980696]	18.42	191	10.36916395
150	Gatm	NM_025961	Mus musculus glycine amidinotransferase (L-arginine:glycine amidinotransferase) (Gatm), mRNA [NM_025961]	13.54	138.5	10.22895126
151	Igf1	AK050118	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730016P09 product:unclassifiable, full insert sequence [AK050118]	7.389	75.57	10.227365
152	Pmp22	NM_008885	Mus musculus peripheral myelin protein (Pmp22), mRNA [NM_008885]	400.8	4091	10.20708583
153	EG245190	XM_486328	PREDICTED: Mus musculus hypothetical protein 6430704N06 (6430704N06), mRNA [XM_486328]	7.966	81.23	10.19708762
154	Myo1e	NM_181072	Mus musculus myosin IE (Myo1e), mRNA [NM_181072]	33.16	334.6	10.09047045
155	Rgs2	NM_009061	Mus musculus regulator of G-protein signaling 2 (Rgs2), mRNA [NM_009061]	402.3	4029	10.01491424
156	Kcnk13	NM_146037	Mus musculus potassium channel, subfamily K, member 13 (Kcnk13), mRNA [NM_146037]	13.41	134.2	10.00745712
157	Tnfrsf11a	NM_009399	Mus musculus tumor necrosis factor receptor superfamily, member 11a (Tnfrsf11a), mRNA [NM_009399]	6.674	66.77	10.00449506
