Entrez gene	Gene name	Description	HepaRG 0.5 mM	HepaRG 1 mM	HepaRG 2 mM	HepaRG 3.2 mM	HepaRG 6 mM	HepaRG 8 mM	Primary human hepatocytes 1 mM	Primary human hepatocytes 3.2 mM
1528	CYB5A	Cytochrome b5 type A (microsomal)	2.7	3.1	2.1	1.3	-1.6	1.2	1.8	1.6
1591	CYP24A1	Cytochrome P450, family 24, subfamily A, polypeptide 1	2.6	3.1	3	7.4	6.6	5	1.3	1.3
1548	CYP2A6	Cytochrome P450, family 2, subfamily A, polypeptide 6	3.2	2.7	2	1.8	1.7	1.2	5.4	3.2
1549	CYP2A7	Cytochrome P450, family 2, subfamily A, polypeptide 7	3.4	2.7	2.1	2.3	1.7	-1	5.6	3.4
1555	CYP2B6	Cytochrome P450, family 2, subfamily B, polypeptide 6	3.7	4.1	2.3	1.8	1.9	1.9	3.7	3
1557	CYP2C19	Cytochrome P450, family 2, subfamily C, polypeptide 19	2.4	2.2	1.9	1.1	-1.3	-2	1.7	1.4
1576	CYP3A4	Cytochrome P450, family 3, subfamily A, polypeptide 4	16.9	16	4.3	3.7	2.5	2.8	4.2	-1.7
1551	CYP3A7	Cytochrome P450, family 3, subfamily A, polypeptide 7	4.3	4	2.9	2.5	2.9	2.8	2.4	-1
1579	CYP4A11	Cytochrome P450, family 4, subfamily A, polypeptide 22	-1.9	-2	-2.3	-3.4	-2.5	-3.1	-1	-3.3
4051	CYP4F3	Cytochrome P450, family 4, subfamily F, polypeptide 3	2.6	3.6	2.8	1.4	-3.4	-2	3.6	1.4
1582	CYP8B1	Cytochrome P450, family 8, subfamily B, polypeptide 1	-1.5	-1.8	-3.6	-9.4	-9.4	-4.8	-1.3	-2.5
3491	CYR61	Cysteine-rich, angiogenic inducer, 61	-1.3	-2.5	-2.7	-2.2	2.8	2.5	-1.6	-1.7
144455	E2F7	E2F transcription factor 7	-1.3	-1.9	-1.8	-2.1	4.8	3.8	-2.1	-1.1
1906	EDN1	Endothelin 1	-1.4	-2.1	-4.3	-5.9	-1	2.6	-3.6	-2.6
55179	FAIM	Fas apoptotic inhibitory molecule	-1.3	-1.9	-2.1	-3	-3.3	-3.7	-1.2	-1.3
356	FASLG	Fas ligand (TNF superfamily, member 6)	1.6	2.5	2.5	3.3	3.3	3.4	-1	1
10517	FBXW10	F-box and WD repeat domain containing 10	2.7	4.2	4	5	6.7	7.2	3.4	3.4
2523	FUT1	CDNA FLJ39093 fis, clone NT2RP7020112	4	18.2	1.3	6	7.1	3.2	-1.6	3
2538	G6PC	Glucose-6-phosphatase, catalytic subunit	-1.7	-1.9	-3.4	-3.8	-2.1	1.1	-1.1	-2.3
2617	GARS	Glycyl-tRNA synthetase	1.4	1.9	1.8	3.7	3.8	2.9	1.1	1.8
284161	GDPD1	Glycerophosphodiester phosphodiesterase domain containing 1	-1.1	2.5	2.3	5.5	3.2	8.7	-1	1.1
168537	GIMAP7	GTPase, IMAP family member 7	-1.8	-2.2	-2.1	-13.4	-14.1	-17	-4	-2.1
144423	GLT1D1	Glycosyltransferase 1 domain containing 1	1.7	1.8	2.5	3.9	3.5	3.5	1.1	1.9
3162	HMOX1	Heme oxygenase (decycling) 1	2.1	1.8	2.5	2.6	3.9	2.9	-1.2	1
3204	HOXA7	Homeobox A7	-1.2	-2.8	-3.3	-2.7	-3.1	-2.2	1	1
23553	HYAL4	Hyaluronoglucosaminidase 4	1.4	1.9	2.1	2.6	-1.1	-1.1	1	1
3484	IGFBP1	Insulin-like growth factor binding protein 1	-2.2	-2	-1	20.2	31.2	13	-1.5	2.4
3706	ITPKA	Inositol 1,4,5-trisphosphate 3-kinase A	1.4	1.8	2.3	6.5	6.6	5.6	-1.1	6.3
3708	ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	1.5	1.9	2.3	3.7	3.1	2.5	-1.1	1.8
9992	KCNE2	Potassium voltage-gated channel, Isk-related family, member 2	1.4	2.1	4.2	6	61.2	27.9	-1.6	1.3
57528	KCTD16	Transcribed locus, strongly similar to XP_518011.1 similar to golgi membrane protein SB140; smooth muscle cell associated protein 5 [Pan troglodytes]	-1.1	-1.9	-2.6	-2.6	-2.2	-9.5	1	1
25984	KRT23	Keratin 23 (histone deacetylase inducible)	-2.2	-2.5	1.8	4.4	16.3	5.7	-3.6	-1.1
93273	LEMD1	LEM domain containing 1	2	2.7	2.2	2.3	13	13.9	1	1
2615	LRRC32	Leucine rich repeat containing 32	1.9	2.6	1.5	2.7	4	2.1	-1.3	-1.1
347731	LRRTM3	Leucine rich repeat transmembrane neuronal 3	-1.9	-2.7	-1.6	-2.4	1	-1.4	1	1
57574	4-Mar	Membrane-associated ring finger (C3HC4) 4	-2.1	-3.1	1.3	1.8	3.8	2.3	1	1
8735	MYH13	Myosin, heavy chain 8, skeletal muscle, perinatal	9.5	9.6	5.4	5.5	2	1.4	1	1
4620	MYH2	Myosin, heavy chain 3, skeletal muscle, embryonic	17	19.6	8.6	9.5	7.1	3.1	1	1
25924	MYRIP	Myosin VIIA and Rab interacting protein	-1.2	-1.9	-1.9	-2.8	-1.5	-1.6	-1.4	-1.9
123264	OSTbeta	organic solute transporter beta	7.4	9.2	7.8	10.3	4.6	4.3	7.5	7.7
5146	PDE6C	Phosphodiesterase 6C, cGMP-specific, cone, alpha prime	-1.7	-2.9	-4.1	-4.9	-4.4	-6.6	-1.4	-2.6
8864	PER2	Period homolog 2 (Drosophila)	1.4	2	2.4	3.5	10.4	5.8	1.1	1.2
8863	PER3	Period homolog 3 (Drosophila)	1.5	1.9	2.1	2.6	5.3	4.9	1.9	1.3
5409	PNMT	Phenylethanolamine N-methyltransferase	-1.3	-1.9	-1.9	-3.1	-3.2	-2.9	-1.4	-1.4
5447	POR	P450 (cytochrome) oxidoreductase	2.3	2.6	2.7	3	3.5	2.8	2	1.6
10631	POSTN	Periostin, osteoblast specific factor	-2	-1.8	-1.5	-2.4	-9.2	-6.3	-1.3	1
285755	PPIL6	Peptidylprolyl isomerase (cyclophilin)-like 6	1.5	2.3	2.5	6.3	18.4	14.3	1.3	1.4
81706	PPP1R14C	Protein phosphatase 1, regulatory (inhibitor) subunit 14C	-1.5	-2.3	-3.3	-6.3	-1.9	1.4	1	1
58510	PRODH2	Proline dehydrogenase (oxidase) 2	2.4	2.5	1.9	1	-2.3	-2.1	2.5	1.2
84249	PSD2	Pleckstrin and Sec7 domain containing 2	1.5	2.2	2.9	4.2	8.3	3.8	1	1.3
115827	RAB3C	RAB3C, member RAS oncogene family	1.8	1.9	2	1.9	1.2	-1.5	-1.2	1.8
284654	RSPO1	R-spondin homolog (Xenopus laevis)	-1.4	-1.9	-2.9	-6.9	-4.7	-3.2	1	1
148398	SAMD11	Sterile alpha motif domain containing 11	-1.6	-1.8	-1.9	-2.5	1	1	-1.2	-1
10110	SGK2	Serum/glucocorticoid regulated kinase 2	1.9	2.5	2.4	2.1	-1.2	-1.5	2.5	2.5
6563	SLC14A1	Solute carrier family 14 (urea transporter), member 1 (Kidd blood group)	1.1	-1.9	-2.2	-2.1	-1.4	-1.5	1	1
5172	SLC26A4	Solute carrier family 26, member 4	1.7	2.5	2.6	1.9	3.9	3.6	-1.3	-1
11001	SLC27A2	Solute carrier family 27 (fatty acid transporter), member 2	2.1	2.3	1.4	-2.2	-6.7	-3.9	1.9	1.4
6519	SLC3A1	Solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	-1.5	-2	-2	-4.4	-13.1	-13.7	1.4	-1.1
6520	SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	1.4	1.9	2.4	3.6	5.3	5.2	1.6	4.3
115584	SLC5A11	Solute carrier family 5 (sodium/glucose cotransporter), member 11	3	3.8	3.2	2.9	1.5	1.3	4.6	-1.3
23657	SLC7A11	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	2	4.1	2.2	11.1	3.1	5	-1.1	4.8
6578	SLCO2A1	Solute carrier organic anion transporter family, member 2A1	1.2	2.9	2.5	4.7	14.1	11	1	1
342667	STAC2	SH3 and cysteine rich domain 2	-1.5	-2.2	-2.7	-11.7	-15.5	-7	1.5	-1.1
55359	STYK1	Serine/threonine/tyrosine kinase 1	-1.4	-2.5	-2.1	-4.3	1.3	1.7	1	1
6783	SULT1E1	Sulfotransferase family 1E, estrogen-preferring, member 1	-2.2	-4.2	-7.1	-5.4	-6.4	-15.8	-1.5	-15.3
90019	SYT8	Synaptotagmin VIII	-1.8	-2.7	-1.8	-4	-4.5	-4.9	-1.6	1
389932	tAKR	aldo-keto reductase, truncated	1.5	2.1	2.1	2	1.5	1.2	2.3	2.7
79816	TLE6	Transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)	2	2.2	2	1.7	1.1	-1	2.7	2.5
8600	TNFSF11	Tumor necrosis factor (ligand) superfamily, member 11	2.3	2.1	3.1	10.1	29.2	28	1.7	1.4
7136	TNNI2	Troponin I type 2 (skeletal, fast)	-1.7	-2.6	-3.1	-8.6	-7.8	-5.8	-2.8	1.4
11074	TRIM31	Tripartite motif-containing 31	4	3.3	4.4	12.8	22.2	15.4	1.1	1.3
114088	TRIM9	Tripartite motif-containing 9	1.4	2	2.2	3.2	1.7	1.7	1.2	1
79054	TRPM8	Transient receptor potential cation channel, subfamily M, member 8	2	4.1	4.5	8.8	2.5	1.9	2.2	1.3
25987	TSKU	Tsukushin	2.2	2.2	2.3	2.3	-1.1	-1.3	1.9	2.1
7378	UPP1	Uridine phosphorylase 1	1.4	2	3.1	12.2	25.7	18.7	1.5	4.1
257313	UTS2D	Urotensin 2 domain containing	-1.5	-2.1	-3.8	-3.9	-4.3	-4.6	-1.6	1.1
7429	VIL1	Villin 1	-1.6	-2.1	-2.3	-3.5	-4.7	-4.9	-1.1	-1.7
8565	YARS	Transcribed locus, strongly similar to XP_001106675.1 similar to NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14 kDa [Macaca mulatta]	1.6	2	1.9	2.9	3.7	3.5	1.2	1.8
79413	ZBED2	Zinc finger, BED-type containing 2	-2.7	-4.7	-3.9	-18.6	-32.1	-35	1	1
84215	ZNF541	Zinc finger protein 541	-1.5	-2.3	-2.7	-5.6	-5.2	-3.4	1.2	-3.4
