# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_029422|NM_029422	mgi_symbol|Tm7sf4|Tm7sf4
entrezgene|BC025841|240753	mgi_symbol|Plekha6|Plekha6
refseq_dna|NM_029639|NM_029639	mgi_symbol|1600029D21Rik|1600029D21Rik
refseq_dna|NM_009644|NM_009644	mgi_symbol|Ahrr|Ahrr
refseq_dna|NM_001039484|NM_001039484	mgi_symbol|Kcnj10|Kcnj10
embl|ENSMUST00000088270|ENSMUST00000088270	mgi_symbol|ENSMUST00000088270|ENSMUST00000088270
refseq_dna|NM_008198|NM_008198	mgi_symbol|Cfb|Cfb
refseq_dna|NM_016984|NM_016984	mgi_symbol|Trpc4|Trpc4
embl|TC1640144|TC1640144	mgi_symbol|TC1640144|TC1640144
entrezgene|M31690|11898	mgi_symbol|Ass1|Ass1
embl|AK089210|AK089210	mgi_symbol|Frmd4a|Frmd4a
refseq_dna|NM_145447|NM_145447	mgi_symbol|BC011209|BC011209
refseq_dna|NM_007575|NM_007575	mgi_symbol|Ciita|Ciita
embl|AK086324|AK086324	mgi_symbol|D930021H04Rik|D930021H04Rik
embl|AK013239|AK013239	mgi_symbol|AK013239|AK013239
refseq_dna|NM_053151|NM_053151	mgi_symbol|Klra21|Klra21
refseq_dna|NM_009465|NM_009465	mgi_symbol|Axl|Axl
refseq_dna|NM_177595|NM_177595	mgi_symbol|Mkx|Mkx
refseq_dna|NM_007494|NM_007494	mgi_symbol|Ass1|Ass1
embl|ENSMUST00000036088|ENSMUST00000036088	mgi_symbol|Gngt2|Gngt2
entrezgene|AK040413|20650	mgi_symbol|AK040413|AK040413
refseq_dna|NM_178660|NM_178660	mgi_symbol|Rbms3|Rbms3
refseq_dna|NM_010378|NM_010378	mgi_symbol|H2-Aa|H2-Aa
refseq_dna|NM_181748|NM_181748	mgi_symbol|Gpr120|Gpr120
entrezgene|AK042672|108686	mgi_symbol|A430106J12Rik|A430106J12Rik
refseq_dna|NM_009997|NM_009997	mgi_symbol|Cyp2a4|Cyp2a4
refseq_dna|NM_010378|NM_010378	mgi_symbol|H2-Aa|H2-Aa
refseq_dna|NM_133888|NM_133888	mgi_symbol|Smpdl3b|Smpdl3b
embl|TC1689344|TC1689344	mgi_symbol|TC1689344|TC1689344
refseq_dna|NM_178660|NM_178660	mgi_symbol|Rbms3|Rbms3
embl|AK089292|AK089292	mgi_symbol|F730002C09Rik|F730002C09Rik
refseq_dna|NM_007969|NM_007969	mgi_symbol|Expi|Expi
refseq_dna|NM_139138|NM_139138	mgi_symbol|Emr4|Emr4
refseq_dna|NM_001081281|NM_001081281	mgi_symbol|Trim55|Trim55
refseq_dna|NM_001033258|NM_001033258	mgi_symbol|D10Bwg1379e|D10Bwg1379e
refseq_dna|NM_178611|NM_178611	mgi_symbol|Lair1|Lair1
refseq_dna|NM_001001885|NM_001001885	mgi_symbol|Tmem151|Tmem151
embl|AK087243|AK087243	mgi_symbol|Tmcc1|Tmcc1
refseq_dna|NM_021887|NM_021887	mgi_symbol|Il21r|Il21r
refseq_dna|NM_133219|NM_133219	mgi_symbol|Gcnt2|Gcnt2
refseq_dna|NM_013653|NM_013653	mgi_symbol|Ccl5|Ccl5
entrezgene|AK020123|243548	mgi_symbol|Prickle2|Prickle2
refseq_dna|NM_007812|NM_007812	mgi_symbol|Cyp2a5|Cyp2a5
entrezgene|AK046628|211401	mgi_symbol|Mtss1|Mtss1
refseq_dna|NM_134130|NM_134130	mgi_symbol|Abhd3|Abhd3
entrezgene|CK020710|11554	mgi_symbol|Adrb1|Adrb1
embl|AK038070|AK038070	mgi_symbol|Hivep3|Hivep3
refseq_dna|NM_175672|NM_175672	mgi_symbol|4930579C12Rik|4930579C12Rik
embl|AK031957|AK031957	mgi_symbol|6330509M05Rik|6330509M05Rik
entrezgene|AK141415|227541	mgi_symbol|AK141415|AK141415
entrezgene|AK054545|320832	mgi_symbol|Sirpb1|Sirpb1
embl|AK085674|AK085674	mgi_symbol|AK085674|AK085674
entrezgene|AK045200|240354	mgi_symbol|Malt1|Malt1
refseq_dna|NM_028798|NM_028798	mgi_symbol|Crct1|Crct1
refseq_dna|NM_001039530|NM_001039530	mgi_symbol|Parp14|Parp14
refseq_dna|NM_013521|NM_013521	mgi_symbol|Fpr1|Fpr1
entrezgene|BC005613|210126	mgi_symbol|Lpp|Lpp
embl|BI662359|BI662359	mgi_symbol|BI662359|BI662359
refseq_dna|NM_198306|NM_198306	mgi_symbol|Galnt9|Galnt9
entrezgene|BC033508|20304	mgi_symbol|Ccl5|Ccl5
refseq_dna|NM_007969|NM_007969	mgi_symbol|Expi|Expi
embl|AK018161|AK018161	mgi_symbol|Dock4|Dock4
embl|AK087200|AK087200	mgi_symbol|AK087200|AK087200
refseq_dna|NM_028199|NM_028199	mgi_symbol|Plxdc1|Plxdc1
refseq_dna|NM_194336|NM_194336	mgi_symbol|Mpa2l|Mpa2l
refseq_dna|NM_172728|NM_172728	mgi_symbol|Creb5|Creb5
refseq_dna|NM_008605|NM_008605	mgi_symbol|Mmp12|Mmp12
embl|AK047584|AK047584	mgi_symbol|D10Bwg1379e|D10Bwg1379e
refseq_dna|NM_010846|NM_010846	mgi_symbol|Mx1|Mx1
embl|AK087180|AK087180	mgi_symbol|AK087180|AK087180
refseq_dna|NM_013524|NM_013524	mgi_symbol|Fut7|Fut7
embl|ENSMUST00000043170|ENSMUST00000043170	mgi_symbol|ENSMUST00000043170|ENSMUST00000043170
entrezgene|AK041695|94212	mgi_symbol|Pag1|Pag1
refseq_dna|NM_176913|NM_176913	mgi_symbol|Dpep2|Dpep2
refseq_dna|NM_145967|NM_145967	mgi_symbol|Vstm2|Vstm2
embl|TC1655871|TC1655871	mgi_symbol|TC1655871|TC1655871
embl|AK036634|AK036634	mgi_symbol|AK036634|AK036634
refseq_dna|NM_007906|NM_007906	mgi_symbol|Eef1a2|Eef1a2
refseq_dna|NM_175362|NM_175362	mgi_symbol|Card11|Card11
refseq_dna|NM_016907|NM_016907	mgi_symbol|Spint1|Spint1
entrezgene|AY072035|21416	mgi_symbol|Tcf7l2|Tcf7l2
refseq_dna|NM_021893|NM_021893	mgi_symbol|Cd274|Cd274
refseq_dna|NM_207668|NM_207668	mgi_symbol|Acpp|Acpp
refseq_dna|NM_010388|NM_010388	mgi_symbol|H2-DMb2|H2-DMb2
refseq_dna|NM_182930|NM_182930	mgi_symbol|Plekha6|Plekha6
refseq_dna|NM_013825|NM_013825	mgi_symbol|Ly75|Ly75
refseq_dna|NM_172623|NM_172623	mgi_symbol|Treml4|Treml4
entrezgene|AK030583|11820	mgi_symbol|App|App
refseq_dna|NM_138648|NM_138648	mgi_symbol|Olr1|Olr1
refseq_dna|NM_203320|NM_203320	mgi_symbol|Gm1960|Gm1960
refseq_dna|NM_175264|NM_175264	mgi_symbol|4931406H21Rik|4931406H21Rik
embl|AK042351|AK042351	mgi_symbol|Obfc2a|Obfc2a
refseq_dna|NM_172883|NM_172883	mgi_symbol|Mfsd7|Mfsd7
refseq_dna|NM_176841|NM_176841	mgi_symbol|A430106J12Rik|A430106J12Rik
embl|AK089613|AK089613	mgi_symbol|Cd180|Cd180
refseq_dna|NM_178792|NM_178792	mgi_symbol|Sirpb1|Sirpb1
refseq_dna|NM_021427|NM_021427	mgi_symbol|A830059I20Rik|A830059I20Rik
refseq_dna|NM_010259|NM_010259	mgi_symbol|Gbp1|Gbp1
refseq_dna|NM_028808|NM_028808	mgi_symbol|P2ry13|P2ry13
refseq_dna|NM_007807|NM_007807	mgi_symbol|Cybb|Cybb
embl|AK036590|AK036590	mgi_symbol|Trps1|Trps1
refseq_dna|NM_001039376|NM_001039376	mgi_symbol|Pde4dip|Pde4dip
entrezgene|AK035176|224829	mgi_symbol|Trerf1|Trerf1
entrezgene|AK122468|213783	mgi_symbol|Plekhg1|Plekhg1
entrezgene|AK172505|15950	mgi_symbol|Ifi203|Ifi203
refseq_dna|NM_001081066|NM_001081066	mgi_symbol|Dennd3|Dennd3
refseq_dna|NM_028072|NM_028072	mgi_symbol|Sulf2|Sulf2
embl|AK084329|AK084329	mgi_symbol|AK084329|AK084329
refseq_dna|NM_011197|NM_011197	mgi_symbol|Ptgfrn|Ptgfrn
refseq_dna|NM_008361|NM_008361	mgi_symbol|Il1b|Il1b
refseq_dna|NM_009036|NM_009036	mgi_symbol|Rbpjl|Rbpjl
refseq_dna|NM_015736|NM_015736	mgi_symbol|Galnt3|Galnt3
refseq_dna|NM_010545|NM_010545	mgi_symbol|Cd74|Cd74
refseq_dna|NM_178611|NM_178611	mgi_symbol|Lair1|Lair1
embl|BE307515|BE307515	mgi_symbol|BE307515|BE307515
refseq_dna|NM_008967|NM_008967	mgi_symbol|Ptgir|Ptgir
entrezgene|AK007434|69069	mgi_symbol|1810011H11Rik|1810011H11Rik
entrezgene|AK157921|17076	mgi_symbol|Ly75|Ly75
embl|AK042559|AK042559	mgi_symbol|AK042559|AK042559
entrezgene|L38281|16365	mgi_symbol|Irg1|Irg1
embl|BB333095|BB333095	mgi_symbol|BB333095|BB333095
entrezgene|AK090207|215113	mgi_symbol|Slc43a2|Slc43a2
entrezgene|AK041670|231805	mgi_symbol|Pilra|Pilra
refseq_dna|NM_133833|NM_133833	mgi_symbol|Dst|Dst
refseq_dna|NM_009835|NM_009835	mgi_symbol|Ccr6|Ccr6
refseq_dna|NM_016907|NM_016907	mgi_symbol|Spint1|Spint1
refseq_dna|NM_178929|NM_178929	mgi_symbol|Kazald1|Kazald1
refseq_dna|NM_011979|NM_011979	mgi_symbol|Vnn3|Vnn3
embl|AK039806|AK039806	mgi_symbol|AK039806|AK039806
refseq_dna|NM_011197|NM_011197	mgi_symbol|Ptgfrn|Ptgfrn
refseq_dna|NM_126166|NM_126166	mgi_symbol|Tlr3|Tlr3
refseq_dna|NM_176841|NM_176841	mgi_symbol|A430106J12Rik|A430106J12Rik
refseq_dna|NM_177000|NM_177000	mgi_symbol|C130050O18Rik|C130050O18Rik
embl|AK128954|AK128954	mgi_symbol|Samhd1|Samhd1
refseq_dna|NM_177353|NM_177353	mgi_symbol|Slc9a7|Slc9a7
embl|AK031889|AK031889	mgi_symbol|AK031889|AK031889
refseq_dna|NM_009728|NM_009728	mgi_symbol|Atp10a|Atp10a
refseq_dna|XM_923365|XM_923365	mgi_symbol|D430007A19Rik|D430007A19Rik
refseq_dna|NM_015736|NM_015736	mgi_symbol|Galnt3|Galnt3
refseq_dna|NM_008509|NM_008509	mgi_symbol|Lpl|Lpl
refseq_dna|NM_011990|NM_011990	mgi_symbol|Slc7a11|Slc7a11
embl|AK079230|AK079230	mgi_symbol|AK079230|AK079230
refseq_dna|NM_028072|NM_028072	mgi_symbol|Sulf2|Sulf2
refseq_dna|NM_133203|NM_133203	mgi_symbol|Klra17|Klra17
refseq_dna|NM_010208|NM_010208	mgi_symbol|Fgr|Fgr
embl|TC1709674|TC1709674	mgi_symbol|TC1709674|TC1709674
refseq_dna|NM_009852|NM_009852	mgi_symbol|Cd6|Cd6
entrezgene|AK156251|16408	mgi_symbol|Itgal|Itgal
refseq_dna|NM_010387|NM_010387	mgi_symbol|H2-DMb1|H2-DMb1
entrezgene|AK087208|13819	mgi_symbol|Epas1|Epas1
refseq_dna|NM_010215|NM_010215	mgi_symbol|Il4i1|Il4i1
entrezgene|AK171849|233328	mgi_symbol|Lrrk1|Lrrk1
refseq_dna|NM_009997|NM_009997	mgi_symbol|Cyp2a4|Cyp2a4
entrezgene|AK053579|14600	mgi_symbol|Ghr|Ghr
entrezgene|AK136456|209387	mgi_symbol|AI451617|AI451617
refseq_dna|NM_031167|NM_031167	mgi_symbol|Il1rn|Il1rn
refseq_dna|NM_146028|NM_146028	mgi_symbol|Stac2|Stac2
entrezgene|AK036369|114874	mgi_symbol|Ddhd1|Ddhd1
refseq_dna|NM_008532|NM_008532	mgi_symbol|Tacstd1|Tacstd1
refseq_dna|NM_013674|NM_013674	mgi_symbol|Irf4|Irf4
entrezgene|AK018024|76108	mgi_symbol|Rap2a|Rap2a
entrezgene|AK088215|19264	mgi_symbol|Ptprc|Ptprc
refseq_dna|NM_013660|NM_013660	mgi_symbol|Sema4d|Sema4d
refseq_dna|NM_009504|NM_009504	mgi_symbol|Vdr|Vdr
refseq_dna|NM_010584|NM_010584	mgi_symbol|Itlna|Itlna
entrezgene|AK078273|16971	mgi_symbol|Lrp1|Lrp1
refseq_dna|NM_010320|NM_010320	mgi_symbol|Gng8|Gng8
embl|AK041551|AK041551	mgi_symbol|AK041551|AK041551
refseq_dna|NM_011990|NM_011990	mgi_symbol|Slc7a11|Slc7a11
refseq_dna|NM_010391|NM_010391	mgi_symbol|H2-Q10|H2-Q10
refseq_dna|NM_027552|NM_027552	mgi_symbol|Kynu|Kynu
refseq_dna|NM_027971|NM_027971	mgi_symbol|Serpinb12|Serpinb12
refseq_dna|NM_181072|NM_181072	mgi_symbol|Myo1e|Myo1e
entrezgene|AK164710|72580	mgi_symbol|2700019D07Rik|2700019D07Rik
refseq_dna|NM_031167|NM_031167	mgi_symbol|Il1rn|Il1rn
embl|BB160619|BB160619	mgi_symbol|BB160619|BB160619
entrezgene|AK020229|76630	mgi_symbol|Stambpl1|Stambpl1
refseq_dna|NM_010388|NM_010388	mgi_symbol|H2-DMb2|H2-DMb2
entrezgene|AK122367|319387	mgi_symbol|Lphn3|Lphn3
refseq_dna|NM_145226|NM_145226	mgi_symbol|Oas3|Oas3
refseq_dna|NM_001081376|NM_001081376	mgi_symbol|Chd5|Chd5
entrezgene|BC050841|18033	mgi_symbol|Nfkb1|Nfkb1
refseq_dna|NM_008509|NM_008509	mgi_symbol|Lpl|Lpl
refseq_dna|NM_001001881|NM_001001881	mgi_symbol|2510009E07Rik|2510009E07Rik
entrezgene|BC053106|242894	mgi_symbol|Actr3b|Actr3b
refseq_dna|NM_011539|NM_011539	mgi_symbol|Tbxas1|Tbxas1
refseq_dna|NM_134114|NM_134114	mgi_symbol|Sft2d1|Sft2d1
refseq_dna|NM_008987|NM_008987	mgi_symbol|Ptx3|Ptx3
refseq_dna|NM_024124|NM_024124	mgi_symbol|Hdac9|Hdac9
refseq_dna|NM_177388|NM_177388	mgi_symbol|Slc41a2|Slc41a2
refseq_dna|NM_011171|NM_011171	mgi_symbol|Procr|Procr
entrezgene|AK086184|12010	mgi_symbol|B2m|B2m
refseq_dna|NM_010818|NM_010818	mgi_symbol|Cd200|Cd200
