Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location
203630_s_at	component of oligomeric golgi complex 5	COG5	7q22-q31
204345_at	collagen, type XVI, alpha 1	COL16A1	1p35-p34
204309_at	cytochrome P450, family 11, subfamily A, polypeptide 1 /// cytochrome P450, family 11, subfamily A, polypeptide 1	CYP11A1	15q23-q24
214610_at	cytochrome P450, family 11, subfamily B, polypeptide 1	CYP11B1	8q21
205502_at	cytochrome P450, family 17, subfamily A, polypeptide 1	CYP17A1	10q24.3
214622_at	cytochrome P450, family 21, subfamily A, polypeptide 2	CYP21A2	6p21.3
213998_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	DDX17	22q13.1
200862_at	24-dehydrocholesterol reductase	DHCR24	1p33-p31.1
201790_s_at	7-dehydrocholesterol reductase	DHCR7	11q13.2-q13.5
201791_s_at	7-dehydrocholesterol reductase	DHCR7	11q13.2-q13.5
210762_s_at	deleted in liver cancer 1	DLC1	8p22
203646_at	ferredoxin 1	FDX1	11q22
203647_s_at	ferredoxin 1	FDX1	11q22
207813_s_at	ferredoxin reductase	FDXR	17q24-q25
219054_at	hypothetical protein FLJ14054	FLJ14054	5p13.3
203924_at	glutathione S-transferase A1	GSTA1	6p12.1
204848_x_at	hemoglobin, gamma A /// hemoglobin, gamma A	HBG1	11p15.5
204419_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5
213515_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5
204615_x_at	isopentenyl-diphosphate delta isomerase 1	IDI1	10p15.3
208881_x_at	isopentenyl-diphosphate delta isomerase 1	IDI1	10p15.3
203424_s_at	insulin-like growth factor binding protein 5	IGFBP5	2q33-q36
211959_at	insulin-like growth factor binding protein 5	IGFBP5	2q33-q36
209032_s_at	immunoglobulin superfamily, member 4	IGSF4	11q23.2
202068_s_at	low density lipoprotein receptor (familial hypercholesterolemia)	LDLR	19p13.3
202409_at	putative insulin-like growth factor II associated protein	LOC492304	11p15.5
210302_s_at	mab-21-like 2 (C. elegans)	MAB21L2	4q31
210794_s_at	maternally expressed 3	MEG3	14q32
202379_s_at	natural killer-tumor recognition sequence	NKTR	3p23-p21
202679_at	Niemann-Pick disease, type C1	NPC1	18q11-q12
203058_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	10q23-q24
203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	10q23-q24
213791_at	proenkephalin	PENK	8q23-q24
206793_at	phenylethanolamine N-methyltransferase	PNMT	17q21-q22
208928_at	P450 (cytochrome) oxidoreductase	POR	7q11.2
203038_at	protein tyrosine phosphatase, receptor type, K	PTPRK	6q22.2-23.1
219112_at	Rap guanine nucleotide exchange factor (GEF) 6	RAPGEF6	5q23.3
212397_at	radixin	RDX	11q23
209146_at	sterol-C4-methyl oxidase-like	SC4MOL	4q32-q34
210180_s_at	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	SFRS10	3q26.2-q27
201810_s_at	SH3-domain binding protein 5 (BTK-associated)	SH3BP5	3p24.3
201811_x_at	SH3-domain binding protein 5 (BTK-associated)	SH3BP5	3p24.3
207074_s_at	solute carrier family 18 (vesicular monoamine), member 1	SLC18A1	8p21.3
213577_at	squalene epoxidase	SQLE	8q24.1
208610_s_at	serine/arginine repetitive matrix 2	SRRM2	16p13.3
204548_at	steroidogenic acute regulator	STAR	8p11.2
206292_s_at	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	SULT2A1	19q13.3
206293_at	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	SULT2A1	19q13.3
