Entrez Gene	Gene Symbol	Gene Name	Chromosome	RefSeq	ENSEMBL	logFC (TamR v.s. TamS)	AveExpr	t	P.Value	adj.P.Val
1894	ECT2	epithelial cell transforming sequence 2 oncogene	3	NM_018098, NP_060568	ENSG00000114346	0.376767173	5.339576785	3.988030979	9.68308E-05	0.009108777
11160	ERLIN2	ER lipid raft associated 2	8	NM_001003790, NM_001003791, NM_007175, NP_001003790, NP_001003791, NP_009106	ENSG00000147475	0.370123842	6.742649678	3.027530064	0.002828215	0.040586211
157567	ANKRD46	ankyrin repeat domain 46	8	NM_198401, NP_940683	ENSG00000186106	0.369209927	6.916104243	4.008354599	8.94938E-05	0.009108777
63933	CCDC90A	coiled-coil domain containing 90A	6	NM_001031713, NP_001026883	ENSG00000050393	0.368239595	7.353058937	4.162111372	4.88383E-05	0.007739814
7272	TTK	TTK protein kinase	6	NM_003318, NP_003309	ENSG00000112742	0.368170965	4.575435606	4.226673837	3.76835E-05	0.007715074
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	2	NM_006636, NP_006627, NR_027405	ENSG00000065911	0.36180057	8.898113773	3.903387639	0.000134012	0.0105526
11260	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	12	NM_007235, NP_009166	ENSG00000184575	0.358544085	8.396099839	4.181527789	4.51885E-05	0.007739814
11065	UBE2C	ubiquitin-conjugating enzyme E2C	20	NM_007019, NM_181799, NM_181800, NM_181801, NM_181802, NM_181803, NP_008950, NP_861515, NP_861516, NP_861517, NP_861518, NP_861519	ENSG00000175063	0.353140368	8.601827466	2.920246373	0.003945734	0.047129337
7411	VBP1	von Hippel-Lindau binding protein 1	X	NM_003372, NP_003363	ENSG00000155959	0.351511809	8.737596055	3.022834748	0.002870277	0.040808435
27346	TMEM97	transmembrane protein 97	17	NM_014573, NP_055388	ENSG00000109084	0.349379884	7.549518936	3.520603235	0.000545658	0.020560499
55161	TMEM33	transmembrane protein 33	4	NM_018126, NP_060596	ENSG00000109133	0.343496659	7.080677286	4.455116462	1.47106E-05	0.004168448
64151	NCAPG	non-SMC condensin I complex, subunit G	4	NM_022346, NP_071741	ENSG00000109805	0.342352994	4.948293492	3.302101957	0.001157734	0.028219777
51012	SLMO2	slowmo homolog 2 (Drosophila)	20	NM_016045, NP_057129	ENSG00000101166	0.341428371	4.353108549	4.587806231	8.38031E-06	0.004168448
54566	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	9	NM_018424, NM_019114, NP_060894, NP_061987	ENSG00000095203	0.341276356	7.623526783	3.402924228	0.000821916	0.024991144
51068	NMD3	NMD3 homolog (S. cerevisiae)	3	NM_015938, NP_057022	ENSG00000169251	0.341199003	6.768344444	3.173104822	0.001774259	0.033651874
11013	TMSB15A	thymosin beta 15a	X	NM_021992, NP_068832	ENSG00000158164	0.338839253	5.264039752	3.333157174	0.001042657	0.026513779
10020	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	9	NM_001128227, NM_005476, NP_001121699, NP_005467	ENSG00000159921	0.338611102	6.250702849	4.103149616	6.17288E-05	0.007739814
58478	ENOPH1	enolase-phosphatase 1	4	NM_021204, NP_067027	ENSG00000145293	0.338189128	7.646400307	4.068639746	7.07184E-05	0.007769103
5110	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	6	NM_005389, NP_005380	ENSG00000120265	0.333222324	8.162033205	3.713369456	0.000272726	0.013730192
24137	KIF4A	kinesin family member 4A	X	NM_012310, NP_036442	ENSG00000090889	0.331331726	5.44268174	2.992407854	0.003157107	0.043008278
9787	DLGAP5	discs, large (Drosophila) homolog-associated protein 5	14	NM_001146015, NM_014750, NP_001139487, NP_055565	ENSG00000126787	0.331027344	5.380246821	3.363221729	0.000941497	0.026513779
5230	PGK1	phosphoglycerate kinase 1	X	NM_000291, NP_000282	ENSG00000102144	0.330843713	8.822233406	3.290477531	0.001203774	0.028219777
9650	MTFR1	mitochondrial fission regulator 1	8	NM_001145838, NM_001145839, NM_014637, NP_001139310, NP_001139311, NP_055452	ENSG00000066855	0.329880971	6.486829891	3.270319375	0.001287679	0.028449451
9521	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	6	NM_001135650, NM_004280, NP_001129122, NP_004271	ENSG00000124802	0.32970605	6.577154934	3.301543277	0.001159908	0.028219777
27257	LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	8	NM_014462, NP_055277	ENSG00000175324	0.328800564	8.85148901	3.07090546	0.002465635	0.038891356
79665	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	17	NM_024612, NP_078888	ENSG00000108406	0.326343872	7.802245326	3.181829177	0.001724462	0.033651874
56180	MOSPD1	motile sperm domain containing 1	X	NM_019556, NP_062456	ENSG00000101928	0.324140612	6.664646887	4.455125812	1.471E-05	0.004168448
11163	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	12	NM_019094, NM_199040, NP_061967, NP_950241	ENSG00000173598	0.322466468	6.556428599	4.937858111	1.79637E-06	0.002159293
55165	CEP55	centrosomal protein 55kDa	10	NM_001127182, NM_018131, NP_001120654, NP_060601	ENSG00000138180	0.320969311	5.2767471	3.61730463	0.000386663	0.016046518
10079	ATP9A	ATPase, class II, type 9A	20	NM_006045, NP_006036	ENSG00000054793	0.315022305	8.692947304	3.2222242	0.001510344	0.031129295
64431	ACTR6	ARP6 actin-related protein 6 homolog (yeast)	12	NM_022496, NP_071941	ENSG00000075089	0.312166665	6.284970566	3.354585499	0.000969575	0.026513779
5504	PPP1R2	protein phosphatase 1, regulatory (inhibitor) subunit 2	3	NM_006241, NP_006232	ENSG00000184203	0.309411584	6.68111147	3.155621079	0.001878088	0.034262288
10403	NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	18	NM_006101, NP_006092	ENSG00000080986	0.307351611	4.277949597	4.492979724	1.25436E-05	0.004168448
1317	SLC31A1	solute carrier family 31 (copper transporters), member 1	9	NM_001859, NP_001850	ENSG00000136868	0.303962918	6.825457046	2.956101387	0.003533738	0.044114265
9833	MELK	maternal embryonic leucine zipper kinase	9	NM_014791, NP_055606	ENSG00000165304	0.303476527	6.938161966	2.98404607	0.003240424	0.043073327
10492	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	6	NM_001159673, NM_001159674, NM_001159675, NM_001159676, NM_001159677, NM_006372, NP_001153145, NP_001153146, NP_001153147, NP_001153148, NP_001153149, NP_006363	ENSG00000135316	0.30344957	7.600532997	3.472064932	0.000646923	0.021687332
291	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	4	NM_001151, NP_001142	ENSG00000151729	0.300553791	8.022080839	3.470836372	0.000649702	0.021687332
23593	HEBP2	heme binding protein 2	6	NM_014320, NP_055135	ENSG00000051620	0.300187492	8.896350457	3.332588287	0.001044665	0.026513779
56942	C16orf61	chromosome 16 open reading frame 61	16	NM_020188, NP_064573	ENSG00000103121	0.299799191	7.569986262	3.348642992	0.000989348	0.026513779
9694	TTC35	tetratricopeptide repeat domain 35	8	NM_014673, NP_055488	ENSG00000104412	0.298283482	6.692294881	3.436437558	0.000732195	0.023428187
1058	CENPA	centromere protein A	2	NM_001042426, NM_001809, NP_001035891, NP_001800	ENSG00000115163	0.296388701	5.42516319	3.949058205	0.000112531	0.009873828
7443	VRK1	vaccinia related kinase 1	14	NM_003384, NP_003375	ENSG00000100749	0.295895247	5.695763289	3.293130758	0.001193118	0.028219777
9519	TBPL1	TBP-like 1	6	NM_004865, NP_004856	ENSG00000028839	0.294449817	5.827101361	3.472578534	0.000645765	0.021687332
10247	HRSP12	heat-responsive protein 12	8	NM_005836, NP_005827	ENSG00000132541	0.29421182	7.014947064	2.967830254	0.003407783	0.043759503
54503	ZDHHC13	zinc finger, DHHC-type containing 13	11	NM_001001483, NM_019028, NP_001001483, NP_061901	ENSG00000177054	0.293941974	5.720717085	3.263577305	0.001316936	0.028683044
286148	DPY19L4	dpy-19-like 4 (C. elegans)	8	NM_181787, NP_861452	ENSG00000156162	0.292254973	6.709962556	3.142295247	0.001960974	0.034810131
51026	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)	12	NM_016072, NP_057156	ENSG00000111711	0.288771477	5.889766529	4.071239829	6.99997E-05	0.007769103
3638	INSIG1	insulin induced gene 1	7	NM_005542, NM_198336, NM_198337, NP_005533, NP_938150, NP_938151	ENSG00000186480	0.284903713	6.628936241	3.235658234	0.001444793	0.030183403
3066	HDAC2	histone deacetylase 2	6	NM_001527, NP_001518	ENSG00000196591	0.284787229	7.76423309	3.818308425	0.000184812	0.011622493
26586	CKAP2	cytoskeleton associated protein 2	13	NM_001098525, NM_018204, NP_001091995, NP_060674	ENSG00000136108	0.282768296	5.34363327	3.787566772	0.000207301	0.012215193
55093	WDYHV1	WDYHV motif containing 1	8	NM_018024, NP_060494	ENSG00000156795	0.280795703	6.763792747	3.096090101	0.002275307	0.038611214
3161	HMMR	hyaluronan-mediated motility receptor (RHAMM)	5	NM_001142556, NM_001142557, NM_012484, NM_012485, NP_001136028, NP_001136029, NP_036616, NP_036617	ENSG00000072571	0.280493667	5.592407284	4.022977375	8.45458E-05	0.008953113
84079	ANKRD27	ankyrin repeat domain 27 (VPS9 domain)	19	NM_032139, NP_115515	ENSG00000105186	0.28036712	6.767449008	4.097959718	6.30073E-05	0.007739814
51001	MTERFD1	MTERF domain containing 1	8	NM_015942, NP_057026	ENSG00000156469	0.27869816	6.61640433	3.356919536	0.00096191	0.026513779
10897	YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)	11	NM_020470, NP_065203	ENSG00000174851	0.278675819	7.732036459	3.633199624	0.000365135	0.015793382
3419	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	15	NM_005530, NP_005521	ENSG00000166411	0.277799074	5.993247447	3.627163563	0.000373174	0.015909995
9134	CCNE2	cyclin E2	8	NM_057749, NP_477097	ENSG00000175305	0.276296837	4.419335902	3.68478495	0.000302795	0.014529431
55312	RFK	riboflavin kinase	9	NM_018339, NP_060809	ENSG00000135002	0.275586726	6.359056933	3.814448279	0.000187503	0.011622493
6782	HSPA13	heat shock protein 70kDa family, member 13	21	NM_006948, NP_008879	ENSG00000155304	0.274992372	6.068810293	3.029114128	0.002814153	0.040574012
5984	RFC4	replication factor C (activator 1) 4, 37kDa	3	NM_002916, NM_181573, NP_002907, NP_853551	ENSG00000163918	0.274589027	7.350232804	3.342639141	0.001009706	0.026513779
5603	MAPK13	mitogen-activated protein kinase 13	6	NM_002754, NP_002745	ENSG00000156711	0.274570726	6.882285352	3.968578777	0.000104387	0.009428586
7336	UBE2V2	ubiquitin-conjugating enzyme E2 variant 2	8	NM_003350, NP_003341	ENSG00000169139	0.274214678	7.980576769	3.084372084	0.002362109	0.038791642
23607	CD2AP	CD2-associated protein	6	NM_012120, NP_036252	ENSG00000198087	0.272329434	7.473076432	3.525227147	0.000536831	0.020560499
908	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	7	NM_001009186, NM_001762, NP_001009186, NP_001753	ENSG00000146731	0.272099942	7.426595004	3.811998844	0.00018923	0.011622493
29080	CCDC59	coiled-coil domain containing 59	12	NM_014167, NP_054886	ENSG00000133773	0.270166877	5.507858417	4.342265606	2.35174E-05	0.00555553
81689	ISCA1	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)	9	NM_030940, NP_112202	ENSG00000135070	0.269900578	7.446902766	2.998961761	0.003093186	0.042407023
5440	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	8	NM_005034, NP_005025	ENSG00000147669	0.268259917	7.046355253	2.98342175	0.003246725	0.043073327
3832	KIF11	kinesin family member 11	10	NM_004523, NP_004514	ENSG00000138160	0.265910216	4.905445797	2.934963855	0.00377157	0.046145388
51606	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	8	NM_015941, NM_213619, NM_213620, NP_057025, NP_998784, NP_998785	ENSG00000047249	0.263593414	8.473901526	3.055458162	0.002589535	0.039268981
54107	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	9	NM_017443, NP_059139, NR_027261	ENSG00000148229	0.263267077	6.662401148	3.393505644	0.000848925	0.025311153
10463	SLC30A9	solute carrier family 30 (zinc transporter), member 9	4	NM_006345, NP_006336	ENSG00000014824	0.263135455	7.534633687	3.171611187	0.001782917	0.033651874
1434	CSE1L	CSE1 chromosome segregation 1-like (yeast)	20	NM_001316, NP_001307	ENSG00000124207	0.262093569	8.426141263	3.237731806	0.001434914	0.030182341
64854	USP46	ubiquitin specific peptidase 46	4	NM_001134223, NM_022832, NP_001127695, NP_073743	ENSG00000109189	0.261658646	4.835119042	3.463063602	0.000667542	0.022043232
55745	MUDENG	MU-2/AP1M2 domain containing, death-inducing	14	NM_018229, NP_060699, NR_026895	ENSG00000053770	0.260893118	7.611794762	3.058685007	0.002563188	0.039213992
57019	CIAPIN1	cytokine induced apoptosis inhibitor 1	16	NM_020313, NP_064709	ENSG00000005194	0.259903835	6.807718218	3.860188074	0.000157872	0.011216778
701	BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	15	NM_001211, NP_001202	ENSG00000156970	0.257272903	6.084206865	3.274166101	0.001271259	0.028449451
8883	NAE1	NEDD8 activating enzyme E1 subunit 1	16	NM_001018159, NM_001018160, NM_003905, NP_001018169, NP_001018170, NP_003896	ENSG00000159593	0.256782354	8.002267701	2.981047367	0.003270792	0.043073327
28977	MRPL42	mitochondrial ribosomal protein L42	12	NM_014050, NM_172177, NM_172178, NP_054769, NP_751917, NP_751918	ENSG00000198015	0.255758857	8.251990135	2.98740764	0.00320669	0.043073327
79752	ZFAND1	zinc finger, AN1-type domain 1	8	NM_024699, NP_078975	ENSG00000104231	0.255167017	7.160720582	3.000295845	0.003080321	0.042407023
9821	RB1CC1	RB1-inducible coiled-coil 1	8	NM_001083617, NM_014781, NP_001077086, NP_055596	ENSG00000023287	0.254494628	6.974059956	2.92109262	0.003935524	0.047129337
55215	FANCI	Fanconi anemia, complementation group I	15	NM_001113378, NM_018193, NP_001106849, NP_060663	ENSG00000140525	0.254452479	5.870811758	3.351073054	0.000981217	0.026513779
10606	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	4	NM_001079524, NM_001079525, NM_006452, NP_001072992, NP_001072993, NP_006443	ENSG00000128050	0.253657041	8.417409553	3.306314027	0.00114146	0.028219777
55197	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A	18	NM_018170, NP_060640	ENSG00000141425	0.252805502	6.206371391	2.985836814	0.003222413	0.043073327
9604	RNF14	ring finger protein 14	5	NM_004290, NM_183398, NM_183399, NM_183400, NM_183401, NP_004281, NP_899645, NP_899646, NP_899647, NP_899648	ENSG00000013561	0.25204645	6.400430495	3.098332257	0.002259037	0.038611214
51290	ERGIC2	ERGIC and golgi 2	12	NM_016570, NP_057654	ENSG00000087502	0.25202464	7.451938513	2.912991722	0.004034267	0.04746833
6882	TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	6	NM_005643, NP_005634	ENSG00000064995	0.251850154	6.029093156	3.150192176	0.001911456	0.034327966
80010	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	9	NM_024945, NP_079221	ENSG00000178966	0.250797139	6.590630441	3.855470477	0.000160709	0.011216778
50814	NSDHL	NAD(P) dependent steroid dehydrogenase-like	X	NM_001129765, NM_015922, NP_001123237, NP_057006	ENSG00000147383	0.249768221	6.26978335	3.335480139	0.001034493	0.026513779
5713	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	16	NM_002811, NP_002802	ENSG00000103035	0.249539786	8.127098405	2.901213341	0.004181885	0.048280339
55179	FAIM	Fas apoptotic inhibitory molecule	3	NM_001033030, NM_001033031, NM_001033032, NM_018147, NP_001028202, NP_001028203, NP_001028204, NP_060617	ENSG00000158234	0.24936022	5.269888833	3.032215938	0.002786804	0.040369224
9474	ATG5	ATG5 autophagy related 5 homolog (S. cerevisiae)	6	NM_004849, NP_004840	ENSG00000057663	0.246746586	6.221014652	3.491494906	0.000604436	0.021687332
490	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	12	NM_001001323, NM_001682, NP_001001323, NP_001673	ENSG00000070961	0.246268525	5.568789381	3.762868667	0.000227222	0.012218544
55832	CAND1	cullin-associated and neddylation-dissociated 1	12	NM_018448, NP_060918	ENSG00000111530	0.24528388	7.347552393	3.102130741	0.00223172	0.038503438
1964	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	X	NM_001412, NP_001403	ENSG00000173674	0.244599228	7.71210155	2.97584263	0.003324122	0.043073327
528	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	8	NM_001695, NP_001686	ENSG00000155097	0.243089726	6.109544204	3.298875972	0.001170344	0.028219777
27440	CECR5	cat eye syndrome chromosome region, candidate 5	22	NM_017829, NM_033070, NP_060299, NP_149061	ENSG00000069998	0.242933899	6.875483627	3.507238473	0.000571945	0.021161981
10048	RANBP9	RAN binding protein 9	6	NM_005493, NP_005484	ENSG00000010017	0.240737823	7.206171962	3.147929669	0.001925524	0.034379556
5281	PIGF	phosphatidylinositol glycan anchor biosynthesis, class F	2	NM_002643, NM_173074, NP_002634, NP_775097	ENSG00000151665	0.239673617	6.850355936	2.914339884	0.004017678	0.047454962
10808	HSPH1	heat shock 105kDa/110kDa protein 1	13	NM_006644, NP_006635	ENSG00000120694	0.238898676	7.927444058	2.951497331	0.003584337	0.044564777
8624	PSMG1	proteasome (prosome, macropain) assembly chaperone 1	21	NM_003720, NM_203433, NP_003711, NP_982257	ENSG00000183527	0.235942849	7.562046102	3.367801879	0.000926915	0.026357011
2287	FKBP3	FK506 binding protein 3, 25kDa	14	NM_002013, NP_002004	ENSG00000100442	0.235082226	7.66627482	2.902956329	0.004159733	0.048205817
10799	RPP40	ribonuclease P/MRP 40kDa subunit	6	NM_006638, NP_006629	ENSG00000124787	0.234331261	6.762304694	3.484546382	0.00061932	0.021687332
5983	RFC3	replication factor C (activator 1) 3, 38kDa	13	NM_002915, NM_181558, NP_002906, NP_853536	ENSG00000133119	0.234065191	5.717792169	3.585822475	0.000432879	0.01772497
55508	SLC35E3	solute carrier family 35, member E3	12	NM_018656, NP_061126	ENSG00000175782	0.231882189	7.329044343	3.425043847	0.000761615	0.024112572
3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	5	NM_000859, NM_001130996, NP_000850, NP_001124468	ENSG00000113161	0.231284636	6.427268924	3.074600852	0.002436817	0.038891356
54951	COMMD8	COMM domain containing 8	4	NM_017845, NP_060315	ENSG00000169019	0.230542369	7.455370833	3.008390663	0.003003309	0.042308085
11073	TOPBP1	topoisomerase (DNA) II binding protein 1	3	NM_007027, NP_008958	ENSG00000163781	0.22907086	7.109198597	3.47788688	0.000633907	0.021687332
57380	MRS2	MRS2 magnesium homeostasis factor homolog (S. cerevisiae)	6	NM_020662, NP_065713	ENSG00000124532	0.228504957	5.750394135	3.886415339	0.000142946	0.010707014
51115	FAM82B	family with sequence similarity 82, member B	8	NM_016033, NP_057117	ENSG00000176623	0.22724068	6.464178489	3.108184047	0.002188817	0.037976593
86	ACTL6A	actin-like 6A	3	NM_004301, NM_177989, NM_178042, NP_004292, NP_817126, NP_829888	ENSG00000136518	0.226123006	5.921574888	3.777711055	0.000215043	0.012218544
1407	CRY1	cryptochrome 1 (photolyase-like)	12	NM_004075, NP_004066	ENSG00000008405	0.225852162	5.574550169	3.76643781	0.000224235	0.012218544
79441	HAUS3	HAUS augmin-like complex, subunit 3	4	NM_024511, NP_078787	ENSG00000214367	0.223138253	6.113796734	3.733327783	0.000253429	0.012971339
56647	BCCIP	BRCA2 and CDKN1A interacting protein	10	NM_016567, NM_078468, NM_078469, NP_057651, NP_510868, NP_510869	ENSG00000107949	0.221160702	6.709678322	2.945839979	0.003647422	0.045166267
5985	RFC5	replication factor C (activator 1) 5, 36.5kDa	12	NM_001130112, NM_001130113, NM_007370, NM_181578, NP_001123584, NP_001123585, NP_031396, NP_853556	ENSG00000111445	0.220089299	5.500076657	3.154234925	0.001886556	0.034262288
5481	PPID	peptidylprolyl isomerase D	4	NM_005038, NP_005029	ENSG00000171497	0.21987379	7.032933942	2.929671498	0.003833371	0.0462531
5557	PRIM1	primase, DNA, polypeptide 1 (49kDa)	12	NM_000946, NP_000937	ENSG00000198056	0.218960002	6.719498312	3.536979533	0.000514995	0.020276258
10592	SMC2	structural maintenance of chromosomes 2	9	NM_001042550, NM_001042551, NM_006444, NP_001036015, NP_001036016, NP_006435	ENSG00000136824	0.215431522	5.356187392	4.068219379	7.08352E-05	0.007769103
23074	UHRF1BP1L	UHRF1 binding protein 1-like	12	NM_001006947, NM_015054, NP_001006948, NP_055869	ENSG00000111647	0.214531156	5.238505499	3.066937542	0.002496928	0.038891356
412	STS	steroid sulfatase (microsomal), isozyme S	X	NM_000351, NP_000342	ENSG00000101846	0.214296723	5.27898741	3.337131996	0.001028724	0.026513779
57403	RAB22A	RAB22A, member RAS oncogene family	20	NM_020673, NP_065724	ENSG00000124209	0.208711722	7.394096681	3.042582687	0.002697165	0.039848294
57343	ZNF304	zinc finger protein 304	19	NM_020657, NP_065708	ENSG00000131845	0.208233162	5.486153107	3.044356548	0.002682096	0.039848294
56906	THAP10	THAP domain containing 10	15	NM_020147, NP_064532	ENSG00000129028	0.206437872	5.359222391	3.205862807	0.001593907	0.031992731
80273	GRPEL1	GrpE-like 1, mitochondrial (E. coli)	4	NM_025196, NP_079472	ENSG00000109519	0.205412508	7.301576457	2.960973665	0.003480905	0.043991192
90333	ZNF468	zinc finger protein 468	19	NM_001008801, NM_199132, NP_001008801, NP_954583	ENSG00000204604	0.205006969	4.107238365	4.168454842	4.76159E-05	0.007739814
11056	DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	17	NM_007010, NM_152300, NP_008941, NP_689513	ENSG00000141141	0.204492324	5.465792981	3.110406001	0.002173261	0.037920935
10165	SLC25A13	solute carrier family 25, member 13 (citrin)	7	NM_001160210, NM_014251, NP_001153682, NP_055066, NR_027662	ENSG00000004864	0.203640737	5.196893218	3.911874204	0.000129746	0.010485562
1477	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	20	NM_001033521, NM_001033522, NM_001324, NP_001028693, NP_001028694, NP_001315	ENSG00000101138	0.200758871	5.737904336	3.763833743	0.00022641	0.012218544
59348	ZNF350	zinc finger protein 350	19	NM_021632, NP_067645	ENSG00000171032, ENSG00000197619	0.199215459	4.792265224	3.2971138	0.001177285	0.028219777
5134	PDCD2	programmed cell death 2	6	NM_002598, NM_144781, NP_002589, NP_659005	ENSG00000071994	0.197490903	5.679341578	2.883381335	0.004414795	0.04948115
152559	PAQR3	progestin and adipoQ receptor family member III	4	NM_001040202, NP_001035292	ENSG00000163291	0.196585736	4.270114153	3.005456363	0.003031018	0.042362357
10393	ANAPC10	anaphase promoting complex subunit 10	4	NM_014885, NP_055700	ENSG00000164162	0.194853107	5.554137178	3.167774795	0.001805334	0.03380598
55278	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	6	NM_018292, NP_060762	ENSG00000130348	0.193395196	5.032728615	3.747065828	0.000240904	0.012539271
79918	SETD6	SET domain containing 6	16	NM_001160305, NM_024860, NP_001153777, NP_079136	ENSG00000103037	0.190908263	5.647830468	3.220052935	0.001521194	0.031143907
