Entrez	Gene Symbol	Gene Name	Chromosome	RefSeq	ENSEMBL	logFC (TamR v.s. TamS)	AveExpr	t	P.Value	adj.P.Val
26256	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	18	NM_012189, NM_138643, NM_138644, NM_153768, NM_153769, NM_153770, NP_036321, NP_619584, NP_619585, NP_722452, NP_722453, NP_722454	ENSG00000154040	-0.638504399	5.358465568	-3.948579481	0.000115523	0.020204084
90799	CCDC45	coiled-coil domain containing 45	17	NM_138363, NP_612372	ENSG00000141325	0.502061703	7.050138863	3.306311784	0.00115638	0.04807392
9133	CCNB2	cyclin B2	15	NM_004701, NP_004692	ENSG00000157456	0.697459326	7.820648074	3.404163193	0.000830289	0.040659235
9134	CCNE2	cyclin E2	8	NM_057749, NP_477097	ENSG00000175305	0.696964279	4.61025175	3.423632804	0.000776658	0.040034675
983	CDC2	cell division cycle 2, G1 to S and G2 to M	10	NM_001130829, NM_001786, NM_033379, NP_001124301, NP_001777, NP_203698	ENSG00000170312	0.862650456	6.683426413	3.321329994	0.00109957	0.047578512
83879	CDCA7	cell division cycle associated 7	2	NM_031942, NM_145810, NP_114148, NP_665809	ENSG00000144354	1.189182144	5.60977989	4.298905627	2.90405E-05	0.010939328
1033	CDKN3	cyclin-dependent kinase inhibitor 3	14	NM_001130851, NM_005192, NP_001124323, NP_005183	ENSG00000100526	0.859666541	6.630658738	3.643115497	0.000358795	0.029618995
1062	CENPE	centromere protein E, 312kDa	4	NM_001813, NP_001804	ENSG00000138778	0.687421637	5.568935263	3.355987796	0.000978258	0.04477638
1063	CENPF	centromere protein F, 350/400ka (mitosin)	1	NM_016343, NP_057427	ENSG00000117724	0.574952865	6.336967467	3.287906716	0.001229732	0.04837335
55839	CENPN	centromere protein N	16	NM_001100624, NM_001100625, NM_018455, NP_001094094, NP_001094095, NP_060925	ENSG00000166451	0.335791871	4.507111316	3.290275522	0.001220054	0.04837335
55165	CEP55	centrosomal protein 55kDa	10	NM_001127182, NM_018131, NP_001120654, NP_060601	ENSG00000138180	1.132337801	5.643126907	4.779323912	3.82348E-06	0.00436899
9023	CH25H	cholesterol 25-hydroxylase	10	NM_003956, NP_003947	ENSG00000138135	-0.610312465	4.745145975	-3.286725869	0.001234583	0.04837335
1123	CHN1	chimerin (chimaerin) 1	2	NM_001025201, NM_001822, NP_001020372, NP_001813	ENSG00000128656	0.506266867	7.414159294	3.281916478	0.001254526	0.04837335
1503	CTPS	CTP synthase	1	NM_001905, NP_001896	ENSG00000171793	0.475219435	6.85679994	3.780087748	0.00021765	0.025377002
1515	CTSL2	cathepsin L2	9	NM_001333, NP_001324	ENSG00000136943	0.646020249	5.830729596	4.496802753	1.28301E-05	0.006282892
1524	CX3CR1	chemokine (C-X3-C motif) receptor 1	3	NM_001337, NP_001328	ENSG00000168329	-0.987349174	7.567196576	-3.319162058	0.001107607	0.047578512
79901	CYBRD1	cytochrome b reductase 1	2	NM_001127383, NM_024843, NP_001120855, NP_079119	ENSG00000071967	-0.924280205	8.7197468	-3.453601136	0.00070041	0.038344041
260293	CYP4X1	cytochrome P450, family 4, subfamily X, polypeptide 1	1	NM_178033, NP_828847	ENSG00000186377	-1.754363167	8.395640173	-3.565492381	0.0004734	0.031353499
10926	DBF4	DBF4 homolog (S. cerevisiae)	7	NM_006716, NP_006707	ENSG00000006634	0.563287146	7.437780058	3.641499519	0.000360888	0.029618995
55635	DEPDC1	DEP domain containing 1	1	NM_001114120, NM_017779, NP_001107592, NP_060249	ENSG00000024526	0.67591117	4.654257405	3.658529141	0.000339402	0.029618995
55789	DEPDC1B	DEP domain containing 1B	5	NM_001145208, NM_018369, NP_001138680, NP_060839	ENSG00000035499	0.59432275	4.053428437	3.617056858	0.00039398	0.029681846
9787	DLGAP5	discs, large (Drosophila) homolog-associated protein 5	14	NM_001146015, NM_014750, NP_001139487, NP_055565	ENSG00000126787	0.968006819	5.606058093	4.061268428	7.47837E-05	0.017139096
23312	DMXL2	Dmx-like 2	15	NM_015263, NP_056078	ENSG00000104093	0.611920738	7.520298726	3.465435991	0.000672279	0.037840784
79075	DSCC1	defective in sister chromatid cohesion 1 homolog (S. cerevisiae)	8	NM_024094, NP_076999	ENSG00000136982	0.618015103	6.445594456	3.580503851	0.000448847	0.030957793
55040	EPN3	epsin 3	17	NM_017957, NP_060427	ENSG00000049283	0.7079602	7.103843408	3.78655195	0.000212505	0.025377002
9700	ESPL1	extra spindle pole bodies homolog 1 (S. cerevisiae)	12	NM_012291, NP_036423	ENSG00000135476	0.516350047	6.115184568	3.558017075	0.000486094	0.03140413
9156	EXO1	exonuclease 1	1	NM_003686, NM_006027, NM_130398, NP_003677, NP_006018, NP_569082	ENSG00000174371	0.50856566	5.568467366	3.27074914	0.001301997	0.049045207
2146	EZH2	enhancer of zeste homolog 2 (Drosophila)	7	NM_004456, NM_152998, NP_004447, NP_694543	ENSG00000106462	0.657093208	6.633286861	3.851817379	0.000166619	0.023312414
90362	FAM110B	family with sequence similarity 110, member B	8	NM_147189, NP_671722	ENSG00000169122	-0.603584747	7.009129617	-3.557268167	0.000487383	0.03140413
115572	FAM46B	family with sequence similarity 46, member B	1	NM_052943, NP_443175	ENSG00000158246	-1.126168865	7.455881687	-4.925940712	1.99959E-06	0.00436899
55215	FANCI	Fanconi anemia, complementation group I	15	NM_001113378, NM_018193, NP_001106849, NP_060663	ENSG00000140525	0.501161033	5.293295571	3.505970836	0.000583754	0.034441497
200933	FBXO45	F-box protein 45	3	NM_001105573, NP_001099043	ENSG00000174013	0.44012018	6.415825926	3.478887262	0.000641593	0.036925989
2237	FEN1	flap structure-specific endonuclease 1	11	NM_004111, NP_004102	ENSG00000168496	0.616323499	6.688383943	4.743994323	4.46088E-06	0.00436899
2305	FOXM1	forkhead box M1	12	NM_021953, NM_202002, NM_202003, NP_068772, NP_973731, NP_973732	ENSG00000111206	0.716898544	6.383877419	3.645293951	0.000355992	0.029618995
2553	GABPB1	GA binding protein transcription factor, beta subunit 1	15	NM_002041, NM_005254, NM_016654, NM_016655, NM_181427, NP_002032, NP_005245, NP_057738, NP_057739, NP_852092	ENSG00000104064	0.444532617	6.363324394	3.976617477	0.000103762	0.01954322
51053	GMNN	geminin, DNA replication inhibitor	6	NM_015895, NP_056979	ENSG00000112312	0.653465514	8.125704456	3.60153823	0.000416453	0.030452701
9687	GREB1	GREB1 protein	2	NM_014668, NM_033090, NM_148903, NP_055483, NP_149081, NP_683701	ENSG00000196208	-0.305496125	4.917918334	-3.789483879	0.000210209	0.025377002
2948	GSTM4	glutathione S-transferase mu 4	1	NM_000850, NM_147148, NP_000841, NP_671489, NR_024538	ENSG00000168765	-0.66999367	5.551626472	-4.20147492	4.29999E-05	0.013160645
51512	GTSE1	G-2 and S-phase expressed 1	22	NM_016426, NP_057510	ENSG00000075218	0.429514387	4.753120177	3.540415342	0.000517258	0.032474525
727957	HEATR7A	HEAT repeat containing 7A	8	NM_001099280, NM_001099281, NM_032450, NP_001092750, NP_001092751, NP_115826	ENSG00000179832	0.693608527	4.609296044	3.584107419	0.000443134	0.030957793
55355	HJURP	Holliday junction recognition protein	2	NM_018410, NP_060880	ENSG00000123485	0.547209677	5.901143848	3.676951576	0.00031752	0.029618995
22824	HSPA4L	heat shock 70kDa protein 4-like	4	NM_014278, NP_055093	ENSG00000164070	0.575174949	4.255820473	3.660046917	0.000337546	0.029618995
3419	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	15	NM_005530, NP_005521	ENSG00000166411	0.502578086	6.825735402	3.347440546	0.001006956	0.044827857
143879	KBTBD3	kelch repeat and BTB (POZ) domain containing 3	11	NM_152433, NM_198439, NP_689646, NP_940841	ENSG00000182359	-0.344531194	6.152543332	-3.40559209	0.000826238	0.040659235
23030	KDM4B	lysine (K)-specific demethylase 4B	19	NM_015015, NP_055830	ENSG00000127663	-0.500686708	8.74554298	-3.275033397	0.001283591	0.048726691
3832	KIF11	kinesin family member 11	10	NM_004523, NP_004514	ENSG00000138160	1.066977708	5.944589765	4.753167465	4.28615E-06	0.00436899
9928	KIF14	kinesin family member 14	1	NM_014875, NP_055690	ENSG00000118193	0.894617209	5.90071247	4.554913018	1.00442E-05	0.00619544
56992	KIF15	kinesin family member 15	3	NM_020242, NP_064627	ENSG00000163808	0.733569821	5.204795281	3.807307374	0.000196751	0.025377002
10112	KIF20A	kinesin family member 20A	5	NM_005733, NP_005724	ENSG00000112984	0.690883085	6.453226404	3.62595649	0.000381613	0.029662844
9493	KIF23	kinesin family member 23	15	NM_004856, NM_138555, NP_004847, NP_612565	ENSG00000137807	0.857805944	5.091011152	3.646433601	0.000354534	0.029618995
11004	KIF2C	kinesin family member 2C	1	NM_006845, NP_006836	ENSG00000142945	0.499342102	6.632023793	3.488313281	0.000620879	0.036195756
24137	KIF4A	kinesin family member 4A	X	NM_012310, NP_036442	ENSG00000090889	0.796988879	5.996424487	3.726441206	0.000265148	0.028854029
84823	LMNB2	lamin B2	19	NM_032737, NP_116126	ENSG00000176619	0.440605108	6.289028739	4.525206613	1.13863E-05	0.00619544
284023	LOC284023	hypothetical protein LOC284023	17	NR_024349	ENSG00000179859	-0.360334081	6.337132261	-3.635353987	0.000368952	0.029618995
7804	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	1	NM_001018054, NM_004631, NM_017522, NM_033300, NP_001018064, NP_004622, NP_059992, NP_150643	ENSG00000157193	0.486177003	5.155367171	4.221808754	3.9639E-05	0.013160645
55646	LYAR	Ly1 antibody reactive homolog (mouse)	4	NM_001145725, NM_017816, NP_001139197, NP_060286	ENSG00000145220	0.412257442	6.373070271	3.508477639	0.000578656	0.034441497
55388	MCM10	minichromosome maintenance complex component 10	10	NM_018518, NM_182751, NP_060988, NP_877428	ENSG00000065328	0.603558451	4.805843681	3.834954209	0.00017748	0.024142147
9833	MELK	maternal embryonic leucine zipper kinase	9	NM_014791, NP_055606	ENSG00000165304	0.828677203	7.14699878	4.54986738	1.02609E-05	0.00619544
4288	MKI67	antigen identified by monoclonal antibody Ki-67	10	NM_001145966, NM_002417, NP_001139438, NP_002408	ENSG00000148773	0.531877332	5.560747908	4.212641401	4.11219E-05	0.013160645
64151	NCAPG	non-SMC condensin I complex, subunit G	4	NM_022346, NP_071741	ENSG00000109805	0.898762806	5.658155514	3.881453089	0.000149045	0.022808536
57447	NDRG2	NDRG family member 2	14	NM_016250, NM_201535, NM_201536, NM_201537, NM_201538, NM_201539, NM_201540, NM_201541, NP_057334, NP_963293, NP_963294, NP_963831, NP_963832, NP_963833, NP_963834, NP_963835	ENSG00000165795	-0.480239615	6.437902549	-3.752561273	0.000240913	0.02743611
8382	NME5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	5	NM_003551, NP_003542	ENSG00000112981	-0.942767498	7.006232382	-3.54543398	0.000508186	0.032319316
51491	NOP16	NOP16 nucleolar protein homolog (yeast)	5	NM_016391, NP_057475	ENSG00000048162	0.424605375	7.330370741	3.521586232	0.00055267	0.03425857
51602	NOP58	NOP58 ribonucleoprotein homolog (yeast)	2	NM_015934, NP_057018	ENSG00000055044	0.651556503	9.929368347	3.669805538	0.000325845	0.029618995
79730	NSUN7	NOL1/NOP2/Sun domain family, member 7	4	NM_024677, NP_078953	ENSG00000179299	-0.641244236	4.90515165	-3.51003605	0.000575508	0.034441497
51203	NUSAP1	nucleolar and spindle associated protein 1	15	NM_001129897, NM_016359, NM_018454, NP_001123369, NP_057443, NP_060924	ENSG00000137804	0.800018308	7.690930787	4.089250252	6.70368E-05	0.017139096
4957	ODF2	outer dense fiber of sperm tails 2	9	NM_002540, NM_153437, NP_002531, NP_702915	ENSG00000136811	0.315301572	5.863841202	3.285014656	0.001241645	0.04837335
114876	OSBPL1A	oxysterol binding protein-like 1A	18	NM_018030, NM_080597, NP_060500, NP_542164	ENSG00000141447	-0.597145799	8.108165417	-3.621262732	0.000388089	0.029681846
23024	PDZRN3	PDZ domain containing ring finger 3	3	NM_015009, NP_055824	ENSG00000121440	-0.601029176	7.058534965	-3.411323475	0.000810174	0.040659235
254295	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1	9	NM_001100876, NM_001100877, NM_174933, NP_001094346, NP_001094347, NP_777593	ENSG00000175287	-0.915725337	6.946045007	-3.569997757	0.000465901	0.031353499
7941	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	6	NM_005084, NP_005075	ENSG00000146070	0.960336889	4.550483649	3.989096503	9.89029E-05	0.01954322
79660	PPP1R3B	protein phosphatase 1, regulatory (inhibitor) subunit 3B	8	NM_024607, NP_078883	ENSG00000173281	-0.493310588	7.116461753	-3.284927945	0.001242004	0.04837335
5534	PPP3R1	protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform	2	NM_000945, NP_000936	ENSG00000115953, ENSG00000221823	0.311541084	5.247042171	3.451156699	0.000706356	0.038344041
9055	PRC1	protein regulator of cytokinesis 1	15	NM_003981, NM_199413, NM_199414, NP_003972, NP_955445, NP_955446	ENSG00000198901	0.816288463	7.57279801	4.173251915	4.81194E-05	0.013861208
5718	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	17	NM_002816, NM_174871, NP_002807, NP_777360	ENSG00000197170	0.619938214	8.635859955	3.730955817	0.000260801	0.028854029
9050	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	18	NM_024430, NP_077748	ENSG00000152229	-0.503394968	6.781434775	-3.45989291	0.00068532	0.038136489
51651	PTRH2	peptidyl-tRNA hydrolase 2	17	NM_016077, NP_057161	ENSG00000141378	0.711272915	8.379660668	3.66027509	0.000337268	0.029618995
23387	QSK	serine/threonine-protein kinase QSK	11	NM_025164, NP_079440	ENSG00000160584	-0.683241057	6.637499944	-4.016201305	8.90843E-05	0.018967216
29127	RACGAP1	Rac GTPase activating protein 1	12	NM_001126103, NM_001126104, NM_013277, NP_001119575, NP_001119576, NP_037409	ENSG00000161800	0.526459693	9.307975371	3.410226862	0.000813225	0.040659235
25788	RAD54B	RAD54 homolog B (S. cerevisiae)	8	NM_012415, NP_036547	ENSG00000197275	0.647417312	5.739839255	3.445612563	0.000720018	0.038344041
157506	RDH10	retinol dehydrogenase 10 (all-trans)	8	NM_172037, NP_742034	ENSG00000121039	0.619898976	5.289377048	3.939364264	0.000119657	0.020205594
92840	REEP6	receptor accessory protein 6	19	NM_138393, NP_612402	ENSG00000115255	-0.899955534	8.450055481	-4.053777953	7.69982E-05	0.017139096
64283	RGNEF	Rho-guanine nucleotide exchange factor	5	NM_001080479, NP_001073948	ENSG00000214944	-0.298695614	5.426845705	-3.275382515	0.001282101	0.048726691
6198	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	17	NM_003161, NP_003152	ENSG00000108443	0.554732049	7.886012992	3.597236919	0.000422893	0.030454488
6241	RRM2	ribonucleotide reductase M2	2	NM_001034, NP_001025	ENSG00000171848	1.029606057	7.539645466	4.101606286	6.38654E-05	0.017139096
22902	RUFY3	RUN and FYVE domain containing 3	4	NM_001037442, NM_001130709, NM_014961, NP_001032519, NP_001124181, NP_055776	ENSG00000018189	0.381703203	6.599459749	3.407137775	0.000821876	0.040659235
146923	RUNDC1	RUN domain containing 1	17	NM_173079, NP_775102	ENSG00000198863	-0.459372617	7.402003767	-3.95676912	0.000111962	0.020204084
90507	SCRN2	secernin 2	17	NM_001145023, NM_138355, NP_001138495, NP_612364	ENSG00000141295	-0.422631925	6.788151138	-3.347487041	0.001006798	0.044827857
23541	SEC14L2	SEC14-like 2 (S. cerevisiae)	22	NM_012429, NM_033382, NP_036561, NP_203740	ENSG00000100003	-0.867546447	6.745029479	-3.431509625	0.000755897	0.039379009
348235	SKA2	spindle and kinetochore associated complex subunit 2	17	NM_001100595, NM_182620, NP_001094065, NP_872426	ENSG00000182628	0.602870598	8.303898207	3.713128079	0.000278371	0.029618995
80736	SLC44A4	solute carrier family 44, member 4	6	NM_025257, NP_079533	ENSG00000204385	-0.689309203	6.44860948	-3.305788469	0.001158408	0.04807392
23428	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	14	NM_012244, NM_182728, NP_036376, NP_877392	ENSG00000092068	-0.466721301	7.744822385	-3.7895034	0.000210194	0.025377002
10615	SPAG5	sperm associated antigen 5	17	NM_006461, NP_006452	ENSG00000076382	0.717246582	6.811225876	3.583189275	0.000444583	0.030957793
57405	SPC25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	2	NM_020675, NP_065726	ENSG00000152253	0.687677384	4.443374313	3.286252049	0.001236535	0.04837335
8614	STC2	stanniocalcin 2	5	NM_003714, NP_003705	ENSG00000113739	-1.326836191	9.147394272	-3.384299794	0.000888562	0.042659678
6491	STIL	SCL/TAL1 interrupting locus	1	NM_001048166, NM_003035, NP_001041631, NP_003026	ENSG00000123473	0.49698531	5.923941467	3.283618572	0.001247434	0.04837335
203328	SUSD3	sushi domain containing 3	9	NM_145006, NP_659443	ENSG00000157303	-1.165012391	7.964564	-3.902951513	0.000137414	0.02243054
94056	SYAP1	synapse associated protein 1, SAP47 homolog (Drosophila)	X	NM_032796, NP_116185	ENSG00000169895	0.622524461	9.29495156	3.368038709	0.000939091	0.043934931
7049	TGFBR3	transforming growth factor, beta receptor III	1	NM_003243, NP_003234	ENSG00000069702	-1.266172655	6.786891631	-3.872407318	0.000154213	0.022884317
10189	THOC4	THO complex 4	17	NM_005782, NP_005773	ENSG00000183684	0.41669792	7.509236907	3.288062962	0.001229092	0.04837335
200765	TIGD1	tigger transposable element derived 1	2	NM_145702, NP_663748	ENSG00000221944	0.444727879	5.713101993	3.326591564	0.001080291	0.047233788
84336	TMEM101	transmembrane protein 101	17	NM_032376, NP_115752	ENSG00000091947	-0.655839281	7.584708862	-3.982729913	0.000101354	0.01954322
131616	TMEM42	transmembrane protein 42	3	NM_144638, NP_653239	ENSG00000169964	-0.406962631	7.204141223	-3.639720752	0.000363205	0.029618995
283232	TMEM80	transmembrane protein 80	11	NM_001042463, NM_174940, NP_001035928, NP_777600	ENSG00000177042	-0.42073844	7.444478162	-3.445471213	0.00072037	0.038344041
29766	TMOD3	tropomodulin 3 (ubiquitous)	15	NM_014547, NP_055362	ENSG00000138594	0.509356667	4.592522377	3.796209154	0.000205031	0.025377002
7153	TOP2A	topoisomerase (DNA) II alpha 170kDa	17	NM_001067, NP_001058	ENSG00000131747	0.938300419	7.129077719	3.310958883	0.001138515	0.048063002
22974	TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	20	NM_012112, NP_036244	ENSG00000088325	0.75159135	7.082697312	3.565259016	0.000473792	0.031353499
54822	TRPM7	transient receptor potential cation channel, subfamily M, member 7	15	NM_017672, NP_060142	ENSG00000092439	0.308773826	5.745089741	3.355279171	0.000980608	0.04477638
22996	TTC39A	tetratricopeptide repeat domain 39A	1	NM_001080494, NM_001144832, NP_001073963, NP_001138304	ENSG00000085831	-0.879850509	9.11630602	-5.097423678	9.21294E-07	0.00436899
51174	TUBD1	tubulin, delta 1	17	NM_016261, NP_057345	ENSG00000108423	0.553799725	6.566453323	3.312820851	0.00113143	0.048063002
7296	TXNRD1	thioredoxin reductase 1	12	NM_001093771, NM_003330, NM_182729, NM_182742, NM_182743, NP_001087240, NP_003321, NP_877393, NP_877419, NP_877420	ENSG00000198431	0.549519589	8.440466565	3.892041015	0.000143204	0.022621691
7378	UPP1	uridine phosphorylase 1	7	NM_003364, NM_181597, NP_003355, NP_853628	ENSG00000183696	0.40849307	5.958414851	3.601406361	0.000416649	0.030452701
84669	USP32	ubiquitin specific peptidase 32	17	NM_032582, NP_115971	ENSG00000170832	0.530145532	6.079070983	3.656173347	0.0003423	0.029618995
93594	WDR67	WD repeat domain 67	8	NM_001145088, NM_145647, NP_001138560, NP_663622	ENSG00000156787	0.637335859	5.522816417	3.385952128	0.000883572	0.042659678
79818	ZNF552	zinc finger protein 552	19	NM_024762, NP_079038	ENSG00000178935	-0.736436728	9.604978509	-3.858791554	0.000162315	0.023312414
