Curated Gene Symbol	GO at level 3 and biological process	Genes (pool: ratio>3 and int>25% or confirmed; separated samples: ratio>2 and in most samples; Colorflip verified)	UniGene	Ratio	Gene Symbol	Gene Description
PCSK2	Metabolism	PCSK2: Proprotein convertase subtilisin/kexin type 2	Hs.93164	3.5	PCSK2	6
TPO	Metabolism	TPO: Thyroid peroxidase	Hs.2041	3.3	TPO	4
SLC25A15	Metabolism	SLC25A15: Solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	Hs.78457	4.1	SLC25A15	9
GAPDH	Metabolism	GAPDH: Glyceraldehyde-3-phosphate dehydrogenase		1.95	GAPDH	6
CKB	Metabolism	CKB: Creatine kinase B	Hs.173724	2.9	CKB	4
	Metabolism	MT-1l=MT1X	Hs.458273	4
ESM1	Morphogenesis	ESM1: Endothelial cell-specific molecule 1	Hs.41716	11.3	ESM1	5
PARD6A	Morphogenesis	PARD6A: Par-6 partitioning defective 6 homolog alpha (Caenorhabditis elegans)	Hs.112933	3.2	PARD6A	7
BIRC5	Death	BIRC5: Baculoviral IAP repeat-containing 5 (survivin)	Hs.1578	3.6	BIRC5	6
MKI67	Growth	MKI67: Antigen identified by monoclonal antibody Ki-67	Hs.80976	3	MKI67	6
RBBP9	Growth	RBBP9: Retinoblastoma-binding protein 9	Hs.69330	3.1	RBBP9	6
RPL26	Growth	RPL26: Ribosomal protein L26	Hs.406682	6.3	RPL26	6
COL4A2	Extracellular structure organization and biogenesis	COL4A2: Collagen, type IV, alpha 2	Hs.407912	3.3	COL4A2	7
COL9A3	Extracellular structure organization and biogenesis	COL9A3: Collagen, type IX, alpha 3	Hs.126248	19.5	COL9A3	7
COL17A1	Extracellular structure organization and biogenesis	COL17A1: Collagen, type XVII, alpha 1	Hs.117938	6.1	COL17A1	8
ZNF180	Transcription factors	ZNF180: Zinc-finger protein 180 (HHZ168)	Hs.130683	3.4	ZNF180	7
ZBTB40	Transcription factors	KIAA0478: KIAA0478 gene product	Hs.528723	3.4	KIAA0478	9
TLE6	Transcription factors	FLJ14009: Transducin-like enhancer protein 6	Hs.128417	5.9	FLJ14009	9
HR	Transcription factors	HR: Hairless homolog (mouse)	Hs.272367	3.9	HR	3
TCEA2	Transcription factors	TCEA2: Transcription elongation factor A (SII), 2	Hs.80598	4	TCEA2	6
GGNBP2	Transcription factors	LZK1: C3HC4-type zinc-finger protein (ZNF403)	Hs.149055	3	LZK1	5
ENTPD1	Cellular physiological processes	ENTPD1: Ectonucleoside triphosphate diphospho-hydrolase 1	Hs.205353	3.4	ENTPD1	7
AQP5	Cellular physiological processes	AQP5: Aquaporin 5	Hs.298023	4.7	AQP5	5
CACNA1D	Cellular physiological processes	CACNA1D: Calcium channel, voltage-dependent, L type, alpha 1D subunit	Hs.23838	4.4	CACNA1D	8
RAB3A	Cellular physiological processes	RAB3A: RAB3A, member RAS oncogene family	Hs.27744	3.5	RAB3A	6
CNTD2	Cellular physiological processes	FLJ13265: Hypothetical protein FLJ13265	Hs.212640	4.5	FLJ13265	9
KCND2	Cellular physiological processes	KCND2: Potassium voltage-gated channel, Shal-related subfamily, member 2	Hs.202687	3.1	KCND2	6
STX7	Cellular physiological processes	STX7: Syntaxin7	Hs.8906	2	STX7	5
ALPI	Cellular physiological processes	ALPI: Alkaline phosphatase, intestinal	Hs.37009	3.1	ALPI	5
SNAP25	Cellular physiological processes	SNAP25: Synaptosomal-associated protein, 25 kDa	Hs.221974	3	SNAP25	7
SERPING1	Cellular physiological processes	SERPING1: Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	Hs.384598	2	SERPING1	9
ACAP3	Varia	CENTB5: Centaurin, beta 5	Hs.21446	4.9	CENTB5	7
CTAGE5	Varia	MGEA6: Meningioma expressed antigen 6 (coiled-coil proline-rich)	Hs.117242	3.9	MGEA6	6
FCGBP	Varia	FCGBP: Fc fragment of IgG-binding protein	Hs.111732	2	FCGBP	6
TMEM59L	Varia	C19orf4: Chromosome 19 open reading frame 4	Hs.5012	7.4	C19orf4	8
CPSF3L	Varia	FLJ20542: Hypothetical protein FLJ20542	Hs.6449	6.4	FLJ20542	9
AKAP17A	Varia	DXYS155E: DNA segment on chromosome X and Y (unique) 155 expressed sequence	Hs.21595	6.1	DXYS155E	9
TMC6	Varia	LAK-4P: Expressed in activated T/LAK lymphocytes (EVER1)	Hs.16165	5	LAK-4P	7
SLC45A4	Varia	KIAA1126: KIAA1126 protein	Hs.44087	4.7	KIAA1126	9
	Varia	FLJ14351: Hypothetical protein FLJ14351	Hs.116104	4.6	FLJ14351	9
C17orf76-AS1	Varia	MGC40157: Hypothetical protein MGC40157	Hs.270232	4.2	MGC40157	9
CARNS1	Varia	KIAA1394: KIAA1394 protein	Hs.32156	3.9	KIAA1394	9
PRR7	Varia	MGC10772: Hypothetical protein MGC10772 (PRR7)	Hs.130316	3.9	MGC10772	9
DNAJC22	Varia	FLJ13236: Hypothetical protein FLJ13236	Hs.170298	3.9	FLJ13236	9
	Varia	DKFZP564C152: DKFZP564C152 protein (mucin20)	Hs.69321	3.6	DKFZP564C152	13
C3orf52	Varia	FLJ23186: Hypothetical protein FLJ23186	Hs.434247	3.5	FLJ23186	9
ASCC2	Varia	FLJ21588: ASC-1 complex subunit P100 (ASCC2: activating signal cointegrator 1 complex subunit 2)	Hs.334686	3.4	FLJ21588	9
PPM1H	Varia	KIAA1157: KIAA1157 protein, PPM1H protein phosphatase 1H (PP2C domain containing)	Hs.21894	3.4	KIAA1157	9
TMEM181	Varia	KIAA1423: KIAA1423 protein	Hs.274396	3.4	KIAA1423	9
RRP12	Varia	KIAA0690: KIAA0690 protein	Hs.434251	3.3	KIAA0690	9
EXPH5	Varia	SLAC2-B: SLAC2-B	Hs.138380	3.2	SLAC2-B	8
	Varia	LOC64150: Uterine-derived 14 kDa protein	Hs.173780	3.1	LOC64150	9
RAB11FIP4	Varia	MGC11316: Hypothetical protein MGC11316 (rab11-FIP4)	Hs.7985	3.1	MGC11316	9
	Varia	S100 alpha protein a1	Hs.433503	3.1
	Varia	IgG Fc-binding protein (FCGBP)	Hs.111732	2.3
	Varia	trp-1: Alternatively spliced trp-1 protein and unspliced trp-1 protein		2.1	trp-1	6
