Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
TYW3	A_23_P103180	chr1:75218005-75218064	TYW3	NR_027962			F	0.8482	-1.1789	0.000060979	1777.233	1497.3359	13
RC3H1	A_23_P103334	chr1:173907797-173907856	RC3H1	NM_172071	Ring finger and CCCH-type zinc finger domains 1	molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|negative regulation of T-helper cell differentiation|IEA|GO:0045623|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	F	0.8294	-1.2056	0.0033	157.497	126.996	13
OVGP1	A_23_P103756	chr1:111957269-111957328	OVGP1	NM_002557	Oviductal glycoprotein 1, 120kDa	molecular function|catalytic activity|IEA|GO:0003824|GOA|na//molecular function|cation binding|IEA|GO:0043169|GOA|na//molecular function|chitinase activity|IEA|GO:0004568|GOA|na//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//biological process|chitin catabolic process|IEA|GO:0006032|GOA|na//biological process|female pregnancy|TAS|GO:0007565|GOA|9341614//biological process|single fertilization|IEA|GO:0007338|GOA|na//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|transport vesicle|IEA|GO:0030133|GOA|na	F	0.7699	-1.2989	1.79E-12	542.0784	416.3211	13
HIPK1	A_23_P103787	Chromosome Coordinate (hg19)	HIPK1	NM_198269	Homeodomain interacting protein kinase 1	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x4331cd4)//molecular function|protein serine/threonine kinase activity|IEA|GO:0004674|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis|IEA|GO:0042771|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|smoothened signaling pathway|IEA|GO:0007224|GOA|na//cellular component|PML body|IEA|GO:0016605|GOA|na//cellular component|centrosome|IDA|GO:0005813|GOA|18029348//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nuclear speck|IEA|GO:0016607|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	F	0.8381	-1.1932	0.000014107	121.82	102.0352	12
	A_23_P103951	chr1:207533441-207533495					M	1.1816	1.1816	0.000001881	3540.9026	4169.0869	13
CYP4Z1	A_23_P103971	chr1:47583883-47583942	CYP4Z1	NM_178134	Cytochrome P450, family 4, subfamily Z, polypeptide 1	molecular function|aromatase activity|IEA|GO:0070330|GOA|na//molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|monooxygenase activity|IEA|GO:0004497|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	F	0.6665	-1.5004	4.28E-06	452.3354	295.3628	12
PAPSS2	A_23_P104493	chr10:89504960-89505619	PAPSS2	NM_004670	3-phosphoadenosine 5-phosphosulfate synthase 2	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|adenylylsulfate kinase activity|IEA|GO:0004020|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|nucleotidyltransferase activity|ISS|GO:0016779|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|sulfate adenylyltransferase (ATP) activity|ISS|GO:0004781|GOA|na//biological process|skeletal system development|TAS|GO:0001501|GOA|9771708//biological process|sulfate assimilation|IEA|GO:0000103|GOA|na	F	0.8459	-1.1822	1.26E-10	3079.8936	2611.9221	12
	A_23_P105815	chr13:20618737-20618796		BC008631			M	1.1945	1.1945	0.0044	295.6585	357.6399	12
MBTD1	A_23_P107238	chr17:49269755-49269814	MBTD1	AK124061	Mbt domain containing 1	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8449	-1.1836	0.0007	178.7375	149.8758	12
SPOP	A_23_P107257	chr17:47679227-47679279	SPOP	NM_003563	Speckle-type POZ protein	molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|mRNA processing|TAS|GO:0006397|GOA|9414087//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8625	-1.1595	6.03E-08	1110.9573	958.5852	13
AQP4	A_23_P107565	chr18:24440797-24441134	AQP4	NM_004028	Aquaporin 4	molecular function|transporter activity|IEA|GO:0005215|GOA|na//molecular function|water transmembrane transporter activity|TAS|GO:0005372|GOA|7559426//biological process|excretion|TAS|GO:0007588|GOA|7528931//biological process|nervous system development|TAS|GO:0007399|GOA|7528931//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//biological process|transport|TAS|GO:0006810|GOA|7559426//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|7528931//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8141	-1.2283	0.0037	11.4377	9.4857	13
	A_23_P107578	chr18:8016691-8016750		AK022058			M	1.1952	1.1952	0.000003486	43.3004	51.5146	13
KLK10	A_23_P107911	chr19:51517596-51517655	KLK10	NM_145888	Kallikrein-related peptidase 10	molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|serine-type endopeptidase activity|IEA|GO:0004252|GOA|na//molecular function|serine-type peptidase activity|TAS|GO:0008236|GOA|8764136//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na	M	1.5752	1.5752	2.61E-06	22.5741	35.4662	12
FHL2	A_23_P108751	chr2:105977302-105977361	FHL2	NM_201557	Four and a half LIM domains 2	molecular function|androgen receptor binding|NAS|GO:0050681|GOA|15572661//molecular function|identical protein binding|IPI|GO:0042802|GOA|18255255//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1579924)//molecular function|transcription coactivator activity|NAS|GO:0003713|GOA|15572661//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|androgen receptor signaling pathway|NAS|GO:0030521|GOA|15572661//biological process|osteoblast differentiation|IEA|GO:0001649|GOA|na//biological process|positive regulation of transcription, DNA-dependent|NAS|GO:0045893|GOA|15572661//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|IEA|GO:0006357|GOA|na//biological process|response to hormone stimulus|IMP|GO:0009725|GOA|17975004//cellular component|M band|IEA|GO:0031430|GOA|na//cellular component|Z disc|IEA|GO:0030018|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IDA|GO:0005856|GOA|18029348//cellular component|focal adhesion|IDA|GO:0005925|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	F	0.7539	-1.3265	2.60E-09	5222.0137	3937.894	13
MOB1A	A_23_P108922	chr2:74382185-74382244	MOBKL1B	AL122062	MOB1, Mps One Binder kinase activator-like 1B (yeast)	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xc6ac20)	F	0.8605	-1.1621	5.81E-07	910.128	783.3891	13
CHEK2	A_23_P109452	chrY:13573072-13573131	CHEK2	NM_145862	CHK2 checkpoint homolog (S. pombe)	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2e7d1fc)//molecular function|protein serine/threonine kinase activity|TAS|GO:0004674|GOA|9836640//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|DNA damage checkpoint|TAS|GO:0000077|GOA|ARRAY(0x2ee4c5c)//biological process|DNA damage response, signal transduction|IDA|GO:0042770|GOA|14744935//biological process|DNA damage response, signal transduction resulting in induction of apoptosis|IDA|GO:0008630|GOA|12402044//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|response to DNA damage stimulus|TAS|GO:0006974|GOA|ARRAY(0x2fa9fd4)//biological process|senescence|IDA|GO:0010149|GOA|15149599//cellular component|PML body|IDA|GO:0016605|GOA|12402044//cellular component|chromosome, telomeric region|IDA|GO:0000781|GOA|15149599//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.7723	-1.2948	4.16E-07	375.0243	288.8034	12
LPHN3	A_23_P10980	chr4:62937245-62937304	LPHN3	NM_015236	Latrophilin 3	molecular function|G-protein coupled receptor activity|NAS|GO:0004930|GOA|10994649//molecular function|sugar binding|IEA|GO:0005529|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|NAS|GO:0007186|GOA|10994649//biological process|neuropeptide signaling pathway|IEA|GO:0007218|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|integral to membrane|NAS|GO:0016021|GOA|10994649//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.7682	-1.3017	8.63E-10	57.5319	44.3255	13
MSMO1	A_23_P110184	chr4:166263190-166263249	SC4MOL	NM_006745	Sterol-C4-methyl oxidase-like	molecular function|C-4 methylsterol oxidase activity|EXP|GO:0000254|GOA|8663358//molecular function|iron ion binding|IEA|GO:0005506|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|fatty acid biosynthetic process|IEA|GO:0006633|GOA|na//biological process|fatty acid metabolic process|TAS|GO:0006631|GOA|8663358//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|steroid metabolic process|TAS|GO:0008202|GOA|8663358//biological process|sterol biosynthetic process|IEA|GO:0016126|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|8663358//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|TAS|GO:0005886|GOA|8663358	F	0.8461	-1.1818	0.0002	23457.6348	19754.2422	13
HERC5	A_23_P110196	chr4:89426889-89426948	HERC5	NM_016323	Hect domain and RLD 5	molecular function|acid-amino acid ligase activity|IEA|GO:0016881|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//biological process|protein modification process|IEA|GO:0006464|GOA|na//biological process|regulation of cyclin-dependent protein kinase activity|TAS|GO:0000079|GOA|10581175//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na	F	0.8279	-1.2079	0.0012	2371.0247	1971.3494	12
CWH43	A_23_P110319	chr4:49040053-49040098	CWH43	NM_025087	Cell wall biogenesis 43 C-terminal homolog (S. cerevisiae)	biological process|GPI anchor biosynthetic process|IEA|GO:0006506|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.6646	-1.5048	7.13E-06	190.3688	122.618	12
DUSP1	A_23_P110712	chr5:172195296-172195355	DUSP1	NM_004417	Dual specificity phosphatase 1	molecular function|MAP kinase tyrosine/serine/threonine phosphatase activity|IEA|GO:0017017|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|non-membrane spanning protein tyrosine phosphatase activity|TAS|GO:0004726|GOA|1406996//molecular function|protein binding|IPI|GO:0005515|GOA|16286470//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cellular response to hormone stimulus|IEA|GO:0032870|GOA|na//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|positive regulation of anti-apoptosis|IEA|GO:0045768|GOA|na//biological process|positive regulation of apoptosis|IEA|GO:0043065|GOA|na//biological process|protein amino acid dephosphorylation|IEA|GO:0006470|GOA|na//biological process|response to cAMP|IEA|GO:0051591|GOA|na//biological process|response to calcium ion|IEA|GO:0051592|GOA|na//biological process|response to estradiol stimulus|IEA|GO:0032355|GOA|na//biological process|response to glucocorticoid stimulus|IEA|GO:0051384|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to light stimulus|IEA|GO:0009416|GOA|na//biological process|response to oxidative stress|TAS|GO:0006979|GOA|1406996//biological process|response to retinoic acid|IEA|GO:0032526|GOA|na//biological process|response to testosterone stimulus|IEA|GO:0033574|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8399	-1.1906	1.08E-07	70069.0469	58904.1797	13
LECT2	A_23_P110777	chr5:135283062-135283121	LECT2	NM_002302	Leukocyte cell-derived chemotaxin 2	biological process|chemotaxis|IEA|GO:0006935|GOA|na//biological process|negative regulation of Wnt receptor signaling pathway|IEA|GO:0030178|GOA|na//biological process|skeletal system development|TAS|GO:0001501|GOA|9545637//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|TAS|GO:0005615|GOA|9266841	F	0.8663	-1.1543	1.47E-08	43104.1523	37272.8906	13
	A_23_P113263	chr3:142090067-142090126					F	0.757	-1.321	4.95E-06	249.4626	187.7304	13
CNNM3	A_23_P113405	chr2:97498818-97498877	CNNM3	NM_199078	Cyclin M3	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xccd5a0)//biological process|ion transport|IEA|GO:0006811|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.8495	-1.1772	0.000029906	530.9334	450.6352	12
TTTY13	A_23_P11397	chrY:23749464-23749523	TTTY13	NR_001537			M	1.1735	1.1735	0.0002	21.8362	25.9182	13
TBC1D8B	A_23_P114172	chrX:106118178-106118237	TBC1D8B	NM_017752	TBC1 domain family, member 8B (with GRAM domain)	molecular function|GTPase activator activity|IEA|GO:0005096|GOA|na//molecular function|Rab GTPase activator activity|IEA|GO:0005097|GOA|na//biological process|regulation of Rab GTPase activity|IEA|GO:0032313|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	0.8505	-1.1758	1.46E-07	1680.6189	1427.1113	13
HOOK1	A_23_P114879	chr1:60328519-60330332	HOOK1	NM_015888	Hook homolog 1 (Drosophila)	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|identical protein binding|IPI|GO:0042802|GOA|18799622//molecular function|microtubule binding|IEA|GO:0008017|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2f80bf4)//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|early endosome to late endosome transport|IMP|GO:0045022|GOA|18799622//biological process|endosome organization|IMP|GO:0007032|GOA|18799622//biological process|endosome to lysosome transport|IMP|GO:0008333|GOA|18799622//biological process|lysosome organization|IMP|GO:0007040|GOA|18799622//biological process|microtubule cytoskeleton organization|IEA|GO:0000226|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|protein transport|IEA|GO:0015031|GOA|na//biological process|spermatid development|IEA|GO:0007286|GOA|na//biological process|spermatogenesis|IEA|GO:0007283|GOA|na//cellular component|FHF complex|IDA|GO:0070695|GOA|18799622//cellular component|HOPS complex|IDA|GO:0030897|GOA|18799622//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|microtubule|IEA|GO:0005874|GOA|na	F	0.6927	-1.4436	8.54E-08	1275.4851	876.6558	13
MAEL	A_23_P114934	chr1:166991073-166991132	MAEL	NM_032858	Maelstrom homolog (Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|DNA methylation involved in gamete generation|ISS|GO:0043046|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|cell morphogenesis|IEA|GO:0000902|GOA|na//biological process|fertilization|IEA|GO:0009566|GOA|na//biological process|gene silencing by RNA|ISS|GO:0031047|GOA|na//biological process|male meiosis|IEA|GO:0007140|GOA|na//biological process|meiotic prophase I|IEA|GO:0007128|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|negative regulation of apoptosis|IEA|GO:0043066|GOA|na//biological process|negative regulation of gene expression|IEA|GO:0010629|GOA|na//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|piRNA metabolic process|ISS|GO:0034587|GOA|na//biological process|regulation of organ growth|IEA|GO:0046620|GOA|na//biological process|response to DNA damage stimulus|IEA|GO:0006974|GOA|na//biological process|spermatogenesis|ISS|GO:0007283|GOA|na//biological process|synapsis|IEA|GO:0007129|GOA|na//cellular component|P granule|ISS|GO:0043186|GOA|na//cellular component|XY body|IEA|GO:0001741|GOA|na//cellular component|autosome|IEA|GO:0030849|GOA|na//cellular component|chromatin|IEA|GO:0000785|GOA|na//cellular component|chromatin remodeling complex|IEA|GO:0016585|GOA|na//cellular component|chromatoid body|IEA|GO:0033391|GOA|na//cellular component|cytoplasm|ISS|GO:0005737|GOA|na//cellular component|nucleus|ISS|GO:0005634|GOA|na//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na//cellular component|piP-body|ISS|GO:0071547|GOA|na	F	0.7373	-1.3564	1.09E-06	35.5626	26.0068	13
SFTPA1	A_23_P115652	chr10:81372942-81372998	SFTPA1	NM_005411	Surfactant protein A1	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|lipid transporter activity|TAS|GO:0005319|GOA|2995821//molecular function|sugar binding|IEA|GO:0005529|GOA|na//biological process|respiratory gaseous exchange|IEA|GO:0007585|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IEA|GO:0005615|GOA|na//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	M	1.462	1.462	0.0014	33.7183	51.3101	12
PTGFR	A_23_P11674	chr1:79002524-79002583	PTGFR	NM_001039585	Prostaglandin F receptor (FP)	molecular function|G-protein coupled receptor activity|IEA|GO:0004930|GOA|na//molecular function|prostaglandin F receptor activity|IEA|GO:0004958|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|IEA|GO:0007186|GOA|na//biological process|parturition|TAS|GO:0007567|GOA|9918852//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|extracellular region|IDA|GO:0005576|GOA|10575000//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|8300593//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.8082	-1.2373	0.0012	24.7628	20.2701	12
SLC16A7	A_23_P117059	chr12:60173427-60173486	SLC16A7	NM_004731	Solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	molecular function|pyruvate secondary active transmembrane transporter activity|TAS|GO:0005477|GOA|9786900//molecular function|secondary active monocarboxylate transmembrane transporter activity|IEA|GO:0015355|GOA|na//molecular function|symporter activity|IEA|GO:0015293|GOA|na//biological process|pyruvate metabolic process|EXP|GO:0006090|GOA|7273846//biological process|pyruvate transport|TAS|GO:0006848|GOA|9786900//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|9786900//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|15917240	F	0.6457	-1.5486	3.64E-13	613.9156	388.1621	13
