Probe Set ID	Gene Symbol	Gene name
219978_s_at	NUSAP1	Nucleolar and spindle associated protein 1
203228_at	PAFAH1B3	Platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kda
219148_at	PBK	PDZ binding kinase
201202_at	PCNA	Proliferating cell nuclear antigen
209493_at	PDZK3	PDZ domain containing 3
201490_s_at	PPIF	Peptidylprolyl isomerase F (cyclophilin F)
218009_s_at	PRC1	Protein regulator of cytokinesis 1
206102_at	PSF1	DNA replication complex GINS protein PSF1
222077_s_at	RACGAP1	Rac gtpase activating protein 1
204146_at	RAD51AP1	RAD51 associated protein 1
201890_at	RRM2	Ribonucleotide reductase M2 polypeptide
209773_s_at	RRM2	Ribonucleotide reductase M2 polypeptide
204240_s_at	SMC2L1	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)
201663_s_at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)
209875_s_at	SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)
209218_at	SQLE	Squalene epoxidase
208079_s_at	STK6	Serine/threonine kinase 6
203046_s_at	TIMELESS	Timeless homolog (Drosophila)
202338_at	TK1	Thymidine kinase 1, soluble
201291_s_at	TOP2A	Topoisomerase (DNA) II alpha 170kda
201292_at	TOP2A	Topoisomerase (DNA) II alpha 170kda
210052_s_at	TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)
204822_at	TTK	TTK protein kinase
202954_at	UBE2C	Ubiquitin-conjugating enzyme E2C
202779_s_at	UBE2S	Ubiquitin-conjugating enzyme E2S
218349_s_at	ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)
204026_s_at	ZWINT	ZW10 interactor
213158_at	NA	Mrna; cdna dkfzp586b211 (from clone dkfzp586b211)
