# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001159|NM_001159	hgnc_symbol|AOX1|AOX1
refseq_dna|NM_006818|NM_006818	hgnc_symbol|MLLT11|MLLT11
refseq_dna|NM_001010919|NM_001010919	hgnc_symbol|RP1-93H18.5|RP1-93H18.5
refseq_dna|NM_002995|NM_002995	hgnc_symbol|XCL1|XCL1
refseq_dna|NM_006851|NM_006851	hgnc_symbol|GLIPR1|GLIPR1
refseq_dna|NM_001977|NM_001977	hgnc_symbol|ENPEP|ENPEP
refseq_dna|NM_182909|NM_182909	hgnc_symbol|FILIP1L|FILIP1L
refseq_dna|NM_000062|NM_000062	hgnc_symbol|SERPING1|SERPING1
refseq_dna|NM_018369|NM_018369	hgnc_symbol|DEPDC1B|DEPDC1B
refseq_dna|NM_007351|NM_007351	hgnc_symbol|MMRN1|MMRN1
refseq_dna|NM_007333|NM_007333	hgnc_symbol|KLRC3|KLRC3
embl|ENST00000370395|ENST00000370395	hgnc_symbol|ENST00000370395|ENST00000370395
refseq_dna|NM_005335|NM_005335	hgnc_symbol|HCLS1|HCLS1
refseq_dna|NM_000211|NM_000211	hgnc_symbol|ITGB2|ITGB2
refseq_dna|NM_000576|NM_000576	hgnc_symbol|IL1B|IL1B
refseq_dna|NM_018192|NM_018192	hgnc_symbol|LEPREL1|LEPREL1
refseq_dna|NM_032414|NM_032414	hgnc_symbol|PROK1|PROK1
refseq_dna|NM_001013642|NM_001013642	hgnc_symbol|LOC388610|LOC388610
refseq_dna|NM_005825|NM_005825	hgnc_symbol|RASGRP2|RASGRP2
refseq_dna|NM_182920|NM_182920	hgnc_symbol|ADAMTS9|ADAMTS9
refseq_dna|NM_017954|NM_017954	hgnc_symbol|CADPS2|CADPS2
refseq_dna|NM_001067|NM_001067	hgnc_symbol|TOP2A|TOP2A
refseq_dna|NM_003991|NM_003991	hgnc_symbol|EDNRB|EDNRB
refseq_dna|NM_175885|NM_175885	hgnc_symbol|MGC33846|MGC33846
refseq_dna|NM_003060|NM_003060	hgnc_symbol|SLC22A5|SLC22A5
refseq_dna|NM_004121|NM_004121	hgnc_symbol|GGTLA1|GGTLA1
refseq_dna|NM_020675|NM_020675	hgnc_symbol|SPBC25|SPBC25
refseq_dna|NM_018004|NM_018004	hgnc_symbol|TMEM45A|TMEM45A
refseq_dna|NM_002284|NM_002284	hgnc_symbol|KRT86|KRT86
refseq_dna|NM_005780|NM_005780	hgnc_symbol|LHFP|LHFP
refseq_dna|NM_002405|NM_002405	hgnc_symbol|MFNG|MFNG
refseq_dna|NM_002922|NM_002922	hgnc_symbol|RGS1|RGS1
embl|BC049823|BC049823	hgnc_symbol|RPL22L1|RPL22L1
refseq_dna|NM_001613|NM_001613	hgnc_symbol|ACTA2|ACTA2
refseq_dna|NM_002048|NM_002048	hgnc_symbol|GAS1|GAS1
refseq_dna|NM_001039355|NM_001039355	hgnc_symbol|SLC25A29|SLC25A29
refseq_dna|NM_018235|NM_018235	hgnc_symbol|CNDP2|CNDP2
refseq_dna|NM_003268|NM_003268	hgnc_symbol|TLR5|TLR5
refseq_dna|NM_012116|NM_012116	hgnc_symbol|CBLC|CBLC
refseq_dna|NM_000089|NM_000089	hgnc_symbol|COL1A2|COL1A2
refseq_dna|NM_152550|NM_152550	hgnc_symbol|SH3RF2|SH3RF2
refseq_dna|NM_000416|NM_000416	hgnc_symbol|IFNGR1|IFNGR1
refseq_dna|NM_015274|NM_015274	hgnc_symbol|MAN2B2|MAN2B2
refseq_dna|NM_001003395|NM_001003395	hgnc_symbol|TPD52L1|TPD52L1
refseq_dna|NM_005139|NM_005139	hgnc_symbol|ANXA3|ANXA3
refseq_dna|NM_153345|NM_153345	hgnc_symbol|TMEM139|TMEM139
refseq_dna|NM_207630|NM_207630	hgnc_symbol|ABCG1|ABCG1
refseq_dna|NM_198686|NM_198686	hgnc_symbol|RAB15|RAB15
refseq_dna|NM_005905|NM_005905	hgnc_symbol|SMAD9|SMAD9
embl|AF090937|AF090937	hgnc_symbol|SORBS2|SORBS2
entrezgene|AY358993|200634	hgnc_symbol|KRTCAP3|KRTCAP3
embl|ENST00000368025|ENST00000368025	hgnc_symbol|ENST00000368025|ENST00000368025
refseq_dna|NM_032831|NM_032831	hgnc_symbol|TMEM142B|TMEM142B
entrezgene|DQ249310|652995	hgnc_symbol|UCA1|UCA1
refseq_dna|NM_006741|NM_006741	hgnc_symbol|PPP1R1A|PPP1R1A
refseq_dna|NM_001677|NM_001677	hgnc_symbol|ATP1B1|ATP1B1
refseq_dna|NM_144765|NM_144765	hgnc_symbol|EVA1|EVA1
refseq_dna|NM_019625|NM_019625	hgnc_symbol|ABCB9|ABCB9
refseq_dna|NM_001038|NM_001038	hgnc_symbol|SCNN1A|SCNN1A
refseq_dna|NM_001311|NM_001311	hgnc_symbol|CRIP1|CRIP1
refseq_dna|NM_025080|NM_025080	hgnc_symbol|ASRGL1|ASRGL1
refseq_dna|NM_020987|NM_020987	hgnc_symbol|ANK3|ANK3
refseq_dna|NM_030929|NM_030929	hgnc_symbol|KAZALD1|KAZALD1
refseq_dna|NM_018281|NM_018281	hgnc_symbol|ECHDC2|ECHDC2
refseq_dna|NM_017977|NM_017977	hgnc_symbol|AIM1L|AIM1L
entrezgene|BC017382|54532	hgnc_symbol|USP53|USP53
refseq_dna|NM_000282|NM_000282	hgnc_symbol|PCCA|PCCA
refseq_dna|NM_001077710|NM_001077710	hgnc_symbol|FAM110C|FAM110C
embl|ENST00000370892|ENST00000370892	hgnc_symbol|ENST00000370892|ENST00000370892
refseq_dna|NM_004362|NM_004362	hgnc_symbol|CLGN|CLGN
refseq_dna|NM_017636|NM_017636	hgnc_symbol|TRPM4|TRPM4
refseq_dna|NM_005769|NM_005769	hgnc_symbol|CHST4|CHST4
refseq_dna|NM_002606|NM_002606	hgnc_symbol|PDE9A|PDE9A
refseq_dna|NM_173815|NM_173815	hgnc_symbol|FLJ37464|FLJ37464
refseq_dna|NM_003730|NM_003730	hgnc_symbol|RNASET2|RNASET2
refseq_dna|NM_004796|NM_004796	hgnc_symbol|NRXN3|NRXN3
refseq_dna|NM_016089|NM_016089	hgnc_symbol|ZNF589|ZNF589
refseq_dna|NM_001040153|NM_001040153	hgnc_symbol|SLAIN1|SLAIN1
refseq_dna|NM_000478|NM_000478	hgnc_symbol|ALPL|ALPL
refseq_dna|NM_144698|NM_144698	hgnc_symbol|ANKRD35|ANKRD35
refseq_dna|NM_021082|NM_021082	hgnc_symbol|SLC15A2|SLC15A2
refseq_dna|NM_001039614|NM_001039614	hgnc_symbol|LOC388135|LOC388135
refseq_dna|NM_001014446|NM_001014446	hgnc_symbol|OCIAD2|OCIAD2
refseq_dna|NM_152879|NM_152879	hgnc_symbol|DGKD|DGKD
refseq_dna|NM_025087|NM_025087	hgnc_symbol|FLJ21511|FLJ21511
refseq_dna|NM_017786|NM_017786	hgnc_symbol|FLJ20366|FLJ20366
refseq_dna|NM_018214|NM_018214	hgnc_symbol|LRRC1|LRRC1
refseq_dna|NM_152312|NM_152312	hgnc_symbol|GYLTL1B|GYLTL1B
refseq_dna|NM_018665|NM_018665	hgnc_symbol|DDX43|DDX43
refseq_dna|NM_201535|NM_201535	hgnc_symbol|NDRG2|NDRG2
refseq_dna|NM_015515|NM_015515	hgnc_symbol|KRT23|KRT23
embl|ENST00000211092|ENST00000211092	hgnc_symbol|LOC284422|LOC284422
refseq_dna|NM_006829|NM_006829	hgnc_symbol|C10orf116|C10orf116
refseq_dna|NM_006877|NM_006877	hgnc_symbol|GMPR|GMPR
refseq_dna|NM_001010926|NM_001010926	hgnc_symbol|HES5|HES5
refseq_dna|NM_002273|NM_002273	hgnc_symbol|KRT8|KRT8
refseq_dna|NM_172082|NM_172082	hgnc_symbol|CAMK2B|CAMK2B
refseq_dna|NM_000187|NM_000187	hgnc_symbol|HGD|HGD
refseq_dna|NM_024508|NM_024508	hgnc_symbol|ZBED2|ZBED2
refseq_dna|NM_000196|NM_000196	hgnc_symbol|HSD11B2|HSD11B2
refseq_dna|NM_024786|NM_024786	hgnc_symbol|ZDHHC11|ZDHHC11
refseq_dna|NM_205854|NM_205854	hgnc_symbol|SFTPG|SFTPG
entrezgene|AL137592|53905	hgnc_symbol|DUOX1|DUOX1
refseq_dna|NM_173160|NM_173160	hgnc_symbol|FXYD4|FXYD4
refseq_dna|NM_080734|NM_080734	hgnc_symbol|WFDC2|WFDC2
refseq_dna|NM_198277|NM_198277	hgnc_symbol|SLC37A2|SLC37A2
refseq_dna|NM_014553|NM_014553	hgnc_symbol|TFCP2L1|TFCP2L1
refseq_dna|NM_024626|NM_024626	hgnc_symbol|VTCN1|VTCN1
refseq_dna|NM_022746|NM_022746	hgnc_symbol|MOSC1|MOSC1
refseq_dna|NM_004173|NM_004173	hgnc_symbol|SLC7A4|SLC7A4
refseq_dna|NM_003280|NM_003280	hgnc_symbol|TNNC1|TNNC1
