f	Descriptor	HEV-EST accession #	Match accession #	Chromosome localization
4	Vascular cell adhesion molecule-1 (VCAM-1)	BM955661-664	M30257	1p21.2
4	Mitochondrial cytochrome oxidase subunit I (COX1)	BM955665-668	J01415	mitochondrion
3	90-kDa heat-shock protein (hsp90)	BM955669-671	X15183	14q32.31
3	CGI-44 protein weakly similar to fission yeast putative sulfide dehydrogenase	BM955635-537	AF042284	15q21.1
3	Alpha gene product (PRO1859)	BM955672-674	AF132202	11q13.1
3	Cathepsin O (Cathepsin K)	BM955675-677	U13665	1q21.1
3	CGI-119 protein weakly similar to NMDA receptor glutamate-binding subunit	BM955678-680	AF151877	12q14.2
3	CXC chemokine IP-10	BM955681-683	X02530	4q21
3	Decorin	BM959587-589	L01131	12q21.33
3	Esophagus cancer-related gene-2 (putative KAZAL-type serine protease inhibitor)	BM955684-686	AF268198	5q32
3	Intracellular chloride channel 4 (CLIC4)	BM955687-689	AL117424	1p36.11
3	p66shc (SHC protooncogene)	BM955690-692	U73377	1q23.1
3	Ran-binding protein 11	BM955693-695	AK001696	5q12.1
3	ETS-family transcription factor EHF (alternatively spliced 3?UTR)	BM955696-698	AF203977	11p12
3	EST-encoded unknown protein fragment with C-terminal protease inhibitor domain	BM955699-701	AA151535	17q23.2
3	EST contig transcribed from intron #4 of pre-B cell enhancing-factor gene	BM955702-704	AV715149	7q22.2
3	EST transcribed from chr 13q13.1—no dbEST match, no long ORF	BM955705-707	AL137142	13q13.1
3	EST transcribed from chr 3q25.33—no matching dbEST, no long ORF	BM955708-710	AC_016920	3q25.33
3	EST transcribed from (GAATG/C)n simple repeat	BM955711-713	n.a.	ambiguous
2	193-kD vault protein (VPARP), a novel poly(ADP-ribose) polymerase (KIAA0177 protein)	BM955714-715	D7999	13q12.2
2	ADAM-like disintegrin protease decysin 1	BM955716	Y13323	8p21.2
2	ADP-ribosylation factor-like protein 4	BM955717-718	U73960	7p21.3
2	Airway trypsin-like protease (HAT)	BM955803-804	AB002134	4q13.3
2	Androgen-induced prostate proliferative shutoff associated protein (AS3, KIAA0979 protein)	BM955719-720	U95825	13q12.3
2	Aryl hydrocarbon receptor (AHR)	BM955721-722	L19872	7p21.1
2	Calcium-activated chloride channel protein 4 (CLCA4)	BM955723-724	AF127035	1p22.3
2	cDNA FLJ10134 (1564 bp) encoding a 275 aa hypothetical protein with no homology to known proteins	BM955725-726	AK000996	2q31.1
2	cDNA FLJ23332 (2187 bp)—no long ORF	BM955727-728	AK026985	10q25.3
2	Cellular proto-oncoprotein c-Fos alternatively spliced 3?UTR	BM955729-730	V01512	14q24.3
2	CLIP-associating protein 1 (KIAA0622 protein), alternatively spliced	BM955731-732	AB014522	2q14.2
2	Complement control protein factor I (C3b/C4b inactivator)	BM955733-734	Y00318	4q25
2	Cytochrome c oxidase subunit VIIb (COX7B)	BM955735	Z14244	Xq21.1
2	Cytokeratin 4	BM955736-737	X07695	12q13.13
2	DAZ-associated protein 2 (KIAA0058 protein)	BM955738-739	D31767	2q33.3
2	Early activation antigen CD69 (C-type lectin)	BM955742-743	L07555	12p13.31
2	Endothelial PAS domain protein 1 (Ion 3?UTR, total contig: 4.8 kb)	BM955768-769	U81984	2p21
2	I?B/MAD-3 inhibitor of NF-?B	BM955744-745	M69043	14q13.2
2	Insulin-like growth factor binding protein 7 (MAC-25, prostacyclin-stimulating factor)	BM955746-747	S75725	4q12
2	Interleukin-1 receptor, alternatively spliced	BM955748-749	M27492	2q12.1
2	KIAA1673 protein (contains tandem RNA recognition motif)	BM955750-751	AB051460	5q35.2
2	mRNA DKFZp564I083 (3.7 kb) transcribed from intron #6 of TCF-4 gene (no long ORF)	BM955752-753	AL049279	18q21.2
2	NCK adaptor protein 1 (NCK1)	BM955754-755	X17576	3q22.3
2	Pre-B cell colony-enhancing factor factor	BM955756-757	U02020	7q22.2
2	Protein tyrosine phosphatase PTPCAAX1	BM955758-759	U48296	6q12
2	ras GTPase activating protein 1 (GAP-1)	BM955760-761	M23379	5q14.3
2	RNA polymerase II (140 kDa subunit)	BM955762-763	X63563	4q12
2	Sciellin, a LIM domain protein of the keratinocyte-cornified envelope	BM955764-765	AF045941	13q22.3
2	Sphingosine-1-phosphate lyase 1 (KIAA1252 protein)	BM955766-767	AB033078	10q22.1
2	EST mapping to an immature transcript from an exon of the ADAMTS-9 gene encoding part of its reprolysin domain	BM955770-771	AB037733	3p14.1
2	EST transcribed from chr 3q26.32 encoding hyp. 106 aa protein similar to XP_050883	BM955772-773	BG547095	3q26.32
2	EST transcribed from chr 6p22.3—no long ORF	BM955774-775	AI762522	6p22.3
2	EST transcribed from chr 6q22.33—no long ORF	BM955776-777	AV751509	6q22.33
2	EST transcribed from chr 9q22.31—no long ORF	BM955778-779	BE885558	9q22.31
2	EST contig (0.64 kb) encoding a 121-aa protein fragment with C-terminal WDMN-like protease inhibitor domain	BM955780-781	AA151535	17q23.2
2	EST-contig (0.7 kb) transcribed from chr 11q14.1—no long ORF	BM955782-783	AI733944	11q14.1
2	EST transcribed from chr 12p11.22—no dbEST match, no long ORF	BM955784-785	NT_009622	12p11.22
2	EST transcribed from chr 2p14—no dbEST match, no long ORF	BM955786-787	AC_012368	2p14
2	EST transcribed from chr 5p15—no dbEST match, no long ORF	BM955788-789	AC_021484	5q15
2	EST transcribed from chr 9q34.11—no dbEST match, no long ORF	BM955790	AL137068	9q34.11
2	EST transcribed from repeat element on chr. 11p15.5 (no dbEST match, no long ORF)	BM955791-792	NT_027246	11p15.5
2	polyA+ EST transcribed from chr 16q21—no dbEST match, no long ORF	BM955793-794	AC_009040	16q21
2	polyA+ EST transcribed from chr 3p24.3—no dbEST match, no long ORF	BM955795-796	AC_012089	3p24.3
2	polyA+ EST transcribed from chr 5q15—no dbEST match, no long ORF	BM955797-798	AC_099507	5q15
2	polyA+ EST transcribed from chr. 5p15—no dbEST match, no long ORF	BM955799-800	AC_099507	5q15
2	polyA+ EST transcribed from intron #4 of the selenium-binding protein 1 gene—no dbEST match, no long ORF	BM955801-802	AL589764	1q21.3
1	18S ribosomal RNA	BM955809	M10098	ambiguous
1	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 1	BM955985	L25798	5p12
1	60S ribosomal protein L13a (RPL13A)	BM955805	X56932	19q13.33
1	Actin-related protein Arp2	BM955965	AF006082	2p14
1	Actin-related protein Arp3	BM955806	AF006083	2q13
1	Actin-related protein p21Arc	BM955807	AF006086	12q24.11
1	Adipophilin (adipocyte differentiation-related protein)	BM955808	X97324	9p22.1
1	Alcohol dehydrogenase 1C, gamma 2 subunit	BM955810	M12272	4q24
1	Alpha endosulfine, a possible regulator of sulfonylurea-sensitive KATP channel	BM955811	AF067170	1q21.3
1	Annexin A1 (lipocortin)	BM955812	X05908	9q21.11
1	Apolipoprotein L, a high-density lipoprotein apolipoprotein expressed by the pancreas	BM955813	AF019225	22q12.3
1	Arfaptin 1, putative target protein of ADP-ribosylation factor	BM955966	U52521	4 (loc unknown)
1	ATP cassette-binding transporter 1 (ABC1)	BM955814	AF165281	9q31.3
1	Bacterial transposase insB	BM956104	AY009096	various
1	Baculoviral repeat containing inhibitor of apoptosis 2 (BIRC2)	BM955815	U37547	11q22.1
1	? 8 integrin alternative splice variant with long 3?UTR (total length of contig: 7.7 kb)	BM955967	M73780	7p21.1
1	?-actin	BM955816	X63432	7p22.1
1	Bumetanide-sensitive Na-K-Cl cotransporter (SLC12A2)	BM955817	U30246	5q23.3
1	C1orf8 protein (also known as “liver membrane-bound protein”)	BM955818	AF047439	1p32.3
1	Calmodulin 2	BM955819	M19311	2p21
1	cAMP-regulated guanine nucleotide exchange factor II	BM955820	U78516	2q31.1
1	Caspase 10 isoforms B (Fas-associated death domain protein, interleukin-1?-converting enzyme 2)	BM955821	U86214	2q33.2
1	CCR4-NOT transcription complex, subunit 2	BM955822	AF180473	12q15
1	CD39/vascular ATP diphosphohydrolase	BM955823	U87967	10q23.33
1	CD59/MEM-43 antigen	BM955824	M34671	11p13
1	CDA11 protein highly similar to Escherichia coli DNase tatD	BM955825	AF212250	8q24.13
1	CDC-like kinase 1 (CLK1)	BM955826	L29222	2q33.2
1	cDNA DKFZp586N012 (2905 bp)—no long ORF	BM955827	AL049471	10q21.2
1	cDNA FLJ10079 encoding likely ortholog to the bovine pyruvate dehydrogenase phosphatase regulatory subunit (AF026954)	BM955968	AK000941	16q22.1
1	cDNA FLJ10119 (1670 bp)—no long ORF	BM955828	AK000981	1q25.2
1	cDNA FLJ10335 (1678 bp) encoding an incomplete 386 aa hyp. protein with no homology to known proteins	BM955829	AK001197	2p16.1
1	cDNA FLJ11109 (2185 bp) encoding a hyp. 164 aa protein (XP_035949) with no homologies to known proteins	BM955830	AK001971	9p21.2
1	cDNA FLJ11273 extended (6283 bp tot. ctg.) encoding hyp. protein NP_060844 (no homology to known proteins)	BM955969	AK002135	7p21.3
1	cDNA FLJ11311 (1839 bp)—no long ORF	BM955831	AK002173	8q12.3
1	cDNA FLJ11572 (3393 bp) transcribed from unknown locus on chr 4—no long ORF	BM955832	AK021634	4 (loc unknown)
1	cDNA FLJ11896 (1701 bp) encoding hyp. protein NP_078887 (no homology to known proteins)	BM955833	AK021958	15q22.2
1	cDNA FLJ12085 (2489 bp) encoding a hyp. 674 aa protein weakly similar to yeast GYP proteins	BM955834	AK022147	12q21.1
1	cDNA FLJ14103 (2502 bp) encoding hyp. protein BAB14843 (no homology to known proteins)	BM955835	AK024165	Xp11.3
1	cDNA FLJ14162 (1891 bp) no long ORF, put. alt. spliced ERO1L mRNA	BM955836	AK024224	14q22.2
1	cDNA FLJ20020 (925 bp) encoding a 72-aa hyp. protein with no homologies to known proteins	BM955837	AK000027	18q12.1
1	cDNA FLJ20048 (2653 bp) encoding hyp. protein NP_060110 with no homologies to known proteins	BM955838	AK000055	6p22.2
1	cDNA FLJ20273 (4020 bp) encoding hyp. RNA-binding protein (BAA91049) highly similar to APOBEC-1 stimulating protein	BM955970	AK000280	4p13
1	cDNA FLJ21166 (1085 bp)—no long ORF	BM955839	AK024819	5q12.3
1	cDNA FLJ21487 (1926 bp)—no long ORF	BM955840	AK025140	1q41
1	cDNA FLJ21545 (2176 bp)—no long ORF	BM955841	AK025198	Xq13.2
1	cDNA FLJ21778 (2117 bp)—no long ORF	BM955842	AK025431	4p14
1	cDNA FLJ22093 (2294 bp) encoding hyp. dendritic cell protein DC42 (NP_112183)	BM955843	AK025746	3q26.32
1	cDNA FLJ22419 (1624 bp) encoding a 395-aa hyp. protein	BM955844	AK026072	3p24.3
1	cDNA FLJ22833 (3032 bp) encoding a hyp. 134-aa protein with no homology to known proteins	BM955845	AK026486	unknown
1	cDNA FLJ22875 (1019 bp) encoding hyp. protein NP_115607 (no homology to known proteins)	BM955846	BC008865	15q22.31
1	cDNA FLJ23245 (1851 bp)—no long ORF	BM955847	AK026898	3p13
1	cDNA FLJ23563 (2508 bp) encoding a 128-aa hyp. protein (CAB70777) with a GNS1/SUR4 domain	BM955848	AK027216	5q12.1
1	cDNA FLJ31517 (2403 bp)—no long ORF	BM955850	AK056079	21q21.3
1	cDNA FLJ32080 (3615 bp) encoding hyp. protein (AAH09111) with no homologies to known proteins	BM955851	AK056642	12q21.1
1	cDNA FLJ33105 (2297 bp) encoding putative oxidoreductase	BM955852	AK057667	8q12.1
1	cDNA from chr 1q24.2 encoding hyp. 160 aa protein (XP_044386) with no homology to known proteins	BM955971	AL035297	1q24.2
1	Ceruloplasmin (ferroxidase)	BM955972	M13536	3q24
1	CGI-107 protein homologous to Drosophila “Kisir”	BM955853	AF151865	20q13.32
1	CGI-97 protein with UPF0023 domain	BM955854	AK001779	7q11.21
1	Chondroitin synthase 1 (KIAA0990 protein)	BM955855	AB023207	15q26.3
1	Chronic myelogenous leukemia tumor antigen 66, alternative splice variant	BM955856	AF283301	8q23.2
1	Claudin-10 (OSP-like protein localized to tight junctions)	BM955857	U89916	13q32.1
1	CMP-sialic acid transporter (alternatively splice variant)	BM955858	BC017807	6q15
1	Coactosin-like protein	BM955859	BC010039	16q24.1
	Corneal N-acetylglucosamine 6-O-sulfotransferase (3?UTR)		AF219990
1	Cornichon-like protein (likely ortholog to Drosophila cornichon protein)	BM955860	AF104398	14q22.2
1	Cutaneous T cell lymphoma tumor antigen se70-2	BM955861	AF273052	13q31.1
1	Cysteine and glycine-rich protein 2 (CSRP2)	BM955862	U95018	12q21.2
1	Cysteinyl leukotriene receptor	BM955973	AF133266	Xq21.1
1	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase	BM955974	D86324	6p22.3
1	Cytokine-inducible SH2 protein 6 (CISH6, KIAA0671 protein)	BM955863	AF073958	2p21
1	Cytokine-like protein C17 (C17)	BM955864	AF193766	4p15-p16
1	D8Z2 (alpha satellite sequence specific to human chromosome 8)	BM955988	M64779	8c
1	DEAD/H box-binding protein 1 (DDXBP1), inhibitor of activated STAT-1	BM955865	AF167160	15q23
1	DEAD/H box polypeptide Y (DBY)	BM955866	AF000984	Yq11.221
1	Elongation factor 1 alpha subunit (EF-1 ?)	BM955867	X03558	6q14.1
1	Endofin, an endosomal FYVE domain protein (KIAA0305 protein)	BM955868	AB002303	5q14.1
1	Endoplasmin precursor (tumor rejection antigen 1)	BM955869	X15187	12q23.3
1	Endothelial cell multimerin	BM955870	U27109	4q22.1
1	ERF-1 (C3H-type zinc finger protein)	BM955871	X79067	14q24.1
1	ETS-related transcription factor ELF-1	BM955872	M82882	13q14.11
1	FK506-binding protein 1A (12 kD)	BM955873	M34539	20p13
1	Fragile X mental retardation protein (FMR-1)	BM955874	X69962	Xq27.3
1	GABA-A receptor pi subunit	BM955875	U95367	5q35.1
1	GDP dissociation inhibitor 2	BM955876	Y13286	10p14
1	Glutamate-ammonia ligase (glutamine synthase)	BM955877	X59834	1q25.3
1	GPI transamidase (likely ortholog to yeast GPI8)	BM955878	AF022913	1p31.1
1	GTP-binding protein G alpha-q	BM955975	U40038	9q21.2
1	GTP-binding protein ragB	BM955879	X90530	Xp11.22
1	Heat shock protein, likely ortholog to E. coli DnaJ	BM955880	L08069	9p13.3
1	Histone H3.3A, D, or C	BM955881	M11353	ambiguous
1	Histone H4G	BM955882	X60486	6p22.2
1	HSPC159 protein (galactose-binding lectin)	BM955976	AF161508	2p14
1	Hypothetical protein GS3686, highly similar to interferon-inducible microtubular aggregate protein (S48218)	BM955883	AB000115	1p31.1
1	IFN-gamma-inducible guanylate-binding protein 4	BM955884	AF288814	1p22.2
1	Immature (unspliced) transcript from gene encoding eukaryotic translation initiation factor 4A2 (D30655)	BM955885	AL137681	3q27.3
1	Immunoglobulin kappa light chain	BM955886	U72063	2p11.2
1	Immunoglobulin rearranged lambda chain V(VI)-J-C expressed in the Burkitt’s lymphoma cell line EB4	BM955887	X02422	22q11.22
1	Indolethylamine N-methyltransferase	BM955888	AF128847	7p14.3
1	Inhibitor of apoptosis protein-1 (MIHC)	BM956105	AF070674	11q22.1
1	Interferon-gamma receptor alpha chain	BM955889	J03143	6q24.1
1	Interleukin 1 receptor antagonist (IL1RN)	BM955890	X52015	2q13
1	Interleukin 6 (?-2 interferon)	BM955891	M54894	7p15.3
1	Interleukin 6 signal transducer (gp130, oncostatin M receptor) splice variant with long 3?UTR (total ctg: 7480 bp)	BM955977	M57230	5q11.2
1	Interleukin 7	BM955892	J04156	8q21.12
1	Interleukin 8	BM955893	M28130	4q13.3
1	KIAA0040 protein (no homology to known proteins)	BM955894	D25539	1q25.1
1	KIAA0256 protein, similar to SECIS-binding protein that is required for translation of mammalian selenoprotein mRNAs	BM955895	D87445	15q21.1
1	KIAA1376 protein, similar to a thioredoxin-interacting protein up-regulated by 1,25-dihydroxyvitamin D-3 (S73591)	BM955896	AB037797	5q15
1	KIAA1489 protein with tandem repeat of kelch domains	BM955897	AB040922	7p14.3
1	KIAA1560 protein, likely ortholog to mouse glycerol-3-phosphate acyltransferase	BM955898	AB046780	10q25.2
1	KIAA1712 protein (no homologies to known proteins)	BM955899	AB051499	4q34.1
1	Leucine-rich repeat-containing G protein-coupled receptor 7 (LRG7)	BM955900	AF190500	4q32.1
1	Likely ortholog to “mouse double minute 4,” a p53-binding protein (MDM4)	BM955901	AF007111	1q32.1
1	Likely ortholog to Arabidopsis thalianapleiotropic regulator 1 (PRL1)	BM955902	AF044333	4q31.2-q32.1
1	Likely ortholog to mouse Kik1 steroid dehydrogenase (LOC51144)	BM955903	AF078850	11p11.2
1	Likely orthologue to mouse homeobox protein TRH3 (AY029532)	BM955987	BG743450	15q26.3
1	Lipoma HMGIC fusion partner	BM955904	AF098807	13q14.11
1	Lymphocyte cytosolic protein 1 (L-plastin)	BM955905	NM_002298	13q14.3
1	Lysosomal alpha-galactosidase A	BM955906	X05790	Xq22.1
1	M5-14 protein (LOC51300), preferentially expressed in cardiac and skeletal muscle	BM955907	AF139077	3q13.32
1	Matrix Gla protein (mutations therein underlying Keutel syndrome)	BM955908	X53331	12p12.3
1	MDS010 gene product, likely ortholog ofDrosophila melanogaster CG17138 gene product	BM955909	AF168711	3q13.32
1	Microsomal signal peptidase 25 kDa subunit (SPC25, KIAA0102 protein)	BM955963	D14658	11q13.4
1	Mitochondrial ATP synthase/ATPase subunit 8	BM956108	J01415	mitochondrion
1	Mitochondrial cytochrome B	BM955910	J01415	mitochondrion
1	Mitochondrial phosphate carrier protein precursor isoform 1a	BM955911	X60036	12q23.1
1	Mitochondrial ribosomal protein S4	BM955912	AK001830	15q24.2
1	Monoamine oxidase-type A	BM955964	M69226	Xp11.3
1	NADH:ubiquinone oxidoreductase subunit B13	BM955913	U53468	7q31.33
1	NADH-ubiquinone oxidoreductase 42 kDa subunit	BM955914	AF087661	2q37.3
1	NEDD4 (“neural precursor cell expressed, developmentally down-regulated 4,” KIAA0093 protein)	BM955915	D42055	15q21.3
1	Negative regulator of transcription subunit 2 (alternatively splice variant)	BM955978	AF180473	12q15
1	Neuroblastoma RAS viral (v-ras) oncogene	BM955916	X02751	1p13.2
1	Olfactory receptor OR7E15P pseudogene	BM955917	U86219	10p13
1	OX-2 membrane glycoprotein precursor (CD200)	BM955919	AF063591	3q13.2
1	p53-induced protein PIGPC1 (THW)	BM955920	AF317550	6q24.1
1	Peptidylprolyl isomerase D (cyclophilin D)	BM955921	L11667	4q31.3
1	Poly(A)polymerase, polynucleotide adenyltransferase	BM955922	BC015150	14q32.2
1	Polymeric immunoglobulin receptor	BM955979	S62403	1q32.1
1	Pre-B-cell leukemia transcription factor PBX-1 (alt. splice variant with long 3?UTR contained in AK022962 & AL049281)	BM955986	M86546	1q23.3
1	Proapoptotic Apo-2 ligand (TNFSF10)	BM955923	U57059	3q26.31
1	Proton-gated amiloride-sensitive cation channel subunit (ASIC3)	BM955924	AF095897	7q36.1
1	PTPL1-associated RhoGAP (PARG1)	BM955925	U90920	1p22.1
1	Putative nuclear protein (ORF1-FL49)	BM955926	AJ245877	5q31.3
1	Ran-binding protein 2 (KIAA0036)	BM955927	AF012086	2q12.3
1	Ran/TC4 GTPase	BM955980	AF052578	12q24.33
1	Retinoid-binding protein 7	BM955928	AF399927	1p36.22
1	Rho GTPase-activating protein 5 (p190-B) alternative splice variant with long 3?UTR (total length of contig: 7074 bp)	BM955981	U17032	14q12
1	Rho guanine nucleotide exchange factor 3	BM955929	AF249744	3p21.1
1	Ribosomal protein L21 (RPL21)	BM955930	U14967	13q12.13
1	Ribosomal protein L30	BM955931	L05095	8q22.2
1	Ribosomal protein S25	BM955932	M64716	11q23.3
1	Ribosomal protein S29	BM955933	U14973	14q22.1
1	Ribosomal protein S6	BM955934	M20020	9p22.1
1	Serine (or cysteine) proteinase inhibitor SERPIN B9	BM955982	BC002538	6p25.2
1	Signal recognition particle 19 kD (SRP19)	BM955935	X12791	5q22.2
1	Sjogren syndrome antigen A2 (60 kD, ribonucleoprotein autoantigen SS-A/Ro)	BM955936	J04137	1q31.2
1	Small EDRK-rich factor 2 (SERF2)	BM955937	AF073298	15q15.3
1	Small proline-rich protein 1B (cornifin)	BM955938	M19888	1q22
1	Sorcin CP-22	BM955983	M32886	7q21.12
1	STAT-induced STAT inhibitor-2 (SOCS-2)	BM955939	AF037989	12q22
1	TC-1 (C8ORF4) overexpressed in thyroid cancer	BM955940	AF268037	8p11.21
1	Thymosin beta-10, TMSB10	BM955941	S54005	2p11.2
1	Thyroid receptor-interacting protein-7 (TRIP-7) alternatively spliced form	BM955942	AY043282	6q14.1
1	Tolloid-like metalloprotease 1 (TLL1)	BM955943	U91963	4q32.3
1	Transducin-like enhancer of split 2 (TLE-2) immature transcript from intron #12 and exon #13	BM955944	M99436	19p13.3
1	Translational initiation factor 2, alpha subunit (eIF-2?)	BM955945	J02645	14q23.3
1	Translational initiation factor 2, beta subunit (eIF-2?)	BM955946	M29536	20q11.21
1	Transmembrane glycoprotein gpNMB	BM955947	X76534	7p15.3
1	Tripartite motif-containing protein 2 (TRIM2, KIAA0517 protein)	BM955948	AB011089	4q31.3
1	Ubiquitin-conjugating enzyme E2 variant 2 (MMS2)	BM955949	AF049140	8q11.21
1	Ubiquitin-conjugating enzyme E2L 6 (UBE2L6)	BM955950	AF061736	11q12.1
1	Ubiquitous TPR motif, Y isoform (UTY)	BM955951	AF000994	Yq11.221
1	UDP-glucose ceramide glucosyltransferase (UGCG)	BM955952	D50840	9q32
1	UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase (O-GlcNAc transferase)	BM955953	AL050366	Xq13.2
1	Uncharacterized bone marrow protein BM036 (no homologies to known proteins)	BM955954	AF217512	14q31.1
1	Uroplakin 1B (UPK1B)	BM955955	AB002155	3q13.32
1	Vacuolar protein sorting protein 26	BM955956	AF175266	10q22.1
1	Vezatin (bridges myosin VIIA to the cadherin-catenins complex)	BM955957	AL137497	12q22
1	von Willebrand factor	BM955958	K03028	12p13.31
1	Werner Syndrome region protein-3 (WAS-3), a novel RGD-containing protein	BM955959	D84145	8p12
1	WNT receptor frizzled 6	BM955984	AB012911	8q22.3
1	X-linked ribosomal protein S4	BM955960	M58458	Xq13.2
1	Zinc finger homeobox protein 1 (ZHX1)	BM955961	AF106862	8q24.13
1	Zinc finger protein 185 (ZNF185) with LIM domain	BM955962	Y09538	Xq28
1	EST contig (0.7 kb) encoding a protein similar to TCP11, the likely ortholog of the mouse receptor of fertilization promoting peptide	BM955989	AW889933	12q23.3
1	EST contig (0.9 kb) transcribed from chr Xp11.4—no long ORF	BM955990	AA134566	Xp11.4
1	EST contig (1.02 kb) transcribed from chr 3q27—no long ORF	BM955991	BI086888	3q27.2
1	EST contig (1.3 kb) transcribed from chr 17q23.1—no long ORF	BM955992	BG697291	17q23.1
1	EST contig (2.2 kb) transcribed from chr 15q22.2—no long ORF	BM955993	AA133354	15q22.2
1	EST contig (2.4 kb) transcribed from chr 20q13.13—contains Alu repeat but no long ORF	BM955994	BG425762	20q13.13
1	EST contig (3.4 kb) encoding hyp. proteinXP_054235 likely ortholog to mouse tex261 protein (S47481)	BM955995	BC010656	2p13.2
1	EST transcribed from chr 10p12.31—no dbEST match, no long ORF	BM955996	AL157397	10p12.31
1	EST transcribed from chr 10p12.31—no dbEST match, no long ORF	BM955997	AL161653	10p12.31
1	EST transcribed from chr 10q11.23—no dbEST match, no long ORF	BM95998	AC_069547	10q11.23
1	EST transcribed from chr 10q24.32—no dbEST match, no long ORF	BM955999	AL358790	10q24.32
1	EST transcribed from chr 10q25.32—no dbEST match, no long ORF	BM956000	NT_008899	10q25.3
1	EST transcribed from chr 11q14.2—no dbEST match, no long ORF	BM956001	AP_002967	11q14.2
1	EST transcribed from chr 12q24.21—no dbEST match, no long ORF	BM956002	AC_026334	12q24.21
1	EST transcribed from chr 14q23.3—no dbEST match, no long ORF	BM956003	AL049871	14q23.3
1	EST transcribed from chr 15q22.2—no dbEST match, no long ORF	BM956004	AC_092868	15q22.2
1	EST transcribed from chr 15q22.2—no dbEST match, no long ORF	BM956005	AC_012404	15q22.2
1	EST transcribed from chr 16q13—no dbEST match, no long ORF	BM956006	AC_023825	16q13
1	EST transcribed from chr 18p11.31—no dbEST match, no long ORF	BM956007	AC_069496	18p11.31
1	EST transcribed from chr 1p13.2—no long ORF	BM956008	BG567992	1p13.2
1	EST transcribed from chr 1p31.1—no dbEST match, no long ORF	BM956009	AL354673	1p31.1
1	EST transcribed from chr 1p31.1—no dbEST match, no long ORF	BM956010	AL451087	1p31.1
1	EST transcribed from chr 1p36.11—no dbEST match, no long ORF	BM956011	AL445648	1p36.11
1	EST transcribed from chr 1p36.21—no dbEST match, no long ORF	BM956012	NT_004873	1p36.21
1	EST transcribed from chr 20p12.1—no dbEST match, no long ORF	BM956013	AL109983	20p12.1
1	EST transcribed from chr 2p16.1—no dbEST match, no long ORF	BM956014	AC_092461	2p16.1
1	EST transcribed from chr 2q33.3—no dbEST match, no long ORF	BM956015	AC_098831	2q33.3
