Rank Order	Symbol	GenBank ID	LocusLink	Affymetrix HG-U133Plus2.0 Probeset ID	log2 Fold Change from LUC R1881 vs. EtOH	Average Expression from all Experimental Conditions	t Statistic	p-value	adjusted p-value	B: Log odds of Differential Expression
50	NA	H95280	NA	239642_at	2.072	3.302	10.488	2.05E-06	5.38E-06	7.064
51	CCDC15	BG413368	80071	241360_at	2.34	5.174	10.31	2.38E-06	6.10E-06	6.91
52	CALU	U67280	813	200756_x_at	1.335	8.157	10.175	2.66E-06	6.59E-06	6.792
53	NA	AW979182	NA	243724_at	1.299	5.678	10.172	2.67E-06	6.59E-06	6.789
54	RAB3IP	AI436813	117177	238853_at	1.521	4.101	9.778	3.73E-06	9.04E-06	6.435
55	DIDO1	BE222450	11083	238920_at	1.198	2.838	9.618	4.28E-06	1.02E-05	6.289
56	SDK1	AF131799	221935	229407_at	1.624	2.723	9.435	5.03E-06	1.18E-05	6.117
57	RAB3IP	BE671491	117177	231399_at	1.576	4.015	9.413	5.13E-06	1.18E-05	6.097
58	CCL8	AI984980	6355	214038_at	2.567	3.411	9.396	5.21E-06	1.18E-05	6.08
59	DGKZ	AI567554	8525	239342_at	1.02	2.327	9.377	5.30E-06	1.18E-05	6.063
60	C6orf125	AI686131	84300	229443_at	1.211	4.448	9.331	5.53E-06	1.21E-05	6.018
61	ELMO2	NM_022086	63916	220363_s_at	1.783	7.408	9.281	5.78E-06	1.24E-05	5.971
62	VPS26B	AA514326	112936	230306_at	1.291	7.55	9.21	6.16E-06	1.30E-05	5.903
63	CITED2	NM_006079	10370	207980_s_at	1.161	9.758	9.195	6.24E-06	1.30E-05	5.889
64	LOC73005	AW014345	730051	236229_at	1.065	6.336	9.143	6.55E-06	1.34E-05	5.838
65	ZNF432	AF086256	9668	1556678_a_at	1.3	3.909	9.095	6.84E-06	1.38E-05	5.791
66	WFS1	BC030130	7466	1555270_a_at	1.399	6.8	9.009	7.41E-06	1.47E-05	5.707
67	ATP7B	NM_000053	540	204624_at	1.707	5.973	8.973	7.66E-06	1.49E-05	5.672
68	NA	AI281932	NA	230762_at	1.238	3.892	8.961	7.74E-06	1.49E-05	5.661
69	GRHL1	NM_014552	29841	1552685_a_at	1.557	6.142	8.572	1.12E-05	2.10E-05	5.27
70	MMP10	NM_002425	4319	205680_at	2.431	3.398	8.57	1.12E-05	2.10E-05	5.267
71	MGC13017	BC018086	91368	1554348_s_at	1.135	3.203	8.325	1.42E-05	2.63E-05	5.013
72	CALU	AF257659	813	214845_s_at	1.47	8.123	8.109	1.76E-05	3.21E-05	4.784
73	MAP2K4	AA810268	6416	203265_s_at	1.133	8.539	8.042	1.89E-05	3.36E-05	4.713
74	C6orf201	AA121544	404220	242739_at	1.125	3.405	8.038	1.90E-05	3.36E-05	4.708
75	ANK1	M28880	286	205391_x_at	1.98	4.163	7.987	1.99E-05	3.48E-05	4.653
76	LOC14448	AK054607	144481	1559315_s_at	1.225	3.155	7.853	2.29E-05	3.95E-05	4.507
77	CDC25A	AI343459	993	204695_at	1.662	6.256	7.796	2.43E-05	4.13E-05	4.444
78	KIAA1622	AB046842	57718	233002_at	1.183	3.125	7.724	2.62E-05	4.39E-05	4.364
79	SH3BP4	BF224439	23677	231468_at	1.022	3.053	7.573	3.07E-05	5.08E-05	4.195
80	NA	T94585	NA	1560071_a_at	1.077	2.783	7.538	3.18E-05	5.13E-05	4.156
81	FGD4	AA296351	121512	242445_at	2.072	3.579	7.535	3.19E-05	5.13E-05	4.151
82	DHRS2	NM_005794	10202	206463_s_at	1.829	3.606	7.53	3.21E-05	5.13E-05	4.146
83	EPS15L1	AK023744	58513	231926_at	1.35	3.308	7.444	3.52E-05	5.52E-05	4.047
84	CNTNAP2	AU144598	26047	219301_s_at	1.85	4.179	7.439	3.54E-05	5.52E-05	4.042
85	NA	AF052146	651803	214947_at	1.788	2.917	7.375	3.79E-05	5.84E-05	3.969
86	CYR61	AF003114	3491	210764_s_at	1.214	5.995	7.198	4.60E-05	7.01E-05	3.762
87	NA	BF438330	NA	227010_at	1.064	3.966	7.136	4.92E-05	7.41E-05	3.69
88	NA	AW972855	NA	222315_at	1.082	2.778	7.02	5.60E-05	8.34E-05	3.552
89	GNA12	AK024696	2768	221737_at	1.305	6.823	6.959	6.00E-05	8.83E-05	3.478
90	LARP2	AI339785	55132	231011_at	1.516	3.529	6.941	6.12E-05	8.91E-05	3.457
91	COG3	AI732206	83548	238228_at	1.636	4.701	6.925	6.23E-05	8.95E-05	3.437
92	NA	AC_004522	NA	217013_at	1.76	3.433	6.917	6.29E-05	8.95E-05	3.428
93	CLEC11A	NM_002975	6320	205131_x_at	1.154	3.925	6.773	7.42E-05	0.000104455	3.252
94	ANK1	NM_020479	286	208352_x_at	1.573	5.691	6.624	8.81E-05	0.000122838	3.068
95	FLJ43663	AL569506	378805	228702_at	2.075	4.218	6.544	9.67E-05	0.000133368	2.969
96	OR7E47P	AW514038	26628	222304_x_at	1.403	2.849	6.441	0.00010932	0.000149179	2.838
97	RBP2	AA398901	5948	230334_at	1.044	3.032	6.324	0.00012566	0.000169709	2.689
98	LRIG1	AI356774	26018	238339_x_at	1.044	4.349	6.29	0.00013104	0.000175167	2.644
99	LOC15774	AI499833	157740	239877_at	1.582	2.874	6.229	0.00014107	0.000184858	2.566
100	HIST1H4H	NM_003543	8365	208181_at	1.937	4.759	6.229	0.00014111	0.000184858	2.565
101	SSR3	AW150923	6747	222412_s_at	1.459	8.759	6.177	0.00015031	0.00019495	2.498
102	FBXL8	NM_018378	55336	220080_at	1.451	4.027	6.088	0.00016756	0.000214609	2.382
103	CDC25A	NM_001789	993	204696_s_at	1.273	3.801	6.083	0.00016874	0.000214609	2.375
104	SLAIN2	AV723459	57606	233230_s_at	1.133	6.082	6.047	0.00017642	0.000222218	2.327
105	DSCR1	AL049369	1827	215253_s_at	1.639	5.828	5.976	0.00019272	0.000240445	2.233
106	FAM73A	AI078279	374986	235125_x_at	1.053	8.307	5.926	0.00020508	0.000253449	2.167
107	WWTR1	AA081084	25937	202132_at	1.715	3.679	5.918	0.00020709	0.000253544	2.156
108	RAB3IP	AL119897	117177	238526_at	1.165	4.862	5.891	0.00021431	0.000259952	2.12
109	C18orf8	AU158529	29919	232345_at	1.091	4.233	5.851	0.00022549	0.000271	2.065
110	RASSF1	AI939548	11186	240278_at	1.06	3.235	5.711	0.00026964	0.000321119	1.875
111	ENTPD4	NM_004901	9583	204077_x_at	1.168	4.195	5.492	0.00035806	0.000422578	1.573
112	LOC44090	AA977481	440900	228603_at	1.412	5.055	5.36	0.0004268	0.000499201	1.386
113	FAM111B	AA960844	374393	1557129_a_at	1.03	4.774	5.315	0.00045295	0.000525098	1.322
114	MBNL1	AA093668	4154	235173_at	1.319	3.912	5.236	0.00050399	0.00057915	1.209
115	NA	AI807887	NA	239242_at	1.156	4.303	5.211	0.00052158	0.000594144	1.172
116	ARID5B	AL832681	84159	1563469_at	1.097	3.756	5.148	0.00056774	0.000641153	1.082
117	NA	BF109773	NA	243063_at	1.258	4.516	4.728	0.00102067	0.001142799	0.46
118	EXOC4	AI857698	60412	235974_at	1.048	3.735	4.705	0.00105344	0.001169499	0.426
119	ARID5B	AI289774	84159	241837_at	1.385	3.65	4.637	0.00116222	0.001279423	0.322
120	NA	AK023629	NA	233063_s_at	1.085	5.607	4.584	0.00125361	0.001368522	0.242
121	FLJ43663	AA417078	378805	238619_at	1.461	3.47	4.546	0.00132432	0.001433767	0.184
122	CAMKK2	AF140507	10645	210787_s_at	1.086	6.625	4.507	0.00140136	0.001504737	0.125
123	NA	BC042816	NA	1561595_x_at	1.195	4.098	4.466	0.00148822	0.001585016	0.061
124	RC3H2	BF972355	54542	230133_at	1.445	5.233	4.444	0.00153708	0.001623854	0.027
125	RIT2	NM_002930	6014	206984_s_at	1.154	3.651	4.427	0.00157524	0.001650854	0.001
126	CRIM1	NM_016441	51232	202552_s_at	1.107	3.732	4.31	0.00187405	0.001944312	-0.182
127	SC5DL	AK027246	6309	215064_at	1.49	4.664	4.306	0.00188494	0.001944312	-0.188
128	PTGER4	AI675173	5734	204896_s_at	1.375	2.327	3.997	0.00300111	0.003071447	-0.677
129	LMAN1	U09716	3998	203294_s_at	1.156	8.628	3.759	0.00433287	0.004400049	-1.061
130	C18orf8	AK024370	29919	232348_at	1.262	4.624	3.703	0.00473378	0.004770197	-1.153
131	CTH	NM_001902	1491	206085_s_at	1.045	4.827	3.342	0.00839341	0.008393406	-1.747
