# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_016369|NM_016369	hgnc_symbol|CLDN18|CLDN18
refseq_dna|NM_007085|NM_007085	hgnc_symbol|FSTL1|FSTL1
refseq_dna|NM_024082|NM_024082	hgnc_symbol|PRRG3|PRRG3
refseq_dna|NM_021229|NM_021229	hgnc_symbol|NTN4|NTN4
refseq_dna|NM_007085|NM_007085	hgnc_symbol|FSTL1|FSTL1
refseq_dna|NM_024082|NM_024082	hgnc_symbol|PRRG3|PRRG3
refseq_dna|NM_024082|NM_024082	hgnc_symbol|PRRG3|PRRG3
refseq_dna|NM_014917|NM_014917	hgnc_symbol|NTNG1|NTNG1
refseq_dna|NM_032784|NM_032784	hgnc_symbol|RSPO3|RSPO3
refseq_dna|NM_002193|NM_002193	hgnc_symbol|INHBB|INHBB
refseq_dna|NM_012242|NM_012242	hgnc_symbol|DKK1|DKK1
refseq_dna|NM_014859|NM_014859	hgnc_symbol|RICH2|RICH2
refseq_dna|NM_002185|NM_002185	hgnc_symbol|IL7R|IL7R
refseq_dna|NM_006206|NM_006206	hgnc_symbol|PDGFRA|PDGFRA
embl|AK055915|AK055915	hgnc_symbol|CDC42EP3|CDC42EP3
refseq_dna|NM_006449|NM_006449	hgnc_symbol|CDC42EP3|CDC42EP3
refseq_dna|NM_000828|NM_000828	hgnc_symbol|GRIA3|GRIA3
refseq_dna|NM_001001936|NM_001001936	hgnc_symbol|AFAP1L2|AFAP1L2
refseq_dna|NM_001135599|NM_001135599	hgnc_symbol|TGFB2|TGFB2
refseq_dna|NM_020134|NM_020134	hgnc_symbol|DPYSL5|DPYSL5
refseq_dna|NM_002462|NM_002462	hgnc_symbol|MX1|MX1
embl|S82024|S82024	hgnc_symbol|STMN2|STMN2
refseq_dna|NM_000204|NM_000204	hgnc_symbol|CFI|CFI
refseq_dna|NM_002837|NM_002837	hgnc_symbol|PTPRB|PTPRB
refseq_dna|NM_003612|NM_003612	hgnc_symbol|SEMA7A|SEMA7A
refseq_dna|NM_003877|NM_003877	hgnc_symbol|SOCS2|SOCS2
refseq_dna|NM_000204|NM_000204	hgnc_symbol|CFI|CFI
refseq_dna|NM_005544|NM_005544	hgnc_symbol|IRS1|IRS1
refseq_dna|NM_206943|NM_206943	hgnc_symbol|LTBP1|LTBP1
refseq_dna|NM_006258|NM_006258	hgnc_symbol|PRKG1|PRKG1
refseq_dna|NM_145307|NM_145307	hgnc_symbol|RTKN2|RTKN2
refseq_dna|NM_005100|NM_005100	hgnc_symbol|AKAP12|AKAP12
refseq_dna|NM_153819|NM_153819	hgnc_symbol|RASGRP2|RASGRP2
refseq_dna|NM_032777|NM_032777	hgnc_symbol|GPR124|GPR124
refseq_dna|NM_017563|NM_017563	hgnc_symbol|IL17RD|IL17RD
entrezgene|BC025765|219790	hgnc_symbol|RTKN2|RTKN2
refseq_dna|NM_206855|NM_206855	hgnc_symbol|QKI|QKI
refseq_dna|NM_000361|NM_000361	hgnc_symbol|THBD|THBD
refseq_dna|NM_002585|NM_002585	hgnc_symbol|PBX1|PBX1
refseq_dna|NM_000433|NM_000433	hgnc_symbol|NCF2|NCF2
refseq_dna|NM_138554|NM_138554	hgnc_symbol|TLR4|TLR4
refseq_dna|NM_005139|NM_005139	hgnc_symbol|ANXA3|ANXA3
refseq_dna|NM_004048|NM_004048	hgnc_symbol|B2M|B2M
refseq_dna|NM_002226|NM_002226	hgnc_symbol|JAG2|JAG2
refseq_dna|NM_170697|NM_170697	hgnc_symbol|ALDH1A2|ALDH1A2
refseq_dna|NM_000782|NM_000782	hgnc_symbol|CYP24A1|CYP24A1
refseq_dna|NM_006033|NM_006033	hgnc_symbol|LIPG|LIPG
refseq_dna|NM_000782|NM_000782	hgnc_symbol|CYP24A1|CYP24A1
refseq_dna|NM_002409|NM_002409	hgnc_symbol|MGAT3|MGAT3
entrezgene|L34035|4199	hgnc_symbol|ME1|ME1
refseq_dna|NM_004293|NM_004293	hgnc_symbol|GDA|GDA
refseq_dna|NM_144677|NM_144677	hgnc_symbol|MGAT5B|MGAT5B
refseq_dna|NM_033274|NM_033274	hgnc_symbol|ADAM19|ADAM19
refseq_dna|NM_052947|NM_052947	hgnc_symbol|ALPK2|ALPK2
refseq_dna|NM_006227|NM_006227	hgnc_symbol|PLTP|PLTP
refseq_dna|NM_001172|NM_001172	hgnc_symbol|ARG2|ARG2
refseq_dna|NM_022467|NM_022467	hgnc_symbol|CHST8|CHST8
refseq_dna|NM_015170|NM_015170	hgnc_symbol|SULF1|SULF1
refseq_dna|NM_005564|NM_005564	hgnc_symbol|LCN2|LCN2
refseq_dna|NM_000239|NM_000239	hgnc_symbol|LYZ|LYZ
refseq_dna|NM_005627|NM_005627	hgnc_symbol|SGK1|SGK1
refseq_dna|NM_001759|NM_001759	hgnc_symbol|CCND2|CCND2
refseq_dna|NM_033267|NM_033267	hgnc_symbol|IRX2|IRX2
refseq_dna|NM_152414|NM_152414	hgnc_symbol|BHLHE22|BHLHE22
refseq_dna|NM_139211|NM_139211	hgnc_symbol|HOPX|HOPX
entrezgene|BC036938|58160	hgnc_symbol|NFE4|NFE4
refseq_dna|NM_003317|NM_003317	hgnc_symbol|NKX2-1|NKX2-1
refseq_dna|NM_006497|NM_006497	hgnc_symbol|HIC1|HIC1
refseq_dna|NM_001079526|NM_001079526	hgnc_symbol|IKZF2|IKZF2
refseq_dna|NM_016270|NM_016270	hgnc_symbol|KLF2|KLF2
refseq_dna|NM_005239|NM_005239	hgnc_symbol|ETS2|ETS2
refseq_dna|NM_021813|NM_021813	hgnc_symbol|BACH2|BACH2
refseq_dna|NM_002398|NM_002398	hgnc_symbol|MEIS1|MEIS1
refseq_dna|NM_173508|NM_173508	hgnc_symbol|SLC35F3|SLC35F3
refseq_dna|NM_052886|NM_052886	hgnc_symbol|MAL2|MAL2
refseq_dna|NM_002899|NM_002899	hgnc_symbol|RBP1|RBP1
refseq_dna|NM_006517|NM_006517	hgnc_symbol|SLC16A2|SLC16A2
refseq_dna|NM_016321|NM_016321	hgnc_symbol|RHCG|RHCG
refseq_dna|NM_003355|NM_003355	hgnc_symbol|UCP2|UCP2
refseq_dna|NM_014988|NM_014988	hgnc_symbol|LIMCH1|LIMCH1
embl|AK130049|AK130049	hgnc_symbol|BICC1|BICC1
refseq_dna|NM_001145205|NM_001145205	hgnc_symbol|SHISA9|SHISA9
refseq_dna|NM_014312|NM_014312	hgnc_symbol|VSIG2|VSIG2
refseq_dna|NM_020180|NM_020180	hgnc_symbol|CELF4|CELF4
refseq_dna|NM_014951|NM_014951	hgnc_symbol|ZNF365|ZNF365
refseq_dna|NM_015559|NM_015559	hgnc_symbol|SETBP1|SETBP1
refseq_dna|NM_012194|NM_012194	hgnc_symbol|C11orf41|C11orf41
refseq_dna|NM_020747|NM_020747	hgnc_symbol|ZNF608|ZNF608
refseq_dna|NM_019605|NM_019605	hgnc_symbol|SERTAD4|SERTAD4
refseq_dna|NM_017982|NM_017982	hgnc_symbol|SUSD4|SUSD4
refseq_dna|NM_144586|NM_144586	hgnc_symbol|LYPD1|LYPD1
refseq_dna|NM_032892|NM_032892	hgnc_symbol|FRMD5|FRMD5
refseq_dna|NM_000558|NM_000558	hgnc_symbol|HBA1|HBA1
refseq_dna|NM_000517|NM_000517	hgnc_symbol|HBA2|HBA2
refseq_dna|NM_032514|NM_032514	hgnc_symbol|MAP1LC3A|MAP1LC3A
refseq_dna|NM_001025077|NM_001025077	hgnc_symbol|CELF2|CELF2
refseq_dna|NM_013453|NM_013453	hgnc_symbol|SPANXA1|SPANXA1
refseq_dna|NM_032417|NM_032417	hgnc_symbol|SPANXD|SPANXD
refseq_dna|NM_001037175|NM_001037175	hgnc_symbol|SUSD4|SUSD4
refseq_dna|NM_005907|NM_005907	hgnc_symbol|MAN1A1|MAN1A1
refseq_dna|NM_001033602|NM_001033602	hgnc_symbol|MTUS2|MTUS2
entrezgene|AB033099|83858	hgnc_symbol|ATAD3B|ATAD3B
refseq_dna|NM_020182|NM_020182	hgnc_symbol|PMEPA1|PMEPA1
refseq_dna|NM_182909|NM_182909	hgnc_symbol|FILIP1L|FILIP1L
refseq_dna|NM_017565|NM_017565	hgnc_symbol|FAM20A|FAM20A
refseq_dna|NM_006688|NM_006688	hgnc_symbol|C1QL1|C1QL1
embl|AK054921|AK054921	hgnc_symbol|N/A|N/A
embl|AB025028|AB025028	hgnc_symbol|N/A|N/A
embl|BC040881|BC040881	hgnc_symbol|N/A|N/A
entrezgene|AK125437|374946	hgnc_symbol|N/A|N/A
entrezgene|CA314451|10602	hgnc_symbol|N/A|N/A
embl|AK023954|AK023954	hgnc_symbol|N/A|N/A
refseq_dna|NR_002196|NR_002196	hgnc_symbol|H19|H19
refseq_dna|NR_024337|NR_024337	hgnc_symbol|C1orf133|C1orf133
refseq_dna|NM_052880|NM_052880	hgnc_symbol|PIK3IP1|PIK3IP1
refseq_dna|NM_030802|NM_030802	hgnc_symbol|FAM117A|FAM117A
refseq_dna|NM_018689|NM_018689	hgnc_symbol|KIAA1199|KIAA1199
embl|AI754733|AI754733	hgnc_symbol|N/A|N/A
embl|BX097190|BX097190	hgnc_symbol|N/A|N/A
refseq_dna|NM_153685|NM_153685	hgnc_symbol|C12orf53|C12orf53
embl|AK098514|AK098514	hgnc_symbol|N/A|N/A
embl|BC041955|BC041955	hgnc_symbol|N/A|N/A
embl|AK024680|AK024680	hgnc_symbol|N/A|N/A
refseq_dna|NM_001136505|NM_001136505	hgnc_symbol|CCDC79|CCDC79
embl|R78584|R78584	hgnc_symbol|N/A|N/A
refseq_dna|NR_027822|NR_027822	hgnc_symbol|HLA-L|HLA-L
embl|AK025975|AK025975	hgnc_symbol|N/A|N/A
embl|AI161396|AI161396	hgnc_symbol|N/A|N/A
refseq_dna|NR_002812|NR_002812	hgnc_symbol|HCG26|HCG26
embl|BY798802|BY798802	hgnc_symbol|N/A|N/A
refseq_dna|NM_144569|NM_144569	hgnc_symbol|SPOCD1|SPOCD1
entrezgene|AA731781|5074	hgnc_symbol|N/A|N/A
refseq_dna|NM_052839|NM_052839	hgnc_symbol|PANX2|PANX2
embl|AK296148|AK296148	hgnc_symbol|N/A|N/A
