Probe Set ID	Unigene(Avadis)	Gene Title	Gene Symbol	Fold change	p-value
205767_at	Hs.115263	epiregulin	EREG	8.522385	0.007618589
237459_at	Hs.506415	PCTAIRE protein kinase 2	PCTK2	8.438974	0.01859465
202509_s_at	Hs.525607	tumor necrosis factor, alpha-induced protein 2	TNFAIP2	8.246046	0.029484777
228153_at	Hs.148741	IBR domain containing 2	IBRDC2	7.7900853	0.006671765
244326_at	Hs.250632	Hypothetical protein FLJ11078	FLJ11078	7.77892	0.043323953
236655_at	Hs.368433	Tumor protein D52	TPD52	7.6145267	0.007606908
242329_at		hypothetical LOC401317	LOC401317	7.549083	0.000998048
233178_at	Hs.112148	TGFB-induced factor 2-like, Y-linked	TGIF2LY	7.432759	0.001729575
205792_at	Hs.194679	WNT1 inducible signaling pathway protein 2	WISP2	7.1641498	0.011041256
209706_at	Hs.55999	NK3 transcription factor related, locus 1 (Drosophila)	NKX3-1	7.112175	0.009297214
36564_at	Hs.546478	IBR domain containing 3	IBRDC3	7.108389	0.034758784
242542_at	Hs.102471	Phosphatase and actin regulator 2	PHACTR2	6.9645667	0.009255164
209038_s_at	Hs.523774	EH-domain containing 1	EHD1	6.732274	0.048652735
228377_at	Hs.446164	kelch-like 14 (Drosophila)	KLHL14	6.386027	0.003736093
202638_s_at	Hs.515126	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	ICAM1	6.321225	0.00122277
205599_at	Hs.531251	TNF receptor-associated factor 1	TRAF1	6.268592	0.047170315
209098_s_at	Hs.224012	jagged 1 (Alagille syndrome)	JAG1	6.217787	0.028410586
1562492_at		hypothetical protein LOC340090	LOC340090	6.17683	0.001771593
211586_s_at	Hs.268942	ATPase, Ca++ transporting, plasma membrane 2	ATP2B2	6.1737623	0.01736527
242728_at	Hs.35490	KIAA0350 protein	KIAA0350	6.1670156	0.017263036
238257_at	Hs.30385	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	MLLT10	6.1408434	0.014607575
209210_s_at	Hs.509343	pleckstrin homology domain containing, family C (with FERM domain) member 1	PLEKHC1	6.0985837	0.047814254
219500_at	Hs.502977	cardiotrophin-like cytokine	CLC	6.0312433	0.031371865
205912_at	Hs.501135	pancreatic lipase	PNLIP	6.0270123	0.015836814
1554540_at	Hs.133977	hypothetical protein MGC27277	MGC27277	5.9265895	0.038937308
205816_at	Hs.285724	integrin, beta 8	ITGB8	5.9112067	0.020327786
236474_at	Hs.435535	Zinc finger protein 395	ZNF395	5.9019504	0.010869366
241252_at	Hs.99480	Hypothetical protein LOC157570	LOC157570	5.8384604	0.002769353
225491_at	Hs.502338	solute carrier family 1 (glial high affinity glutamate transporter), member 2	SLC1A2	5.829026	0.025284806
206907_at	Hs.1524	tumor necrosis factor (ligand) superfamily, member 9	TNFSF9	5.778534	0.008052371
243865_x_at	Hs.444329	Glypican 6	GPC6	5.7359385	0.030682249
217517_x_at	Hs.285197	SFRS protein kinase 2	SRPK2	5.6723704	0.000627683
235682_s_at	Hs.502612	heat shock 27kDa protein family, member 7 (cardiovascular)	HSPB7	5.62912	0.01178974
215716_s_at	Hs.506276	ATPase, Ca++ transporting, plasma membrane 1	ATP2B1	5.537268	0.023636598
205990_s_at	Hs.152213	wingless-type MMTV integration site family, member 5A	WNT5A	5.495371	0.010474496
230813_at	Hs.374191	leprecan-like 1	LEPREL1	5.4941607	0.025965273
1554999_at	Hs.480068	RasGEF domain family, member 1B	RASGEF1B	5.49095	0.042278137
212012_at	Hs.332197	Melanoma associated gene	D2S448	5.461535	0.004979054
200800_s_at	Hs.520028	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	5.411445	0.00110788
203096_s_at	Hs.113912	Rap guanine nucleotide exchange factor (GEF) 2	RAPGEF2	5.372001	0.015204658
1559136_s_at	Hs.303154	Iduronate 2-sulfatase (Hunter syndrome) /// Clone 161455-2-3 B cell expressed mRNA from chromosome X.	IDS	5.3639784	0.009209622
230188_at	Hs.4285	hypothetical protein LOC348938	LOC348938	5.3546376	0.004462289
233822_x_at	Hs.534476	uncharacterized gastric protein YC12P	LOC57400	5.348692	0.003568083
206040_s_at	Hs.57732	mitogen-activated protein kinase 11	MAPK11	5.344775	0.04562297
206036_s_at	Hs.370620	v-rel reticuloendotheliosis viral oncogene homolog (avian)	REL	5.305695	0.005269643
206404_at	Hs.111	fibroblast growth factor 9 (glia-activating factor)	FGF9	5.2903047	0.037626795
205373_at	Hs.167368	catenin (cadherin-associated protein), alpha 2	CTNNA2	5.278195	0.043825153
1563692_at	Hs.1650	Solute carrier family 26, member 3	SLC26A3	5.25847	0.007117436
239884_at	Hs.127013	Ca2+-dependent secretion activator	CADPS	5.257356	0.029378096
236892_s_at	Hs.463349	Hypothetical LOC404266	LOC404266	5.212112	0.045467548
212561_at	Hs.501857	RAB6 interacting protein 1	RAB6IP1	5.1777873	0.003028993
208112_x_at	Hs.523774	EH-domain containing 1	EHD1	5.113075	0.030101057
231779_at	Hs.424542	interleukin-1 receptor-associated kinase 2	IRAK2	5.082256	0.02019
218033_s_at	Hs.459952	stannin	SNN	5.048011	0.007173162
1557057_a_at	Hs.131469	hypothetical protein LOC133491	LOC133491	5.0297484	0.004587898
236584_at	Hs.107101	hypothetical protein FLJ31031	FLJ31031	5.005513	0.029671315
220091_at	Hs.244378	solute carrier family 2 (facilitated glucose transporter), member 6	SLC2A6	4.9868054	0.023370067
206186_at	Hs.396566	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	MPP3	4.971973	0.029566651
241107_at	Hs.132868	Ubiquitin specific protease 32	USP32	4.958838	0.005869546
208571_at	Hs.458747	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A /// acidic (leucine-rich) nuclear phosphoprotein 32 family, member D /// acidic (leucine-rich) nuclear phosphoprotein 32 family, member C	ANP32A /// ANP32D /// ANP32C	4.8166113	0.029263988
1553629_a_at	Hs.125487	hypothetical protein MGC26988	MGC26988	4.804595	0.027235577
214955_at	Hs.370885	transmembrane protease, serine 6	TMPRSS6	4.802004	0.005212524
221345_at	Hs.248056	G protein-coupled receptor 43	GPR43	4.792111	0.001158324
219102_at	Hs.439184	reticulocalbin 3, EF-hand calcium binding domain	RCN3	4.726571	0.010048812
1562792_at	Hs.134190	Hypothetical protein LOC152519	LOC152519	4.6898394	0.011485637
222891_s_at	Hs.370549	B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A	4.679627	0.007538775
233794_at	Hs.175551	Single stranded DNA binding protein 3	SSBP3	4.6732025	0.041496284
201235_s_at	Hs.519162	BTG family, member 2	BTG2	4.642085	0.008042553
235743_at	Hs.159556	Hypothetical protein MGC61716	MGC61716	4.6343365	0.013672533
202628_s_at	Hs.414795	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	4.584808	0.000149374
209636_at	Hs.73090	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NFKB2	4.566359	0.02852529
209355_s_at	Hs.405156	phosphatidic acid phosphatase type 2B	PPAP2B	4.5497646	0.014829841
1555053_at	Hs.177193	synaptotagmin IX	SYT9	4.526795	0.007382083
214204_at	Hs.25791	PARK2 co-regulated	PACRG	4.4531345	0.04968661
202734_at	Hs.515094	thyroid hormone receptor interactor 10	TRIP10	4.4379835	0.02738705
219736_at	Hs.519514	tripartite motif-containing 36	TRIM36	4.351822	0.015670912
238893_at	Hs.136888	hypothetical protein LOC338758	LOC338758	4.3492537	0.011309647
217299_s_at	Hs.492208	Nijmegen breakage syndrome 1 (nibrin)	NBS1	4.2712817	0.011108547
224337_s_at	Hs.19545	frizzled homolog 4 (Drosophila) /// frizzled homolog 4 (Drosophila)	FZD4	4.2712054	0.029856347
243450_at	Hs.459211	A kinase (PRKA) anchor protein 13	AKAP13	4.259167	0.0471329
227845_s_at	Hs.7423	src homology 2 domain-containing transforming protein D	SHD	4.257403	0.014390539
205143_at	Hs.169047	chondroitin sulfate proteoglycan 3 (neurocan)	CSPG3	4.254884	0.030417524
225189_s_at	Hs.471162	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1	4.1785645	0.022380318
233474_at	Hs.448912	hypothetical protein LOC284240	LOC284240	4.1401	0.007957559
207802_at	Hs.404466	cysteine-rich secretory protein 3	CRISP3	4.136425	0.00153863
1553523_at	Hs.449637	NACHT, leucine rich repeat and PYD containing 14	NALP14	4.135963	0.006217742
202643_s_at	Hs.211600	tumor necrosis factor, alpha-induced protein 3	TNFAIP3	4.0864797	0.04664159
204200_s_at	Hs.1976	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	PDGFB	4.075041	0.03031407
229221_at	Hs.502328	CD44 antigen (homing function and Indian blood group system)	CD44	4.0649557	0.001560297
217475_s_at	Hs.474596	LIM domain kinase 2	LIMK2	4.0603676	0.004063639
203304_at	Hs.533336	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	BAMBI	4.0580187	0.023872966
231915_at	Hs.466015	zinc finger, SWIM domain containing 4	ZSWIM4	4.0341425	0.015494942
210722_at	Hs.73923	pancreatic lipase-related protein 1	PNLIPRP1	3.9566662	0.011679321
210628_x_at	Hs.466766	latent transforming growth factor beta binding protein 4	LTBP4	3.9431224	0.006444377
1564601_at	Hs.322826	hypothetical protein LOC286123	LOC286123	3.90394	0.001562656
225728_at	Hs.497384	importin 9	IPO9	3.871499	0.002679931
209239_at	Hs.431926	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	NFKB1	3.8347793	0.000793489
219773_at	Hs.371036	NADPH oxidase 4	NOX4	3.8214557	0.031086897
214421_x_at	Hs.282624	cytochrome P450, family 2, subfamily C, polypeptide 9	CYP2C9	3.8144424	0.011573891
209928_s_at	Hs.442619	musculin (activated B-cell factor-1)	MSC	3.8086855	0.037371706
1557742_a_at	Hs.131514	Uronyl-2-sulfotransferase	UST	3.8078003	0.016597725
201925_s_at	Hs.527653	decay accelerating factor for complement (CD55, Cromer blood group system)	DAF	3.8004534	0.002706794
237718_at	Hs.249718	eukaryotic translation initiation factor 4E	EIF4E	3.7955518	0.001678084
243291_at	Hs.431498	Forkhead box P1	FOXP1	3.7596054	0.03808655
210890_x_at	Hs.512572	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	KIR2DL1	3.7441015	0.039670125
204103_at	Hs.75703	chemokine (C-C motif) ligand 4	CCL4	3.7212474	0.01478603
1569478_s_at	Hs.528005	similar to CG14939-PA	LOC388526	3.717109	0.0471099
1565483_at	Hs.488293	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR	3.6782703	0.049910408
239400_at	Hs.434138	Tachykinin 4 (hemokinin)	TAC4	3.6767817	0.003235379
1561537_at	Hs.369054	hypothetical gene supported by BC039496	LOC388906	3.668473	0.003203568
224101_x_at	Hs.533291	MRS2-like, magnesium homeostasis factor (S. cerevisiae)	MRS2L	3.6606872	0.049279634
1559510_at	Hs.4276	Basic helix-loop-helix domain containing, class B, 9	BHLHB9	3.6494143	0.028824644
242387_at	Hs.289293	hypothetical protein INM01	INM01	3.615093	0.001451757
1559953_at	Hs.8765	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	DDX42	3.5892289	0.03987719
226968_at	Hs.97858	kinesin family member 1B	KIF1B	3.5769832	0.01126773
204057_at	Hs.137427	Interferon regulatory factor 8 /// Interferon regulatory factor 8	IRF8	3.561149	0.017684482
237607_at	Hs.167046	Adenosine A2b receptor	ADORA2B	3.5590396	0.019379668
1570283_at	Hs.501735	Stromal interaction molecule 1	STIM1	3.5336516	0.04899163
217305_s_at	Hs.320892	testicular soluble adenylyl cyclase	SAC	3.5277572	0.037365023
1569377_at	Hs.116240	hypothetical protein MGC26979	MGC26979	3.5153372	0.010024278
1555689_at	Hs.838	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)	CD80	3.4991093	0.033390097
1562957_at	Hs.406990	FLJ39739 protein	FLJ39739	3.477718	0.04120133
202014_at	Hs.76556	protein phosphatase 1, regulatory (inhibitor) subunit 15A	PPP1R15A	3.4695253	0.04536327
236290_at	Hs.278285	docking protein 6	DOK6	3.4534566	0.0189794
1555167_s_at	Hs.489615	pre-B-cell colony enhancing factor 1	PBEF1	3.446283	0.04226402
1563808_at	Hs.170422	MCF.2 cell line derived transforming sequence-like	MCF2L	3.4458277	0.00406071
201564_s_at	Hs.118400	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	FSCN1	3.4253037	0.006095512
1560098_at	Hs.498513	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	AKR1C2	3.4234495	0.017738309
1554319_at	Hs.510225	ribosomal protein S6 kinase, 90kDa, polypeptide 5	RPS6KA5	3.4213285	0.043205813
216627_s_at	Hs.272011	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	B4GALT1	3.4178152	0.014849982
240965_at	Hs.480876	Anaphase promoting complex subunit 10	ANAPC10	3.4057853	0.035524998
204958_at	Hs.153640	polo-like kinase 3 (Drosophila)	PLK3	3.403141	0.010381227
220552_at	Hs.247868	transient receptor potential cation channel, subfamily C, member 5	TRPC5	3.4009821	0.046422325
204924_at	Hs.519033	toll-like receptor 2	TLR2	3.398914	0.010241481
1569843_at	Hs.440364	dynein, cytoplasmic, intermediate polypeptide 1	DNCI1	3.3888004	0.027054178
205508_at	Hs.436646	sodium channel, voltage-gated, type I, beta	SCN1B	3.3796833	0.031600382
232863_at	Hs.372707	hypothetical protein FLJ38969	FLJ38969	3.3769543	0.03105912
226762_at	Hs.349150	purine-rich element binding protein B	PURB	3.351698	0.010655694
201502_s_at	Hs.81328	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NFKBIA	3.3438432	0.045991395
1553241_at	Hs.491856	hypothetical protein FLJ39630	FLJ39630	3.3359368	0.026782518
1555025_at	Hs.302714	transmembrane protein 26	TMEM26	3.333977	0.034909084
212619_at	Hs.533787	KIAA0286 protein	KIAA0286	3.3312497	0.041291453
1569436_at	Hs.438480	hypothetical gene supported by BC025370	LOC400128	3.320055	0.03600474
231899_at	Hs.376289	KIAA1726 protein	KIAA1726	3.3186576	0.007579538
209034_at	Hs.75969	proline-rich nuclear receptor coactivator 1	PNRC1	3.3104172	0.032505535
241784_x_at	Hs.480101	DNA helicase HEL308	HEL308	3.3087885	0.008145588
202759_s_at	Hs.259461	PALM2-AKAP2 protein	PALM2-AKAP2	3.297288	0.037116393
210512_s_at	Hs.73793	vascular endothelial growth factor	VEGF	3.29541	0.016242193
1569802_at	Hs.473927	Phosphodiesterase 9A	PDE9A	3.2826705	0.048027884
1558540_s_at	Hs.531906	solute carrier family 2 (facilitated glucose transporter), member 11	SLC2A11	3.2692437	0.0046452
1553990_at	Hs.530864	hypothetical protein MGC21830	MGC21830	3.227595	0.007300421
203010_at	Hs.437058	signal transducer and activator of transcription 5A	STAT5A	3.223562	0.047815878
203010_at	Hs.437058	signal transducer and activator of transcription 5A	STAT5A	3.223562	0.047815878
221801_x_at	Hs.521461	neurofilament, light polypeptide 68kDa	NEFL	3.2227583	0.005198074
1552652_at	Hs.474436	Hermansky-Pudlak syndrome 4	HPS4	3.2211115	0.020058956
1556267_at	Hs.253773	hypothetical protein FLJ25056	FLJ25056	3.2209826	0.032203812
221101_at		chromosome 14 open reading frame 113	C14orf113	3.2190282	0.011818439
1568719_s_at	Hs.132340	chromosome 6 open reading frame 85	C6orf85	3.2158592	0.029619131
207470_at	Hs.546398	hypothetical protein DKFZp566H0824	DKFZp566H0824	3.2037144	0.012879614
240359_at	Hs.360989	chromosome 20 open reading frame 71	C20orf71	3.1974	0.009152432
211397_x_at	Hs.534327	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2	KIR2DL2	3.181429	0.045764897
208100_x_at	Hs.516316	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C /// sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	SEMA6C	3.1652062	0.010528009
243290_at	Hs.484047	KIBRA protein	KIBRA	3.1596925	0.015108914
242078_at	Hs.444414	Lymphoid nuclear protein related to AF4	LAF4	3.1595678	0.039905235
200799_at	Hs.520028	heat shock 70kDa protein 1A	HSPA1A	3.1488807	0.010187214
228176_at		endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	EDG3	3.1470184	0.014448856
1566140_at	Hs.121443	homeodomain-only protein	HOP	3.1454055	0.03632883
206022_at	Hs.522615	Norrie disease (pseudoglioma)	NDP	3.1407073	0.009332794
210626_at	Hs.463506	A kinase (PRKA) anchor protein 1	AKAP1	3.1399097	0.019179797
237457_at	Hs.371001	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	EIF3S9	3.139873	0.03987596
244486_at	Hs.389171	PTEN induced putative kinase 1	PINK1	3.1367579	0.026856123
232582_at	Hs.23748	LIM domain binding 2	LDB2	3.128413	0.002985621
1562102_at	Hs.460260	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	AKR1C1	3.1259768	0.025544992
207690_at	Hs.169577	aristaless-like homeobox 3	ALX3	3.1171255	0.028228644
230992_at	Hs.546502	butyrophilin-like 9	BTNL9	3.1138623	0.014520792
227735_s_at	Hs.298713	chromosome 10 open reading frame 99	C10orf99	3.1119199	0.036224276
231677_at	Hs.486074	Absent in melanoma 1	AIM1	3.1050959	0.00721207
1556864_at	Hs.211511	Hypothetical protein FLJ21127	FLJ21127	3.104647	0.04104116
218843_at	Hs.27836	fibronectin type III domain containing 4	FNDC4	3.0995262	0.02497919
232530_at	Hs.478230	Phospholipase D1, phophatidylcholine-specific	PLD1	3.0986826	0.044833448
238235_at	Hs.416108	CDC2-related protein kinase 7	CRK7	3.0957556	0.023041766
236189_at	Hs.480694	KIAA1223 protein	KIAA1223	3.0726237	0.002552819
209892_at	Hs.390420	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	FUT4	3.0633976	0.006604609
207536_s_at	Hs.193418	tumor necrosis factor receptor superfamily, member 9	TNFRSF9	3.0633533	0.022407994
217612_at	Hs.355819	translocase of inner mitochondrial membrane 50 homolog (yeast)	TIMM50	3.0532293	0.013083806
208586_s_at	Hs.460628	synovial sarcoma, X breakpoint 4	SSX4	3.0303128	0.04903691
218445_at	Hs.499953	H2A histone family, member Y2	H2AFY2	3.028679	0.0224229
230935_at	Hs.98661	Hypothetical LOC401022	LOC401022	3.019392	0.002634196
239914_at	Hs.277035	Monoglyceride lipase	MGLL	3.0162392	0.016566396
240715_at	Hs.381715	T-box 5	TBX5	3.0161824	0.014672861
206172_at	Hs.336046	interleukin 13 receptor, alpha 2	IL13RA2	3.0107	0.04877272
223767_at	Hs.306199	G protein-coupled receptor 84	GPR84	3.0103989	0.010790606
216690_at	Hs.466053	olfactory receptor, family 7, subfamily C, member 1	OR7C1	3.0089483	0.005001333
1558852_at	Hs.200943	NMDA receptor regulated 2	NARG2	3.0055766	0.008383021
243890_at	Hs.497626	Plexin A2	PLXNA2	2.9994285	0.011882063
1569517_at	Hs.507537	Nucleoporin like 1	NUPL1	2.998563	0.020050447
223987_at	Hs.432379	chordin-like 2	CHRDL2	2.9955022	0.032814376
240419_at	Hs.44424	Solute carrier family 6 (neurotransmitter transporter), member 15	SLC6A15	2.9863062	0.025029888
216418_at	Hs.159546	ATP-binding cassette, sub-family D (ALD), member 1	ABCD1	2.9691613	0.037809774
220146_at	Hs.179152	toll-like receptor 7	TLR7	2.9686937	0.026772924
220146_at	Hs.179152	toll-like receptor 7	TLR7	2.9686937	0.026772924
224358_s_at	Hs.530735	membrane-spanning 4-domains, subfamily A, member 7 /// membrane-spanning 4-domains, subfamily A, member 7	MS4A7	2.9685683	0.046239924
1560705_at	Hs.403790	Solute carrier family 25, member 28	SLC25A28	2.961748	0.017687945
234151_at	Hs.309288	CUG triplet repeat, RNA binding protein 2	CUGBP2	2.9598868	0.04268478
201981_at	Hs.494928	pregnancy-associated plasma protein A, pappalysin 1	PAPPA	2.9585562	0.03587914
229923_at	Hs.21388	zinc finger, DHHC domain containing 21	ZDHHC21	2.9570577	0.033040535
215368_at	Hs.529265	Nebulin	NEB	2.9555995	0.045901198
240074_at	Hs.445097	Snf2-related CBP activator protein	SRCAP	2.9497066	0.041238464
229084_at	Hs.298705	contactin 4	CNTN4	2.9494328	0.006818375
203586_s_at	Hs.183153	ADP-ribosylation factor 4-like	ARF4L	2.928941	0.04646249
241057_x_at	Hs.439440	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26	DDX26	2.9199903	0.040118553
205438_at	Hs.437040	protein tyrosine phosphatase, non-receptor type 21	PTPN21	2.8993006	0.032024957
213324_at	Hs.195659	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC	2.8913276	0.003487224
1554931_at	Hs.1645	cytochrome P450, family 4, subfamily A, polypeptide 11	CYP4A11	2.883416	0.04696466
219480_at	Hs.48029	snail homolog 1 (Drosophila)	SNAI1	2.8797607	0.042957775
221792_at	Hs.147164	RAB6B, member RAS oncogene family	RAB6B	2.871557	0.022363331
215886_x_at	Hs.42400	ubiquitin specific protease 12	USP12	2.8662043	0.002177276
240518_at	Hs.129278	GGA binding partner	FLJ11088	2.8611135	0.025502525
213005_s_at	Hs.493272	ankyrin repeat domain 15	ANKRD15	2.8576584	0.020891579
1555335_at	Hs.113157	integrin, alpha 9	ITGA9	2.856324	0.000477246
223762_at	Hs.250763	tropomodulin 4 (muscle)	TMOD4	2.8523767	0.018153073
233888_s_at	Hs.450763	SLIT-ROBO Rho GTPase activating protein 1	SRGAP1	2.852299	0.001986552
215117_at	Hs.159376	recombination activating gene 2	RAG2	2.8465424	0.042542685
221557_s_at	Hs.125132	lymphoid enhancer-binding factor 1	LEF1	2.8441591	0.038834568
1570479_at	Hs.382188	ADP-ribosyltransferase 1	ART1	2.833684	0.019363975
1554133_at	Hs.297044	RUN and FYVE domain containing 2	RUFY2	2.8328793	0.029238984
1556896_at	Hs.282325	hypothetical protein LOC284751	LOC284751	2.818253	0.015301265
206665_s_at	Hs.516966	BCL2-like 1	BCL2L1	2.8022292	0.015285743
234775_at	Hs.382831	olfactory receptor, family 51, subfamily B, member 5	OR51B5	2.7923818	0.034443703
211924_s_at	Hs.466871	plasminogen activator, urokinase receptor /// plasminogen activator, urokinase receptor	PLAUR	2.790258	0.000877565
242336_at	Hs.445733	Glycogen synthase kinase 3 beta	GSK3B	2.7825074	0.039334804
209597_s_at	Hs.521466	paraneoplastic antigen MA2	PNMA2	2.7740407	0.023039117
220250_at	Hs.333150	zinc finger protein 286	ZNF286	2.764597	0.010292498
1559114_a_at	Hs.471751	Chemokine orphan receptor 1	CMKOR1	2.7617846	0.032376707
221009_s_at	Hs.9613	angiopoietin-like 4	ANGPTL4	2.745272	0.040483482
1555912_at		ST7 overlapping transcript 1 (antisense non-coding RNA)	ST7OT1	2.7448244	0.002989937
