Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (1.25 Gy)	Geom mean of intensities in class 2 (Control)	Fold-change	Unique id	Description	Gene symbol
94	0.0000023	0.000477	871.2848348	581.4890712	1.4983684	A_32_P163125	Homo sapiens transmembrane protein 23 (TMEM23), mRNA [NM_147156]	TMEM23
95	0.0000023	0.000477	2026.934107	1114.702319	1.8183636	A_23_P99163	Homo sapiens damage-regulated autophagy modulator (DRAM), mRNA [NM_018370]	DRAM
96	0.0000024	0.0004875	48947.2138	24161.25368	2.0258557	A_23_P2793	Homo sapiens arachidonate 5-lipoxygenase-activating protein (ALOX5AP), mRNA [NM_001629]	ALOX5AP
97	0.0000024	0.0004875	3447.610379	1809.359098	1.9054318	A_23_P1602	Homo sapiens CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA [NM_006779]	CDC42EP2
98	0.0000027	0.000532	376.4629246	187.1460051	2.0116001	A_24_P250922	Homo sapiens prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (PTGS2), mRNA [NM_000963]	PTGS2
99	0.0000027	0.000532	706.6563804	412.2419367	1.7141788	A_23_P151791	Homo sapiens leukotriene B4 receptor (LTB4R), mRNA [NM_181657]	LTB4R
100	0.0000027	0.000532	242.0192161	102.9050945	2.3518682	A_23_P126836	Homo sapiens tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa) (TNFSF4), mRNA [NM_003326]	TNFSF4
101	0.0000028	0.0005462	5825.676027	3615.589612	1.6112658	A_23_P32253	Homo sapiens nuclear factor, interleukin 3 regulated (NFIL3), mRNA [NM_005384]	NFIL3
102	0.000003	0.0005795	7046.322877	3966.405787	1.7765008	A_24_P252497	Homo sapiens tribbles homolog 1 (Drosophila) (TRIB1), mRNA [NM_025195]	TRIB1
103	0.0000031	0.000593	1036.609841	565.4876944	1.8331254	A_23_P19565	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 1, mRNA [NM_006828]	ASCC3
104	0.0000033	0.0006252	5639.466904	3547.533857	1.5896866	A_23_P101434	Homo sapiens NLR family, pyrin domain containing 12 (NLRP12), transcript variant 1, mRNA [NM_033297]	NLRP12
105	0.0000038	0.0007064	292.8329358	163.7700604	1.7880737	A_24_P241815	Homo sapiens jun B proto-oncogene (JUNB), mRNA [NM_002229]	JUNB
106	0.0000038	0.0007064	852.6162812	518.5200535	1.6443265	A_23_P72503	Homo sapiens kelch-like 2, Mayven (Drosophila) (KLHL2), mRNA [NM_007246]	KLHL2
107	0.0000043	0.0007845	728.1759952	492.9823861	1.4770832	A_23_P431939	Homo sapiens major histocompatibility complex, class I-related (MR1), mRNA [NM_001531]	MR1
108	0.0000043	0.0007845	446.7772231	725.0283642	0.6162203	A_23_P41280	Homo sapiens phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS), transcript variant 1, mRNA [NM_001079525]	PAICS
109	0.0000044	0.0007847	1236.578097	873.7694406	1.4152224	A_23_P45294	Homo sapiens chromosome X open reading frame 39 (CXorf39), mRNA [NM_207318]	CXorf39
110	0.0000044	0.0007847	128.7627697	87.3958056	1.4733289	A_23_P136172	Homo sapiens transmembrane protein 68 (TMEM68), mRNA [NM_152417]	TMEM68
111	0.0000045	0.0007847	2635.050273	1761.366211	1.4960264	A_23_P98085	Homo sapiens phosphatase and tensin homolog (mutated in multiple advanced cancers 1) (PTEN), mRNA [NM_000314]	PTEN
112	0.0000045	0.0007847	1808.091195	1127.659266	1.6034021	A_24_P252785	Homo sapiens phosphatase and tensin homolog (mutated in multiple advanced cancers 1) (PTEN), mRNA [NM_000314]	PTEN
113	0.0000045	0.0007847	1735.264429	2812.890314	0.6168973	A_24_P9090	Homo sapiens heterogeneous nuclear ribonucleoprotein D-like (HNRPDL), transcript variant 2, mRNA [NM_031372]	HNRPDL
114	0.0000047	0.0008053	812.1311909	499.6243052	1.6254838	A_24_P314179	Homo sapiens v-ets erythroblastosis virus E26 oncogene homolog 2 (avian) (ETS2), mRNA [NM_005239]	ETS2
115	0.0000047	0.0008053	847.2900523	532.1523145	1.5921946	A_23_P41645	Homo sapiens elongation factor, RNA polymerase II, 2 (ELL2), mRNA [NM_012081]	ELL2
116	0.000005	0.0008493	267.7084663	161.9535006	1.6529959	A_23_P65823	Homo sapiens GABA-A receptor-associated protein mRNA, complete cds. [AF180519]	GABARAPL3
117	0.0000052	0.0008757	239.1533925	89.3254725	2.6773258	A_23_P25155	Homo sapiens G protein-coupled receptor 84 (GPR84), mRNA [NM_020370]	GPR84
118	0.0000053	0.000885	2827.966698	1722.228908	1.6420388	A_23_P251937	Homo sapiens cytoplasmic polyadenylation element binding protein 4 (CPEB4), mRNA [NM_030627]	CPEB4
119	0.0000061	0.00101	1026.349735	632.2422717	1.6233488	A_23_P148768	Homo sapiens coagulation factor V (proaccelerin, labile factor) (F5), mRNA [NM_000130]	F5
120	0.0000062	0.001018	42.9385571	19.0414144	2.2550088	A_23_P123503	Homo sapiens tribbles homolog 1 (Drosophila) (TRIB1), mRNA [NM_025195]	TRIB1
121	0.0000065	0.0010585	19.9487678	11.090823	1.7986734	A_32_P57877	BX433326 BX433326 Homo sapiens FETAL LIVER Homo sapiens cDNA clone CS0DM004YL09 3-PRIME, mRNA sequence [BX433326]	BX433326
122	0.0000067	0.0010821	786.5629722	503.9625592	1.5607568	A_24_P156911	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
123	0.0000068	0.0010877	696.308667	348.2420034	1.9994965	A_23_P140760	Homo sapiens G protein-coupled receptor 97 (GPR97), mRNA [NM_170776]	GPR97
124	0.0000069	0.0010877	1939.266736	1357.241533	1.4288295	A_23_P146058	Homo sapiens ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 (ATP6V1C1), transcript variant 1, mRNA [NM_001695]	ATP6V1C1
125	0.0000069	0.0010877	1434.830352	924.9563983	1.5512411	A_24_P3783	Homo sapiens histone cluster 1, H2bm (HIST1H2BM), mRNA [NM_003521]	HIST1H2BM
126	0.000007	0.0010947	5863.76042	3660.337406	1.6019727	A_23_P22433	Homo sapiens retinitis pigmentosa 2 (X-linked recessive) (RP2), mRNA [NM_006915]	RP2
127	0.0000072	0.0011171	38.6404988	11.9229436	3.2408523	A_32_P52153	PREDICTED: Homo sapiens hypothetical protein LOC730999 (LOC730999), mRNA [XM_001131389]	LOC730999
128	0.0000076	0.0011699	1830.309046	1294.408175	1.4140123	A_23_P162589	Homo sapiens vitamin D (1,25- dihydroxyvitamin D3) receptor (VDR), transcript variant 2, mRNA [NM_001017535]	VDR
129	0.0000078	0.0011822	222.7170851	146.2871186	1.5224655	A_23_P357966	Homo sapiens protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 (PCMTD1), mRNA [NM_052937]	PCMTD1
130	0.0000078	0.0011822	114.9327179	66.1483748	1.7374987	A_23_P78244	Homo sapiens cDNA clone IMAGE:6141118, partial cds. [BC053363]	BC053363
131	0.0000079	0.0011883	555.5727689	347.3288326	1.5995584	A_23_P93180	Homo sapiens histone cluster 1, H2bc (HIST1H2BC), mRNA [NM_003526]	HIST1H2BC
132	0.0000081	0.0012091	142.4017492	57.7101892	2.4675322	A_24_P263144	Homo sapiens BMX non-receptor tyrosine kinase (BMX), mRNA [NM_001721]	BMX
133	0.0000083	0.0012296	774.976236	469.2572785	1.6514954	A_24_P544661	Homo sapiens cDNA clone IMAGE:6380649, containing frame-shift errors. [BC068044]	BC068044
134	0.0000087	0.0012793	752.7033082	362.4724414	2.0765808	A_23_P383764	Homo sapiens clone IMAGE:110749 mRNA sequence. [AF143328]	OR52K3P
135	0.000009	0.0013039	204.4403499	104.6876312	1.9528606	A_23_P156609	Unknown	A_23_P156609
136	0.000009	0.0013039	113.0579734	198.9539505	0.568262	A_23_P216257	Homo sapiens tumor protein D52 (TPD52), transcript variant 1, mRNA [NM_001025252]	TPD52
137	0.0000093	0.0013376	2806.304519	1910.409714	1.4689543	A_23_P366216	Homo sapiens histone cluster 1, H2bh (HIST1H2BH), mRNA [NM_003524]	HIST1H2BH
138	0.0000094	0.0013422	414.6474363	238.3413704	1.7397208	A_23_P119254	Homo sapiens ASF1 anti-silencing function 1 homolog B (S. cerevisiae) (ASF1B), mRNA [NM_018154]	ASF1B
139	0.0000097	0.001375	972.7054827	1852.24286	0.5251501	A_23_P21882	Unknown	A_23_P21882
140	0.0000099	0.0013934	1218.226649	799.251714	1.524209	A_23_P406986	Homo sapiens motile sperm domain containing 2 (MOSPD2), mRNA [NM_152581]	MOSPD2
141	0.0000101	0.0014114	13.1469222	4.2349757	3.1043678	A_24_P12397	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	TREM2
142	0.0000106	0.0014709	1278.131972	818.58859	1.561385	A_23_P159012	Homo sapiens ankyrin repeat, family A (RFXANK-like), 2 (ANKRA2), mRNA [NM_023039]	ANKRA2
143	0.0000107	0.0014744	20048.07412	12520.67385	1.6011977	A_23_P214222	Homo sapiens myristoylated alanine-rich protein kinase C substrate (MARCKS), mRNA [NM_002356]	MARCKS
144	0.0000108	0.0014778	15.8225716	30.4593555	0.5194651	A_24_P248167	Homo sapiens mRNA; cDNA DKFZp434K114 (from clone DKFZp434K114). [AL080157]	WDR21A
145	0.0000111	0.0015084	835.1460275	427.5617673	1.9532757	A_23_P212061	Homo sapiens membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase) (MME), transcript variant 2b, mRNA [NM_007289]	MME
146	0.0000115	0.001552	18543.6199	10829.39175	1.7123418	A_23_P86330	Homo sapiens immediate early response 5 (IER5), mRNA [NM_016545]	IER5
147	0.0000118	0.001571	123.9878405	213.7068542	0.5801772	A_32_P112078	Unknown	THC2538534
148	0.0000118	0.001571	17.7312834	29.0161744	0.6110827	A_23_P415611	Homo sapiens Na+/H+ exchanger like domain containing (NHEDC1), mRNA [NM_139173]	NHEDC1
149	0.000012	0.0015869	543.39786	350.5846008	1.5499764	A_23_P40470	Homo sapiens histone cluster 1, H2be (HIST1H2BE), mRNA [NM_003523]	HIST1H2BE
150	0.0000124	0.0016289	662.9552895	401.1776901	1.6525228	A_23_P368028	Homo sapiens Pig11 (PIG11) mRNA, complete cds. [AF010315]	TP53I11
151	0.0000128	0.0016703	5849.647962	4200.711721	1.3925373	A_23_P218463	Homo sapiens SERTA domain containing 1 (SERTAD1), mRNA [NM_013376]	SERTAD1
